titulo,categoria,convoca,plazo,resumen,boletin,contacto_y_telefono,correo_electronico,web
"Viaje solidario a Essaquira. Marruecos (a favor del orfanato Essaquira Darna)","Actividades","Viento Norte-Sur","27/06/2014","Mayores de 16 años, 20 plazas. Habitaciónes compartidas.Precio: 390 € (viaje, pensión completa en albergue y seguro de viaje).","","Viento Norte Tel. 630 683 008","<a title="Enviar correo electrónico a info@vientonortesur.org" href="mailto:info@vientonortesur.org"><a href="mailto:info@vientonortesur.org">info@vientonortesur.org</a></a>","<a href="http://www.vientonortesur.org"><a title="Ir a http://www.vientonortesur.org/" href="http://www.vientonortesur.org/" rel="external">www.vientonortesur.org</a></a>"
"I Carrera con perros a favor de los enfermos","Actividades","ASEMPA","27/10/2014","Se trata de una carrera solidaria de personas con sus perros, en un ambiente familiar y cercano. Se celebra en el Parque Fluvial de Viesques, y regalan una camiseta conmemrativa y golosinas para los perros al hacer la inscripción. El precio de la inscripción son 4 € y se pueden realizar hasta el día 27 de junio; la carrera se celebra el 29 de junio.","","ASEMPA. Avda. Gaspar García Laviana, 40, bajo. Gijón.    985 16 56 71 / 687 81 67 23","<a href="mailto:inscripcionesasempa@hotmail.com" title="Enviar correo electrónico a inscripcionesasempa@hotmail.com">inscripcionesasempa@hotmail.com</a>","<a href="http://www.asem-esp.org/index.php/eventos/1096-carrera-solidaria-con-perros-en-gijon" title="Ir a http://www.asem-esp.org/index.php/eventos/1096-carrera-solidaria-con-perros-en-gijon" rel="external">www.asem-esp.org</a>"
"Conciertos "N'alcordanza D'Ígor y Carlos" 2014","Actividades","N´Alcordanza D´Ígor y Carlos","28/06/2014","Este es el octavo año que músicos (17) y locales (9) se juntan para recordar a Igor Medio y Carlos Redondo, los dos músicos que nos dejaron en 2006 a causa de un accidente de tráfico. Tendremos música el viernes, 27 de junio a las 20:00 horas en Toma 3 y a las 22:00 horas en la sala Acapulco. El sábado las citas son en el Café Alambique a las 13:00 horas, Sidreria Canteli a las 14:30 horas, La vida alegre a las 16:00 horas; Trisquel a las 18:00 horas; el Patio de la Favorita alas 20:00 horas; el Sweet 01 a las 22:00 horas y el Savoy a las 00:00 horas.","","","<a title="Enviar correo electrónico a nalcordanza2014@gmail.com" href="mailto:nalcordanza2014@gmail.com"><a href="mailto:nalcordanza2014@gmail.com">nalcordanza2014@gmail.com</a></a>","<a title="Ir a www.nalcordanza.com" href="http://www.nalcordanza.com" rel="external">www.nalcordanza.com</a>"
"Exposición de Alfonso Albacete "Escenarios"","Actividades","Galería Gema Llamazares","28/06/2014","Gran maestro del color, crea una pintura en la que reina el orden y la geometría. <p>De lunes a sábado, de 11:30 a 14 y de 17:30 a 21:30</p>","","C/ Instituto, 21-23  33201  Gijón","","<a title="Ir a www.gemallamazares.com" href="http://www.gemallamazares.com" rel="external"><a href="http://www.gemallamazares.com">www.gemallamazares.com</a> <br/></a>"
"XXII Edición Abierto hasta el Amanecer","Actividades","Asociación Juvenil "Abierto hasta el Amanecer"","29/06/2014","Cursos y talleres de carácter formativo y de ocio, para jóvenes de 13 a 35 años que se desarrollan en los centros municipales de: El Llano, La Arena y Ateneo de la Calzada. La inscripción a torneos deportivos se realizará hasta el 9 de mayo; para el resto de actividades, a partir del 9 de mayo.","","C/ Soria, 5. 33208 Gijón - 985 313401","ocio.nocturno@abiertohastaelamanecer.com","<a href="http://www.abiertohastaelamanecer.com" title="Ir a www.abiertohastaelamanecer.com" rel="external">www.abiertohastaelamanecer.com</a>"
"IV Orgullín del Norte","Actividades","Xega - Colectivo LGTB","29/06/2014","Se celebrará en el camping de Deva. Las actividades se desarrollarán entre los días 27 y 29 de junio, y habrá actividades deportivas, entrega de menciones conmemorativas, comida de hermandad, y un desfile por Gijón el día 28.","","","","<a href="https://www.facebook.com/events/267225740106592/permalink/294733310689168/" title="Ir a https://www.facebook.com/events/267225740106592/permalink/294733310689168/" rel="external">Facebook del Orgullín del Norte</a>"
"Exposición de Jesús y Juan Galé: "Asturianos en el imperio del sol naciente" (1880-1927)","Actividades","Museo Etnográfico del Pueblo de Asturias","29/06/2014","Exposición en conmemoración de los 400 años de intercambio hispano-japonés. Horario hasta marzo: de martes a viernes de 9:30 a 18:30,sábados, domingos y festivos de 10:00 a 18:30. A partir de abril y hasta su finalización: de martes a viernes de 10:00 a 19:00 y sábados, domingos y festivos de 10:30 a 19:00.","","<p><em>Museo Etnográfico del Pueblo de Asturias, </em><em>Ería del Piles s/n, Gijón. Tel. 985 18 29 60</em></p>","<a href="mailto:museopa@gijon.es">museopa@gijon.es</a> ","<a href="http://museos.gijon.es">http://museos.gijon.es</a>"
"Exposición: "Antonio Suárez en el recuerdo"","Actividades","Museo Casa Natal de Jovellanos","29/06/2014","Un homenaje al pintor gijonés en el que se muestran tres de sus lienzos más destacados.","","Museo Casa Nata de Jovellanos, Plazuela de Jovellanos, nº 1, 33201 Gijón.    985 18 51 52","","<a title="Ir a http://cultura.gijon.es/" href="http://cultura.gijon.es/" rel="external"> <a href="http://cultura.gijon.es/">http://cultura.gijon.es/</a></a>"
"Exposición de Miguel Aguirre / Sandra Gamarra: "Horror vacui"","Actividades","Galería Espacio Líquido","30/06/2014","<p>&quot;Horror vacui&quot; gira en torno a la idea de revelar el engaño de la percepción visual a través del mimetismo y el camuflaje. </p> <p>De martes a sábado de 12 a 13:30 y 16:30 a 20:30.</p>","","Jovellanos, 3. Bajo. 33203 Gijón.    985 17 50 53","","<a title="Ir a www.espacioliquido.net" href="http://www.espacioliquido.net" rel="external"><a href="http://www.espacioliquido.net">www.espacioliquido.net</a></a>"
"Exposición "Ferroviarios, la vida junto al tren"","Actividades","Museo del Ferrocarril de Asturias","30/06/2014","<p>Una muestra de fotografías relacionadas con los distintos oficios ferroviarios. </p> <p>De martes a viernes de 10:00 a 19:00 horas; sábados, domingos y festivos, de 10:30 a 19:00 horas.<br/></p>","","Museo del Ferrocarril de Asturias, Plaza de la Estación del Norte s/n - 33212 Gijón .   985181 777","","<a href="http://museos.gijon.es">http://museos.<a title="Ir a http://museos.gijon.es" href="http://museos.gijon.es" rel="external">gijon</a>.es</a>"
"Exposición "60 años de Vespa en Asturias"","Actividades","Vespa Club de Asturias","01/07/2014","Fotos, objetos y vehículos relacionados con la historia de la Vespa y la Lambretta que recorren 60 añosde su presencia en Asturias.","","Centro de Cultura Antiguo Instituto. C/ Jovellano, 21, 33206, Gijón","","<a title="Ir a www.cultura.gijon.es" href="http://www.cultura.gijon.es" rel="external"><a href="http://www.cultura.gijon.es">www.cultura.gijon.es</a></a>"
"<p>Exposición de Juan Gomila: &quot;Sensación azul&quot;</p>","Actividades","El arte de lo imposible","02/07/2014","<p>Obras de armónicas composiciones y expresivas mezclas de colores y luz. </p> <p>De lunes a sábado de 11:00 a 14:00 y de 18:00 a 21:00 horas. <br/></p>","","El Arte de lo Imposible, Joaquín Fernández Acebal, 6. Gijón      985 17 07 57","<a title="Enviar correo electrónico a elartedeloimposible@gmail.com" href="mailto:elartedeloimposible@gmail.com"><a href="mailto:elartedeloimposible@gmail.com">elartedeloimposible@gmail.com</a></a>","<a title="Ir a www.elartedeloimposible.com" href="http://www.elartedeloimposible.com" rel="external"><a href="http://www.elartedeloimposible.com">www.elartedeloimposible.com</a></a>"
"Exposición de Rafael Canogar","Actividades","Galeria Arte Propuestas. Van Dyck","05/07/2014","<p>Un reconocimiento a un artista, una visión retrospectiva, con obras de 1958 a 2013</p> <p>De lunes a sábado de 18 a 21.</p>","","C/Casimiro Velasco, 12 y C/ Menéndez Valdés,21  Gijón      985 34 49 43","",""
"Metrópoli 2014-Festival media de Cultura y entretenimiento","Actividades","Metrópoli-Cámara de Gijón","06/07/2014","Festival que incluye música, conferencias, videojuegos, humor, formación, arte,mercado, etc. Abonos para los 10 días 12 euros y entrada diaria 1,5 euros.","","Recinto Luis Adaro.Paseo Doctor Fleming, 481. Tel.985 180 100","<a href="mailto:metropoli@metropoligijon.com"><u>metropoli@metropoligijon.com</u></a>","<a title="Ir a www.metropoligijon.com" href="http://www.metropoligijon.com" rel="external">www.metropoligijon.com</a>"
"Exposición "Universo vídeo: La magia de las imágenes"","Actividades","Laboral Centro de Arte y Creación Industrial","06/07/2014","Entre la ilusión y el registro objetivo y mecánico del espacio y del tiempo, esta selección de la colección Lemaître construye una constelación de acercamientos al papel central que ocupan las imágenes en nuestra vida cotidiana.","","Los Prados, 121. 33394 Gijón.    985 18 55 77","<a title="Enviar correo electrónico a infor@laboralcentrodearte.org" href="mailto:infor@laboralcentrodearte.org"><a href="mailto:infor@laboralcentrodearte.org">infor@laboralcentrodearte.org</a></a>","<a title="Ir a www.laboralcentrodearte.org/es" href="http://www.laboralcentrodearte.org/es" rel="external"><a href="http://www.laboralcentrodearte.org/es">www.laboralcentrodearte.org/es</a></a>"
"Exposición de José Ferrero Villares "Colección permanente"","Actividades","Museo Barjola","07/07/2014","Una serie de imágenes realizadas en interiores de museos y centros de arte.  <p>De martes a sábados de 11:30 a 13:30 y de 17:00 a 20:00 horas; festivos  de 12:00 a 14:00 horas<br/></p>","","Museo Barjola, C/Trinidad, 17. 33201 Gijón.    985 357 939","","<a href="http://www.museobarjola.es">www.<a title="Ir a www.museobarjola.es" href="http://www.museobarjola.es" rel="external">museobarjola</a>.es</a> "
"Viaje de convivencia a Formentera joven","Actividades","Viento Norte-Sur","10/07/2014","Mayores de 16 años, 25 plazas/turno. Dos turnos del 19 al 26 de julio y del 9 al 16 de Agosto. Precio: 350 € (Ferry ida-vuelta desde Denia y alojamiento). Actividades programadas","","Viento Norte Tel. 630 683 008","<a title="Enviar correo electrónico a info@vientonortesur.org" href="mailto:info@vientonortesur.org"><a href="mailto:info@vientonortesur.org">info@vientonortesur.org</a></a>","<a title="Ir a http://www.vientonortesur.org/" href="http://www.vientonortesur.org/" rel="external">www.vientonortesur.org</a>"
"Exposición "Clásicos Populares" de Miguel Watio","Actividades","Librería-Galería Cornión","12/07/2014","Colección de acrílicos que reinterpretan célebres cuadros de la historia del arte. Del 12/06/14 al 12/07/14. De lunes a viernes de 10:00-13:30 y de 16:30-20:00. Sábados de 10:00-13:30.","","Librería-Galería Cornión<br/>C/ La Merced, 45. CP. 33201 Gijón.<br/>Tel.: 985 34 25 07","",""
"XXVII Festival Multicultural "Semana Negra 2014"","Actividades","Semana Negra","13/07/2014","Del 4 al 13 de julio en los terrenos del antiguo Astillero Naval Gijón. Homenaje a Juan Gelman, José Pacheco y Félix Grande. Invitados entre otros: Craig Russell, John Connolly, Qiu Xiaolong.","","Semana Negra. <br/>Apdo. de Correos 271. C.P. 33280 Gijón.<br/>Tel.: 985 160 934","","<a href="http://www.semananegra.org" title="Ir a www.semananegra.org" rel="external">www.semananegra.org</a>"
"Exposición colectiva "El paisaje" en La Salita, Gijón","Actividades","La Salita","17/07/2014","La exposición se inaugura el 20 de julio a las 20:30 con la lectura de poesías por parte de Anna Ardelean acompañada de una guitarra. A continuación se presentarán los 15 artistas seleccionados de distintas partes del mundo que se presentaron a esta convocatoria. <br/>Se puede visitar hasta el 17 de julio de lunes a viernes en horario de 11:00 a 14:00 y de 17:00 a 20:00 horas.","","La Salita. C/ Manuel Llaneza, 44. Gijón.    663 52 54 22","<a href="mailto:%20info@lasalita.org" title="Enviar correo electrónico a  info@lasalita.org">info@lasalita.org</a>","<a href="http://www.lasalita.org/" title="Ir a http://www.lasalita.org/" rel="external">www.lasalita.org</a>"
"Intercambio Juvenil en Turquía: “SPORTS WITHOUT CONFLICT<strong></strong>Youth Exchange”","Actividades","<p>YOUROPIA </p>","20/07/2014","<p>La asociación cultural YOUROPÍA busca a jóvenes entre 18 y 25 años para un Intercambio Juvenil en Turquía, “SPORTS WITHOUT CONFLICT Youth Exchange”, entre el <strong>15 y el 25 de agosto.</strong><strong></strong></p> <p>El intercambio tratará sobre el valor del deporte para superar conflictos de diferentes tipos e incluirá muchas actividades dinámicas e interesantes: visitas, encuentros inter-culturales, veladas internacionales y, por supuesto, ¡deporte!</p> <p>Este intercambio reunirá en la localidad de Bursa a 30 jóvenes de España, Croacia, Italia y Turquía para vivir esta inolvidable experiencia.</p> <p>Además, gracias al apoyo del programa europeo Juventud en Acción los gastos de alojamiento, manutención y actividad estarán cubiertos al 100% y los/as participantes recibirán una devolución del 70% de los gastos de viaje. En definitiva, las personas seleccionadas simplemente tendrán que pagar el 30% del viaje y una cuota de tan solo 20€.</p> <p>La selección se hará en base a las cartas de motivación recibidas. Si estás interesado/a en participar, además de nombre, procedencia y edad, no se te olvide hablar también de tu motivación y de lo que podrías aportar a esta actividad.</p>","","<p>Asociación Cultural YOUROPÍA<br/>C/ Buenaventura Paredes 6, bajo. 33001 Oviedo</p> <p>Tlf: 638478466</p>","<a title="Enviar correo electrónico a  youropia@gmail.com" href="mailto: youropia@gmail.com"><u>youropia@gmail.com</u></a>","<a title="Ir a www.youropia.jimdo.com" href="http://www.youropia.jimdo.com" rel="external"><u>www.youropia.jimdo.com</u></a> /Skype: youropia / Facebook: Asociacion Youropia"
"XVII Festival de música antigua de Gijón 2014","Actividades","FMCE y UP-Taller de Músicos","20/07/2014","Se celebrará del 13 al 20 de julio  a partir de las 20:00 horas en el Centro de Cultura Antiguo Instituto. La entrada será libre hasta completar aforo","","Taller de Músicos. FMCE y UP de Gijón<br/>C/Jovellanos, Nº 21.Gijón.Tf: 985 18 10 55/ 985 18 10 38","<a title="Enviar correo electrónico a tallerdemusicos.fmc@gijon.es" href="mailto:tallerdemusicos.fmc@gijon.es">tallerdemusicos.fmc@gijon.es<br/></a>","<a title="Ir a http://cultura.gijon.es/" href="http://cultura.gijon.es/" rel="external">http://cultura.gijon.es<br/></a>"
"Exposición sobre la piel de María Castellanos","Actividades","FMCEYUP","20/07/2014","<p>Fotografía, video, grabado, pintura e incluso una instalación interactiva componen esta muestra en donde la piel, órgano más extenso de nuestro cuerpo, es el concepto en torno al que gira toda la muestra. </p> <p>En la sala 1, de lunes a viernes de 18:00 a 21:00 horas; sábados de 11:00 a 14:00 y 18:00 a 21:00; domingos y festivos de 11:00 a 14:00.</p>","","Centro de Cultura Antiguo Instituto <p>C/ Jovellanos, 21  33206  Gijón</p>","","<a title="Ir a www.cultura.gijon.es" href="http://www.cultura.gijon.es" rel="external"><a href="http://www.cultura.gijon.es">www.cultura.gijon.es</a></a>"
"Concierto de Pet Shop Boys en Gijón","Actividades","Laboral Ciudad de la Cultural","01/08/2014","<p>Viernes 1 de agosto en la Plaza de la Laboral. </p> <p>Precios: entrada anticipada, 29 €; taquilla, 35 €</p>","","","Recepción Laboral Ciudad de la Cultura y <a href="http://www.cajastur.es"><a title="Ir a www.cajastur.es" href="http://www.cajastur.es" rel="external">www.cajastur</a>.es</a>","<a title="Ir a www.laboralciudaddelacultura.com/" href="http://www.laboralciudaddelacultura.com/" rel="external"><a href="http://www.laboralciudaddelacultura.com/">www.laboralciudaddelacultura.com/</a></a>"
"Festival Arco Atlántico 2014.Ciudad invitada: Cork","Actividades","Fundación Municipal de Cultura","03/08/2014","Del 25 de Julio al 3 de Agosto.Espacio de encuentro cultural de países y ciudades del Arco Atlántico Europeo.Ciudades invitadas: Cork en Irlanda y Nazaré en Portugal","","Fundación Municipal de Cultura<br/>C/ Jovellanos,21.33201.Gijón.Tf: 985 18 10 01","","<a title="Ir a http://cultura.gijon.es/" href="http://cultura.gijon.es/" rel="external"><a title="Ir a http://cultura.gijon.es/" href="http://cultura.gijon.es/" rel="external"><a title="Ir a http://www.cultura.gijon.es/" href="http://www.cultura.gijon.es/"
"Euro-Yeyé 2014","Actividades","Colectivo Trouble and Tea","03/08/2014","Proyecciones de cine años sesenta. Programa completo en la web","","","<a title="Enviar correo electrónico a info@euroyeye.es" href="mailto:info@euroyeye.es"><a href="mailto:info@euroyeye.es">info@euroyeye.es</a></a>","<a title="Ir a http://euroyeye.es/" href="http://euroyeye.es/" rel="external">http://euroyeye.es/<br/></a>"
"Exposición fotográfica "Miraes 2014"","Actividades","Museo Barjola-Asociación de Fotoperiodistas de Asturias","03/08/2014","92 fotografías de 37 autores/as que muestran el momento en el que estamos a partir de los instantes que vivimos. De martes a sábados de 11:30 a  13:30 y 17:00 a 20:00 horas; festivos de 12:00 a 14:00 horas","","Museo Barjola C/Trinidad, 17. 33201 Gijón.  985 357 939 ","","<a href="http://www.museobarjola.es">www.</a><a title="Ir a www.museobarjola.es" href="http://www.museobarjola.es" rel="external">museobarjola</a>.es"
