titulo,categoria,convoca,plazo,resumen,boletin,contacto_y_telefono,correo_electronico,web
"Ciclo de debates Quo vadis, Europa? La UE a pie de barrio","Actividades","Sociedad Cultural Gijonesa / Ateneo Obrero de Gijón","07/11/2017","<p>Desde la Sociedad Cultural Gijonesa y el Ateneo Obrero de Gijón, en colaboración con la Fundación Municipal de Cultura en el CMI Ateneo La Calzada, queremos llevar la reflexión sobre la actual situación política, económica y social de Europa a los hombres y mujeres del barrio de La Calzada y de Gijón.</p>  <p>A través de charlas y encuentros con expertos y con activistas queremos comprender qué pasa en Europa, tras los cambios que ha supuesto la crisis financiera y política</p>  <p><u>Viernes, 20 de Octubre de 2017 a las 19:30 en el CMI Ateneo La Calzada</u></p>  <ul><li><strong>“Europa, entre el  Neoliberalismo y la Europa social”</strong></li></ul>  <p><u>Viernes, 27 de Octubre de 2017 a las 19:30 en el CMI Ateneo La Calzada</u></p>  <ul><li><strong>“¿Qué pasó con la Europa de los pueblos?”</strong></li></ul>  <p><u>Martes, 7 de Noviembre de 2017 a las 19:30 en el Café de Macondo (Pl. de la Habana, 3)</u></p>  <ul><li><strong>“El Euro a debate”</strong></li></ul>","<a href="https://cultura.gijon.es/eventos/show/38419-ciclo-de-debates-quo-vadis-europa-la-ue-a-pie-de-barrio" title="Ir a https://cultura.gijon.es/eventos/show/38419-ciclo-de-debates-quo-vadis-europa-la-ue-a-pie-de-barrio" rel="external">Programa</a>","<p>CMI Ateneo la Calzada</p>  <p>C/Ateneo Obrero de La Calzada, 1</p>  Tel. 985 181 403","<p><a href="mailto:cmicalzada@gijon.es">cmicalzada@gijon.es</a></p>","<p><a href="https://cultura.gijon.es" title="Ir a https://cultura.gijon.es" rel="external">https://cultura.gijon.es</a></p>"
"II Xornaes de Normalización Llingüística nos Conceyos","Actividades","Oficina de Normalización Lingüistica de Xixón","07/11/2017","<p><b>El Centru de Cultura Antiguu Institutu va acoyer los díes 13, 14 y 15 de payares les II Xornaes sobre la Normalización Llingüística nos Conceyos</b>,organizaes pola Oficina de Normalización Llingüística de Xixón cola collaboración de la Rede de Normalización Llingüística nos Conceyos.</p><p><b>Nestes xornaes van poder conocese distintes esperiencies de normalización llingüística</b> que se vienen faciendo n’Aragón, Baleares, Euskadi, Galicia,Valencia, Llión y otros territorios y afondar na situación que ta viviéndose anguaño n’Asturies cola puesta en marcha y caltenimientu de distintos servicios de normalización llingüística en dellos Conceyos.</p><p><strong>Información y matrícula:</strong></p><p>Hai que s’apuntar enantes del 7 de payares -n’horariu de 9.00 a 14.00 hores-na Oficina de Normalización Llingüística de Xixón (c/ Xovellanos, 21 33201 Xixón), llamando al 985 18 13 89/14 28 o poniendo un corréu electrónicu a <a href="mailto:llinguaasturiana@xixon.es" title="Enviar correo electrónico a llinguaasturiana@xixon.es">llinguaasturiana@xixon.es</a></p><p><b>A les persones matriculaes y qu'asistan a les xornaes va dáse-yos uncertificáu d'asistencia.</b></p>","<a href="https://llingua.gijon.es/noticias/show/37127-ii-xornaes-de-normalizacion-llinguistica-nos-conceyos" title="Ir a https://llingua.gijon.es/noticias/show/37127-ii-xornaes-de-normalizacion-llinguistica-nos-conceyos" rel="external">Programa</a>","<p>Oficina de Normalización Llingüística de Xixón</p>  <p>C/ Xovellanos, 21 33201 Xixón</p>    Tel.: 985 18 13 89 /14 28","<a href="mailto:llinguaasturiana@xixon.es" title="Enviar correo electrónico a llinguaasturiana@xixon.es">llinguaasturiana@xixon.es</a>","<p><a href="https://llingua.gijon.es/" title="Ir a https://llingua.gijon.es/" rel="external">https://llingua.gijon.es/</a></p>"
"VIII Carrera Popular Milla del Conocimiento","Actividades","Gijón Impulsa Empresas y Patronato Deportivo Municipal","08/11/2017","<p>Gijón Impulsa Empresas y el Patronato Deportivo Municipal,organizan la <b>VIII Carrera Popular Milla del Conocimiento</b> el domingo 12 de noviembre</p><p>Habrá diferentes recorridos dependiendo de la categoría:</p><ul><li>Carrera de menores con salida a las 10:30 horas y recorrido de 200, 400, 600 y 1000 metros</li><li>Carrera absoluta con salida a las 11:30 horas y recorrido de 6800 metros</li><li>Parque Científico y Tecnológico de Gijón (exclusiva para empresas del Parque Científico en la prueba absoluta)</li></ul><p><strong>Inscripciones</strong></p><p>A través de la página <a href="http://www.deporte.gijon.es" title="Ir a www.deporte.gijon.es" rel="external">www.deporte.gijon.es</a>, <a href="http://www.impulsa.gijon.es" title="Ir a www.impulsa.gijon.es" rel="external">www.impulsa.gijon.es</a> y <a href="http://www.championchipnorte.com" title="Ir a www.championchipnorte.com" rel="external">www.championchipnorte.com</a></p><p>Adultos: 950 plazas, precio de inscripción 7 €</p><p>Niños: 500 plazas, inscripción gratuita.</p><p><strong>Premios</strong></p><p>La entrega de premios de todas las categorías se realizará al finalizar la prueba absoluta</p><strong><a href="https://championchipnorte.com/uploads/eventos/reglamento-59e7149ad372f0.67402631.pdf" title="Ir a https://championchipnorte.com/uploads/eventos/reglamento-59e7149ad372f0.67402631.pdf" rel="external">Reglamento y más información</a></strong>","","","","<a href="https://deporte.gijon.es/" title="Ir a https://deporte.gijon.es/" rel="external">https://deporte.gijon.es/</a>"
"Carrera contra la violencia de género","Actividades","Ayuntamiento de Langreo","08/11/2017","<p>El Ayuntamiento de Langreo a través de la Concejalía de Igualdad, organiza el domingo 12 de noviembre una Carrera contra la violencia de Género, a fin de visibilizar y concienciar a la sociedad acerca de la alarmante problemática de la violencia ejercida hacia las mujeres y menores</p><p><strong>Participantes</strong></p><p>En la carrera podrán inscribirse todas las personas mayores de edad, y menores de 16 y 17 años con autorización de su padre/madre/tutor/a</p><p>Se establece un cupo máximo de 300-400 corredores/as.</p><p><strong>Itinerario</strong></p><p>El recorrido tiene una distancia de 5000 metros, transcurre por distintas calles de las localidades de La Felguera y Sama con salida y meta en el Parque “Dolores F. Duro” de La Felguera.</p><p>La salida tendrá lugar a las 11 horas.</p><p><strong>Inscripción</strong></p><p>La cuota de inscripción es de 8 €</p><p>Se realizará a través de <a href="http://www.empa-t.com/inscripciones" title="Ir a www.empa-t.com/inscripciones" rel="external">www.empa-t.com/inscripciones</a></p><p><strong>Trofeos y premios</strong></p><p>Los tres primeros hombres y las tres primeras mujeres de sus respectivas categorías recibirán un trofeo.</p><p><a href="http://inscripciones.empa-t.com/inscripcion/reglamento.php?id=5770&amp;lang=es" title="Ir a http://inscripciones.empa-t.com/inscripcion/reglamento.php?id=5770&amp;lang=es" rel="external">Reglamento</a></p><p><strong>El plazo de inscripción permanecerá abierto hasta las 10:00 horas del 8 de noviembre o en el momento de completar el cupo establecido de corredores/as.</strong></p>","","","","<a href="https://correrasturias.es/carrera-la-violencia-genero" title="Ir a https://correrasturias.es/carrera-la-violencia-genero" rel="external">https://correrasturias.es/carrera-la-violencia-genero</a>"
"Actividades en el 80 aniversario del fin de la República en Asturias. Sufrir la Guerra. Buscar Refugio. Asturias 1936-1937","Actividades","Grupo Eleuterio Quintanilla - Acción en Red","08/11/2017","<p>El Grupo Eleuterio Quintanilla y Acción en Red en colaboración con el Ateneo Obrero organizan un <b>programa de  actividades en el 80 aniversario del fin de la República en Asturias</b>,  para rendir tributo y homenaje a los hombres y mujeres que protagonizaron aquellos acontecimientos.</p>  <p></p>  <p><u><b>18 de octubre</b></u></p>  <ul><li>Presentación de la propuesta didáctica &quot;SUFRIR LA GUERRA, BUSCAR REFUGIO&quot; (Asturias 1936-1937)</li></ul>  <p>Lugar: Ateneo Obrero de Gijón, 19:30 h.</p>  <p></p>  <p><u><b>19 de octubre</b></u></p>  <ul><li>Constitución Grupo de Trabajo (CPR de Gijón-Oriente)&quot;SUFRIR LA GUERRA, BUSCAR REFUGIO&quot; (Asturias 1936-1937)</li></ul>  <p>Lugar: CPR de Gijón-Oriente. Caminos del Cortijo, 17. Gijón, 17:00 h.</p>  <p></p>  <p><u><b>20 de octubre</b></u></p>  <ul><li>Proyección del Documental &quot;Elogio al Horizonte&quot; de Iñaski Ibisate</li></ul>  <p>CICA (Centro de Interpretación del Cine de Asturias) C/ Fernández Valllín, s/n. Gijón, 20:00 h.</p>  <p></p>  <p><u><b>25 de octubre</b></u></p>  <ul><li>Mesa redonda &quot;Vivir bajo las bombas, buscar refugio&quot;</li></ul>  <p>Ateneo Obrero de Gijón, 19:30 h.</p>  <p></p>  <u><b>8 de noviembre<br/><br/></b></u>  <ul><li>Inauguración de la exposición.&quot;SUFRIR LA GUERRA, BUSCAR REFUGIO. Asturias 1936-1937&quot;</li></ul>  <p>Biblioteca Pública Jovellanos, 19:30 h</p><p><br/></p>  <p></p>  <p>Los días 15, 16 y 17 se desarrollarán actividades culturales en el Salón de Actos de la Bibliotecas<br/></p>El Grupo Eleuterio Quintanilla y Acción en Red ha creado una página web en la que se recoge información sustancial para poder abordar, como materia de estudio en Secundaria y Bachillerato, aspectos significativos de aquel periodo.","<a href="http://www.equintanilla.com/documentos/80_anos/diptico_sufrir_la_guerra.pdf" title="Ir a http://www.equintanilla.com/documentos/80_anos/diptico_sufrir_la_guerra.pdf" rel="external">Programa</a>","<p><strong>Grupo Eleuterio Quintanilla</strong><br/> Ateneo Obrero de Gijón <br/>  Calle Covadonga 7 - 1º Izda.<br/> 33201 Gijón - Asturias <br/> Tel.: 985 34 03 95</p>","","<p><a href="http://www.equintanilla.com" title="Ir a http://www.equintanilla.com" rel="external">http://www.equintanilla.com</a></p>"
""TuEco, Jornadas sobre Participación Juvenil en Política en Asturias"","Actividades","Asociación Partycipa","10/11/2017","<p>Desde la Asociación Partycipa y con los apoyos del Programa Erasmus + y el Instituto de la Juventud se organiza el evento <strong>&quot;TuEco, Jornada sobre Participación Juvenil en Política en Asturias&quot;.</strong></p>  <p>Desde el mismo se pretende facilitar el encuentro entre jóvenes que participan en política con técnicos y responsables en la toma de decisión que trabajan en el ámbito de la participación juvenil.</p>  <p>El objetivo de la jornada es conocer diferentes experiencias juveniles de participación en política (gestión del bien común), así como reflexionar sobre la manera en la que se está facilitando desde las instituciones públicas.</p>  <p>Desde la fase de preparación, 2 estudiantes del último curso de Piscología de la Universidad de Oviedo, están realizando un <strong>&quot;mapeo&quot;,</strong> investigando sobre qué grupos de jóvenes tienen en marcha iniciativas con las que mejorar el bienestar de sus municipios y/o de la región, además de las Instituciones que están facilitando la participación de los/as jóvenes en la gestión de los asuntos públicos. Los resultados se irán añadiendo al <strong>Mapa de la Participación Juvenil en Asturias</strong>.</p>  <p>Posteriormente, se realizarán<strong> las jornadas los viernes 3 y 10 de noviembre de 2017.</strong></p>  <p><strong>1º día (Jornada 3 Noviembre):</strong> Breves presentaciones de las distintas experiencias y recursos, tanto de jóvenes que estén participando en política actualmente, como de personas con responsabilidad política en el ámbito de la juventud, para generar un intercambio enriquecedor sobre el tema, a través de dinámicas.</p>  <p><strong>2º día (Jornada 10 Noviembre): </strong>Talleres para la realización de propuestas innovadoras de participación juvenil, que se expondrán en una acción de calle final y que posteriormente formará parte de un proyecto audiovisual que recogerá, las principales conclusiones de la jornada.</p>  <strong>Lugar de celebración:</strong> D-Espacio Partycipa: C/Paraíso, nº 5 - 33009 Oviedo (Asturias)","<a href="http://www.partycipa.com/evento/encuentro-participacion-ciudadana-politica-asturias" title="Ir a http://www.partycipa.com/evento/encuentro-participacion-ciudadana-politica-asturias" rel="external">Más información</a>","<p>Asociación Partycipa: D-Espacio</p>  <p>C/ Paraíso, 5 - 33009 Oviedo (Asturias)</p>  Ángel: 605 30 15 26/ Marta: 629 12 93 12","<a href="mailto:tueco@gmail.com" title="Enviar correo electrónico a tueco@gmail.com">tueco@gmail.com</a>","<a href="http://www.partycipa.com/" title="Ir a http://www.partycipa.com/" rel="external">http://www.partycipa.com/</a>"
"III Jornada de Psicología Educativa. Neuropsicología aplicada a la educación","Actividades","Colegio Oficial de Psicólogos del Principado de Asturias","10/11/2017","<p>El Colegio Oficial de Psicólogos Principado de Asturias (COPPA), organiza sus III Jornadas de Psicología Educativa, bajo el título <strong>Neuropsicología aplicada a la educación</strong>.</p><p>En estas jornadas se profundizará en un tema, como es la Neurociencia, que gana progresivamente fuerza y marcado interés</p><p>Están dirigidas a Psicólogos/as y Profesionales vinculados a la educación (orientadores, logopedas, profesores de Pedagogía terapéutica, profesorado de cualquier etapa educativa), estudiantes y personas interesadas</p><p><strong>Horario:</strong> de 16:00 a 20:30 horas</p><p><strong>Lugar de realización:</strong> AuditorioPríncipe Felipe de Oviedo</p><p>Es necesaria <a href="http://www.cop-asturias.org/uploads/file/Boletin.pdf" title="Ir a http://www.cop-asturias.org/uploads/file/Boletin.pdf" rel="external">inscripción</a></p><p><a href="http://www.cop-asturias.org/uploads/file/DIPTICO-JORNADA-EDUCATIVA-2017(1).pdf" title="Ir a http://www.cop-asturias.org/uploads/file/DIPTICO-JORNADA-EDUCATIVA-2017(1).pdf" rel="external">Díptico informativo</a></p>","","<p>Colegio Oficial de Psicólogos del Principado de Asturias</p>  <p>c/ Idelfonso Sánchez del Río, 4 – 1º B</p>  Oviedo","<a href="mailto:copasturias@cop.es" title="Enviar correo electrónico a copasturias@cop.es">copasturias@cop.es</a>","<a href="http://www.cop-asturias.org/" title="Ir a http://www.cop-asturias.org/" rel="external">http://www.cop-asturias.org/</a>"
"Festival Internacional de Cortometrajes CINESAN","Actividades","Ayuntamiento San Martín del Rey Aurelio","11/11/2017","Entre el 29 de octubre y el 11 de noviembre, las localidades de El Entrego y Sotrondio acogen el Festival Internacional de Cortometrajes de San Martín del Rey Aurelio, Cinesan. <p></p>El abanico de trabajos de la cartelera del festivales es, en términos de los técnicos organizadores muy amplio, con producciones independientes y otras de mayor presupuesto, que presentan relatos de géneros diversos, pero con protagonismo de temas sociales, en las que aparecen veteranos y veteranas intérpretes del mundo del teatro junto con otras caras conocidas. También se proyectarán dos producciones extranjeras seleccionadas procedentes de Bélgica y Francia.<p></p><p><strong>Gala de inauguración:</strong></p><p>Será el 29 de octubre en el Teatro Municipal, en El Entrego, y contará con la presencia del director asturiano Samuel Fuentes, que próximamente estrena su nueva película protagonizada por el conocido actor Mario Casas, &quot;Bajo la piel de lobo&quot;.</p><p><strong>Proyecciones:</strong></p><p>Se proyectarán el día 29 de octubre los 8 cortos asturianos seleccionados que compiten en la sección regional del festival.</p><p>Y desde el lunes 30 de octubre al viernes 3 de noviembre, diferentes instalaciones de El Entrego y Sotrondio serán escenario de las proyecciones de los 22 cortos seleccionados que compiten en la sección oficial del festival. El abanico de trabajos de la cartelera abarca producciones independientes y otras de mayor presupuesto, con relatos de géneros diversos y protagonismo de temas sociales.</p><p>Diversas actividades como proyecciones, talleres y exposiciones completan la programación del certamen, tanto el sábado 4 como el domingo 5 de noviembre.</p><p><strong>Gala de clausura y Entrega de los Premios:</strong></p><p>Tendrá lugar la tarde del 11 de noviembre en el Teatro Municipal, en El Entrego.</p><p><strong>Premios:</strong></p><ul><li> Un premio de 1.000 y 400 euros respectivamente para el mejor cortometraje de cada sección.</li><li>Un premio a la mejor interpretación por valor de 600 euros.</li></ul>","<a title="Ir a http://www.smra.org:8080/documents/1909823/3572873/Programaci%C3%B3n+Cines%C3%A1n+2017/812bd45e-60b7-4e7d-b223-48f758533566" href="http://www.smra.org:8080/documents/1909823/3572873/Programaci%C3%B3n+Cines%C3%A1n+2017/812bd45e-60b7-4e7d-b223-48f758533566" rel="external">Programa</a>","","","<a title="Ir a http://www.smra.org:8080/portada" href="http://www.smra.org:8080/portada" rel="external">AyuntamientoSanMartin</a>"
"Biciamagüestu 2017","Actividades","Asturies ConBici","12/11/2017","<p>El próximo domingo 12 de noviembre, Asturies ConBici cierra el calendario oficial de actividades de este año y lo organiza de forma festiva y divertida demostrando que es compatible el uso de la bici con el disfrute del ocio.</p><p>Biciamagüestu, es una sencilla marcha ciclista por el entorno de Gijón,hasta el lugar donde se celebrará el amagüestu, Tendayu del Pueblo de Asturias</p><p>La concentración partirá a las 11:30 horas desde el local de Asturies ConBici. Serán 16 kms de ruta, hasta llegar al Tendayu donde habrá sidra dulce y castañes.</p><p>No es necesaria inscripción, solo tendrás que llevar comida para compartir y juegos colectivos. Podrán ir todas las personas, socias o no, que quieran y que tengan ganas de pasárselo bien celebrando el otoño.</p><p><strong><a href="http://www.asturiesconbici.org/index.php/actividades/otras/1571-biciamaguestu-2017-gijon.html" title="Ir a http://www.asturiesconbici.org/index.php/actividades/otras/1571-biciamaguestu-2017-gijon.html" rel="external">Toda la información</a></strong></p>","","<p>Asturies ConBici</p>  <p>c/ Puerto Cerredo, 1</p>  <p>Gijón</p>  Tel:984 09 31 63","<a href="mailto:info@asturiesconbici.org" title="Enviar correo electrónico a info@asturiesconbici.org">info@asturiesconbici.org</a>","<a href="http://www.asturiesconbici.org" title="Ir a http://www.asturiesconbici.org" rel="external">http://www.asturiesconbici.org</a>"
"1ª Carrera 8,5 Kms “Parque de Invierno”","Actividades","Balikesir, S.L.","15/11/2017","<p>Balikesir, S.L, organiza la 1<b>ª Carrera 8,5 kms “Parque de Invierno”</b>, el próximo <b>19 de noviembre con salida a las 11:00 horas</b> de las instalaciones atléticas de San Lázaro.</p><p><strong>Participantes</strong></p><p>Podrán participar todas las personas que lo deseen, federadas o no, y que tengan cumplido los 16 años el día de la prueba.</p><p><strong>Recorrido</strong></p><p>La carrera discurrirá sobre un circuito de una distancia de 8720 metros no homologado por la Real Federación Española de Atletismo.</p><p>La salida se dará a las 11:00 horas. El tiempo máximo oficial será de 1 horay 15 minutos.</p><p><strong>Inscripción:</strong></p><p>La cuota de inscripción será de 11 € y se podrá formalizar a través de la página <a href="http://www.cronelec.es" title="Ir a www.cronelec.es" rel="external">www.cronelec.es</a></p><p><strong>Premios</strong></p><p>Se entregarán a los 3 primeros clasificados masculinos y femeninos</p><p><strong>El plazo de inscripción finalizará el 15 de noviembre<br/></strong></p><p><a href="http://inscripciones.ranckr.com/resource/2017-08-24-22-02-44/i-carrerapopular-parque-invierno.pdf" title="Ir a http://inscripciones.ranckr.com/resource/2017-08-24-22-02-44/i-carrerapopular-parque-invierno.pdf" rel="external">Reglamento</a></p>","","<p>Balikesir SL</p>  <p>c/ Río San Pedro, 9 – Entresuelo</p>  <p>33001 Oviedo</p>  Tel: 985 20 86 53","<a href="mailto:info@pistasdesanlazaro.es" title="Enviar correo electrónico a info@pistasdesanlazaro.es">info@pistasdesanlazaro.es</a>","<a href="http://cronelec.es/calendario/i-carrerapopular-parque-invierno/" title="Ir a http://cronelec.es/calendario/i-carrerapopular-parque-invierno/" rel="external">http://cronelec.es/calendario/i-carrerapopular-parque-invierno/</a>"
"FIMP 2017","Actividades","FIMP","19/11/2017","<p>FIMP 2017, Touching de Future, es el evento de innovación, nuevas tecnologíasy videojuegos más grande del norte de España. Encuentro para todos los públicos.</p><p>La cita tendrá lugar del <strong>17 al 19 de noviembre en el Recinto Ferial Luis Adaro</strong>.</p><p>Habrá hueco desde la educación al impulso de las empresas emprendedoras, los juegos puros y duros, la impresión 3D, talleres, startups y también para el entretenimiento:</p><p><strong><a href="http://www.fimp.es/#contenidos"><strong>Contenidos:</strong></a></strong></p><ul><li><strong>Indies,</strong><strong>los videojuegos más originales e independientes</strong><strong></strong></li><li><strong>E-Sports</strong></li><li><strong>Realidad Virtual</strong> –HTC Vive, acércate a su zona y prueba todos sus juegos.</li><li><strong>Startups</strong></li><li><strong>Makers</strong><strong>, pásate por la zona Maker y podrás ver showroom y talleres de impresión 3D, robótica, drones o wearables.</strong></li><li><strong>Kids &amp; Family</strong><strong>, diversión para toda la familia</strong></li><li><strong>Videojuegos</strong><strong></strong></li><li><strong><a href="http://www.fimp.es/blog/contenidos/workshop/" title="Ir a http://www.fimp.es/blog/contenidos/workshop/" rel="external">Talleres (</a>necesaria inscripción)</strong><strong></strong></li><li><strong>Shop &amp; Food</strong><strong>….</strong></li></ul><p><a href="https://oferplan.elcomercio.es/ofertas-descuentos/entrada-fimp-7302.html" title="Ir a https://oferplan.elcomercio.es/ofertas-descuentos/entrada-fimp-7302.html" rel="external">Entradas:</a></p><ul><li>Acceso 1 día Infantil: 1 €</li><li>Acceso 1 día Adulto: 2,50 € (a partir de 12años)</li><li>Abono 3 días Infantil: 2 € solo venta online</li><li>Abono 3 días Adulto: 4,50 € solo venta online (a partir de 12 años)</li></ul>","","<p>Recinto Ferial Luis Adaro</p>  <p>Paseo del Doctor Fleming</p>  <p>Gijón</p>  Tel: 985 18 01 00","","<a href="http://www.fimp.es/" title="Ir a http://www.fimp.es/" rel="external">http://www.fimp.es/</a>"
"XIX Congreso Estatal de Voluntariado "Sumando Voluntad"","Actividades","Plataforma del Voluntariado de España, Ministerio de Sanidad, Servicios Sociales e Igualdad y Junta de Andalucía","22/11/2017","<p>Se organiza en Sevilla el <strong>XIX Congreso Estatal de Voluntariado</strong></p><p>Se trata de un lugar de encuentro de personas voluntarias y entidades que se celebra durante 2 días en un entorno activo y participativo. Constará de ponencias,mesas redondas, talleres, comunicaciones y posters, así como actividades sociales y culturales guían la dinámica de este evento que apuesta por la construcción con junta de una sociedad más justa e igualitaria.</p><p><strong>Requisitos</strong><strong> de participación</strong>:Entidades de voluntariado y otras redes ciudadanas.</p><p><strong>Celebración:</strong>Tendrá lugar en Sevilla, en el Palacio de Congresos y Exposiciones, los días 22 y 23 de noviembre de 2017.</p><p>Participar en este encuentro permitirá, a través de mesas redondas,ponencias y talleres, aprender los beneficios que la participación solidaria aporta, conocer las novedades legislativas en este ámbito y ver de cerca el trabajo que se lleva a cabo en diferentes ámbitos como el deportivo,medioambiental, cooperación al desarrollo, protección civil, el mundo de la cultura, del ocio y tiempo libre, de la educación, de la sanidad.</p><p><strong>Las áreas temáticas de este XIX Congreso Estatal del Voluntariado son:</strong></p><ul> <li>Área 1: “SUMANDO MÁS EUROPA” </li><li>Área 2: “SUMANDO NUEVOS RETOS” </li><li>Área 3: “SUMANDO EDUCACIÓN Y FUTURO” </li><li>Área 4: “SUMANDO ESFUERZOS, IMPACTOS Y VISIBILIDAD”</li></ul><p><strong>La participación es gratuita. </strong></p><p><strong>Criterios de selección:</strong> Las inscripciones se aceptarán por orden de llegada atendiendo al equilibrio territorial, favoreciendo la participación de todas las provincias, entidades de Voluntariado y organizaciones sociales.</p><p><strong>Inscripciones online en la web de referencia:</strong> <a href="http://www.congresovoluntariadoandalucia.org/inscripciones" title="Ir a http://www.congresovoluntariadoandalucia.org/inscripciones" rel="external">http://www.congresovoluntariadoandalucia.org/inscripciones</a></p><strong>El plazode inscripción permanecerá abierto hasta la fecha publicada en el portal (hastael 22 de noviembre de 2017)</strong>","<a href="http://www.congresovoluntariadoandalucia.org/" title="Ir a http://www.congresovoluntariadoandalucia.org/" rel="external">http://www.congresovoluntariadoandalucia.org/</a>","<p><strong>Plataforma del Voluntariado de España:</strong></p>  <p>Calle del Tribulete, 18 Local, 28012 Madrid</p>  <p>Tel.: 915 41 14 66</p>  <p><strong>Consejería de Igualdad y Políticas Sociales Junta de Andalucía</strong>:</p>  <p>Dirección General de Participación Ciudadana y Voluntariado</p>  Avda. de Hytasa, nº 14 41006 - Sevilla","<a href="mailto:secretariacongresovoluntariado.cips@juntadeandalucia.es" title="Enviar correo electrónico a secretariacongresovoluntariado.cips@juntadeandalucia.es">secretariacongresovoluntariado.cips@juntadeandalucia.es</a>","<a href="http://www.congresovoluntariadoandalucia.org" title="Ir a www.congresovoluntariadoandalucia.org" rel="external">www.congresovoluntariadoandalucia.org</a>"
"Semana Europea de la Prevención de Residuos 2017","Actividades","Cogersa","26/11/2017","<p>Del 18 al 26 de noviembre, tendrá lugar la Semana Europea de la Prevención de Residuos 2017 cuya participación puede aportar grandes beneficios al constituir una apuesta por la protección del medio ambiente y por la concienciación y sensibilización de la sociedad de la población.</p><p>Dirigido a asociaciones y ONG, las cuales desempeñan un papel de gran relevancia en la sociedad y, por ello, resulta un colectivo de especial interés en este proyecto, en tanto sus acciones pueden servir de referencia para otras entidades así como para el resto de la población.</p><p>El fin de la Semana Europea de la Prevención de Residuos consiste en desarrollar a nivel europeo el mayor número posible de acciones para sensibilizar a la ciudadanía sobre la reducción y el reciclaje de residuos</p><p>Se propone una acción común propuesta por COGERSA que consiste en la recogida de juguetes con un fin solidario. O bien, acciones individuales, cuya temática esté basada en la prevención y el fomento del reciclaje de los residuos.</p><p>En Gijón, se podrán depositar los juguetes en los contenedores que estarán instalados por EMULSA durante esta semana en las zonas de entrada de los centros municipales de La Calzada, Gijón-Sur, El Llano, L’Arena y El Coto</p><p>Más información en <a href="http://www.cogersa.es/" title="Ir a http://www.cogersa.es/" rel="external">http://www.cogersa.es/</a></p>","","<p>Cogersa. Centro de Tratamientos de Residuos de Asturias</p>  <p>Carretera de Cogersa, 1125</p>  <p>33697 Serín</p>  Tel: 985 31 49 73","","<a href="http://www.cogersa.es/"></a><div style="text-align: left;"><a href="http://www.cogersa.es/" title="Ir a http://www.cogersa.es/" rel="external">http://www.cogersa.es/</a></div><a href="http://www.cogersa.es/"></a>"
"V Alcuentros de Músiques Asturianes","Actividades","FMCE y UP","28/11/2017","<b>Siete bandas asturianas participarán entre el 26 de octubre y el 28 de noviembre en la quinta edición de los Alcuentros de Músiques Asturianes, con conciertos en los Centros Municipales Integrados de Gijón</b>.  <p></p>  <ul><li>26 de octubre, CMI Ateneo La Calzada: &quot;La Bonturné&quot;</li><li>30 de octubre, CMI Pumarín Gijón-Sur: &quot;Caldo y Osrabizos</li><li>31 de octubre, CMI El Llano: ¿Aú?</li><li>2 de noviembre, CMI Ateneo La Calzada: &quot;L-R&quot;</li><li>7 de noviembre, CMI Pumarín Gijón-Sur: &quot;Rafa Lorenzo y su grupo&quot;</li><li>9 de noviembre, CMI Ateneo La Calzada: &quot;Los Gascones&quot;</li><li>28 de noviembre, CMI El Llano: &quot;Alienda</li></ul>  <p></p>  <p>Todos los conciertos serán a las <b>19:30 h.</b></p>  <p></p>  <p><b>Entrada libre hasta completar aforo</b></p>","<a href="https://cultura.gijon.es/page/3690-musica" title="Ir a https://cultura.gijon.es/page/3690-musica" rel="external">Más información</a>","","","<p><a href="https://cultura.gijon.es/ ?" title="Ir a https://cultura.gijon.es/ ?" rel="external">https://cultura.gijon.es/ </a><br/></p>"
