url,identificador,locale,send,nombre,telefono,fax,correo-electronico,web,horario,descripcion,direccion,localizacion,categorias,foto
"http://www.gijon.es/directorios/show/499-colegio-publico-tremanes","499","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Tremañes","985 322 468","985 322 468","tremanes@educastur.org","(Septiembre a Junio)Lunes a Viernes: 9:00-13:00h.Octubre a Mayo: 9:00-14:00h.Lunes:16:00-18:00h.","Jornada Continua: SíComedor: SíAsturiano: síOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Bazán, s/n.","43.53164 -5.699662","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/487-colegio-publico-nicanor-pinole","487","es","fecha-actualizacion2017-02-16 08:43:23 +0100","Colegio Público Nicanor Piñole","985 141 019","985 141 019","nicanorp@educastur.org","http://www.colegionicanorpinole.com","(Septiembre a Junio)Lunes a Viernes: 9:00-13:00h.Octubre a Mayo: 9:00-14:00h.Lunes:16:00-18:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","Ctra. del Obispo, 98","43.517848 -5.663259","Colegios, 2010, Gijón, Educación"
"http://www.gijon.es/directorios/show/486-colegio-publico-monteana","486","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Monteana","985 320 057","985 320 057","monteana@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: NoAsturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","Montiana, s/n.","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6450/150x113_v1_DirectorioeducacionescuelaMontiana.jpg"
"http://www.gijon.es/directorios/show/485-colegio-publico-montevil","485","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Montevil","985 145 630","985 145 499","montevil@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Río Eo, 48","43.522963 -5.674546","Colegios","http://www.gijon.es/data/images/f6/6449/280x210_v1_Directorioeducacionmontevil.jpg"
"http://www.gijon.es/directorios/show/483-colegio-publico-miguel-de-cervantes","483","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Miguel de Cervantes","985 324 205","985 324 205","miguelde@educastur.org","(Septiembre a Junio)Lunes a Viernes: 9:00-13:00h.Octubre a Mayo: 9:00-14:00h.Lunes:16:00-18:00h.","Jornada Continua: Sí Comedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Primaria.","C/Camino de Rubín, s/n.","43.538726 -5.707483","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/482-colegio-publico-manuel-martinez-blanco","482","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Manuel Martínez Blanco","985 393 329","985 393 329","manuelma@educastur.org","Lunes a Viernes: 9:00-14:00h.(Secretaría)Lunes a Viernes: 9:00-10:00h. 21 al 30 Abril: 12:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: síOferta Formativa:   -Educación Primaria.","C/ Río de Oro, 29","43.529272 -5.662755","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6447/306x230_v1_DirectorioeducacionMMblanco.jpg"
"http://www.gijon.es/directorios/show/481-colegio-publico-lloreu","481","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Lloréu","985 325 813","985 325 813","ellloreu@educastur.org","Lunes a Viernes: 9:00-14:00h.(Secretaría)Lunes a Viernes: 9:00-10:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Primaria.","C/Cortijo, 16","43.537484 -5.688096","Colegios, Centros de Formación, 2010, Gijón","http://www.gijon.es/data/images/f6/6446/306x229_v1_Directorioeducacionlloreu.jpg"
"http://www.gijon.es/directorios/show/480-colegio-publico-los-pericones","480","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Los Pericones","985 384 715","985 384 715","lospericones@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -1º Educación Primaria.","C/Pepe Ortiz, 21","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6445/280x210_v1_Directorioeducacionpericones.jpg"
"http://www.gijon.es/directorios/show/479-colegio-publico-los-campos","479","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Los Campos","985 373 314","985 334 903","campos@educastur.org","(Septiembre a Junio)Lunes a Viernes: 9:00-13:00h.(Octubre a Mayo)Lunes a Viernes: 9:00-14:00h.","Jarnada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Enrique Martínez, 24","43.536463 -5.653903","Colegios","http://www.gijon.es/data/images/f6/6444/306x229_v1_Directorioeducacionloscampos.jpg"
"http://www.gijon.es/directorios/show/478-colegio-publico-laviada","478","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Laviada","985 355 763","985 352 287","laviada@educastur.org","Lunes a Viernes: 9:00-14:00h.(Secretaría)Lunes y Martes:11:00-12:00h.Miercoles y Jueves:9:00-10:00h.","Jornada Continua: SíComedor: SíAsturiana: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Juanín de Mieres, 5","43.536175 -5.670665","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6443/306x229_v1_Directorioeducacionlaviada.jpg"
"http://www.gijon.es/directorios/show/476-colegio-publico-julian-gomez-elisburu","476","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Julián Gómez Elisburu","985 384 402","985 165 574","juliango@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: SíAsturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Baleares, 8","43.528486 -5.670791","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6442/280x210_v1_Directorioeducacionelisburu.jpg"
"http://www.gijon.es/directorios/show/475-colegio-publico-jovellanos","475","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Jovellanos","985 343 972","985 342 187","jovellan@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: NoAsturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/La Merced, 38","43.540495 -5.661612","Colegios, Centros de Formación","http://www.gijon.es/data/images/f6/6441/250x220_v1_DirectorioeducacioncolegioJovellanos.jpg"
"http://www.gijon.es/directorios/show/474-colegio-publico-jove","474","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Jove","985 321 682","985 321 682","Xove@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: SíAsturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","Camín Ería de Polía, 18 (El Musel)","43.5462 -5.702406","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/472-colegio-publico-jacinto-benavente","472","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Jacinto Benavente","985 136 761","985 137 058","jacintob@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: NoComedor: Sí (Pdo.)asturiano: NoOferta Formativa:    -Educación Infantil de 2º ciclo.   -Educación Primaria.","Vega,La Iglesia.","43.491767 -5.651318","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6440/280x187_v1_Directorioeducacionjacinto.png"
"http://www.gijon.es/directorios/show/471-colegio-publico-honesto-batalon","471","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Honesto Batalón","985 352 321","985 352 321","honestob@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: NoOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Honesto Batalón, 24","43.548107 -5.664809","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/469-colegio-publico-federico-garcia-lorca","469","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Federico García Lorca","985 325 131","985 325 131","federico@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: Sí Oferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Ecuador, 9","43.538324 -5.695169","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/468-colegio-publico-evaristo-valle","468","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Evaristo Valle","985 144 230","985 144 230","<a href="http://evaristo@educastur.org" title="Ir a evaristo@educastur.org ">evaristo@educastur.org</a>","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: SíAsturiano: SíOferta Formativa:   -Educación Primaria.","C/Puerto de Somiedo, s/n.","43.531065 -5.677958","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6438/306x229_v1_Directorioeducacionevaristovalle.jpg"
"http://www.gijon.es/directorios/show/467-colegio-publico-el-llano","467","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público El Llano","985 143 230","985 143 230","elllano@educastur.org","Lunes a Viernes: 9:00-14:00h. Secretaría: 9:00-13:00h.","Jornada Continua: SíComedor: SíAsturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Río de Oro, 33","43.527971 -5.663361","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6437/238x179_v1_Directorioeducacionllano.jpg"
"http://www.gijon.es/directorios/show/466-colegio-publico-eduardo-martinez-torner","466","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Eduardo Martínez Torner","985 314 155","985 317 366","eduardom@educastur.org","(Septiembre a Junio)Lunes a Viernes: 9:00-13:00h.(Octubre a Mayo)Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","Avda. de Juan Carlos I, 106","43.535549 -5.702124","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6436/234x227_v1_DirectorioeducacionEduardo_Martinez.JPG"
"http://www.gijon.es/directorios/show/465-colegio-publico-clarin","465","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Clarín","985 334 845","985 185 403","claringi@educastur.org","(Septiembre a Junio)Lunes a Viernes: 9:00-13:00h.(Octubre a Mayo)Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Primaria.","Ctra. de Villaviciosa, 26","43.533521 -5.638607","Colegios"
"http://www.gijon.es/directorios/show/464-colegio-publico-educacion-especial-castiello-bernueces","464","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Educación Especial Castiello Bernueces","985 337 089","985 338 004","fmss@gijon.es","Lunes a Viernes: 9:00 -16:30h.","Jornada Continua: SíComedor: SíAsturiano: NoOferta Formativa:   -Escuela Infantil (Red de Esscuelas Infantiles del Pdo. De 0 a 3 años).   -Educación Secundaria Obligatoria.   -Educación Especial.","Camino de la Ería, 699 (Castiello de Bernueces)","43.514378 -5.625901","Colegios, Centros de Formación, 2010, Gijón","http://www.gijon.es/data/images/f6/6435/294x196_v1_DirectorioeducacionCastiello1.JPG"
"http://www.gijon.es/directorios/show/463-colegio-publico-cabuenes","463","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Cabueñes","985 331 044","985 333 277","cabuenes@educastur.org","Lunes a Viernes: 9:00.14:00h.","Jornada Continua: No Comedor: SíAsturiano: Sí Oferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","Camino de la Escuela, 475","43.520695 -5.604272","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/462-colegio-publico-cabrales","462","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Cabrales","985 355 068","985 355 068","cabrales@educastur.org","Lunes a Viernes: 9:00.14:00h.","Jornada Continua: SíComedor: No Asturiano: SíOferta Formativa:    -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Casimiro Velasco, 17","43.539819 -5.659818","Colegios","http://www.gijon.es/data/images/f6/6434/280x210_v1_Directorioeducacioncabrales.jpg"
"http://www.gijon.es/directorios/show/461-colegio-publico-begona","461","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Begoña","985 370 947","985 195 029","bego%C3%B1a@educastur.org","Lunes a Viernes: 9:00.14:00h.","Jornada Continua: SíComedor: SíAsturiano: SíOferta Formativa:    -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Anselmo Solar, 25","43.529937 -5.643432","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/460-colegio-publico-atalia","460","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Atalía","985 323 644","985 323 644","atalia@educastur.org","Lunes a Viernes: 9:00.14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:    -Educación Infantil de 2º ciclo.   -Educación Primaria bilingüe.","Camino de la Fábrica de Loza, 25","43.538784 -5.683993","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6433/288x216_v1_Directorioeducacionatalia01.JPG"
"http://www.gijon.es/directorios/show/459-colegio-publico-asturias","459","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Asturias","985 386 852","985 386 852","asturias@educastur.org","Lunes a Viernes: 9:00.14:00h.","Jornada Continua: Sí Comedor: Sí (Ayto.)Asturiano: Sí Oferta Formativa:    -Educación Infantil de 2º ciclo.   -Educación Primaria.","Colegioi Público  Asturias - C/Puerto de Leitariegos, 6","43.534483 -5.673505","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6432/288x216_v1_Directorioeducacionastrurias01.JPG"
"http://www.gijon.es/directorios/show/458-colegio-publico-antonio-machado","458","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Antonio Machado","985 148 219","985 148 219","antoniom@educastur.org","(Septiembre a Junio)Lunes a Viernes: 9:00-13:00h. Octubre a Mayo: 9:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: Sí Oferta Formativa:    -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Monsacro, 24","43.526936 -5.683346","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/457-colegio-publico-alfonso-camin","457","es","fecha-actualizacion2014-01-22 12:02:31 +0100","Colegio Público Alfonso Camín","985 386 661 , 985 382 561","985 386 661","alfonsoc@educastur.org","Lunes a Viernes: 9:00-14:00h. Secretaría: 9:00-10:30h.","Jornada Continua: NoComedor: Sí (Princ.)Asturiano: SíOferta Formativa:    -Educación Primaria.","C/Electricistas, s/n.","43.518688 -5.681428","Colegios, 2010, Gijón"
