Código,Nombre,Crédito inicial del ejercicio
294,"Impuesto sobre la producción, los servicios y la importación (IPSI) de Ceuta y Melilla",0
295,"Impuesto sobre primas de seguros",0
296,"Impuesto sobre transmisiones patrimoniales y actos jurídicos documentados",0
299,"Otros Impuestos indirectos",0
3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",12287905.91
30,"Tasas por la prestación de servicios públicos básicos",3106000.00
300,"Servicio de abastecimiento de agua",1000.00
301,"Servicio de alcantarillado",0
302,"Servicio de recogida de basuras",2550000.00
303,"Servicio de tratamiento de residuos",25000.00
304,"Canon de saneamiento",0
309,"Otras tasas por prestación de servicios básicos",530000.00
31,"Tasas por la prestación de servicios públicos de carácter social y preferente",0
310,"Servicios hospitalarios",0
311,"Servicios asistenciales",0
312,"Servicios educativos",0
313,"Servicios deportivos",0
319,"Otras tasas por prestación de servicios de carácter preferente",0
32,"Tasas por la realización de actividades de competencia local",1605217.00
320,"Licencias de caza y pesca",0
321,"Licencias urbanísticas",852917.00
322,"Cedulas de habitabilidad y licencias de primera ocupación",242800.00
323,"Tasas por otros servicios urbanísticos",0
324,"Tasas sobre el juego",0
325,"Tasa por expedición de documentos",34500.00
326,"Tasa por retirada de vehículos",140000.00
329,"Otras tasas por la realización de actividades de competencia local",335000.00
33,"Tasas por la utilización privativa o el aprovechamiento especial del dominio público local",3160928.00
330,"Tasa de estacionamiento de vehículos",0
331,"Tasa por entrada de vehículos",1270000.00
332,"Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de suministros",1020000.00
333,"Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de telecomunicaciones",0
334,"Tasa por apertura de calas y zanjas",2400.00
335,"Tasa por ocupación de la vía pública con terrazas",100000.00
336,"Tasa por ocupación de la vía pública con suspensión temporal del tráfico rodado",97000.00
337,"Tasas por aprovechamiento del vuelo",0
338,"Compensación de Telefónica de España S.A.",320000.00
339,"Otras tasas por utilización privativa del dominio público",351528.00
34,"Precios públicos",2499157.91
340,"Servicios hospitalarios",5000.00
341,"Servicios asistenciales",0
342,"Servicios educativos",0
343,"Servicios deportivos",2099150.00
344,"Entradas a museos, exposiciones, espectáculos",0
345,"Servicio de transporte público urbano",0
349,"Otros precios públicos",395007.91
35,"Contribuciones especiales",0
350,"Para la ejecución de obras",0
351,"Para el establecimiento o ampliación de servicios",0
36,"Ventas",260000.00
38,"Reintegros de operaciones corrientes",1.00
380,"Reintegro de avales",0
389,"Otros reintegros de operaciones corrientes",1.00
39,"Otros ingresos",1656602.00
391,"Multas",1223001.00
391.00,"Multas por infracciones urbanísticas",6000.00
391.10,"Multas por infracciones tributarias y análogas",85000.00
391.20,"Multas por infracciones de la Ordenanza de circulación",1080001.00
391.90,"Otras multas y sanciones",52000.00
392,"Recargos del periodo ejecutivo y por declaración extemporánea sin requerimiento previo",281600.00
392.00,"Recargos por declaración extemporánea sin requerimiento previo",1500.00
392.10,"Recargo ejecutivo",100.00
392.11,"Recargo de apremio",280000.00
393,"Intereses de demora",105000.00
394,"Prestación personal",0
395,"Prestación de transporte",0
396,"Ingresos por actuaciones de urbanización",0
396.00,"Canon de urbanización",0
396.10,"Cuotas de urbanización",0
397,"Aprovechamientos urbanísticos",0
397.00,"Canon por aprovechamientos urbanísticos",0
397.10,"Otros ingresos por aprovechamientos urbanísticos",0
398,"Indemnizaciones de seguros de no vida",0
399,"Otros ingresos diversos",47001.00
4,"TRANSFERENCIA CORRIENTES",17832649.42
40,"De la Administración General de la Entidad Local",0
41,"De Organismos Autónomos de la Entidad Local",0
42,"De la Administración del Estado",15400001.00
420,"De la Administración General del Estado",15400001.00
420.00,"Participación en los Tributos del Estado",15400000.00
420.10,"Fondo Complementario de Financiación",0
420.20,"Compensación por beneficios fiscales",0
420.90,"Otras transferencias corrientes de la Administración General del Estado",1.00
421,"De Organismos Autónomos y agencias estatales",0
421.00,"Del Servicio Público de Empleo Estatal",0
421.90,"De otros Organismos Autónomos y Agencias",0
422,"De fundaciones estatales",0
423,"De sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos",0
423.00,"De Loterías y Apuestas del Estado",0
423.90,"De otras sociedades mercantiles estatales, entidades públicas empresariales y organismos públicos",0
43,"De la Seguridad Social",0
44,"De entes públicos y sociedades mercantiles de la Entidad local",0
440,"De entes públicos",0
441,"De sociedades mercantiles",0
45,"De Comunidades Autónomas",2413648.42
450,"De la Administración General de las Comunidades Autónomas",2413648.42
450.00,"Participación en tributos de la Comunidad Autónoma",0
450.01,"Otras transferencias incondicionadas",0
450.02,"Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Servicios Sociales y Políticas de Igualdad",916022.20
450.30,"Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Educación",344888.83
450.50,"Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Empleo y Desarrollo local",0
450.60,"Otras transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma",1149237.39
450.80,"Otras subvenciones corrientes de la Administración General de la Comunidad Autónoma",3500.00
451,"De Organismos Autónomos y agencias de las Comunidades Autónomas",0
452,"De fundaciones de las Comunidades Autónomas",0
453,"De sociedades mercantiles, entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas",0
46,"De Entidades Locales",0
461,"De Diputaciones, Consejos o Cabildos",0
462,"De Ayuntamientos",0
463,"De Mancomunidades",0
464,"De Áreas Metropolitanas",0
465,"De Comarcas",0
466,"De Entidades que agrupen Municipios",0
467,"De Consorcios",0
468,"De Entidades locales Menores",0
47,"De Empresas privadas",13000.00
48,"De familias e instituciones sin fines de lucro",6000.00
49,"Del exterior",0
490,"Del Fondo Social Europeo",0
491,"Del Fondo de Desarrollo Regional",0
492,"Del Fondo de Cohesión",0
493,"Del Fondo Europeo Agrícola de Garantía (FEAGA)",0
494,"Del Fondo Europeo Agrícola de Desarrollo Rural (FEADER)",0
495,"Del FEOGA-Orientación",0
496,"Del Fondo Europeo de la Pesca (FEP)",0
497,"Otras transferencias de la Unión Europea",0
499,"Otras tansferencias del exterior, excluyendo la Unión Europea",0
5,"INGRESOS PATRIMONIALES",2254025.43
50,"Intereses de títulos y valores",0
500,"Del Estado",0
501,"De Organismos Autónomos y agencias",0
504,"De sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos",0
505,"De Comunidades Autónomas",0
506,"De Entidades locales",0
507,"De empresas privadas",0
51,"Intereses de anticipos y préstamos concedidos",386012.83
511,"A Organismos Autónomos y agencias",0
514,"A sociedades mercantiles, entidades públicas empresariales y otros organismos públicos",386012.83
518,"A familias e instituciones sin ánimo de lucro",0
52,"Intereses de depósitos",5000.00
53,"Dividendos y participación beneficios",850600.00
531,"De Organismos Autónomos y agencias",0
534,"De Sociedades mercantiles, entidades públicas empresariales y otros organismos públicos",850600.00
534.00,"De sociedades y entidades dependientes de las entidades locales",815600.00
534.10,"De sociedades y entidades no dependientes de las entidades locales",35000.00
537,"De empresas privadas",0
54,"Rentas de bienes inmuebles",41967.60
541,"Arrendamientos de fincas urbanas",40967.60
542,"Arrendamientos de fincas rústicas",1000.00
544,"Censos",0
549,"Otras rentas de bienes inmuebles",0
55,"Productos de concesiones y aprovechamientos especiales",969945.00
550,"De concesiones administrativas con contraprestación periódica",969945.00
551,"De concesiones administrativas con contraprestación no periódica",0
552,"Derecho de superficie con contraprestación periódica",0
553,"Derecho de superficie con contraprestación no periódica",0
554,"Aprovechamientos agrícolas y forestales",0
554.00,"Producto de explotaciones forestales",0
554.10,"Fondo de mejora de montes",0
555,"Aprovechamientos especiales con contraprestación",0
559,"Otras concesiones y aprovechamientos",0
59,"Otros ingresos patrimoniales",500.00
591,"Beneficios por realización de inversiones financieras",0
592,"Ingresos por operaciones de intercambio financiero",0
599,"Otros ingresos patrimoniales",500.00
6,"ENAJENACIÓN DE INVERSIONES REALES",3484000.00
60,"De terrenos",3484000.00
600,"Venta de solares",3484000.00
601,"Venta de fincas rústicas",0
602,"Parcelas sobrantes de la vía pública",0
603,"Patrimonio público del suelo",0
609,"Otros terrenos",0
61,"De las demás inversiones reales",0
611,"De inversiones de carácter inmaterial",0
612,"De objetos valiosos",0
619,"De otras inversiones reales",0
68,"Reintegros por operaciones de capital",0
680,"De ejercicios cerrados",0
7,"TRANSFERENCIAS DE CAPITAL",0
70,"De la Administración General de la Entidad Local",0
71,"De Organismos Autónomos de la Entidad Local",0
72,"De la Administración del Estado",0
720,"De la Administración General del Estado",0
721,"De Organismos Autónomos y agencias estatales",0
721.00,"Del Servicio Público de Empleo Estatal",0
721.90,"De otros Organismos Autónomos y agencias",0
722,"De fundaciones estatales",0
723,"De sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos",0
723.00,"De Loterías y Apuestas del Estado",0
723.90,"De otras sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos",0
73,"De la Seguridad Social",0
74,"De entes públicos y sociedades mercantiles de la Entidad local",0
740,"De entes públicos",0
741,"De sociedades mercantiles",0
75,"De Comunidades Autónomas",0
750,"De la Administración General de las Comunidades Autónomas",0
750.00,"Subvenciones afectas a la amortización de préstamos y operaciones financieras",0
750.02,"Transferencias de capital en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Servicios Sociales y Políticas de Igualdad",0
750.30,"Transferencias de capital en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Educación",0
750.50,"Transferencias de capital en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Empleo y Desarrollo local",0
750.60,"Otras transferencias de capital en cumplimiento de convenios suscritos con la Comunidad Autónoma",0
750.80,"Otras transferencias de capital de la Administración General de la Comunidad Autónoma",0
751,"De Organismos Autónomos y agencias de las Comunidades Autónomas",0
752,"De fundaciones de las Comunidades Autónomas",0
753,"De sociedades mercantiles, entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas",0
76,"De Entidades Locales",0
761,"De Diputaciones, Consejos o Cabildos",0
762,"De Ayuntamientos",0
763,"De Mancomunidades",0
764,"De Áreas Metropolitanas",0
765,"De Comarcas",0
766,"De otras Entidades que agrupen Municipios",0
767,"De Consorcios",0
768,"De Entidades locales Menores",0
77,"De empresas privadas",0
78,"De familias e instituciones sin fines de lucro",0
79,"Del exterior",0
790,"Del Fondo Social Europeo",0
791,"Del Fondo de Desarrollo Regional",0
792,"Del Fondo de Cohesión",0
793,"Del Fondo Europeo Agrícola de Garantía (FEAGA)",0
794,"Del Fondo Europeo Agrícola de Desarrollo Rural (FEADER)",0
795,"Del FEOGA-Orientación",0
796,"Del Fondo Europeo de la Pesca (FEP)",0
797,"Otras transferencias de la Unión Europea",0
799,"Otras transferencias del exterior, excluyendo la Unión Europea",0
8,"ACTIVOS FINANCIEROS",406143.27
80,"Enajenación de deuda del sector público",0
800,"Enajenación de deuda del sector público a corto plazo",0
800.00,"Del Estado",0
800.10,"De Comunidades Autónomas",0
800.20,"De Entidades locales",0
801,"Enajenación de deuda del sector público a largo plazo",0
801.00,"Del Estado",0
801.10,"De Comunidades Autónomas",0
801.20,"De Entidades locales",0
81,"Enajenación de obligaciones y bonos fuera del sector público",0
810,"Enajenación de obligaciones y bonos fuera del sector público a corto plazo",0
811,"Enajenación de obligaciones y bonos fuera del sector público a largo plazo",0
82,"Reintegro de préstamos y anticipos concedidos al sector público",406143.27
820,"Reintegro de préstamos y anticipos concedidos al sector público a corto plazo",0
820.00,"Del Estado",0
820.10,"De Comunidades Autónomas",0
820.20,"De Entidades locales",0
821,"Reintegro de préstamos y anticipos concedidos al sector público a largo plazo",406143.27
821.00,"Del Estado",0
821.10,"De Comunidades Autónomas",0
821.20,"De Entidades locales",406143.27
83,"Reintegros de préstamos de fuera del sector público",0
830,"Reintegros de préstamos de fuera del sector público a corto plazo",0
831,"Reintegros de préstamos de fuera del sector público a largo plazo",0
84,"Devolución de depósitos y fianzas constituidos",0
840,"Devolución de depósitos",0
841,"Devolución de fianzas",0
85,"Enajenación de acciones y participaciones del sector público",0
86,"Enajenación de acciones y participaciones fuera del sector público",0
87,"Remanente de tesorería",0
870,"Remanente de tesorería",0
870.00,"Para gastos generales",0
870.10,"Para gastos con financiación afectada",0
9,"PASIVOS FINANCIEROS",0
90,"Emisión de Deuda Pública en euros",0
900,"Emisión de Deuda Pública en euros a corto plazo",0
901,"Emisión de Deuda Pública en euros a largo plazo",0
91,"Préstamos recibidos en euros",0
910,"Préstamos recibidos a corto plazo de entes del sector público",0
911,"Préstamos recibidos a largo plazo de entes del sector público",0
912,"Préstamos recibidos a corto plazo de entes de fuera del sector público",0
913,"Préstamos recibidos a largo plazo de entes de fuera del sector público",0
92,"Emisión de Deuda Pública en moneda distinta del euro",0
920,"Emisión de Deuda Pública en moneda distinta del euro a corto plazo",0
921,"Emisión de Deuda Pública en moneda distinta del euro a largo plazo",0
93,"Préstamos recibidos en moneda distinta del euro",0
930,"Préstamos recibidos en moneda distinta del euro a corto plazo",0
931,"Préstamos recibidos en moneda distinta del euro a largo plazo",0
94,"Depósitos y fianzas recibidos",0
940,"Depósitos recibidos",0
941,"Fianzas recibidas",0
