dc:identifier,dc:modified,dc:titulo,dc:es_servicio_online,dc:extracto_resumen,dc:tramite_online,dc:enlace,dc:es_servicio_presencial,dc:tramite_presencial,dc:es_servicio_telefonico,dc:tramite_telefonico,dc:telefonos_contacto,dc:dirigido_a,dc:como_se_realiza_solicita,dc:plazos_solicitud,dc:normativa_procedimientos_reguladores,dc:preguntas_frecuentes,dc:objetivos,dc:adjuntos,dc:adjuntos_documentacion,dc:enlaces,dc:impresos,dc:registro_general,dc:para_personas,dc:urbanismo_ciudad,dc:tributos_negocios,dc:servicio_municipal,dc:impuesto,dc:autoliquidaciones,dc:tipo_tramite,uri
3686,2017-10-31T01:23:13.169Z,Permiso de circulación de Vehículos (más de 16.000 kg),true,<p>Este tramite permite solicitar el permiso de circulación de vehículos que excedan los 16.000 kilogramos de MMA en el término municipal de Santander para el año en curso. Los permisos se conceden con caracter anual.</p>\n,"<p>Para poder realizar la Solicitud Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Cualquier <u>Certificado Digital o DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank""><b>enlace</b></a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank""><b>Aqui</b></a></p>\n",https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTEzMjEmcnV0YT0vM3dlYmMvYXN1bnRvc01hc1VzdWFsZXMuZG8/b3BjaW9uPTAhcGVyaW9kbz0w,true,"<p>Si desea presentar este impreso de forma presencial tiene que dirigirse a las dependencias de la Policía Municipal sitas en la calle Castilla núm. 32\, en horario de 8\,30 a 14 horas.</p>\n<p>También puede solicitar este Permiso a traves de los Registros de cualquier órgano administrativo que pertenezca a la Administración General del Estado; a la de cualquier Administración de las Comunidades Autónomas; a la de cualquier Administración de las Diputaciones Provinciales\, Cabildos y Consejos Insulares; a los Ayuntamientos de los Municipios a que se refiere el artículo 121 de la Ley 7/1985\, de 2 de abril\, reguladora de las Bases del Régimen Local; o a la del resto de las entidades que integran la Administración Local si\, en este último caso\, se hubiese suscrito el oportuno convenio. Así como en las oficinas de Correos\, en las representaciones diplomáticas u oficinas consulares de España en el extranjero\, y en cualquier otro Registro que establezcan las disposiciones vigentes.</p>\n",false,,,,,,,,,,,,,,,Transportes y autorizaciones especiales,,Policía Local,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3686.csv
3685,2017-10-31T01:23:13.169Z,"Necesito un certificado de Signos Externos (para Justicia gratuita\, por ejemplo)",false,"<p>Es un certificado que acredita la titularidad de los bienes inmuebles o vehículos de que es propietaria una persona física\, o bien que no se dispone de ninguno.</p>\n",,,true,"<p>Debe acudir al Registro del Ayuntamiento para solicitarlo. Una vez elaborado el Ayuntamiento se pondrá en contacto con el Ciudadano\, para que pase a recogerlo por el Negociado de Bienes Inmuebles\, normalmente dos días después de su solicitud.</p>\n",false,,<p>942 200 831</p>\n,A cualquier interesado que necesite acreditar sus recursos económicos,,Se puede solicitar en cualquier momento.,La específica de cada Organismo que requiera la aportación de este tipo de documento.,<p> </p>\n<p>Tiene coste? No</p>\n,,,<p>Fotocopia del D.N.I. del interesado.</p>\n,,,,Inscripción a Registros y Expedición de documentos,,,Bienes Inmuebles,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3685.csv
3684,2017-10-31T01:23:13.169Z,Presentación de Alegaciones a Expedientes Municipales,true,"<p style=""text-align: justify;"">Generalmente durante la fase de Instruccion de un Expediente\, y normalmente despues de una notificación\, un Ciudadano puede alegar sobre los hechos que se describen en dicha Notificación. Mediante este tramite un Ciudadano puede presentar un escrito de alegaciones\, sobre cualquier Expediente que tenga abierto con la administración\, ya sean multas de trafico\, sanciones de cualquier otro tipo\, o expedientes administrativos.</p>\n<p style=""text-align: justify;"">Con este documento\, el Ayuntamiento continuará con la gestión del expediente resolviendo a favor o en contra\, y notificará la resolución al interesado\, mediante alguno de los canales que hay legalmente habilitados para ello.</p>\n","<p>Para poder realizar la Solicitud Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Cualquier <u>Certificado Digital o DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank""><b>enlace</b></a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank""><b>aquí</b></a></p>\n",https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTE5NiZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA%3D,true,"<p style=""text-align: justify;"">Para la tramitación presencial\, la persona o entidad interesada puede rellenar <a href=""/sites/default/files/pliego%20de%20descargo.pdf"" target=""_blank"">este formulario</a> y presentarlo en los Registros de cualquier órgano administrativo que pertenezca a la Administración General del Estado; a la de cualquier Administración de las Comunidades Autónomas; a la de cualquier Administración de las Diputaciones Provinciales\, Cabildos y Consejos Insulares; a los Ayuntamientos de los Municipios a que se refiere el artículo 121 de la Ley 7/1985\, de 2 de abril\, reguladora de las Bases del Régimen Local; o a la del resto de las entidades que integran la Administración Local si\, en este último caso\, se hubiese suscrito el oportuno convenio. Así como en las oficinas de Correos\, en las representaciones diplomáticas u oficinas consulares de España en el extranjero\, y en cualquier otro Registro que establezcan las disposiciones vigentes. Y por supuesto en el Registro del Ayuntamiento de Santander</p>\n",false,,,,,,,,,,,,,Registro de documentos y expedientes,,,,Registro General,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3684.csv
3683,2017-10-31T01:23:13.169Z,"Reclamaciones\, quejas y sugerencias",true,"<p>La queja es una facultad a disposición de los ciudadanos para que indiquen cualquier tardanza\, desatención u otro tipo de actuación irregular que observen en el funcionamiento de los Servicios Municipales\, y que tenga por objeto su corrección.</p>\n<p>Igualmente se pone al servicio de los ciudadanos la posibilidad de presentar sugerencias que propongan medidas que supongan una mejora de un Servicio Municipal o de la calidad del mismo</p>\n","<p>Para poder realizar la Solicitud Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Cualquier <u>Certificado Digital o DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank""><b>enlace</b></a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank""><b>aquí</b></a></p>\n",https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTQ1NyZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA%3D,true,"<p style=""text-align: justify;"">Se puede presentar la solicitud en los Registros de cualquier órgano administrativo que pertenezca a la Administración General del Estado; a la de cualquier Administración de las Comunidades Autónomas; a la de cualquier Administración de las Diputaciones Provinciales\, Cabildos y Consejos Insulares; a los Ayuntamientos de los Municipios a que se refiere el artículo 121 de la Ley 7/1985\, de 2 de abril\, reguladora de las Bases del Régimen Local; o a la del resto de las entidades que integran la Administración Local si\, en este último caso\, se hubiese suscrito el oportuno convenio. Así como en las oficinas de Correos\, en las representaciones diplomáticas u oficinas consulares de España en el extranjero\, y en cualquier otro Registro que establezcan las disposiciones vigentes</p>\n<p style=""text-align: justify;""><strong>Nota Importante</strong>: Se rechazarán las quejas anónimas\, y aquellas en las que se advierta mala fe\, carencia de fundamento\, inexistencia de pretensión o cuya tramitación irrogue perjuicio al legítimo derecho de tercera persona. No se tendrá\, en ningún caso\, la calificación de recurso administrativo ni su interposición paralizará los plazos establecidos en la normativa vigente. Ni supondrán\, en modo alguno\, la renuncia al ejercicio de restantes acciones o derechos que\, de conformidad con la normativa reguladora de cada procedimiento\, se puedan ejercitar</p>\n",false,,,,,,,,,,,,,Registro de documentos y expedientes,Quejas y sugerencias,,,Registro General,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3683.csv
3682,2017-10-31T01:23:13.169Z,"ARCO\, Derecho de acceso",true,<p>Solicitar y obtener información de sus datos de carácter personal incluidos en ficheros automatizados y en papel de este Ayuntamiento</p>\n,"<p>Para poder realizar la Solicitud Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Cualquier <u>Certificado Digital o DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank""><b>enlace</b></a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank""><b>aquí</b></a></p>\n",https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTU2NyZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA%3D,true,"<p>Se puede presentar la solicitud en los Registros de cualquier órgano administrativo que pertenezca a la Administración General del Estado; a la de cualquier Administración de las Comunidades Autónomas; a la de cualquier Administración de las Diputaciones Provinciales\, Cabildos y Consejos Insulares; a los Ayuntamientos de los Municipios a que se refiere el artículo 121 de la Ley 7/1985\, de 2 de abril\, reguladora de las Bases del Régimen Local; o a la del resto de las entidades que integran la Administración Local si\, en este último caso\, se hubiese suscrito el oportuno convenio. Así como en las oficinas de Correos\, en las representaciones diplomáticas u oficinas consulares de España en el extranjero\, y en cualquier otro Registro que establezcan las disposiciones vigentes</p>\n",false,,,,,,,,,,,,,,Inscripción a Registros y Expedición de documentos,,,Registro General,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3682.csv
3681,2017-10-31T01:23:13.169Z,"ARCO\, Derecho de rectificación",true,<p>Solicitar la rectificación o modificación de sus datos de carácter personal que se encuentran en los ficheros automatizados y en papel del Ayuntamiento que resulten inexactos o incompletos</p>\n,"<p>Para poder realizar la Solicitud Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Cualquier <u>Certificado Digital o DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank""><b>enlace</b></a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank""><b>aquí</b></a></p>\n",https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTU3MSZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA%3D,true,"<p>Se puede presentar la solicitud en los Registros de cualquier órgano administrativo que pertenezca a la Administración General del Estado; a la de cualquier Administración de las Comunidades Autónomas; a la de cualquier Administración de las Diputaciones Provinciales\, Cabildos y Consejos Insulares; a los Ayuntamientos de los Municipios a que se refiere el artículo 121 de la Ley 7/1985\, de 2 de abril\, reguladora de las Bases del Régimen Local; o a la del resto de las entidades que integran la Administración Local si\, en este último caso\, se hubiese suscrito el oportuno convenio. Así como en las oficinas de Correos\, en las representaciones diplomáticas u oficinas consulares de España en el extranjero\, y en cualquier otro Registro que establezcan las disposiciones vigentes</p>\n",false,,,,,,,,,,,,,,Inscripción a Registros y Expedición de documentos,,,Registro General,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3681.csv
3680,2017-10-31T01:23:13.169Z,"ARCO\, Derecho de Cancelación",true,<p>Solicitar la cancelación de sus datos de carácter personal que se encuentran en los ficheros automatizados y en papel del Ayuntamiento que resulten ser inadecuados o excesivos</p>\n,"<p>Para poder realizar la Solicitud Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Cualquier <u>Certificado Digital o DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank""><b>enlace</b></a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank""><b>aquí</b></a></p>\n",https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTU3MCZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA%3D,true,"<p>Se puede presentar la solicitud en los Registros de cualquier órgano administrativo que pertenezca a la Administración General del Estado; a la de cualquier Administración de las Comunidades Autónomas; a la de cualquier Administración de las Diputaciones Provinciales\, Cabildos y Consejos Insulares; a los Ayuntamientos de los Municipios a que se refiere el artículo 121 de la Ley 7/1985\, de 2 de abril\, reguladora de las Bases del Régimen Local; o a la del resto de las entidades que integran la Administración Local si\, en este último caso\, se hubiese suscrito el oportuno convenio. Así como en las oficinas de Correos\, en las representaciones diplomáticas u oficinas consulares de España en el extranjero\, y en cualquier otro Registro que establezcan las disposiciones vigentes</p>\n",false,,,,,,,,,,,,,,Inscripción a Registros y Expedición de documentos,,,Registro General,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3680.csv
3679,2017-10-31T01:23:13.169Z,"ARCO\, Derecho de Oposición",true,"<p>Solicitar que no se lleve a cabo el tratamiento de los datos de carácter personal que se encuentran en los ficheros del Ayuntamiento o se cese en el mismo\, en los supuestos establecidos en el art. 34 del RD 1720/2007</p>\n","<p>Para poder realizar la Solicitud Online de este trámite\, se ha de cumplir los siguientes requisitos:</p>\n<p style=""margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Cualquier <u>Certificado Digital o DNI Electrónico</u> es válido. Si usted no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank""><b>enlace</b></a></p>\n<p style=""margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank""><b>aquí</b></a></p>\n",https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&entidad=&redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTU2OSZydXRhPS8zd2ViYy9hc3VudG9zTWFzVXN1YWxlcy5kbz9vcGNpb249MCFwZXJpb2RvPTA%3D,true,"<p>Se puede presentar la solicitud en los Registros de cualquier órgano administrativo que pertenezca a la Administración General del Estado; a la de cualquier Administración de las Comunidades Autónomas; a la de cualquier Administración de las Diputaciones Provinciales\, Cabildos y Consejos Insulares; a los Ayuntamientos de los Municipios a que se refiere el artículo 121 de la Ley 7/1985\, de 2 de abril\, reguladora de las Bases del Régimen Local; o a la del resto de las entidades que integran la Administración Local si\, en este último caso\, se hubiese suscrito el oportuno convenio. Así como en las oficinas de Correos\, en las representaciones diplomáticas u oficinas consulares de España en el extranjero\, y en cualquier otro Registro que establezcan las disposiciones vigentes</p>\n",false,,,,,,,,,,,,,,Inscripción a Registros y Expedición de documentos,,,Registro General,,,,http://datos.santander.es/api/datos/tramites_sede_electronica/3679.csv
3793,2017-10-31T01:23:13.168Z,Tasa de Inscripción al Veranuco,true,"<p style=""text-align: justify;"">Esta tasa esta asociada a la Prestación de los servicios culturales y recreativos\, cursos de enseñanzas artísticas\, ludotecas y actividades de ocio y tiempo libre para menores\, realizadas en centros cívicos o culturales\, en ludotecas\, en colegios públicos o en cualquier otra dependencia municipal\, como es el caso del Veranuco.</p>\n<p style=""text-align: justify;"">El Veranuco es un programa municipal de ocio vacacional para los niños y niñas empadronados en Santander con edades comprendidas entre 3-12 años que se desarrolla durante los meses de julio\, agosto y primera semana de septiembre\, que se organiza por quincenas temáticas y se ubica en diferentes centros educativos por toda la ciudad. A través de este programa\, el Ayuntamiento de Santander persigue la consecución de tres objetivos importantes: favorecer la conciliación laboral y familiar\, posibilitar la preservación y prevención familiar en situaciones de riesgo o exclusión social\, así como fomentar la educación en valores.</p>\n","<p style=""text-align: justify;"">El proceso se compone de <u>2 pasos</u>:</p>\n<ol><li style=""text-align: justify;"">Generar la Carta de Pago de la Tasa\, Precio Público o Impuesto</li>\n<li style=""text-align: justify;"">Realizar el Pago</li>\n</ol><p style=""text-align: justify;"">Ambos pasos pueden realizarse de manera totalmente Online a través de esta Sede\, o\, si el interesado lo prefiere\, puede realizar el paso 1 para obtener la carta de pago\, imprimirla y  acudir a uno de los 5 bancos colaboradores\, para realizar el pago a traves de cualquiera de los canales que el banco habilite. Ambas opciones estan disponibles a elección del interesado.</p>\n<p style=""text-align: justify;"">Este trámite puede ser realizado con o sin Certificiado digital. Se recomienda el uso de certificado digital\, ya que facilita la tarea al interesado\, y puede acceder a más información que sino lo utilizase. En cualquier caso\, ambas opciones permiten la correcta realización del trámite:</p>\n<p style=""text-align: justify;""><a class=""btn btn-xs btn-primary"" href=""https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&amp;entidad=&amp;redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTE0MTgmcnV0YT0vM3dlYmMvYXN1bnRvc01hc1VzdWFsZXMuZG8/b3BjaW9uPTAhcGVyaW9kbz0w"" target=""_blank"">Iniciar Trámite (Con certificado)</a>           <a class=""btn btn-xs btn-primary"" href=""http://sede.ayto-santander.es/3webc/inicioWebc.do?opcion=noreg&amp;entidad=&amp;redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTE0MTgmcnV0YT0vM3dlYmMvYXN1bnRvc01hc1VzdWFsZXMuZG8/b3BjaW9uPTAhcGVyaW9kbz0w"" target=""_blank"">Iniciar Trámite (Sin Certificado)</a></p>\n<p style=""text-align: justify;""> </p>\n<p style=""text-align: justify;""><u>Requisitos</u> para el uso del Certificado Digital:</p>\n<p style=""text-align: justify; margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Tanto el <u>DNI Electrónico</u> como cualquier <u>Certificado Digital</u> admitido por <a href=""http://administracionelectronica.gob.es/ctt/afirma#.VqDRD7vnCWw"">@Firma</a> son válidos. Si el interesado no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank"">enlace</a></p>\n<p style=""text-align: justify; margin-left: 40px;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <strong> <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank"">aquí</a>. </strong></p>\n<p style=""text-align: justify;""> </p>\n",,true,"<p>Para autoliquidar esta Tasa de manera presencial deberá acudir a la oficina de Atención Tributaria situada en el edificio principal del Ayuntamiento de Santander (Plaza del Ayuntamiento 1) y solicitar la carta de pago correspondiente. A posteriori deberá acudir a una de las entidades bancarias colaboradoras (Liberbank\, Caixabank\, Bankia\, BBVA\, o Banco Santander) para realizar el pago. La entidad bancaria devolverá su ejemplar validado\, que le servirá como justificante de pago. </p>\n<p>Este justificante de pago\, servirá como comprobante de que la tasa ha sido autoliquidada\, y deberá anexarlo al trámite/solicitud asociado a esta Tasa.</p>\n",,,,,,,,,,,,,,,Infancia y Familia,,Autoliquidaciones,Rentas y Exacciones,Tasas y Precios Publicos,Otros,Pago,http://datos.santander.es/api/datos/tramites_sede_electronica/3793.csv
3792,2017-10-31T01:23:13.168Z,Tasa por Prestación de Servicios de Policía,true,"<p>El hecho imponible de esta tasa está constituido por la prestación de los siguientes servicios:</p>\n<ol><li>La retirada de la vía pública y depósito de aquellos vehículos abandonados o que perturben\, obstaculicen o entorpezcan la libre circulación de vehículos y peatones.</li>\n<li>La retirada de la vía pública y depósito de vehículos por resolución\, orden o puesta a disposición de las autoridades judiciales o administrativas.</li>\n<li>La inmovilización de los vehículos antirreglamentariamente aparcados.</li>\n<li>Informes técnicos de interés particular relativos a accidentes\, señalización\, etc. que hayan de surtir efectos en asuntos cuya gestión no sea de la competencia municipal (atestados\, entre otros).</li>\n<li>Autorizaciones administrativas de la Oficina Municipal de Tráfico.</li>\n<li>Apoyo policial en servicios de interés no general.</li>\n<li>Balizamiento de zonas e inspección sonométrica.</li>\n<li>Achatarramiento de vehículos.</li>\n</ol><p><strong>Nota Importante:</strong> Tenga en cuenta que la autoliquidación de una Tasa\, en la mayoría de los casos no supone la realización de un tramite o solicitud\, sino que se corresponde con la obligación previa de pago\, para la posterior realización del tramite/solicitud asociado. El comprobante de pago de una Tasa deberá siempre acompañar a la solicitud posterior para que esta sea correctamente formulada. En la sección de tramites asociados\, podrá localizar la solicitud asociada a esta Tasa en caso de que exista.</p>\n","<p style=""text-align: justify;"">El proceso se compone de <u>2 pasos</u>:</p>\n<ol><li style=""text-align: justify;"">Generar la Carta de Pago de la Tasa\, Precio Público o Impuesto</li>\n<li style=""text-align: justify;"">Realizar el Pago</li>\n</ol><p style=""text-align: justify;"">Ambos pasos pueden realizarse de manera totalmente Online a través de esta Sede\, o\, si el interesado lo prefiere\, puede realizar el paso 1 para obtener la carta de pago\, imprimirla y  acudir a uno de los 5 bancos colaboradores\, para realizar el pago a traves de cualquiera de los canales que el banco habilite. Ambas opciones estan disponibles a elección del interesado.</p>\n<p style=""text-align: justify;"">Este trámite puede ser realizardo con o sin Certificiado digital. Se recomienda el uso de certificado digital\, ya que facilita la tarea al interesado\, y puede acceder a más información que sino lo utilizase. En cualquier caso\, ambas opciones permiten la correcta realización del tramite:</p>\n<p style=""text-align: justify;""><a class=""btn btn-xs btn-primary"" href=""https://sede.ayto-santander.es/3webc/inicioWebcCert.do?opcion=ssl&amp;entidad=&amp;redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTE0MTUmcnV0YT0vM3dlYmMvYXN1bnRvc01hc1VzdWFsZXMuZG8/b3BjaW9uPTAhcGVyaW9kbz0w"" target=""_blank"">Iniciar Trámite (Con certificado)</a>           <a class=""btn btn-xs btn-primary"" href=""http://sede.ayto-santander.es/3webc/inicioWebc.do?opcion=noreg&amp;entidad=&amp;redirige=M3dlYmMvZmljaGFBc3VudG8uZG8/b3BjaW9uPTAmYXNhc19pZGVfYXN1PTE0MTUmcnV0YT0vM3dlYmMvYXN1bnRvc01hc1VzdWFsZXMuZG8/b3BjaW9uPTAhcGVyaW9kbz0w"" target=""_blank"">Iniciar Trámite (Sin Certificado)</a></p>\n<p style=""text-align: justify;""> </p>\n<p style=""text-align: justify;""><u>Requisitos</u> para el uso del Certificado Digital:</p>\n<p style=""text-align: justify; margin-left: 40px;"">1. Disponer de una identidad Digital Autorizada. Tanto el <u>DNI Electrónico</u> como cualquier <u>Certificado Digital</u> admitido por <a href=""http://administracionelectronica.gob.es/ctt/afirma#.VqDRD7vnCWw"">@Firma</a> son válidos. Si el interesado no dispone de esta identidad\, puede solicitar una a través de este <a href=""https://www.sede.fnmt.gob.es/certificados"" target=""_blank"">enlace</a></p>\n<p style=""margin-left: 40px; text-align: justify;"">2. Disponer de un <u>Equipo compatible</u> con la plataforma de tramitación. Puede comprobar los requisitos y configuración necesaria haciendo clic <strong> <a href=""http://sede.ayto-santander.es/jsp/3webc/requisitosES.jsp"" target=""_blank"">aquí</a> </strong></p>\n<p style=""text-align: justify;""> </p>\n",,true,"<p>Para autoliquidar esta Tasa de manera presencial deberá acudir a la oficina de Atención Tributaria situada en el Edificio principal del Ayuntamiento de Santander (Plaza del Ayuntamiento 1) y solicitar la carta de pago correspondiente. A posteriori deberá acudir a una de las entidades bancarias colaboradoras (Lieberbank\, Caixabank\, Bankia\, BBVA\, o Banco Santander) para realizar el pago. La entidad bancaria devolverá su ejemplar validado\, que le servirá como justificante de pago. </p>\n<p>Este justificante de pago\, servirá como comprobante de que la tasa ha sido autoliquidada\, y deberá anexarlo al tramite/solicitud asociado a esta Tasa.</p>\n",,,,,,,,"<p><strong>Tramites Relacionados</strong></p>\n<p><a href=""http://santander.es/servicios-empresas/areas-tematicas/tramites%2C%20impuestos%20y%20tasas/solicitud%20de%20informe%20t%C3%A9cnico%20por%20accidente%20de%20circulaci%C3%B3n"">Solicitud Informe Técnico por accidente de Circulación</a>- Solicitud relacionada con esta Tasa. El justificante de pago de esta Tasa\, es uno de los documentos a aportar en esta solicitud.</p>\n",,,,,,,,"Impuestos\, tasas y permisos",Autoliquidaciones,Rentas y Exacciones,Tasas y Precios Publicos,Policía Local,Pago,http://datos.santander.es/api/datos/tramites_sede_electronica/3792.csv
