dc:identifier,dc:modified,ayto:UtmX,ayto:UtmY,ayto:UtmZone,ayto:latWGS84,ayto:lonWGS84,ayto:latED50,ayto:lonED50,ayto:CodTipoSenal,ayto:TipoSenal,ayto:CategoriaSenal,ayto:FamiliaSenal,ayto:GrupoSenal,ayto:SubgrupoSenal,ayto:IdIcono,ayto:CodCalle,ayto:NombreCalle,ayto:NumeroPostal,ayto:Indicacion,ayto:Autorizacion,ayto:FechaColocacion,ayto:Propiedad,ayto:CompartePoste,ayto:FechaRevision,ayto:PlazasCordon,ayto:PlazasBateria,ayto:Regulacion,uri
51564,2017-10-30T23:35:08.532Z,432141.47,4812517.9,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,6600,CL/ RAFAEL ALSUA,17,"Margen Norte del vial\, junto al nº 17",12754/2016,2016-10-24,Ayuntamiento Santander,0,2016-10-24,1,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51564.csv
51712,2017-10-30T23:35:08.532Z,433468.55,4812895.52,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,6640,CL/ MADRE SOLEDAD GP SAN LUIS,26,MARGEN NORTE DEL VIAL EN CORDON FRENTE AL PORTAL Nº 26,23798/2017,2017-05-31,Ayuntamiento Santander,0,2017-05-31,1,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51712.csv
51727,2017-10-30T23:35:08.532Z,435943.54,4814451.08,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,4310,AV/ PONTEJOS,29,"MARGEN SUR DEL VIAL JUNTO A LA ENTRADA AL CENTRO DEPORTIVO"" LOS AGUSTINOS""",57643/2016,2017-06-01,Ayuntamiento Santander,0,2017-06-01,1,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51727.csv
51735,2017-10-30T23:35:08.532Z,433960.73,4811483.87,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,5550,AV/ SOTILEZA,16,PLAZA SEÑALIZADA EN EL MARGEN NORTE DEL VIAL A LA ALTURA DEL INSTITUTO SOCIAL DE LA MARINA,24232/2017,2017-06-06,Ayuntamiento Santander,0,2017-06-06,1,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51735.csv
51779,2017-10-30T23:35:08.532Z,434475.94,4812834.9,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,10,CL/ ACEBEDOS,1,"DOS PRIMERAS PLAZAS EN BATERIA\, MARGEN IZQUIERDO DE LA CALLE FRENTE AL Nº 1",26583/2017,2017-06-21,Ayuntamiento Santander,0,2017-06-21,0,2,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51779.csv
51827,2017-10-30T23:35:08.532Z,433901.35,4812613.08,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2000,CL/ FLORANES,8,MARGEN NORTE DEL VIAL FRENTE AL Nº 8- SEÑALIZADAS CON FECHA: 05-07- 2017,29441/2017,2017-07-07,Ayuntamiento Santander,0,2017-07-07,2,0,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/51827.csv
44886,2017-10-30T23:35:07.721Z,434115.835901789,4813149.0331201,30,43.4664746685677,-3.81581322419271,44.4675678428216,-7.81447609327963,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2140,PS/ GENERAL DAVILA,89,frente al Conservatorio,00098/2014,2014-05-06,Ayuntamiento Santander,0,2014-05-06,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/44886.csv
44889,2017-10-30T23:35:07.721Z,434879.386457115,4813113.67690517,30,43.4662145833333,-3.8063208984375,43.4673077110245,-3.80498402875933,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,3080,CL/ MARIA CRISTINA,32,margen Sur del vial junto al portal 32,00008/2014,2014-05-06,Ayuntamiento Santander,0,2014-05-06,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/44889.csv
44919,2017-10-30T23:35:07.721Z,437013.65684638,4813288.60482286,30,43.4679723958331,-3.77995859375002,43.4690653190338,-3.77862242292906,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,1750,CL/ DUQUE SANTO MAURO,2,margen Este del vial,00161/2014,2014-06-02,Ayuntamiento Santander,0,2014-06-02,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/44919.csv
44934,2017-10-30T23:35:07.721Z,437879.138638373,4813282.75887416,30,43.4679921785677,-3.76925902515625,43.4690850398759,-3.76792314553956,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,7460,CL/ FAMILIA REAL,S/n,,00237/2014,2014-08-12,Ayuntamiento Santander,0,2014-08-12,,1,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/44934.csv
44937,2017-10-30T23:35:07.721Z,438056.576325677,4813394.65864616,30,43.4690143952083,-3.76707830552083,43.4701072129891,-3.76574247426836,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,7470,CL/ JUAN DE BORBON,s/n,parte Oeste del Palacio,00255/2014,2014-08-12,Ayuntamiento Santander,0,2014-08-12,,2,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/44937.csv
50671,2017-10-30T23:35:07.721Z,435124.38,4813760.02,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8250,CL/ MARINO FERNANDEZ-FONTECHA,S/N,"Dos primeras plazas\, margen Norte del segundo Aparcamiento\, frente la entrada- QUEDAN ANULADAS",00397/2014,2014-12-03,Ayuntamiento Santander,0,2014-12-03,0,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/50671.csv
50765,2017-10-30T23:35:07.721Z,436362.04,4812832.59,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,4480,AV/ REINA VICTORIA,45,"Junto al paso de Peatones\, en el reservavo de Motos\, eliminando 5 de estas Plazas\, que se trasladan al nº 47",00105/2015,2015-03-16,Ayuntamiento Santander,0,2015-03-16,1,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/50765.csv
50808,2017-10-30T23:35:07.721Z,434916.81,4813512.5,30,0,0,0,0,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,1330,AV/ CASTROS (LOS),71,"Margen Sur del vial interior\, entre los portales 71 y 73.",00080/2015,2015-05-08,Ayuntamiento Santander,0,2015-05-08,1,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/50808.csv
41754,2017-10-30T23:35:07.281Z,431481.197002815,4812278.68199834,30,43.4583931288542,-3.84822167020833,43.4594867343935,-3.84688374471025,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2540,CL/ JOSE MARIA DE COSSIO,58,"margen Oeste del vjal\,proximo a la rampa",00178/2013,2013-06-25,Ayuntamiento Santander,0,2013-06-26,0,1,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/41754.csv
41757,2017-10-30T23:35:07.281Z,432069.938122618,4812431.59588331,30,43.4598235775,-3.84096412072917,43.4609170979596,-3.83962637723104,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2540,CL/ JOSE MARIA DE COSSIO,10,"margen Norte del vial\, frente al 10",00307/2013,2013-06-25,Ayuntamiento Santander,0,2013-06-26,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/41757.csv
42715,2017-10-30T23:35:07.281Z,435268.07300658,4814567.70874228,30,43.4793396467708,-3.80168910916667,43.4804323494037,-3.80035222365595,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8670,CL/ PEREDA (LA),24,"margen Norte del vial\, junto entrada al centro",00451/2013,2013-10-16,Ayuntamiento Santander,0,2013-10-16,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/42715.csv
42824,2017-10-30T23:35:07.281Z,435188.117202209,4813055.04546231,30,43.4657135233333,-3.80249759619792,43.4668066443057,-3.80116083603059,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,7080,CL/ MIRALMAR,1,margen Oeste del inmueble,00364/2013,2013-10-16,Ayuntamiento Santander,1,2013-10-21,,1,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/42824.csv
42827,2017-10-30T23:35:07.281Z,433951.020654322,4813083.15866631,30,43.4658583801039,-3.81779300635416,43.4669515844233,-3.81645582821241,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,660,BJD/ CALZADA (LA),6,"margen Oeste del vial\,frente al 6",00346/2012,2013-10-16,Ayuntamiento Santander,0,2013-10-21,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/42827.csv
42830,2017-10-30T23:35:07.281Z,431193.452697546,4810804.70244809,30,43.4451045572916,-3.85164153645834,44.4461985854895,-7.85030366170763,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,4070,BO/ SAN MARTIN PINO (P.C.),15-5,"margen Norte del vial\,frente al 15",00355/2013,2013-10-16,Ayuntamiento Santander,0,2013-10-21,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/42830.csv
40965,2017-10-30T23:35:07.28Z,435258.588802411,4812948.94847591,30,43.4647643880209,-3.8016138671875,43.4658575327348,-3.80027714134017,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2740,CL/ LAREDO,15,"margen Norte del vial\,junto al portal 15",00075/1990,2013-02-20,Ayuntamiento Santander,0,2013-02-21,1,,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/40965.csv
41022,2017-10-30T23:35:07.28Z,435593.095448018,4812804.49665208,30,43.4635013671874,-3.79751149088542,44.4645945267154,-7.79617489038235,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,4110,CL/ PEÑA HERBOSA,18,"margen Sur del vial\, junto al portal 18",00076/1990,2013-02-26,Ayuntamiento Santander,0,2013-02-26,1,,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/41022.csv
41138,2017-10-30T23:35:07.28Z,433741.388387977,4812888.32668461,30,43.4640856770832,-3.82036061197917,43.4651789499369,-3.81902338311826,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2140,PS/ GENERAL DAVILA,111,"margen Sur del vial\, junto entrada Mercedarias",00115/2013,2013-03-22,Ayuntamiento Santander,0,2013-03-22,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/41138.csv
41212,2017-10-30T23:35:07.28Z,436360.445641618,4813132.95555754,30,43.4665156901041,-3.788015234375,43.4676087036983,-3.78667885988164,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,760,CL/ BARRIO CAMINO,33,"margen izqdo. del vial\, al comienzo del aparcamiento",00084/2013,2013-04-11,Ayuntamiento Santander,0,2013-04-11,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/41212.csv
38737,2017-10-30T23:35:07.114Z,434744.209182862,4813376.56826006,30,43.4685697265625,-3.80802337239583,43.4696627925308,-3.80668643090037,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,7040,CL/ JOSE DE ESCANDON,40,margen Sur del vial junto al portal del inmueble,00153/2012,2012-10-22,Ayuntamiento Santander,0,2012-10-26,,1,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/38737.csv
38746,2017-10-30T23:35:07.114Z,432379.320471566,4812597.26102288,30,43.4613431640625,-3.8371607421875,43.4624366165769,-3.8358230857456,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8830,CL/ RIO DANUBIO,S/N,"margen Oeste del vial\, frente Centro de Formacion CSIF",00047/2012,2012-10-22,Ayuntamiento Santander,0,2012-10-26,,2,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/38746.csv
38749,2017-10-30T23:35:07.114Z,432380.403816761,4812587.12664485,30,43.4612520182291,-3.83714609375,43.4623454734249,-3.83580843869311,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8830,CL/ RIO DANUBIO,S/N,,00047/2012,2012-10-22,Ayuntamiento Santander,0,2012-10-26,,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/38749.csv
38755,2017-10-30T23:35:07.114Z,431808.101125832,4812123.46039883,30,43.4570254870833,-3.84416183416667,43.4581191107925,-3.84282403393693,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2190,CL/ POETA GERARDO DIEGO,16,"margen Oeste del aparcamiento\, junto al acceso  al inmueble",00426/2011,2012-10-22,Ayuntamiento Santander,0,2012-10-26,,1,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/38755.csv
38758,2017-10-30T23:35:07.114Z,432435.971780446,4810783.98070044,30,43.445022581875,-3.83623570520833,43.4461165241241,-3.83489825045062,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8410,CL/ CESAR LLAMAZARES,4,"margen Este del vial\, junto al acceso al INSS",00317/2011,2012-10-22,Ayuntamiento Santander,0,2012-10-26,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/38758.csv
38803,2017-10-30T23:35:07.114Z,434087.375970924,4812983.90514582,30,43.4649767903645,-3.81609547526042,43.4660700116994,-3.81475835286409,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2600,CL/ JUAN JOSE PEREZ DE MOLINO,28,margen Sur del vial frente portal 28,00074/1990,2012-11-01,Ayuntamiento Santander,0,2012-11-01,1,,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/38803.csv
40218,2017-10-30T23:35:07.114Z,431417.144315599,4812172.22388405,30,43.4574287760415,-3.84899993489584,43.4585224153051,-3.84766199866069,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2874,CL/ ACEBOS (LOS),S/N,margen Oeste del vial junto al paso de Cebra,00324/2012,2012-12-04,Ayuntamiento Santander,0,2012-12-04,1,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/40218.csv
36513,2017-10-30T23:35:07.113Z,432856.944780008,4812369.82428645,30,43.459338494375,-3.83122915239583,43.460431973658,-3.82989167906874,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2210,CL/ GIRASOL,12,margen Norte del vial en la confluencia con C/Lirio,00217/2010,2012-02-22,Ayuntamiento Santander,0,2012-02-27,1,,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/36513.csv
36529,2017-10-30T23:35:07.113Z,434638.812472488,4812829.65953354,30,43.4636364547916,-3.80926062427083,43.4647296775947,-3.80792370243208,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2260,CL/ GUEVARA,10,margen Sur del vial entre Fco. de Quevedo y Travesia del Cubo,00074/1990,2012-02-22,Ayuntamiento Santander,0,2012-02-28,1,,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/36529.csv
38482,2017-10-30T23:35:07.113Z,434143.86858459,4812462.60176139,30,43.4602882440625,-3.81533413739583,43.4613816033142,-3.81399708642154,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,2380,CL/ ISAAC PERAL,1,"margen Sur del vial\,esquina con Alcazar de Toledo",00274/2012,2012-09-25,Ayuntamiento Santander,0,2012-09-27,1,,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/38482.csv
33320,2017-10-30T23:35:06.938Z,429620.766171664,4811681.78817672,30,43.4528463475,-3.87113866041667,43.453940252965,-3.86980017153611,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8809,CL/ ISABEL TORRES,S/N,,00378/2011,2010-06-25,Ayuntamiento Santander,0,2011-08-25,,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/33320.csv
35454,2017-10-30T23:35:06.938Z,434594.854447842,4812389.79628335,30,43.4596723221874,-3.80975116359374,43.4607656681058,-3.80841427125133,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,930,CL/ CADIZ,9,margen Sur del vial junto estacion de Autobuses,00506/2011,2011-11-23,Ayuntamiento Santander,0,2011-11-28,"2 ",,OLA,http://datos.santander.es/api/datos/plazas_pmr_nofoto/35454.csv
36507,2017-10-30T23:35:06.938Z,435811.082740089,4812727.30270311,30,43.4628164384375,-3.7947583334375,43.4639096029716,-3.79342181529643,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,1300,CL/ CASTELAR,11,ubicadas en la zona Maritima,00023/1990,2012-02-22,Ayuntamiento Santander,0,2012-02-23,2,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/36507.csv
36510,2017-10-30T23:35:06.938Z,435960.70762087,4812703.36814788,30,43.462613773125,-3.792906055,43.4637069331932,-3.79156958948226,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,1300,CL/ CASTELAR,31,ubicadas en la zona Maritima,00024/1990,2012-02-22,Ayuntamiento Santander,0,2012-02-23,2,,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/36510.csv
33290,2017-10-30T23:35:06.937Z,430522.70377209,4813204.78995579,30,43.4666427665625,-3.86018636447917,43.4677361905732,-3.8588480240831,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,5070,BO/ SOMO (EL) (SAN ROMAN),90,señalizada en el aparcamiento del Centro Civico,00073/1990,2011-06-15,Ayuntamiento Santander,0,2011-06-23,,1,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/33290.csv
33305,2017-10-30T23:35:06.937Z,429922.531887741,4811925.98676295,30,43.4550732788017,-3.8674407194271,43.4561670954748,-3.86610230701312,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8809,CL/ ISABEL TORRES,S/N,parte norte de la calle proximas al cruce con C/Rucandial,00379/2011,2010-06-25,Ayuntamiento Santander,0,2011-08-25,,3,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/33305.csv
33308,2017-10-30T23:35:06.937Z,429903.505851499,4811920.03831749,30,43.4550179402601,-3.8676750944271,43.4561117599587,-3.86633667623711,S-17M,ESTACIONAMIENTO PARA PERSONAS CON DISCAPACIDAD,VERTICAL,INDICACION,INDICACIONES GENERALES,--- N/A ---,22294,8809,CL/ ISABEL TORRES,S/N,,00379/2011,2010-06-25,Ayuntamiento Santander,0,2011-08-25,,0,Libre,http://datos.santander.es/api/datos/plazas_pmr_nofoto/33308.csv
