EXPEDIENTE;ASUNTO;F_ADJUDICA;PRECIO;EMPRESA
2014/CONOOR0006;APERTURA DE ACERA PARA ELIMINACIÓN DE RAICES EN INSTALACIONES DE BETOÑO;20/02/2014;15.057,44;ESPARZA OBRAS Y PROYECTOS, S.L.
2014/CONAEI0064;ESTUDIO DE NECESIDADES DE EQUIPAMIENTO DEL CENTRO CÍVICO SALBURUA;21/02/2014;14.520,00;ANA MENDEZ
2014/CONOOR0007;FORMACION DE GUARDASILLAS PARA AULA DE DOS AÑOS EN CP MANUEL DE FALLA;21/02/2014;6.984,85;TALLERES ARRIMU, S.L.
2014/CONAPR0067;REDACCION DEL PROYECTO BASICO Y DE EJECUCION PARA LA REHABILITACION INTEGRAL DEL EDIFICIO ANTIGUO AMBULATORIO ARRIAGA;24/02/2014;12.281,50;MONTEJO FERNÁNDEZ JESÚS
2014/CONOOR0008;MEJORA DE LA INSTALACIÓN DE SANEAMIENTO DE LOS APARTAMENTOS TUTELADOS SANTA MARIA DE OLARIZU;25/02/2014;6.491,65;SANTAMARTA INSTALACIONES S.L.
2014/CONASO0021;FORMACIÓN EN EL ÁMBITO DEL PRE- EMPRENDIMIENTO. PIPAE 2014. COFINANCIADO POR FSE PROYECCTO EMPRESA LOCAL 10 Y LANBIDE PLAN COMARCAL;28/02/2014;9.000,00;EVOLERS ENTERPRISE SL
2014/CONASO0020;FORMACIÓN EN EL ÁMBITO DEL MARKETING PAR PARA NUEVAS EMPRESAS. PIPAE 2014. COFINANCIADO POR FSE PROYECTO EMPRESA LOCAL 10 Y LANBIDE PLAN COMARCAL;03/03/2014;9.000,00;GARCIA SAN VIECENTE JAVIER
2014/CONASP0078;SERVICIO DE LIMPIEZA DE MANTENIMIENTO EN VARIOS EDIFICIOS DE INSERCIÓN SOCIAL;05/03/2014;13.606,69;UNION INTERNACIONAL DE LIMPIEZAS, S.A. UNI 2
2014/CONASP0079;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO MENOR PARA MANTENIMIENTO DE LA CENTRAL DE RECOGIDA NEUMÁTICA DE RESIDUO DEL SECTOR 11 DE VITORIA-GASTEIZ;05/03/2014;17.995,00;ROS ROCA, S.A.
2014/CONOOR0009;APROBACIÓN DEL GASTO Y ADJUDICACIÓN A IBERDROLA DE LOS TRABAJOS DE PODA DE ARBOLES EN LA AVDA. DEL ZADORRA CERCANOS A LÍNEAS ELÉCTRICAS EXISTENTES;05/03/2014;8.609,99;IBERDROLA DISTRIBUCIÓN ELÉCTRICA S.A.U.
2014/CONASP0080;SERVICIO DE LIMPIEZA DE ESPACIOS COMUNES DE CEMENTERIOS;05/03/2014;9.498,50;JULTER SERVICIOS S.L.
2014/CONASO0118;LIMPIEZA DE RAMPAS MECÁNICAS DEL CANTÓN DEL SEMINARIO DEL CASCO HISTÓRICO DE VITORIA GASTEIZ.;07/03/2014;1.650,00;BEREZI 99 GARBIKETAK-LEREZAINTZA S.L.
2014/CONASP0088;CONTRATO MENOR VIGILANCIA EN DIFERENTES SERVICIO SOCIALES DE BASE MUNICIPALES;10/03/2014;14.921,02;DELTA SEGURIDAD, S.A.
2014/CONASO0072;PATROCINIO PUBLICITARIO DE LA ACTIVIDAD DENOMINADA PREMIOS VG VITORIA GOURMETS EN EL MARCO DE LA CAPITALIDAD GASTRONÓMICA 2014 DE VITORIA GASTEIZ;11/03/2014;18.150,00;BARRENA PRODUCCIONES DE COMUNICACION, S. L.
2014/CONSOC0007;SUMINISTRO DE MATERIAL DE ILUMINACION PARA PABELLONES URITIASOLO;11/03/2014;5.690,63;ALEVISAL - ALMACENES ELÉCTRICOS VITORIA, S.A.
2014/CONOOR0011;ADECUACION DE ASEOS EN PLANTA BAJA A NORMATIVA DE ACCESIBILIDAD EN RESIDENCIA SAN PRUDENCIO;11/03/2014;12.920,65;CONSTRUCCIONES SEGUROLA, S.A.
2014/CONOOR0012;CREACIÓN DE ACCESO PEATONAL EXTERIOR DESDE CALLE GIRONA AL CEP IBAIONDO;12/03/2014;3.848,64;CONSTRUCCIONES METALICAS OCA, S.L.
2014/CONOOR0013;PAVIMENTACION DE LA ZONA DE JUEGOS EN EI GURUTZMENDI;12/03/2014;19.057,73;VASCO GALLEGA DE CONSTRUCCIONES, S.A.
2014/CONOOR0014;COLOCACION DE CIERRE EN PATIO EXTERIOR PARA CONTROL DE USUARIOS EN EL CEP ZABALGANA;12/03/2014;3.271,84;PAULO JORGE MACEDO BARTOLO TALLERES SABARTE
2014/CONOOR0015;OBRAS DE EJECUCIÓN DE RAMPA DE ACCESO AL EDIFICIO EI GURUTZMENDI;12/03/2014;15.410,73;ARAÚ OBRAS Y PROYECTOS S.L.U.
2014/CONOOR0016;TRABAJOS PARA MODIFICACION DE BARANDADOS SEGUN NORMATIVA DE SEGURIDAD EN CENTRO CIVICO LAKUA 03;12/03/2014;3.401,99;ARCELORMITTAL SL
2014/CONASO0093;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO MENOR PARA REALIZACIÓN DE AUDIT ORÍAS DE REEVALUACIÓN Y AMPLIACIÓN DEL LABORATORIO MUNICIPAL;12/03/2014;9.635,23;ENAC ENTIDAD NACIONAL DE ACREDITACION
2014/CONASP0059;ACTIVIDAD DE STAND UP PADDLEBOARD (CAMPAÑA RUMBO AL DEPORTE 2014);13/03/2014;1.130,40;CLUB NAUTICO DE VITORIA
2014/CONASP0060;ACTIVIDADES DEPORTIVAS COMBINADAS (CAMPAÑA RUMBO AL DEPORTE 2014);13/03/2014;21.712,00;INGURU AVENTURA, S.COOP.
2014/CONOOR0017;TRABAJOS DE EJECUCION DE CONDUCTO ATENUANTE EN SALA DE CLIMATIZACION DEL TEATRO PRINCIPAL;13/03/2014;6.908,50;SISTEMAS ROMERO
2014/CONASP0094;CONTRATO MENOR PROGRAMA ADA- DE APOYO Y DESARROLLO ACOMPASADO A FAMILIAS EN RIESGO MODERADO.;13/03/2014;18.725,19;ATEKA, INICIATIVAS Y PROYECTOS SOCIALES S.L.
2014/CONASO0096;CONTRATACIÓN DE LA ORQUESTA 'TAXXARA' EL DÍA 4 DE AGOSTO EN LA PLAZA DE ESPAÑA;13/03/2014;10.000,00;IREGUA PRODUCCIÓN Y CONTRATACIÓN DE ESPECTÁCULOS S.L.
2014/CONASO0097;CONTRATACIÓN DE LA ORQUESTA NUEVA ALASKA EL DÍA 5 DE AGOSTO EN LA PLAZA DE ESPAÑA;13/03/2014;9.075,00;ESPECTÁCULOS TIC TAK S.L.
2014/CONASO0098;CONTRATACIÓN DE LA ORQUESTA LONDON EL DÍA 6 DE AGOSTO DE 2014 EN LA PLAZA DE ESPAÑA;13/03/2014;3.993,00;SERVICIOS CULTURALES NARIA, S.L.
2014/CONASO0019;FORMACIÓN EN EL ÁMBITO DE LAS OBLIGACIONES LEGALES. PIPAE 2014. COFINANCIADO FSE PROYECTO EMPRESA LOCAL 10 Y LANBIDE PLAN COMARCAL DE EMPLEO;14/03/2014;8.400,00;BULTZ-LAN CONSULTING
2014/CONASP0100;APROBACIÓN Y ADJUDICACIÓN DEL CONTRATO MENOR DEL SERVICIO DE NOTICIAS DE LA AGENCIA EFE;14/03/2014;8.653,05;AGENCIA EFE
2014/CONASO0035;SERVICIO DE CONTROL E INFORMACIÓN EN LOS MERCADOS DE VENTA AMBULANTE DE LA PLAZA DE SIMÓN BOLÍVAR, PLAZA DE SANTA BÁRBARA ,DE LAKUA ARRIAGA, PLAZA ESPAÑA Y MEDI;17/03/2014;15.175,00;AMAYA DIGITAL, S.L.U.
2014/CONASP0077;CONTRATO MENOR PARA PRESTACIÓN DEL SERVICIO DE MANTENIMIENTO DE SEÑALÉTICA Y EQUIPAMIENTO DE LOS PARQUES DEL ANILLO VERDE DE VITORIA-GASTEIZ, 2014-2015;18/03/2014;11.959,91;FERROSER INFRAESTRUCTURAS S.A.
2014/CONASO0016;FORMACIÓN EN EL ÁMBITO DE LAS FINANZAS PRÁCTICAS PARA NUEVAS EMPRESAS EN EL MARCO DEL PLAN INTEGRAL PERSONALIZADO DE APOYO AL EMPRENDIMIENTO 2014. COFINANCI;19/03/2014;7.200,00;CONSULTORÍA TECNOLÓGICA PARA EL COMERCIO  S.L. (CONSULTEC)
2014/CONASO0075;FORMACIÓN BÁSICA EN PRIMEROS AUXILIOS;19/03/2014;4.940,00;DYA ARABA
2014/CONASO0017;FORMACIÓN EN EL ÁMBITO DE LAS HABILIDADE PERSONALES PARA EMPRENDER. PIPAE 2014. COFINANCIADO POR FSE PROYECTO EMPRESA LOCAL 10 Y POR LANBIDE PLAN COMARCAL;21/03/2014;9.000,00;EVOLERS ENTERPRISE SL
2014/CONASO0018;FORMACIÓN EN EL ÁMBITO DE LAS TICS PARA NUEVAS EMPRESAS. PIPAE 2014. COFINANCIAD POR FSE PROYECTO EMPRESA LOCAL 10 Y POR LANBIDE PLAN COMARCAL DE EMPLEO;21/03/2014;4.900,00;YOUR WEB MARKETER
2014/CONSOC0011;SUMINISTRO DE GUANTES PARA DIVERSOS COLECTIVOS DE EMPLEADOS MUNICIPALES;21/03/2014;7.530,97;KINSARABA SLU
2014/CONASO0110;CONTRATACIÓN DE LA ORQUESTA LA FANIA PERFECT PARA ACTUAR EL DÍA 8 DE AGOSTO DE 2014 EN LA PLAZA DE ESPAÑA;21/03/2014;7.260,00;ESPECTÁCULOS TIC TAK S.L.
2014/CONOOR0020;SUSTITUCION DE MATERIALES EN RAMPA Y CASETON DE ESCALERAS DEL PARKING DE LA PLAZA ZALDIARAN PARA REPARACION DE FILTRACIONES;21/03/2014;8.610,60;SUCESORES DE PAVON S.L.
2014/CONASO0111;CONTRATACIÓN DE LA ORQUESTA JAMAICA SHOW EL DÍA 9 DE AGOSTO DE 2014 PARA ACTUAR EN LA PLAZA DE ESPAÑA;21/03/2014;10.769,00;SERVICIOS CULTURALES NARIA, S.L.
2014/CONASO0215;CONCIERTO DE GATILLAZO EN LA ZONA DE LA UNIVERSIDAD LA NOCHE DEL 5 AL 6 DE AGOSTO DE 2014;21/03/2014;10.769,00;SERVICIOS CULTURALES NARIA, S.L.
2014/CONOOR0022;REFORMA DE INSTALACION DE CONTADORES DE AGUA EN EI IZARRA;26/03/2014;14.589,07;ESPARZA OBRAS Y PROYECTOS, S.L.
2014/CONOOR0023;REPARACION DE LA ESPADAÑA DEL CAMPANARIO DE LA RESIDENCIA SAN PRUDENCIO;26/03/2014;7.126,90;ALBAÑILERÍA DURÁN, S.L.
2014/CONASO0101;SERVICIO PARA DESARROLLO DE ACTIVIDADES DE MANIPULACIÓN Y PREPARACIÓN DE ALIMENT OS EN PROGRAMAS DESTINADOS A PROMOVER HÁBITOS DE ALIMENTACIÓN SALUDABLES;27/03/2014;21.000,00;SU ALAI, S.C.
2014/CONOOR0024;MEJORA DEL CIERRE DE PARCELA EN PUENTE ALTO;27/03/2014;15.143,76;ALBAÑILERIA Y CONSTRUCCIONES FOZ SLU
2014/CONASO0057;IMPARTICIÓN DEL PROGRAMA FORMATIVO ARC GIS 10 & GIS VÍA CLOUD: TECNOLOGÍAS DESKTOP Y EN LA NUBE PARA EXPLOTACIÓN DE GEOINFORMACIÓN. PROYECTO EMPLEO LOCAL 10;01/04/2014;5.000,00;GEOSPATIAL TRAINING SERVICES ESPAÑOL
2014/CONASP0107;CONTRATO MENOR SERVICIO DE PELUQUERIA EN EL CIAM SAN PRUDENCIO;02/04/2014;5.991,97;JUSTE MARTÍNEZ TERESA
2014/CONASO0122;CONTRATO MENOR SERVICIO PELUQUERÍA EN EL CIAM SAN PRUDENCIO;02/04/2014;3.813,04;JUSTE MARTÍNEZ TERESA
2014/CONASO0058;"IMPARTICIÓN DEL CURSO: DISEÑO TÉCNICO; HERRAMIENTAS INFORMÁTICAS";03/04/2014;11.340,00;IKER RAMÍREZ DE LA PISCINA MORAZA
2014/CONOOR0025;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A PROTEC-LAN SL POR INSTALACIÓN DE PROTE CCIONES COLECTIVAS EN HERRERÍA 24-26;03/04/2014;7.557,27;PROTEC-LAN, S.L.
2014/CONASO0087;MANTENIMIENTO DE INSTALACIONES Y EQUIPOS , ASISTENCIA TÉCNICA Y LABORES DE APOYO EN EVENTOS ORGANIZADOS EN SALONES DE ACT OS DE LA RED DE CENTROS CÍVICOS AÑO 20;04/04/2014;17.182,00;AISILAN XXI, S.L.
2014/CONASO0092;MONTAJE DE COLEGIOS ELECTORALES PARA LAS ELECCIONES AL PARLAMENTO EUROPEO DE 25 DE MAYO DE 2014;04/04/2014;13.245,00;EVENTOKIT
2014/CONSOC0012;SUMINISTRO Y COLOCACIÓN DE SEÑALIZACIÓN PARA LA ADECUACIÓN A LA NUEVA REGULACIÓN DE CIRCULACIÓN DE BICICLETAS EN EL CASCO VIEJO Y EL ENSANCHE;04/04/2014;10.240,71;SEÑALES GIROD S.L.
2014/CONASO0263;ACTUACIÓN DEL ARTISTA BETAGARRI EL DÍA 8  DE AGOSTO EN LA PLAZA DE LOS FUEROS;04/04/2014;15.125,00;LE KLIP MANAGEMENT, S.L.L.
2014/CONASO0264;ACTUACIÓN DE LOS ARTISTAS LA PEGATINA EL DÍA 4 DE AGOSTO EN LA PLAZA DE LOS FUEROS;04/04/2014;18.755,00;ESPECTÁCULOS TIC TAK S.L.
2014/CONASO0279;ACTUACIÓN DE LA ARTISTA SORAYA EL DÍA 5 DE AGOSTO EN LA PLAZA DE LOS FUEROS;04/04/2014;14.520,00;SERVICIOS CULTURALES NARIA, S.L.
2014/CONASO0084;CONTRATACIÓN DE UNA EMPRESA PARA LA IM- PARTICIÓN DEL PROGRAMA: CONSULTOR/A SAP EN SOLUCIONES DE GESTION EMPRESARIAL COFINANCIADO POR LANBIDE DECRETO 327;07/04/2014;21.417,00;OREKA INFORMATION TECHNOLOGIES, S.L.
2014/CONASO0212;CONCIERTO DE TXUMA MUGARREN&ANGEL UNZU EN LA PLAZA DEL MACHETE EL DÍA 8 DE AGOSTO DE 2014;07/04/2014;2.500,00;GAZTELUPEKO HOTSAK SL
2014/CONASO0254;CONCIERTO DE HESIAN EN LA PLAZA DEL MACHETE EL DÍA 6 DE AGOSTO DE 2014;07/04/2014;5.445,00;PROMOCIONES ETXABARRI-IBIÑA S.L.
2014/CONASO0076;"PROGRAMA FORMATIVO ""EXPERTO-A EN PROGRAMACIÓN JAVA"". COFINANCIADO POR LANBIDE DECRETO 327 2003, DE 23 DE DICIEMBRE.";09/04/2014;16.380,00;JAVIER RODRIGUEZ DIEZ
2014/CONASO0082;"CONTRATACIÓN PARA LA IMPARTICION DEL PROGRAMA ""PROMOTOR DE ENOTURISMO, TURIS- MO GASTRONOMICO Y CULTURAL"" COFINANCIADO POR LANBIDE DECRETO 327/2003";09/04/2014;12.342,00;AGROTRAVEL
2014/CONASO0135;JOTAS PARA EL ESPACIO DE LA PLAZA DEL CONDE DE PEÑAFLORIDA DURANTE LAS FIESTAS DE LA VIRGEN BLANCA;09/04/2014;5.459,52;LUIS MARIA LUZURIAGA, S.L.
2014/CONASO0328;BAILABLES EN EL PARQUE DE LA FLORIDA, DURANTE LAS FIESTAS DE LA BLANCA 2014;09/04/2014;10.299,52;SERVICIOS CULTURALES NARIA, S.L.
2014/CONSOC0013;ADQUISICIÓN DE UN VEHÍCULO USADO PARA EL DEPARTAMENTO DE MANTENIMIENTO DE EDIFICIOS MUNICIPALES;10/04/2014;12.500,00;ARME VITORIA - VEHÍCULOS INDUSTRIALES FIAT
2014/CONASP0133;CONTRATO MENOR DE SERVICIO DE ASISTENCIA A PERSONAS MAYORES A TRAVÉS DE TRABAJ. FAMILIARES EN APTOS. TUTELADOS.;10/04/2014;14.649,83;EULEN SERVICIOS SOCIOSANITARIOS S.A.
2014/CONASO0365;ESPECTÁCULO ESTRELLAS FUGACES S.L. EL DÍA 5 DE ENERO DE 2015;10/04/2014;9.183,90;GLOBAL EVENTUS PRODUCCIONES S.L.
2014/CONOOR0030;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A ARALAN SERVICIOS Y PROYECTOS SL POR TRABAJOS DE REPOSICIÓN DE FALSO TECHO EN LAS SALAS PRADO Y FLORIDA EN EL EUROPA;14/04/2014;8.748,43;ARALAN SERVICIOS Y PROYECTOS, S.L.
2014/CONASO0318;ESPECTÁCULO ARACIEL EN LA PLAZA DE LA PROVINCIA EL DÍA 7 DE AGOSTO DE 2014;14/04/2014;4.500,00;ASOCIACION MUSICAL, RECREATIVA Y GASTRONOMICA GRUPO ARACIEL
2014/CONASO0319;ESPECTÁCULO DE MARIACHI IMPERIAL ELEGANCIA MEXICANA EN LA PLAZA DE LA PROVINCIA EL DÍA 5 DE AGOSTO DE 2014;14/04/2014;3.025,00;TIK TAK MULTIMEDIA, S.L.
2014/CONASO0321;ESPECTÁCULO AQUELLOS MARAVILLOSOS AÑOS 80 EN LA PLAZA DE LA PROVINCIA EL DÍA 6 DE AGOSTO DE 2014;14/04/2014;4.235,00;ARABA ESPECTACULOS, S.C.
2014/CONASO0322;ESPECTÁCULO BALLET NACIONAL COSACO DE RUSIA EN LA PLAZA DE LA PROVINCIA EL DÍA 8 DE AGOSTO DE 2014;14/04/2014;4.800,00;ESPAMUNDI ASOCIACIÓN CULTURAL
2014/CONASO0323;ESPECTÁCULO DE DANIEL DIGEST EN LA PLAZA DE LA PROVINCIA EL DÍA 9 DE AGOSTO DE 2014;14/04/2014;8.470,00;IREGUA PRODUCCIÓN Y CONTRATACIÓN DE ESPECTÁCULOS S.L.
2014/CONASO0102;SERVICIO PARA DESARROLLO DE ACTIVIDADES TEÓRICAS DESTINADAS A PROMOVER HÁBITOS DE ALIMENTACIÓN SALUDABLES;15/04/2014;6.000,00;NAIARA BELLIDO
2014/CONASO0103;"CONTRATACIÓN DE LA IMPARTICIÓN DE UN PROGRAMA FORMATIVO DENOMINADO ""PINTURA Y REVESTIMIENTOS ARTISTICOS DE INTERIOR Y EXTERIOR"" PROYECTO EMPLEO LOCAL 10 EJE 2";15/04/2014;5.808,00;GONZÁLEZ MOLERO AITOR
2014/CONOOR0031;SUSTITUCION DE REDES PARA-BALONES ENTRE CAMPOS 2 Y 3 EN INSTALACIONES OLARANBE;16/04/2014;4.138,20;PROTEC-LAN, S.L.
2014/CONASO0364;ESPECTÁCULO PARATA KOSMOS EL DÍA 5 DE ENERO DE 2015;16/04/2014;4.500,00;ASSOCIAZIONE CULTURALE GRUPO TEATRALE NOUVELLE LUNE
2014/CONASO0368;ESPECTÁCULOS CYBORGS Y KROMACOLORS EL DÍA 5 DE ENERO DE 2015;16/04/2014;5.420,08;DCOLLAGE ART I DIFUSIO SL
2014/CONOEX0018;INSTALACION ELECTRICA DE BAJA TENSION PARA LAS CASETAS DE LA FERIA DE LAS FIESTAS PATRONALES DE LA VIRGEN BLANCA AÑO 2014;23/04/2014;7.915,05;EKOARGI INSTALACIONES ELECTRICAS
2014/CONAPR0126;REDACCIÓN DE PROYECTO DE NUEVO ACCESO Y ADECUACIÓN DE LA CASA DE LOS FAROLES, EN VITORIA-GASTEIZ;23/04/2014;6.525,29;LOPEZ DE ARMENTIA ORBE, LUIS
2014/CONSOC0025;APROBACIÓN DEL GASTO Y ABONO DE FACTURA 53.701 A VIALKI POR ALQUILER DE MAQUINA RIA PARA REALIZAR UNOS TRABAJOS DE PODA;24/04/2014;4.126,29;VIALKI - ALQUILERES ALAVA S.L.
2014/CONASP0152;CONTRATO MENOR VIGILANCIA NOCTURNA CIAM;25/04/2014;1.164,72;SERRAMAR, S.L.
2014/CONOOR0021;OBRAS DE SUSTITUCIÓN Y COLOCACIÓN DE TAPAS PARA PANTEONES DEL CEMENTERIO EL SALVADOR (MARZO 2014);02/05/2014;9.587,92;OBRERA HEMARVA DE LA CONSTRUCCION S.COOP LTDA.
2014/CONOOR0036;SUSTITUCION DE PANELES DE FACHADA EN PATIO CUBIERTO DEL CEP LUIS ELEJALDE (INFANTIL + PRIMARIA);05/05/2014;12.729,41;CUBIERTAS OLI-CER, S.L.
2014/CONASO0055;IMPARTICIÓN DE MÓDULOS DE TÉCNICAS DE BÚSQUEDA DE EMPLEO Y COMPETENCIAS TRANSVERSALES PARA EL EMPLEO EN PROGRAMAS DE FORMACIÓN PROFESIONAL OCUP;06/05/2014;13.000,00;FONDO FORMACION EUSKADI S.L.
2014/CONASO0156;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO DE ESPACIOS PUBLICITARIOS PARA LA CAMPAÑA PROMOCIÓN VITORIA-GASTEIZ EN EL MOBILIARIO URBANO DE VALLADOLID;07/05/2014;5.880,60;ARTENOSA PUBLICIDAD SA
