Ajuntament de Lleida. Pressupost d'ingressos per conceptes 2014;;
;;
 Concepte;Denominació;Import € 
00.45002;Conveni Benestar Social. Contracte Programa;2.931.322,00
00.45030;Transferència manteniment escoles bressol;884.975,35
00.45033;Conveni cooperació Ensenyament;604.390,00
00.45034;Transferència conveni cooperació Ensenyament. Escoles d'Art;306.517,50
00.45060;Altres transferències corrents Generalitat. Convenis;310.982,40
00.45080;Altres transferències corrents de la Generalitat;49.500,00
00.45103;Junta Sanejament manteniment depuradora;1.609.602,00
00.45104;Altres transferències d'ooaa i agències de les ccaa;46.000,00
00.45105;Transferència Agència de Residus de Catalunya;224.487,90
00.45107;Transferència Institut Català de la Salut;10.105,20
;Total article 45;7.530.882,35
;;
;Article 46. D'entitats locals;
00.46100;Subvenció Diputació;373.880,00
00.46101;Subvenció Institut Estudis Ilerdencs;14.400,00
;Total article 46;388.280,00
;;
;Article 47. D'empreses privades;
00.47000;Transferències d'empreses privades;11.529,00
;Total article 47;11.529,00
;;
;Article 48. De famílies e institucions sense fi de lucre;
00.48000;Subvencions institucions sense ànim de lucre;15.750,00
00.48004;"Transferència corrent ""La Caixa"" IMO";48.825,00
;Total article 48;64.575,00
;;
;Article 49. De l'exterior;
00.49101;Del Fons de Desenvolupament Regional;29.700,00
00.49700;Altres transferències de la Unió Europea;21.400,00
;Total article 49;51.100,00
;;
;Total capítol 4;34.981.772,05
;;
;;
;;
;Capítol 5. Ingressos patrimonials;
;;
;Article 51. Interessos d'bestretes i prèstecs concedits;
00.51800;Interessos de préstecs Recorrido-56;30.619,23
;Total article 51;30.619,23
;;
;Article 52. Interessos de dipòsits;
00.52000;Interessos de dipòsits bancaris;6.815,00
00.52001;Interessos de llegat Sr. Garrofé;38.823,00
;Total article 52;45.638,00
;;
;Article 54. Rendes de béns immobles;
00.54100;Rendes d'arrendaments urbans;55.077,00
00.54900;Servei de piscines municipals;3.000,00
00.54901;Lloguer de pavellons esportius;2.884,00
00.54902;Ingressos esdeveniments esportius;33.000,00
;Total article 54;93.961,00
;;
;Article 55. Productes de concessions i aprofitaments especials;
00.55000;Producte de concessions administratives;206.657,00
00.55001;Concessions Gardeny;329.278,00
;Total article 55;535.935,00
;;
;Total capítol 5;706.153,23
;;
;;
;;
;Capítol 6. Alienació d'inversions reals;
;;
;Article 60. De terrenys;
00.60000;Venda de solars;4.000.000,00
;Total article 60;4.000.000,00
;;
;Total capítol 6;4.000.000,00
;;
;;
;;
;Capítol 7. Transferències de capital;
;;
;Article 72. De l'administració de l'estat;
00.72000;Transferències de capital de l'Estat;1.025.000,00
;Total article 72;1.025.000,00
;;
;Article 75. De comunitats autònomes;
00.75080;Transferència de capital de la Comunitat Autònoma;1.171.802,00
;Total article 75;1.171.802,00
;;
;Total capítol 7;2.196.802,00
;;
;;
;;
;Capítol 8. Actius financers;
;;
;Article 83. Reintegraments de prèstecs de fora del sector públic;
00.83000;Reintegrament préstecs personal;252.000,00
00.83100;Reintegrament préstecs Recorrido-56;137.330,46
00.83101;Reintegraments microcrèdits;300.000,00
00.83102;Reintegrament microcrèdits per idiomes;12.000,00
00.83103;Reintegrament microcrèdits emprenedoria juvenil;150.000,00
00.83104;Reintegrament de microcrèdits Pacte per l'ocupació;150.000,00
;Total article 83;1.001.330,46
;;
;Total capítol 8;1.001.330,46
;;
;;
;Total general;151.475.952,04
