Ajuntament de Lleida. Pressupost de despeses per partides 2014. Classificació orgànica-econòmica;;
;;
 Partida;Denominació;Import € 
2.132.122.699;ALTRES DESPESES DE FUNCIONAMENT;7.340,37
2.134.022.699;ALTRES DESPESES DE FUNCIONAMENT;2.515,00
2.332.022.699;ALTRES DESPESES DE FUNCIONAMENT;3.850,00
2.920.022.699;ALTRES DESPESES DE FUNCIONAMENT;5.405,02
2.920.022.709;CONCESSIÓ D'OBRA PÚBLICA;2.341.009,00
2.132.022.799;ALTRES CONTRACTES PRESTACIO SERVEIS;10.000,00
2.132.122.799;ALTRES CONTRACTES;98.000,00
2.920.022.799;ALTRES CONTRACTES PRESTACIO SERVEIS;53.925,00
2.132.023.020;DIETES DEL PERSONAL;24.500,00
2.132.123.020;DIETES DEL PERSONAL;150,48
2.134.023.020;DIETES DEL PERSONAL;395
2.332.023.020;DIETES DE PERSONAL;232
2.920.023.020;DIETES DEL PERSONAL;285,45
2.920.023.300;ALTRES INDEMNITZ. PER RAO DEL SERVEI;1.801,93
;Total capítol 2;4.098.117,49
;;
;Capítol 4. Transferències corrents;
2.920.046.600;TRANSF. A ENTITATS QUE AGRUPEN MUNICIPIS;27.403,00
2.920.048.100;PREMIS I BEQUES;3.676,78
2.134.048.200;SUBVENCIÓ ASSOCIACIÓ VOLUNT.PROTECCIÓ CIVIL LLEIDA;1.545,00
;Total capítol 4;32.624,78
;;
;Capítol 8. Actius financers;
2.920.083.001;BESTRETES DEL PERSONAL;252.000,00
;Total capítol 8;252.000,00
;;
;Total orgànica 02;29.546.781,54
;;
;;
;;
;Orgànica 03. URBANISME;
;;
;Capítol 1. Despeses de personal;
3.150.011.000;RETRIBUCIONS BASIQUES;38.294,38
3.155.011.000;RETRIBUCIONS BASIQUES;23.428,58
3.150.011.001;RETRIBUCIONS COMPLEMENTARIES;108.797,87
3.155.011.001;RETRIBUCIONS COMPLEMENTARIES;52.546,67
3.150.012.000;SOUS DEL GRUP A1;196.920,71
3.155.012.000;SOUS DEL GRUP A1;15.900,43
3.336.012.000;SOUS DEL GRUP A1;73.386,60
3.150.012.001;SOUS DEL GRUP A2;92.496,73
3.155.012.001;SOUS DEL GRUP A2;51.626,08
3.165.012.001;SOUS GRUP A2;12.906,52
3.150.012.003;SOUS DEL GRUP C1;229.124,32
3.155.012.003;SOUS DEL GRUP C1;98.973,93
3.165.012.003;SOUS GRUP C1;29.654,52
3.336.012.003;SOUS GRUP C1;9.884,84
3.925.012.003;SOUS DEL GRUP C1;19.769,68
3.150.012.004;SOUS DEL GRUP C2;117.416,79
3.155.012.004;SOUS GRUP C2;50.329,82
3.165.012.004;SOUS GRUP C2;58.708,40
3.925.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;143.134,08
3.150.012.005;SOUS DEL GRUP E;7.678,58
3.155.012.005;SOUS GRUP E;53.750,06
3.165.012.005;SOUS GRUP E;23.035,74
3.925.012.005;SOUS DEL GRUP E;15.357,16
3.150.012.006;TRIENNIS;149.306,70
3.155.012.006;TRIENIS;57.414,90
3.165.012.006;TRIENNIS;34.331,88
3.336.012.006;TRIENNIS;15.160,28
3.925.012.006;TRIENNIS PERSONAL FUNCIONARI;19.761,49
3.150.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;425.571,67
3.155.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;172.440,03
3.165.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;79.646,17
3.336.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;47.943,00
3.925.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;117.084,27
3.150.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;800.754,13
3.155.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;365.297,72
3.165.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;224.935,91
3.336.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;54.664,94
3.925.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;236.152,17
3.150.013.000;RETRIB. BASIQUES PERSONAL LABORAL;32.428,34
3.155.013.000;RETRIB. BASIQUES PERSONAL LABORAL;42.299,32
3.925.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIXE;9.379,62
3.150.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;58.163,85
3.155.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;71.097,35
3.925.013.002;RET. COMPLEM. LABORAL FIXES;16.726,66
3.150.013.100;RET. BÀSIQUES LABORALS TEMPORALS;25.814,10
3.165.013.100;RETRIB.BÀSIQUES LABORALS TEMPORALS;8.879,10
3.150.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;17.046,44
3.165.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;15.973,88
3.920.015.000;PRODUCTIVITAT;57.008,45
3.221.016.400;COMPLEMENT FAMILIAR;19.560,02
;Total capítol 1;4.697.964,88
;;
;Capítol 2. Despeses corrents en béns i serveis;
3.410.020.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;11.866,00
3.920.020.200;LLOGUER IMMOBLES;48.168,00
3.165.020.300;LLOGUER MAQUINARIA I UTILLATGE;1.592,49
3.155.021.000;MANTENIMENT VIES PUBLIQUES;702.277,00
3.165.021.000;MANTENIMENT ENLLUMENAT;710.000,00
3.454.021.000;MANTENIMENT SENYALITZACIÓ CAMINS DE L'HORTA;6.000,00
3.161.021.001;MANTENIMENT DEPURADORA;1.947.619,00
3.454.021.001;MANTENIMENT CAMINS DE L'HORTA;120.000,00
3.920.021.200;MANTENIMENT EDIFICIS OFICIALS;285.549,00
3.165.021.300;MANTENIMENT MAQUINARIA;10.120,44
3.165.021.301;MANTENIMENT D'ASCENSORS;11.183,92
3.155.021.500;MANTENIMENT DE MOBILIARI URBA;218.182,00
3.150.021.600;MANTENIMENT EQUIPS INFORMATICS;51.616,05
3.925.021.600;MANTENIMENT EQUIPS INFORMÀTICS;941,69
3.165.022.100;SUBMINISTRAMENT ENERGIA ELECTRICA;1.800.000,00
3.920.022.100;SUBMINISTRAMENT ENERGIA ELECTRICA;360.182,81
3.155.022.101;AIGUA;4.500,00
3.920.022.101;SUBMINISTRAMENT D'AIGUA;9.905,96
3.920.022.102;SUBMINISTRAMENT DE GAS;81.833,35
3.150.022.103;COMBUSTIBLES I CARBURANTS;38.093,13
3.410.022.103;COMBUSTIBLES I CARBURANTS;362
3.920.022.110;SUBMINISTRAMENT PRODUCTES NETEJA;2.487,64
3.150.022.199;SUBMINISTRAMENT ALTRE MATERIAL TECNIC;5.030,36
3.920.022.199;ALTRES SUBMINISTRAMENTS;875,76
3.920.022.200;SERVEIS DE TELECOMUNICACIONS;813.740,22
3.150.022.299;ALTRES DESPESES EN COMUNICACIONS;760,18
3.150.022.699;ALTRES DESPESES DE FUNCIONAMENT;4.442,38
3.925.022.699;ALTRES DESPESES DE FUNCIONAMENT;470,84
3.920.022.700;NETEGES;317.852,40
3.151.022.706;ESTUDIS I TREBALLS TÈCNICS;200.000,00
3.151.022.707;OBRES D'EXECUCIÓ SUBSIDIÀRIA;300.000,00
3.151.022.799;ALTRES TREBALLS REALITZATS PER ALTRES EMPRESES I PROF.;165.538,71
3.440.022.799;CONTRACTE D'APARCAMENT REGULAT;3.041.000,00
3.925.022.799;ALTRES CONTRACTES DE PRESTACIÓ DE SERVEIS;655,46
3.150.023.020;DIETES DEL PERSONAL;2.185,12
3.925.023.020;DIETES DEL PERSONAL;224,95
;Total capítol 2;11.275.256,86
;;
;Capítol 4. Transferències corrents;
3.151.044.900;TRANSFERÈNCIA CORRENT EMPRESA MUNICIPAL URBANIME;4.700.000,00
3.440.046.700;APORTACIÓ AUTORITAT DEL TRANSPORT;139.088,00
3.440.047.200;TRANSFERÈNCIA CORRENT AUTOBUSOS DE LLEIDA;5.300.000,00
3.150.048.200;SUBVENCIÓ FUNDACIÓ PAISATGE URBÀ;65.170,00
3.410.048.200;TRANSFERENCIES A INSTITUCIONS SENSE FI DE LUCRE;12.073,00
;Total capítol 4;10.216.331,00
;;
;Capítol 6. Inversions reals;
3.933.060.000;ADQUISIO PATRIMONI I EXPROPIACIONS;3.000.000,00
3.151.060.100;HONORARIS;60.000,00
3.155.060.900;INFRASTR. BASIQUES, VIES PUBLIQUES;2.310.938,00
3.920.060.900;INVERSIONS EN EDIFICIS MUNICIPALS;1.475.000,00
3.933.061.900;ALTRES INVERSIONS CENTRE HISTÒRIC;938.000,00
3.164.062.200;CEMENTIRI;160.000,00
;Total capítol 6;7.943.938,00
;;
;Total orgànica 03;34.133.490,74
;;
;;
;;
;Orgànica 04. ECONOMIA I HISENDA;
;;
;Capítol 1. Despeses de personal;
4.931.011.000;RETRIBUCIONS BÀSIQUES;21.735,32
4.931.011.001;RETRIBUCIONS COMPLEMENTARIES;56.392,61
4.491.012.000;SOUS GRUP A1;1.223,11
4.922.012.000;SOUS DEL GRUP A1;15.900,43
4.931.012.000;SOUS GRUP A1;193.251,38
4.491.012.001;SOUS DEL GRUP A2;26.888,59
4.922.012.001;SOUS GRUP A2;12.906,52
4.931.012.001;SOUS GRUP A2;77.439,12
4.491.012.003;SOUS DEL GRUP C1;41.186,84
4.931.012.003;SOUS GRUP C1;692.315,37
4.491.012.004;SOUS DEL GRUP C2;8.378,58
4.931.012.004;SOUS GRUP C2;100.542,96
4.931.012.005;SOUS GRUP E;7.678,58
4.491.012.006;TRIENNIS;31.046,22
4.922.012.006;TRIENNIS;4.500,90
4.931.012.006;TRIENNIS;284.576,93
4.491.012.100;COMPLEMENT DE DESTÍ;56.337,47
4.922.012.100;RETRIBUCIONS COMPLEMENTARIES PERSONAL FUNCIONARI;16.953,84
4.931.012.100;COMPLEMENT DE DESTI;743.636,47
4.491.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;168.845,37
4.922.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;16.935,80
4.931.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;1.216.281,32
4.931.012.103;ALTRES COMPLEMENTS;443,88
4.491.013.000;RETRIB. BÀSIQUES PERSONAL LABORAL;194.592,28
4.931.013.000;RETRIBUCIONS BASIQUES;30.004,84
4.491.013.002;ALTRES REMUNERACIONS PERSONAL LABORAL FIX;341.228,45
4.931.013.002;ALTRES REMUNERACIONS;47.659,44
4.491.013.100;RETRIBUCIONS BÀSIQUES LABORAL TEMPORAL;52.885,18
4.931.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;13.035,62
4.491.013.102;ALTRES REMUNERACIONS LABORAL TEMPORAL3;49.719,82
4.931.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;7.504,72
4.920.015.000;PRODUCTIVITAT;54.511,72
4.931.015.000;PRODUCTIVITAT;77.170,18
4.221.016.400;COMPLEMENT FAMILIAR;38.040,04
;Total capítol 1;4.701.749,90
;;
;Capítol 2. Despeses corrents en béns i serveis;
4.931.020.600;LLOGUER APLICACIONS DE GESTIO;203.056,00
4.920.020.601;LLOGUER EQUIPS INFORMACIO;269.209,00
4.491.021.600;MANTENIMENT EQUIPS INFORMATICS;36.749,67
4.920.021.600;MANTENIMENT EQUIPS INFORMATICS;22.972,10
4.491.022.000;MATERIAL D'OFICINA NO INVENTARIABLE;150
4.920.022.000;MATERIAL D'OFICINA NO INVENTARIABLE;85.000,00
4.920.022.001;SUBSCRIPCIONS I PUBLICACIONS;18.959,44
4.491.022.002;SUBM. MATERIAL INFORMÀTIC NO INVENTARIABLE;9.633,00
4.920.022.201;COMUNICACIONS POSTALS;405.000,00
4.920.022.602;CONVENIS DE DIVULGACIÓ;170.000,00
4.920.022.603;PUBLICACIONS EN DIARIS OFICIALS;11.426,00
4.931.022.604;DESPESES JURIDIQUES I CONTENCIOSOS;8.229,31
4.439.122.699;ALTRES DESPESES DE FUNCIONAMENT: PROJECCIÓ EXTERIOR;49.700,00
4.491.022.699;ALTRES DESPESES DE FUNCIONAMENT;1.000,00
4.920.022.699;FONS D'AJUSTAMENT PRESSUPOSTARI;231.339,00
4.931.022.699;ALTRES DESPESES DE FUNCIONAMENT;199.000,00
4.491.022.799;ALTRES TREBALLS REALITZATS PER ALTRES EMPRESES I PROF.;223.511,67
4.439.123.020;DIETES DEL PERSONAL;155,14
4.491.023.020;DIETES DEL PERSONAL;500
4.931.023.020;DIETES DEL PERSONAL;617,45
;Total capítol 2;1.946.207,78
;;
;Capítol 3. Despeses financeres;
4.011.031.001;INTERESSOS;3.939.450,15
;Total capítol 3;3.939.450,15
;;
;Capítol 4. Transferències corrents;
4.439.145.300;TRANSFERÈNCIES CORRENTS AEROPORTS PÚBLICS DE CATALUNYA;150.000,00
4.439.146.702;APORTACIÓ PARC CIENTÍFIC I TECNOLÒGIC;300.000,00
4.927.048.200;ALTRES TRANSF. A ENS SENSE LUCRE;78.858,00
4.931.048.901;TRANSFERÈNCIA CERCLE D'ECONOMIA;4.654,15
;Total capítol 4;533.512,15
;;
;Capítol 6. Inversions reals;
4.920.062.301;ADQUISICIO MAQUINARIA;175.000,00
;Total capítol 6;175.000,00
;;
;Capítol 9. Passius financers;
4.011.091.300;AMORTITZACIO DE PRESTECS;12.959.025,97
;Total capítol 9;12.959.025,97
;;
;Total orgànica 04;24.254.945,95
;;
;;
;;
;Orgànica 05. COHESIO SOCIAL I OCUPACIO;
;;
;Capítol 1. Despeses de personal;
5.231.011.000;RETRIBUCIONS BÀSIQUES;21.735,32
5.231.011.001;RETRIBUCIONS COMPLEMENTARIES;56.293,49
5.231.012.000;SOUS GRUP A1 PERSONAL FUNCIONARI;117.418,56
5.232.012.000;SOUS GRUP A1;88.063,92
5.313.012.000;SOUS DEL GRUP A1;44.031,96
5.231.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;775.466,75
5.232.012.001;SOUS GRUP A2;77.439,12
5.313.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;38.719,56
5.924.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;51.626,08
5.231.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.905,57
5.313.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.654,52
5.924.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.654,52
5.164.012.004;SOUS GRUP C2;8.436,92
5.231.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;167.571,60
5.232.012.004;SOUS GRUP C2;33.514,32
5.313.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;8.436,92
5.164.012.005;SOUS GRUP E;53.750,06
5.231.012.005;SOUS GRUP E PERSONAL FUNCIONARI;23.035,74
5.313.012.005;SOUS DEL GRUP E PERSONAL FUNCIONARI;15.357,16
5.924.012.005;SOUS GRUP E PERSONAL FUNCIONARI;85.104,27
5.164.012.006;TRIENNIS;6.912,24
5.231.012.006;TRIENNIS;179.016,35
5.232.012.006;TRIENNIS;29.046,18
5.313.012.006;TRIENNIS PERSONAL FUNCIONARI;39.703,38
5.924.012.006;TRIENNIS PERSONAL FUNCIONARI;28.096,66
5.164.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;35.522,79
5.231.012.100;COMPLEMENT DE DESTINACIÓ;661.109,44
5.232.012.100;COMPLEMENT DE DESTINACIÓ PERSONAL FUNCIONARI;113.900,08
5.313.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;80.460,41
5.924.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;100.038,71
5.164.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;71.136,07
5.231.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;946.440,76
5.232.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;189.277,59
5.313.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;118.597,19
5.924.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;173.362,98
5.231.013.000;RETRIBUCIONS BÀSIQUES;101.568,48
5.232.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIXE;11.690,74
5.924.013.000;RETRIB. BASIQUES PERSONAL LABORAL;19.757,10
5.231.013.002;ALTRES REMUNERACIONS;109.407,22
5.232.013.002;ALTRES REMUNERACIONS PERSONAL LABORAL FIXE;13.875,84
5.924.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;28.355,76
5.150.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;14.400,00
5.155.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;14.400,00
5.164.013.100;RETRIBUCIONS PERSONAL LABORAL EVENTUAL;8.179,10
5.231.013.100;RETRIBUCIONS PERSONAL LABORAL EVENTUAL;193.545,99
5.924.013.100;RETRIBUCIONS PERSONAL LABORAL EVENTUAL;10.246,02
5.164.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;6.994,70
5.231.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;125.577,51
5.924.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;10.099,48
5.920.015.000;PRODUCTIVITAT;71.572,65
5.221.016.400;COMPLEMENT FAMILIAR;10.260,01
;Total capítol 1;5.277.767,79
;;
;Capítol 2. Despeses corrents en béns i serveis;
5.231.020.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;118.474,00
5.232.220.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;130.247,00
5.232.320.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;16.560,00
5.313.020.200;LLOGUERS IMMOBLES;8.609,00
5.924.020.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;81.000,00
5.164.021.000;MANTENIMENT CEMENTIRI;16.238,32
5.164.021.200;MANTENIMENT EDIFICIS DE CEMENTIRI;324,36
5.231.021.200;MANTENIMENT EDIFICIS SERVEIS SOCIALS;64.994,40
5.232.221.200;MANTENIMENT EDIFICIS JOVENTUD;5.754,84
5.232.321.200;MANTENIMENT D'EDIFICIS;1.767,66
5.313.021.200;MANTENIMENT EDIFICIS SANITAT I LABORATORI;102
5.924.021.200;MANTENIMENT EDIFICIS PARTICIPACIO VEINAL;262.000,00
5.164.021.300;MANTENIMENT MAQUINARIA;1.123,20
5.231.021.300;MANTENIMENT MAQUINARIA SERVEIS SOCIALS;1.284,54
5.232.221.300;MANTENIMENT MAQUINARIA;800
5.924.021.300;MANTENIMENTS DE MAQUINARIA;299,42
5.164.021.400;MANTENIMENT MATERIAL DE TRANSPORT;415,77
5.231.021.600;MANTENIMENT EQUIPS INFORMATICS;3.853,63
5.232.221.600;MANTENIMENT EQUIPS INFORMATICS;555
5.232.321.600;MANTENIMENT EQUIPS INFORMATICS;1.104,58
5.313.021.600;MANTENIMENT EQUIPS INFORMATICS;287
5.924.021.600;MANTENIMENT EQUIPS INFORMATICS;856,36
5.231.022.100;SUBMINISTRAMENT ENERGIA ELECTRICA;115.851,86
5.232.222.100;SUBMINISTRAMENT ENERGIA ELECTRICA;21.894,44
5.232.322.100;SUBMINISTRAMENT ENERGIA ELECTRICA;2.308,68
5.313.022.100;SUBMINISTRAMENT ENERGIA ELECTRICA;17.315,75
5.924.022.100;SUBMINISTRAMENT ENERGIA ELECTRICA;178.898,10
5.164.022.101;SUBMINISTRAMENT D'AIGUA;13.461,78
