Associació de Comerciants;AssociacioVeinal;Títol;Propietari;Telèfon;Correu electrònic;Pàgina web;Enllaç 360º;Facebook;Twitter;Altra xarxa;Google Maps;Tienda Online
;AVV Pardinyes;Caprabo - Baró de Maials;;902 116 060;;http://www.caprabo.com;;https://www.facebook.com/Caprabo;https://twitter.com/caprabo;https://www.youtube.com/user/Caprabo50;;http://www.caprabo.com/es/capraboacasa/
;AVV Bordeta;Caprabo - La Bordeta;;902 116 060;;http://www.caprabo.com;;https://www.facebook.com/Caprabo;https://twitter.com/caprabo;https://www.youtube.com/user/Caprabo50;;http://www.caprabo.com/es/capraboacasa/
;AVV Camp d'Esports;Caprabo - Onze Setembre;;902 116 060;;http://www.caprabo.com;;https://www.facebook.com/Caprabo;https://twitter.com/caprabo;https://www.youtube.com/user/Caprabo50;;http://www.caprabo.com/es/capraboacasa/
;AVV Magisteri Zona Alta;Caprabo - Rovira Roure;;902 116 060;;http://www.caprabo.com/es/home/;;https://www.facebook.com/Caprabo;https://twitter.com/caprabo;https://www.youtube.com/user/Caprabo50;;http://www.caprabo.com/es/capraboacasa/
;AVV Avinguda del Segre;Carnisseria Maria Begué (Noguerola);;973 24 67 15;info@mariabegue.com;http://www.mariabegue.com/;;;;;;
;AVV Clot de les Granotes;Carnisseria Maria Begué (P. Viana);;973 23 42 35;info@mariabegue.com;http://www.mariabegue.com/;;;;;;
;AVV Clot de les Granotes;Centre d'Estètica Rame;;973 23 66 33;;www.esteticarame.com;;https://www.facebook.com/pages/Centre-dEst%C3%A8tica-Rame/447922388598173;;;;
;AVV Escorxador-Templers;Centre Estètica Mima't;;690 03 02 18;mimatstetica@gmail.com;;;https://www.facebook.com/mimatlleida;;;;
;AVV Balàfia;Centronet tintoreries;;973 725 836 // 902 202 802;direccion@centronet.es;http://centronet.es/;;https://www.facebook.com/centronet.tintorerias;https://twitter.com/tintorerias;http://blog.centronet.es/;;
;AVV Universitat-Zona Alta;Copisteria L'Original;;973 272 806;info@copisteriaoriginal.net;http://www.copisteriaoriginal.net/;;;;;;
;AVV Blocs Joan Carles;Dishari Yoga;;;info@dishariyoga.com;http://www.dishariyoga.com/;;;;;;
;AVV Clot de les Granotes;Electel Rodriguez S.L.;José Rodriguez;973 268 975;info@electel.es;http://www.electel.es/;;;;;;
;AVV Clot de les Granotes;Eloy Cases Perruquers;;973 23 63 96;;http://www.eloycases.com/;;https://www.facebook.com/eloycasesperruquers;;;;
;AVV Noguerola;Esports Pifarre;;973 232 261;info@esportspifarre.es;http://www.esportspifarre.es/?;;https://www.facebook.com/esportspifarrelleida;https://twitter.com/EsportsPifarre; http://www.youtube.com/user/esportspifarre;;
;AVV Cappont;Esther Grup;;973 20 48 18 // fax: 973 20 48 05;info@esthergrup.com;http://www.esthergrup.com/;;;;;;
;AVV Escorxador-Templers;Fotografia Gomez Vidal;;973 26 75 62;;http://www.fotografiagomezvidal.net/;;https://www.facebook.com/FotografiaGomezVidal;;;;
;AVV Clot de les Granotes;Genaro Massot - Shoot Photo Factory;;973 83 17 09;info@genaromassot.com;http://www.genaromassot.com/;;https://www.facebook.com/genaro.massot;https://twitter.com/genaromassot;;;
;AVV Magisteri Zona Alta;La Festa;;;;;;https://www.facebook.com/lafesta.lleida;;;;
;AVV Clot de les Granotes;La Sirena (A. Porqueres);;973 22 95 58;sac@lasirena.es;http://www.lasirena.es/;;http://www.facebook.com/LaSirena;http://twitter.com/lasirena;http://www.youtube.com/laSirenaEs;;
;AVV Pardinyes;La Sirena (B. Maials);;973 25 40 39;sac@lasirena.es;http://www.lasirena.es/;;http://www.facebook.com/LaSirena;http://twitter.com/lasirena;http://www.youtube.com/laSirenaEs;;
;AVV Blocs Joan Carles;La Sirena (J. Bola);;973 28 00 73;sac@lasirena.es;http://www.lasirena.es/;;http://www.facebook.com/LaSirena;http://twitter.com/lasirena;http://www.youtube.com/laSirenaEs;;
;AVV Cappont;La Sirena (Jaume II);;973 21 30 25;sac@lasirena.es;http://www.lasirena.es/;;http://www.facebook.com/LaSirena;http://twitter.com/lasirena;http://www.youtube.com/laSirenaEs;;
;;La Sirena (R. Roure);;973 15 75 03;sac@lasirena.es;http://www.lasirena.es/;;http://www.facebook.com/LaSirena;http://twitter.com/lasirena;http://www.youtube.com/laSirenaEs;;
;AVV Blocs Joan Carles;L'Aquari - la teva botiga d'aquariofilia;;973 275 484;info@laquari.com;http://www.laquari.com/;;https://www.facebook.com/Laquari;;;;http://www.laquari.com/catalog/default.php
;AVV Clot de les Granotes;Marta Farran;;973 244 299;;http://www.martafarran.com/;;;;;;
;AVV Camp d'Esports;Medusateam;;973 262 097;info@medusateam.com;http://www.medusateam.com/;;http://www.facebook.com/medusateam;;;;
;;Mercadona;;;;https://www.mercadona.es/ns/index.php;;;;;https://www.google.es/maps/search/mercadona/@41.613035,0.636695,15z/data=!3m1!4b1;https://www.mercadona.es/ns/entrada.php?js=1
;AVV Pius XII-Germanor;Microlleida;;973 28 25 70;microlleida@microlleida.com;;;https://www.facebook.com/microlleida;https://twitter.com/microlleida;https://plus.google.com/117928708071676562504/photos;;
;;Misako;;;;http://www.misako.com/;;;;;https://www.google.es/maps/place/Misako/@41.615382,0.626963,6z/data=!4m2!3m1!1s0x0:0x2c7650b2a133f450?sa=X&ei=GfE4Vc76NaiP7Aa_hYGYBg&sqi=2&ved=0CIYBEPwSMAs;http://www.misako.com/
;;Ms Mode;;;;https://www.msmode.es/;;;;;https://www.google.es/maps/place/MS+Mode+Lleida/@41.603376,0.642399,6z/data=!4m2!3m1!1s0x0:0xc3e0341e113370cb?sa=X&ei=uv04VbOOGq6t7AbX-ICgAw&ved=0CIgBEPwSMA0;https://www.msmode.es/
;AVV Universitat-Zona Alta;New Image Estètica;;973 26 66 27;new.image.35@facebook.com;;;https://www.facebook.com/new.image.35;;;;
;AVV Clot de les Granotes;Original Tattoo;;;info@originaltattoo.es;http://www.originaltattoo.es/cat/;;https://www.facebook.com/Josu.Original.Tattoo;;;;
;AVV Clot de les Granotes;Ortopèdia Rubio (Sant Hilari);;973 248 091;;http://www.ortopediarubio.com/;;;;;;
;AVV Clot de les Granotes;Pastisseria Pons;;973 23 28 38;info@pastisseriapons.com;http://www.pastisseriapons.cat/;;https://www.facebook.com/pastisseriapons.pastisseriapons;https://twitter.com/PASTISSERIAPONS;;;
;AVV Comerciants del Centre Històric;Pastisseria Sendra;;973 271 994;info@pastisseriasendra.com;http://www.pastisseriasendra.com/;;;;;;
;AVV Blocs Joan Carles;Perfumeria If;;;;http://www.perfumeriasif.com/;;;;;;http://www.perfumeriasif.com/
;AVV Noguerola;Perruqueria Antonieta;Antonieta Garcia Pulido;973 241 116;perruqueria.antonieta@gmail.com;;http://www.lleida360.com/2013/03/perruqueria-antonieta.html;https://www.facebook.com/PerruqueriaAntonieta;;;;
;AVV Cappont;Perruqueria Eli Oró;;973 21 18 36;;;;https://www.facebook.com/eli.oropalau;;;;
;AVV Cappont;Pintures Lab-Perat;;973 200 026;labperat@gmail.com;http://www.grupperatpintors.com/;;https://www.facebook.com/pinturesperat;https://twitter.com/LABPERAT;;;
;AVV Balàfia;Pometa Gràfica;;;info@portalpometa.com;http://www.pometagrafica.com/;;https://www.facebook.com/PortalPometa;https://twitter.com/portalpometa;http://vimeo.com/portalpometa;;
;AVV Clot de les Granotes;Quadrant Produccions / Quadrant Records;;973 222 027;info@quadrantcorner.com;http://www.quadrantcorner.com/;;https://www.facebook.com/quadrantrecords;https://twitter.com/quadrantrecords;;;
;AVV Clot de les Granotes;Rosa Torrent Estètica;;973 22 22 00 // 973 26 58 58;info@rosatorrent.com;http://rosatorrent.com/;;https://www.facebook.com/rosatorrent.estetic;;;;
;AVV Cappont;Santiveri Joiers Lleida;;973 20 16 95;;;;https://es-es.facebook.com/pages/Santiveri-Joiers-Lleida/324068754388875;https://twitter.com/SantiveriJoiers;;https://www.google.es/maps/place/Santiveri+Joiers+SL/@41.611389,0.630139,15z/data=!4m2!3m1!1s0x0:0x813974783d6fa053;
;;SEMIC;;902 109 120;semic@semic.es;http://www.semic.es/;;;;;;
;AVV Universitat-Zona Alta;Sericard;;973 797 512;comercial@tecnego.com;http://suministrosparaeventos.com/;;https://www.facebook.com/Tecnegocom-21-SL-319206131525637/timeline/;;;;
;AVV Mariola;SolarCheck Lleida;;973 288 176;;http://www.solarchecklleida.com/;;https://www.facebook.com/solarchecklleida;https://twitter.com/Protecciosolar;;;
;AVV Noguerola;Somriu Clínica Dental;;973 09 09 09;clinicasomriu@gmail.com;http://www.clinicadentalsomriu.com/;;https://www.facebook.com/clinica.dentalsomriu?fref=ts;;;;
;AVV Clot de les Granotes;Teacolors La botiga del cafè & te;;973 23 88 80;info@teacolors.es;http://www.teacolors.es/;;https://www.facebook.com/pages/Tea-colors/110734688937288;;;;http://www.teacolors.es/
;;Tempora;;973 24 06 42;tempora@temporagourmet.com;http://www.temporagourmet.com/;;https://www.facebook.com/tempora.lleida?fref=ts;;;;
;;Textura Interiors;;;;http://www.textura-interiors.com/;;;;;https://www.google.es/maps/place/Textura+Interiors/@41.612102,0.619968,6z/data=!4m2!3m1!1s0x0:0xe388f15d42c66fd8?sa=X&ei=8_g4VYCvOqTj7QaphoHQAw&sqi=2&ved=0CH8Q_BIwDQ;http://www.textura-interiors.com/
;;The Body Shop;;;;http://www.thebodyshop.es/;;;;;;http://www.thebodyshop.es/
;;Torrelsa;;973 23 67 75;torrelsa@torrelsa.com;http://www.torrelsa.com/;;;;;;
;AVV Balàfia;Totmampara;;973 72 56 70;totmampara@totmampara.com;http://www.totmampara.com/;;https://www.facebook.com/pages/Totmampara-SCP/196583487026297;;;;
;AVV Universitat-Zona Alta;Vicente Candela – Torroneria;;649 495 038;info@turronesvicentecandela.com;http://www.turronesvicentecandela.com/;;https://www.facebook.com/vicente.candelabarcelo;;https://www.youtube.com/user/torroner1;;http://www.turronesvicentecandela.com/
Balàfia;AVV Balàfia;Acustielec audio/imatge;;973 233 172;acustielec@acustielec.com;http://www.acustielec.com/;;;;;;
Balàfia;AVV Balàfia;Adbrands Assessoria Gràfica;;973 229 130;ad@adbrands.es;;;https://www.facebook.com/adbrands.lleida;;;;
Balàfia;AVV Balàfia;Bucoestètic;;973 23 06 33;;http://www.bucoestetic.com/;;https://www.facebook.com/bucoestetic.clinica;;;;
Balàfia;AVV Balàfia;Caixa Penedès - Porqueres;;973 225 900;info@bancsabadell.com;https://www.bancsabadell.com/cs/Satellite/SabAtl/Oficinas/1191332199103/es/;;https://www.facebook.com/bancosabadell;https://twitter.com/bancosabadell;http://blog.bancosabadell.com/;;
Balàfia;AVV Balàfia;Compsa Online;;973 833 733;info@compsaonline.com;http://www.compsaonline.com/;;https://www.facebook.com/compsaonline;https://twitter.com/compsaonline;https://plus.google.com/117570353591163512667/posts;;
Balàfia;AVV Balàfia;Confer Cuines Lleida;;973269466 // fax: 97323903;info@confercuineslleida.com;http://www.confercuineslleida.com;;;;;;
Balàfia;AVV Balàfia;Cortines Sant Jordi;;973 249 950;info@cortinesSantJordi.com;http://www.cortinessantjordi.com/;;https://www.facebook.com/cortines.jordi;https://twitter.com/csantjordi;;;
Balàfia;AVV Balàfia;Ecolider;;973 242 711;ecoliderlleida@gmail.com;http://www.ecolider.com/;;;;;;
Balàfia;AVV Balàfia;El Cuc;;973 841 484;elnoucuc@hotmail.es;;;https://www.facebook.com/elnoucuc.lleida;;;;
Balàfia;AVV Balàfia;EME's Perruquers;;973 23 23 20;emesperruquers@hotmail.es;http://www.emesperruquers.cat/;;;;;;
Balàfia;AVV Balàfia;Enriqueta Olives Cortines;;;cortines@eolivescortines.cat;http://www.eolivescortines.cat/;;;;;;
Balàfia;AVV Balàfia;Establiment de prova;la Mariajo;973 000 111;111@paeria.es;;;;;;;
Balàfia;AVV Balàfia;Eurotoldo;;973 228 273;eurotoldo@eurotoldo.net;http://eurotoldo.net/;;;;;;
Balàfia;AVV Balàfia;Farmàcies Isanta;;973 233 359 // 973 280 520;"farmacia@farmaciaisantacrusellas.com ; laboratori@farmaciagarciaisanta.com";http://www.farmacias-isanta-lleida.com/;;https://www.facebook.com/FarmaciesIsanta;https://twitter.com/FarmaciesIsanta;;;
Balàfia;AVV Balàfia;Fast Engine;;973 22 83 43;;http://http://www.fastengine.es/;;https://www.facebook.com/fast.engine;https://twitter.com/Fast_Engine;;;
Balàfia;AVV Balàfia;Ferreteria Albert Soler;;973 24 25 58;ferreteria@albertsoler.com;http://www.albertsoler.com/;;https://www.facebook.com/pages/Albert-Soler/352197168167540;https://twitter.com/FAlbertSolerSA;https://plus.google.com/u/0/117139138920199159376/posts;;
Balàfia;AVV Balàfia;Foto Index;;973 231 079;correofotoindex@gmail.com;http://www.fotoindex.es/index.php/ca/;;https://www.facebook.com/fotoindex.fotoindex;;;;
Balàfia;AVV Balàfia;Fruites i Verdures Rufac;;973 24 36 55;info@fruitesiverduresrufach.cat;http://www.fruitesiverduresrufach.cat/;;https://www.facebook.com/pages/Fruites-i-Verdures-Rufach/181669875191927;;;;
Balàfia;AVV Balàfia;General d'estudis - Corregidor Escofet;;973 98 40 30;balafia@generalestudis.com;http://www.generalestudis.com/;;https://www.facebook.com/pages/General-dEstudis-Lleida/136783326398949;https://twitter.com/GeneralEstudis;http://www.linkedin.com/company/general-d%27estudis?trk=hb_tab_compy_id_2419859;;
Balàfia;AVV Balàfia;HousePlant Grow Shop;;973 844 632;info@houseplant.net;http://www.houseplant.net/;;https://www.facebook.com/houseplant.growshop;https://twitter.com/houseplantgrow;;;
Balàfia;AVV Balàfia;Ideal Espectacles;;630 054 655;info@idealespectacles.com;http://idealespectacles.com/;;;;;;
Balàfia;AVV Balàfia;Ilergestió Pime;;973 23 01 22;ilergestio@ilergestio.es;http://ilergestio.es/;;;;;;
Balàfia;AVV Balàfia;Informàtica Lleidatana;;973 236 752;;http://www.infolleida.es/;;;;;;
Balàfia;AVV Balàfia;Jorfe Instal·lacions;;973 249 706;info@jorfe.es;http://www.jorfe.es/;;https://www.facebook.com/pages/Jorfe/218562168160097;https://twitter.com/JorfeEnergia;http://www.linkedin.com/company/jorfe;;
Balàfia;AVV Balàfia;Kids and Us;; 973 044 310 // 677 584 371;lleida@kidsandus.cat;http://www.kidsandus.cat/;;https://www.facebook.com/KidsandUsschoolofenglish;;;;
Balàfia;AVV Balàfia;La Perfumeria - Porqueres;;973 241 678;info@perfumeriainternacional.es;http://www.perfumeriainternacional.com/;;https://www.facebook.com/Laperfumerialleida ;;;;
Balàfia;AVV Balàfia;Magatzem del Perruquer - Sabadell;;973 23 01 07;"central@magatzemdelperruquer.com ; botiga@magatzemdelperruquer.com";http://www.magatzemdelperruquer.com/;;https://www.facebook.com/pages/MAGATZEM-DEL-PERRUQUER/141080852664470;;;;
Balàfia;AVV Balàfia;Òptica Balàfia;;973 22 34 46;info@opticabalafia.com;http://www.opticabalafia.com/;;https://www.facebook.com/opticabalafia;;https://plus.google.com/114853222741390162720/about?gl=es&hl=ca;;
Balàfia;AVV Balàfia;Plus Fresc - Plaça Europa;;973 22 86 15;plusfresc@plusfresc.es;http://www.plusfresc.es/;;;https://twitter.com/Plusfresc;;;
Balàfia;AVV Balàfia;Plusfresc - Nova Balàfia;;973 22 85 08;plusfresc@plusfresc.es;http://www.plusfresc.es;;;https://twitter.com/Plusfresc;;;
Balàfia;AVV Balàfia;Sabateria Xavier;;973 233 097;carballalscp@terra.es;http://www.sabateriaxavier.com/;;https://www.facebook.com/SabateriaXavier?fref=ts;;;;
Balàfia;AVV Balàfia;Seguros AXA - Rucoll Assessors;;973 224 445;rucoll@agencia.axa-seguros.es;http://www.axa.es/;;https://www.facebook.com/AXA.ES;https://twitter.com/AXASegurosEs;http://www.youtube.com/user/AXASEGUROSES;;
Balàfia;AVV Balàfia;Serman Port;;973 22 08 57;;http://sermanport.com/;;;;;;
Balàfia;AVV Balàfia;Sis Sis;;973240687;;http://www.sisislleida.com;;;;;;
Balàfia;AVV Balàfia;The Singular Kitchen;;973 24 82 04;info@thesingularkitchen.com;http://www.thesingularkitchen.com/;;https://www.facebook.com/TheSingularKitchen;https://twitter.com/SINGULARKITCHEN;https://plus.google.com/+TheSingularKitchen/posts;;
Cappont;AVV Cappont;AID Grup;;973 049 400 ;info@aid.cat;http://www.aid.cat/;;https://www.facebook.com/aidgruplleida;;;;
Cappont;AVV Cappont;Aluminios Santiago;;973 200 446;info@aluminiossantiago.com;http://www.aluminiossantiago.com/;;;;;;
Cappont;AVV Cappont;Armeria Garriga;;973 20 42 22;info@armeriagarriga.com;http://www.armeriagarriga.com/;;https://www.facebook.com/pages/ARMERIA-GARRIGA-SL/119971041410880;https://twitter.com/Armeriagarriga;;;
Cappont;AVV Cappont;Autoescola Cappont;;973 21 69 15;cfcappontlleida@gmail.com;http://autoescuelacappont.multiespaciosweb.com/;;https://www.facebook.com/autoescola.cappont?fref=ts;;;;
Cappont;AVV Cappont;Autoescola Rex;;973 203 515;rex@autoescolarex.com;http://autoescolarex.com/wordpress/;;https://www.facebook.com/autoescola.rex;https://twitter.com/AUTOESCOLAREX;;;
Cappont;AVV Cappont;Badia Solucions d'interiors;;973 20 03 74;info@badiainteriors.com;http://www.badiainteriors.com;;https://www.facebook.com/pages/Badia-solucions-dinteriors/581719131854386;;;;
Cappont;AVV Cappont;Banc Popular - Castells;;973 204 300;00750914@bancopopular.es;http://www.bancopopular.es/;;https://www.facebook.com/grupobancopopular;https://twitter.com/GrupoBPopular;http://www.linkedin.com/company/706505;;
Cappont;AVV Cappont;Banc Santander - Estudi General;;973 20 04 33;comunicacion@gruposantander.com;http://www.bancosantander.es;;https://www.facebook.com/bancosantander;https://twitter.com/santander_es;http://www.youtube.com/bancosantander;;
Cappont;AVV Cappont;BonÀrea - AV València;;973 205 319;atencio.client@bonarea.com;http://www.bonarea.com/;;https://www.facebook.com/guissonabonarea;;;;
Cappont;AVV Cappont;Cansaladeries Carner - València;;973 205 073;info@carner.cat;http://carner.cat/ca/;;https://www.facebook.com/cansaladeriescarner;;;;
Cappont;AVV Cappont;Cappont motors;;973 212 344;info@cappontmotors.com;http://www.cappontmotors.com/;;;;;;
Cappont;AVV Cappont;Centre de Quiromassatge J. Velarde;;973 20 41 08;;;;https://www.facebook.com/pages/Centre-de-Quiromassatge-J-Velarde/372139932855896;;;;
Cappont;AVV Cappont;Centre Hara;;973 20 67 23;fisio@centrehara.com;http://www.centrehara.com/;;https://www.facebook.com/centre.hara?fref=ts;;;;
Cappont;AVV Cappont;Centre Kine - Teràpies Globals;;973 23 37 03;info@centrekine.com;http://www.centrekine.com/;;https://www.facebook.com/centrekine;;http://www.youtube.com/watch?v=jadZ0MhodBE;;
Cappont;AVV Cappont;Centre Veterinari Riu Ebre;;973 216 549;cvriuebrelleida@hotmail.com;;;https://www.facebook.com/centreveterinari.riuebre;;;;
Cappont;AVV Cappont;CHRIS SAN-2 VEPRODIMA;;973 202 993;veprodima@telefonica.net;http://www.turopadetrabajo.com/;;https://www.facebook.com/turopadetrabajo;https://twitter.com/turopadetrabajo;https://plus.google.com/108926713778872240563/about;;
Cappont;AVV Cappont;Citroën - Santesmases;;973 21 20 20;santesmases@santesmases.redcitroen.com;http://redoficial.citroen.es/lerida-garatgesport2;;https://www.facebook.com/citroen.es;https://twitter.com/CitroenEspana;http://www.youtube.com/user/CitroenEspana;;
Cappont;AVV Cappont;CompraChollo;;973 210 781;info@comprachollo.com;http://www.comprachollo.com/;;;;;;
Cappont;AVV Cappont;Cons-Anfero Construccions;;973 205 685;consanfero@consanfero.com;http://www.consanfero.com/;;;;;;
Cappont;AVV Cappont;Copisteria Copilleida;;973 21 60 42;copilleida@hotmail.com;;;https://www.facebook.com/pages/Copister%C3%ADa-Copilleida/576540085748664;;;;
Cappont;AVV Cappont;D'Clinic Ferrón Alonso;;973 20 84 84;administracio@declinic.com;http://www.declinic.com/;;;;;;
Cappont;AVV Cappont;Equip Sostre;;973 21 62 33 // fax: 973 21 62 33;equipsostre@equipsostre.com;http://www.equipsostre.com/;;;;;;
Cappont;AVV Cappont;Farmàcia Baquero;;973 21 18 55;farmaciabaquero@hotmail.com;http://www.farmaciabaquero.com/;;https://www.facebook.com/farmaciabaquerolleida?ref=stream;;;;
Cappont;AVV Cappont;Federoptics - Xavier Vivas;;973 21 64 42;xavier@federopticsxaviervivas.cat;http://www.federopticsxaviervivas.cat/;;;;https://plus.google.com/101816809574826147598/about?rfmt=s&hl=ca&gl=es;;
Cappont;AVV Cappont;Flaires i Flors - Garrigues;;973 20 54 00 // 973 225 182 (botiga corbins);info@flairesiflors.com;http://www.flairesiflors.com/;;https://www.facebook.com/pages/Flaires-i-Flors/224986094315531;;https://plus.google.com/110295009754259549539/about?gl=es&hl=ca;;
Cappont;AVV Cappont;Floristeria Garba - Valencia;;973 20 19 13;av_valenciatienda@floristeriasgarba.es;http://www.floristeriasgarba.es/;;https://www.facebook.com/pages/floristeria-garba/102287556485119;;;;
Cappont;AVV Cappont;FOINTEC;;902 99 64 27;formacio@fointec.com;http://www.fointec.com/;;https://www.facebook.com/fointec;https://twitter.com/fointec_forma;;;
Cappont;AVV Cappont;Foto Llorens - Castells;;973 203 360;estudi@fotollorens.com;http://www.fotollorens.com/;;https://www.facebook.com/pages/Foto-Llorens-SL/403498749720764?fref=ts;;;;
Cappont;AVV Cappont;Gabinet Clínic Dental;;973 20 55 40;;http://www.gabinetclinicdental.com/;;https://www.facebook.com/pages/Gabinet-Cl%C3%ADnic-Dental/1383564568524673;;;;
Cappont;AVV Cappont;GPC Consultors Tecnològics;;973 20 83 84;info@pgcsistemas.com;http://www.gpcsistemas.com/;;;;;;
Cappont;AVV Cappont;IMO Grup;;973 203 507 // 973 201 222;IMOGRUP.LLEIDA@GMAIL.COM;http://imogrup.es/;;https://www.facebook.com/pages/IMO-GRUP/110379978975136;;;;
Cappont;AVV Cappont;Infopid;;;;http://www.infopid.com/;;;;;;
Cappont;;Innovació - OUTLET;;973 21 37 10;innovacio@innovacio.com;http://www.innovacio.com/;;https://www.facebook.com/pages/INNOVACI%C3%93/145627758109;;;;
Cappont;AVV Cappont;Intercasa;;973 20 50 12;intercasa-lleida@hotmail.com;http://intercasalleida.com/;;https://www.facebook.com/intercasa.decoracio;;;;
Cappont;AVV Cappont;Joieria Miranda;;973 203 558;;;;https://www.facebook.com/JoieriaIRellotgeriaMiranda;;;;
Cappont;AVV Cappont;La Caixa - Garrigues;;973 787 450;;http://portal.lacaixa.es/;;https://www.facebook.com/lacaixa;https://twitter.com/infoCaixa;https://plus.google.com/+lacaixa/posts;;
Cappont;AVV Cappont;La Primavera - Avda. Garrigues;;973 208 253;laprimavera@laprimavera.es;http://www.laprimavera.es/;;https://www.facebook.com/laprimaveraperfumeries;;http://www.youtube.com/user/primaveraperfumeries;;
Cappont;AVV Cappont;Llar d'Infants Blanquerna;;973 201 429;llarblanquerna@gmail.com;http://www.llardeinfantsblanquerna.es/;;;;;;
Cappont;AVV Cappont;Lluis Jou;;973 21 26 72;lluis@lluisjoufotograf.com;http://www.lluisjoufotograf.com/Inicio.html;;https://www.facebook.com/lluis.jouserra?fref=ts;;;;
Cappont;AVV Cappont;L'Òptica Universitària;;973 208 319;opticauniversitaria@opticauniversitaria.es;http://www.opticauniversitaria.es/;;https://www.facebook.com/opticauniversitaria;https://twitter.com/OpticaUni;;;
Cappont;AVV Cappont;Mapfre - Riu Ebre;MIGUEL PUJANTELL OTERO;973 211 054  //  fax: 973 216 228;;http://www.mapfre.com/;;https://www.facebook.com/RedOficinasMAPFRE;;https://plus.google.com/106913458234043437260/posts;;
Cappont;;Matalasseria Ponent - Cappont;;973 21 67 82;;;;https://www.facebook.com/matalasseriaponent.cappont;;https://plus.google.com/103308610425969391039/about?gl=es&hl=ca;;
Cappont;AVV Cappont;Medea Business Solutions;;973 590 703;cmarin@medeasolutions.es;;;https://es-es.facebook.com/medeasolutions;https://twitter.com/MedeaBusiness;https://www.linkedin.com/company/medea-business-solutions?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A2445330541439989598516%2CVSRPtargetId%3A2457995%2CVSRPcmpt%3Aprimary;https://plus.google.com/106774701984420840095/posts;
Cappont;;Merceria Esther;;973 208 569;esther@merceriaesther.com;;;;;https://plus.google.com/102352600906118630831/about?gl=es&hl=ca;;
Cappont;AVV Cappont;Michelin - Europea de Neumáticos;;973 201 480 - 973 212 296;info@europeadeneumaticos.es;http://www.europeadeneumaticos.es/;;;;;;
Cappont;AVV Cappont;Moto 2;;973 225 138;moto2@moto2.cat;http://www.moto2.cat/;;;;;;
Cappont;AVV Cappont;Multiservei Camison;;973 20 65 74 // fax: 973 21 10 91;multiservei@camison.com;http://camison.com/;;;;;;
Cappont;AVV Cappont;Nous Temps Perruquers;;973 21 09 76;;;;https://www.facebook.com/NousTemps;;;;
Cappont;AVV Cappont;Novell Equipaments;;973 20 25 48;novell@novellweb.com;http://www.novellweb.com/;;https://www.facebook.com/pages/Novell-equipament/152369551459443;;;;
Cappont;AVV Cappont;Nutricor;;973 21 25 20 // fax: 973 21 10 11;nutricor@nutricor.es;http://www.nutricor.es/;;https://www.facebook.com/pages/Nutricor/144273609518;;;;
