Ajuntament de Lleida. Pressupost de despeses per partides 2014. Classificació econòmica;;
;;
 Partida;Denominació;Import € 
3.336.012.000;SOUS DEL GRUP A1;73.386,60
6.338.012.000;RETRIBUCIONS BÀSIQUES FUNCIONARIS GRUP A1;14.677,32
7.431.012.000;RETRIB. BÀSIQUES GRUP A1;14.677,32
4.491.012.000;SOUS GRUP A1;1.223,11
7.493.012.000;RETRIB. BÀSIQUES GRUP A1;14.677,32
1.912.012.000;SOUS DEL GRUP A1.;14.677,32
2.920.012.000;SOUS DEL GRUP A1;227.498,46
4.922.012.000;SOUS DEL GRUP A1;15.900,43
4.931.012.000;SOUS GRUP A1;193.251,38
2.132.012.001;SOUS DEL GRUP A2;25.813,04
3.150.012.001;SOUS DEL GRUP A2;92.496,73
3.155.012.001;SOUS DEL GRUP A2;51.626,08
3.165.012.001;SOUS GRUP A2;12.906,52
12.170.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;51.626,08
5.231.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;775.466,75
5.232.012.001;SOUS GRUP A2;77.439,12
5.313.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;38.719,56
6.320.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;1.176.644,41
6.330.012.001;SOUS DEL GRUP A2;38.719,56
2.332.012.001;SOUS DEL GRUP A2;12.906,52
6.333.012.001;SOUS GRUPS A2 PERSONAL FUNCIONARI;64.532,60
6.340.012.001;SOUS DEL GRUP A1;1.075,55
7.431.012.001;RETRIB. BÀSIQUES GRUP A2;25.813,04
4.491.012.001;SOUS DEL GRUP A2;26.888,59
2.920.012.001;SOUS DEL GRUP A2;103.252,16
4.922.012.001;SOUS GRUP A2;12.906,52
5.924.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;51.626,08
4.931.012.001;SOUS GRUP A2;77.439,12
2.132.012.003;SOUS DEL GRUP C1;217.466,48
3.150.012.003;SOUS DEL GRUP C1;229.124,32
3.155.012.003;SOUS DEL GRUP C1;98.973,93
3.165.012.003;SOUS GRUP C1;29.654,52
12.170.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.654,52
12.171.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;9.884,84
5.231.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.905,57
5.313.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.654,52
6.320.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;650.751,97
6.330.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.780,05
2.332.012.003;SOUS DEL GRUP C1;29.654,52
3.336.012.003;SOUS GRUP C1;9.884,84
6.338.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;19.769,68
4.491.012.003;SOUS DEL GRUP C1;41.186,84
7.493.012.003;RETIBUCIONS BASIQUES GRUP C1;9.884,84
1.912.012.003;SOUS DEL GRUP C1;49.424,20
2.920.012.003;SOUS DEL GRUP C1;257.507,93
5.924.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.654,52
3.925.012.003;SOUS DEL GRUP C1;19.769,68
4.931.012.003;SOUS GRUP C1;692.315,37
2.132.012.004;SOUS DEL GRUP C2;1.783.939,33
2.134.012.004;SOUS DEL GRUP C2;8.378,58
3.150.012.004;SOUS DEL GRUP C2;117.416,79
3.155.012.004;SOUS GRUP C2;50.329,82
5.164.012.004;SOUS GRUP C2;8.436,92
3.165.012.004;SOUS GRUP C2;58.708,40
12.170.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;50.969,70
12.171.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;33.689,32
5.231.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;167.571,60
5.232.012.004;SOUS GRUP C2;33.514,32
5.313.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;8.436,92
6.320.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;8.378,58
6.330.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;16.757,16
6.340.012.004;SOUS GRUP C2;8.378,58
7.431.012.004;RETRIB. BÀSIQUES GRUP C2;25.135,74
4.491.012.004;SOUS DEL GRUP C2;8.378,58
1.912.012.004;SOUS DEL GRUP C2;58.650,06
2.920.012.004;SOUS DEL GRUP C2;109.619,76
3.925.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;143.134,08
4.931.012.004;SOUS GRUP C2;100.542,96
2.132.012.005;SOUS GRUP E PERSONAL FUNCIONARI;639,89
3.150.012.005;SOUS DEL GRUP E;7.678,58
3.155.012.005;SOUS GRUP E;53.750,06
5.164.012.005;SOUS GRUP E;53.750,06
3.165.012.005;SOUS GRUP E;23.035,74
12.169.012.005;SOUS GRUP E PERSONAL FUNCIONARI;23.035,74
12.171.012.005;SOUS GRUP E PERSONAL FUNCIONARI;38.392,90
5.231.012.005;SOUS GRUP E PERSONAL FUNCIONARI;23.035,74
5.313.012.005;SOUS DEL GRUP E PERSONAL FUNCIONARI;15.357,16
6.320.012.005;SOUS GRUP E PERSONAL FUNCIONARI;250.193,74
6.330.012.005;SOUS DEL GRUP E;15.357,16
2.332.012.005;SOUS DEL GRUP E;7.678,58
7.431.012.005;RETRIB. BÀSIQUES GRUP E;15.357,16
1.912.012.005;SOUS DEL GRUP E;8.318,47
2.920.012.005;SOUS DEL GRUP E;180.446,63
5.924.012.005;SOUS GRUP E PERSONAL FUNCIONARI;85.104,27
3.925.012.005;SOUS DEL GRUP E;15.357,16
4.931.012.005;SOUS GRUP E;7.678,58
2.132.012.006;TRIENNIS;383.917,00
2.134.012.006;TRIENNIS;2.252,34
3.150.012.006;TRIENNIS;149.306,70
3.155.012.006;TRIENIS;57.414,90
5.164.012.006;TRIENNIS;6.912,24
3.165.012.006;TRIENNIS;34.331,88
12.169.012.006;TRIENNIS PERSONAL FUNCIONARI;2.640,12
12.170.012.006;TRIENNIS PERSONAL FUNCIONARI;27.981,72
12.171.012.006;TRIENNIS PERSONAL FUNCIONARI;19.645,98
5.231.012.006;TRIENNIS;179.016,35
5.232.012.006;TRIENNIS;29.046,18
5.313.012.006;TRIENNIS PERSONAL FUNCIONARI;39.703,38
6.320.012.006;TRIENNIS;401.941,53
6.330.012.006;TRIENNIS;41.100,35
2.332.012.006;TRIENNIS;14.307,10
6.333.012.006;TRIENNIS PERSONAL FUNCIONARI;14.161,18
6.335.012.006;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;2.257,68
3.336.012.006;TRIENNIS;15.160,28
6.338.012.006;TRIENNIS PERSONAL FUNCIONARI;2.573,56
6.340.012.006;TRIENNIS;750,78
7.431.012.006;TRIENNIS;13.549,12
4.491.012.006;TRIENNIS;31.046,22
7.493.012.006;TRIENNIS;5.924,60
1.912.012.006;TRIENNIS;33.478,44
2.920.012.006;TRIENNIS;183.258,62
4.922.012.006;TRIENNIS;4.500,90
5.924.012.006;TRIENNIS PERSONAL FUNCIONARI;28.096,66
3.925.012.006;TRIENNIS PERSONAL FUNCIONARI;19.761,49
4.931.012.006;TRIENNIS;284.576,93
2.132.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;1.348.124,60
2.134.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;5.527,06
3.150.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;425.571,67
3.155.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;172.440,03
5.164.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;35.522,79
3.165.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;79.646,17
12.169.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;12.810,42
12.170.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;110.030,05
12.171.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;58.560,95
5.231.012.100;COMPLEMENT DE DESTINACIÓ;661.109,44
5.232.012.100;COMPLEMENT DE DESTINACIÓ PERSONAL FUNCIONARI;113.900,08
5.313.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;80.460,41
6.320.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;1.568.217,30
6.330.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;114.461,16
2.332.012.100;RETRIB.COMPLENTARIES PERSONAL FUNCIONARI;43.472,40
6.333.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;88.132,38
6.335.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;16.321,76
3.336.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;47.943,00
6.338.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;21.414,68
6.340.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;7.712,45
7.431.012.100;COMPLEMENT DE DESTINACIÓ;47.557,86
4.491.012.100;COMPLEMENT DE DESTÍ;56.337,47
7.493.012.100;COMPLEMENT DE DESTINACIÓ;14.787,78
1.912.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;88.614,37
2.920.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;594.161,29
4.922.012.100;RETRIBUCIONS COMPLEMENTARIES PERSONAL FUNCIONARI;16.953,84
5.924.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;100.038,71
3.925.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;117.084,27
4.931.012.100;COMPLEMENT DE DESTI;743.636,47
2.132.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;5.002.571,20
2.134.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;27.280,45
3.150.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;800.754,13
3.155.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;365.297,72
5.164.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;71.136,07
3.165.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;224.935,91
12.169.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;38.458,34
12.170.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;216.065,60
12.171.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;124.413,78
5.231.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;946.440,76
5.232.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;189.277,59
5.313.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;118.597,19
6.320.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;2.418.103,04
6.330.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;194.993,00
2.332.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;61.876,48
6.333.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;100.638,27
6.335.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;14.683,80
3.336.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;54.664,94
6.338.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;53.495,60
6.340.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;7.512,72
7.431.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;89.101,76
4.491.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;168.845,37
7.493.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;40.219,59
1.912.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;259.361,68
2.920.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;1.017.263,44
4.922.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;16.935,80
5.924.012.101;COMPLEMENT ESPECIFIC PERSONAL FUNCIONARI;173.362,98
3.925.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;236.152,17
4.931.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;1.216.281,32
2.132.012.103;ALTRES COMPLEMENTS;37.831,64
2.920.012.103;ALTRES COMPLEMENTS;404.852,54
4.931.012.103;ALTRES COMPLEMENTS;443,88
;Total article 12;34.308.425,41
;;
;Article 13. Personal laboral;
2.132.013.000;RETRIB. BASIQUES LABORAL FIXES;9.379,62
2.134.013.000;RETRIB. BÀSIQUES PERSONAL LABORAL;29.063,14
3.150.013.000;RETRIB. BASIQUES PERSONAL LABORAL;32.428,34
3.155.013.000;RETRIB. BASIQUES PERSONAL LABORAL;42.299,32
12.169.013.000;RETRIBUCIONS PERSONAL LABORAL;25.675,86
12.171.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL;8.244,32
5.231.013.000;RETRIBUCIONS BÀSIQUES;101.568,48
5.232.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIXE;11.690,74
6.320.013.000;RETRIB. BASIQUES PERSONAL LABORAL;26.375,60
6.323.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX;196.623,04
6.330.013.000;RETRIBUCIONS BASIQUES LABORAL FIX;19.290,36
6.333.013.000;RETRIB. BAS. LABORAL FIXES;9.880,14
6.335.013.000;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;46.456,28
6.340.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL;126.215,31
6.341.013.000;RETRIBUCIONS BÀSIQUES ALTRE PERSONAL;105.449,56
6.342.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL;180.583,68
7.431.013.000;RETRIB. BÀSIQUES PERSONAL LABORAL FIX;35.806,06
4.491.013.000;RETRIB. BÀSIQUES PERSONAL LABORAL;194.592,28
2.920.013.000;RETRIB. BASIQUES PERSONAL LABORAL;112.011,58
5.924.013.000;RETRIB. BASIQUES PERSONAL LABORAL;19.757,10
3.925.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIXE;9.379,62
4.931.013.000;RETRIBUCIONS BASIQUES;30.004,84
2.132.013.002;RET.COMPLEM.LABORAL FIXES;15.448,18
2.134.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;57.542,57
3.150.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;58.163,85
3.155.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;71.097,35
12.169.013.002;RETR. COMPLEM. LABORAL FIXES;47.395,79
12.171.013.002;ALTRES REMUNERACIONS;8.518,60
5.231.013.002;ALTRES REMUNERACIONS;109.407,22
5.232.013.002;ALTRES REMUNERACIONS PERSONAL LABORAL FIXE;13.875,84
6.320.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;32.913,03
6.323.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;247.077,11
6.330.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;24.739,58
6.333.013.002;RET. COMPLEM. LABORAL FIXES;12.662,24
6.335.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;86.142,93
6.340.013.002;ALTRES REMUNERACIONS.;151.459,87
6.342.013.002;ALTRES REMUNERACIONS;421.013,89
7.431.013.002;ALTRES REMUNERACIONS;52.299,30
4.491.013.002;ALTRES REMUNERACIONS PERSONAL LABORAL FIX;341.228,45
2.920.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;159.231,96
5.924.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;28.355,76
3.925.013.002;RET. COMPLEM. LABORAL FIXES;16.726,66
4.931.013.002;ALTRES REMUNERACIONS;47.659,44
2.132.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;12.413,10
3.150.013.100;RET. BÀSIQUES LABORALS TEMPORALS;25.814,10
5.150.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;14.400,00
5.155.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;14.400,00
5.164.013.100;RETRIBUCIONS PERSONAL LABORAL EVENTUAL;8.179,10
3.165.013.100;RETRIB.BÀSIQUES LABORALS TEMPORALS;8.879,10
5.231.013.100;RETRIBUCIONS PERSONAL LABORAL EVENTUAL;193.545,99
6.320.013.100;RETRIBUCIONS BASIQUES PERSONAL LABORAL EVENTUAL;38.644,46
6.323.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;76.595,55
6.335.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL EVENTUAL;9.884,84
6.340.013.100;RETRIBUCIONS BÀSIQUES LABORAL TEMPORAL;10.968,38
6.342.013.100;RETRIBUCIONS BÀSIQUES LAB. TEMPORAL;93.665,94
7.431.013.100;RETRIB. BÀSIQUES PERSONAL TEMPORAL;34.243,47
4.491.013.100;RETRIBUCIONS BÀSIQUES LABORAL TEMPORAL;52.885,18
2.920.013.100;RETRIB. BASIQUES PERSONAL LABORAL EVENTUAL;7.867,16
5.924.013.100;RETRIBUCIONS PERSONAL LABORAL EVENTUAL;10.246,02
4.931.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;13.035,62
2.132.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;7.551,20
3.150.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;17.046,44
5.164.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;6.994,70
3.165.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;15.973,88
5.231.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;125.577,51
6.320.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;25.639,17
6.323.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;95.553,38
6.335.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;10.454,66
6.340.013.102;ALTRES REMUNERACIONS LABORAL TEMPORAL;7.806,84
6.342.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;81.275,99
7.431.013.102;ALTRES REMUNERACIONS LABORALS TEMPORALS;33.592,51
4.491.013.102;ALTRES REMUNERACIONS LABORAL TEMPORAL3;49.719,82
2.920.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;5.912,22
5.924.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;10.099,48
4.931.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;7.504,72
;Total article 13;4.502.105,42
;;
;Article 15. Incentius al rendiment;
1.920.015.000;PRODUCTIVITAT;5.825,68
2.920.015.000;PRODUCTIVITAT;141.480,80
3.920.015.000;PRODUCTIVITAT;57.008,45
4.920.015.000;PRODUCTIVITAT;54.511,72
5.920.015.000;PRODUCTIVITAT;71.572,65
6.920.015.000;PRODUCTIVITAT;133.574,52
7.920.015.000;GRATIFICACIONS;6.657,92
12.920.015.000;PRODUCTIVITAT;14.148,08
4.931.015.000;PRODUCTIVITAT;77.170,18
2.132.015.100;GRATIFICACIONS;280.000,00
;Total article 15;841.950,00
;;
;Article 16. Quotes, prestacions i despeses socials a càrrec de l'empleador;
2.231.016.000;SEGURETAT SOCIAL;11.621.563,93
2.221.016.008;ASSISTÈNCIA MÈDICO-FARMACÈUTICA;126.637,70
2.920.016.200;DESPESES FORMACIO I PERFECCIONAMENT PERSONAL;100.000,00
2.920.016.205;ASSEGURANCES;200.000,00
2.920.016.209;ALTRES DESPESES SOCIALS;28.634,20
2.221.016.400;COMPLEMENT FAMILIAR;53.700,05
3.221.016.400;COMPLEMENT FAMILIAR;19.560,02
4.221.016.400;COMPLEMENT FAMILIAR;38.040,04
5.221.016.400;COMPLEMENT FAMILIAR;10.260,01
6.221.016.400;COMPLEMENT FAMILIAR;9.240,02
12.221.016.400;COMPLEMENT FAMILIAR;2.820,01
1.912.016.400;COMPLEMENT FAMILIAR;1.800,00
;Total article 16;12.212.255,98
;;
;Total capítol 1;54.138.899,86
;;
;;
;;
;Capítol 2. Despeses corrents en béns i serveis;
;;
;Article 20. Arrendaments i cànons;
5.231.020.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;118.474,00
5.232.220.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;130.247,00
5.232.320.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;16.560,00
5.313.020.200;LLOGUERS IMMOBLES;8.609,00
6.340.020.200;LLOGUER D'IMMOBLES;646.193,00
3.410.020.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;11.866,00
7.431.020.200;LLOGUERS IMMOBLES;30.500,00
2.920.020.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;15.000,00
3.920.020.200;LLOGUER IMMOBLES;48.168,00
5.924.020.200;LLOGUERS EDIFICIS I ALTRES CONSTRUCCIONS;81.000,00
3.165.020.300;LLOGUER MAQUINARIA I UTILLATGE;1.592,49
6.320.020.300;LLOGUER MAQUINÀRIA I UTILLATGE;2.354,22
6.323.020.300;LLOGUER MAQUINÀRIA I UTILLATGE;900,58
2.132.020.400;LLOGUER MATERIAL DE TRANSPORT;182.000,00
2.920.020.400;LLOGUER MATERIAL DE TRANSPORT;85.235,28
6.340.020.600;LLOGUER D'EQUIPS D'INFORMACIÓ;886
4.931.020.600;LLOGUER APLICACIONS DE GESTIO;203.056,00
7.431.020.601;LLOGUERS EQUIPS INFORMÀTICS;1.300,00
4.920.020.601;LLOGUER EQUIPS INFORMACIO;269.209,00
;Total article 20;1.853.150,57
;;
;Article 21. Reparacions, manteniment i conservació;
3.155.021.000;MANTENIMENT VIES PUBLIQUES;702.277,00
5.164.021.000;MANTENIMENT CEMENTIRI;16.238,32
3.165.021.000;MANTENIMENT ENLLUMENAT;710.000,00
12.170.021.000;MANTENIMENT PARC LA MITJANA;2.378,27
12.171.021.000;MANTENIMENT PARCS I JARDINS;65.004,31
3.454.021.000;MANTENIMENT SENYALITZACIÓ CAMINS DE L'HORTA;6.000,00
2.132.021.001;GESTIÓ DE SEGURETAT VIAL;350.000,00
3.161.021.001;MANTENIMENT DEPURADORA;1.947.619,00
3.454.021.001;MANTENIMENT CAMINS DE L'HORTA;120.000,00
5.164.021.200;MANTENIMENT EDIFICIS DE CEMENTIRI;324,36
12.169.021.200;MANTENIMENT EDIFICIS CANERA;1.020,00
12.170.021.200;MANTENIMENT EDIFICIS MEDI AMBIENT;5.763,00
5.231.021.200;MANTENIMENT EDIFICIS SERVEIS SOCIALS;64.994,40
5.232.221.200;MANTENIMENT EDIFICIS JOVENTUD;5.754,84
5.232.321.200;MANTENIMENT D'EDIFICIS;1.767,66
5.313.021.200;MANTENIMENT EDIFICIS SANITAT I LABORATORI;102
6.320.021.200;MANTENIMENT EDIFICIS;10.449,90
6.321.021.200;MANTENIMENT EDIFICIS;626.713,50
6.323.021.200;MANTENIMENT EDIFICIS;7.815,24
6.330.021.200;MANTENIMENT EDIFICIS OFICIALS;19.890,00
6.333.021.200;REPARACIÓ I MANTENIMENT D'EDIFICIS;51.000,00
6.335.021.200;REPARACIÓ I MANTENIMENT D'EDIFICIS;25.500,00
6.335.121.200;MANTENIMENT D'EDIFICIS;38.760,00
6.341.021.200;INFRAESTRUCTURA;5.000,00
6.342.021.200;MANTENIMENT D'EDIFICIS D'ESPORTS;30.000,00
7.431.021.200;MANTENIMENT EDIFICIS I ALTRES CONSTRUCCIONS;62.880,00
3.920.021.200;MANTENIMENT EDIFICIS OFICIALS;285.549,00
5.924.021.200;MANTENIMENT EDIFICIS PARTICIPACIO VEINAL;262.000,00
2.920.021.201;PREVENCIO DE RISCS EN EDIFICIS;15.952,09
5.164.021.300;MANTENIMENT MAQUINARIA;1.123,20
3.165.021.300;MANTENIMENT MAQUINARIA;10.120,44
5.231.021.300;MANTENIMENT MAQUINARIA SERVEIS SOCIALS;1.284,54
5.232.221.300;MANTENIMENT MAQUINARIA;800
6.320.021.300;MANTENIMENT DE MAQUINARIA;232,71
6.323.021.300;MANTENIMENT MAQUINARIA;1.085,97
7.431.021.300;MANTENIMENT MAQUINARIA I UTILLATGE;4.000,00
1.920.121.300;MANTENIMENT MAQUINÀRIA;547,64
5.924.021.300;MANTENIMENTS DE MAQUINARIA;299,42
3.165.021.301;MANTENIMENT D'ASCENSORS;11.183,92
2.132.021.400;REPARACIÓ, MANTENIMENT I CONSERVACIÓ VEHICLES;22.500,00
5.164.021.400;MANTENIMENT MATERIAL DE TRANSPORT;415,77
2.920.021.400;REPARACIO MANTENIMENT DE VEHICLES;42.663,02
3.155.021.500;MANTENIMENT DE MOBILIARI URBA;218.182,00
2.132.021.600;MANTENIMENT EQUIPS INFORMATICS;1.414,86
2.134.021.600;MANTENIMENT EQUIPS INFORMATICS;1.054,00
3.150.021.600;MANTENIMENT EQUIPS INFORMATICS;51.616,05
