"Id";"Nom";" Adreça";" Codi";" Telèfon";" Correu";" Web";" Horari";" Notes";"Preu";"utm_x_etrs89";" utm_y_etrs89";" lon";" lat"
"11";"Cinema Truffaut";"Carrer Portal Nou, 7";"17001";"972 22 50 44 ";"info@cinematruffaut.com";"www.cinematruffaut.com";"Tardes. Depén de les sessions";"";"Entrada general feiners (de dilluns a dimecres, excepte vigílies i festius):  6 euros - Entrada general divendres, festius i vigílies de festius:  7 euros - Dijous no festius, dia de l'espectador: 5'5 euros - Primera sessió de dilluns a dijous - (excepte vigílies i festius): 4'5 euros- Entrada reduïda*  (de dilluns a dimecres, excepte vigílies i festius): 5'5 euros";"485557";"4647837";"2,82565281";"41,98240163"
"12";"Escola Municipal d'Art";"Pujada de la Mercè, 12 ";"17004";"972 223 305";"ccm@ajgirona.cat";"www.girona.cat/ccm";"Horari del centre: de 9 a 14 h i de 16 a 21 h - Horari exposicions: de 9.30 a 13.30 h i de 16.30 a 20.30 h - Horari d'atenció al públic: de dilluns a divendres de 9.30 a 13.30 h i tardes de dilluns a dijous de 16.30 a 20.30 h - Horari secretaria EMA: de dilluns a divendres de 9.30 a 13.30 h i tardes de dilluns i dijous de 17 a 20 h";"";"Entrada gratuïta a les sales d’exposicions, els cursos tenen diferents preus. ";"485534";"4647758";"2,82537711";"41,98168969"
"13";"Escola Municipal d'Humanitats";"Pujada de la Mercè, 12 ";"17004";"972 223 305";"emhu@ajgirona.cat";"www.girona.cat/ccm";"Horari: de dilluns a divendres de 9 a 14 h i de 16 a 21 h - Horari exposicions: de 9.30 a 13.30 h i de 16.30 a 20.30 h ";"";"Entrada gratuïta a les sales d’exposicions, els cursos tenen diferents preus. ";"485527";"4647758";"2,82529261";"41,98168956"
"14";"Espai Marfà ";"C. de Baix, 2 ";"17006";"972 010 009";"espaimarfa@ajgirona.cat";"www.girona.cat/marfa";"de dilluns a divendres de 9 a 22h i dissabtes de 10 a 14h  i de 16 a 20h";"Juliol i agost: Dilluns, dimecres, dijous i divendres de 9.30 a 14 h i de 15.30 a 20.30 h - Dimarts de 15.30 a 20.30 h";"Els cursos tenen diferents preus, també hi ha activitats gratuïtes";"483987";"4647347";"2,80671416";"41,97795803"
"15";"Fundació Rafael Masó";"Carrer Ballesteries, 29";"17004";"972 41 39 89 ";"info@rafaelmaso.org";"www.rafaelmaso.org";"De dimarts a divendres: de 10 a 14h i de 16 a 18h. De dimarts a dissabte: visites guiades a hores concertades, amb reserva prèvia. Diumenge i dilluns: visites guiades a hores concertades, amb reserva prèvia (per a grups de mínim 20 persones). ";"";"";"485481";"4648242";"2,82472538";"41,98604793"
"16";"Museu del Cinema";"C/ Sèquia, 1 ";"17001";"972 412 777";"info@museudelcinema.cat ";"www.museudelcinema.cat";"D'octubre a abril: De dimarts a divendres de 10 a 18 h - Dissabte de 10 a 20 h - Diumenge i dilluns festius d'11 a 15 h - En període de Fires de Sant Narcís, Nadal i Setmana Santa l'horari serà de 10 a 20 h.- Tancat els dilluns no festius (excepte juliol i agost), 25 i 26 de desembre, 1 i 6 de gener.";"Maig, juny i setembre: De dimarts a dissabte de 10 a 20 h - Diumenge i dilluns festius d'11 a 15 h - Juliol i agost: De dilluns a diumenge de 10 a 20 h";"5 €: Entrada general - 4 €: Entrada reduïda 20% (Membres d'entitats amb conveni amb el Museu) - 2,50 €: Entrada reduïda 50% (Estudiants, jubilats, aturats. Grups de 15 persones o més.) 0 €: Entrada gratuïta (Menors de 16 anys, membres del Club d'Actors del Museu del Cinema, carnet Qltura Jove de l'Ajuntament de Girona, membres d'AMC i ICOM.) Entrada gratuïta el primer diumenge de cada mes, el 28 de desembre (aniversari de la primera projecció pública de cinema) i el 18 de maig (Dia Internacional dels Museus).";"485280";"4647975";"2,82230559";"41,98363942"
"17";"Museu d'Història de Girona";"Carrer de la Força, 27";"17004";"972 22 22 29";"museuhistoria@ajgirona.cat";"www.girona.cat/museuhistoria";"D'octubre a abril: De dimarts a dissabte de 10.30 a 17.30 h. Diumenges i festius de 10.30 a 13.30 h. - Tancat els dilluns no festius i els dies 1 i 6 de gener i el 25 i 26 de desembre. Gratuït el primer diumenge de cada mes.";"De maig a setembre: De dimarts a dissabte de 10.30 a 18.30 h. Diumenges i festius de 10.30 a 13.30 h. - Tancat els dilluns no festius. Gratuït el primer diumenge de cada mes";"Entrada individual: 4 € - Entrada reduïda: 2 €  - Entrada gratuïta: menors de 16 anys, jubilats, pensionistes, membres ICOM, estudiants de l'Escola Oficial d'Idiomes de Girona, socis del GEiEG, docents, acompanyants dels grups, premsa. Amb acreditació.  2x1: 2 entrades al preu d'una per als titulars del carnet d'alberguista amb acreditació. Discapacitats: els titulars de la targeta acreditativa de la discapacitat gaudiran d'entrada gratuïta al museu i a les exposicions temporals. Els avantatges també són vàlids per a un acompanyant. ";"485512";"4648333";"2,82509737";"41,98686810"
"18";"Punt de Lectura de Sant Narcís ";"Centre Cívic Sant Narcís • Pl. Assumpció, 27";"17005";"972 000 325";"puntlectura.stnarcis@ajgirona.cat";"www.girona.cat/biblioteques";"De dimarts a divendres de 17,30 a 20 h";"Juliol i agost tancat";"entrada lliure ";"484386";"4647014";"2,81153913";"41,97496682"
"19";"Punt de Lectura de Torre Gironella";"Grup Torre Gironella, 102 ";"17004";"872 081 054";"puntlectura.tgironella@ajgirona.cat";"www.girona.cat/biblioteques";"Dimecres i divendres de 17 a 20h";"Agost tancat";"entrada lliure ";"486054";"4648105";"2,83164591";"41,98482437"
"20";"Teatre Municipal de Girona";"Plaça del Vi, 1";"17004";"972 41 90 18";"teatre@ajgirona.cat";"www.girona.cat/teatremunicipal";"taquilles: de dimarts a divendres de 13 a 17 h";"";"depén dels espectacles";"485530";"4647893";"2,82532550";"41,98290551"
"21";"Institut d'Estudis del Museu del Cinema";"C/ Sèquia, 1 ";"17001";"972 412 777";"biblioteca@museudelcinema.cat";"www.museudelcinema.cat";"Dimarts, dijous i dissabte: de 10 a 13 h - Dimecres i divendres: de 15 a 18 h ";"";"entrada lliure ";"485287";"4647976";"2,82239006";"41,98364856"
"";"Sala de Lectura Girona Centre";"Pl. Hospital, 6";"17004";"972 010 240";"bibliocentre@ajgirona.cat";"www.girona.cat/biblioteques";"Dilluns a divendres de 17:00 a 20:00 h";"";"entrada lliure ";"485219";"4647761";"2,82157460";"41,98171086"
