FID,NOMBRE,DIRECCION,BARRIO,DISTRITO,SECCION,NUM_MESAS,MESAS_COLE
50.0,PALACIO MUNICIPAL DE DEPORTES,"C/, FERNANDO BARAJAS PRAT, 1", LA SALLE,03,15,6.0,D03S05 AB D03S14 AB D03S16 U D03S17 U
51.0,GERENCIA DE URBANISMO,"AVDA. TRES DE MAYO, 40",LA SALLE,03,04,5.0,D03S07 U D03S19 AB D03S20 AB
52.0,AA.VV. BARRIO NUEVO,"CALLE TAJINASTE, 16",BARRIO NUEVO,04,01,2.0,D04S01 U D04S15 U
53.0,COLEGIO HISPANO,"CALLE MAGISTRADO FERNANDEZ DIAZ, 2",LA SALUD,04,11,2.0,D04S11 AB
54.0,AA.VV. SANTIAGO APOSTOL,"CALLE GRANADILLA, 2",LA SALUD,04,10,3.0,D04S10 U D04S12 AB
55.0,SALA EXPOSICION PARQUE GARCIA SANABRIA,"PASEO MARCOS GUIMERA PERAZA, 1",TOSCAL,01,04,4.0,D05S01 AB D05S02 AB
56.0,PALACIO MUNICIPAL. SALA GARCÍA SANABRIA,"CALLE VIERA Y CLAVIJO, 46",LOS HOTELES,05,01,3.0,D05S03 AB D05S04 U
57.0,COLEGIO SALAMANCA,"CALLE FEBLES CAMPOS, 36",URUGUAY,05,13,8.0,D05S08 AB D05S12 AB D05S13 AB D05S14 AB
58.0,CASA DE LA CULTURA,"CALLE COMODORO ROLIN, 1",CHAPATAL,06,02,5.0,D06S01 AB D06S02 U D06S12 AB
59.0,AA.VV. AZORIN,"CALLE AZORIN, 21",LOS GLADIOLOS,06,03,2.0,D06S03 AB
60.0,CASA DIOCESANA DE EJERCICIOS,"CALLE SANTIAGO BEYRO, 15",EL PERU,06,10,3.0,D06S10 U D06S11 U D06S20 U
61.0,AA.VV. LAS PALMITAS,"CALLE JUAN RUMEU GARCIA, 8",EL PERU,06,10,1.0,D06S19 U
62.0,AA.VV. RUYMAN,"CALLE EDUARDO WESTHERDAL, 19",EL PERU,06,22,5.0,D04S02 U D04S03 AB D06S22 AB
63.0,COLEGIO VILLA ASCENSIÓN,"CALLE ELADIO ROCA SALAZAR, 2A",EL PERU,06,28,2.0,D06S28 AB
64.0,ASOCIACION ABICORE (LA TORRE),"CALLE CONCEPCION, 1",SAN ANDRES,07,03,2.0,D07S03 AB
65.0,AA.VV. SAN ROQUE,"AVDA. JOSE MARTI, 16",LA ALEGRIA,07,06,2.0,D07S06 AB
66.0,CENTRO SOCIAL Y CULTURAL TAGANANA,"CALLE CASERIO. EL CALVARIO, 1 (TAGANANA)",TAGANANA,08,01,1.0,D08S01 B
67.0,AA.VV. CUCHILLITOS DE TRISTAN,"CALLE POETA TRUJILLO ARMAS, 10",TRISTAN,10,06,2.0,D10S06 AB
68.0,AA.VV. SAN MARTIN DE PORRES,CALLE JUAN DE AVILA. 23,CHAMBERI,09,07,1.0,D09S07 U
69.0,AA.VV. 17 DE MARZO,"AVDA. PRINCIPES DE ESPAÑA, 15",LAS DELICIAS,10,09,4.0,D09S11 AB D09S19 AB
70.0,AA.VV. SAN FERNANDO REY,"RBLA. GENERAL GARCIA ESCAMEZ, 3",GARCIA ESCAMEZ,09,15,3.0,D09S06 AB D09S15 U
71.0,COLEGIO LAS RETAMAS,"PASEO LAS RETAMAS, 1",LAS RETAMAS,09,18,4.0,D09S12 AB D09S18 U D09S21 U
72.0,AYUNTAMIENTO S/C SEDE OFRA,"CALLE ELIAS BACALLADO, 2A",CESAR CASARIEGO,10,16,13.0,D06S07 ABC D09S14 U D09S22 AB D10S01 U D10S03 AB D10S14 AB D10S16 AB
73.0,ESCUELA MUNICIPAL DE MUSICA,"PARQUE TIO PINO, 1",TIO PINO,10,07,1.0,D10S07 U
74.0,AA.VV. TIMANFAYA,"CALLE CAMINO DEL HIERRO, 82",CAMINO DEL HIERRO,10,15,3.0,D10S13 U D10S15 AB
75.0,AA.VV. EL DRAGO,"CALLE ZORZAL, 27",BARRANCO GRANDE,11,05,4.0,D11S05 AB D11S15 AB
76.0,LOCAL PARROQUIAL DE LA GALLEGA,"AVDA. LOS MAJUELOS, 95",LA GALLEGA,12,05,4.0,D12S05 AB D12S10 AB
77.0,AA.VV. CIUDAD SATELITE,"CALLE CHIRAMA, 100",ALISIOS,12,04,2.0,D12S03 AB
78.0,SALA DE ARTE LOS LAVADEROS,"CALLE CARLOS CHEVILLY, 1",LOS LAVADEROS,01,11,2.0,D01S11 AB
79.0,CABILDO INSULAR,"PLAZA DEL CABILDO, 1",ZONA CENTRO,02,01,2.0,D02S01 U D02S08 U
80.0,TALLER RALARSA,"CALLE CHAFIRA, 10A",MORADITAS,09,09,2.0,D09S09 AB
81.0, , , , , ,0.0, 
