Òrgan gestor,Núm. Expt.,Objecte , Import adjudicat ,Adjudicatari
"BARCELONA DE SERVEIS MUNICIPALS, SA",P17004547,Diagnòstic respecte a processos operatius en l'àrea de grua municipal per aquells que siguin digitalizables i automatitzables per a la millora en seguretat i salut laboral," 5.508,43 € ",PREVENCONTROL 
CEMENTIRIS DE BARCELONA,CM00056,Anàlisis del mercat de serveis funeraris en la ciutat de Barcelona," 29.400,23 € ","RP ECONLAB, SL"
BARCELONA ACTIVA SAU SPM,810333,Propostes per a la promoció de la intercooperació i l'activitat socioeconòmica mancomunada entre 200 establiments del Districte de Ciutat Vella," 18.150,00 € ",LA CIUTAT INVISIBLE SCCL
BARCELONA ACTIVA SAU SPM,811059,Informe de seguiment i anàlisis de les enquestes de Turisme 2017," 17.182,00 € ",MERITXELL PERRAMON COLET
BARCELONA ACTIVA SAU SPM,CS810393,Estudi sobre la inversió estrangera a l'àrea de Barcelona i Catalunya," 61.710,00 € ","EVERIS SPAIN, SLU "
BARCELONA ACTIVA SAU SPM,CS810528,Informe en relació amb les bases per la implementació del màrqueting turístic per a una destinació sostenible," 20.570,00 € ","SCHOOL OF HOSPITALITY AND TOURISM MANAGEMENT, UNIVERSITY OF SUTRREY UK"
"BARCELONA GESTIO URBANISTICA, SA",DIR16090009,"Planificació, coordinació i anàlisi estudi habitatges buits a diferents barris de la ciutat de Barcelona (2a i ultima fra)"," 6.997,50 € ","GESOP, GABINET D'ESTUDIS SOCIALS I OPINIÓ PÚBLICA, SL"
FOMENT DE CIUTAT SA,2017/240,Estudi mobilitat i estacionament a Pl.Sant Miquel," 11.417,83 € ",DESARROLLO ORGANIZACIÓN Y MOVILIDAD SA
FOMENT DE CIUTAT SA,2016/158,Estudi i detecció d'àmbits de vulnerabilitat residencial a Barcelona," 30.250,00 € ",UNIVERSITAT POLITÈCNICA DE CATALAUNYA 
"MERCADOS DE ABASTECIMIENTOS DE BARCELONA, SA",15031,Anàlisi viabilitat d'ocupació per us d'oficines als altells de MB Flor (3 Fases)," 6.875,00 € ","INDUS, INGENIERIA Y ARQUITECTURA, S.L."
"MERCADOS DE ABASTECIMIENTOS DE BARCELONA, SA",15032,Estat actual del forjat reticular de les cambres 2 i 7 de l'escorxador de MB," 3.950,00 € ","COTCA, S.A."
"MERCADOS DE ABASTECIMIENTOS DE BARCELONA, SA",15035,Tendències sobre nous formats en el sector de l'Alimentació (50%inical i 50%final)," 11.100,00 € ","PSYMA IBÈRICA MARKETING RESEARCH, S.L."
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.",961,Estudi control sorolls i vibracions sala control PVE," 2.539,08 € ",RICARD ROCAFULL I ESTEVA
CONSORCI DEL BESÒS,55/16,Estudi per determinar l'avaluació del potencial d'aprofitament geotèrmic al sector Fondo a Santa Coloma de Gramenet," 19.965,00 € ",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS
CONSORCI DEL BESÒS,45/17,Inventari detallat i cartografia de les comunitats vegetals a la llera del riu Besòs," 5.445,00 € ",MOISÈS GUARDIOLA I BUFÍ
CONSORCI DEL BESÒS,90/17,Elaboració del document inicial estratègic de l’avaluació ambiental estratègia del PDU del Front Litoral en l’àmbit de les tres xemeneies," 3.968,80 € ","ESTUDI RAMON FOLCH I ASSOCIATS, S.L."
CONSORCI INSTITUT D'INFÀNCIA I MÓN URBÀ,I160000059,Benestar subjectiu d'infants i adolescents," 8.657,79 € ",GABINET D'ESTUDIS SOCIALS I OPINIÓ
CONSORCI INSTITUT D'INFÀNCIA I MÓN URBÀ,I170000013,Projecte models educació i criança 1a infància," 3.630,00 € ","STINUS I BRU DE SALA, ELISA"
FUNDACIÓ JULIO MUÑOZ RAMONET,17025,Informe sobre la legitimació de l'Ajuntament de Barcelona per a l'atorgament de la carta fundacional," 3.060,00 € ",JOSEP FERRER RIBA
FUNDACIÓ JULIO MUÑOZ RAMONET,17023,Anàlisi del subsòl ," 1.356,80 € ",JOSÉ MANUEL CHICA CASASOLA
