"Dte.","Barris","Compravendes: Total","Compravendes: Habitatge
 nou lliure","Compravendes: Habitatge nou
 protegit","Compravendes: Habitatge
usat","Superfície mitjana (m2 construïts): Total","Superfície mitjana (m2 construïts): Habitatge
 nou lliure","Superfície mitjana (m2 construïts): Habitatge nou
 protegit","Superfície mitjana (m2 construïts): Habitatge
usat","Preu total (milers d'euros): Total","Preu total (milers d'euros): Habitatge
 nou","Preu total (milers d'euros): Habitatge
 usat","Preu €/m2 construït: Total","Preu €/m2 construït: Habitatge
 nou","Preu €/m2 construït: Habitatge
 usat"
10,"64. el Camp de l'Arpa del Clot",529,11,"-",518,"77,2",68,"-","77,5","269,4","278,7","269,2","3331,6","4332,4","3306,1"
10,"65. el Clot",599,98,"-",501,"79,8","69,4","-","82,2",272,"219,4","287,1","3201,2","3102,8","3229,3"
10,"66. el Parc i la Llacuna del Poblenou",79,14,"-",65,"81,1","104,6","-","75,7","250,5","346,7","229,4","3129,7","3313,8","3089,1"
10,"67. la Vila Olímpica del Poblenou",13,"-","-",13,"97,6","-","-","97,6","466,2","-","466,2","4550,7","-","4550,7"
10,"68. el Poblenou",326,118,1,207,"82,4","84,8","-","81,1","330,4","429,1","265,9","3919,3","4944,9","3249,2"
10,"69. Diagonal Mar i el Front Marítim del Poblenou",52,2,"-",50,"93,6",71,"-","94,6","539,3","-","552,7","5543,8","-","5645,7"
10,"70. el Besòs i el Maresme",302,36,6,260,"64,4","81,3","69,2","61,5","157,8",235,143,"2263,8","2670,1","2185,7"
10,"71. Provençals del Poblenou",26,5,4,17,"77,2","78,6","71,5","78,3","246,6",173,"283,4","3092,1","2159,1","3558,6"
10,"72. Sant Martí de Provençals",177,16,3,158,78,"77,9","75,5","78,1","276,3","305,5","270,8","3114,1","3574,1","3026,8"
10,"73. la Verneda i la Pau",260,14,"-",246,"72,5","59,2","-","73,2","125,8","116,6","126,8","1790,6","1972,2","1770,9"
,"NC",189,8,"-",181,"-","-","-","-","-","-","-","-","-","-"
