"Baixes per inscripció indeguda o caducitat per nacionalitats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nacionalitats","BARCELONA","1. el Raval","2. el Barri 
Gòtic","3. la Barceloneta","4. Sant Pere, 
Santa Caterina 
i la Ribera","5. el Fort
Pienc","6. la Sagrada 
Família","7. la Dreta 
de l'Eixample","8. l'Antiga Esquerra 
de l'Eixample","9. la Nova Esquerra 
de l'Eixample","10. Sant Antoni","11. el Poble Sec -
AEI Parc Montjuïc","12. la Marina del Prat 
Vermell - AEI Zona Franca","13. la Marina 
de Port","14. la Font 
de la Guatlla","15. Hostafrancs","16. la Bordeta","17. Sants -
Badal","18. Sants","19. les Corts","20. la Maternitat 
i Sant Ramon","21. Pedralbes","22. Vallvidrera, 
el Tibidabo i
les Planes","23. Sarrià","24. les Tres Torres","25. Sant Gervasi -
la Bonanova","26. Sant Gervasi - 
Galvany","27. el Putxet
i el Farró","28. Vallcarca
i els Penitents","29. el Coll","30. la Salut","31. la Vila 
de Gràcia","32. el Camp d'en 
Grassot i Gràcia Nova","33. el Baix Guinardó","34. Can Baró","35. el Guinardó","36. la Font 
d'en Fargues","37. el Carmel","38. la Teixonera","39. Sant Genís
dels Agudells","40. Montbau","41. la Vall 
d'Hebron","42. la Clota","43. Horta","44. Vilapicina i 
la Torre Llobeta","45. Porta","46. el Turó 
de la Peira","47. Can Peguera","48. la Guineueta","49. Canyelles","50. les Roquetes","51. Verdun","52. la Prosperitat","53. la Trinitat Nova","54. Torre Baró","55. Ciutat 
Meridiana","56. Vallbona","57. la Trinitat Vella","58. Baró de Viver","59. el Bon Pastor","60. Sant Andreu","61. la Sagrera","62. el Congrés
i els Indians","63. Navas","64. el Camp de 
l'Arpa del Clot","65. el Clot","66. el Parc i la Llacuna
 del Poblenou","67. la Vila Olímpica 
del Poblenou","68. el Poblenou","69. Diagonal Mar i 
el Front Marítim 
del Poblenou","70. el Besòs i 
el Maresme","71. Provençals 
del Poblenou","72. Sant Martí 
de Provençals","73. la Verneda 
i la Pau","No consta"
,"Equador",650,28,3,8,12,9,18,9,7,17,19,13,3,21,5,11,13,16,19,13,9,0,1,0,1,1,4,1,6,0,1,12,11,10,2,14,0,22,7,1,2,0,1,6,9,21,17,0,5,0,24,14,29,7,0,14,3,11,1,12,11,14,6,5,18,9,5,2,14,1,12,4,11,15,0
,"Alemanya",649,52,44,23,44,15,22,36,35,27,30,20,0,2,4,8,0,4,11,13,1,8,2,13,8,16,17,9,4,3,3,29,22,3,1,9,1,3,3,1,0,3,0,4,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,2,3,1,3,12,2,15,10,19,9,4,3,1,2,0
,"Bolívia",586,32,3,5,9,7,32,6,9,15,22,13,0,6,3,13,7,22,28,6,9,1,0,5,0,1,3,5,4,5,0,14,9,4,4,15,1,29,4,0,0,0,0,11,16,14,25,1,6,0,7,8,17,0,3,0,0,4,2,12,11,9,8,6,17,10,3,0,7,1,10,7,8,12,0
,"Perú",504,12,4,2,12,8,21,7,20,23,17,9,0,14,4,4,2,3,22,19,9,5,0,0,0,3,8,5,1,3,0,21,7,16,3,9,0,9,5,4,1,0,0,8,13,13,3,0,1,1,7,10,7,2,0,3,0,5,0,2,20,23,5,11,16,12,2,2,2,2,6,2,8,6,0
,"Índia",488,129,19,18,17,9,15,6,2,2,12,42,0,12,3,10,15,13,24,3,4,0,0,0,0,0,3,0,2,1,4,20,7,3,0,2,0,1,4,0,2,1,0,10,0,0,0,0,0,0,0,1,4,4,1,2,0,8,0,1,0,3,0,4,5,5,1,1,7,0,18,5,0,3,0
,"Brasil",469,21,20,18,7,8,27,19,27,27,17,19,0,8,8,12,3,2,13,12,13,0,0,2,1,4,5,1,3,0,4,19,9,7,3,11,3,2,4,0,5,0,0,4,5,3,3,0,2,0,2,1,2,0,2,1,0,1,0,0,2,7,3,3,12,5,1,2,19,9,4,2,7,3,0
,"Portugal",466,25,24,16,21,7,17,24,19,15,24,19,0,4,4,7,1,1,7,12,3,1,0,5,3,1,19,8,8,5,3,33,18,2,1,6,0,3,5,7,1,0,0,5,4,0,1,0,1,2,0,1,1,0,0,2,1,5,0,6,1,5,2,2,6,6,5,2,10,1,7,8,2,1,0
,"República Dominicana",423,18,8,2,12,7,14,6,3,7,5,40,0,15,1,4,3,9,12,5,12,0,0,1,0,0,2,0,1,0,0,9,8,1,1,18,1,7,3,3,1,2,0,1,11,10,24,0,0,2,4,5,10,5,0,19,3,10,0,0,7,17,6,10,8,9,0,0,1,1,8,3,3,5,0
,"Hondures",421,11,4,1,1,8,14,6,1,16,2,6,0,17,0,4,4,5,7,7,1,0,0,1,1,0,0,1,1,0,0,5,3,1,3,14,2,20,2,4,3,3,0,13,16,4,10,0,7,0,39,26,19,6,0,26,0,5,0,2,8,15,5,7,6,4,4,0,2,0,9,4,1,4,0
,"Argentina",391,17,15,8,23,11,12,19,11,23,14,9,0,4,3,2,3,4,7,9,2,3,1,1,2,3,3,3,7,2,6,16,10,10,0,9,1,5,2,0,0,1,0,0,8,8,3,1,2,1,2,1,4,0,0,3,0,2,1,2,4,3,1,2,14,6,3,3,17,4,2,6,3,4,0
,"Mèxic",384,18,22,7,17,14,12,23,16,21,14,11,0,1,5,4,1,3,12,15,5,0,2,8,1,13,10,7,2,0,7,19,20,8,1,5,0,7,1,0,1,0,0,6,2,1,1,0,1,0,1,0,1,0,2,0,0,0,0,0,4,1,1,2,5,6,3,0,9,1,0,3,1,0,0
,"Rússia",370,10,10,12,7,7,12,8,14,9,10,11,0,5,2,0,2,7,8,5,11,1,0,7,4,3,10,2,9,4,2,3,1,3,6,5,0,8,0,1,3,0,0,8,6,4,3,0,1,0,6,1,3,1,0,3,0,0,1,1,5,3,6,10,5,11,2,1,10,17,20,4,12,4,0
,"Bangladesh",361,252,3,9,6,1,7,5,3,4,24,18,0,3,0,1,0,2,0,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0
,"Veneçuela",314,18,6,6,14,9,13,10,20,15,12,3,0,10,1,7,4,4,13,11,8,0,0,0,1,2,4,6,6,2,2,9,7,1,0,10,0,4,3,1,0,1,0,2,4,2,2,0,0,0,3,0,3,2,1,2,0,0,0,1,1,9,1,6,11,9,2,0,2,0,1,3,1,3,0
,"Filipines",301,164,8,1,13,1,4,0,6,6,23,25,0,5,0,4,2,2,6,1,3,1,0,0,2,3,2,0,1,0,0,2,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,0,1,2,0,0,1,0
,"Suècia",286,49,33,19,20,10,6,20,13,4,5,11,0,0,4,1,3,0,3,1,2,0,1,3,0,2,8,5,1,0,0,14,7,1,0,6,0,0,1,0,0,1,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,5,3,1,6,1,2,2,0,1,0
,"Estats Units, els",285,12,16,15,25,7,11,12,11,11,8,9,0,2,1,1,2,3,7,3,3,1,0,4,9,8,21,11,1,2,2,9,9,7,0,4,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,1,1,3,0,3,12,0,1,4,0,1,0
,"Xile",274,11,15,3,8,2,13,11,13,10,12,8,0,1,4,6,1,7,7,7,4,1,0,0,2,3,6,8,4,2,0,16,4,6,1,6,0,8,2,1,5,3,1,3,3,7,3,0,0,0,2,1,1,0,0,0,0,5,0,1,2,2,1,3,7,1,4,1,5,0,0,0,0,0,0
,"Països Baixos",243,18,16,13,25,4,7,9,16,10,11,6,0,3,0,1,0,7,1,1,1,0,0,6,0,0,4,5,1,0,0,13,0,3,0,4,0,1,1,0,0,0,0,1,1,2,3,0,1,0,2,0,0,1,0,5,0,3,0,1,4,0,0,0,4,1,3,6,7,1,4,5,0,1,0
,"Polònia",235,21,12,15,11,12,11,5,7,8,4,6,0,2,2,2,1,3,5,4,1,1,1,0,1,4,4,2,1,1,2,11,4,3,1,4,0,5,2,0,1,1,0,2,2,1,0,0,0,0,1,1,1,0,0,1,0,2,0,3,3,4,1,0,6,1,3,0,13,1,5,1,1,1,0
,"Bulgària",226,20,3,10,6,0,6,7,6,14,4,3,1,13,4,5,3,1,1,5,1,0,0,5,1,0,4,4,0,2,1,9,3,2,3,2,0,2,2,0,0,2,0,2,4,6,0,0,1,0,4,1,2,0,0,0,0,0,0,3,5,2,2,4,2,0,6,0,6,4,6,4,4,3,0
,"Paraguai",213,11,2,2,0,2,12,6,0,11,4,2,0,4,1,1,2,6,6,1,5,0,1,0,0,3,4,3,0,5,0,4,3,3,0,11,0,9,1,1,1,0,0,1,10,5,5,0,1,0,4,1,4,1,0,3,0,1,0,1,8,8,4,2,3,5,1,0,2,0,0,1,8,7,0
,"Geòrgia",207,6,3,0,1,0,2,2,1,8,0,6,0,2,10,2,1,5,6,0,2,0,0,2,0,0,2,0,0,0,1,3,0,3,0,6,0,4,0,0,0,0,0,0,8,18,22,0,1,2,7,0,4,1,0,0,0,4,0,0,9,6,5,0,7,5,5,0,0,1,5,1,8,10,0
,"Algèria",191,37,9,19,7,3,3,0,0,1,1,12,0,5,0,7,4,8,8,4,1,0,0,0,0,0,0,0,0,0,0,8,0,2,0,1,1,2,0,0,1,0,0,0,0,2,3,0,0,0,0,4,1,0,0,0,0,4,0,0,1,0,1,3,7,3,0,0,7,2,7,0,0,2,0
,"Ucraïna",173,5,1,9,2,6,7,3,7,4,3,8,0,2,1,3,5,4,7,3,3,1,0,0,0,0,1,0,3,0,0,2,2,2,3,3,0,4,0,0,0,0,0,1,1,2,3,0,1,0,3,2,3,1,0,3,0,0,0,3,5,2,2,1,4,9,1,0,3,3,6,0,3,7,0
,"Bèlgica",146,7,11,5,8,3,7,4,3,6,1,8,0,0,0,1,1,0,1,7,3,2,1,4,0,1,4,1,1,0,0,16,2,2,1,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,4,1,0,1,2,2,2,1,1,2,2,2,2,0
,"Suïssa",124,11,9,2,10,4,2,9,4,4,3,0,0,1,3,0,1,1,0,6,0,0,1,2,1,3,8,6,1,0,0,6,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,1,5,0,1,0,0,2,0
,"Japó",122,2,1,0,2,0,1,8,2,4,1,1,0,1,0,1,0,0,3,33,1,6,0,18,9,0,5,4,0,1,1,2,0,4,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
,"Cuba",112,5,2,2,2,4,6,3,2,3,3,3,0,5,1,2,0,3,4,1,1,0,1,1,0,0,0,0,0,0,0,2,1,1,0,2,1,6,0,0,0,1,0,3,2,5,1,0,2,0,0,0,2,2,0,0,0,1,0,0,1,3,4,1,2,2,2,0,6,0,2,1,2,0,0
,"Irlanda",106,9,11,1,10,1,6,2,4,2,3,6,0,2,1,1,1,0,2,1,1,0,0,2,0,0,0,0,1,0,1,8,1,0,1,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,1,3,3,5,1,1,0,0,0
,"Grècia",105,10,10,3,4,2,6,8,6,5,0,9,0,2,0,2,0,0,1,0,0,0,0,2,0,2,1,1,1,0,1,7,5,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,2,1,0,2,0,0
,"Síria",99,80,5,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
,"Senegal",88,5,2,0,2,2,3,1,0,1,6,4,0,1,1,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,3,1,2,4,1,2,0,2,0,10,5,0,5,0
,"Turquia",86,12,5,1,7,1,2,6,3,4,1,2,0,2,0,0,0,2,0,5,1,0,0,1,0,0,1,3,1,0,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,4,0,5,1,1,1,0,0,0,0,0,1,0
,"Uruguai",80,3,0,3,2,2,1,4,1,1,6,0,0,1,0,1,1,2,5,1,2,0,1,0,1,1,2,1,2,0,1,3,0,0,0,2,0,1,0,1,1,0,0,0,2,1,2,0,1,0,2,0,1,0,1,1,0,2,0,1,0,1,0,0,3,1,1,1,2,1,0,1,2,0,0
,"Noruega",79,6,5,7,4,0,0,6,4,3,1,3,0,0,3,0,0,3,1,0,1,0,0,0,0,0,5,1,2,0,1,5,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,6,1,0,0,0,0,0
,"Finlàndia",76,16,8,8,10,0,1,2,3,0,1,2,0,0,0,1,0,0,0,1,0,0,1,1,0,2,1,1,1,1,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0
,"Hongria",76,7,7,2,6,2,4,6,0,4,3,2,0,0,0,1,0,0,1,0,0,4,0,0,1,0,1,1,1,1,1,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,1,1,1,0,0
,"Nigèria",73,6,0,1,1,1,1,1,2,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,5,1,4,0,21,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0
,"Dinamarca",72,15,7,3,5,0,3,1,7,2,1,0,0,1,1,0,0,0,1,0,0,0,1,3,0,1,2,2,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,1,0,0,0,0,0
,"Armènia",71,1,0,0,0,1,4,0,3,2,0,0,0,1,0,0,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,0,0,2,6,6,0,0,0,3,1,4,1,0,0,0,1,0,0,0,1,4,1,0,3,0,0,5,0,3,0,1,0,0
,"Àustria",69,3,7,1,4,2,2,0,4,4,2,1,0,0,0,0,1,0,0,1,1,1,0,1,0,3,2,0,1,0,1,8,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,2,0,3,0,0,0,0,1,0
,"Corea del Sud",67,2,1,0,0,1,1,4,2,0,1,0,0,0,0,3,0,0,1,2,0,4,0,1,0,0,3,2,1,0,4,1,0,0,3,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,"El Salvador",62,0,1,1,0,2,1,2,3,1,0,2,0,1,0,0,0,3,5,0,1,0,0,0,0,1,6,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,3,4,1,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,5,0,1,0,0
,"Nepal",56,5,0,0,1,2,3,7,4,0,4,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,1,0,0,0,0
,"Txèquia",51,4,1,4,1,0,3,1,0,1,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,1,0,2,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,1,2,1,1,0,1,0
,"Lituània",50,3,6,1,5,1,1,3,1,0,0,3,0,0,0,0,2,0,3,1,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,1,2,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
,"Iran",50,0,0,1,1,1,3,0,2,3,2,0,0,1,1,0,0,0,0,4,1,2,0,5,1,0,1,1,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,2,1,0,0,0,0,0,0,0,0,0
,"Ghana",49,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,4,0,12,0,4,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
,"Guinea",49,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,5,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4,0,3,1,0,4,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,1,0
,"Costa Rica",47,1,2,0,2,1,3,2,6,9,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,5,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Nicaragua",46,0,1,0,0,0,2,0,0,6,2,1,0,3,0,1,0,1,3,2,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1,0,2,0,1,0,0,1,4,0,0,2,1,0,0,1,0,0,0,0,1,0
,"Canadà",43,3,1,0,2,0,0,3,6,4,0,1,0,1,0,1,1,0,0,4,1,0,0,3,0,0,4,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,"Egipte",42,5,1,0,1,1,1,1,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,2,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,2,0,1,1,0,1,0,1,0
,"Eslovàquia",40,0,1,0,1,0,2,2,5,3,2,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,1,0,0,0,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0
,"Sèrbia",40,4,2,3,2,2,1,3,1,2,2,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0
,"Kazakhstan",36,0,1,0,0,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,1,2,3,0,0,0,0
,"Albània",34,3,2,0,1,0,1,1,0,0,0,0,0,2,1,3,0,1,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0
,"Panamà",33,1,2,1,2,2,2,0,4,2,2,0,0,1,0,3,0,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,"Guatemala",31,0,0,0,0,0,1,3,0,4,0,4,0,2,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
,"Austràlia",29,1,2,1,1,0,1,2,0,0,2,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0
,"Letònia",27,2,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Moldàvia",23,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0
