"Tipus indicador",Indicador,Fórmula,"Indicador ITA",Unitat,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Observacions
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució dels ingressos corrents","Drets reconeguts nets(capítols 1 a 5) / Previsions definitives (capítols 1 a 5)","No ITA",%,"106,60%","107,40%","111,10%","103,50%","101,50%","105,30%","104,20%","104,10%","109,40%","112,30%","109,40%",
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució dels ingressos de capital","Drets reconeguts (capítols 6 i 7) / Previsions definitives (capítols 6 i 7)","No ITA",%,"86,40%","86,40%","65,70%","63,80%","87,80%","82,60%","98,40%","92,40%","160,70%","140,80%","80,10%",
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució del pressupost de despeses","Obligacions reconegudes totals / Crèdits definitius totals","No ITA",%,"95,90%","94,70%","94,90%","94,70%","95,40%","88,00%","93,50%","92,30%","97,60%","98,00%","98,30%",
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució de les despeses corrents","Obligacions reconegudes (capítols 1 a 4) / Crèdits definitius (capítols 1 a 4)","No ITA",%,"96,20%","96,80%","97,30%","96,60%","97,70%","97,50%","96,90%","95,80%","98,00%","98,20%","98,70%",
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució de les despeses de capital","Obligacions reconegudes (capítols 6 i 7) / Crèdits definitius (capítols 6 i 7) [Cal tenir en compte que al 2012 s'han retingut 40 milions d'euros en el capítol 6 per tal de complir amb el Programa Econòmic-Financer. El crèdit definitiu del capítol 6 incorpora aquesta baixa pel càlcul d'aquest indicador.]","No ITA",%,"94,10%","88,90%","88,50%","88,80%","90,80%","70,30%","82,90%","85,20%","94,40%","97,20%","96,50%","Cal tenir en compte que al 2012 s'han retingut 40 milions d'euros en el capítol 6 per tal de complir amb el Programa Econòmic-Financer. El crèdit definitiu del capítol 6 incorpora aquesta baixa pel càlcul d'aquest indicador."
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Despeses no financeres per habitant","Obligacions reconegudes (capítols 1 a 7) / nº d'habitants","No ITA","Euros per habitant","1.100,60","1.196,30","1.308,90","1.384,60","1.606,30","1.548,10","1.436,90","1.378,70","1.347,90","1.559,40","1.543,80",
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Despesa total per habitant","Obligacions reconegudes (capítols 1 a 9) / nº d'habitants",41,"Euros per habitant","1.200,10","1.251,40","1.398,80","1.489,20","1.680,10","1.615,70","1.519,10","1.441,70","1.417,80","1.651,90","1.739,00",
"AUTONOMIA FISCAL I FINANCERA","Autonomia fiscal","Drets reconeguts nets(capítols 1 a 3) /Drets reconeguts (capítols 1 a 9)",38,%,"52,20%","52,50%","50,90%","50,20%","43,20%","41,70%","52,10%","50,10%","52,00%","50,40%","50,10%",
"AUTONOMIA FISCAL I FINANCERA","Grau de dependència financera","Drets reconeguts nets(capítols 4 i 7) / Drets reconeguts (capítols 1 a 7)","No ITA",%,"42,30%","42,40%","45,20%","46,70%","53,00%","46,30%","44,20%","44,00%","45,00%","41,10%","44,60%",
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Superàvit/dèficit per habitant (en termes de resultat pressupostari ajustat)","Resultat pressupostari ajustat / nº d'habitants","No ITA","Euros per habitant","113,3","113,4","126,1","4,9","66,3","180,7","118,6","173,5","128,4","71,8","155,8",
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Saldo d'operacions no financeres per habitant","Drets reconeguts (capítols 1 a 7) - Obligacions reconegudes (capítols 1 a 7) / nº d'habitants","No ITA","Euros per habitant","135,4","152,7","182,6","86,3","17,3","-51,8","42,2","72,6","177,7","100,4","95,2",
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Superàvit / Dèficit (CNF) en termes SEC","Superàvit o dèficit en termes SEC",39,"Milions d'euros",125,152,"209,2","72,2","-83,3","-300,2","-398,3","60,1","139,3","22,2","100,2",
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Superàvit / Dèficit (CNF) per habitant en termes SEC","Superàvit o dèficit (en termes SEC) / nº d'habitants","No ITA","Euros per habitant","78,5","94,7","131,1","44,7","-51,4","-185,4","-246,6","37,1","86,4","13,8","62,5",
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Superàvit / Dèficit (CNF) en relació als ingressos no financers en termes SEC","Superàvit o dèficit (en termes SEC) / ingressos no financers (en termes SEC)","No ITA",%,"6,70%","7,30%","9,10%","3,10%","-3,30%","-13,50%","-19,90%","2,70%","5,80%","0,90%","3,90%",
"PAGAMENTS I COBRAMENTS (EXERCICI corrent)","Període mitjà de pagament","Obligacions pendents de pagament (capítols 1 a 9) x 365 / Obligacions reconegudes (capítols 1 a 9)","No ITA",Dies,69,65,60,71,70,60,48,59,62,73,61,
"PAGAMENTS I COBRAMENTS (EXERCICI corrent)","Període promig de pagament ","(? dies entre pagament i factura *import /total import)","No ITA",Dies,--,--,--,--,--,"54,3","38,7","32,3","29,2","27,4",30,
"PAGAMENTS I COBRAMENTS (EXERCICI corrent)","Període mitjà de cobrament","Drets pendents de cobrament nets(capítols 1 a 3) x 365 / Drets reconeguts (capítols 1 a 3)",43,Dies,"54,6","54,1","47,3","49,9","48,4","48,6","45,9","49,1","42,2","39,4","34,2",
