"Nacionalitats","BARCELONA","1. el Raval","2. el Barri 
Gòtic","3. la Barceloneta","4. Sant Pere, 
Santa Caterina 
i la Ribera","5. el Fort
Pienc","6. la Sagrada 
Família","7. la Dreta 
de l'Eixample","8. l'Antiga Esquerra 
de l'Eixample","9. la Nova Esquerra 
de l'Eixample","10. Sant Antoni","11. el Poble Sec -
AEI Parc Montjuïc","12. la Marina del Prat 
Vermell - AEI Zona Franca","13. la Marina 
de Port","14. la Font 
de la Guatlla","15. Hostafrancs","16. la Bordeta","17. Sants -
Badal","18. Sants","19. les Corts","20. la Maternitat 
i Sant Ramon","21. Pedralbes","22. Vallvidrera, 
el Tibidabo i
les Planes","23. Sarrià","24. les Tres Torres","25. Sant Gervasi -
la Bonanova","26. Sant Gervasi - 
Galvany","27. el Putxet
i el Farró","28. Vallcarca
i els Penitents","29. el Coll","30. la Salut","31. la Vila 
de Gràcia","32. el Camp d'en 
Grassot i Gràcia Nova","33. el Baix Guinardó","34. Can Baró","35. el Guinardó","36. la Font 
d'en Fargues","37. el Carmel","38. la Teixonera","39. Sant Genís
dels Agudells","40. Montbau","41. la Vall 
d'Hebron","42. la Clota","43. Horta","44. Vilapicina i 
la Torre Llobeta","45. Porta","46. el Turó 
de la Peira","47. Can Peguera","48. la Guineueta","49. Canyelles","50. les Roquetes","51. Verdun","52. la Prosperitat","53. la Trinitat Nova","54. Torre Baró","55. Ciutat 
Meridiana","56. Vallbona","57. la Trinitat Vella","58. Baró de Viver","59. el Bon Pastor","60. Sant Andreu","61. la Sagrera","62. el Congrés
i els Indians","63. Navas","64. el Camp de 
l'Arpa del Clot","65. el Clot","66. el Parc i la Llacuna
 del Poblenou","67. la Vila Olímpica 
del Poblenou","68. el Poblenou","69. Diagonal Mar i 
el Front Marítim 
del Poblenou","70. el Besòs i 
el Maresme","71. Provençals 
del Poblenou","72. Sant Martí 
de Provençals","73. la Verneda 
i la Pau","No consta"
"Colòmbia",305,13,2,1,5,12,15,10,8,13,5,17,0,6,0,5,4,8,4,6,4,0,0,0,0,3,5,3,2,0,0,4,8,12,4,20,1,9,4,4,0,4,0,6,3,9,7,0,1,0,2,2,1,0,0,2,1,0,0,4,2,7,0,6,8,1,1,0,4,4,4,3,4,2,0
"Equador",303,12,2,8,4,1,4,2,4,10,6,6,0,13,0,2,3,4,7,4,1,2,0,0,1,0,1,1,4,2,0,4,3,5,2,9,5,12,8,2,0,0,0,5,12,7,8,0,4,0,11,8,6,3,2,8,2,3,0,1,5,12,2,3,4,8,1,1,1,1,4,3,7,17,0
"República Dominicana",281,9,3,1,8,2,7,1,0,5,4,31,0,4,1,3,2,8,3,1,5,1,0,0,0,0,1,1,0,0,1,3,4,2,0,7,0,4,0,2,1,0,0,2,9,8,21,0,2,0,5,4,6,3,0,23,0,8,0,1,9,15,6,5,6,5,0,0,1,0,8,1,5,3,0
"Bangladesh",280,200,9,2,2,12,2,2,0,3,4,15,0,2,0,0,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,1,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Perú",276,6,3,0,4,9,7,6,5,18,11,2,0,12,2,3,5,10,10,4,7,1,0,4,1,0,1,2,1,0,2,8,6,6,0,11,0,7,1,1,0,1,0,2,4,7,6,0,2,1,3,0,2,0,0,2,0,7,0,2,4,7,1,5,15,4,3,0,3,1,3,0,5,10,0
"Índia",248,46,19,8,6,6,4,3,3,3,9,28,0,5,1,6,12,4,8,1,0,0,0,0,0,0,0,1,1,0,1,11,3,0,0,0,0,3,4,0,0,0,0,0,0,2,1,0,4,0,0,2,4,5,0,3,0,3,0,1,3,1,1,5,0,3,0,0,5,0,4,5,0,0,0
"Romania",245,11,14,3,7,5,4,3,4,5,2,9,0,4,2,0,0,9,13,3,1,0,0,1,1,3,0,5,2,2,2,4,1,1,1,6,1,1,2,0,0,2,0,5,1,10,0,0,0,0,0,2,2,0,0,10,0,7,0,3,2,4,1,2,6,2,1,0,4,2,27,8,5,7,0
"Rússia",217,3,11,3,5,4,4,11,5,5,4,6,0,2,2,1,0,1,4,5,4,4,0,3,0,9,4,1,2,3,2,3,3,2,2,2,0,2,0,1,1,0,0,3,6,2,0,0,1,0,1,0,2,1,0,4,0,0,1,0,2,0,0,2,5,2,4,3,13,20,15,0,2,4,0
"Brasil",187,16,3,1,7,6,11,6,16,18,4,11,0,2,6,3,2,2,5,4,0,0,0,0,1,2,1,0,0,1,0,4,3,3,2,1,0,1,2,0,0,0,0,3,2,2,0,1,1,0,4,0,5,0,0,0,0,0,0,0,0,2,1,2,1,1,5,3,4,0,1,2,1,2,0
"Veneçuela",174,7,4,4,1,7,12,4,6,10,7,5,0,1,1,2,1,6,8,2,3,0,0,0,0,3,4,4,0,1,0,4,3,6,0,3,1,2,5,3,1,0,0,1,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,5,0,4,2,4,0,2,11,0,1,0,2,2,0
"Paraguai",162,5,2,1,0,4,6,0,1,5,2,4,1,1,1,0,4,8,6,5,0,0,0,0,0,0,2,4,1,0,0,5,1,3,6,6,2,6,0,1,1,0,0,1,7,2,2,0,5,0,2,3,2,1,0,3,0,1,0,0,9,1,4,3,4,0,2,0,3,0,3,4,2,4,0
"Argentina",159,15,6,0,9,4,7,4,3,5,9,5,0,2,1,1,1,0,3,5,0,2,3,2,0,3,0,1,2,1,0,5,1,2,0,4,0,5,1,0,0,1,0,3,0,3,2,0,0,1,0,1,2,0,0,1,0,2,0,0,3,4,0,1,4,2,2,4,4,1,0,3,0,3,0
"Regne Unit",153,10,10,9,10,5,3,11,10,7,6,10,0,0,1,1,0,0,3,1,0,0,0,3,1,0,2,2,1,1,0,13,2,1,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,3,3,1,4,0,4,2,0,0,0,1,0
"Portugal",124,10,2,5,7,5,3,8,3,10,8,2,0,0,0,0,0,0,4,2,0,0,0,0,1,4,3,2,4,0,1,10,4,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,1,0,1,0,1,1,1,1,2,0,4,1,0,0,0
"Ucraïna",115,6,0,5,1,3,2,3,6,1,3,1,0,2,2,1,0,1,2,2,2,0,0,1,0,5,3,0,0,0,0,3,3,3,0,5,0,1,2,2,0,0,0,3,2,3,0,0,0,1,2,2,1,0,0,1,0,1,2,1,1,0,0,2,4,2,0,0,1,0,10,1,2,2,0
"Alemanya",111,11,2,5,7,2,4,6,4,4,5,5,0,0,0,2,1,1,0,3,1,2,1,6,0,1,2,2,1,0,0,6,0,1,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,2,0,5,2,1,0,1,0,0
"Xile",104,10,2,0,3,5,2,2,2,9,4,3,0,0,0,0,0,1,6,0,0,0,0,1,0,0,2,2,1,0,1,7,2,1,1,3,2,0,3,0,0,1,0,5,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,1,0,3,3,4,0,1,0,1,1,0,1,0
"Mèxic",98,9,5,1,9,2,3,5,6,5,5,1,0,1,0,0,0,1,2,2,2,2,0,0,1,0,2,1,1,2,0,3,5,2,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,5,2,0,1,0,0,0,2,0,0
"Geòrgia",96,3,0,0,0,2,2,1,2,2,1,3,0,0,0,0,0,6,4,0,0,0,1,2,1,0,1,0,0,0,0,4,0,1,0,2,0,5,0,0,0,0,0,2,1,9,7,0,0,0,2,1,7,1,0,0,0,1,0,1,4,5,2,1,1,1,1,0,2,0,1,1,1,1,0
"Algèria",93,9,4,1,9,2,0,0,1,0,1,7,0,3,0,3,0,0,1,0,0,4,0,5,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,1,0,1,0,0,1,6,6,3,1,0,0,1,2,0,1,0,4,0,4,0,0,1,0
"Senegal",90,1,4,1,3,2,6,0,0,0,1,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,1,0,0,0,1,3,2,1,2,1,1,1,0,1,0,27,1,1,6,0
"Estats Units, els",88,1,2,2,6,2,0,10,7,5,3,2,0,0,0,1,0,0,2,2,0,0,0,5,4,0,1,1,2,0,0,10,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,5,0,0
"Nigèria",57,6,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,3,1,0,0,1,1,2,3,3,3,10,0,4,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"Països Baixos",57,6,3,1,2,2,2,5,1,3,8,1,0,1,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,2,1,0,0
"Bulgària",55,4,3,1,0,5,2,1,1,0,0,4,0,5,1,3,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,2,0,0,1,1,0,0,1,0
"Polònia",54,2,2,2,1,2,0,2,1,2,2,4,0,2,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,7,2,1,1,1,0,0
"Cuba",49,6,2,2,0,0,2,0,1,1,1,3,0,0,4,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,3,1,0,0,0,1,0,0,1,1,0,0
"Nepal",47,5,0,2,0,0,1,0,2,0,2,14,0,1,1,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",46,2,1,1,0,1,0,0,4,0,2,3,0,1,0,1,0,3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,5,2,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0
"Armènia",44,0,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,2,2,0,0,5,0,0,2,5,3,0,0,0,0,0,1,0,0,3,0,3,1,0,0,0,0,1,0,1,0,0
"Uruguai",34,4,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0
"Iran",33,2,2,0,0,0,2,0,1,3,0,0,0,0,3,0,0,1,0,1,3,0,0,2,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suècia",33,5,4,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
"Turquia",31,2,0,0,0,0,1,5,1,1,2,6,0,0,0,0,5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ghana",28,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,3,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japó",28,2,0,0,1,0,2,2,2,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0
"Grècia",27,0,0,1,1,1,3,1,0,2,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Irlanda",26,1,0,1,1,1,0,0,2,2,0,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"Bèlgica",24,3,1,1,3,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Moldàvia",21,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"Síria",21,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,1,0,0
"Guinea",19,2,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
"Hongria",18,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"Nicaragua",17,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Canadà",16,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
"Egipte",16,0,0,0,1,1,1,2,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Guinea Equatorial",15,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sèrbia",15,2,1,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suïssa",15,1,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Gàmbia",14,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
"Guatemala",14,1,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Líban",14,0,0,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Belarús",13,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Israel",13,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Andorra",12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Corea del Sud",12,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camerun",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Lituània",11,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Albània",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Àustria",10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Costa Rica",10,2,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dinamarca",10,1,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Kazakhstan",10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Finlàndia",9,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panamà",9,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croàcia",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
