Dte.,Barris,Participació,Abstenció,BComú-E,CiU,Cs,ERC,PSC-CP,PP,CUP-PA,Altres,Blancs,Nuls
7,"36. la Font d'en Fargues","64,2","35,8","15,4","15,0","6,3","8,6","5,6","4,8","6,0","1,6","0,6","0,3"
7,"37. el Carmel","52,1","47,9","18,1","3,7","6,7","2,9","9,8","5,3","2,3","2,4","0,5","0,4"
7,"38. la Teixonera","54,4","45,6","19,2","4,4","6,7","3,8","8,9","5,2","3,0","2,3","0,5","0,4"
7,"39. Sant Genís dels Agudells","56,1","43,9","18,8","7,3","5,7","4,9","7,1","5,9","3,3","2,2","0,6","0,3"
7,"40. Montbau","57,8","42,2","14,7","11,2","5,5","6,7","6,0","6,2","4,3","2,3","0,5","0,4"
7,"41. la Vall d'Hebron","65,7","34,3","17,0","9,9","9,9","6,3","7,1","8,6","3,2","2,6","0,7","0,4"
7,"42. la Clota","57,4","42,6","21,1","6,8","5,2","7,3","5,5","2,3","6,5","1,8","0,8","0,0"
7,"43. Horta","61,2","38,8","17,2","10,9","5,8","7,0","6,3","5,4","5,5","2,2","0,5","0,4"
8,"44. Vilapicina i la Torre Llobeta","61,4","38,6","17,1","9,5","7,3","6,5","7,6","6,4","3,6","2,3","0,6","0,4"
8,"45. Porta","57,4","42,6","17,7","6,6","7,0","4,8","8,8","6,7","2,8","2,2","0,5","0,4"
8,"46. el Turó de la Peira","51,3","48,7","16,3","6,0","5,8","4,1","8,4","5,7","2,3","2,0","0,5","0,2"
8,"47. Can Peguera","45,9","54,1","17,4","3,6","3,5","3,8","7,4","2,6","3,8","3,3","0,4","0,1"
8,"48. la Guineueta","61,9","38,1","19,3","7,1","8,4","4,8","8,7","7,6","2,7","2,3","0,7","0,3"
8,"49. Canyelles","61,2","38,8","23,0","3,7","9,2","3,5","10,3","6,1","1,9","2,6","0,7","0,3"
8,"50. les Roquetes","48,5","51,5","18,3","2,3","6,7","2,4","9,9","4,3","1,5","2,3","0,3","0,4"
8,"51. Verdun","51,9","48,1","18,9","3,6","7,1","2,7","9,6","5,2","2,0","2,1","0,4","0,4"
8,"52. la Prosperitat","57,6","42,4","21,8","4,2","7,4","3,2","9,8","6,6","1,8","2,1","0,4","0,3"
8,"53. la Trinitat Nova","45,0","55,0","17,8","3,5","5,3","2,6","7,2","4,0","1,6","2,5","0,3","0,3"
8,"54. Torre Baró","39,8","60,2","15,5","1,7","5,5","1,9","8,2","4,4","0,9","1,3","0,2","0,2"
8,"55. Ciutat Meridiana","48,5","51,5","17,4","2,5","6,5","1,5","11,3","5,2","0,8","2,4","0,4","0,4"
8,"56. Vallbona","47,2","52,8","19,0","2,6","3,8","2,8","7,9","5,5","2,2","3,0","0,3","0,1"
9,"57. la Trinitat Vella","49,3","50,7","16,3","3,3","7,4","2,4","11,3","3,8","1,5","2,5","0,4","0,2"
9,"58. Baró de Viver","43,6","56,4","16,3","2,5","4,8","4,1","9,0","2,5","0,8","3,1","0,2","0,3"
9,"59. el Bon Pastor","53,1","46,9","20,1","5,0","6,2","4,1","8,6","4,1","2,1","2,2","0,6","0,2"
9,"60. Sant Andreu","64,7","35,3","18,9","10,5","7,0","8,4","6,7","4,4","5,6","2,4","0,5","0,3"
9,"61. la Sagrera","62,9","37,1","18,0","9,5","7,7","7,5","6,9","5,9","4,3","2,1","0,6","0,3"
9,"62. el Congrés i els Indians","61,7","38,3","17,0","12,6","5,2","7,9","6,6","4,3","5,6","1,9","0,4","0,3"
9,"63. Navas","63,7","36,3","16,2","13,1","6,9","8,2","6,5","5,0","4,7","2,1","0,7","0,3"
10,"64. el Camp de l'Arpa del Clot","62,6","37,4","15,6","14,3","5,3","9,1","5,6","4,2","5,5","2,0","0,6","0,3"
10,"65. el Clot","62,2","37,8","17,4","11,5","6,5","7,9","6,2","4,6","5,0","2,2","0,6","0,3"
10,"66. el Parc i la Llacuna del Poblenou","62,2","37,8","18,5","10,9","6,3","7,5","5,8","4,8","5,2","2,3","0,5","0,3"
10,"67. la Vila Olímpica del Poblenou","70,7","29,3","17,6","15,0","9,2","8,7","6,3","5,7","5,8","1,6","0,6","0,1"
10,"68. el Poblenou","62,1","37,9","18,1","12,9","5,2","9,4","5,0","2,5","5,5","2,5","0,6","0,4"
10,"69. Diagonal Mar i el Front Marítim del Poblenou","62,3","37,7","19,0","11,4","8,2","7,0","6,4","3,7","4,1","1,8","0,5","0,2"
10,"70. el Besòs i el Maresme","50,7","49,3","17,5","4,2","5,8","3,7","9,5","4,9","1,7","2,6","0,4","0,3"
10,"71. Provençals del Poblenou","60,2","39,8","18,6","8,9","7,6","6,6","7,1","4,2","3,8","2,4","0,6","0,3"
10,"72. Sant Martí de Provençals","61,3","38,7","18,8","8,2","7,6","6,3","7,4","6,9","2,7","2,5","0,6","0,3"
10,"73. la Verneda i la Pau","57,8","42,2","18,4","5,1","8,6","4,1","9,4","7,1","2,0","2,5","0,4","0,3"
