TEMA;TEMA NOMBRE;ENTIDAD;ENTIDAD NOMBRE;ELEMENTO;ELEMENTO NOMBRE;NOMBRE;NIVEL
4;"Edificios singulares";37;"Edificio singular";52;"Rótulo de edificio singular";"04_edificio_singular_a.shp";"04037052"
4;"Edificios singulares";177;"Edificio singular cultural / espectáculos";765;"Línea de edificio singular cultural / espectáculos";"04_edificio_singular_cultural_l.shp";"04177765"
4;"Edificios singulares";177;"Edificio singular cultural / espectáculos";701;"Recinto de edificio singular cultural / espectáculos";"04_edificio_cultural_p.shp";"04177701"
4;"Edificios singulares";180;"Edificio Singular Público";766;"Línea de edificio singular público";"04_singular_publico_l.shp";"04180766"
4;"Edificios singulares";180;"Edificio Singular Público";700;"Polígono de edificio singular público";"04_edificio_publico_p.shp";"04180700"
4;"Edificios singulares";174;"Edificio singular religioso";690;"Recinto edificio singular religioso";"04_edificio_religioso_p.shp";"04174690"
4;"Edificios singulares";187;"Recinto Otra Const. Monumental";764;"Línea Otra Const. Monumental";"04_otra_construccion_monumental_l.shp";"04187764"
4;"Edificios singulares";187;"Recinto Otra Const. Monumental";732;"Recintro Otra Const. Monumental";"04_otra_construccion_monumental_p.shp";"04187732"
5;"Parcelario";41;"Manzana Catastral Integrada";364;"Recinto de manzana";"05_manzana_p.shp";"05041364"
6;"Viario";45;"Acera e Isleta";61;"Recinto de acera e isleta";"06_acera_p.shp";"06045061"
6;"Viario";50;"Autopista, Autovía";67;"Línea de autopista, autovía en construcción";"06_autopista_autovia_construccion_l.shp";"06050067"
6;"Viario";50;"Autopista, Autovía";66;"Línea de autopista, autovía. Límite de asfalto";"06_autopista_autovia_l.shp";"06050066"
6;"Viario";50;"Autopista, Autovía";771;"Rótulo de autopista, autovía 1:20000";"06_autopista_autovia_20000_a.shp";"06050771"
6;"Viario";51;"Camino, Pista";68;"Línea de camino, pista.";"06_camino_pista_l.shp";"06051068"
6;"Viario";52;"Carretera";304;"Línea de carretera";"06_carretera_l.shp";"06052304"
6;"Viario";52;"Carretera";305;"Línea de carretera en construcción";"06_carretera_en_construccion_l.shp";"06052305"
6;"Viario";52;"Carretera";679;"Texto de carretera";"06_carretera_a.shp";"06052679"
7;"Altimetría";55;"Curvas de nivel";74;"Línea de curva de nivel directora";"07_curva_nivel_directora_l.shp";"07055074"
7;"Altimetría";55;"Curvas de nivel";75;"Línea de curva de nivel normal";"07_curva_nivel_l.shp";"07055075"
7;"Altimetría";55;"Curvas de nivel";76;"Rótulo de Curva de nivel directora";"07_curva_nivel_directora_a.shp";"07055076"
8;"Hidrografía";60;"Embalse";83;"Línea de embalse";"08_embalse_l.shp";"08060083"
8;"Hidrografía";60;"Embalse";84;"Recinto de embalse";"08_embalse_p.shp";"08060084"
8;"Hidrografía";66;"Lámina de agua";763;"Línea de lámina de agua en fuentes, monumentos, campos de golf";"08_lamina_agua_l.shp";"08066763"
8;"Hidrografía";66;"Lámina de agua";96;"Recinto de lámina de agua en fuentes, monumentos, campos de golf";"08_lamina_agua_p.shp";"08066096"
8;"Hidrografía";172;"Otros texto de hidrología";681;"Texto genérico de hidrología";"08_hidrologia_a.shp";"08172681"
8;"Hidrografía";61;"Piscina";87;"Recinto de piscina";"08_piscina_p.shp";"08061087"
8;"Hidrografía";63;"Río, Arroyo";92;"Línea de río y arroyo";"08_rio_arroyo_l.shp";"08063092"
8;"Hidrografía";63;"Río, Arroyo";93;"Recinto de río, arroyo";"08_rio_arroyo_p.shp";"08063093"
8;"Hidrografía";64;"Vaguada, barranco";94;"Línea de vaguada, barranco";"08_vaguada_barranco_l.shp";"08064094"
9;"Callejero";67;"Denominación de vía";727;"Rótulo de denominación de vial 1:20000";"09_rotulacion_viario_20000_a.shp";"09067727"
10;"Movilidad";195;"Eje de vía de ferrocarril";786;"Eje de vía de ferrocarril";"10_eje_ferrocarril_l.shp";"10195786"
10;"Movilidad";73;"Metro";775;"Rótulo de denominación de Estación de Metro 1:20000";"10_metro_a.shp";"10073775"
10;"Movilidad";68;"Vía";101;"Línea de vía";"10_via_l.shp";"10068101"
11;"Medio Ambiente";91;"Árbol";728;"Símbolo de árbol 1:20000";"11_arbol_20000_p.shp";"11091728"
11;"Medio Ambiente";95;"Parque";777;"Rotulo de parque 20000";"11_parque_20000_a.shp";"11095777"
11;"Medio Ambiente";89;"Zona ajardinada";371;"Recinto de zona ajardinada";"11_zona_ajardinada_p.shp";"11089371"
11;"Medio Ambiente";133;"Zona de uso de suelo definido";360;"Límite de uso suelo rústico";"11_limite_suelo_rustico_l.shp";"11133360"
11;"Medio Ambiente";133;"Zona de uso de suelo definido";182;"Rótulo de uso de suelo rústico";"11_suelo_rustico_a.shp";"11133182"
13;"Monumentos";106;"Monumento/Estatua/Fuente monumental";150;"Línea de monumento, estatua, fuente monumental o puerta.";"13_monumento_estatua_fuente_l.shp";"13106150"
13;"Monumentos";106;"Monumento/Estatua/Fuente monumental";151;"Recinto de monumento, estatua, fuente monumental o puerta.";"13_monumento_estatua_fuente_p.shp";"13106151"
21;"Toponimia y rotulación auxiliar";128;"Grandes parajes";721;"Rótulo de grandes parajes 1:20000";"21_grandes_parajes_20000_a.shp";"21128721"
21;"Toponimia y rotulación auxiliar";185;"Otros textos";730;"Otros textos";"21_otros_textos_a.shp";"21185730"
21;"Toponimia y rotulación auxiliar";184;"Textos de instalaciones y servicios";729;"Texto de instalaciones y servicios";"21_instalaciones_servicios_a.shp";"22184729"
21;"Toponimia y rotulación auxiliar";129;"Urbanización";720;"Rótulo de urbanización 1:20000";"21_urbanizacion_20000_a.shp";"21129720"
22;"Elementos auxiliares";186;"Líneas auxiliares continua";731;"Líneas auxiliares continua";"22_lineas_auxiliares_continua_l.shp";"22186731"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";762;"Linea de cruceta o rejilla de coordenadas";"22_cruceta_coordenadas_p.shp";"22130762"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";723;"Polígono de marco 20000 con coordenadas ED50";"22_malla_ed50_20000_p..shp";"22130723"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";724;"Polígono de marco 20000 con coordenadas ETRS89";"22_malla_etrs89_20000_p.shp";"22130724"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";725;"Rótulo de marco 20000 de coordenadas ED50";"22_marco_ed50_20000_a.shp";"22130725"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";726;"Rótulo de marco 20000 de coordenadas ETRS89";"22_marco_etrs89_20000_a.shp";"22130726"
24;"Proyecto de obra";165;"Calzada en túnel proyecto";393;"Línea de calzada en túnel proyecto";"24_calzada_tunel_proyecto_l.shp";"24165393"
