TEMA;TEMA NOMBRE;ENTIDAD;ENTIDAD NOMBRE;ELEMENTO;ELEMENTO NOMBRE;NOMBRE;NIVEL
3;"Edificaciones, construcciones y cerramientos";36;"Zonas de Obras";350;"Delimitación de zona de obras";"03_zona_obras_l.shp";"03036350"
4;"Edificios singulares";38;"Edificio monumental";355;"Demititación de edificio monumental";"04_edificio_monumental_l.shp";"04038355"
4;"Edificios singulares";38;"Edificio monumental";53;"Recinto de edificio monumental";"04_edificio_monumental_p.shp";"04038053"
4;"Edificios singulares";37;"Edificio singular";352;"Delimitación de edificio singular";"04_edificio_singular_l.shp";"04037352"
4;"Edificios singulares";37;"Edificio singular";51;"Recinto de edificio singular";"04_edificio_singular_p.shp";"04037051"
4;"Edificios singulares";37;"Edificio singular";52;"Rótulo de edificio singular";"04_edificio_singular_a.shp";"04037052"
4;"Edificios singulares";177;"Edificio singular cultural / espectáculos";765;"Línea de edificio singular cultural / espectáculos";"04_edificio_singular_cultural_l.shp";"04177765"
4;"Edificios singulares";177;"Edificio singular cultural / espectáculos";701;"Recinto de edificio singular cultural / espectáculos";"04_edificio_cultural_p.shp";"04177701"
4;"Edificios singulares";177;"Edificio singular cultural / espectáculos";696;"Texto de edificio singular cultural / espectáculos";"04_edificio_singular_cultural_a.shp";"04177696"
4;"Edificios singulares";180;"Edificio Singular Público";766;"Línea de edificio singular público";"04_singular_publico_l.shp";"04180766"
4;"Edificios singulares";180;"Edificio Singular Público";700;"Polígono de edificio singular público";"04_edificio_publico_p.shp";"04180700"
4;"Edificios singulares";180;"Edificio Singular Público";699;"Texto edificio singular público";"04_edificio_publico_a.shp";"04180699"
4;"Edificios singulares";174;"Edificio singular religioso";755;"Línea de edificio religioso";"04_edificio_religioso_l.shp";"04174755"
4;"Edificios singulares";174;"Edificio singular religioso";690;"Recinto edificio singular religioso";"04_edificio_religioso_p.shp";"04174690"
4;"Edificios singulares";174;"Edificio singular religioso";691;"Texto de edificio singular religioso";"04_edificio_religioso_a.shp";"04174691"
5;"Parcelario";41;"Manzana Catastral Integrada";186;"Línea de manzana catastral integrada";"05_manzana_l.shp";"05041186"
5;"Parcelario";41;"Manzana Catastral Integrada";364;"Recinto de manzana";"05_manzana_p.shp";"05041364"
5;"Parcelario";42;"Parcela Catastral Integrada";388;"Línea de parcela";"05_parcela_l.shp";"05042388"
6;"Viario";45;"Acera e Isleta";60;"Línea de acera e isleta";"06_acera_l.shp";"06045060"
6;"Viario";45;"Acera e Isleta";787;"Línea de bolardos";"06_bolardos_l.shp";"06045787"
6;"Viario";45;"Acera e Isleta";61;"Recinto de acera e isleta";"06_acera_p.shp";"06045061"
6;"Viario";50;"Autopista, Autovía";67;"Línea de autopista, autovía en construcción";"06_autopista_autovia_construccion_l.shp";"06050067"
6;"Viario";50;"Autopista, Autovía";66;"Línea de autopista, autovía. Límite de asfalto";"06_autopista_autovia_l.shp";"06050066"
6;"Viario";50;"Autopista, Autovía";772;"Rótulo de autopista, autovía 1:5000";"06_autopista_autovia_5000_a.shp";"06050772"
6;"Viario";46;"Bordillo Interior";62;"Línea de bordillo interior";"06_bordillo_l.shp";"06046062"
6;"Viario";51;"Camino, Pista";68;"Línea de camino, pista.";"06_camino_pista_l.shp";"06051068"
6;"Viario";51;"Camino, Pista";715;"Rótulo de camino, pista 1:5000";"06_camino_pista_5000_a.shp";"06051715"
6;"Viario";52;"Carretera";304;"Línea de carretera";"06_carretera_l.shp";"06052304"
6;"Viario";52;"Carretera";305;"Línea de carretera en construcción";"06_carretera_en_construccion_l.shp";"06052305"
6;"Viario";52;"Carretera";679;"Texto de carretera";"06_carretera_a.shp";"06052679"
6;"Viario";49;"Rampa / Pasarela peatonal";65;"Línea de rampa y pasarela peatonal";"06_rampa_pasarela_l.shp";"06049065"
7;"Altimetría";55;"Curvas de nivel";72;"Línea de curva de nivel depresión directora";"07_curva_nivel_depresion_directora_l.shp";"07055072"
7;"Altimetría";55;"Curvas de nivel";73;"Línea de curva de nivel depresión normal";"07_curva_nivel_depresion_normal_l.shp";"07055073"
7;"Altimetría";55;"Curvas de nivel";74;"Línea de curva de nivel directora";"07_curva_nivel_directora_l.shp";"07055074"
7;"Altimetría";55;"Curvas de nivel";75;"Línea de curva de nivel normal";"07_curva_nivel_l.shp";"07055075"
7;"Altimetría";55;"Curvas de nivel";76;"Rótulo de Curva de nivel directora";"07_curva_nivel_directora_a.shp";"07055076"
7;"Altimetría";57;"Escarpado, Talud";78;"Línea de delimitación de área de ruptura altimétrica. Talud y escarpado";"07_talud_l.shp";"07057078"
7;"Altimetría";190;"Punto acotado sobre rasante o voladizo.";759;"Símbolo de punto acotado sobre rasante o voladizo.";"07_punto_acotado_rasante_pt.shp";"07190759"
7;"Altimetría";190;"Punto acotado sobre rasante o voladizo.";802;"Texto de punto acotado sobre rasante o voladizo.";"07_punto_acotado_sobre_rasante_a.shp";"07190802"
7;"Altimetría";56;"Punto acotado terreno";77;"Simbolo de punto acotado";"07_punto_acotado_pt.shp";"07056077"
7;"Altimetría";56;"Punto acotado terreno";805;"Texto de punto acotado";"07_punto_acotado_a.shp";"07056805"
8;"Hidrografía";59;"Canal";80;"Línea de canal";"08_canal_l.shp";"08059080"
8;"Hidrografía";59;"Canal";82;"Recinto de canal";"08_canal_p.shp";"08059082"
8;"Hidrografía";59;"Canal";81;"Rótulo de canal";"08_canal_a.shp";"08059081"
8;"Hidrografía";60;"Embalse";83;"Línea de embalse";"08_embalse_l.shp";"08060083"
8;"Hidrografía";60;"Embalse";84;"Recinto de embalse";"08_embalse_p.shp";"08060084"
8;"Hidrografía";198;"Estanque";793;"Línea de estanque";"08_estanque_l.shp";"08198793"
8;"Hidrografía";198;"Estanque";794;"Recinto de estanque";"08_estanque_p.shp";"08198794"
8;"Hidrografía";66;"Lámina de agua";763;"Línea de lámina de agua en fuentes, monumentos, campos de golf";"08_lamina_agua_l.shp";"08066763"
8;"Hidrografía";66;"Lámina de agua";96;"Recinto de lámina de agua en fuentes, monumentos, campos de golf";"08_lamina_agua_p.shp";"08066096"
8;"Hidrografía";172;"Otros texto de hidrología";681;"Texto genérico de hidrología";"08_hidrologia_a.shp";"08172681"
8;"Hidrografía";61;"Piscina";86;"Línea de piscina";"08_piscina_l.shp";"08061086"
8;"Hidrografía";61;"Piscina";87;"Recinto de piscina";"08_piscina_p.shp";"08061087"
8;"Hidrografía";63;"Río, Arroyo";92;"Línea de río y arroyo";"08_rio_arroyo_l.shp";"08063092"
8;"Hidrografía";63;"Río, Arroyo";93;"Recinto de río, arroyo";"08_rio_arroyo_p.shp";"08063093"
8;"Hidrografía";64;"Vaguada, barranco";94;"Línea de vaguada, barranco";"08_vaguada_barranco_l.shp";"08064094"
9;"Callejero";67;"Denominación de vía";709;"Rótulo de denominación de vial 1:5000";"09_rotulacion_viario_5000_a.shp";"09067709"
9;"Callejero";135;"Numeración";769;"Rótulo de numeración de direcciones 1:5000";"09_ndps_5000_a.shp";"09135769"
10;"Movilidad";80;"Carril bici";117;"Línea de carril bici";"10_carril_bici_l.shp";"10080117"
10;"Movilidad";80;"Carril bici";116;"Recinto de carril bici";"10_carril_bici_p.shp";"10080116"
10;"Movilidad";195;"Eje de vía de ferrocarril";786;"Eje de vía de ferrocarril";"10_eje_ferrocarril_l.shp";"10195786"
10;"Movilidad";72;"Ferrocarril";710;"Rótulo de ferrocarril 5000";"10_ferrocarril_5000_a.shp";"10072710"
10;"Movilidad";73;"Metro";717;"Rótulo de denominación de Estación de Metro 1:5000";"10_metro_5000_a.shp";"10073717"
10;"Movilidad";73;"Metro";107;"Símbolo de metro";"10_metro_pt.shp";"10073107"
10;"Movilidad";68;"Vía";101;"Línea de vía";"10_via_l.shp";"10068101"
11;"Medio Ambiente";150;"Área de Pista deportiva";35;"Línea de pista deportiva";"11_cancha_deportiva_l.shp";"11027035"
11;"Medio Ambiente";150;"Área de Pista deportiva";358;"Polígono de pista deportiva";"11_cancha_deportiva_p.shp";"11150358"
11;"Medio Ambiente";150;"Área de Pista deportiva";678;"Rótulo de pista deportiva";"11_pista_deportiva_a.shp";"11150678"
11;"Medio Ambiente";199;"Depuradora";795;"Línea de agua en depuradora";"11_agua_depuradora_l.shp";"11199795"
11;"Medio Ambiente";199;"Depuradora";796;"Recinto de agua en depuradora";"11_agua_depuradora_p.shp";"11199796"
11;"Medio Ambiente";95;"Parque";776;"Rotulo de parque 5000";"11_parque_5000_a.shp";"11095776"
11;"Medio Ambiente";90;"Senda";129;"Línea de senda";"11_senda_l.shp";"11090129"
11;"Medio Ambiente";96;"Vertedero, Escombrera, Cantera";342;"Línea de vertedero, escombrera, cantera";"11_limite_vertedero_escombrera_l.shp";"11096342"
11;"Medio Ambiente";96;"Vertedero, Escombrera, Cantera";136;"Recinto de vertedero, escombrera, cantera";"11_vertedero_escombrera_p.shp";"11096136"
11;"Medio Ambiente";96;"Vertedero, Escombrera, Cantera";137;"Rótulo de vertedero, escombrera, cantera";"11_vertedero_escombrera_a.shp";"11096137"
11;"Medio Ambiente";89;"Zona ajardinada";128;"Línea de zona ajardinada";"11_zona_ajardinada_l.shp";"11089128"
11;"Medio Ambiente";89;"Zona ajardinada";371;"Recinto de zona ajardinada";"11_zona_ajardinada_p.shp";"11089371"
11;"Medio Ambiente";89;"Zona ajardinada";685;"Recinto de zona ajardinada sobre patio";"11_zona_ajardinada_sobre_patio_p.shp";"11089685"
11;"Medio Ambiente";133;"Zona de uso de suelo definido";756;"Límite campo de golf";"11_campo_golf_l.shp";"11133756"
11;"Medio Ambiente";133;"Zona de uso de suelo definido";360;"Límite de uso suelo rústico";"11_limite_suelo_rustico_l.shp";"11133360"
11;"Medio Ambiente";133;"Zona de uso de suelo definido";182;"Rótulo de uso de suelo rústico";"11_suelo_rustico_a.shp";"11133182"
13;"Monumentos";106;"Monumento/Estatua/Fuente monumental";150;"Línea de monumento, estatua, fuente monumental o puerta.";"13_monumento_estatua_fuente_l.shp";"13106150"
13;"Monumentos";106;"Monumento/Estatua/Fuente monumental";151;"Recinto de monumento, estatua, fuente monumental o puerta.";"13_monumento_estatua_fuente_p.shp";"13106151"
13;"Monumentos";106;"Monumento/Estatua/Fuente monumental";760;"Rótulo de monumento, estatua, fuente monumental o puerta 1:5000";"13_monumento_estatua_fuente_5000_a.shp";"13106760"
21;"Toponimia y rotulación auxiliar";126;"Área genérica sin especificar";172;"Rótulo de área genérica sin especificar";"21_area_generica_a.shp";"21126172"
21;"Toponimia y rotulación auxiliar";201;"Rótulación genérica de elemento común";798;"Rótulo genérico de elemento común.";"21_rotulo_generico_elemento_comun_a.shp";"21201798"
21;"Toponimia y rotulación auxiliar";129;"Urbanización";719;"Rótulo de urbanización 1:5000";"21_urbanizacion_5000_a.shp";"21129719"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";762;"Linea de cruceta o rejilla de coordenadas";"22_cruceta_coordenadas_p.shp";"22130762"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";711;"Polígono de marco 5000 con coordenadas ED50";"22_malla_ed50_5000_p.shp";"22130711"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";712;"Polígono de marco 5000 con coordenadas ETRS89";"22_malla_etrs89_5000_p.shp";"22130712"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";713;"Rótulo de marco 5000 de coordenadas ED50";"22_marco_ed50_5000_a.shp";"22130713"
22;"Elementos auxiliares";130;"Marco de hoja cartográfica";714;"Rótulo de marco 5000 de coordenadas ETRS89";"22_marco_etrs89_5000_a.shp";"22130714"
24;"Proyecto de obra";165;"Calzada en túnel proyecto";393;"Línea de calzada en túnel proyecto";"24_calzada_tunel_proyecto_l.shp";"24165393"
