"dc:description";"dc:identifier";"dc:modified";"dc:title";"geo:lat";"geo:long";"id";"lpgc:acceso";"lpgc:accesomapas";"lpgc:categoria";"lpgc:contacto";"lpgc:corriente";"lpgc:dificultad";"lpgc:direccion";"lpgc:lugar";"lpgc:pois";"lpgc:profundidadmaxima";"lpgc:profundidadmedia";"lpgc:servicios";"lpgc:telefono";"lpgc:tiempoestimado";"lpgc:tipo";"lpgc:web"
"Playa Chica";"329";"2017-10-31 04:04:40";"Playa Chica (snorkel)";"28.1403106";"-15.4360676";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/329";"";"Desde tierra";"Spots de Buceo";"";"";"Baja";"";"Playa de Las Canteras";"28.1403106,-15.4360676";"5m";"2m";"";"";"";"";""
"Kinder Island o J.J. este es otro de los pecios que pueden ser visitados en la zona de La Isleta muy cerca del puerto de Las Palmas.Cabe destacar, que por estar cerca del pecio Ángela Pando estos dos barcos han sido confundidos por largo tiempo, por lo que en algunas guías de buceo el KosIsland o 'J.J.' aparece con el nombre de Ángela Pando.Para llegar hasta este punto de buceo es necesario un bote, y tomar en cuenta las condiciones del mar. Debido a que se encuentra a poca distancia de la costa, el fuerte oleaje o las corrientes pueden dificultar la realización de esta inmersión. Este naufragio se encuentra partido a la mitad y esparcido sobre un fondo rocoso que alcanza los 35 mt de profundidad, aunque la parte más profunda del pecio está a 23 mt.Lo más llamativo de este pecio es que conserva su inmensa hélice, lo cual es poco habitual en un barco hundido. Realizar la penetración del barco es complicado por el daño sobre la estructura causado por las corrientes, aunque es posible entrar en ciertas partes. Como es común en toda la isla, los erizos de púas largas (Diadema antillarum) rodean la estructura y el fondo del lugar, pero las langostas canarias, catalufas y tamboriles habitan entre los restos del barco. Algunos pelágicos como jureles, medregales y barracudas pueden ser vistas también durante la inmersión. ";"325";"2017-10-31 04:04:40";"Kos Island (antes Kinder)";"28.1619805";"-15.4419602";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/325";"";"Desde embarcación";"Spots de Buceo";"";"";"Media";"";"Zona Este de la Isleta";"28.1619805,-15.4419602";"35m";"20m";"";"";"";"";""
"El Charcón";"550";"2017-10-31 04:04:40";"El Charcón (snorkel)";"28.1403106";"-15.4360676";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/550";"";"Desde tierra";"Spots de Buceo";"";"";"Baja";"";"Playa de Las Canteras";"28.1403106,-15.4360676";"5m";"2m";"";"";"";"";""
"Los Lisos";"552";"2017-10-31 04:04:40";"Los Lisos (snorkel)";"28.1403106";"-15.4360676";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/552";"";"Desde tierra";"Spots de Buceo";"";"";"Baja";"";"Playa de Las Canteras";"28.1403106,-15.4360676";"5m";"2m";"";"";"";"";""
"Ángela Pando";"383";"2017-10-31 04:04:40";"Ángela Pando";"";"";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/383";"";"";"Spots de Buceo";"";"";"Media/Alta";"La Isleta";" Muelle de la Esfinge";"";"25m";"20m";"";"";"";"";""
"Roque Ceniciento";"381";"2017-10-31 04:04:40";"Roque Ceniciento";"";"";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/381";"";"";"Spots de Buceo";"";"escasa";"Alta";"";"";"";"12m";"12m";"";"";"";"";""
"";"380";"2017-10-31 04:04:40";"Baja del Becerro";"";"";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/380";"";"";"Spots de Buceo";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"382";"2017-10-31 04:04:40";"Gruta de la Burbuja";"";"";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/382";"";"";"Spots de Buceo";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"384";"2017-10-31 04:04:40";"3 Pecios (Soo Yang 'Narcótico', Cabotero y Clavado)'";"";"";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/384";"";"";"Spots de Buceo";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"385";"2017-10-31 04:04:40";"Korsakov 'El Frigorífico'";"";"";"http://datosabiertos.laspalmasgc.es/api/datos/buceo/385";"";"";"Spots de Buceo";"";"";"";"";"";"";"";"";"";"";"";"";""
