"INVENTARIO","NOMBRE","VIAL","CALLE","NUMERO","BAJA"
76,"BALNEARIO PLAYA DE LAS CANTERAS FRENTE CL. GOMERA","PASEO","DE LAS CANTERAS","","N"
77,"ALGIBE DE AGUA POTABLE PARA ASEOS Y LOCALES","PASEO","DE LAS CANTERAS","","N"
78,"PALACETE ""RODRIGUEZ QUEGLES""","CALLE","BENITO PEREZ GALDOS, ESCRITOR","4","N"
80,"POLIDEPORTIVO FELIX SANTANA SANTANA (ANTES OBISPO FRIAS)","ISLETA","PLAZA OBISPO FRIAS","","N"
81,"SOLAR JUNTO AL DEPOSITO REGULADOR DEL LOMO DEL POLVO","CALLE","GUSTAVO J. NAVARRO NIETO","","N"
82,"GIMNASIO ESCALERITAS Y SERVICIO DE TRAFICO Y TRANSPORTES","CALLE","CARLOS M. BLANDY","51","N"
83,"CASA EN CL. TRIANA  70  (SIN USO)","CALLE","TRIANA","70","N"
84,"FINCA EN JINAMAR","CALLE","NO VIAL","","N"
85,"SOLAR EN SAN NICOLAS","CALLE","NOGAL","23","N"
93,"MERCADO DE ALTAVISTA","CALLE","JUAN RAMON JIMENEZ","45","N"
96,"VERTEDERO DE BASURA SALTO DEL NEGRO","LUGAR","SALTO DEL NEGRO","S/N","N"
97,"CAMPO DE LUCHA CUBIERTO ""LA GALLERA""","CALLE","ORTIZ DE ZARATE","","N"
101,"CASA DE LA CULTURA DE TENOYA (ANTIGUAS ESCUELAS)","CALLE","EL MOLINO TENOYA","81","N"
102,"SERVICIO MUNICIPAL DE LIMPIEZA","CALLE","AGAETE","12 -- 14","N"
104,"SOLAR DE LOS LOCALES, APARCAMIENTOS Y PLAZA EN LA PUNTILLA","CALLE","ALONSO DE OJEDA","","N"
108,"PRESA DEL ZARDO O DE MARTINON, HOY EN PARTE CAMPO DE FUTBOL","LUGAR","HOYA PONCE","","N"
109,"POLIDEPORTIVO ""LEONCIO CASTELLANO"" - TAMARACEITE","CALLE","SAN GABRIEL","11","N"
112,"CENTRO MUNICIPAL DE DEPORTES Y PISCINA 29 DE ABRIL","CALLE","MARIUCHA","82","N"
113,"LOCAL EN COLEGIO SAN LORENZO","CALLE","ANTONIO MARTEL RODRIGUEZ","5","N"
114,"SOLAR DE LA ESTACION DE GUAGUAS Y PLAZA DE LOS ESCRITORES","PLAZA","DE LOS ESCRITORES","","N"
115,"SOLAR EN CR. DEL NORTE , BARRANQUILLO DE MATA","CARRETERA","DEL NORTE","","N"
116,"SOLAR Y CASA EN CARRETERA DE MATA","CARRETERA","DE MATA","61","N"
118,"LOCAL SOCIAL EN SAN NICOLAS, CL. SAN NICOLAS 24","CALLE","SAN NICOLAS","24","N"
119,"DEPURADORA DE TAMARACEITE","LUGAR","LAS MAJADILLAS BAJAS","","N"
120,"DEPURADORA DE TENOYA","LUGAR","CASA AYALA","","N"
121,"SOLAR EN VEGUETA PARA ESPACIO LIBRE/APARCAMIENTO","CALLE","RAMON Y CAJAL","10","N"
123,"SOLAR MERCADO DE TAFIRA (HOY APACAMIENTOS, JARDINES Y SOLAR)","CAMINO","VIEJO LA CALZADA","S/N","N"
124,"PARTE SOLAR EN TRIANA PARA NUEVO CONSERVATORIO","CALLE","GENERAL BRAVO","","N"
128,"RESIDENCIA HENEQUEN","CALLE","INES CHEMIDA","55","N"
129,"CAMPO DE FUTBOL ""MANUEL BRITO"" EN LAS MESAS","CALLE","PINTOR ANTONIO PADRON","","N"
132,"POLIDEPORTIVO JUAN BELTRAN SIERRA","CALLE","JOAQUIN BELON","S/N","N"
133,"SOLAR EN LAS MESAS PARA ESPACIOS LIBRES","CALLE","POETISA AGUSTINA ROMERO ""LA P","5","N"
134,"PARCELA EN LOMO VERDEJO SOBRANTE DE PLAZA PUBLICA","CALLE","LOMO VERDEJO","","N"
135,"LOCAL SOCIAL DE CASA AYALA (Y PLAZA)","LUGAR","CASA AYALA","","N"
138,"SOLAR EN TAMARACEITE PARA ACCESOS Y APARCAMIENTOS","CALLE","SAN LUCAS","3","N"
139,"SOLAR EN ALMATRICHE","CALLE","LENTISCO","13","N"
140,"SOLAR EN LA ISLETA","CALLE","FARO","115","N"
141,"SOLAR EN LUGAREJO SOBRANTE VIA PUBLICA","DISEMINADOS","LUGAREJO","","N"
146,"SOLAR EN EL BARRANQUILLO DE DON ZOILO SOBRANTE VIA PUBLICA","ESPACIO LIBRE","205 NO EJECUTADO","","N"
147,"PARCELA 7 PLAN PARCIAL LOS PAULES","CALLE","ACONCAGUA","7","N"
149,"PARCELA 9  P.P.  LOS PAULES  - APARCAMIENTO CL. LOS ANDES","CALLE","LOS ANDES","S/N","N"
150,"PARCELA 10  P.P.  LOS PAULES  - APARCAMIENTO CL. LOS ANDES","CALLE","LOS ANDES","10","N"
153,"SOLAR EN SAN JUAN, CL. REAL DE SAN ROQUE 6","CALLE","REAL DE SAN ROQUE","6","N"
154,"SOLAR PARA USO CULTURAL Y ESPACIOS LIBRES EN CL. PEREZ MU�OZ","CALLE","PEREZ MU�OZ","3","N"
156,"PARCELA 327 PLAN PARCIAL CIUDAD DEL CAMPO - CULTURAL","CARRETERA","NUEVA SAN LORENZO","","N"
157,"PARCELA 328 PLAN PARCIAL CIUDAD DEL CAMPO","CARRETERA","NUEVA SAN LORENZO","","N"
159,"DEPURADORA DE EL FONDILLO","CALLE","NO VIAL","","N"
160,"TERRENO EN SAN CRISTOBAL - EQUIPAMIENTO EDUCATIVO","AVENIDA","DE CANARIAS","","N"
161,"COLEGIO ALCARAVANERAS","CALLE","BARCELONA","4","N"
164,"RESTO PARCELA 38 PLAN PARCIAL SAN LAZARO - LA PALMA","AVENIDA","PINTOR FELO MONZON","","N"
171,"PARCELA ""B"" DE LA PARCELA 70  P.P. SAN LAZARO - LA PALMA","AVENIDA","ESCALERITAS","","N"
176,"PAR 75 P.P. SAN LAZARO-LA PALMA - COLEGIO SIETE PALMAS","CALLE","LAS BORRERAS","2","N"
179,"COLEGIO MARTIN CHIRINO (ANTES SIETE PALMAS II)","CALLE","LOMO LA PLANA","","N"
183,"PARCELA 82 PLAN PARCIAL SAN LAZARO - LA PALMA","CALLE","LOMO SAN LAZARO","","N"
184,"PARCELA 83 P.P. S LAZARO-LA PALMA-SOCIAL 6 (RESTO)","CALLE","LOMO LA PLANA","","N"
192,"PARCELA 91 PLAN PARCIAL SAN LAZARO - LA PALMA","CALLE","HOYA DEL ENAMORADO","","N"
193,"PARCELA 92 PLAN PARCIAL SAN LAZARO-LA PALMA","CALLE","HOYA DEL ENAMORADO","","N"
200,"PARCELA 99 PLAN PARCIAL SAN LAZARO - LA PALMA","AVENIDA","PINTOR FELO MONZON","","N"
201,"PARCELA 100 PLAN PARCIAL SAN LAZARO - LA PALMA","CALLE","GUSTAVO J. NAVARRO NIETO","S/N","N"
202,"SOLAR DEL MERCADO PROVISIONAL DEL PUERTO","CALLE","AGUSTIN MILLARES SALL, POETA","","N"
203,"PARCELA EN EL PUERTO DE LA LUZ - SERVICIOS SOCIALES","CALLE","JUAN REJON","S/N","N"
204,"ANTIGUO POLIDEPORTIVO EXTREMADURA Y SOLAR ANEXO","CALLE","HOYA DEL ENAMORADO","","N"
208,"PARCELA 5 PLANO 2 CONVENIO CASILLAS DE LA VEGA  (E)","CALLE","URBANIZACION LOS ALISIOS","S/N","N"
210,"ALMACEN MUNICIPAL DE LAS TORRES","CALLE","JUNCO","","N"
211,"PARCELA 2 SECTOR NORTE LOMO BLANCO INDUSTRIAL","URBANIZACION","LAS TORRES EXTERIOR","","N"
212,"CANCHA DEPORTIVA PARCELA 4 SECTOR N LOMO BLANCO INDUSTRIAL","CALLE","ALDEA BLANCA","2","N"
217,"VIALES URBANIZACION LOS NISPEREROS, ALMATRICHE (E)","CARRETERA","DE ALMATRICHE","","N"
218,"VIALES DE LA URBANIZACION LADERA ALTA SECTOR SUR (E)","CALLE","MANUEL GALVAN RODRIGUEZ","","N"
219,"VIALES DE LA URBANIZACION LADERA ALTA SECTOR NORTE (E)","CALLE","MANUEL GALVAN RODRIGUEZ","","N"
223,"PARCELA ED.1 ANTIGUO PLAN PARCIAL LADERA ALTA","CALLE","MANUEL GALVAN RODRIGUEZ","","N"
225,"PARCELA EN LAS MESAS","CALLE","ESCULTOR PLACIDO FLEITAS","","N"
229,"CASA DEL MEDICO","CALLE","SAN BORONDON","10","N"
230,"CASA DEL MARINO","CALLE","LEON Y CASTILLO","322","N"
231,"ALBERGUE MUNICIPAL - RESIDENCIA GANIGO","CALLE","DOCTOR MIGUEL ROSAS","23","N"
233,"PROTECCION CIVIL Y POLICIA LOCAL PARQUE SANTA CATALINA","PARQUE","SANTA CATALINA","","N"
234,"LOCAL SOCIAL EN QUILMES ( ANTES POLICIA DISTRITO IX)","CALLE","TUCUMAN","3B","N"
236,"CANCHAS DEPORTIVAS EN TENOYA","CAMINO","DE TENOYA","90","N"
237,"SOLAR CALLE TORMENTO 7  (VIAL Y SOBRANTE DE VIA PUBLICA)","CALLE","TORMENTO","7","N"
238,"COCHERAS Y TALLERES DE LAS GUAGUAS MUNICIPALES","CALLE","PROFESOR LOZANO","","N"
239,"SOLAR CULTURAL EN QUILMES (UTILIZADO COMO APARCAMIENTO)","CALLE","TUCUMAN","","N"
241,"POLIDEPORTIVO JARDIN DE INFANCIA","CALLE","TINGUARO","20","N"
242,"BALNEARIO MUNICIPAL DE LAS CANTERAS","PASEO","DE LAS CANTERAS","","N"
245,"CANCHAS DEPORTIVAS EN SAN JUAN","CALLE","REAL DE SAN JUAN","52","N"
246,"FINCA EL MORAL, SAN JUAN. ZONA SUR (FINCA DOMINGUITO)","CALLE","REAL DE SAN JUAN","40","N"
248,"PARCELA DE USO SANITARIO EN LAS MESAS","CALLE","ESCULTOR PLACIDO FLEITAS","","N"
250,"LAS PALMAS. TERRENO Y SONDEO FUENTE MORALES","CARRETERA","DE ALMATRICHE","","N"
263,"PARCELA CULTURAL EN LUGAREJO","CALLE","PLACIDO ARBELO","","N"
265,"TERRENOS PARA GRAN DEPOSITO REGULADOR DE EL SABINAL","CALLE","NO VIAL","","N"
266,"ESPACIO DEPORTIVO EN LAS CANTERAS, CALLE VELARDE","PLAZA","FERNANDO ORTIZ WIOT, ALCALDE","","N"
267,"ANTIGUA PARCELA ""D"" PLAN PARCIAL POL. MILLER RESIDENCIAL","CALLE","JUAN SARAZA ORTIZ","","N"
268,"OAC, SERVICIOS SOCIALES, PROT. CIVIL Y LOCAL SOCIAL D CENTRO","CALLE","CALZADA LATERAL DEL NORTE","35","N"
269,"PARTE OESTE DEL ESTUDIO DE DETALLE 11","CALLE","FRANCISCO HERNANDEZ GUERRA","","N"
271,"SOLAR PARA CENTRO DE SALUD EN MARZAGAN","CALLE","PLANAS DE POESIA","12","N"
272,"ESTACION DE BOMBEO  DE AGUAS RESIDUALES DE COSTA AYALA","CALLE","MAR BONITA","12","N"
273,"VIVIENDA EN COSTA AYALA (AHORA SOLAR)","CALLE","MAR BONITA","8","N"
274,"VIVIENDA EN COSTA AYALA (AHORA SOLAR)","CALLE","MAR BONITA","10","N"
276,"UNIVERSIDAD POPULAR DE LOMO BLANCO","CALLE","SAN JOSE ARTESANO","23","N"
277,"CAMPO DE FUTBOL EN LOMO BLANCO","CALLE","ANA MARIA MARGENAT","24D","N"
282,"PARCELA DE LA U. A . 2  LA ISLETA - LAZARETO PARA CALLES","CALLE","ATINDANA","","N"
283,"CENTRO INFORMACION-ASISTENCIA SOCIAL LA ISLETA (BIBLIOTECA)","CALLE","LA NAVAL","229A","N"
284,"NAVE DE LIMPIEZA EN CUESTA RAMON - JINAMAR","CARRETERA","CUESTA RAMON","","N"
287,"TERRENO PARA ACCESO AL COLEGIO ASTURIAS","LUGAR","COSTA AYALA","","N"
288,"ANTIGUO COLEGIO LOMO LOS FRAILES (BIBLIOTECA)","CALLE","JERICO","7","N"
289,"EXPLANADA STAGNO-ESTACION BOMBEO DE AGUAS RESIDUALES TEATRO","CALLE","MIGUEL DE CERVANTES","","N"
290,"ANTIGUO MERENDERO LOPEZ SOCAS","CALLE","JUAN RAMON JIMENEZ","10","N"
299,"CANCHA DEPORTIVA ELISEO OJEDA (248 VIV. ESCALERITAS)","CALLE","CANONIGO AZOFRA DEL CAMPO","16","N"
300,"POLIDEPORTIVO RODRIGUEZ MONROY (248 VIV. ESCALERITAS)","CALLE","DEAN RODRIGUEZ BOLAYOS","25","N"
302,"80 VIVIENDAS DE ESCALERITAS (QUEDAN 9)","CALLE","OBISPO ROMO","17 A 25","N"
303,"SUBGRUPO 1 DE LAS 238 VIVIENDAS DE SCHAMANN (QUEDA 1)","CALLE","LOS AYACUCHOS","16","N"
305,"SUBGRUPO 3 DE LAS 238 VIVIENDAS DE SCHAMANN (QUEDA 1)","CALLE","ANTON CABALLERO","57","N"
307,"SUBGRUPO 5 DE LAS 238 VIVIENDAS DE SCHAMANN (QUEDAN 4)","CALLE","LOS AYACUCHOS","21 A 29","N"
308,"SUBGRUPO 6 DE LAS 238 VIVIENDAS DE SCHAMANN (QUEDAN 2)","CALLE","EL AUDAZ","26 A 34","N"
309,"SUBGRUPO  7 DE LAS 238 VIVIENDAS DE SCHAMANN (QUEDAN 7)","CALLE","ALCESTE","26 A 34","N"
311,"SUBGRUPO 1 DE LAS 174 VIVIENDAS DE SCHAMANN (QUEDA 1)","CALLE","DOCTOR JIMENEZ NEYRA","31","N"
312,"SUBGRUPO 2 DE LAS 174 VIVIENDAS DE SCHAMANN (QUEDA 1)","CALLE","JUAN FONTAN","19","N"
313,"SUBGRUPO 3 DE LAS 174 VIVIENDAS DE SCHAMANN (QUEDA 1)","CALLE","RAFAEL MESA Y LOPEZ","23","N"
314,"SUBGRUPO 4 DE LAS 174 VIVIENDAS DE SCHAMANN (QUEDA 1)","CALLE","JUAN FONTAN","42","N"
316,"SUBGRUPO 6 DE LAS 174 VIVIENDAS DE SCHAMANN (QUEDA 1)","CALLE","EL AUDAZ","9","N"
319,"SUBGRUPO 9 DE LAS 174 VIVIENDAS DE SCHAMANN (QUEDA 1)","CALLE","LOS AYACUCHOS","10","N"
324,"BLOQUE 3 GRUPO 76 VIVIENDAS "" N. SRA DEL CARMEN"" (QUEDAN 2)","CALLE","CORONEL ROCHA","2-- 3","N"
327,"TERRENO EN EL LASSO","CALLE","NO VIAL","","N"
339,"SUBGRUPO 1 DE LAS 248 VIVIENDAS DE ESCALERITAS (QUEDA 1)","AVENIDA","ESCALERITAS","61","N"
340,"SUBGRUPO 2 DE LAS 248 VIVIENDAS DE ESCALERITAS (QUEDA 1)","CALLE","DOCTOR TOMAS GARCIA GUERRA","29","N"
343,"SUBGRUPO 5 DE LAS 248 VIVIENDAS DE ESCALERITAS (QUEDA 1)","AVENIDA","ESCALERITAS","67","N"
344,"SUBGRUPO 6 DE LAS 248 VIVIENDAS DE ESCALERITAS (QUEDA 1)","AVENIDA","ESCALERITAS","71","N"
345,"SUBGRUPO 7 DE LAS 248 VIVIENDAS DE ESCALERITAS (QUEDAN 2)","CALLE","DEAN RODRIGUEZ BOLAYOS","31","N"
349,"SUBGRUPO 11 DE LAS 248 VIVIENDAS DE ESCALERITAS (QUEDA 1)","AVENIDA","ESCALERITAS","81--83","N"
351,"SUBGRUPO 2 DE LAS 220 VIVIENDAS DE ESCALERITAS (QUEDAN 3)","CALLE","TEOBALDO POWER","14--18--20","N"
354,"SUBGRUPO 5 DE LAS 220 VIVIENDAS DE ESCALERITAS (QUEDA 1 )","PLAZA","ALVARADO Y SAZ","1 --2","N"
356,"SUBGRUPO 7 DE LAS 220 VIVIENDAS DE ESCALERITAS (QUEDA 1)","CALLE","TEOBALDO POWER","4","N"
357,"SUBGRUPO 8 DE LAS 220 VIVIENDAS DE ESCALERITAS (QUEDA 1)","CALLE","TEOBALDO POWER","21--23","N"
359,"SUBGRUPO 10 DE LAS 220 VIVIENDAS DE ESCALERITAS (QUEDAN 2)","CALLE","TEOBALDO POWER","11 -- 13","N"
362,"BLOQUE 2 DE LAS 88 VIVIENDAS DE ESCALERITAS (QUEDA 1)","CALLE","OBISPO CERVERA","10","N"
364,"BLOQUE 4 DE LAS 88 VIVIENDAS DE ESCALERITAS (QUEDA 1)","CALLE","OBISPO CERVERA","4","N"
369,"COLEGIO LAS CANTERAS","CALLE","AMERICO VESPUCIO","39","N"
370,"I.E.S. FRANCHY ROCA (ANTES COLEGIO)","CALLE","TINGUARO","17","N"
371,"COLEGIO LEON Y CASTILLO Y U.P. DISTRITO ISLETA","CALLE","OSORIO","56","N"
372,"COLEGIO GALICIA","CALLE","DON QUIJOTE DE LA MANCHA","43","N"
373,"ESCUELA INFANTIL LA CARRUCHA","CALLE","CORONEL ROCHA","45","N"
374,"ANTIGUO COLEGIO LAS COLORADAS","CALLE","VERONICA","1","N"
375,"I.E.S. TOMAS MILLER ( ANTES COLEGIO NAVARRA)","CALLE","JUAN SARAZA ORTIZ","2","N"
376,"COLEGIO EL DRAGO","CALLE","ATAULFO ARGENTA","38","N"
377,"COLEGIO ALCALDE JOSE RAMIREZ BETHENCOURT","CALLE","JUAN SARAZA ORTIZ","4","N"
378,"I.E.S. FRANCISCO HERNANDEZ MONZON (ANTES COLEGIO)","CALLE","ATAULFO ARGENTA","36","N"
379,"COLEGIO GUINIGUADA","CALLE","ALAMO","54","N"
380,"COLEGIO PINTOR NESTOR - PARCELA 6 PLAN PARCIAL LOS PAULES","CALLE","PARANA","2","N"
381,"COLEGIO LAURISILVA","CALLE","MANUEL DE FALLA","S/N","N"
382,"COLEGIO LOS TARAHALES","CARRETERA","DE LOS TARAHALES","S/N","N"
383,"UNIVERSIDAD POPULAR LA PATERNA (ANTES COLEGIO NUEVA PATERNA)","CALLE","MANUEL DE FALLA","S/N","N"
384,"COLEGIO ADELA SANTANA","CALLE","MAGNOLIAS","12","N"
385,"COLEGIO SALVADOR MANRIQUE DE LARA","CALLE","BRUNO NARANJO DIAZ","13","N"
386,"COLEGIO SAN JOSE ARTESANO I Y II","CALLE","OBISPO PILDAIN ZAPIAIN","S/N","N"
387,"LOCALES SOCIALES EN EL ANTIGUO COLEGIO TAMARAN","CALLE","LA MATULA","9","N"
388,"ANTIGUO COLEGIO LOS HOYOS (HOY LOCAL)","CALLE","LA CULTURA","S/N","N"
389,"COLEGIO MURCIA (AHORA INTEGRADO EN EL OMAYRA SANCHEZ)","CARRETERA","DE MARZAGAN","S/N","N"
390,"ANTIGUO COLEGIO SALTO DEL NEGRO (UTILIZADO POR EL IMEF)","CALLE","MONTERREY","","N"
391,"COLEGIO OMAYRA SANCHEZ","CARRETERA","DE MARZAGAN","S/N","N"
392,"COLEGIO LA CALZADA","CAMINO","AL BARRANCO","S/N","N"
393,"COLEGIO CAMILO JOSE CELA","CALLE","CAMILO JOSE CELA","23","N"
394,"SOLAR DEL ANTIGUO COLEGIO HOYA DEL PARRADO","CUESTA","DEL PARRADO","S/N","N"
395,"COLEGIO EUROPA","URBANIZACION","POLIGONO JINAMAR, FASE III","","N"
396,"ANTIGUO COLEGIO SIETE PUERTAS (HOY CENTRO MENORES CABILDO)","LUGAR","PALMA DE SIETE PUERTAS","20","N"
397,"COLEGIO CARLOS NAVARRO RUIZ (AHORA ALISIOS, UNIDO 24 JUNIO)","PASEO","DE SAN JOSE","290","N"
398,"COLEGIO PROFESOR SANTIAGO SAENZ TEJERA (AHORA U.P. CONO SUR)","CALLE","SANTIAGO TEJERA OSSAVARRY","8","N"
399,"COLEGIO CERVANTES","CALLE","GRANADERA CANARIA","11","N"
400,"COLEGIO 24  DE JUNIO (AHORA ALISIOS, JUNTO C. NAVARRO RUIZ)","CALLE","DOCTOR SVENTENIUS","1","N"
401,"ANTIGUO COLEGIO SAN ROQUE (HOY IMEF)","CALLE","PARROCO SEGUNDO VEGA","64","N"
402,"I.E.S. RAMON MENENDEZ PIDAL  (ANTES COLEGIO)","CALLE","DEBUSSY","1","N"
403,"COLEGIO LEON","URBANIZACION","EL LASSO","","N"
405,"COLEGIO ISLAS BALEARES","CALLE","MALAGA","46","N"
406,"I.E.S. ISLAS CANARIAS (ANTES COLEGIO)","CALLE","ALICANTE","34","N"
407,"ESCUELA INFANTIL PRINCESA TENESOYA","CALLE","DEBUSSY","1B","N"
408,"COLEGIO ARAGON (EL BATAN)","CALLE","ALEXIS CARREL","45","N"
409,"COLEGIO BATERIA DE SAN JUAN (Y BIBLIOTECA)","CALLE","BATERIA DE SAN JUAN","1","N"
410,"ESCUELA INFANTIL EL LASSO ""DUMBO""","URBANIZACION","EL LASSO","6","N"
411,"ANTIGUO COLEGIO PREESCOLAR ZARATE","CALLE","FRANCISCO INGLOTT ARTILES","33A","N"
412,"I.E.S. EL BATAN (ANTES COLEGIO)","CALLE","ERNEST HEMINGWAY","39","N"
413,"COLEGIO DOCTOR JUAN NEGRIN","CALLE","CONC. ANDRES ALVARADO JANINA","3","N"
