"INVENTARIO","NOMBRE","DESCRIPCION"
43,"PASTORES","PASTORES TOCANDO LA FLAUTA Y ASNO DANDO COCES. OLEO SOBRE LIENZO PEGADO A PAREDES. AUTOR: JESUS ARENCIBIA"
44,"CAZA","REPRESENTACION DE LA CAZA Y CORONACION DE FLORES.    OLEO SOBRE LIENZO PEGADO A PAREDES. AUTOR: JESUS ARENCIBIA"
45,"CAZA Y PESCA","ALEGORIA DE LA CAZA Y LA PESCA.    OLEO SOBRE LIENZO PEGADO A LA PARED. AUTOR: JESUS ARENCIBIA"
46,"PESCADORES","PESCADORES VIENDO TIERRA. OLEO SOBRE LIENZO PEGADO A LA PARED ( CURVADA ). AUTOR: JESUS ARENCIBIA"
47,"PESCADORES","PESCADORES.   OLEO SOBRE LIENZO DE MEDIO PUNTO PEGADO A LA PARED. AUTOR: JESUS ARENCIBIA"
48,"CAZA DEL JABALI","CAZADOR CON PERROS PORTANDO UN JABALI.   OLEO SOBRE LIENZO PEGADO A LA PARED. AUTOR: JESUS ARENCIBIA"
49,"BARCO DE VELA","MUJER, HOMBRE Y NI�O CON UN BARCO DE VELA EN LA MANO. OLEO SOBRE LIENZO PEGADO A LA PARED. AUTOR: JESUS ARENCIBIA"
50,"EL NUBLO DESDE TEJEDA","OLEO SOBRE LIENZO - PAISAJE DE LA CUMBRE CON EL ROQUE NUBLO.   AUTOR MARTIN GONZALEZ. 1,18 X 1,88M"
51,"DESNUDO","ESCULTURA EN BRONCE DE UNA JOVEN DESNUDA.    ALTURA APROXIMADA 1 M.   AUTOR: EDUARDO GREGORIO"
52,"MUJERES","MURAL SOBRE FIELTRO DE 0,50 X 1,20 M.   CAMPESINAS DESCANSANDO  AUTOR: SANTIAGO SANTANA"
53,"SIN TITULO (CAMPESINAS)","MURAL SOBRE FIELTRO DE 0,50 X 1,20 M. CAMPESINAS CON CESTAS.   AUTOR: SANTIAGO SANTANA"
54,"SIN TITULO (CAMPESINAS)","MURAL SOBRE FIELTRO DE 0,50 X 1,20 M. DE DOS CAMPESINAS RECLINADAS EN EL CAMPO.   AUTOR SANTIAGO SANTANA"
55,"APOLO, TALIA Y MELPOMENE","DIBUJO PARA LA ESCENA CENTRAL DEL FRISO SOBRE EL ESCENARIO DEL TEATRO PEREZ GALDOS: APOLO, TALIA Y MELPOMENE, CON SEIS PUTTI. AUTOR NESTOR MARTIN-FERNANDEZ  DE LA TORRE (1928)"
56,"16 ESCUPUS ELIPTICOS","16 ESCUPUS ELIPTICOS CON UN ANGELOTE PORTANDO FRUTAS. AUTOR: NESTOR DE LA TORRE"
57,"JOVENES RODEADOS DE LOROS Y FRUTOS","JOVENES RODEADOS DE LOROS Y FRUTOS.   OLEO PINTADO SOBRE LIENZO PEGADO A LA PARED. AUTOR: NESTOR DE LA TORRE, 1928"
58,"ALFREDO KRAUS","BUSTO DEL TENOR ALFREDO KRAUS, EN BRONCE, SOBRE PEDESTAL DE MADERA. AUTOR: J. L. M. C  (1991)"
59,"TRES IMAGENES DE NUESTRA SE�ORA DEL PINO","TRES IMAGENES DE LA VIRGEN PINTADA SOBRE AZULEJOS. AUTOR: FRANCISCO MENSAQUE RODRIGUEZ 1969. 3 CUADROS DE 0,60 X 0,40M CADA UNO"
60,"EL ORO VA POR DELANTE","ABSTRACTO: OLEO SOBRE CARTON 1,25 X 1,25M. CIRCULOS SUPERPUESTOS SOBRE FONDO ROJO. AUTOR: EMILIO DEL BARCO 1989"
61,"DOS PARA LA UNA","ABSTRACTO .OLEO SOBRE CARTON 1,25 X 1,25M.  LUNA, SOLES, MONTA�AS. AUTOR: EMILIO DEL BARCO 1989"
62,"JUAN RODRIGUEZ DORESTE","CABEZA EN BRONCE. AUTOR: JUAN DELGADO"
63,"ESCULTURA DE MUJER","ESCULTURA MUJER EN ESCAYOLA COLOR BEIGE"
64,"TRIPTICO DE LOS ARCANGELES","OLEO SOBRE LIENZO DE 1,10 X 1,88. CON MARCO DE MADERA. AUTOR JESUS ARENCIBIA"
65,"ESCENA GROTESCA - LA BODA DE UNA BRUJA","CEREMONIA DE LA BODA.    OLEO SOBRE LIENZO CON MARCO DE MADERA.    AUTOR: RUBEN DARIO VELAZQUEZ"
66,"PICTOGRAMAS CANARIOS (PINTADERAS)","SPRAY SOBRE PAPEL ACARTONADO. PITADERAS DE TIPO ABSTRACTO CON MARCO MADERA .   AUTOR: JANE MILLARES.  0,60 X 0,45M. C 1971"
67,"A DAVID LACON","OLEO ABSTRACTO CON TONOS NEGROS Y AMARILLOS.  CON MARCO MADERA GRIS.    AUTOR: LUIS ALBERTO 1.976"
68,"LA ESCALERA DE MI CASA","ACUARELA CON MARCO DE MADERA.     ABSTRACTO DE UNA CASA CON UNA ESCALERA DE MANO.    MANOLO RUIZ 1.992"
69,"SAN PEDRO MARTIR","OLEO SOBRE LIENZO. MONJE GRABANDO EN EL SUELO LA PALABRA ""CREDO"".    AUTOR JESUS ARENCIBIA 1.955.   0,79 X 1,69M"
70,"MACETA CON ANTURIO","OLEO DE MACETA CON PLANTA.   CON MARCO DE MADERA.   AUTOR JANE MILLARES SALL 1.976.   0,44 X 0,32M"
71,"RETRATO DE TOMAS MORALES","RETRATO AL OLEO.    MARCO MADERA DORADO. AUTOR: JUAN CARLO. 12 DE JUNIO DE 1919     0,46 X 0,50M"
72,"BODEGON (CON MANZANAS)","OLEO CON MARCO DE MADERA BEIGE.    AUTOR JUAN  BETANCOR  GONZALEZ 1.968.   0,97 X 0,79M"
73,"MUJER CON ROSA Y CUENCO","OLEO CON MARCO MADERA NEGRA.    MUJER CON DELANTAL Y FLOR EN EL PECHO.    AUTOR CRISTINO DE VERA 1.966"
74,"PAISAJE","PINTURA CON MARCO BLANCO.   PAISAJE SEMI-ABSTRACTO.    AUTOR MARTIN BETHENCOURT 1.976"
75,"MUJER CANARIA","OLEO SOBRE LIENZO CON MARCO DE MADERA.   CAMPESINA CON CANTARO. AUTOR SERGIO CALVO.   1,11 X 0,90M"
76,"RETRATO DE TOMAS MORALES VESTIDO DE CARNAVAL","OLEO SOBRE LIENZO CON MARCO DE MADERA.  0,64 X 0,64M   AUTOR: JOSE HURTADO DE MENDOZA"
77,"GANIGO CON CACTUS ( o CARDON )","OLEO CON MARCO DE MADERA  -  OLLA DE BARRO CON CACTUS.   AUTOR CESAR MANRIQUE  -1948   1,00 X 0,77M"
78,"AGUADORAS - MUJERES EN EL RISCO","OLEO CON MARCO DE MADERA NEGRO  -   CAMPESINAS CON CANTAROS.    AUTOR:  SANTIAGO SANTANA."
79,"RUINAS DE ROMA","OLEO SOBRE LIENZO. FORTALEZA CON ENTRADA Y ESTANQUE CON AGUA. AUTOR: BOTAS GHIRLANDA.   0,31 X 0,23M"
80,"NAPOLES","OLEO SOBRE LIENZO CON MARCO DE MADERA.    PAISAJE DE ROCAS Y MONTA�A. AUTOR: BOTAS GHIRLANDA   0,30 X 0,41M"
81,"SINFONIA AZUL (O SINFONIA EN EL MAR)","PINTURA SOBRE LIENZO . ABSTRACTO EN TONOS AZULES.   AUTOR: CESAR MANRIQUE 1.954   (0,60 X 0,70M)"
82,"BODEGON - PAPAS Y PLATANOS","OLEO CON MARCO DE MADERA.    BODEGON CON FRUTAS.  AUTOR T. GOMEZ BOSCH.   1.945             0,42 X 0,53M"
83,"FACTORIA DE BAJURA - VIGO 1969","OLEO A ESPATULA CON MARCO MADERA.   BARCO EN ASTILLERO.   AUTOR VINICIO MARCOS TRUJILLO   1969.   1,00 X 0,80M"
84,"ESCENA RELIGIOSA - CRUCIFICADO ( PROCESION �)","OLEO CON MARCO DE MADERA BLANCO  (1,00 X 1,30)    HOMBRE CRUCIFICADO PORTADO POR LA MULTITUD.   AUTOR J. ARENCIBIA"
85,"MAQUETA DEL MONUMENTO A JUAN NEGRIN, DE JUAN BORDES","MAQUETA DEL MONUMENTO A JUAN NEGRIN, DE BRONCE CON BASE DE HIERRO . AUTOR: JUAN BORDES"
86,"MATERNIDAD","ESCULTURA EN MADERA DE MUJER CON UN NIYO EN BRAZOS.    AUTOR J. B. - 69   AUTOR: BORGES LINARES"
87,"PESCADOR CON RED - EL TARRAYERO","ESCULTURA EN MADERA CON BASE DE MARMOL.   PESCADOR Y RED.    AUTOR PLACIDO FLEITAS"
88,"CABEZA DE MUCHACHA - CAMPESINA","CABEZA DE MADERA DE MUJER CANARIA SOBRE PLINTO TAMBIEN DE MADERA. AUTOR: EDUARDO GREGORIO 1929.- 19,9 X 18,2 X 58,5 CM."
89,"DESNUDO FEMENINO","ENCAUSTICA. DESNUDO DE MUJER .   (1,30 X 0,90M)    AUTOR: JOSE AGUIAR"
90,"CABEZA DE UNA NEGRA","CABEZA DE MUJER NEGRA SOBRE UN PLINTO DE MADERA. AUTOR: MANUEL RAMOS"
91,"BODEGON","OLEO CON MARCO DE MADERA NEGRA .    ABSTRACTO TONOS NEGROS Y BEIGE. AUTOR: FRANCISCO COSSIO 1960. MEDIDAS: 0,83 X 1,03M"
92,"PAMBASO Y  RISCO DE SAN NICOLAS","OLEO SOBRE LIENZO CON MARCO DE MADERA (1,02 X 0,805)    AUTOR NICOLAS MASSIEU Y MATOS 1.949"
94,"MIGUEL MARTIN FERNANDEZ DE LA TORRE","BUSTO EN PIEDRA.   AUTOR BORGES LINARES 1.985"
95,"BENITO PEREZ GALDOS  ( CEDIDO )","ESCULTURA SEDENTE DE CUERPO ENTERO EN PIEDRA CALIZA, DE VICTORIO MACHO"
98,"LAMPARA","LAMPARA DE PIE DE MADERA LABRADA Y TULIPA PERGAMINO (PLACA N' 17)"
99,"ALEGORIA QUIJOTESCA","OLEO REPRESENTANDO UN GUERRERO Y UN CABALLO EN COMBATE.   AUTOR JULIO VIERA 1.969.   0,40 X 0,80M"
100,"MARINA, PLAYA DE LA LAJA","OLEO DE MAR Y MONTA�AS.    AUTOR: LOPEZ RUIZ    0,62 X 0,96M"
101,"ABSTRACTO","OLEO MOTIVO ABSTRACTO - MUCHO COLORIDO"
102,"DOS BANCOS DE MADERA","DOS BANCOS DE MADERA TALLADA TAPIZADOS TERCIOPELO COLOR BURDEOS"
103,"MESA ESCRITORIO DEL ALCALDE","MESA EN MADERA TALLADA CON PIE CRUZADO DE HIERRO"
104,"CONSOLA","MUEBLE EN MADERA CON PATAS CURVADAS, ANTIGUA MESA DE JUEGO"
105,"MESA","MESA AUXILIAR DE MADERA CON PATAS TALLADAS"
106,"ARMARIO","ARMARIO CON TRES PUERTAS, CON ESCUDO DE LA CIUDAD.   EN MADERA TALLADA"
107,"ARMARIO CAJONERA","MUEBLE EN MADERA TALLADA CON EL ESCUDO DE LA CIUDAD"
108,"CONJUNTO DE 6 SILLAS","CONJUNTO DE SEIS SILLAS DE MADERA TALLADA.   ASIENTO Y RESPALDO CUERO REPUJADO"
109,"SOFA","SOFA TRES PLAZAS MADERA TALLADA Y ESCUDO.   TAPIZADO TERCIOPELO COLOR NARANJA"
110,"JUEGO DOS SILLONES","JUEGO DOS SILLONES MADERA TALLADA Y ESCUDO, TAPIZADOS TERCIOPELO COLOR NARANJA"
111,"JUEGO DOS SILLAS DE CADERA","JUEGO DE DOS SILLONES DE MADERA TALLADA ASIENTOS CURVOS Y RESPALDO DE CUERO REPUJADO"
112,"LAMPARA","LAMPARA DE MESA EN MADERA LABRADA CON TULIPA TIPO PERGAMINO"
113,"RETRATO S. M. EL REY JUAN CARLOS I","RETRATO AL OLEO CON MARCO DE MADERA.   AUTOR: JUAN GUERRA"
114,"RETRATO DE D. FERNANDO DEL CASTILLO WESTERLING","RETRATO AL OLEO.    MARCO MADERA CON CORNISA.   AUTOR: TOMAS GOMEZ BOSCH 1961"
115,"BENITO PEREZ GALDOS","CABEZA DE ESCAYOLA SOBRE PEDESTAL DE MADERA. AUTOR: EDUARDO GREGORIO. MEDIDAS CON PEDESTAL: 19,8 X 21,4 X 54 CM"
116,"MESA","MESA DE  MADERA TALLADA Y BARNIZADA, CON PATAS TALLADAS"
117,"SOFA","SOFA TRES PLAZAS CON RESPALDOS EN CIRCULOS, TAPIZADOS EN COLOR ROJO OSCURO"
118,"JUEGO DE DOS SILLONES","JUEGO DE DOS SILLONES DE MADERA TALLADA.   TAPIZADOS EN COLOR ROJO OSCURO"
119,"MESITA AUXILIAR DECORATIVA","MESITA DE CENTRO DE MADERA PINTADA CON MOTIVOS ORIENTALES Y PATAS TALLADAS"
120,"MESITA AUXILIAR DECORATIVA","MESITA DE MADERA EN FORMA DE ELIPSE Y PATAS TORNEADAS"
121,"VITRINA","VITRINA DE DOS PUERTAS CON MEDALLAS Y PLACAS"
122,"VITRINA","VITRINA DE CUATRO PUERTAS CON TROFEOS Y PLACAS CONMEMORATIVAS"
123,"SILLON DEL ALCALDE","SILLON DE MADERA TALLADA Y CUERO REPUJADO.   ASIENTO DE CUERO"
124,"BODEGON","OLEO CON FRUTAS Y JARRAS DE VINO MARCO MADERA BEIGE.   AUTOR NICOLAS MASSIEU Y MATOS 1.951.   0,73 X 1,33M"
125,"PAISAJE","PAISAJE CON ARBOLES.    MARCO MADERA NEGRO.    AUTOR: JUAN GUILLERMO RODRIGUEZ BAEZ. MEDIDAS:  0,39 X 0,50M"
127,"DIBUJO NAIF","DIBUJO EN TELA ESTILO NAIF DE DIVERSOS ANIMALES EN COLOR MARRON SOBRE FONDO BEIGE. MARCO MADERA MARRON"
128,"ALEGORIA MARINA","ESCULTURA CON BASE DE PIEDRA Y TRES VELAS METALICAS (FEDERACION VELA LATINA CANARIA). AUTOR: RIOL (DIC. 1993)"
132,"LA MAQUINA","MOTIVO ABSTRACTO TONOS NEGROS Y GRISES.    AUTOR: TO�O CUESTA 1989"
136,"RETRATO DE UNA NI�A                          MUSEO DEL PRADO","CUADRO AL OLEO.    MARCO MADERA MARRON.   0,72 X 0,56.    AUTOR ANTONIO MARIA ESQUIVEL Y SUAREZ DE URBINA (1806-1857)"
137,"ERMITA DE SAN TELMO","OLEO SOBRE LIENZO CON MARCO MADERA NEGRO.    AUTOR: E. LIGTELYN.   65,5 X 45,5M"
138,"S. M. EL REY JUAN CARLOS I","RETRATO AL OLEO CON MARCO DORADO     1.00 X 1,50M"
139,"CONSOLA","CONSOLA DE MADERA TALLADA COLOR DORADO Y MARMOL VERDE"
140,"CONSOLA","CONSOLA MADERA TALLADA COLOR DORADO Y MARMOL BLANCO"
141,"RETRATO DE AGUSTIN MILLARES CARLO","RETRATO AL OLEO CON MARCO DE MADERA DORADA.    DE 1,13 X 1,24M. AUTOR: NICOLAS MASSIEU MATOS 1927"
142,"RETRATO DE DON NICETO ALCALA ZAMORA","IMPRESION CON MARCO DE MADERA DORADA 1 M. AUTOR: C. RUANO LLOPIS  0,95 X 0,65"
143,"RETRATO DE DON JUAN LEON Y CASTILLO","INGENIERO JEFE PUERTOS LA LUZ , REDACTOR DEL PROYECTO DE PUERTO DE REFUGIOS. OLEO SOBRE LIENZO CON MARCO DE MADERA DORADA. AUTOR: SANTIAGO TEJERA VII 1.912   1,50 X 1,00M"
144,"VISTA DE PUERTO REAL POR PONIENTE            MUSEO DEL PRADO","OLEO CON VISTA DE PUERTO REAL POR PONIENTE. MARCO LABRADO CON DORADO. 0,68 X 0,95. AUTOR: MARIANO SANCHEZ  (1740 - 1822)"
145,"VISTA DEL ARSENAL DE LA CARRACA              MUSEO DEL PRADO","VISTA DEL ARSENAL DE LA CARRACA.   OLEO CON MARCO LABRADO Y DORADO.    0,68 X 0,95  AUTOR: MARIANO SANCHEZ (1740 - 1822)"
146,"RETRATO","RETRATO DE UNA TIPICA CANARIA.   MARCO MADERA DORADO.   AUTOR: TIAR (�)"
149,"CABEZA DE PIEDRA DE NESTOR DE LA TORRE","CABEZA DE PIEDRA SOBRE BASE DE MARMOL.  AUTOR: EDUARDO GREGORIO"
150,"RETRATO DEL COMPOSITOR CAMILLE SAINT-SAENS","RETRATO AL OLEO CON MARCO DORADO.   0,80 X 0,65M.   AUTOR: M. GONZALEZ MENDEZ 1.900"
151,"DON SANTIAGO BRAVO DE LAGUNA Y MUXICA","RETRATO AL OLEO CON MARCO DORADO.    1,00 X 1,50. AUTOR: AMARANTO MARTINEZ DE ESCOBAR    1968"
152,"DESCENDIMIENTO DE LA CRUZ","OLEO CON MARCO DORADO.    1,20 X 1,30.    CRISTO EN BRAZOS DE CREYENTES"
153,"RETRATO DE DON JOSE DEL PEROJO Y FIGUERAS","DEFENSOR DE LA LEY DE CABILDOS INSULARES Y  LA DIVISION DE PROVINCIA.. RETRATO AL OLEO CON MARCO DE MADERA DORADO.   AUTOR: SANTIAGO TEJERA QUESADA  -  LAS PALMAS 26.04.1908.    1,50 X 1,50M"
154,"RETRATO DE DON CRISTOBAL DEL CASTILLO Y MANRIQUE DE LARA","RETRATO AL OLEO CON MARCO DORADO MADERA TALLADA.    AUTOR SANTIAGO TEJERA QUESADA - 1.912  -  0,91 X  0,70M"
155,"LA EMPERATRIZ ISABEL DE PORTUGAL, ESPOSA DE CARLOS V","RETRATO AL OLEO CON MARCO DE MADERA DORADO.    1,04 X 2,00M."
156,"RETRATO DE CARLOS V","RETRATO AL OLEO CON MARCO DE MADERA DORADO.    1,04 X 2,00M"
158,"EMIGRANTES                                   MUSEO DEL PRADO","OLEO SOBRE LIENZO MARCO MADERA CON RELIEVES.    2,80 X 3,50M    AUTOR: VENTURA ALVAREZ SALA.    GIJON 1.908"
159,"RETRATO DE FELIPE II","RETRATO AL OLEO CON MARCO DE MADERA.   1,04 X 2,00M"
160,"RETRATO DE ESPOSA FELIPE II ( ANA DE AUSTRIA� )","RETRATO AL OLEO CON MARCO DE MADERA.    1,04 X 2,00M"
161,"AGUADORA","ESCULTURA EN BRONCE DE JOVEN DESNUDA CON CANTARO A LA CABEZA.    AUTOR: EDUARDO GREGORIO 1950  . 140 X 45 X 35 CM"
162,"BODEGON","BODEGON CON PERDICES Y FRUTAS 0,83 X 1,03M. ANONIMO SIGLO XVII"
163,"S. M. EL REY DON JUAN CARLOS I","RETRATO AL OLEO DE S.M. EL REY.    MARCO MADERA DORADO"
165,"PAISAJE","CUADRO A PLUMILLA DE UN PARQUE CON UNA ESTATUA.    MARCO MADERA NEGRO 0,80 X 0,60.    AUTOR MICHEL CIRY - 1.970"
166,"RECUERDO DE MARILO","CUADRO A PLUMILLA DE LA PLAZA DE SAN MARTIN.    MARCO MADERA NEGRA.    (ESTELLA -  NAVARRA 1.984)"
167,"INTERIOR  (BODEGON)","CUADRO AL OLEO DE 1,50 X 1,50 M. MESA CON BOTELLAS TONOS AZULES, MARCO MADERA NEGRA. AUTOR: JUAN GUERRA HDEZ."
168,"PAISAJE VIII","ESCULTURA ABSTRACTA EN BRONCE PATINADO. AUTOR: MARTIN CHIRINO. 1975"
170,"CONMEMORACION CIUDAD LAS PALMAS G. C. (1478-1978)","GRABADO DE LA CATEDRAL DE LAS PALMAS.  MARCO DE MADERA 0,34 X 0,89"
171,"ARQUEOLOGICA - 80","ESCULTURA EN HIERRO SOBRE BASE DE GRANITO.    CONMEMORANDO SEMANA CATALANA EN CANARIAS - 1.982 AUTOR: JOSEP M. SUBIRACHS"
173,"PLAZA DE SANTO DOMINGO","CUADRO A PLUMILLA DE LA PLAZA DE SANTO DOMINGO MARCO MADERA BLANCO DE 0,67 X 0,88.   AUTOR; DE ANDRES"
175,"BENITO PEREZ GALDOS","CABEZA EN ESCAYOLA. AUTOR: VICTORIO MACHO"
176,"ALONSO QUESADA","CABEZA EN BRONCE CON BASE DE MADERA. AUTOR: EDUARDO GREGORIO"
179,"ESCULTURA PAREJA SEDENTE","ESCULTURA PAREJA SEDENTE ENTRELAZADA DE 50 CMS. LARGO, EN YESO BARNIZADO.   AUTOR M. UTRERA 1.979"
181,"HERMITA / MOROS DE MINDANAO                  MUSEO DEL PRADO","OLEO SOBRE LIENZO DE MUJER Y GUERRERO.   MARCO MADERA NEGRO DE 1,24 X 0,83.   AUTOR: BERNARDO MORALES SORIANO 1.887"
182,"HERMITA / MOROS DE MINDANAO                  MUSEO DEL PRADO","OLEO SOBRE LIENZO. MARCO MADERA NEGRO DE 1,24 X 0,83.   AUTOR:  BERNARDO MORALES SORIANO 1.887"
183,"INDIO SENTADO CON UN PALO EN LA MANO         MUSEO DEL PRADO","OLEO SOBRE LIENZO CON MARCO DE MADERA.   1,70 X 0,97,   AUTOR DIEGO RIEGO DE DIOS  -  MANILA 1.889"
184,"UNA INDIA                                    MUSEO DEL PRADO","OLEO SOBRE LIENZO CON MARCO MADERA    1,80 X 0,80.    (DAMA CON SOMBRILLA).    AUTOR: ESTEBAN VILLANUEVA"
185,"CARABAO   ( EL LABRADOR)                     MUSEO DEL PRADO","OLEO SOBRE LIENZO CON MARCO MADERA.  0,90 X 1,40.  CAMPESINO CON CARABAO.   AUTOR: REGINO GARCIA Y BAZA  1887"
186,"INDIO SENTADO CON UN PALO EN LA MANO         MUSEO DEL PRADO","OLEO SOBRE LIENZO CON MARCO DE MADERA  1,90 X 0,97M.    AUTOR: FRANCISCO MELIKAMBA (1860 - 1920)"
187,"UNA MESTIZA CON UN ABANICO EN LA MANO        MUSEO DEL PRADO","OLEO SOBRE LIENZO CON MARCO MADERA.    1,88 X 1,07.    AUTOR AGUSTIN SAEZ Y GLANADELL (1829 - 1891)"
188,"UN INDIO                                     MUSEO DEL PRADO","OLEO SOBRE LIENZO CON MARCO DE MADERA.   1,96 X 0,98M. AUTOR:TELESFORO SUCGANG Y ALAYON (1855 - 1916, ESCUELA DE MANILA)"
189,"ABRAHAM EXPULSANDO DE SU CASA A AGAR E ISMAEL MUSEO DEL PRAD","OLEO CON MARCO DE MADERA. 1,121 X 1,70. ANONIMO ITALIANO DEL SIGLO XVII"
190,"LA LAVANDERA                                 MUSEO DEL PRADO","MUJER TENDIENDO ROPA. MARCO MADERA NEGRO. 1,10 X 0,70. AUTOR MIGUEL ZARAGOZA (1842 - 1925)  (ACADEMIA MANILA 1.875)"
191,"SANTA CATALINA DE ALEJANDRIA","2 MURALES OLEO SOBRE TELA.   VIDA Y OBRA DE SANTA CATALINA DE ALEJANDRIA.   AUTOR: JESUS ARENCIBIA."
193,"LA NATURALEZA                                MUSEO DEL PRADO","PAISAJE CON PALMERAS. OLEO CON SOBRE LIENZO 1,10 X 0,65.   AUTOR: FELIX MARTINEZ Y LORENZO.   ESCUELA DE MANILA 1.887"
194,"INDIA DEL CAMPO                              MUSEO DEL PRADO","OLEO CON MARCO MADERA  0,70 X 0,55.   ESTUDIO DEL NATURAL. MUJER ABORIGEN DE MEDIO CUERPO.   AUTOR: ESTEBAN VILLANUEVA."
