EJERCICIO,PROGRAMA,DESCRIPCIÓN
2015,"1533","OTRAS ACTUACIONES EN LA VIA PUBLICA"
2015,"16","BIENESTAR COMUNITARIO"
2015,"160","ALCANTARILLADO"
2015,"1601","SANEAMIENTO Y AGUAS RESIDUALES"
2015,"161","ABASTECIMIENTO DE AGUA POTABLE"
2015,"1611","ABASTECIMIENTO DOMICILIARIO DE AGUA POTABLE"
2015,"162","RECOGIDA, GESTION Y TRATAMIENTO RESIDUOS"
2015,"1621","RECOGIDA DE RESIDUOS"
2015,"1622","GESTION DE RESIDUOS SOLIDOS URBANOS"
2015,"1623","TRATAMIENTO DE RESIDUOS"
2015,"163","LIMPIEZA VIARIA"
2015,"1631","LIMPIEZA URBANA"
2015,"164","CEMENTERIOS Y SERVICIOS FUNERARIOS"
2015,"1641","CEMENTERIOS Y SERVICIOS FUNERARIOS"
2015,"165","ALUMBRADO PUBLICO"
2015,"1651","ALUMBRADO PUBLICO"
2015,"17","MEDIO AMBIENTE"
2015,"170","ADMON GRAL DE MEDIO AMBIENTE"
2015,"1701","ADMON GRAL DE MEDIO AMBIENTE"
2015,"171","PARQUES Y JARDINES"
2015,"1711","PATRONATO BOTANICO MPAL CIUDAD DE MALAGA"
2015,"1712","PARQUES Y JARDINES"
2015,"172","PROTECCION Y MEJORA DEL MEDIO AMBIENTE"
2015,"1721","PROTECC CONTAMINACION ACUST, LUMIN Y ATMOSF"
2015,"1722","PROTECCION DEL MEDIO AMBIENTE"
2015,"1723","MANTENIMIENTO DE PLAYAS"
2015,"1729","OTRAS ACTUACIONES RELACIONADAS CON MEDIO AMBIENTE"
2015,"2","ACTUACIONES PROTECC Y PROMOCION SOCIAL"
2015,"21","PENSIONES"
2015,"211","PENSIONES Y OTRAS PRESTACIONES"
2015,"2111","PENSIONES AL PERSONAL PASIVO"
2015,"22","OTRAS PRESTACIONES ECONOMICAS A FAVOR DEL EMPLEADO"
2015,"221","OTRAS PRESTACIONES ECONOMICAS A FAVOR DEL EMPLEADO"
2015,"2211","OTRAS PRESTACIONES ECONOMICAS A FAVOR DEL EMPLEADO"
2015,"23","SERVICIOS SOCIALES Y PROMOCION SOCIAL"
2015,"230",""
2015,"231","ASISTENCIA SOCIAL PRIMARIA"
2015,"2311","ATENCIONES DOMICILIARIAS Y DEPENDENCIA"
2015,"2312","PROGRAMAS DE PREVENCION SOCIAL"
2015,"2313","PROG. COMUNITARIOS Y GRALES ACCION SOCIAL"
2015,"2314","ACTUACIONES DE FOMENTO DE LA TRASVERSALIDAD GENERO"
2015,"2315","PROGRAMAS DE MAYORES"
2015,"2316","PROGRAMAS DE MENORES Y CENTROS"
2015,"2317","ATENCION A PERSONAS SIN HOGAR Y EMERGENCIAS"
2015,"2318","MAS CERCA SAM"
2015,"2319","OTRAS ACTUACIONES ASOCIADAS A PROG SOCIALES"
2015,"24","FOMENTO DEL EMPLEO"
2015,"241",""
2015,"241",""
2015,"2411","FOMENTO DEL EMPLEO"
2015,"2412","ESCUELAS TALLER, T EMPLEO Y CASAS DE OFICIO"
2015,"2413","AGENCIAS DE COLOCACION"
2015,"2418","PROGRAMAS ESPECIALES DE EMPLEO"
2015,"2419","INSTITUTO DE FORMACION Y EMPLEO"
2015,"242",""
2015,"3","PRODUCCION DE BIENES PUBLICOS CARACTER PREFERENTE"
2015,"31","SANIDAD"
2015,"311","PROTECCION DE LA SALUBRIDAD PUBLICA"
2015,"3111","SALUD PUBLICA"
2015,"3112","LABORATORIO MEDIO AMBIENTAL"
2015,"3113","DESINFECCION, DESRATIZACION, Y DESINSECTACION"
2015,"3114","INSPECCION SANITARIA"
2015,"3115","PARQUE ZOOSANITARIO"
2015,"312","HOSPITALES, SERV. ASISTENCIALES Y CENTROS DE SALUD"
2015,"32","EDUCACION"
2015,"320","ADMON GRAL DE EDUCACION"
2015,"321","CREACION CENTROS DOCENTES PREESCOLAR Y PRIMARIA"
2015,"3211","CREACION CENTROS DOCENTES PREESCOLAR Y PRIMARIA"
2015,"322","CREACION CENTROS DOCENTES EDUCACION SECUNDARIA"
2015,"3220",""
2015,"3221","CREACION CENTROS DOCENTES DE SECUNDARIA"
2015,"323","FUNC CENTROS PREESCOLAR, PRIMARIA Y EDUC ESPECIAL"
2015,"3231","FUNC CENTROS PREESCOLAR, PRIMARIA Y EDUC ESPECIAL"
2015,"3232",""
2015,"324","FUNCIONAMIENTO DE CENTROS DE ENSEñANZA SECUNDARIA"
2015,"3240",""
2015,"3241","FUNCIONAMIENTO  CENTROS DOCENTES DE SECUNDARIA"
2015,"325","VIGILANCIA CUMPLIMIENTO ESCOLARIDAD OBLIGATORIA"
2015,"3251","VIGILANCIA CUMPL ENSEñANZA OBLIGATORIA"
2015,"326","SERVICIOS COMPLEMENTARIOS DE EDUCACION"
2015,"3261","EMPRESA DE LIMPIEZA MUNICIPAL Y PARQUE DEL OESTE"
2015,"3262","EDUCACION DE ADULTOS"
2015,"3263","CONSORCIO AYUNTAMIENTO UNED"
2015,"3264","CONSORCIO ESCUELA DE HOSTELERIA DE MALAGA"
2015,"3265","PROGRAMAS EDUCATIVOS"
2015,"3266","SERVICIOS EDUCATIVOS"
2015,"3267","FORMACION LABORAL"
2015,"327","FOMENTO DE LA CONVIVENCIA CIUDADANA"
2015,"3271","FOMENTO DE LA CONVIVENCIA CIUDADANA"
2015,"33","CULTURA"
2015,"330","ADMON GRAL DE LA CULTURA"
2015,"3301","SERVICIOS GENERALES CULTURALES"
2015,"332","BIBLIOTECAS Y ARCHIVOS"
2015,"3321","BIBLIOTECAS MUNICIPALES"
2015,"3322","ARCHIVO"
2015,"333","EQUIPAMIENTOS CULTURALES Y MUSEOS"
2015,"3331","CENTRO DE ARTE CONTEMPORANEO"
2015,"3332","MUSEO INTERACTIVO DE LA MUSICA"
2015,"3333","MUSEO FELIX REVELLO DE TORO"
2015,"3334","FUNDACION PALACIO VILLALON"
2015,"3335","MUSEO CIUDAD DE MALAGA"
2015,"3336","TEATRO MPAL. MIGUEL DE CERVANTES SAM"
2015,"3337","F.P. PABLO RUIZ PICASSO"
2015,"3339","OTROS MUSEOS"
2015,"334","PROMOCION CULTURAL"
2015,"3340",""
2015,"3341","BANDA DE MUSICA"
2015,"3343","SALAS DE EXPOSICIONES"
2015,"3344","EDIFICIO MAS JOVEN"
2015,"3345","PALACIO DE FERIAS Y CONGRESOS DE MALAGA"
2015,"3346","FESTIVAL DE CINE DE MALAGA E INICIATIVAS AUDIOV SA"
2015,"3347","CONSORCIO ORQUESTA CIUDAD DE MALAGA"
2015,"3348","CONSORCIO AUDITORIO CIUDAD DE LA MUSICA"
2015,"3349","OTRAS ACTIVIDADES CULTURALES"
2015,"336","PROTECC Y GESTION PATRIMONIO HISTORICO ARTISTICO"
2015,"3361","MONUMENTOS Y OTRO PATRIMONIO HISTORICO ARTISTICO"
2015,"337","INSTALACIONES OCUPACION DEL TIEMPO LIBRE"
2015,"3371","ACTIVIDADES RECREATIVAS EN PLAYAS"
2015,"338","FIESTAS POPULARES Y FESTEJOS"
2015,"3381","FERIA DE MALAGA"
2015,"3382","OTROS FESTEJOS"
2015,"34","DEPORTES"
2015,"340","ADMON GRAL DE DEPORTES"
2015,"3401","MALAGA DEPORTES Y EVENTOS SAM"
2015,"3402","ADMON GRAL DE DEPORTES"
2015,"341","PROMOCION Y FOMENTO DEL DEPORTE"
2015,"3411","ACTIVIDADES Y ESCUELAS DEPORTIVAS"
2015,"3412","JUEGOS DEPORTIVOS MUNICIPALES"
2015,"3413","CALIDAD Y DIVULGACION"
2015,"3414","EVENTOS DEPORTIVOS"
2015,"3419","PROMOCION DEL DEPORTES"
2015,"342","INSTALACIONES DEPORTIVAS"
2015,"3421","INSTALACIONES DEPORTIVAS TIRO DE PICHON"
2015,"3422","INSTALACIONES DEPORTIVAS JOSE PATERNA"
2015,"3423","INSTALACIONES DEPORTIVAS LA MOSCA"
2015,"3424","INSTALACIONES DEPORTIVAS CIUDAD JARDIN"
2015,"3429","OTRAS INSTALACIONES DEPORTIVAS"
2015,"4","ACTUACIONES DE CARACTER ECONOMICO"
2015,"41","AGRICULTURA, ECONOMIA Y PESCA"
2015,"410","ADMON GRAL AGRICULTURA, ECONOMIA Y PESCA"
2015,"412","MEJORA ESTRUC AGROPECUARIA Y SIST PRODUCTIVOS"
2015,"414","DESARROLLO RURAL"
2015,"415","PROTECC Y DESARROLLO RECURSOS PESQUEROS"
2015,"417","OTRAS ACT AGRICULTURA, GANADERIA Y PESCA"
2015,"42","INDUSTRIA Y ENERGIA"
2015,"420","ADMON GRAL DE INDUSTRIA Y ENERGIA"
2015,"422","INDUSTRIA"
2015,"4221","REHAB Y GESTION DE PARQUES IND Y EMPRESARIALES"
2015,"423","MINERIA"
2015,"425","ENERGIA"
2015,"4251","F.P. AGENCIA MUNICIPAL DE LA ENERGIA"
2015,"43","COMERCIO, TURISMO,Y PYMES"
2015,"430","ADMON GRAL COMERCIO, TURISMO,Y PYME"
2015,"4301","GESTION ADMINISTRATIVA DE LA VIA PUBLICA"
2015,"4302","SERVICIO DE LICENCIA DE APERTURAS"
2015,"4309","SERVICIOS GENERALES DE COMERCIO"
2015,"431","COMERCIO"
2015,"4311","FERIAS"
2015,"4312","MERCADOS, ABASTOS Y LONJAS"
2015,"4313","COMERCIO AMBULANTE"
2015,"432","INFORMACION Y PROMOCION TURISTICA"
2015,"4321","PROMOCION TURISTICA"
2015,"4322","INFORMACION TURISTICA"
2015,"4323","MALAGA CONVENTION BUREAU"
2015,"4329","SERVICIOS GENERALES DE TURISMO"
2015,"433","DESARROLLO EMPRESARIAL"
2015,"4331","FOMENTO DE LA ACTIVIDAD ECONOMICA"
2015,"4332","EMPRESA M. INICIATIVAS Y ACT. EMPRESARIALES S.A."
2015,"439","OTRAS ACTUACIONES SECTORIALES"
2015,"44","TRANSPORTE PUBLICO"
2015,"440","ADMON GRAL DEL TRANSPORTE"
2015,"4401","INSTITUTO MUNICIPAL DEL TAXI"
2015,"4402","TRANSPORTES"
2015,"4409",""
2015,"441","TRANSPORTE DE VIAJEROS"
2015,"4411","TRANSPORTE COLECTIVO URBANO DE VIAJEROS"
2015,"4412","OTRO TRANSPORTE DE VIAJEROS"
2015,"4413","EMPRESA MALAGUEñA DE TRANSPORTES SAM"
2015,"442","INFRAESTRUCTURAS DEL TRANSPORTE"
2015,"4421","INFRAESTRUCTURAS DEL TRANSPORTE"
2015,"4422","CONSORCIO DE TRANSPORTES AREA DE MALAGA"
2015,"443","CONSORCIO CENTRO DE TRANSPORTE DE MERCANCIAS"
2015,"4431","CONSORCIO CENTRO TRANSPORTE MERCANCIAS"
2015,"45","INFRAESTRUCTURAS"
2015,"450","ADMON GRAL DE INFRAESTRUCTURAS"
2015,"4501","ADMON GRAL DE INFRAESTRUCTURAS"
2015,"452","RECURSOS HIDRAULICOS"
2015,"4521","RECURSOS HIDRAULICOS"
2015,"453","CARRETERAS"
2015,"4531","CARRETERAS"
2015,"454","CAMINOS VECINALES"
2015,"4541","CAMINOS VECINALES"
2015,"459","OTRAS INFRAESTRUCTURAS"
2015,"4591","OTRAS INFRAESTRUCTURAS"
2015,"46","INVESTIGACION, DESARROLLO E INNOVACION"
2015,"462","INVESTIGAC Y ESTUDIOS RELACIONADOS SERV PUBLICOS"
2015,"463","INVESTIGACION CIENTIFICA, TECNICA Y APLICADA"
2015,"49","OTRAS ACTUACIONES DE CARACTER ECONOMICO"
2015,"491","SOCIEDAD DE LA INFORMACION"
2015,"4911","EMPRESA MPAL. DE RADIO Y TELEVISION ONDA AZUL"
2015,"492","GESTION DEL CONOCIMIENTO"
2015,"4921","NUEVAS TECNOLOGIAS"
2015,"493","PROTECCION DE CONSUMIDORES Y USUARIOS"
2015,"4931","JUNTA ARBITRAL DE CONSUMO"
2015,"4932","INSPECCION DE CONSUMO"
2015,"9","ACTUACIONES DE CARACTER GENERAL"
2015,"91","ALTA DIRECCION"
2015,"912","ORGANOS DE GOBIERNO"
2015,"9121","CORPORACION Y GRUPOS POLITICOS"
2015,"9122","GABINETE DE PRESIDENCIA"
2015,"9123","ALCALDIA"
2015,"92","SERVICIOS DE CARACTER GENERAL"
2015,"920","ADMINISTRACION GENERAL"
2015,"9201","SECRETARIA GENERAL"
2015,"9202","PARQUE MOVIL"
2015,"9203","ORGANIZACION Y PERSONAL"
2015,"9204","FORMACION Y PERFECCIONAMIENTO"
2015,"9205","REGIMEN INTERIOR"
2015,"9206","SERVICIO DE PROGRAMAS EUROPEOS"
2015,"9207","ASESORIA JURIDICA"
2015,"9209","OTROS SERVICIOS ADMINISTRATIVOS GENERALES"
2015,"922","COORDINACION Y ORGANIZACION INSTITUCIONAL EE. LL"
2015,"9221","INFORMACION Y PUBLICACIONES"
2015,"9222","PROTOCOLO Y RELACIONES INSTITUCIONALES"
2015,"923","INFORMACION BASICA Y ESTADISTICA"
2015,"9231","ESTADISTICA Y PADRONES"
2015,"924","PARTICIPACION CIUDADANA"
2015,"9241","JUVENTUD"
2015,"9242","FOMENTO PARTICIPACION Y RELACIONES CIUDADANAS"
2015,"925","ATENCION A LOS CIUDADANOS"
2015,"9251","JUNTAS DE DISTRITO"
2015,"926","COMUNICACIONES INTERNAS"
2015,"9261","SERVICIOS INFORMATICOS"
2015,"929","IMPREVISTOS Y FUNCIONES NO CLASIFICADAS"
2015,"9291","IMPREVISTOS"
2015,"93","ADMINISTRACION FINANCIERA Y TRIBUTARIA"
2015,"931","POLITICA ECONOMICA Y FISCAL"
2015,"9311","INTERVENCION"
2015,"9312","ECONOMIA Y HACIENDA"
2015,"932","GESTION DEL SISTEMA TRIBUTARIO"
2015,"9321","GESTION DE INGRESOS"
2015,"9322","JURADO TRIBUTARIO"
2015,"9323","GESTION TRIBUTARIA Y OTROS SERV AL AYTO DE MALAGA"
2015,"933","GESTION DEL PATRIMONIO"
2015,"9331","EDIFICIO CONSISTORIAL"
2015,"9332","EDIF MPAL ANTIGUA FABRICA DE TABACOS"
2015,"9333","OTROS EDIFICIOS DE LA CORPORACION"
2015,"9339","GESTION DEL PATRIMONIO"
2015,"934","GESTION DE LA DEUDA Y LA TESORERIA"
2015,"9341","GESTION DE LA DEUDA"
2015,"9342","TESORERIA"
2015,"94","TRANSFERENCIAS A OTRAS ADMINISTRACIONES PUBLICAS"
2015,"941","TRANSFERENCIAS A COMUNIDADES AUTONOMAS"
2015,"9411","TRANSFERENCIAS GENERICAS A LA JUNTA DE ANDALUCIA"
2015,"942","TRANSFERENCIAS A ENTIDADES LOCALES TERRITORIALES"
2015,"9421","TRANSF GENERICAS A ENTIDADES LOCALES TERRITORIALES"
2015,"943","TRANSFERENCIAS A OTRAS ENTIDADES LOCALES"
2015,"9431","TRANSF GENERICAS A OTRAS ENTIDADES LOCALES"
2015,"944","TRANSF GENERICAS A LA ADMON GRAL ESTADO"
2015,"9441","TRANSF GENERICAS A LA ADMON GRAL ESTADO"
