FECHA,Cupressaceae valor,Cupressaceae riesgo,Cupressaceae previsin,Cupressaceae tendencia,Platanus valor,Platanus riesgo,Platanus previsin,Platanus tendencia,Urticaceae valor,Urticaceae riesgo,Urticaceae previsin,Urticaceae tendencia,Quercus valor,Quercus riesgo,Quercus previsin,Quercus tendencia,Olea valor,Olea riesgo,Olea previsin,Olea tendencia,Gramneas valor,Gramneas riesgo,Gramneas previsin,Gramneas tendencia,Plantago valor,Plantago riesgo,Plantago previsin,Plantago tendencia,Chenopodiaceae valor,Chenopodiaceae riesgo,Chenopodiaceae previsin,Chenopodiaceae tendencia,Casuarina valor,Casuarina riesgo,Casuarina previsin,Casuarina tendencia,LAT,LON
20170111,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,36.7154446,-4.4729326
20170112,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170113,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170114,1,N,1,E,0,N,0,E,1,N,1,E,1,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170115,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170116,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170117,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,36.7154446,-4.4729326
20170118,1,N,1,E,0,N,0,E,0,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170119,1,N,1,E,0,N,0,E,0,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170120,0,N,1,E,0,N,0,E,0,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170121,0,N,1,E,0,N,0,E,1,N,1,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170122,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170123,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170124,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170125,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170126,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170127,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,1,N,0,E,36.7154446,-4.4729326
20170128,1,N,1,E,0,N,0,E,1,N,1,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170129,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170130,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170131,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170201,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170202,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,1,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170203,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170204,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170205,1,N,1,E,0,N,0,E,1,N,1,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,36.7154446,-4.4729326
20170123,1,N,2,A,0,N,0,E,2,R,2,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170124,1,N,2,A,0,N,0,E,2,R,2,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170125,1,N,2,A,0,N,0,E,2,R,2,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,1,N,0,E,36.7257311,-4.420821
20170126,1,N,2,A,0,N,0,E,2,N,2,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170127,1,N,2,A,0,N,0,E,2,N,2,E,1,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170128,1,N,2,A,0,N,0,E,2,R,2,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170129,1,N,2,A,0,N,0,E,2,N,2,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170130,1,N,3,A,0,N,0,E,1,N,2,E,0,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170131,1,N,3,A,0,N,0,E,2,N,2,E,0,N,0,E,0,N,0,E,1,N,1,A,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170201,2,N,3,A,0,N,0,E,2,R,2,E,0,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170202,2,N,3,A,0,N,0,E,2,R,2,E,0,N,0,E,0,N,0,E,1,N,1,A,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170203,2,N,3,A,0,N,0,E,2,R,2,E,0,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170204,3,R,3,A,0,N,0,E,2,R,2,E,0,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170205,2,N,3,A,0,N,0,E,2,R,2,E,1,N,0,E,0,N,0,E,1,N,1,A,1,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170206,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170207,2,N,1,E,0,N,0,E,2,N,1,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170208,2,N,1,E,0,N,0,E,1,N,1,E,1,N,0,E,1,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170209,1,N,1,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170210,1,N,1,E,0,N,0,E,0,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170211,1,N,1,E,0,N,0,E,1,N,1,E,1,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170212,1,N,2,A,0,N,0,E,1,N,1,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7154446,-4.4729326
20170213,1,N,3,A,0,N,0,E,2,N,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170214,1,N,3,A,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170215,2,N,3,A,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170216,2,N,3,A,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170217,1,N,3,A,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170218,3,N,3,A,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170219,3,N,3,A,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170206,2,N,2,E,0,N,0,E,2,R,2,E,1,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170207,2,N,2,E,0,N,0,E,2,R,2,E,0,N,0,E,0,N,0,E,1,N,1,A,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170208,2,N,2,E,1,N,0,E,2,R,2,E,1,N,0,E,0,N,0,E,1,N,1,A,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170209,2,N,2,E,0,N,0,E,1,N,2,E,0,N,0,E,1,N,0,E,0,N,1,A,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170210,1,N,2,E,0,N,0,E,1,N,2,E,0,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,1,N,0,E,1,N,0,E,36.7257311,-4.420821
20170211,1,N,2,E,0,N,0,E,1,N,2,E,0,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170212,1,N,2,E,1,N,0,E,1,N,2,E,0,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170213,1,N,2,E,0,N,0,E,1,N,2,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170214,1,N,2,E,0,N,0,E,2,N,2,E,1,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170215,2,N,2,E,0,N,0,E,2,N,2,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170216,2,N,2,E,0,N,0,E,1,N,2,E,0,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170217,2,N,2,E,0,N,0,E,2,N,2,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170218,2,N,2,E,0,N,0,E,1,N,2,E,0,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170219,1,N,2,E,0,N,0,E,1,N,2,E,0,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170220,3,N,3,E,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170221,3,N,3,E,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170222,3,N,3,E,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170223,1,N,3,A,0,N,0,E,1,N,2,A,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170224,1,N,3,A,0,N,0,E,2,N,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170225,3,N,3,E,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170226,2,N,3,A,0,N,0,E,1,N,2,A,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170220,2,N,3,A,0,N,0,A,1,N,2,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170221,3,R,3,A,0,N,0,A,2,R,2,E,0,N,0,E,0,N,0,E,1,N,0,E,1,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170222,3,R,3,A,1,N,0,A,1,N,2,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170223,3,R,3,A,0,N,0,A,1,N,2,E,1,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170224,2,N,3,A,1,N,0,A,3,R,2,E,0,N,0,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170225,4,R,3,A,0,N,0,A,3,R,2,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170226,2,N,3,A,0,N,0,A,2,R,2,E,0,N,0,E,0,N,0,E,0,N,0,E,1,N,0,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170227,4,R,3,A,0,N,1,A,3,R,2,A,1,N,0,E,0,N,0,E,1,N,0,E,0,N,1,A,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170228,4,R,3,A,0,N,1,A,3,R,2,A,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,A,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170301,3,R,3,A,1,N,1,A,2,R,2,A,0,N,0,E,0,N,0,E,0,N,0,E,1,N,1,A,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170302,3,R,3,A,0,N,1,A,2,R,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170303,2,N,3,A,1,N,1,A,2,R,2,A,0,N,0,E,0,N,0,E,0,N,0,E,0,N,1,A,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170304,1,N,3,A,0,N,1,A,1,N,2,A,0,N,0,E,0,N,0,E,1,N,0,E,1,N,1,A,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170305,2,N,3,A,0,N,1,A,2,R,2,A,0,N,0,E,1,N,0,E,0,N,0,E,1,N,1,A,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170306,3,R,3,A,1,N,3,A,3,R,3,A,1,N,0,E,0,N,0,E,1,N,1,E,1,N,1,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170307,4,R,3,A,2,N,3,A,3,R,3,A,0,N,0,E,0,N,0,E,1,N,1,E,1,N,1,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170308,4,R,3,A,4,R,3,A,3,R,3,A,0,N,0,E,0,N,0,E,1,N,1,E,1,N,1,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170309,3,R,3,A,3,R,3,A,2,R,3,A,0,N,0,E,0,N,0,E,1,N,1,E,1,N,1,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170310,3,R,3,A,4,R,3,A,2,R,3,A,0,N,0,E,0,N,0,E,1,N,1,E,1,N,1,E,0,N,0,E,0,N,0,E,36.7257311,-4.420821
20170311,4,R,3,A,3,N,3,A,3,R,3,A,1,N,0,E,0,N,0,E,1,N,1,E,1,N,1,E,1,N,0,E,0,N,0,E,36.7257311,-4.420821
20170312,2,N,3,A,2,N,3,A,3,R,3,A,1,N,0,E,0,N,0,E,1,N,1,E,1,N,1,E,1,N,0,E,1,N,0,E,36.7257311,-4.420821
20170306,2,N,3,A,1,N,1,E,2,N,3,A,1,N,1,E,0,N,0,E,0,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170307,4,N,3,E,1,N,1,A,3,R,3,E,1,N,1,E,1,N,0,E,1,N,1,E,0,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170308,4,N,3,E,1,N,1,A,2,R,3,A,1,N,1,E,0,N,0,E,1,N,1,E,1,N,1,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170309,4,N,3,E,3,R,4,A,2,N,3,A,1,N,1,E,0,N,0,E,1,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170310,3,N,3,E,2,N,4,A,2,N,2,A,1,N,1,E,0,N,0,E,1,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170311,3,N,3,E,4,R,4,E,3,R,3,E,2,N,1,E,0,N,0,E,1,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170312,4,N,3,E,3,R,4,A,2,R,2,E,2,N,1,E,0,N,0,E,1,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170313,3,N,1,E,2,N,3,E,1,N,2,E,1,N,1,E,0,N,0,E,1,N,1,E,1,N,1,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170314,1,N,1,E,1,N,1,E,1,N,2,E,1,N,1,E,0,N,0,E,1,N,1,E,1,N,1,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170315,1,N,1,E,1,N,1,E,1,N,2,E,1,N,1,E,1,N,0,E,1,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170316,1,N,1,E,1,N,1,E,1,N,1,E,0,N,1,E,0,N,0,E,0,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170317,1,N,1,E,1,N,1,E,1,N,1,E,0,N,1,E,1,N,0,E,0,N,1,E,1,N,1,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170318,1,N,1,E,1,N,1,E,1,N,1,E,1,N,1,E,1,N,0,E,1,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170319,1,N,1,E,1,N,1,E,1,N,1,E,0,N,1,E,1,N,0,E,1,N,1,E,1,N,1,A,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170320,2,N,1,B,2,R,2,E,2,N,2,E,2,N,2,E,1,N,1,E,1,N,1,E,2,N,2,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170321,2,N,1,B,2,R,2,E,2,R,2,E,2,N,2,E,1,N,1,E,1,N,1,E,2,N,2,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170322,1,N,1,B,2,R,1,B,1,N,1,E,2,N,2,E,1,N,1,E,1,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170323,1,N,1,B,1,N,1,E,1,N,1,E,1,N,2,E,1,N,1,E,1,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170324,0,N,1,B,1,N,1,E,0,N,1,E,1,N,2,E,1,N,1,E,0,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170325,1,N,1,B,1,N,1,E,1,N,1,E,1,N,2,E,2,N,2,E,0,N,1,E,1,N,1,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170326,1,N,1,B,1,N,1,E,1,N,1,E,1,N,3,A,2,N,3,A,0,N,1,E,1,N,2,A,0,N,1,A,0,N,0,E,36.7154446,-4.4729326
20170327,1,N,1,B,1,R,1,E,1,N,1,E,1,N,1,E,3,R,3,A,1,N,1,E,1,N,1,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170328,1,N,1,B,1,R,1,E,2,R,2,E,1,N,1,E,3,R,3,A,1,N,1,E,2,N,2,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170329,1,N,1,B,1,R,1,E,1,N,1,E,1,N,1,E,3,R,3,A,0,N,1,E,1,N,1,E,0,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170330,1,N,1,B,1,N,1,E,1,N,1,E,1,N,1,E,3,R,3,A,0,N,1,E,1,N,1,E,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170331,1,N,1,B,1,N,1,E,1,N,1,E,2,N,2,A,3,R,3,A,1,N,1,E,2,N,2,A,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170401,1,N,1,B,2,N,1,E,3,R,2,E,4,R,4,E,2,N,3,A,1,N,1,E,2,R,2,A,1,N,1,E,0,N,0,E,36.7154446,-4.4729326
20170402,1,N,1,B,1,N,1,B,2,R,2,E,3,N,4,A,2,N,3,A,1,N,1,A,2,N,2,A,1,N,1,A,0,N,0,E,36.7154446,-4.4729326
20170313,2,N,2,E,1,N,2,E,2,R,2,E,1,N,1,A,0,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,0,E,36.7257311,-4.420821
20170314,1,N,2,E,1,N,2,E,2,N,2,E,0,N,1,A,1,N,1,A,0,N,1,A,1,N,1,A,1,N,1,A,0,N,0,E,36.7257311,-4.420821
20170315,2,N,2,E,2,N,2,E,1,N,2,E,0,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,0,E,36.7257311,-4.420821
20170316,2,N,2,E,2,N,2,E,2,R,2,E,0,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,1,A,0,N,0,E,36.7257311,-4.420821
20170317,2,N,2,E,2,N,2,E,2,N,2,E,1,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,1,A,0,N,0,E,36.7257311,-4.420821
20170318,1,N,2,E,1,N,2,E,1,N,2,E,1,N,1,A,0,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,0,E,36.7257311,-4.420821
20170319,1,N,2,E,2,N,2,E,2,R,2,E,0,N,1,A,0,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,0,E,36.7257311,-4.420821
20170320,2,N,1,B,2,N,1,B,3,R,3,E,2,N,2,A,1,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,0,E,36.7257311,-4.420821
20170321,2,N,1,B,1,N,1,B,4,R,3,E,2,N,2,A,1,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,0,E,36.7257311,-4.420821
20170322,1,N,1,B,1,N,1,B,4,R,3,E,2,N,2,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,1,A,0,N,0,E,36.7257311,-4.420821
20170323,1,N,1,B,1,N,1,B,2,R,3,E,1,N,2,A,1,N,1,A,1,N,1,A,1,N,1,A,1,N,1,A,0,N,0,E,36.7257311,-4.420821
20170324,1,N,1,B,1,N,1,B,2,N,3,E,1,N,2,A,0,N,1,A,0,N,1,A,0,N,1,A,0,N,1,A,0,N,0,E,36.7257311,-4.420821
20170325,0,N,1,B,1,N,1,B,1,N,3,E,0,N,2,A,0,N,1,A,1,N,1,A,0,N,1,A,0,N,1,A,0,N,0,E,36.7257311,-4.420821
20170326,1,N,1,B,2,N,1,B,2,R,3,E,1,N,2,A,0,N,1,A,1,N,1,A,0,N,1,A,1,N,1,A,0,N,0,E,36.7257311,-4.420821
20170327,2,N,1,B,1,N,1,B,2,R,2,E,1,N,1,E,1,N,1,A,1,N,1,E,1,N,1,E,0,N,1,A,0,N,0,E,36.7257311,-4.420821
20170328,2,N,1,B,2,N,1,B,2,R,2,E,2,N,1,E,1,N,1,A,1,N,1,E,1,N,1,E,0,N,1,A,0,N,0,E,36.7257311,-4.420821
