FID,ID_EQUIPAMIENTO,TOOLTIP,FINALIDAD,SDOPUNTO
da_museos.fid--7b4b556b_15ed4cde20f_-cb4,2851,Museo del Vidrio y Cristal de Málaga,"En pleno centro histórico, en el encantador entorno barroco de la iglesia de San Felipe Neri y compartiendo su recoleta plazuela, se encuentra el Museo del Vidrio y Cristal de Málaga, en una antigua casona construida en 1761 y que hoy, cuidadosamente rehabilitada, todavía conserva en su fachada las elegantes y originales pinturas murales que tanto caracterizaron el urbanismo malagueño durante todo el siglo XVIII. Dentro de este singular edificio, ejemplo de la arquitectura doméstica de la ciudad durante los años de la Ilustración, también nos podemos sumergir en la historia de la humanidad a través del hilo conductor de la industria del cristal.

Se trata de una colección privada formada por tres mil piezas, de las que mil se mantendrán en exposición permanente y el resto en rotación.
 
Los fondos del museo contienen piezas de vidrio de numerosas épocas y culturas, que están expuestas acompañadas por obra pictórica, mobiliario y otros objetos de decoración que corresponden a cada periodo histórico al que representan, recreando un ambiente que nos devuelve al contexto cotidiano en que vivieron los dueños de estos objetos.

El museo cuenta con once salas ordenadas alrededor de tres patios interiores que dan acceso a una visita cronológica desde la época clásica hasta nuestros días. El recorrido comienza con piezas egipcias del siglo VI antes de Cristo, que comparten sala con el vidrio fenicio, griego, romano, bizantino, medieval e islámico, concretamente algunas garrafas de los siglos XI y XII proceden de Irán.

Otra sala tiene como protagonista elementos del siglo XVI y XVII, como una pareja de vinagreras de vidrio catalán, diversas copas venecianas y una bellísima copa belga, al gusto veneciano, grabada con la leyenda mitológica de Piramos y Cisbes.

Copas, jarras, espejos, lámparas de araña, gran parte realizadas en cristal inglés y español de La Granja, forman parte de la representación del siglo XVIII.

Por último, en representación del periodo del siglo XIX hasta nuestros días, podrá admirar ejemplo de cristalerías austríacas, bohemias, camafeos ingleses y franceses y una interesante colección de vidrieras de la escuela pre-rafaelista de gran valor artístico.
Exposición permanenente de Gonzalo Fernández-Prieto.",POINT (373072.87778118957 4065388.983639481)
da_museos.fid--7b4b556b_15ed4cde20f_-cb3,2852,Museo Automovilístico y de la Moda de Málaga,"<p>Ubicado en el Antiguo Edificio de la Tabacalera,  conjunto arquitectónico emblemático de la ciudad de Málaga que data de 1927,  el Museo Automovilístico de Málaga es más que un museo. </p><p>Es un espacio de entretenimiento, diversión, arte y cultura que en sus 6000 metros cuadrados acoge una de las colecciones de coches antiguos más importante del sur de Europa.</p>
<p>
Restaurados al más alto nivel y organizados en espacios temáticos como: la ""Belle Epoque"", ""Años 20"", ""Art Decó"", ""La Dolce Vita"", ""Coches de Ensueño"", ""Excentricidad"", ""Coches Populares"", ""Tradición Inglesa"", ""Energía Alternativas"" o ""Tunning"", esta exposición con más de 80 modelos nos ilustra la evolución estética y locomotora de la automoción extendiéndose a lo largo de tres siglos. Desde el Winner de 1898, coches a vapor de 1910, el increíble coche avión de 1932 hasta el coche solar de 2009 llamado ""la nave espacial"" y con joyas como Rolls Royce, Jaguar, Bentleys, Aston Martín, Bugatti, Ferrari o históricos Mercedes como el 540K de 1936 y Alas de Gaviota de 1955, entre otros.</p>
<P>
En el Museo Automovilístico de Málaga también podrán disfrutar de la belleza de obras de arte contemporáneas, esculturas e instalaciones diseñadas a partir de piezas del mundo de motor y visitar la inédita exposición denominada ""La Galería de los Motores"" formada por un conjunto de 15 motores decorados con temáticas referentes a sus modelos o épocas, así como ejemplares exclusivos con cristales Swarovsky o miles de mini espejos.
</p><p>
En este espacio hay un destacado lugar para la moda y es que la colección de sombreros ""De Balenciaga a Schiaparelli"" con más de 300 piezas, nos muestra una selecta variedad de sombreros de alta costura además de sombrereras y maletas de época.</p>
<p>
Concebido como un nuevo espacio cultural y de ocio, su propósito es complementar la oferta cultural y creativa de nuestra ciudad, ya que, además de visitar exposiciones de gran impacto y calidad relacionadas con la automoción, moda y arte, sus diferentes ámbitos están disponibles para acoger la celebración de presentaciones, encuentros privados o reuniones empresariales.</p>",POINT (371406.7499244322 4062517.733344973)
da_museos.fid--7b4b556b_15ed4cde20f_-cb2,2853,Museo Carmen Thyssen Málaga,"<p>El Museo Carmen Thyssen Málaga se ubica en el Palacio de Villalón, una edificación palaciega del siglo XVI cuya recuperación ha permitido poner en valor una parte fundamental de la arquitectura renacentista malagueña, asentada sobre la urbe romana e inserta en la trama musulmana de la ciudad.</p>
<p>La Colección cuenta con alrededor de 230 obras, protagonizada principalmente por pintura española del siglo XIX, con especial atención a la pintura andaluza.</p>
<p>El Museo ofrece a su vez un espacio dedicado a los Maestros Antiguos formado por piezas fundamentales de Francisco de Zurbarán o Jerónimo Ezquerra entre otros.  El resto de la pinacoteca, que conserva el grueso de la Colección, muestra al público un recorrido por el siglo XIX español (desde el Romanticismo hasta los inicios de la modernidad) a través de una cuidada selección de obras de artistas tan importantes como Valeriano Domínguez-Becquer, Eugenio Lucas Velázquez, José Jiménez Aranda, José Moreno Carbonero, Guillermo Gómez Gil, Mariano Fortuny, Raimundo de Madrazo, Emilio Sala, Carlos de Haes, Antonio María Reyne Manescau, Ramon Marti i Alsina, Aureliano de Beruete, Ignacio Pinazo, Antonio Muñoz Degrain, Modest Urgell, Eliseu Meifrén, Ricard Canals, Ramon Casas, Francisco Iturrino, Cecilio Pla, Darío de Regoyos, Julio Romero de Torres, Joaquín Sorolla e Ignacio Zuloaga.</p> ",POINT (372933.4765363195 4064903.9283056767)
da_museos.fid--7b4b556b_15ed4cde20f_-cb1,2856,Museo Félix Revello de Toro,"El Museo Revello de Toro está concebido como un espacio expositivo dotado de la más avanzada tecnología y que se propone cumplir tres objetivos.<BR>


En primer lugar, su finalidad esencial es exponer permanentemente la cesión que el afamado retratista y pintor figurativo malagueño Félix Revello de Toro ha realizado a su ciudad natal.<BR>


De las ciento cuarenta y dos obras se muestran al público ciento dieciséis entre óleos, bocetos y dibujos que forman la colección permanente del Museo.<BR>


Pero también se ha logrado recuperar y poner en valor la Casa-taller de Pedro de Mena, uno de los pocos inmuebles domésticos que se conservan en Málaga de aquel periodo.<BR>


Finalmente, pero no en último lugar, potenciar la figura del simpar imaginero del siglo XVII Pedro de Mena divulgando el conocimiento de su obra y de su trayectoria vital y artística.

",POINT (373348.38544808666 4064812.33536722)
da_museos.fid--7b4b556b_15ed4cde20f_-cb0,2858,Museo de Málaga.,"<p>
El Museo de Málaga alberga las colecciones de dos insignes instituciones museísticas malacitanas, el Museo de Bellas Artes y el Museo Arqueológico Provincial, y cuenta con más de 15.000 referencias en arqueología y una amplia colección pictórica de 2.000 obras producidas en los siglos XIX y XX. Es el quinto museo más grande de España y el mayor de Andalucía. 
 
La sede del museo es el  Palacio de la Aduana, proyectado en 1788. De estilo neoclásico, está construido a la manera de los palacios renacentistas italianos, con cuatro crujías en torno a un patio central porticado. Además de aduana, ha sido sede de la Real Fábrica de Tabaco y Subdelegación del Gobierno en la Provincia.
 
En su conjunto, el museo cuenta con una magnífica sección de Bellas Artes, que incluye lienzos y esculturas de artistas de la talla de Luis de Morales, Luca Giordano, Murillo, Antonio del Castillo, Alonso Cano, Ribera, Velázquez, Vicente Carducho, Goya, Pedro de Mena o Zurbarán. 
 
La institución custodia la que está considerada como una de las mayores colecciones de pintura del siglo XIX en España, formada por obras de Sorolla, Carlos de Haes, Federico Madrazo, Esquivel, Vicente López Portaña o Ramón Casas, así como varios de los más célebres integrantes de la denominada Escuela Malagueña de Pintura: Moreno Carbonero, Enrique Simonet, Muñoz Degrain, José Nogales o Bernardo Ferrándiz. 
Además posee una interesante colección de arte moderno español hasta la década de 1950 con obras de Picasso, Rafael Canogar, Juan Barjola, Óscar Domínguez o Josep Guinovart, entre otros. La colección arqueológica posee unos fondos de más de 15.000 piezas, que abarcan un periodo histórico desde siglo VIII a. C. hasta el Medievo. 
 
En las últimas décadas se han incorporado piezas procedentes de las excavaciones efectuadas por la Universidad de Málaga. De igual forma, se han ido depositando diversos lotes provenientes de las abundantísimas intervenciones arqueológicas preventivas y de urgencia que en los últimos 20 años se han desarrollado en el casco urbano de Málaga.",POINT (373417.40594413085 4064768.038732683)
da_museos.fid--7b4b556b_15ed4cde20f_-caf,1939,"Museo de Arte Flamenco. ""Peña Juan Breva""","<p>En el Museo de Arte Flamenco de la Peña Juan Breva, se muestran más de 5.000 piezas, entre ellas una colección de más de 2.500 discos, una de las más importantes de España con algunos ejemplares del siglo XIX.</p> 

<p>También se pueden ver unas 20 guitarras, que en algún caso tienen una antigüedad de más de dos siglos; aparatos reproductores; carteles; mantones de Manila; batas de cola, obras de arte fechadas en los siglos XIX y XX e importantes fondos bibliográficos y fonográficos sobre flamenco.</p>

<p>La planta primera está destinada a las colecciones. La planta segunda es el Centro de Documentación e Investigación del museo. La planta sótano se dedica al desarrollo de las actividades propiamente flamencas de la Peña. La planta baja, o principal, acoge la recepción, exposiciones, conferencias, bar y servicios. Por último, la planta tercera con el almacén se reserva para salas de grabaciones, audiciones, archivo y oficinas.</p> 
<p>Estas y otras piezas componen el nuevo Museo del Flamenco.</p>",POINT (373261.3665288613 4065088.8101534816)
da_museos.fid--7b4b556b_15ed4cde20f_-cae,2546,Museo de Arte Flamenco Juan Breva,"El Ayuntamiento, a través del Instituto Municipal de la Vivienda, ha cedido gratuitamente y por un periodo de 30 años el edificio donde se sitúa este nuevo museo y la sede de la Peña Juan Breva. Además, desde el Área de Cultura se colabora habitualmente con la entidad. Así, en el muevo museo figuran soportes exposititos cedidos por el Ayuntamiento y que formaron parte de dos exposiciones que se celebraron en el Archivo Municipal.
<br>El edificio, ocupa un solar de forma trapezoidal  con una superficie de 159,91 metros cuadrados. El inmueble  tiene un total de 887, 58 metros cuadrados construidos, distribuidos en cinco plantas  y un sótano.
<br>
Las plantas primera y segunda se destinan exclusivamente a la instalación y zona expositiva del Museo del Arte Flamenco. Estas dos plantas, además de la sala de exposiciones cuentan con vestíbulo y ascensor y  cuarto de aseo.",POINT (373261.3665288613 4065088.8101534816)
da_museos.fid--7b4b556b_15ed4cde20f_-cad,1933,Museo de Semana Santa. Museo de las Cofradías.,"<p>Con un planteamiento didáctico y utilizando los medios más avanzados desde el punto de vista estructural y técnico, la exposición está concebida con un elevado grado pedagógico. </p>
<p>En un espacio de 1.092 metros cuadrados, de los que 600 conforman la parte expositiva permanente, los turistas pueden  visitar también la iglesia de San Julián, que cuenta con la mayor colección pictórica barroca de Málaga, con obras de Juan Niño de Guevara.</p> <p>Además, el museo dispone  también  de dos salas de exposición itinerante que amplían las posibilidades de uso del espacio.</p>
<p>El Museo de Semana Santa cuenta con obras escultóricas, pictóricas y de orfebrería cedidas por la Agrupación de Cofradías y algunas de las hermandades más señeras de la capital de forma que el visitante pueda llevarse una idea muy clara de cómo se vive una procesión en Málaga.</p>
",POINT (372971.88099149056 4065144.1463105967)
da_museos.fid--7b4b556b_15ed4cde20f_-cac,1202,Museo de la Archicofradía de la Esperanza,"<p>La fundación de esta Pontificia y Real Archicofradía fue anterior a 1567 en el Convento de Santo Domingo.</p> <p>Actualmente tiene su sede en la Basílica de la que son titulares el Dulce Nombre de Jesús Nazareno del Paso y María Santísima de la Esperanza, desde 1988, año de la Coronación Canónica de la Virgen.</p>
<p>Junto al templo se encuentra el museo donde llaman poderosamente la atención los tronos procesionales.</p> 
<p>Una muestra de arte religioso que comprende pintura, talla, orfebrería y bordados se extiende en dos plantas con una superficie de 400 m2. Destacan el fresco ¿La Pasión según San Juan¿, obra neocubista de Rodríguez-Acosta; y el monumental mural que cubre el techo y relata la historia de la Archicofradía con un lenguaje expresivo popular, pintado por Eugenio Chicano en 2002.</p> 

<p>Bordados en oro sobre terciopelo llaman la atención el palio y los mantos de la Stma. Virgen, así como estandartes, guiones y dalmáticas. En cuanto a orfebrería sobresalen la cruz del Nazareno del Paso, las coronas y una amplia variedad de enseres de procesión: bocinas, mazas, lábaros o faroles. Los ocho paños de bocina son un prodigio de técnica mixta que combinan el bordado, la orfebrería y la talla en marfil.</p>
<p>La visita se inicia en la Basílica con un itinerario explicativo que da sentido a todo lo demás.</p>
<p>Actualmente se halla sometido a un proceso de restauración y mejora de sus instalaciones que terminará en breve.</p>",POINT (372576.33407404687 4064555.2695881394)
da_museos.fid--7b4b556b_15ed4cde20f_-cab,3111,Museo Málaga Club de Fútbol. Museo & Tour,"<p>El Museo de la Fundación Málaga Club de Fútbol se ubica en las instalaciones del Estadio La Rosaleda e incluye como gran novedad el Tour Malaguista, donde disfrutarán de:</p>
<p>1. Recepción, visita la zona VIP y domina todo el estadio desde la vista panorámica.</p>
<p>2. Recorrido por el Palco Presidencial y Gradas.</p>
<p>3. Acceso a la Sala de Prensa.</p>
<p>4. Sala de la Historia del Estadio de la Rosaleda.</p>
<p>5. Visita al pasillo de vestuarios y salida al terreno de juego.</p>
<p>6. Visita al vestuario local.</p>
<p>7. Pasillo de la historia del Málaga C.F.</p>
<p>8. Sala del Museo y tienda.</p>

<p>El motivo fundamental de este proyecto es que todos las personas, conozcan al Málaga CF, repasando toda su historia, conociendo sus rincones y lo más llamativo de la actualidad del equipo de nuestra ciudad, de esta forma fomentaremos y acercaremos el deporte a los niños y mayores.</p>",POINT (372621.78941710806 4066227.90882909)
da_museos.fid--7b4b556b_15ed4cde20f_-caa,3360,Museo y Basílica de Santa María la Victoria,"La visita  al Museo de la Victoria incluye la cripta de los Condes de Buenavista, el camarín de la Patrona, la sala de enseres históricos de la Virgen y un breve recorrido por el interior de la Basílica.",
da_museos.fid--7b4b556b_15ed4cde20f_-ca9,1184,Museo Alborania-Aula del Mar de Málaga,"La institución Museo-Acuario-Aula del Mar es el organismo museístico más completo de la provincia de Málaga. El Aula del Mar tiene como objetivo fundamental dar a conocer la riqueza y variedad de vida que alberga el Mar de Alborán, zona de influencia científica del museo, sus espacios naturales, sus gentes y tradiciones marineras, así como concienciar a todo visitante de la necesidad de cuidar y proteger el medio marino.

El Museo cuenta con más de treinta acuarios, entre exposicion y experimentacion, y una capacidad de 50.000 litros.

Info Extra:
Dispone de sala de proyecciones, laboratorio, biblioteca, y salas para realizar talleres temáticos y actividades. Oferta otros servicios como cursos de medio ambiente y formación sobre temas marinos y su aplicación didáctica, etc.",POINT (373439.4493965305 4064506.9518657667)
da_museos.fid--7b4b556b_15ed4cde20f_-ca8,7990,Centro de Arte de Tauromaquia-Colección Juan Barco. CAT,"El Centro de Arte de la Tauromaquia acogerá la colección de Juan Barco sobre el mundo taurino, que ha sido catalogada por expertos como ¿la mejor y más completa del mundo¿.

La colección

Ocho espacios, repartidos en tres plantas estarán dedicados a la colección: ¿Del mito al toro¿; ¿Orígenes del arte de torear¿; ¿El toro: tótem del Mediterráneo¿; ¿Tauromaquias: obras artísticas¿; ¿El torero: héroe y creador¿; ¿El cartel: reclamo e imagen pública¿; ¿La plaza: la escena¿ y ¿Tercios y suertes de la lidia¿.

Se expondrán 300 piezas de las 3000 que se poseen, donde se podrán ver entre otras estampas de la tauromaquia realizadas por Goya, Antonio Carnicero y Picasso; el traje de torear que Picasso le diseñó a Luis Miguel Dominguín; el Minotauro de Salvador Dalí; una selección de carteles de las épocas comprendidas entre los reinados de Carlos III e Isabel II y  otros ejemplares procedentes de distintos lugares singulares del mundo como son La Habana o Guatemala. También se podrán observar los trajes de luces de diestros como Lagartijo, Antonio Fuentes, El Juli, Cayetano y otros toreros, entre otros elementos de relevancia taurina.

El edificio, ubicado en la plaza del Siglo y recientemente rehabilitado para uso museístico,  cuenta con 1570 metros distribuidos en cinco plantas. La planta baja contará con una sala multiuso, donde se podrán celebrar actividades culturales relacionadas con la tauromaquia y exposiciones temporales de la propia colección. En las tres plantas superiores se distribuirán las obras de arte y las piezas. En el ático estará ubicada la cafetería.

El artífice de esta colección ha sido el extremeño Juan Barco, quien durante más de 30 años se ha dedicado a incrementar su colección a través de una labor de investigación, de forma que ha conseguido formar la historia de España repartida por todo el mundo.  

La Colección Juan Barco proviene de países como Estados Unidos, Argentina, Reino Unido, Francia o Australia.",POINT (373176.7714740733 4064925.8396921437)
