TIPO,EJERCICIO,ECONÓMICO,ABREVIADA,DESCRIPCIÓN
"I",2015,"11700","IMP SOBRE VIVIENDAS DESOCUPADAS","IMPUESTO SOBRE VIVIENDAS DESOCUPADAS"
"I",2015,"13","Imp sobre las actividades económicas","Impuesto sobre las actividades económicas"
"I",2015,"130","Imp sobre actividades económicas","Impuesto sobre actividades económicas"
"I",2015,"13000","IMP SOBRE ACTIVIDADES ECONOMICAS","IMPUESTO SOBRE ACTIVIDADES ECONOMICAS."
"I",2015,"16","Recargos s/imp directos Estado y CC. AA.","Recargos sobre impuestos directos del Estado y de la Comunidad Autónoma"
"I",2015,"160","Sobre impuestos del Estado","Sobre impuestos del Estado"
"I",2015,"16000","RECARGOS SOBRE IMP DIRECTOS DEL ESTADO","RECARGOS SOBRE IMPUESTOS DIRECTOS DEL ESTADO"
"I",2015,"161","Sobre imp de la Comunidad  Autónoma","Sobre impuestos de la Comunidad  Autónoma"
"I",2015,"16100","RECARGOS S/IMP DIRECTOS DE JTA ANDALUCIA","RECARGOS SOBRE IMPUESTOS DIRECTOS DE LA JUNTA DE ANDALUCIA"
"I",2015,"17","Recargos s/imp directos de otros EE. LL.","RECARGOS SOBRE IMPUESTOS DIRECTOS DE OTROS ENTES LOCALES"
"I",2015,"170","En el Impuesto sobre bienes inmuebles","En el Impuesto sobre bienes inmuebles"
"I",2015,"17000","RECARGO EN EL IMP S/BIENES INMUEBLES","RECARGO EN EL IMPUESTO SOBRE BIENES INMUEBLES"
"I",2015,"171","Recargo provincial Imp s/act económicas","RECARGO PROVINCIAL EN EL IMPUESTO SOBRE ACTIVIDADES ECONóMICAS"
"I",2015,"17100","RECARGO PROVINCIAL IMP S/ACT ECONOMICAS","RECARGO PROVINCIAL EN EL IMPUESTO SOBRE ACTIVIDADES ECONóMICAS"
"I",2015,"179","Otros recargos s/imp direc otros EE.LL.","OTROS RECARGOS SOBRE IMPUESTOS DIRECTOS DE OTROS ENTES LOCALES"
"I",2015,"17900","OTROS RECARGOS S/IMP DIREC OTROS EE.LL.","OTROS RECARGOS SOBRE IMPUESTOS DIRECTOS DE OTROS ENTES LOCALES"
"I",2015,"18","Impuestos directos extinguidos","Impuestos directos extinguidos"
"I",2015,"180","Impuestos directos extinguidos","Impuestos directos extinguidos"
"I",2015,"18000","IMPUESTOS DIRECTOS EXTINGUIDOS","IMPUESTOS DIRECTOS EXTINGUIDOS"
"I",2015,"19","Otros impuestos directos","Otros impuestos directos"
"I",2015,"190","Otros impuestos directos","Otros impuestos directos"
"I",2015,"19000","OTROS IMPUESTOS DIRECTOS","OTROS IMPUESTOS DIRECTOS"
"I",2015,"2","IMPUESTOS INDIRECTOS","IMPUESTOS INDIRECTOS"
"I",2015,"21","Impuestos sobre el valor añadido","Impuestos sobre el valor añadido"
"I",2015,"210","Impuesto sobre el valor añadido","Impuesto sobre el valor añadido"
"I",2015,"21000","IMPUESTO SOBRE EL VALOR AÑADIDO","IMPUESTO SOBRE EL VALOR AÑADIDO"
"I",2015,"22","Sobre consumos específicos","Sobre consumos específicos"
"I",2015,"220","Impuestos especiales","Impuestos especiales"
"I",2015,"22000","IMP ESPECIAL ALCOHOL Y BEBIDAS DERIVADAS","IMPUESTO ESPECIAL SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS"
"I",2015,"22001","IMPUESTO ESPECIAL SOBRE LA CERVEZA","IMPUESTO ESPECIAL SOBRE LA CERVEZA"
"I",2015,"22002","IMP ESPECIAL VINO Y BEBIDAS FERM","IMPUESTO ESPECIAL SOBRE VINO Y BEBIDAS FERMENTADAS"
"I",2015,"22003","IMP ESPECIAL  LABORES DEL TABACO","IMPUESTO ESPECIAL SOBRE LABORES DEL TABACO"
"I",2015,"22004","IMP ESPECIAL SOBRE HIDROCARBUROS","IMPUESTO ESPECIAL SOBRE HIDROCARBUROS"
"I",2015,"22005","IMP ESPECIAL DETERM MTRANSPORTE","IMPUESTO ESPECIAL SOBRE DETERMINADOS MEDIOS DE TRANSPORTE"
"I",2015,"22006","IMP ESPECIAL PRODUCTOS INTERMEDIOS","IMPUESTO ESPECIAL SOBRE PRODUCTOS INTERMEDIOS"
"I",2015,"22007","IMPUESTO ESPECIAL SOBRE  LA ENERGIA","IMPUESTO ESPECIAL SOBRE  LA ENERGIA"
"I",2015,"22008","IMP ESP VTAS MINORISTAS HIDROCARB","IMPUESTO ESPECIAL SOBRE VENTAS MINORISTAS DE HIDROCARBUROS"
"I",2015,"22009","EXACCION SOBRE LA GASOLINA","EXACCION SOBRE LA GASOLINA"
"I",2015,"26","Recargos s/imp indirec Estado y CC.AA.","RECARGOS SOBRE IMPUESTOS INDIRECTOS DEL ESTADO Y DE LA COMUNIDAD AUTóNOMA"
"I",2015,"260","Sobre impuestos del Estado","Sobre impuestos del Estado"
"I",2015,"26000","RECARGOS S/IMP INDIRECTOS ESTADO","RECARGOS SOBRE IMPUESTOS INDIRECTOS DEL ESTADO"
"I",2015,"261","Sobre imp Comunidad  Autónoma","Sobre impuestos de la Comunidad  Autónoma"
"I",2015,"26100","RECARGOS S/IMP INDIRECTOS JTA ANDALUCIA","RECARGOS SOBRE IMPUESTOS INDIRECTOS DE LA JUNTA DE ANDALUCIA."
"I",2015,"27","Recargos s/imp indirectos de otros EE.LL","Recargos sobre impuestos indirectos de otros entes LOCALES."
"I",2015,"270","Sobre impuestos de otros entes locales","Sobre impuestos de otros entes locales"
"I",2015,"27000","RECARGOS S/IMP INDIRECTOS OTROS EE. LL.","RECARGOS SOBRE IMPUESTOS INDIRECTOS DE OTROS ENTES LOCALES."
"I",2015,"28","Impuestos indirectos extinguidos","Impuestos indirectos extinguidos"
"I",2015,"280","Impuestos indirectos extinguidos","Impuestos indirectos extinguidos"
"I",2015,"28000","IMP  INDIRECTOS EXTINGUIDOS","IMPUESTOS  INDIRECTOS EXTINGUIDOS."
"I",2015,"29","Otros Impuestos indirectos","Otros Impuestos indirectos"
"I",2015,"290","Imp s/construcciones, inst y obras","IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS"
"I",2015,"29000","IMP S/CONSTRUCCIONES, INST Y OBRAS","IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS."
"I",2015,"291","Imp s/gtos suntuarios (Ccaza y pesca)","Impuesto sobre gastos suntuarios (Cotos de caza y pesca)"
"I",2015,"29100","COTOS DE CAZA","COTOS DE CAZA"
"I",2015,"292","AIEM","ARBITRIO SOBRE IMPORTACIONES Y ENTREGAS DE MERCANCIAS EN CANARIAS (AIEM)"
"I",2015,"293","IGIC","Impuesto general indirecto canario (IGIC)"
"I",2015,"294","IPSI de Ceuta y Melilla","IMPUESTO SOBRE LA PRODUCCIóN, LOS SERVICIOS Y LA IMPORTACION (IPSI) DE CEUTA Y MELILLA"
"I",2015,"295","Impuesto s/primas de seguros","Impuesto sobre primas de seguros"
"I",2015,"29500","IMP SOBRE PRIMAS DE SEGUROS","IMPUESTO SOBRE PRIMAS DE SEGUROS"
"I",2015,"296","Imp s/transm patr y actos jurídicos doc","Impuesto sobre transmisiones patrimoniales y actos JURíDICOS DOCUMENTADOS"
"I",2015,"29600","IMP S/TRANSM PATR Y ACTOS JURIDICOS DOC","IMPUESTO SOBRE TRANSMISIONES PATRIMONIALES Y ACTOS JURIDICOS DOCUMENTADOS"
"I",2015,"299","Otros Impuestos indirectos","Otros Impuestos indirectos"
"I",2015,"29900","OTROS IMPUESTOS INDIRECTOS","OTROS IMPUESTOS INDIRECTOS"
"I",2015,"3","TASAS, PP Y OTROS INGRESOS","TASAS, PRECIOS PÚBLICOS  Y OTROS INGRESOS"
"I",2015,"30","Tasas prest servicios públicos básicos","TASAS  POR LA PRESTACIóN DE SERVICIOS PúBLICOS BASICOS"
"I",2015,"300","Servicio de abastecimiento de agua","Servicio de abastecimiento de agua"
"I",2015,"30000","TASA ABASTECIMIENTO AGUA POTABLE","TASA POR SERVICIO DE ABASTECIMIENTO AGUA POTABLE"
"I",2015,"301","Servicio de alcantarillado","Servicio de alcantarillado"
"I",2015,"30100","TASA SERVICIO DE ALCANTARILLADO","TASA POR SERVICIO DE ALCANTARILLADO"
"I",2015,"302","Servicio de recogida de basuras","Servicio de recogida de basuras"
"I",2015,"30200","TASA POR RECOGIDA DE BASURAS.","TASA POR RECOGIDA DE BASURAS."
"I",2015,"303","Servicio de tratamiento de residuos","Servicio de tratamiento de residuos"
"I",2015,"30300","TASA SERV TRATAMIENTO DE RESIDUOS","TASA POR SERVICIO DE TRATAMIENTO DE RESIDUOS"
"I",2015,"304","Canón de saneamiento","Canón de saneamiento"
"I",2015,"30400","CANON DE SANEAMIENTO","CANON DE SANEAMIENTO"
"I",2015,"309","Otras tasas prest servicios básicos","Otras tasas por prestación de servicios básicos"
"I",2015,"30900","T SERV EXTINCION INCENDIOS Y SALVAMENTO","TASA POR SERVICIOS DE EXTINCION DE INCENDIOS Y SALVAMENTO"
"I",2015,"30901","TASA POR CEMENTERIOS","TASA POR CEMENTERIOS"
"I",2015,"30902","T PREST SERV CONTROL SANITARIO EN MATAD","TASAS POR PRESTACION SERVICIO DE CONTROL SANITARIO EN MATADEROS, SALAS DE DESPIECE, ETC."
"I",2015,"30903","VISITAS JARDIN DE LA  CONCEPCION","VISITAS AL JARDIN BOTANICO HISTORICO DE LA CONCEPCION"
"I",2015,"30904","SERVICIOS ESPECIALES DE LA POLICIA","SERVICIOS ESPECIALES DE LA POLICIA"
"I",2015,"31","T prest serv públ cter social y prefer","TASAS POR LA PRESTACIóN DE SERVICIOS PúBLICOS DE CARÁCTER SOCIAL Y PREFERENTE"
"I",2015,"310","Servicios hospitalarios","Servicios hospitalarios"
"I",2015,"311","Servicios asistenciales","Servicios asistenciales"
"I",2015,"312","Servicios educativos","Servicios educativos"
"I",2015,"313","Servicios deportivos","Servicios deportivos"
"I",2015,"319","Otras tasas prest serv carácter preferen","OTRAS TASAS POR PRESTACIóN DE SERVICIOS DE CARÁCTER PREFERENTE"
"I",2015,"31919","","VISITAS AL JARDIN BOTANICO HISTORICO DE LA CONCEPCION"
"I",2015,"32","Tasas realiz act competencia local","TASAS  POR LA REALIZACIóN DE ACTIVIDADES DE COMPETENCIA LOCAL"
"I",2015,"320","Licencias de caza y pesca","Licencias de caza y pesca"
"I",2015,"32000","LICENCIAS DE CAZA Y PESCA","LICENCIAS DE CAZA Y PESCA"
"I",2015,"321","Licencias urbanísticas","Licencias urbanísticas"
"I",2015,"32100","LICENCIAS URBANISTICAS.","LICENCIAS URBANISTICAS."
"I",2015,"322","C habitabilidad y lic primera ocupación","CEDULAS DE HABITABILIDAD Y LICENCIAS DE PRIMERA OCUPACION"
"I",2015,"32200","C HABITABILIDAD Y LIC PRIMERA OCUPACION","CEDULAS DE HABITABILIDAD Y LICENCIAS DE PRIMERA OCUPACION"
"I",2015,"323","Tasas por otros servicios urbanísticos","Tasas por otros servicios urbanísticos"
"I",2015,"32300","PROTECCION ARQUEOLOGICA","PROTECCION ARQUEOLOGICA"
"I",2015,"32301","TASA POR CONTROL DE CALIDAD","TASA POR CONTROL DE CALIDAD"
"I",2015,"324","Tasas sobre el juego","Tasas sobre el juego"
"I",2015,"32400","TASAS SOBRE EL JUEGO","TASAS SOBRE EL JUEGO"
"I",2015,"325","Tasa por expedición documentos.","Tasa por expedición de documentos."
"I",2015,"32500","TASA EXPEDICION DOCUMENTOS ADMINIST","TASA POR EXPEDICION DE DOCUMENTOS ADMINISTRATIVOS."
"I",2015,"326","Tasa por retirada de vehículos","Tasa por retirada de vehículos"
"I",2015,"32600","TASA RETIRADA VEHICULOS","TASA POR RETIRADA DE VEHICULOS INDEBIDAMENTE ESTACIONADOS O APARCADOS EN LA VIA PUBLICA"
"I",2015,"327","TASAS VPO","TASAS VPO"
"I",2015,"32700","TASA POR CALIFICACIóN DE VPO","TASA POR CALIFICACION DE VPO"
"I",2015,"329","Otras tasas realiz Act compet local","OTRAS TASAS POR LA REALIZACIóN DE ACTIVIDADES DE COMPETENCIA LOCAL"
"I",2015,"32900","PLACAS, PATENTES, DISTINTIVOS, ETC.","PLACAS, PATENTES, DISTINTIVOS, ETC."
"I",2015,"32901","DERECHOS DE EXAMEN.","DERECHOS DE EXAMEN."
"I",2015,"32902","LIC MPLES AUTOTAXIS, AUTOTURISMOS","LICENCIAS MUNICIPALES DE AUTOTAXIS, AUTOTURISMOS Y DE SERVICIOS ESPECIALES Y DE ABONOS."
"I",2015,"32903","T LICENC Y AUTORIZACIONES  ACTIVIDADES","TASAS POR LICENCIAS Y AUTORIZACIONES DE ACTIVIDADES"
"I",2015,"32904","TRANSM ONER PTOS Y LOCALES MCDOS MPLES","TRANSMISIONES ONEROSAS DE PUESTOS Y LOCALES SITUADOS EN MERCADOS MUNICIPALES"
"I",2015,"32905","MERCADOS MUNICIPALES","MERCADOS MUNICIPALES"
"I",2015,"32906","DEP MPLES Y RECOG EFECTOS DE V PUBLICA","DEPOSITOS MUNICIPALES Y RECOGIDAS DE EFECTOS DE LA VIA PUBLICA"
"I",2015,"33","T utiliz privativa o aprov especial DPL","TASAS POR LA UTILIZACIóN PRIVATIVA O EL APROVECHAMIENTO ESPECIAL DEL DOMINIO PUBLICO LOCAL"
"I",2015,"330","Tasa estacionamiento de vehículos","Tasa de estacionamiento de vehículos"
"I",2015,"33000","ESTAC VEHICULOS EN LA VIA PUBLICA","ESTACIONAMIENTO REGULADO DE VEHICULOS DE TRACCION MECANICA EN LA VIA PUBLICA"
"I",2015,"331","Tasa por entrada de vehículos","Tasa por entrada de vehículos"
"I",2015,"33100","ENT VEHICULOS Y RVA APARC CARGA Y DESCAR","ENTRADA DE VEHICULOS Y RESERVA DE APARCAMIENTO EXCLUSIVO DE CARGA Y DESCARGA"
"I",2015,"332","T.uso privat, aprov empr serv suministro","TASA POR UTILIZACIóN PRIVATIVA O APROVECHAMIENTO ESPECIAL POR EMPRESAS EXPLOTADORAS DE SERVICIOS DE"
"I",2015,"33200","T.USO PRIVAT, APROV EMPR SERV SUMINISTRO","TASA POR UTILIZACION PRIVATIVA O APROVECHAMIENTO ESPECIAL POR EMPRESAS EXPLOTADORAS DE SERVICIOS DE"
"I",2015,"333","T.uso privat, aprovr emp serv telecomun","TASA POR UTILIZACIóN PRIVATIVA O APROVECHAMIENTO ESPECIAL POR EMPRESAS EXPLOTADORAS DE SERVICIOS DE"
"I",2015,"33300","T.USO PRIVAT, APROV EMPR SERV TELECOMUN","TASA POR UTILIZACION PRIOVATIVA O APROVECHAMIENTO ESPECIAL POR EMPRESAS EXPLOTADORAS DE SERVICIOS DE"
"I",2015,"334","Tasa apertura calas y zanjas","Tasa por apertura de calas y zanjas"
"I",2015,"33400","TASA POR APERTURA DE CALAS Y ZANJAS","TASA POR APERTURA DE CALAS Y ZANJAS"
"I",2015,"335","Tasa ocupación vía publica con terrazas","Tasa por ocupación de la vía publica con terrazas"
"I",2015,"33500","OCUP VPUBLICA CON MESAS, SILLAS, VELADOR","OCUPACION DE LA VIA PUBLICA CON MESAS, SILLAS, VELADORES, TABLADOS, TRIBUNAS, ETC."
"I",2015,"336","T ocup vpublica susp tempòral trafico","TASA POR OCUPACIóN DE LA VíA PUBLICA CON SUSPENSION TEMPORAL DEL TRAFICO RODADO"
"I",2015,"33600","TOCUP VPUBLICA SUSP TEMPORAL TRAFICO","TASA POR OCUPACION DE LA VIA PUBLICA CON SUSPENSION TEMPORAL DEL TRAFICO RODADO"
"I",2015,"337","Tasas aprovechamiento del vuelo","Tasas por el  aprovechamiento del vuelo"
"I",2015,"33700","TOLDOS E INSTALACIONES SEMEJANTES","TOLDOS E INSTALACIONES SEMEJANTES"
"I",2015,"33701","OTRAS TASAS APROVECHAMIENTO VUELO","OTRAS TASAS POR APROVECHAMIENTO DEL VUELO"
"I",2015,"338","Comp Telefónica de España S.A.","Compensación de Telefónica de España S.A."
"I",2015,"33800","COMP TELEFONICA ESPAÑA S.A.","COMPENSACION DE TELEFONICA ESPAÑA S.A."
"I",2015,"339","Otras tasas utiliz privat dominio públic","Otras tasas por utilización privativa del dominio público"
"I",2015,"33900","EVENTOS,CELEBR EN LA CONCEPC Y CONSULA","EVENTOS Y CELEBRACION DE BODAS EN LAS FINCAS DE LA CONCEPCION Y LA CONSULA"
"I",2015,"33901","QUIOSCOS","QUIOSCOS"
"I",2015,"33902","PTOS, BARRACAS, CASETAS VTA, IND CALLEJ","PUESTOS, BARRACAS, CASETAS DE VENTA, INDUSTRIAS CALLEJERAS Y AMBULANTES, RODAJES CINEMATOGRAFICOS, T"
"I",2015,"33903","CONTENEDORES, INST ESCOMBROS","CONTENEDORES, INSTALACIONES O APARATOS ANALOGOS PARA LA RECOGIDA DE ESCOMBROS"
"I",2015,"33904","APROV RECINTOS E INST PARQUES MPLES","APROVECHAMIENTOS ESPECIALES DE RECINTOS E INSTALACIONES DE LOS PARQUES MUNICIPALES"
"I",2015,"33905","VALLAS, ANDAMIOS, ETC.","VALLAS, ANDAMIOS, ETC."
"I",2015,"33906","TUNEL SUBTERRANEO C/ HILERA","TUNEL SUBTERRANEO C/ HILERA"
"I",2015,"33907","TASA POR CAJEROS AUTOMATICOS"," TASA POR OCUPACIóN DE LA VIA PUBLICA CON CAJEROS AUTOMATICOS"
"I",2015,"34","Precios públicos","Precios públicos"
"I",2015,"340","Servicios hospitalarios","Servicios hospitalarios"
"I",2015,"34001","EST HOSPITALES, SANATORIOS, AMBULANCIAS","ESTANCIAS EN HOSPITALES, SANATORIOS, SERVICIOS DE AMBULANCIAS ETC."
"I",2015,"341","Servicios asistenciales","Servicios asistenciales"
"I",2015,"34100","RESID Y C ACOGIDA 3ª. EDAD,NIÑOS, GUARD","RESIDENCIAS Y CENTROS DE ACOGIDA PARA LA 3ª. EDAD, NIÑOS, GUARDERIAS INFANTILES, PISOS ASISTIDOS, ET"
"I",2015,"34101","SERVICIOS FUNERARIOS","SERVICIOS FUNERARIOS"
"I",2015,"342","Servicios educativos","Servicios educativos"
"I",2015,"34200","CURSOS  FORMACION Y PERFECCIONAMIENTO","CURSOS DE FORMACION Y PERFECCIONAMIENTO."
"I",2015,"34201","PROG ACT, VACAC JOVENES Y OTRAS","PROGRAMAS DE ACTIVIDADES, VACACIONES JOVENES Y OTRAS ACTIVIDADES FORMATIVAS Y DE DESARROLLO CULTURAL"
"I",2015,"34202","ENSEÑANZAS ESPECIALES Y OTRAS.","ENSEÑANZAS ESPECIALES Y OTRAS."
"I",2015,"343","Servicios deportivos","Servicios deportivos"
"I",2015,"34300","INSTALACIONES DEPORTIVAS","INSTALACIONES DEPORTIVAS"
"I",2015,"344","Entradas museos, exposiciones, espectac.","Entradas a museos, exposiciones, espectáculos, etc ."
"I",2015,"34400","FESTIVALES Y ESPECTACULOS.","FESTIVALES Y ESPECTACULOS."
"I",2015,"34401","CONMEM, HOMENAJES, EXPOSICIONES Y OTROS","CONMEMORACIONES, HOMENAJES, EXPOSICIONES Y OTROS ACTOS CULTURALES."
"I",2015,"34402","MUSEOS, BIBLIOT, MONUMENTOS Y ANALOGOS","MUSEOS, BIBLIOTECAS, MONUMENTOS Y SERVICIOS ANÁLOGOS"
"I",2015,"345","Servicio de transporte público urbano","Servicio de transporte público urbano"
"I",2015,"34500","TRANSPORTES URBANOS","TRANSPORTES URBANOS"
"I",2015,"349","Otros precios públicos.","Otros precios públicos."
"I",2015,"34900","CELEBRACION BODAS CIVILES EN EL AYTO","CELEBRACION DE BODAS CIVILES EN EL AYUNTAMIENTO DE MALAGA."
"I",2015,"34901","SERVICIOS DEL PARQUE SANITARIO.","SERVICIOS DEL PARQUE SANITARIO."
"I",2015,"34902","SERVICIOS LABORATORIO MAMBIENTE","SERVICIOS DEL LABORATORIO DE MEDIO AMBIENTE Y SALUBRIDAD."
"I",2015,"34903","MATADEROS.","MATADEROS."
"I",2015,"34904","APROV ESP PLAYAS Y ZONA  MRTMO-TERRESTRE","APROVECHAMIENTOS ESPECIALES DE PLAYAS Y ZONA MARITIMO-TERRESTRE"
"I",2015,"34905","VIGILANC VEHICULOS EN APARCAMIENTO","VIGILANCIA DE VEHICULOS EN LUGARES DESTINADOS A SU APARCAMIENTO (INVALIDOS CIVILES)"
"I",2015,"34906","PRESTACION SERVICIOS EN LA CAJA BLANCA","PRESTACION DE SERVICIOS EN LA CAJA BLANCA"
"I",2015,"34907","","SERVICIOS DEL LABORATORIO DE MEDIO AMBIENTE Y SALUBRIDAD."
"I",2015,"34908","","SERVICIOS DEL LABORATORIO DE MEDIO AMBIENTE Y SALUBRIDAD."
"I",2015,"35","Contribuciones especiales","Contribuciones especiales"
"I",2015,"350","Para la ejecución de obras","Para la ejecución de obras"
"I",2015,"35000","CONTRIB ESPECIALES EJECUCION OBRAS","CONTRIBUCIONES ESPECIALES PARA LA EJECUCION DE OBRAS."
"I",2015,"351","Para establec o ampliación de servicios","Para el establecimiento o ampliación de servicios"
"I",2015,"35100","CONTRIB ESP ESTABLEC,AMPL O MEJORA SERV","CONTRIBUCIONES ESPECIALES PARA EL ESTABLECIMIENTO, AMPLIACION O MEJORA DE SERVICIOS."
"I",2015,"36","Ventas","Ventas"
"I",2015,"360","VENTA DE PUBLICACIONES.","VENTA DE PUBLICACIONES."
"I",2015,"36000","VENTA DE PUBLICACIONES.","VENTA DE PUBLICACIONES."
"I",2015,"361","Venta de fotocopias y otros","VENTA DE FOTOCOPIAS Y OTROS PRODUCTOS DE REPROGRAFIA"
"I",2015,"36100","VTA FOTOCOPIAS Y OTROS","VENTA DE FOTOCOPIAS Y OTROS PRODUCTOS DE REPROGRAFIA"
"I",2015,"362","venta de material de desecho","VENTA DE MATERIAL DE DESECHO."
"I",2015,"36200","VENTA DE MATERIAL DE DESECHO.","VENTA DE MATERIAL DE DESECHO."
"I",2015,"363","venta de impresos","VENTA DE IMPRESOS."
"I",2015,"36300","VENTA DE IMPRESOS.","VENTA DE IMPRESOS."
"I",2015,"364","Venta ByS produc establec Corporación","VENTA DE BIENES Y SERVICIOS PRODUCIDOS EN ESTABLECIMIENTOS DE LA CORPORACION"
"I",2015,"36400","BIENES Y SERVICIOS AL EXTERIOR.","BIENES Y SERVICIOS AL EXTERIOR."
"I",2015,"36401","SERVICIOS AL AYUNTAMIENTO DE MALAGA","SERVICIOS AL AYUNTAMIENTO DE MALAGA"
"I",2015,"369","Venta de otros bienes","VENTA DE OTROS BIENES."
"I",2015,"36900","VENTA DE OTROS BIENES.","VENTA DE OTROS BIENES."
"I",2015,"38","Reintegros de operaciones corrientes","Reintegros de operaciones corrientes"
"I",2015,"380","Reintegro de avales","Reintegro de avales"
"I",2015,"38000","REINTEGRO DE AVALES","REINTEGRO DE AVALES"
"I",2015,"389","Otros reintegros operaciones corrientes","Otros reintegros de operaciones corrientes"
"I",2015,"38900","PAGOS INDEBIDOS EJERC ANTERIORES","PAGOS INDEBIDOS DE EJERCICIOS ANTERIORES."
"I",2015,"38901","OTROS REINTEGROS","OTROS REINTEGROS"
"I",2015,"38902","INGRESO DEVOLUCION IVA","INGRESO DEVOLUCION IVA"
"I",2015,"38903","APROVECHAMIENTOS URBANISTICOS","APROVECHAMIENTOS URBANISTICOS"
"I",2015,"39","Otros ingresos","Otros ingresos"
"I",2015,"391","Multas","Multas"
"I",2015,"39100","MULTAS POR INFRAC URBANÍSTICAS","MULTAS POR INFRACCIONES URBANÍSTICAS"
"I",2015,"39101","MULTAS COERCITIVAS","MULTAS COERCITIVAS"
"I",2015,"39110","MULTAS TRIB INCUMPLIMIENTO OBLIG FORM","MULTAS POR INFRACCIONES TRIBUTARIAS DERIVADAS DEL INCUMPLIMIENTO DE OBLIGACIONES FORMALES"
"I",2015,"39111","MULTAS TRIBUTARIAS IAE","MULTAS POR INFRACCIONES TRIBUTARIAS DERIVADAS DE LA APLICACION DEL IAE"
"I",2015,"39112","MULTAS TRIBUTARIAS ICIO","MULTAS POR INFRACCIONES TRIBUTARIAS DERIVADAS DE LA APLICACION DEL ICIO"
"I",2015,"39113","MULTAS TRIB INCR VALOR TERR NTZA URB","MULTAS POR INFRACCIONES TRIBUTARIAS DERIVADAS DE LA APLICACION DEL IMP. INCREMENTO DEL VALOR DE LOS"
"I",2015,"39114","MULTAS TRIBUTARIAS TASA DE BASURAS","MULTAS POR INFRACCIONES TRIBUTARIAS DERIVADAS DE LA APLICACIÓN DE LA TASA DE BASURAS"
"I",2015,"39115","MULTAS TRIBUTARIAS ENTRADA VEHICULOS","MULTAS POR INFRACCIONES TRIBUTARIAS DERIVADAS DE LA APLICACIÓN DE LA TASA DE ENTRADA DE VEHICULOS Y"
"I",2015,"39116","MULTAS TRIB LICENCIAS Y AUTORIZ ACTV","MULTAS POR INFRACCIONES TRIBUTARIAS DERIVADAS DE APLICACION DE LA TASA DE LICENCIAS Y AUTORIZACION D"
