FECHA,DIRECCION,Nº,TIPO CONTENDOR,UND,"NUEVA
UBICACIÓN","COSTE
(unidad)","COSTE
(Total)"
08/02/2013,RAMON PEREZ DE AYALA,S/N,CT RSU,1,HECHO 08/02/2013,"185,24","185,24"
10/02/2013,AYALA,57,CT RSU,2,HECHO 11/02/2013,"185,24","370,48"
10/02/2013,HILERA,F-8,CL PAPEL,1,HECHO 27/04/2013,"830,00","830,00"
11/02/2013,MARIA ZAYAS SOTOMAYOR - MAESE NICOLAS,,CL RSU,1,HECHO 12/02/2013,"910,00","910,00"
12/02/2013,RIO ROCIO X AYALA,,CT RSU,1,HECHO 13/02/2013,"185,24","185,24"
12/02/2013,AYALA,29,CT RSU,1,HECHO 13/02/2013,"185,24","185,24"
12/02/2013,AYALA (F-GALERIA SEDEÑO),,CT RSU,2,HECHO 13/02/2013,"185,24","370,48"
12/02/2013,AYALA X TOMAS ECHEVERRIA,,CL PAPEL,1,HECHO 13/02/2013,"830,00","830,00"
12/02/2013,AYALA X TOMAS ECHEVERRIA,,IGLU VIDRIO,1,HECHO 13/02/2013,"485,00","485,00"
12/02/2013,AYALA,33,CL PAPEL,1,HECHO 02/04/2013,"830,00","830,00"
12/02/2013,AYALA,33,CL ENVASES,1,HECHO 02/04/2013,"830,00","830,00"
18/02/2013,DECANO IGNACIO ALAMINOS,SUPERMERCADO,CT RSU,2,HECHO 18/02/2013,"185,24","370,48"
18/02/2013,AYALA,F-28,CL ENVASES,1,HECHO 02/04/2013,"830,00","830,00"
18/02/2013,AYALA,F-28,IGLU VIDRIO,1,HECHO 02/04/2013,"485,00","485,00"
18/02/2013,AV. AURORA ,3,CL PAPEL,1,HECHO 01/04/2013,"830,00","830,00"
18/02/2013,HEROE DE SOSTOA,52,CL ENVASES,1,HECHO 29/04/2013,"830,00","830,00"
18/02/2013,HEROE DE SOSTOA,52,CL PAPEL,1,HECHO 29/04/2013,"830,00","830,00"
18/02/2013,HEROE DE SOSTOA,49,IGLU PAPEL,1,HECHO 19/02/2013,"516,19","516,19"
18/02/2013,HEROE DE SOSTOA,61,IGLU PAPEL,1,HECHO 19/02/2013,"516,19","516,19"
22/02/2013,SEGISMUNDO MORET,61,CT RSU,1,HECHO 25/02/2013,"185,24","185,24"
23/02/2013,DECANO IGNACIO ALAMINOS,,CT RSU,2,HECHO 25/02/2013,"185,24","370,48"
23/02/2013,FUENTE ALEGRE  (DESCAMPADO),,3200 CHAPA,1,HECHO 24/02/2013,"860,00","860,00"
25/02/2013,ACTRIZ ROSARIO PINO,8,CL RSU,1,HECHO 26/02/2013,"910,00","910,00"
25/02/2013,HEROE DE SOSTOA,59,IGLU METALICO PAPEL,1,HECHO 26/02/2013,"780,00","780,00"
27/02/2013,PEINADO,19,CT RSU,1,HECHO 27/02/2013,"185,24","185,24"
27/02/2013,LAS NUZAS,14,IGLU PAPEL,1,,"516,19","516,19"
27/02/2013,QUITAPENAS,F-117,IGLU ENVASES,1,HECHO 01/03/2013,"516,19","516,19"
27/02/2013,NUESTRA SEÑORA DE LAS GUIAS,3,CL ENVASES,1,HECHO 01/03/2013,"830,00","830,00"
03/03/2013,MAGISTRADO SALVADOR BARBERA X BRUJULA,,CL PAPEL,1,HECHO 04/03/2013,"830,00","830,00"
03/03/2013,PALUSTRE X VILLAFUERTE,,CT RSU,1,HECHO 04/03/2013,"185,24","185,24"
03/03/2013,REALENGA DE SAN LUIS X JUCAR,,CL RSU,1,HECHO 04/03/2013,"910,00","910,00"
05/03/2013,NUESTRA SEÑORA DE LAS GUIAS,3,CL ENVASES,1,HECHO 06/03/2013,"830,00","830,00"
06/03/2013,REALENGA DE SAN LUIS X JUCAR,,CL ENVASES,1,HECHO 06/03/2013,"830,00","830,00"
08/03/2013,PLAZA VIRGEN MILAGROSA,,CT RSU,1,HECHO 11/03/2013,"185,24","185,24"
08/03/2013,PLAZA VIRGEN MILAGROSA,,IGLU ENVASES,1,HECHO 11/03/2013,"516,19","516,19"
09/03/2013,GOYA,SUPERMERCADO,IGLU PAPEL,1,HECHO 11/03/2013,"516,19","516,19"
09/03/2013,FLORES GARCIA X PSO. DE LOS TILOS,,CL PAPEL,1,HECHO 11/03/2013,"830,00","830,00"
09/03/2013,AV. CARLOS HAYA,204,CL PAPEL,1,HECHO 23/03/2013,"830,00","830,00"
09/03/2013,PLAZA . VERDIALES,3,CT RSU,1,HECHO 11/03/2013,"185,24","185,24"
09/03/2013,DOCTOR MUGUERZA BERNAL,F-27 ,CT RSU,1,HECHO 11/03/2013,"185,24","185,24"
11/03/2013,LA HOZ X TOMAS ECHEVERRIA,,CL PAPEL,1,HECHO 12/03/2013,"830,00","830,00"
11/03/2013,JUAN DEL ENCINA,5,CT RSU,1,HECHO 12/03/2013,"185,24","185,24"
11/03/2013,AMADEO VIVES,8,CT RSU,1,HECHO 12/03/2013,"185,24","185,24"
11/03/2013,JUAN DEL ENCINA,F-19,CT RSU,1,HECHO 12/03/2013,"185,24","185,24"
11/03/2013,AYALA,11,CT RSU,1,HECHO  13/03/2013,"185,24","185,24"
13/03/2013,PLAZ.  VERDIALES,3,CT RSU,1,HECHO  13/03/2013,"185,24","185,24"
13/03/2013,INGENIERO JOSE Mª GARNICA X CANALES,,CT RSU,1,HECHO  13/03/2013,"185,24","185,24"
13/03/2013,INGENIERO JOSE Mª GARNICA X FERNAN NUÑEZ,,CL PAPEL,1,HECHO  13/03/2013,"830,00","830,00"
14/03/2013,CORREGIDOR RUIZ DE PEREDA,6 y 8,CL ENVASES,1,HECHO 14/03/2013,"830,00","830,00"
14/03/2013,CORREGIDOR RUIZ DE PEREDA,6 y 8,CL PAPEL,1,HECHO 14/03/2013,"830,00","830,00"
14/03/2013,CORREGIDOR RUIZ DE PEREDA,6 y 8,IGLU VIDRIO,1,HECHO 14/03/2013,"485,00","485,00"
15/03/2013,PSO. DE SANCHA,56,CL RSU,1,HECHO 15/03/2013,"910,00","910,00"
15/03/2013,PSO. DE SANCHA,56,CL PAPEL,1,HECHO 15/03/2013,"830,00","830,00"
18/03/2013,DECANO IGNACIO ALAMINOS,SUPERMERCADO,CT RSU,1,HECHO 18/03/2013,"185,24","185,24"
24/03/2013,CRISTOBALINA FERNANDEZ,J- INSTITUTO,IGLU VIDRIO,1,HECHO 06/04/2013,"485,00","485,00"
24/03/2013,CRISTOBALINA FERNANDEZ,J- INSTITUTO,IGLU PAPEL,1,HECHO 18/03/2013,"516,19","516,19"
24/03/2013,CRISTOBALINA FERNANDEZ,J- INSTITUTO,CL RSU,1,HECHO 25/03/2013,"910,00","910,00"
31/03/2013,GENERAL BLAKE,,CT RSU,1,HECHO 01/04/2013,"185,24","185,24"
02/04/2013,ARLANZA (SEGUNDA POSTURA),7,CT RSU,1,HECHO 03/04/2013,"185,24","185,24"
03/04/2013,MIGUEL HERNANDEZ,1,CL RSU,1,HECHO 03/04/2013,"910,00","910,00"
13/04/2013,LOPEZ PINTO,,CT RSU,1,HECHO 13/04/2013,"185,24","185,24"
15/04/2013,ESQUILO,7,CL ENVASES,1,HECHO 17/04/2013,"830,00","830,00"
15/04/2013,ESQUILO,7,CL RSU,1,HECHO 15/04/2013,"910,00","910,00"
15/04/2013,PLZ. JUAN DEL ENCINA,,CT RSU,3,HECHO 15/04/2013,"185,24","555,72"
17/04/2013,FERRANDIZ  (COLEGIO EL MONTE),56,CL ENVASES,1,HECHO 18/04/2013,"830,00","830,00"
17/04/2013,FERRANDIZ  (COLEGIO EL MONTE),56,CL PAPEL,1,HECHO 18/04/2014,"830,00","830,00"
19/04/2013,SAN NICOLAS,24,CT RSU,2,HECHO 19/04/2013,"185,24","370,48"
21/04/2013,CABRIEL,F-44,CT RSU,1,HECHO 22/04/2013,"185,24","185,24"
21/04/2013,PLZ. VERDIALES,,CT RSU,2,HECHO 22/04/2014,"185,24","370,48"
21/04/2013,"LEOPOLDO ALAS ""CLARIN""",10,CL RSU,1,HECHO 22/04/2013,"910,00","910,00"
21/04/2013,"LEOPOLDO ALAS ""CLARIN""",,CL ENVASES,1,HECHO 23/04/2013,"830,00","830,00"
21/04/2013,"LEOPOLDO ALAS ""CLARIN""",,CL PAPEL,1,HECHO 23/04/2014,"830,00","830,00"
27/04/2013,VILLAFUERTE,F-27 ,CL ENVASES,1,HECHO 27/04/2013,"830,00","830,00"
27/04/2013,VILLAFUERTE,F-27 ,CL PAPEL,1,HECHO 27/04/2013,"830,00","830,00"
27/04/2013,VILLAFUERTE,8,CL ENVASES,1,HECHO 27/04/2013,"830,00","830,00"
01/05/2013,ENCARNACION FONTIVEROS (C.P MANUEL GARBAY),,CT RSU,3,HECHO 02/05/2013,"185,24","555,72"
01/05/2013,ENCARNACION FONTIVEROS (C.P MANUEL GARBAY),,IGLU PAPEL,1,HECHO 02/05/2013,"516,19","516,19"
02/05/2013,AV. DE LAS MUSAS,,CT RSU,3,HECHO 02/05/2013,"185,24","555,72"
03/05/2013,SALITRE,4,CT RSU,1,HECHO 03/05/2013,"185,24","185,24"
03/05/2013,SALITRE,F-4,IGLU VIDRIO,1,HECHO 03/05/2013,"485,00","485,00"
03/05/2013,SALITRE,F-4,CL PAPEL,1,HECHO 03/05/2013,"830,00","830,00"
03/05/2013,FERNAN NUÑUZ,12,CT RSU,1,HECHO 03/05/2013,"185,24","185,24"
03/05/2013,AV. EUROPA,91,CL PAPEL,1,HECHO 03/05/2013,"830,00","830,00"
03/05/2013,AV. EUROPA,91,CL ENVASES,1,HECHO 03/05/2013,"830,00","830,00"
03/05/2013,JACINTO VERDAGUER,J-10 ,CL PAPEL,1,HECHO 03/05/2013,"830,00","830,00"
03/05/2013,JACINTO VERDAGUER,,CL ENVASES,1,HECHO 03/05/2013,"830,00","830,00"
03/05/2013,JACINTO VERDAGUER,,IGLU VIDRIO,1,HECHO 03/05/2013,"485,00","485,00"
03/05/2013,CANAL X HOY HIGUERON,,CT RSU,1,HECHO 04/05/2013,"185,24","185,24"
04/05/2013,CMNO. DE LOS ALMENDRALES (J-BAR TERNERO),,IGLU PAPEL,1,HECHO 04/05/2013,"516,19","516,19"
04/05/2013,CMNO. DE LOS ALMENDRALES (J-BAR TERNERO),,IGLU ENVASES,1,HECHO 04/05/2013,"516,19","516,19"
04/05/2013,CMNO. DE LOS ALMENDRALES (J-BAR TERNERO),,IGLU VIDRIO,1,HECHO 04/05/2013,"485,00","485,00"
04/05/2013,DECANO IGNACIO ALAMINOS,SUPERSOL,CL ENVASES,1,HECHO 04/05/2013,"830,00","830,00"
04/05/2013,DECANO IGNACIO ALAMINOS,,CL PAPEL,1,HECHO 04/05/2013,"830,00","830,00"
04/05/2013,DECANO IGNACIO ALAMINOS,,CT RSU,3,HECHO 04/05/2013,"185,24","555,72"
05/05/2013,AV. OBISPO ANGEL HERRERA ORIA (POLIDEPORTIVO),,CL RSU,1,HECHO 06/05/2013,"910,00","910,00"
05/05/2013,NUÑEZ VELA,3,CL RSU,1,HECHO 05/05/2013,"910,00","910,00"
05/05/2013,JUNTA DE LOS CAMINOS X LAGARILLO,,CT RSU,1,HECHO 05/05/2013,"185,24","185,24"
10/05/2013,FERNAN NUÑUZ,8,CL ENVASES,1,HECHO 10/05/2013,"830,00","830,00"
10/05/2013,FERNAN NUÑUZ,8,CL PAPEL,1,HECHO 10/05/2013,"830,00","830,00"
10/05/2013,FERNAN NUÑUZ,8,CT RSU,1,HECHO 10/05/2013,"185,24","185,24"
13/05/2013,AV. EUROPA,60,CL ENVASES,1,HECHO 13/05/2013,"830,00","830,00"
13/05/2013,AV. EUROPA,60,CL PAPEL,1,HECHO 13/05/2013,"830,00","830,00"
13/05/2013,AV. EUROPA,60,IGLU VIDRIO,1,HECHO 13/05/2013,"485,00","485,00"
13/05/2013,AV. EUROPA,60,CL RSU,1,HECHO 13/05/2013,"910,00","910,00"
14/05/2013,LAGUNILLA,55,CT RSU,1,HECHO 14/05/2013,"185,24","185,24"
14/05/2013,POETA CONCHA MENDEZ,1,IGLU PAPEL,1,HECHO 14/05/2014,"516,19","516,19"
14/05/2013,VICTORIA,22,CT RSU,3,HECHO 14/05/2015,"185,24","555,72"
14/05/2013,VICTORIA,74,CL PAPEL,1,HECHO 14/05/2015,"830,00","830,00"
14/05/2013,VICTORIA,74,CL ENVASES,1,HECHO 14/05/2015,"830,00","830,00"
14/05/2013,VICTORIA,74,IGLU VIDRIO,1,HECHO 14/05/2015,"485,00","485,00"
19/05/2013,LAS CASTAÑETAS ,S/N,CL RSU,1,HECHO 20/05/2013,"910,00","910,00"
19/05/2013,BOLIVIA ,150,CL PAPEL,1,HECHO 20/05/2013,"830,00","830,00"
21/05/2013,ROMERITO X ANDRÉS BRETÓN (2400L),,CL RSU,1,HECHO 22/05/2013,"910,00","910,00"
26/05/2013,NORUEGA X SUMATRA,S/N,CT RSU,1,HECHO 27/05/2013,"185,24","185,24"
26/05/2013,JULIO VERNE,Nº4,CT RSU,2,HECHO 27/05/2013,"185,24","370,48"
26/05/2013,EUGENIO GROSS,Nº26,CL PAPEL,1,HECHO 27/05/2013,"830,00","830,00"
28/05/2013,POETA CONCHA MENDEZ(1100L),S/N,CT RSU,1,HECHO 28/05/2013,"185,24","185,24"
28/05/2013,MESON DE VELEZ X LIBORIO GARCIA,S/N,IGLU PAPEL,1,HECHO 28/05/2013,"516,19","516,19"
28/05/2013,BIDASOA,Nº4,CT RSU,1,HECHO 29/05/2013,"185,24","185,24"
28/05/2013,DOMINGO LOZANO,F-Nº50,CT RSU,1,HECHO 29/05/2013,"185,24","185,24"
03/06/2013,BOLIVIA ,100,CL PAPEL,1,HECHO 03/06/2013,"830,00","830,00"
03/06/2013,BOLIVIA ,100,CL ENVASES,1,HECHO 03/06/2013,"830,00","780,00"
03/06/2013,BOLIVIA ,100,IGLU VIDRIO,1,HECHO 03/06/2013,"485,00","780,00"
04/06/2013,ARGENTEA,19,CT RSU,1,HECHO 04/06/2013,"185,24","830,00"
04/06/2013,BOLIVIA ,150,CL PAPEL,1,HECHO 04/06/2013,"830,00","830,00"
09/06/2013,ISAAC PERAL (BAR LA JAMONERIA),,CT RSU,1,HECHO 10/06/2013,"185,24","185,24"
11/06/2013,ORQUIDIA,90,CT RSU,1,HECHO 12/06/2013,"185,24","185,24"
11/06/2013,VILLANUEVA DEL ROSARIO,15,CL RSU,1,HECHO 12/06/2013,"910,00","910,00"
15/06/2013,SALVADOR ALLENDE,22,CT RSU,1,HECHO 17/06/2013,"185,24","185,24"
18/06/2013,AV. PLUTARCO,F-17,CL RSU,1,HECHO 19/06/2013,"910,00","910,00"
20/06/2013,ANTONIO MARIA ISOLA,5,CT RSU,1,HECHO  21/06/2013,"185,24","185,24"
23/06/2013,ANTIGONA (F- AUTOESCUELA MELOY),,CL ENVASES,1,HECHO 24/06/213,"830,00","830,00"
24/06/2013,CASTAÑETERO,58,3200 CHAPA,1,HECHO 25/06/2013,"860,00","860,00"
25/06/2013,JACINTO,,CL RSU,1,HECHO 25/06/2013,"910,00","910,00"
30/06/2013,AV.OBISPO ANGEL HERRERA ORIA,5,CL PAPEL,1,HECHO 01/07/2013,"830,00","830,00"
01/07/2013,SEVILLA,15,CL ENVASES,1,HECHO  02/05/2013,"830,00","830,00"
01/07/2013,VICTORIA KENT,1,CL RSU,2,HECHO 02/07/2013,"910,00","1820,00"
01/07/2013,VICTORIA KENT,1,CL PAPEL,1,HECHO 02/07/2014,"830,00","830,00"
01/07/2013,SEVILLA,15,IGLU VIDRIO,1,HECHO 02/07/2013,"485,00","485,00"
02/07/2013,AV.OBISPO ANGEL HERRERA ORIA,7,CL ENVASES,1,hecho 17/07/2013,"830,00","830,00"
03/07/2013,AV.DE LA PURISIMA,,CL PAPEL,1,HECHO 05/07/2013,"830,00","830,00"
03/07/2013,AV. EUGENIO GROSS,23,CL PAPEL,1,HECHO 04/07/2013,"830,00","830,00"
07/07/2013,AV.OBISPO ANGEL HERRERA ORIA,5,CL ENVASES,1,HECHO  08/07/2013,"830,00","830,00"
07/07/2013,AV. SANTIAGO RAMON Y CAJAL,102,CT RSU,1,HECHO  08/07/2013,"185,24","185,24"
09/07/2013,JUAN DE LA ENCINA,F-17,CT RSU,3,HECHO 09/07/2013,"185,24","555,72"
04/08/2013,ACTRIZ ROSARIO PINO,F-31-33,CT RSU,1,HECHO 05/08/2013,"185,24","185,24"
05/08/2013,GUILLERMO CARRERA RUBIO,,IGLU VIDRIO,1,HECHO 06/08/2013,"485,00","485,00"
10/08/2013,ALMANSA,,IGLU PAPEL,1,,"516,19","516,19"
13/08/2013,JOSE ITURBI,8,CT RSU,1,HECHO 14/08/2013,"185,24","185,24"
13/08/2013,ESCRITORA CARMEN CONDE,,IGLU PAPEL,1,,"516,19","516,19"
20/08/2013,HUNGRIA X CMNO. DEL PILAR,,CL RSU,1,HECHO 20/08/2013,"910,00","910,00"
20/08/2013,HUNGRIA X CMNO. DEL PILAR,,CL ENVASES,1,HECHO 20/08/2013,"830,00","830,00"
20/08/2013,HUNGRIA,S/N,CL RSU,1,HECHO 20/08/2013,"910,00","910,00"
23/08/2013,FRANCISCO BAGUENA NOVELLA,F-8,CL RSU,1,HECHO 24/08/2013,"910,00","910,00"
26/08/2013,C/ VIÑUELA,7,CL RSU,2,HECHO  27/08/2013,"910,00","1820,00"
28/08/2013,JUNTA DE LOS CAMINOS,27,CT RSU,1,HECHO 29/08/2013,"185,24","185,24"
01/09/2013,DECANO IGNACIO ALAMINOS,F-DIA,CL ENVASES,1,HECHO  01/09/2013,"830,00","830,00"
09/09/2013,ORQUIDIA,F-80,CT RSU,1,HECHO 10/09/2013,"185,24","185,24"
10/09/2013,DECANO IGNACIO ALAMINOS,F-DIA,CT RSU,1,HECHO 11/09/2013,"185,24","185,24"
10/09/2013,DECANO IGNACIO ALAMINOS,F-DIA,CL PAPEL,1,HECHO 11/09/2013,"830,00","830,00"
11/09/2013,NEHEMIAS,,CL RSU,1,HECHO 11/09/2013,"910,00","910,00"
16/09/2013,DECANO IGNACIO ALAMINOS,F-DIA,CT RSU,1,HECHO 17/09/2013,"185,24","185,24"
30/09/2013,DECANO IGNACIO ALAMINOS,F-DIA,CT RSU,3,HECHO 2/10/2013,"185,24","555,72"
30/09/2013,DECANO IGNACIO ALAMINOS,F-DIA,CL PAPEL,1,HECHO 2/10/2013,"830,00","830,00"
07/10/2013,FRESCA,8,CT RSU,1,HECHO 08/10/2013,"185,24","185,24"
09/10/2013,FRESCA,9,CT RSU,1,HECHO 10/10/2013,"185,24","185,24"
10/10/2013,CAMINO ALMENDRALES (SEMINARIO),,CT RSU,1,HECHO 11/10/2013,"185,24","185,24"
15/10/2013,BOLIVIA ,102,CL RSU,3,HECHO 16/10/2013,"910,00","2730,00"
15/10/2013,BOLIVIA ,102,CL PAPEL,1,HECHO 20/10/2013,"830,00","830,00"
15/10/2013,BOLIVIA ,102,CL ENVASES,1,HECHO 22/10/2013,"830,00","830,00"
15/10/2013,BOLIVIA ,156,CL RSU,1,HECHO 16/10/2013,"910,00","910,00"
15/10/2013,BOLIVIA ,156,CL PAPEL,1,HECHO 16/10/2013,"830,00","830,00"
15/10/2013,BOLIVIA ,156,CL ENVASES,1,HECHO 16/10/2013,"830,00","830,00"
23/10/2013,DISEMINADO VENTA COTRINA,,CT RSU,1,HECHO 02/11/2013,"185,24","185,24"
30/10/2013,PEREZ AYALA POR MALAGA NEGRO,,CT RSU,1,HECHO 30/10/2013,"185,24","185,24"
02/11/2013,CORTADA,,IGLU ENVASES,1,HECHO 02/11/2013,"516,19","516,19"
02/11/2013,"FLAMENCOS, ",13,CT RSU,2,HECHO 02/11/2013,"185,24","370,48"
08/11/2013,JUAN DE RIHUERGA,10,IGLU PAPEL,1,,"516,19","516,19"
09/11/2013,AVD. AURORA,30,CT RSU,1,HECHO 09/11/2013,"185,24","185,24"
20/11/2013,PEDRO GOMEZ CHAIX,,IGLU PAPEL,1,HECHO 21/11/13,"516,19","516,19"
25/11/2013,JABONEROS,,CT RSU,1,HECHO 25/11/2013,"185,24","185,24"
22/11/2013,AYALA,F24,CT RSU,1,HECHO 22/11/2013,"185,24","185,24"
22/11/2013,FERNAN NUÑEZ,4,CT RSU,1,HECHO 22/11/2013,"185,24","185,24"
22/11/2013,JACINTO VERDAGUER,13,CT RSU,1,HECHO 22/11/2013,"185,24","185,24"
27/11/2013,DECANO IGNACIO ALAMINOS,,CL ENVASES,1,HECHO 27/11/2013,"830,00","830,00"
30/11/2013,CRISTO EPIDEMIA,60,CT RSU,1,HECHO 30/11/2013,"185,24","185,24"
01/12/2013,FRESCA ,2,CT RSU,2,HECHO 02/12/2013,"185,24","370,48"
09/12/2013,AVD. SANTIAGO RAMON Y CAJAL,5,CT RSU,1,HECHO 09/12/2013,"185,24","185,24"
14/12/2013,CAMINO TERMICA ,F21,CL ENVASES,1,HECHO 14/12/2013,"830,00","830,00"
14/12/2013,CAMINO TERMICA ,F21,CL PAPEL,1,HECHO 14/12/2013,"830,00","830,00"
14/12/2013,CAMINO TERMICA ,F21,CL RSU,1,HECHO 14/12/2013,"910,00","910,00"
15/12/2013,MONTES DE OCA,10,CL ENVASES,1,HECHO 24/12/2013,"830,00","830,00"
17/12/2013,DECANO IGNACIO ALAMINOS,,CL ENVASES,1,HECHO 24/12/2013,"830,00","830,00"
17/12/2013,DECANO IGNACIO ALAMINOS,,CL PAPEL,1,HECHO 24/12/2013,"830,00","830,00"
17/12/2013,FRESCA,8,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,HERNAN RUIZ,,CL RSU,2,HECHO 24/12/2013,"910,00","1820,00"
HUELGA,CARCEL,10,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,PLZA FRANCISCO SILVELA,,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,LAGUNILLAS,,CL RSU,2,HECHO 24/12/2013,"910,00","1820,00"
HUELGA,ALMERIA,69,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,CTRA OLIAS X ALGARROBO,,CL RSU,2,HECHO 24/12/2013,"910,00","1820,00"
HUELGA,AVD SALVADOR ALLENDE,96,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,ALTAIR X CAMINO SOLIVA DEL CAÑAVERAL,,CL RSU,2,HECHO 24/12/2013,"910,00","1820,00"
HUELGA,HUNGRIA X GUILLERMO TELL,,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,HUNGRIA (TERRIZO),,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,NAVARRO LEDESMA,267,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,ALAMEDA CAPUCHINOS ,65-68,CL RSU,2,HECHO 24/12/2013,"910,00","1820,00"
HUELGA,FERNANDEZ FERMINA,,CL RSU,2,HECHO 24/12/2013,"910,00","1820,00"
HUELGA,MARCOS ZAPATA X LUIS TABOADA,,CL RSU,2,HECHO 24/12/2013,"910,00","1820,00"
HUELGA,JUAN VAZQUEZ,,CL RSU,2,HECHO 24/12/2013,"910,00","1820,00"
HUELGA,NOSQUERA X COMEDIAS,,IGLU VIDRIO,3,HECHO 24/12/2013,"485,00","1455,00"
HUELGA,NAVARRO LEDESMA,267,IGLU PAPEL,1,HECHO 24/12/2013,"516,19","516,19"
HUELGA,CRISTO EPIDEMIA X RAMIEREZ MADRID,,CL PAPEL,1,HECHO 24/12/2013,"830,00","830,00"
HUELGA,REBOUL X GREGORIO FRIAS,,CL ENVASES,1,HECHO 24/12/2013,"830,00","830,00"
HUELGA,REBOUL X GREGORIO FRIAS,,CL PAPEL,1,HECHO 24/12/2013,"830,00","830,00"
HUELGA,ENCARNACION FONTIVEROS (C.P MANUEL GARBAY),,CL ENVASES,1,HECHO 24/12/2013,"830,00","830,00"
HUELGA,AVD. JUAN SEBASTIAN EL CANO,166,CL ENVASES,1,HECHO 24/12/2013,"830,00","830,00"
HUELGA,ENCARNACION FONTIVEROS (C.P MANUEL GARBAY),,CT RSU,1,HECHO 24/12/2013,"185,24","185,24"
HUELGA,ALAMEDA BARCELO,65,CT RSU,1,HECHO 24/12/2013,"185,24","185,24"
HUELGA,CONDE LUCANOR X CAMPANILLAS,,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,ESPAÑA,24,CT RSU,1,HECHO 24/12/2013,"185,24","185,24"
