FID,ID_EQUIPAMIENTO,DESCRIPCION,FINALIDAD,ACCESO_MIN,CALLE,NUMERO,OTROS,HORARIO,DIREC_WEB,E_MAIL,CONTACTO,DETALLE,MASINFO,OBSERVACION,TARJETA_JOVEN,LATITUD,LONGITUD,IMPORTE_INVERTIDO,FECHAINICIO_OBRA,FECHAFIN_OBRA,CATEGORIA,ESPECIALIDAD,DISTRITO,SDOPUNTO
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68aa,8509,Parque Infantil Bucarest,"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con una zona con varios elementos de juego de mediano y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de loseta de caucho, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Muelle múltiple
- Conjunto casa, tobogán
- Conjunto casa, tobogán, columpio
- Columpio",N,CALLE BUCAREST,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72433,-4.54598,,,,38,126,CAMPANILLAS,POINT (361944.97396616323 4065405.983467148)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68ab,226,Grupo de CABALLERÍA (Policía Local),- Vigilancia y actos protocolarios.,S,CALLE CRISTOBALINA FERNÁNDEZ,6,(Dependencias conjuntas en Jefatura de Policía de Barrio del Distrito de Campanillas),Todos los días de 7:00 a 23:00 horas.,http://www.malaga.eu,caballeria.plocal@malaga.eu,SUBINSPECTOR,,,,N,36.72419,-4.53682,,,,40,141,CAMPANILLAS,POINT (362762.76350951736 4065377.289137059)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68ac,3331,Parque de Mayores Huertecilla,"Los Parques de Mayores son equipamientos adaptados para mayores que unen la posibilidad de realizar ejercicio saludable de una forma entretenida, con la creación de espacios que facilitan la relación personal y social entre los mayores.",N,CALLE EL REQUINTO,1,Junto a FAMADESA,,,,,,,,N,36.72616,-4.53364,,,,38,211,CAMPANILLAS,POINT (363050.2543852377 4065591.2887167376)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68ad,3330,Parque de Mayores Huertecilla (C/ El Requinto),"Los Parques de Mayores son equipamientos adaptados para mayores que unen la posibilidad de realizar ejercicio saludable de una forma entretenida, con la creación de espacios que facilitan la relación personal y social entre los mayores.",N,CALLE EL REQUINTO,1,,,,,,,,,N,36.72651,-4.53231,,,,38,211,CAMPANILLAS,POINT (363169.6489187152 4065628.2167800437)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68ae,8811,Parque Infantil Juan Silveti,"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con una zona con varios elementos de juego de mediano y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de loseta de caucho continua, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Multijuegos
- Tobogán
- Columpios madera",N,CALLE DE JUAN SILVETI,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72527,-4.53295,,,,38,126,CAMPANILLAS,POINT (363110.29360426567 4065491.5662094806)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68af,8804,Parque Infantil Antequera. Castañetas,"Tiene capacidad para múltiples usuarios debido a que cuenta con una zona con varios elementos de juego de pequeño y mediano a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de loseta de caucho y césped artificial, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Columpio madera
- Tobogán
- Muelle doble
- Muelle simple
",N,CARRIL DE LAS CASTAÑETAS,1,,,,parquesyjardines@malaga.eu,,,,,N,36.7166,-4.54957,,,,38,126,CAMPANILLAS,POINT (361610.49610385724 4064553.59977835)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b0,605,IMFE: Instituto Municipal para la Formación y el Empleo,"El IMFE es un organismo de información y asesoramiento en materia de promoción del empleo y del autoempleo en el Municipio de Málaga, que actúa como motor impulsor  y coordinador de todos aquellos recursos destinados a dinamizar la actividad formativa, económica y empresarial de la ciudad con el fin de alcanzar el objetivo último del Pleno Empleo.
",S,CALLE MARÍA CURIE,20,"Parque Tecnológico Andalucía (Campanillas)MALAGA. Oficinas Centro Málaga: C/ Victoria 11, 29012 MALAGA",De lunes a viernes de 9:00 a 14:00 horas.,http://www.imfe.malaga.eu,empleo@malaga.eu,,,,,N,36.73616,-4.54782,,,,114,431,CAMPANILLAS,POINT (361801.8603006137 4066721.0552108185)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b1,671,"PARQUE TECNOLÓGICO DE ANDALUCÍA, S.A. (PTA)","El Parque Tecnológico de Andalucía (PTA) en Málaga remonta sus inicios a 1988, año en que se formaliza un acuerdo entre la Junta de Andalucía y el Ayuntamiento de Málaga, con el compromiso para la creación del Parque Tecnológico.
Cuatro años más tarde, en el mes de diciembre de 1992, queda inaugurado oficialmente el Parque Tecnológico de Andalucía ubicado en Campanillas, en Málaga capital.
En septiembre de 1995 se llega a un acuerdo con la Asociación Internacional de Parques Científicos y Tecnológicos (IASP) para instalar su Sede mundial en el Parque Tecnológico de Andalucía.
Desde 1998, es la sede de la Asociación de Parques Científicos y Tecnológicos de España (APTE).
El Parque Tecnológico de Andalucía se concibe en sus orígenes como un núcleo de dinamización tecnológica de la industria de Andalucía. Esta dinamización se ha entendido en sentido cualitativo como el soporte de funciones, tales como la generación de conocimientos científicos y tecnológicos, la implantación de actividades industriales y de servicios de alta calidad, que permitan la aplicación y experimentación de las nuevas tecnologías y finalmente, el establecimiento de unas estructuras de servicios tecnológicos y de formación orientados hacia las empresas e instituciones. Todo ello, configura el Parque Tecnológico de Andalucía como un entorno científico, cultural y recreativo, que produce sinergia y facilita la ""fertilización cruzada"" entre los distintos agentes de innovación.",N,CALLE MARÍA CURIE,35,Parque Tecnológico de Andalucía,,http://www.pta.es,informacion@pta.es,FELIPE ROMERA LUBIAS,,,,N,36.73800183,-4.54725532,,,,27,36,CAMPANILLAS,POINT (361855.58275819744 4066924.58684469)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b2,3798,PROMALAGA COWORKING,"PROMALAGA COWORKING se diseña como la primera incubadora de coworking para emprendedores, profesionales y frelances, que deseen disponer de un espacio de trabajo compartido, disponiendo de todo lo necesario para desarrollar su actividad profesional.
Todas las empresas y ""coworkers"" incubados en PROMALAGA COWORKING tendrán a su disposición, además de salas comunes, un espacio individual de trabajo,uso ilimitado de internet, línea de teléfono y posibilidad de parking dentro del recinto del edificio.",S,CALLE SEVERO OCHOA,27,"Situada en la calle Severo Ochoa, nº 27, del Parque Tecnológico de Andalucía (PTA).","De 8,00 a 15,00 horas.",www.promalagaincubadoras.es,cme@promalaga.es,,,,,N,36.73597801,-4.55690296,,,,95,378,CAMPANILLAS,POINT (360990.49716051377 4066714.011642175)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b3,342,CENTRO DE FORMACIÓN EN COMUNICACIONES Y TECNOLOGÍAS DE LA INFORMACIÓN (FORMAN),"<br>
Formar profesionales altamente cualificados para incorporarlos a las empresas del sector y potenciar las nuevas tecnologías de la información y las comunicaciones.
<br>
<br>- Formación de excelencia en Tecnologías de la Información y Comunicación y Nuevas Tecnologías Aplicadas a Sectores Específicos (Medio Ambiente, Turismo, etc.)
<br>- Compromisos de orientación e inserción profesional a los alumnos.
<br>- Asistencia Técnica a empresas del sector fomentando la celebración de jornadas técnicas de interés para estas empresas.
<br><br>
Formación dirigida a:
<br>
<br>- Desempleados con formación específica  en el área TIC
<br><br>
Consorcio conformado por el Ayuntamiento de Málaga y la Consejería de Empleo (Junta de Andalucía).
Gestionado por la Unión Temporal de Empresas (U.T.E.) Fundación Novasoft - Fundación VMO.",N,CALLE SEVERO OCHOA,30,Parque Tecnológico de Andalucía,,http://www.forman.es,infoforman@forman.pta.es,,,,,N,36.73896,-4.55652,,,,95,378,CAMPANILLAS,POINT (361030.0691969859 4067044.278211072)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b4,4411,Parque Infantil  ( Maqueda),Parque Infantil: Espacio reservado para uso infantil  con varios elementos de juegos.,S,CALLE COMPOSITOR CARMELO BERNAOLA,2,,,,,,,,,N,36.73421,-4.5625,,,,38,231,CAMPANILLAS,POINT (360487.52435239754 4066526.0079537)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b5,8488,Parque Infantil Van Gogh,"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con una zona con varios elementos de juego de pequeño, mediano y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de loseta de caucho, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Columpio madera
- Tobogán hoja
- Muelle doble caballo
- Muelle doble caballo
- Tobogán
- Muelle simple caballo
- Muelle simple gusano",N,CALLE VAN GOGH,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72322,-4.54046,,,,38,126,CAMPANILLAS,POINT (362435.9604277591 4065274.8989627124)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b6,3332,Parque de Mayores Campanillas (C/ Cristobalina Fernández),"Los Parques de Mayores son equipamientos adaptados para mayores que unen la posibilidad de realizar ejercicio saludable de una forma entretenida, con la creación de espacios que facilitan la relación personal y social entre los mayores.",N,CALLE CRISTOBALINA FERNÁNDEZ,1,,,,,,,,,N,36.72261,-4.53623,,,,38,211,CAMPANILLAS,POINT (362812.6429153688 4065201.159522126)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b7,8800,Parque Cristobalina Fernández,"Está catalogado en el grupo de los Parques Biosaludables debido a que poseen un equipamiento diseñado para adultos para la práctica de ejercicio físico. Son especialmente recomendables para mayores de 60 años porque les permiten mejorar la movilidad, aumentar la flexibilidad y tonificar la musculación de todo el cuerpo, además de mantener la forma física y prevenir o tratar diferentes dolencias o lesiones concretas.
Este parque cuenta con los siguientes tipos de máquinas:

- Remo
- Abdominales
- Barras
- Elíptica
- Andador
- Giratorio de cintura triple
- Elevador oscilante
- Barras paralelas
- Volantes
- Extensión brazos
- Dorsales
",N,CALLE CRISTOBALINA FERNÁNDEZ,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72337,-4.53747,,,,38,311,CAMPANILLAS,POINT (362703.2548145278 4065287.2501506046)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b8,8812,Parque Infantil Pilar del Prado I - Esopo,"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con dos zona con varios elementos de juego de pequeño y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de loseta de caucho continua y loseta de caucho, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Muelle simple
- 2 Multijuegos
",N,CALLE DE ESOPO,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72018,-4.53367,,,,38,126,CAMPANILLAS,POINT (363036.95427904883 4064927.913396033)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68b9,3338,Parque de Mayores Pilar el Prado,"Los Parques de Mayores son equipamientos adaptados para mayores que unen la posibilidad de realizar ejercicio saludable de una forma entretenida, con la creación de espacios que facilitan la relación personal y social entre los mayores.",N,CALLE DE ESOPO,1,,,,,,,,,N,36.72026,-4.5336,,,,38,211,CAMPANILLAS,POINT (363043.34806738305 4064936.6884743082)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68ba,8803,Parque Pilar del Prado - Esopo,"Está catalogado en el grupo de los Parques Biosaludables debido a que poseen un equipamiento diseñado para adultos para la práctica de ejercicio físico. Son especialmente recomendables para mayores de 60 años porque les permiten mejorar la movilidad, aumentar la flexibilidad y tonificar la musculación de todo el cuerpo, además de mantener la forma física y prevenir o tratar diferentes dolencias o lesiones concretas.
Este parque cuenta con los siguientes tipos de máquinas:

- Volantes
- Timón
- Galope",N,CALLE DE ESOPO,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72018,-4.53367,,,,38,311,CAMPANILLAS,POINT (363036.95427904883 4064927.913396033)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68bb,8508,Parque Infantil Compositor Carmelo Bernaola,"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con una zona con varios elementos de juego de pequeño, mediano y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de césped artificial, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Muelle doble madera
- Tobogán
- Columpio
- Muelle simple pez
- Giratorio
- Conjunto casa, tobogán, columpio
",N,CALLE COMPOSITOR CARMELO BERNAOLA,1,,,,parquesyjardines@malaga.eu,,,,,N,36.7349,-4.56291,,,,38,126,CAMPANILLAS,POINT (360452.1628884394 4066603.154023245)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68bc,8428,Parque Infantil Lineal (Calle Fausto),"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con dos zonas con varios elementos de juego de pequeño, mediano y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de loseta de caucho, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- 2 Muelles simples moto
- 1 Conjunto casa, tobogán, puente
- 1 Columpio madera
- Conjunto 2 casas, trepa, 2 toboganes, 2 puentes, anillas y rocódromo
- 2 Mesas ping pong",N,CALLE FAUSTO,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72967,-4.54857,,,,38,126,CAMPANILLAS,POINT (361723.2498241109 4066002.1379351583)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68bd,8389,Parque Lineal (Calle Fausto),"Está catalogado en el grupo de los Parques Biosaludables debido a que poseen un equipamiento diseñado para adultos para la práctica de ejercicio físico. Son especialmente recomendables para mayores de 60 años porque les permiten mejorar la movilidad, aumentar la flexibilidad y tonificar la musculación de todo el cuerpo, además de mantener la forma física y prevenir o tratar diferentes dolencias o lesiones concretas.
Este parque cuenta con los siguientes tipos de máquinas:

- Elevador oscilante
- Volantes
- Galope
- Elevador brazos
- Extensión piernas
- Mesa ajedrez",N,CALLE FAUSTO,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72967,-4.54857,,,,38,311,CAMPANILLAS,POINT (361723.2498241109 4066002.1379351583)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68be,3335,Parque de Mayores Campanillas (C/ Fausto),"Los Parques de Mayores son equipamientos adaptados para mayores que unen la posibilidad de realizar ejercicio saludable de una forma entretenida, con la creación de espacios que facilitan la relación personal y social entre los mayores.",N,CALLE FAUSTO,1,,,,,,,,,N,36.72744,-4.55078,,,,38,211,CAMPANILLAS,POINT (361521.8926440906 4065757.935046237)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68bf,8390,Parque Jacob,"Está catalogado en el grupo de los Parques Biosaludables debido a que poseen un equipamiento diseñado para adultos para la práctica de ejercicio físico. Son especialmente recomendables para mayores de 60 años porque les permiten mejorar la movilidad, aumentar la flexibilidad y tonificar la musculación de todo el cuerpo, además de mantener la forma física y prevenir o tratar diferentes dolencias o lesiones concretas.
Este parque cuenta con los siguientes tipos de máquinas:

- Elevador brazos doble
- Barras paralelas
- Estimulador espalda
- Elíptica
- Barras
- Galope",N,CALLE JACOB,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72659,-4.54918,,,,38,311,CAMPANILLAS,POINT (361663.25081022095 4065661.324157309)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68c0,8468,Parque Infantil Jacob,"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con una zona con varios elementos de juego de mediano y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de césped artificial, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Columpio nido
- Tobogán tren
- Muelle múltiple coche
- Tren casa
- Conjunto 3 casas, 2 toboganes, 2 trepas y 2 puentes",N,CALLE JACOB,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72659,-4.54918,,,,38,126,CAMPANILLAS,POINT (361663.25081022095 4065661.324157309)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68c1,3333,Parque de Mayores Campanillas (C/ Jacob),"Los Parques de Mayores son equipamientos adaptados para mayores que unen la posibilidad de realizar ejercicio saludable de una forma entretenida, con la creación de espacios que facilitan la relación personal y social entre los mayores.",N,CALLE JACOB,2,,,,,,,,,N,36.72598,-4.54911,,,,38,211,CAMPANILLAS,POINT (361668.4076122531 4065593.5497907745)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68c2,8393,Parque Matisse,"Está catalogado en el grupo de los Parques Biosaludables debido a que poseen un equipamiento diseñado para adultos para la práctica de ejercicio físico. Son especialmente recomendables para mayores de 60 años porque les permiten mejorar la movilidad, aumentar la flexibilidad y tonificar la musculación de todo el cuerpo, además de mantener la forma física y prevenir o tratar diferentes dolencias o lesiones concretas.
Este parque cuenta con los siguientes tipos de máquinas:

- Elevador oscilante
- Giratorio de cintura triple
- Extensión piernas
- Dorsales
- Elíptica
- Galope",N,CALLE DE MATISSE,1,,,,parquesyjardines@malaga.eu,,,,,N,36.7233,-4.53803,,,,38,311,CAMPANILLAS,POINT (362653.11843543 4065280.2871780125)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68c3,8431,Parque Infantil Suppe ,"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con una zona con varios elementos de juego de mediano y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de césped artificial, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Columpio nido
- Tobogán tren
- Muelle múltiple coche
- Tren casa
- Conjunto 3 casas, 2 toboganes, 2 trepas y 2 puentes",N,CALLE DE SUPPÉ,1,Calle Jacob,,,parquesyjardines@malaga.eu,,,,,N,36.72741,-4.54914,,,,38,126,CAMPANILLAS,POINT (361668.2941563103 4065752.237021855)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68c4,2046,Centro Ciudadano Antonio Beltrán Lucena,"Acoge actividades organizadas por el Ayuntamiento. (Distrito, participación ciudadana...) así mismo se cede espacio para que las asociacones culturales puedan realizar aquí sus actividades. Entidades: Asoc. Cult. Torre del Prado, Coro Raices de Campanillas, Círculo Cult. Campanella y Asoc. Brujula Joven.",S,CALLE JACOB,23,,,,,,,,,N,36.72757739,-4.54893563,,,,42,187,CAMPANILLAS,POINT (361686.84516418504 4065770.512169972)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68c5,8430,Parque Infantil Ronda Norte (Pasillo de las Flores),"Espacio reservado para el uso y disfrute infantil. 
Tiene capacidad para múltiples usuarios debido a que cuenta con una zona con varios elementos de juego de pequeño y gran tamaño a fin de que los niños puedan divertirse, tanto de manera individual como con otros niños.
Está provisto de suelo de loseta de caucho continua, que asegura la protección de los más pequeños.
En total, los elementos de juego que dispone son:

- Muelle simple caballo
- Conjunto casa, tobogán, puente, trepa y escalada con cuerda",N,CALLE RONDA DEL NORTE,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72845,-4.57212,,,,38,126,CAMPANILLAS,POINT (359618.0232847221 4065901.0500617498)
da_equipamientosMunicipales.fid--7b4b556b_15ed01ee0d9_68c6,8392,Parque Ronda Norte,"Está catalogado en el grupo de los Parques Biosaludables debido a que poseen un equipamiento diseñado para adultos para la práctica de ejercicio físico. Son especialmente recomendables para mayores de 60 años porque les permiten mejorar la movilidad, aumentar la flexibilidad y tonificar la musculación de todo el cuerpo, además de mantener la forma física y prevenir o tratar diferentes dolencias o lesiones concretas.
Este parque cuenta con los siguientes tipos de máquinas:

- Elíptica
- Extensión piernas
- Circuito (ciclo pedal, timón, giro de cintura, abdominales)
- Barra dominadas
- Extensión brazos
- Remo",N,CALLE RONDA DEL NORTE,1,,,,parquesyjardines@malaga.eu,,,,,N,36.72845,-4.57212,,,,38,311,CAMPANILLAS,POINT (359618.0232847221 4065901.0500617498)
