EXERCICI,CODI_ORGANIC,ORGANIC,CODI_ECONOMIC,ECONOMIC,APLICACIO,PRESSUPOST_INICIAL,MODIFICACIONS_CREDIT,PREVISIONS_DEFINITIVES,DRETS_RECONEGUTS_NETS,RECAUDACIO_LIQUIDA,PERC_EXECUCIO
2017,1710,PARCS I JARDINS,45080,Subv corrents de la Admón General de la C.A,GENCAT - Subvenció ventades desembre 2014,0,0,0,,,
2017,1720,PROTECCIÓ I MILLORA DEL MEDI AMBIENT,46144,DIBA - Subvencions,DIBA - Pla prevenció d'incendis forestals Can Solà,0,0,0,,,
2017,1720,PROTECCIÓ I MILLORA DEL MEDI AMBIENT,76100,Subvenció Diputació Pla Xarxa de Governs Locals,DIBA - Subvenció reforma i rehabilitació patrimoni local,0,0,0,,,
2017,1720,PROTECCIÓ I MILLORA DEL MEDI AMBIENT,76101,Subvenció,DIBA - Subvenció millora i manteniment camins locals,0,0,0,,,
2017,1721,PROTECCIÓ CONTRA LA CONTAMINACIÓ,46157,Subvenció ORGT,DIBA - Ajuts extraordinaris situacions d'urgència,0,0,0,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,32500,Expedició de documents,Taxa expedició documents informe adequació habitatge,5000,0,5000,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 1 Urgència social pobresa energètica,0,0,0,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,46112,DIBA - Finançament dels serveis socials municipals,DIBA - Finançament dels serveis socials municipals,88851.83,0,88851.83,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,46115,DIBA - Ajuts a serveis i activitats de benestar,DIBA - Programa complementari de garantia cohesió social,0,0,0,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,46140,CONSELL COMARCAL-Ajuts de menjador escolar,CONSELL COMARCAL-Ajuts de menjador escolar,432234,0,432234,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,46150,Subvencions plans d'ocupació IMPES,DIBA - Línia 2 prog. comp. fom. ocup. i integració social,0,0,0,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,48000,Descripción Económica,Aportació addenda conveni de recollida de roba Humana,0,0,0,,,
2017,23100,CP Fitxa 35 Actuacions en matèria d'accessibilitat,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 35 Actuacions en matèria d'accessibilitat,0,0,0,,,
2017,23101,ACCIÓ SOCIAL,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 12 Centres ocupacionals persones discapacitades,140459.79,0,140459.79,,,
2017,23102,ACCIO SOCIAL,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 10 Llar residència per a persones amb discapacitat,223228.8,0,223228.8,,,
2017,23103,CP Fitxa 1 Serveis socials bàsics professionals,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 1 Serveis socials bàsics professionals,563338.71,0,563338.71,,,
2017,23104,CP Fitxa 6 Resposta urgent dones en sit. violència i fills,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 6 Resposta urgent dones en sit. violència i fills,33462,0,33462,,,
2017,23105,CP Fitxa 2 Intervenció socio educativa infants i adolescents,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 2 Intervenció socio educativa infants i adolescents,31000,0,31000,,,
2017,23106,CP Fitxa 1 Ajuts d'urgències socials,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 1 Ajuts urgències socials,0,0,0,,,
2017,23107,CP Fitxa 7 Acollida i integració persones inmigrades,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 7 Acollida i integració persones inmigrades,26675,0,26675,,,
2017,23108,CP Fitxa 8 Programa d'inclusió social,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 8 Programa d'nclusió social,76172.09,0,76172.09,,,
2017,23109,CP Fitxa 2.1 Interv. sòcioed. infants/adolescents prog estiu,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 2.1 Interv socioeduc. infants i adolesc. prog estiu,0,0,0,,,
2017,2312,DONA,34300,Cursos de ioga,Cursos de ioga,9000,0,9000,,,
2017,2312,DONA,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,Subv. Generalitat - Institut Català de la dona,34500,0,34500,,,
2017,2312,DONA,46104,DIBA - Ajuts,DIBA - Politiques d'igualtat de gènere CIRD,23939.5,0,23939.5,,,
2017,1720,PROTECCIÓ I MILLORA DEL MEDI AMBIENT,76102,Subvenció,DIBA - Subvenció obertura franges perimetrals Xarxa,0,7220.18,7220.18,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,45003,De l'Administració General de les Comunitats Autònomes.,Conveni Agencia Catalana Consum sobre Pobresa energètica,0,0,0,,,
2017,2313,CIUTADANIA I CIVISME,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,0,0,0,,,
2017,2313,CIUTADANIA I CIVISME,46122,DIBA - Ajuts per activitats relacionades amb animals de comp,DIBA - Finançament amb igualtat i ciutadania,0,0,0,,,
2017,2313,CIUTADANIA I CIVISME,46128,DIBA - Conveni Serevei de Mediació ciutadana,DIBA - Conveni Servei de Mediació ciutadana,28500,0,28500,,,
2017,2314,GENT GRAN,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,GENT GRAN DEPENDÈNCIA - CP Fitxa 9 Servei transport adaptat,40691.85,0,40691.85,,,
2017,2314,GENT GRAN,46113,DIBA - Finançament dels serveis d'atenció domiciliària,DIBA - Finançament dels serveis d'atenció domiciliària,88851.84,0,88851.84,,,
2017,23143,GENT GRAN,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,Gent Gran i dependència C.P.fIXA 1.Sad Social,0,0,0,,,
2017,2330,GENT GRAN I DEPENDÈNCIA,78001,Subvencions Institucions i partiuclars sense fi de lucre,Subvenció ONCE,0,0,0,,,
2017,2410,PROMOCIÓ DE L'OCUPACIÓ,45300,"De soc merc, ent púb empr i altres org púb depen de CC.AA",Subvenció projecte la xarxa amb talent,0,0,0,,,
2017,2410,PROMOCIÓ DE L'OCUPACIÓ,46150,Subvencions plans d'ocupació IMPES,DIBA - Línia 1 prog. comp. foment ocupació i sup.t integraci,0,0,0,,,
2017,2410,PROMOCIÓ DE L'OCUPACIÓ,46700,Subv. Consorci per l'ocupació i la promoc. econ del Vallès,Subv. Consorci per l'ocupació i la promoc. econ del Vallès,0,0,0,,,
2017,3110,SALUT PÚBLICA,31903,Descripción Económica,Autoritzacions sanitàries per a la pràctica de tatuatges i/o,600,0,600,,,
2017,3110,SALUT PÚBLICA,45080,Subv corrents de la Admón General de la C.A,Subv. GENCAT. Exàment salut escolar,3958.46,0,3958.46,,,
2017,3200,ADMINISTRACIÓ GENERAL DE L'EDUCACIÓ,75000,Sub afectes a l'amortització de prést i operacions fras,GENCAT - Conveni complement obres adequació Pau Casals,0,0,0,,,
2017,3260,PROMOCIÓ EDUCATIVA,45030,Trans ctes en cumpl de conv els seus amb C.A en mat d'Educac,GENCAT - Pla educatiu de l'entorn,0,0,0,,,
2017,2313,CIUTADANIA I CIVISME,42090,Altres transferències corrents de l'Administració de l'Estat,Altres transferències corrents de l'Administració de l'Estat,0,0,0,,,
2017,2314,GENT GRAN,34100,Taxa transports adaptat centre de dia gent gran,Preu públic transport adaptat gent gran,15600,0,15600,,,
2017,23141,GENT GRAN,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 1 SAD,752003,0,752003,,,
2017,3260,PROMOCIÓ EDUCATIVA,46127,DIBA - Ajuts programa Coneixem els nostres parcs,DIBA - Ajuts programa Coneixem els nostres parcs,1752.63,0,1752.63,,,
2017,3260,PROMOCIÓ EDUCATIVA,48000,Descripción Económica,Subvencions Institucions i particulars sense fi de lucre,900,0,900,,,
2017,3262,ESCOLA D'ART,45030,Trans ctes en cumpl de conv els seus amb C.A en mat d'Educac,Gencat Escola d'Art,0,0,0,,,
2017,3263,ESCOLA DE MÚSICA,45030,Trans ctes en cumpl de conv els seus amb C.A en mat d'Educac,Conveni subvencional sosteniment de l'Escola Música 2015,0,0,0,,,
2017,3264,Descripción Orgánica,46139,Subvenció,DIBA - Suport servei menjador Escola bressol,20951,0,20951,,,
2017,3264,Descripción Orgánica,46148,"De Diputacions, Consells o Cabildos.",DIBA - EB La Bruna,59214.74,0,59214.74,,,
2017,3265,Descripción Orgánica,46147,"De Diputacions, Consells o Cabildos.",DIBA - EB La Lluna,54963.94,0,54963.94,,,
2017,3266,Descripción Orgánica,46146,"De Diputacions, Consells o Cabildos.",DIBA - EB Sol Solet,53283.38,0,53283.38,,,
2017,3321,Descripción Orgánica,33909,Lloguer Biblioteca,Lloguer Biblioteca,750,0,750,,,
2017,3340,PROMOCIÓ CULTURAL,46137,DIBA-Ajuts per a festiv. i esdeveniments artístics (RUBIFOLK,DIBA - Ajuts esdeveniments artístics : RUBIFOLK,1400,0,1400,,,
2017,3360,MUSEUS,79101,Subvencions FEDER,Subvencions FEDER El Celler,0,0,0,,,
2017,3370,COMISSIONAT D'EMMANCIPACIÓ JUVENIL,45080,Subv corrents de la Admón General de la C.A,GENCAT - Dinamització espai jove Torre Bassas,0,0,0,,,
2017,3370,COMISSIONAT D'EMMANCIPACIÓ JUVENIL,46117,DIBA - Ajuts per al desenvolupament dels plans locals de jov,DIBA - Ajuts Plans Locals de joventut,8586.5,0,8586.5,,,
2017,3380,FESTES POPULARS,34401,Venda d'entrades per Festa Major,Venda d'entrades per Festa Major,4000,0,4000,,,
2017,3260,PROMOCIÓ EDUCATIVA,46138,DIBA - Acompanyament a l'escolaritat,DIBA - Ajuts casals d'infants d'escoles,20091,0,20091,,,
2017,3262,ESCOLA D'ART,31200,llicencies urbanistiques,Rebuts escola d'art,30000,0,30000,,,
2017,3262,ESCOLA D'ART,49701,Altres transferències de la Unió Europea.,Subvenció alumnes EDRA Erasmus,0,0,0,,,
2017,3264,Descripción Orgánica,34202,Preu públic escola bressol la Bruna,Preu públic escola bressol la Bruna,260000,0,260000,,,
2017,3380,FESTES POPULARS,47000,TRANSFERENCIAS DE EMPRESAS PRIVADAS,Patrocinis Festa Major,0,0,0,,,
2017,3410,PROMOCIÓ I FOMENT DE L'ESPORT,46110,DIBA - Ajuts per activitats esportives puntuals,DIBA - Ajuts per activitats esportives puntuals,5637,0,5637,,,
2017,4250,RUBI BRILLA,46153,Subvencions promoció de la ciutat,DIBA - Subvencions promoció de la ciutat,0,0,0,,,
2017,4250,RUBI BRILLA,49700,FEDER Plataforma digital serv empresarials on line Net Rubí,Subvenció projecte REMIDA (MED programme),0,0,0,,,
2017,4310,COMERÇ,46158,"De Diputacions, Consells o Cabildos.","Meses concert 2017-19 - Dinam. Les Torres, 25set i ca n'Orio",0,0,0,,,
2017,4311,MERCAT,46132,DIBA-Ajuts implantar mesures dinamització comercial (comerç),DIBA-Ajuts implantar mesures dinamització comercial (comerç),0,0,0,,,
2017,4312,"MERCATS, ABASTAMENTS I LLOTGES",46130,DIBA - Ajuts al programa de suport a les polítiques de difus,DIBA - Ajuts per el mercat de venda no sedentari,2000,0,2000,,,
2017,4312,"MERCATS, ABASTAMENTS I LLOTGES",46132,DIBA-Ajuts implantar mesures dinamització comercial (comerç),DIBA-Ajuts implantar mesures dinamització comercial (comerç),0,0,0,,,
2017,4320,IDENTITAT I PROJECCIÓ EXTERIOR,45080,Subv corrents de la Admón General de la C.A,GENCAT - Fons per al foment del turisme,4000,0,4000,,,
2017,4330,SERVEI A LES EMPRESES,49700,FEDER Plataforma digital serv empresarials on line Net Rubí,FEDER Plataforma digital serv empresarials on line Net Rubí,0,0,0,,,
2017,4330,SERVEI A LES EMPRESES,79700,Altres transferències de la Unió Europea.,FEDER - Plataforma digital serveis Rubí Empresa,0,0,0,,,
2017,4390,PROMOCIÓ ECONÒMICA,46153,Subvencions promoció de la ciutat,Subvencions promoció de la ciutat,0,0,0,,,
2017,9121,ACCIÓ INSTITUCIONAL I COMUNICACIÓ,33902,Taxa per casaments,Taxa per casament,1000,0,1000,,,
2017,9200,ADMINISTRACIÓ GENERAL,76101,Subvenció,Subvenció Diputació,0,3.75,3.75,,,
2017,3380,FESTES POPULARS,46108,DIBA - Ajuts per actuacions desenv. Locals municipals +20000,DIBA - Desenv. cultural: Cultura i proximitat,5000,0,5000,,,
2017,3410,PROMOCIÓ I FOMENT DE L'ESPORT,46109,DIBA - Ajuts per al desenvolupament de programes esportius,DIBA - Ajuts per al desenvolupament de programes esportius,15672,0,15672,,,
2017,4312,"MERCATS, ABASTAMENTS I LLOTGES",32500,Expedició de documents,Expedició de documents,20000,0,20000,,,
2017,9202,SERVEIS GENERALS ÀREA PLANIF. PROMOC.ECONÒMICA I GOVERN,45050,Tran ctes en cumpl conv les seves amb C.A en mat Em i Desarr,"GENCAT - AODL Planificació Estratègica, Promoció Econ. i Gov",0,0,0,,,
2017,9203,SERVEIS JURÍDICS,59902,Altres ingressos patrimonials.,Indemnitzacions per rescabalaments de danys patrimonials,0,0,0,,,
2017,9208,MANTENIMENT DEPENDÈNCIES MUNICIPALS,39907,Subministraments Club Natació Rubí,Subministraments Club Natació Rubí,300000,0,300000,,,
2017,9208,MANTENIMENT DEPENDÈNCIES MUNICIPALS,76104,"De Diputacions, Consells o Cabildos.",Meses concert 2017-19 - Acondicionament antic cinema,0,0,0,,,
2017,9240,PARTICIPACIÓ CIUTADANA,34207,Preu públic formació soc. informació,Preu públic formació soc. informació,0,0,0,,,
2017,9240,PARTICIPACIÓ CIUTADANA,45002,Trans ctes en compliment de conv Serv Soc i Polít d'Igual,CP Fitxa 29.1 Acció comunitari prog.desenv.comunitari,48000,0,48000,,,
2017,9240,PARTICIPACIÓ CIUTADANA,46155,Subvencions societat de la informació,Subvencions societat de la informació,0,0,0,,,
2017,9240,PARTICIPACIÓ CIUTADANA,46158,"De Diputacions, Consells o Cabildos.","Meses concert 2017-19 - Dinam. Les Torres, 25set i ca n'Orio",0,0,0,,,
2017,9241,INFRAESTRUCTURA I SUPORT A LES ENTITATS,46155,Subvencions societat de la informació,Subvencions societat de la informació,0,0,0,,,
2017,9241,INFRAESTRUCTURA I SUPORT A LES ENTITATS,76104,"De Diputacions, Consells o Cabildos.",Meses concert 2017-19 - Acond. locals AAVV 25set i Ca n'orio,0,0,0,,,
2017,9242,COOPERACIÓ INTERNACIONAL,46107,DIBA - Ajuts per adquisició de material esportiu,DIBA - Pla director de cooperació al desenvolupament,0,0,0,,,
2017,9250,ATENCIÓ AL CIUTADÀ,46106,DIBA - Subvencions,DIBA - Serveis municipals de consum,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,11400,Impost sobre béns immobles de característiques especials,Impost sobre béns immobles de característiques especials,189000,0,189000,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,33800,Taxa ocupació telefònica,Taxa ocupació telefònica,200000,0,200000,,,
2017,9201,SECRETARIA I ARXIU,39901,Reintegrament anuncis publicacions,Reintegrament anuncis publicacions,2000,0,2000,,,
2017,9203,SERVEIS JURÍDICS,39906,Ingressos per publicitat FEOSL,Indemnitzacions per sentències judicials,1,0,1,,,
2017,9203,SERVEIS JURÍDICS,39908,Condemna en costes a favor de l'entitat,Condemna en costes a favor de l'entitat,1,0,1,,,
2017,9240,PARTICIPACIÓ CIUTADANA,33910,Lloguer Ateneu,Lloguer Ateneu,1000,0,1000,,,
2017,9240,PARTICIPACIÓ CIUTADANA,34208,Ateneu,Preu públic cursos ateneu,5000,0,5000,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,11200,Impto sobre Béns Immobles. Béns Inmueb de Nat Rústica,Impost sobre béns immobles. béns immobles de natural rústica,4200,0,4200,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,11300,Impost sobre béns immobles de naturalesa urbana,Impost sobre béns immobles de naturalesa urbana,26530000,0,26530000,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,39001,Altres ingr de prescripcions de devolucions ingres indeguts,Altres ingr de prescripcions de devolucions ingres indeguts,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,42090,Altres transferències corrents de l'Administració de l'Estat,Revisió cens electoral,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,46101,Subvencions diverses Diputació,DIBA - Progr. compl. garantia suficiència financera 2015-16,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,91301,Préstecs rebuts a llarg termini,Préstecs rebuts a llarg termini,0,0,0,,,
2017,93201,HISENDA I SERVEIS ECONOMICS,42020,Compensació per beneficis fiscals.,Compensació per beneficis fiscals. (IBI escoles concertades),100000,0,100000,,,
2017,93202,HISENDA I SERVEIS ECONOMICS,42020,Compensació per beneficis fiscals.,Compensació per beneficis fiscals (IAE Cooperatives),45000,0,45000,,,
2017,93205,HISENDA I SERVEIS ECONOMICS,45080,Subv corrents de la Admón General de la C.A,Subvenció gencat. Interessos i amortització prèstec Bibliote,0,0,0,,,
2017,9340,Descripción Orgánica,39300,interessos de demora,Interessos de demora,150000,0,150000,,,
2017,9340,Descripción Orgánica,39905,Ingressos per serveis bancaris,Ingressos per serveis bancaris,1000,0,1000,,,
2017,9340,Descripción Orgánica,52001,Interessos de derivats de préstecs,Interessos de derivats de préstecs,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,87010,Per a despeses amb finançament afectat.,Per a despeses amb finançament afectat.,0,5223177.35,5223177.35,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,87000,Per a despeses generals.,Per a despeses generals.,0,4869450,4869450,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,38900,Reintegrament operacions corrents,Reintegrament operacions corrents,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,39110,Multes per infraccions tributàries i anàlogues.,Multes per infraccions tributàries i anàlogues.,100000,0,100000,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,39200,Recàrrec per declaració extemporánea sense requerimi. Previ,Recàrrec per declaració extemporánea sense requerimi. Previ,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,39211,Recàrrec de constrenyiment.,Recàrrec d'apressament 10% i 20%,300000,0,300000,,,
2017,1623,Descripción Orgánica,30302,Recollida de residus oli vegetal,Prestació del servei de recollida de vidre,55000,0,55000,,,
2017,1623,Descripción Orgánica,30303,Descripción Económica,Prestació del servei recollida de paper i cartró,79000,0,79000,,,
2017,1640,CEMENTIRI,55001,Concessions administratives,Cànon serveis cementiri,10000,0,10000,,,
2017,1640,CEMENTIRI,55002,Concessions ninxols-cementiri,Concessions cementiri,90000,0,90000,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,34102,Preu públic llar tutelada Ca n'Alzamora,Preu públic llar tutelada Ca n'Alzamora,34020,0,34020,,,
2017,2310,RUBÍ CIUTAT PER A TOTHOM,34103,Preu públic transport adaptat disminuits,Preu públic transport adaptat disminuits,35000,0,35000,,,
2017,2410,PROMOCIÓ DE L'OCUPACIÓ,45050,Tran ctes en cumpl conv les seves amb C.A en mat Em i Desarr,GENCAT. Subvencions en matèria d'ocupació (SOC),0,1776768.21,1776768.21,,,
2017,3262,ESCOLA D'ART,34206,Cursos formació servei de la dona,Preu públic tallers d'art,40000,0,40000,,,
2017,3263,ESCOLA DE MÚSICA,34204,Rebuts escola de música,Rebuts escola de música,325000,0,325000,,,
2017,2410,PROMOCIÓ DE L'OCUPACIÓ,46141,Subvencions consell comarcal,Consell Comarcal - Programes integrals Inserjov@vallesII,0,0,0,,,
2017,1650,ENLLUMENAT PÚBLIC,76100,Subvenció Diputació Pla Xarxa de Governs Locals,Subvenció Diputació Pla Xarxa de Governs Locals,0,35779.95,35779.95,,,
2017,4U045,OBRA PÚBLICA I PROJECTES URBANS,75301,"De soc merc,ent púb empr i altres orga púb depen de CC.AA",ACA - Conveni rehabilitació Col·lector Can Xercavins 17-18,0,0,0,,,
2017,1640,CEMENTIRI,30900,Taxes de cementiri municipal,Taxes de cementiri municipal,25000,0,25000,,,
2017,2410,PROMOCIÓ DE L'OCUPACIÓ,34209,Serveis educatius cursos formació professionalitzador,Serveis educatius cursos formació professionalitzador,0,0,0,,,
2017,2410,PROMOCIÓ DE L'OCUPACIÓ,46136,DIBA - Subvencions,DIBA - Promoció de l'ocupació (IMPES),64657.33,39393.92,104051.25,,,
2017,2410,PROMOCIÓ DE L'OCUPACIÓ,48000,Descripción Económica,Programa SEFED,91135.44,0,91135.44,,,
2017,3110,SALUT PÚBLICA,31902,Inspecció i control sanitari d'establiments de carn fresca,Serveis de control i inspecció sanitaris en matèries de Salu,3500,0,3500,,,
2017,3111,TINENÇA D'ANIMALS,31901,Taxes per inscripció d'animals de companyia,Taxes per inscripció d'animals de companyia,7000,0,7000,,,
2017,3260,PROMOCIÓ EDUCATIVA,34205,Casals,Casals,11000,0,11000,,,
2017,3110,SALUT PÚBLICA,46119,DIBA - Ajuts per al desenvolupament de programes i desenvolu,DIBA - Ajuts per al desenvolupament de programes i desenvolu,16000,0,16000,,,
2017,3110,SALUT PÚBLICA,46120,DIBA - Ajuts per al desenvolupament de programes,DIBA - Ajuts per al desenv. programes seguretat alimentària,10910.56,0,10910.56,,,
2017,3110,SALUT PÚBLICA,46121,DIBA - Ajuts per a la prevenció de plagues urbanes i legione,DIBA - Ajuts per a la prevenció de plagues urbanes i legione,28864.56,0,28864.56,,,
2017,3111,TINENÇA D'ANIMALS,45080,Subv corrents de la Admón General de la C.A,GENCAT - Protecció d'animals de companyia (tinença d'animals,13483.46,0,13483.46,,,
2017,3263,ESCOLA DE MÚSICA,46126,DIBA - Ajuts per a escoles municipals de música i ensenyamen,DIBA - Ajuts per a escoles municipals de música i arts,20692,0,20692,,,
2017,3264,Descripción Orgánica,46149,Subvencions Diputació,DIBA - Prog. comp.escolart. 1ª infància curs 15-16 EBM Bruna,0,0,0,,,
2017,3265,Descripción Orgánica,34200,Preu públic escola bressol La Lluna,Preu públic escola bressol La Lluna,253000,0,253000,,,
2017,3265,Descripción Orgánica,46149,Subvencions Diputació,DIBA - Prog. comp. escolaritz. 1ª infància 15-16 EBM Lluna,0,0,0,,,
2017,3266,Descripción Orgánica,34201,Preu públic escola bressol Sol Solet,Preu públic escola bressol Sol Solet,271225.84,0,271225.84,,,
2017,3266,Descripción Orgánica,46149,Subvencions Diputació,DIBA - Prog. comp. escolarització 1ª infància 15-16 EBM Sol,0,0,0,,,
2017,3330,EQUIPAMENTS CULTURALS I MUESUS,33908,Lloguers de l'auditori,LLoguers de l'auditori El Castell,4500,0,4500,,,
2017,3330,EQUIPAMENTS CULTURALS I MUESUS,46131,DIBA-Ajuts al programa de suport serve. i activ. Xarxa museu,DIBA- Ajuts Xarxa museu i patrimoni cultural,3000,0,3000,,,
2017,3340,PROMOCIÓ CULTURAL,33912,Taxa ocupació via pública,Lloguer espai Cruïlla,0,0,0,,,
2017,3342,ARTS ESCÈNIQUES,33907,Lloguers del Teatre Municipal La Sala,Lloguers del Teatre Municipal La Sala,5000,0,5000,,,
2017,3342,ARTS ESCÈNIQUES,34400,Venda d'entrades espectacles temporada,Venda d'entrades espectacles temporada,12000,0,12000,,,
2017,3420,INSTAL·LACIONS ESPORTIVES,33911,Lloguer instal·lacions esportives,Lloguer d'instal·lacions esportives,800,0,800,,,
2017,4250,RUBI BRILLA,45050,Tran ctes en cumpl conv les seves amb C.A en mat Em i Desarr,GENCAT Subvenció programa desenvolupament local,0,0,0,,,
2017,4310,COMERÇ,46132,DIBA-Ajuts implantar mesures dinamització comercial (comerç),DIBA-Ajuts Dinamització teixit comercial (comerç),12900,0,12900,,,
2017,4312,"MERCATS, ABASTAMENTS I LLOTGES",32904,Serveis de mercat,Serveis de mercat,350000,0,350000,,,
2017,4312,"MERCATS, ABASTAMENTS I LLOTGES",55000,concessions administratives,Concessions administratives,8000,0,8000,,,
2017,4313,Descripción Orgánica,33903,Mercadal,Mercadal,91400.18,0,91400.18,,,
2017,4320,IDENTITAT I PROJECCIÓ EXTERIOR,36000,Vendes botiga de Rubí,Vendes botiga de Rubí,2500,0,2500,,,
2017,4330,SERVEI A LES EMPRESES,33906,Lloguer d'espais RUBI+D,Lloguer d'espais RUBI+D,0,0,0,,,
2017,4330,SERVEI A LES EMPRESES,45050,Tran ctes en cumpl conv les seves amb C.A en mat Em i Desarr,GENCAT - Subvencions serveis a les empreses,0,27045.55,27045.55,,,
2017,4330,SERVEI A LES EMPRESES,46133,DIBA - Subvencions,DIBA - Polítiques de teixiti productiu (OSE),124020.35,0,124020.35,,,
2017,4411,TRANSPORT COL·LECTIU URBÀ DE VIATGERS,46701,Sub.Autoritat Transport Metropolità (programa AMTU),AMTU-Pla de millora del transport col·lectiu urbà,240000,0,240000,,,
2017,4910,Descripción Orgánica,34900,Altres preus públics.,Preu públic del servei de comunicació,2000,0,2000,,,
2017,4930,PROTECCIÓ DE CONSUMIDORS I USUARIS,46106,DIBA - Subvencions,DIBA- Serveis municipals de consum,30811,0,30811,,,
2017,9203,SERVEIS JURÍDICS,39800,Indemnitzacions assegurances,Indemnitzacions assegurances,1,0,1,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECAN.,Impost sobre vehicles de tracció mecànica,4500000,0,4500000,,,
