nomTramit,servei,tramitPresencial,tramitTelefonic,tramitTelematica,urlCarpetaCiutadana,urlRegitreTelematic,documents,adreces,perfilCiutadania,perfilEntitats,perfilEmpreses,perfilComercs,perfilEmprenedors,perfilProveidors,temes,contadorVisites,dataModificacio
Certificat d'aprofitament urbanístic,U043 - PLANIFICACIÓ,si,no,no,,,<documento><doc_nombre>Sol·licitud certificat aprofitament urbanístic</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/certificat_aprofitament_urban_stic_2010.pdf</doc_url></documento>,,si,si,si,no,no,si,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",846,05/20/2016 06:57:42 AM
Certificat d'empadronament,U019 - ATENCIÓ A LA CIUTADANIA,si,no,no,,,<documento><doc_nombre>Taxa per expedició de documents administratius</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/Taxa per expedicio de documents administratius.pdf</doc_url></documento><documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento><documento><doc_nombre>Instància en castellà</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cast.pdf</doc_url></documento>,,si,no,no,no,no,no,,4835,12/29/2016 09:08:19 AM
Certificat de béns,U025 - OFICINA DE GESTIÓ D'INGRESSOS,si,no,no,,,<documento><doc_nombre>Taxa per expedició de documents administratius</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/Taxa per expedicio de documents administratius.pdf</doc_url></documento><documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento><documento><doc_nombre>Instància en castellà</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cast.pdf</doc_url></documento>,,si,no,si,no,no,no,<tema><tem_codigo>26</tem_codigo><tem_nombre>Certificats</tem_nombre></tema>,699,12/29/2016 09:17:13 AM
Certificat de legalitat i antiguitat d'una edificació,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància sol.licitud de certificat de legalitat i antiguitat d'una edificació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201541382910_126194.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",1201,01/03/2017 08:23:19 AM
Cessió a entitats socials de l'ús estable d'espais municipals en centres cívics i locals socials,U059 - CIUTADANIA I DRETS CIVILS,si,no,no,,,<documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento><documento><doc_nombre>Instància en castellà</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cast.pdf</doc_url></documento>,,no,si,no,no,no,si,,777,12/29/2016 09:20:34 AM
Cessió de drets funeraris (quan es té nínxol en regim de lloguer),U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància cessió drets nínxol lloguer</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492131542_402930.pdf</doc_url></documento>,"<direccion><dir_nombre>Cementiri Municipal</dir_nombre><dir_direccion>Crta. Sabadell Km.13, 08191 Rubí</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>935887722</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari habitual:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>dilluns a dissabte, de 9 a 13 h i de 15 a 18 h. Diumenges i festius, de 9 a 14 h.<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horaris especials:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de juny a setembre de 9 a 13 h i tardes de 16 a 19 h. (de dilluns a dissabtes)<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari d'oficina</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de dilluns a divendres de 9 a 13 h</span></p>]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,550,12/29/2016 09:22:36 AM
Comunicació d'obres menors en locals comercials,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Sol·licitud de comunicació d'obres menors en locals comercials</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_2015427135438_110416.pdf</doc_url></documento><documento><doc_nombre>Model Normalitzat de l'estudi de gestió de residus de construcció i demolició</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/model_estudi_gestio_residus_de_construcci__i_demolici____ag_ncia_de_residus_de_catalunya.pdf</doc_url></documento><documento><doc_nombre>Nomenament de contractista</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511094331_22012.pdf</doc_url></documento><documento><doc_nombre>Annex de la llei 12/2012 de 26 de desembre</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_2015427135824_66678.pdf</doc_url></documento>,,no,no,si,si,si,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",1404,02/01/2016 01:27:19 PM
Comunicació de canvi de titularitat d'activitats,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància canvi de nom</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/inst_ncia_canvi_nom_gen_rica.pdf</doc_url></documento>,,no,no,si,si,no,no,<tema><tem_codigo>28</tem_codigo><tem_nombre>Activitats</tem_nombre></tema>,1290,12/29/2016 09:25:09 AM
Comunicació prèvia de primera ocupació,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Sol·licitud comunicació prèvia de primera ocupació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511095936_46836.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",1666,12/30/2016 08:24:11 AM
Comunicació prèvia de tipus A,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Declaració responsable del tècnic competent</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/declarac_resp_t_cnic.pdf</doc_url></documento><documento><doc_nombre>Instància comunicació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/inst_ncia_comunicacio_iii_a.pdf</doc_url></documento>,,no,no,si,si,no,no,<tema><tem_codigo>28</tem_codigo><tem_nombre>Activitats</tem_nombre></tema>,2552,01/03/2017 08:35:51 AM
Comunicació prèvia de tipus B,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància comunicació IIIb provisional </doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/inst_ncia_comunicaci__iii_b_provisional_27_3_12.pdf</doc_url></documento><documento><doc_nombre>Declaració responsable del tècnic competent</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/declarac_resp_t_cnic.pdf</doc_url></documento>,,no,no,si,no,no,no,<tema><tem_codigo>28</tem_codigo><tem_nombre>Activitats</tem_nombre></tema>,1431,04/14/2016 06:38:28 AM
Concurs de cartells de Carnaval,U041 - CULTURA,si,no,no,,,<documento><doc_nombre>Bases concurs de cartells de Carnaval</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jop_20170484154_322989.pdf</doc_url></documento><documento><doc_nombre>Convocatòria concurs de cartells de Carnaval 2017</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jop_2017048430_288065.pdf</doc_url></documento>,,si,no,no,no,no,no,,17,01/04/2017 08:20:11 AM
Conducció de despulles dins del cementiri amb un únic titular de les sepultures,U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància conducció despulles dins de cementiri 1 titular</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492131636_414305.pdf</doc_url></documento>,"<direccion><dir_nombre>Tanatori</dir_nombre><dir_direccion>Ctra. de Sabadell, km 13</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>RUBI</dir_municipio><dir_telefono>935886655</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[De dilluns a diumenges: de 9 a 21 h ]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,558,12/29/2016 09:29:12 AM
Conducció de despulles dins del cementiri quan les sepultures estan a nom de dues persones diferents,U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància conducció despulles dins de cementiri 2 titulars</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201541183128_697723.pdf</doc_url></documento>,"<direccion><dir_nombre>Tanatori</dir_nombre><dir_direccion>Ctra. de Sabadell, km 13</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>RUBI</dir_municipio><dir_telefono>935886655</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[De dilluns a diumenges: de 9 a 21 h ]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,484,12/29/2016 09:30:35 AM
Conducció o trasllat de despulles fora del cementiri de Rubí,U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància conducció-trasllat despulles fora de municipi</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492132024_426881.pdf</doc_url></documento>,"<direccion><dir_nombre>Tanatori</dir_nombre><dir_direccion>Ctra. de Sabadell, km 13</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>RUBI</dir_municipio><dir_telefono>935886655</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[De dilluns a diumenges: de 9 a 21 h ]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,552,12/29/2016 09:31:50 AM
Contragual,U050 - MOBILITAT,si,no,no,,https://www.e-ajrubi.net/sta/Relec/TramitaForm?dboidSolicitud=6269000009385959607707,<documento><doc_nombre>Sol·licitud CG Alta/Baixa</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/ecl_20151114105223_169240.2.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud CG Canvi-Mod.</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/ecl_20151114105259_168626.2.pdf</doc_url></documento>,,si,no,si,si,no,no,"<tema><tem_codigo>4</tem_codigo><tem_nombre>Vehicles (tramitació de guals, multes de trànsit, retirada vehicle...)</tem_nombre></tema>",915,12/29/2016 09:35:46 AM
Convocatòria 2016 a les millors iniciatives comercials de nova implantació al municipi de Rubí,U016 - COMERÇ,si,no,no,,,<documento><doc_nombre>Model sol·licitud transferència bancària subvenció millor inciativa comercial nova implantació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20165192530_51245.pdf</doc_url></documento><documento><doc_nombre>Model declaració altres subvencions subvenció millor iniciativa comercial nova implantació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20165192342_102656.pdf</doc_url></documento><documento><doc_nombre>Model declaració obligacions tributàries i seguritat social millors iniciatives comercials</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20165192230_95100.pdf</doc_url></documento><documento><doc_nombre>Model relació classificada despesa subvenció millor iniciativa comercial nova implantació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20165192439_99125.pdf</doc_url></documento><documento><doc_nombre>Model sol·licitud subvenció millor iniciativa comercial nova implantació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20165191931_95868.pdf</doc_url></documento><documento><doc_nombre>Plànols aprovació definitiva de la Modificació Trama Urbana Consolidada de Rubí</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/aprov_def_delimitacio_tuc_planols_grans_reduit.pdf</doc_url></documento><documento><doc_nombre>Bases de subvenció a les millors iniciatives comercials de nova implantació al municipi de Rubí</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/Bases_iniciatives_comercials_aprovacio_definitiva_BOPB.pdf</doc_url></documento><documento><doc_nombre>Publicació BOPB convocatòria 2016 de subvencions a les millors iniciatives comercials de nova implantació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20165775928_163549.pdf</doc_url></documento><documento><doc_nombre>Relació epígrafs IAE objecte de la subvenció millors iniciatives comercials 2016</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20165194424_57532.pdf</doc_url></documento><documento><doc_nombre>Text íntegre convocatòria 2016 de subvencions millors iniciatives comercials de nova implantació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_201657869_418284.pdf</doc_url></documento>,,no,no,no,si,si,no,"<tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",1716,06/07/2016 06:30:36 AM
