ID,Nom entittat,Adreça entitat,Localitat,Telèfon entitat,Email entitat,Tipus entitat,Any fundació,Any d'inscripció
36,AMPA CEIP MARIA MONTESSORI,"c. Narcís Monturiol, 53-55",08191 Rubí,93-699 72 00,ampamontessorirubi@gmail.com,Entitat educativa,1987,1990
37,ASSOCIACIÓ SARDANISTA DANSAIRES RUBINENCS,"Pl. Catalunya, 1",08191 Rubí,93-699 14 98,,Entitat cultural,1990,1990
38,AMPA CEIP PAU CASALS,"c. Sant Pere, 42",08191 Rubí,93-699 29 69,ampa.escolapaucasals@gmail.com,Entitat educativa,1989,1990
39,ASSOCIACIÓ AMICS ASTRONOMIA TRI-A RUBÍ,"c. Xile, 1-3",08191 Rubí,936998047,xaviaris@hotmail.com,Entitat cultural,1987,1990
40,ALTERNATIVA ART.PINZELL VERD,"c. Marconi, 1 6è 4a",08191 Rubí,93-699 93 69,,Entitat cultural,1985,1990
41,GRUP DE TEATRE LA CÀMARA,"Plana Can Bertran, 2",08191 Rubí,669491083,,Entitat cultural,1978,1990
42,ATLÈTIC CA N'ORIOL(Fusió UE Rubí),"c. La Pastora, 31 (Bar)",08191 Rubí,93-697 52 26,,Entitat esportiva,1969,1990
43,AMPA CEIP TERESA ALTET,"c. Mallorca, 90-118",08191 Rubí,620477540,ampaceipteresaaltet@gmail.com,Entitat educativa,1988,1990
44,AMPA INS DUC DE MONTBLANC,"av. Can Fatjó, 134-138",08191 Rubí,93-699 79 61,ampainsducmontblanc@gmail.com,Entitat educativa,1988,1990
45,CBUR,"c. Gavina,11",08191 Rubí,93-699 73 27,zabial@hotmail.com,Entitat cultural,1989,1990
46,PENYA BLAUGRANA RAMON LLORENS,"c. Unió, 12",08191 Rubí,93.004.50.49,penya@pbramonllorens.cat,Entitat esportiva,1960,1990
47,CENTRE D'ESPLAI EL GRIPAU BLAU,"c. Ntra. Sra. de Lourdes, 86",08191 Rubí,,miniyo1_2@hotmail.com,Entitat educativa,1986,1990
48,SOCIEDAD TEOSÓFICA ESPAÑOLA,"c. Sant Pere, 8",08191 Rubí,936993543,,Entitat cultural,1940,1990
49,GRUP FOTOGRÀFIC EL GRA,"c. Historiador Josep Serra, s/n, Antiga Estació",08191 Rubí,696673280,elgrafoto@gmail.com,Entitat cultural,1966,1990
50,GAER GIMNÀSTICA,"Poliesportiu Can Rosés 
Av. De les Olímpiades, s/n ",08191 Rubí,"93-699 08 19           
93-697 15 21",gaerubi@hotmail.com,Entitat esportiva,1977,1990
51,AGRUPAMENT ESCOLTA GUSPIRA,"Ps. Riera, 30-32",08191 Rubí,"671 728 044
655 029 216
",aeguspirarubi@gmail.com,Entitat educativa,1980,1990
52,C.F. TRES CAMPANAS,"c. Lepant, 55",08191 Rubí,93-6996133,,Entitat esportiva,1982,1990
53,CENTRE D'ESPLAI LA RUTLLA,"av. Castellbisbal, 1",08191 Rubí,93-699 94 16,cerutlla@hotmail.com,Entitat educativa,1975,1990
55,CENTRE D'ESPLAI MATÍ NAIXENT,"c. Dr. Gimbernat, 1-3",08191 Rubí,93-6971665,,Entitat educativa,1977,1990
56,AGRUPAMENT ESCOLTA ALBADA,"c. Magallanes, 65",08191 Rubí,93-699 12 91,aealbada.rubi@gmail.com,Entitat educativa,1974,1990
57,CASA REG.AND.DE SETEFILLA,"av. Castellbisbal, 1",08191 Rubí,93-699 83 59,,Entitat cultural,1987,1990
58,COMANCHEROS MOTO-CLUB,"c. Maresme, 10",08191 Rubí,696 793 951,,Entitat esportiva,1990,1990
59,GRUP DE TEATRE ESBARJO,"c. Sant Sebastià, 34",08191 Rubí,936998679,nonacheca@hotmail.com,Entitat cultural,1978,1990
60,AMPA COL.LEGI REGINA CARMELI,"c. Sant Sebastià, 34",08191 Rubí,93-699 03 53,carme.ampa@reginacarmeli.com,Entitat educativa,1978,1990
61,GRUP CULTURAL I DE TEATRE CORIMBO,"av. Castellbisbal, 1",08191 Rubí,"93-588 60 06
627085212",angelesf26@hotmail.com,Entitat cultural,1983,1990
62,AV FONT DE LA VIA,"Ps. Riera, enfront del núm. 1",08191 Rubí,93-588 30 03,aa.vv.fontdelavia@hotmail.es,Entitat veïnal,1987,1990
63,CLUB PETANCA RUBÍ,"Ctra. Molins de Rei, s/n",08191 Rubí,93-6973253,,Entitat esportiva,1984,1990
65,AMPA CEIP RAMON LLULL,"Av. Can Fatjó, 100-120",08191 Rubí,935888357,amparamonllullrubi@hotmail.com,Entitat educativa,1979,1990
66,AV PLANA DE CAN BERTRAN,"c. General Castaños, 2",08191 Rubí,(93) 112-5953,a.v.canbertran@gmail.com,Entitat veïnal,1984,1990
67,A. CATALANA AMICS POBLE SAHARAUÍ,"c. Xile, 1-3",08191 Rubí,93-588 74 73,,Entitat de cooperació,1991,1991
68,FUTBOL SALA RUBÍ VIP'S,"c. Juan Ramon Jiménez, 34 1r 4a",08191 Rubí,,,Entitat esportiva,1986,1991
70,ASSOCIACIÓ PRO-MINUSVÀLIDS PSÍQUICS RUBÍ,"c. Marconi, 10",08191 Rubí,93-699 51 24,,Entitat social,1980,1991
71,OBRADOR CORAL DE RUBÍ,"c. Joaquim Blume, 30 (Complex Cultural l'Escardívol)",08191 Rubí,93-699 86 96,,Entitat cultural,1981,1991
72,HERMANDAD ROCIERA ANDALUZA DE RUBÍ,"ctra. Sabadell, km. 12.200",08191 Rubí,609237820,hermandadrocierarubi@hotmail.com,Entitat cultural,1989,1991
73,C.E. LA COLLA DEL SAFRÀ,"c. Marconi, 8",08191 Rubí,,,Entitat educativa,1987,1991
74,BASQUET RUBÍ,"c. Sant Pere, 38",08191 Rubí,93-586 06 06,ebuxa@eresmas.com,Entitat esportiva,1907,1991
75,AV LES TORRES FUTBOL SALA,"c. Joan Puig, edif. Jamaica, 2 bxs.",08191 Rubí,93-697 18 07,,Entitat esportiva,1990,1991
76,"ASOCIACIÓN SEPARADOS, VIUDOS ""AMIGOS PARA TI""","c. Maximí Fornés, 11 2n
C. Maximí Fornés, 11 2n",08191 Rubí,93-5881373,,Entitat cultural,1990,1991
77,SOCIETAT SANT ANTONI ABAT,"Pl. Catalunya, 1",08191 Rubí,93-699 48 56,ncm@ajrubi.cat,Entitat cultural,1850,1991
78,CLUB PETANCA VALLÈS,"M. Aurèlia Capmany, s/n",08191 Rubí,676 235 881,maricarpe@yahoo.es,Entitat esportiva,1977,1991
79,PEÑA CULT.FLAM.CALIXTO SÁNCHEZ,"Ctra. de Sabadell, s/n km 12",08191 Rubí,93-588 49 41,,Entitat cultural,1980,1991
80,CLUB ESPORTIU RUBI FUTBOL SALA,"c. Joaquim Blume, s/n",08191 Rubí,93-588 35 95,esportiurubifs@hotmail.com,Entitat esportiva,1986,1991
81,UNION EXTREMEÑA DE RUBÍ,"La Plana de Can Bertran, 19",08191 Rubí,93-697 38 06,unionexrubi@hotmail.com,Entitat cultural,1978,1991
82,C.F. LA SERRETA,"c. Sabadell, 18",08191 Rubí,936992121,,Entitat esportiva,1984,1992
83,FC CAZADORES,"ctra. Sabadell, 70 (bar)",08191 Rubí,93-697 21 50,,Entitat esportiva,1991,1992
84,CLUB PETANCA SANTA ROSA,"Camí de Ca n'Oriol, s/n",08191 Rubí,93-699 82 00,"reformas67@hotmail.com                                         
txiqui-1947@hotmail.es",Entitat esportiva,1982,1992
85,CLUB PETANCA UNION LAS TORRES-RUBÍ,"Ps. De la Riera, s/n-Pol. Covasolera",08191 Rubí,93-6973235,lastorresrubi@gmail.com,Entitat esportiva,1991,1992
86,CENTRE EXCURSIONISTA DE RUBÍ,"Ps. Riera, 30-32",08191 Rubí,93-588 71 70,,Entitat esportiva,1949,1992
87,AMPA CEIP SCHOLA,"c. St Pere, 12",08191 Rubí,93-699 08 31,ampa@schola.cat,Entitat educativa,1976,1992
88,AV ZONA NORD,"c. Maria Aurèlia Capmany, 32-34",08191 Rubí,93-588 78 54,,Entitat veïnal,1976,1992
89,AV ELS AVETS ( ASPUR ),"Pl. dels Ocells, s/n",08191 Rubí,93-699 42 62,sanchez.herrera.agustin@gmail.com,Entitat veïnal,1964,1992
90,AMPA INS J.V. FOIX,"Can Sampere, s/n",08191 Rubí,"93-699 02 07
93-772 07 28",,Entitat educativa,1988,1992
91,FUTBOL SALA VALLÈS,"Av. Can Cabanyes,  ed. Calypso, local 12",08191 Rubí,93-5885012,,Entitat esportiva,1992,1992
92,ESPORTIU RUBINENC,"Passatge Circumval·lació, 2 2n",08191 Rubí,93-699 96 69,,Entitat esportiva,,1992
93,CENTRE D'ESPLAI EX-TRIDENT-CIA,"av. Castellbisbal, 1",08191 Rubí,93-588 60 06,,Entitat educativa,1992,1993
94,AV CAN SEDÓ,"C.Antoni Sedó, 6 1r 2a",08191 Rubí,93-6973298,,Entitat veïnal,1987,1993
95,ESCUDERIA MANZANUS,"c. Calderón de la Barca, 23",08191 Rubí,93-6995547,,Entitat esportiva,1992,1993
96,CLUB DEPORTIVO ANCLA LES TORRES,"Plaça Nova, 3",08191 Rubí,,,Entitat esportiva,1992,1993
97,C.E. COPLASTI,"Passatge Circumval·lació, 2 2n",08191 Rubí,93-699 96 69,,Entitat esportiva,,1993
98,CASA DE ANDALUCIA EN RUBÍ ,"c. Orso, 2",08191 Rubí,93-697 00 62,casadeandaluciaenrubi@hotmail.com,Entitat cultural,1987,1993
99,ASSOCIACIÓ D'ANIMACIÓ CULTURAL C. SANT JAUME,"c. Sant jaume, 5, 5è",08191 Rubí,639959598,,Entitat cultural,1845,1993
100,,,,,,Entitat mediambiental,1988,1993
101,CLUB CICLISTA RUBÍ,"Marconi, 10 baixos",08191 Rubí,93-588 74 21,juanoliva51@hotmail.com,Entitat esportiva,1971,1993
102,CLUB SOCIAL ATLÈTIC RUBINENC,"crta. Sabadell, 17",08191 Rubí,93-6998797,,Entitat esportiva,1989,1993
103,INDEPENDENT MABA 1990,"Passatge Barcelona, 8 2n 2a",08191 Rubí,93-5880885,,Entitat esportiva,1993,1993
104,ASSOCIACIÓ DE PESSEBRISTES DE RUBÍ,"av Castellbisbal, 109",08191 Rubí,936999460,,Entitat cultural,1951,1993
105,JOC - JOVENTUT OBRERA CRISTIANA NACIONAL DE CATALUNYA,"PL. Doctor Guardiet, 9",08191 Rubí,93-699 78 58,,Entitat juvenil,1993,1993
107,CENTRO CULTURAL DE ENSENYANZA FLOR GITANA,"Pl. de la Constitució, 6, local 3",08191 Rubí,93-699 97 80,carmelepiro@gmail.com,Entitat cultural,1992,1993
108,CLUB AUTOMODELISME RUBÍ,"c. Maximí Fornés, 64",08191 Rubí,93-5870652,,Entitat esportiva,1992,1993
109,CLUB ESPORTIU MARISTES RUBÍ,"c. Magallanes, 65",08191 Rubí,93-588 50 22,yofe@maristes.com,Entitat esportiva,1992,1994
110,ESQUERRA REPUBLICANA DE CATALUNYA (JERC),"Pere Esmendia, 25, 1r 2a",08191 Rubí,93-697 50 41,rubi@esquerra.org,Partit polític,,1994
,,,,,,Partit polític,1988,1994
111,AV FONT DE LA VIA - FUTBOL SALA,"Ps. Riera, enfront del núm. 1",08191 Rubí,93-588 30 03,,Entitat esportiva,1994,1994
112,COL.LECTIU XIVARRI,"c. Eivissa, 4",08191 Rubí,,,Entitat cultural,1994,1994
113,MÀ OBERTA - COR OBERT (RUBÍ),"c. Magallanes, 65",08191 Rubí,93-699 12 91,,Entitat educativa,1994,1994
114,ASOCIACIÓN DESPERTAR,"c. Folch i Torres, 12, 7è 3a",08191 Rubí,93-697 05 31,,Entitat social,1994,1994
115,CENTRE CULTURAL DE RAJA IOGA,"c. Sant Pere, 13 1r",08191 Rubí,93-699 35 43,,Entitat cultural,1986,1994
116,CENTRO DEPORTIVO CANINO CAN ROJA,"c. Aprestadora, 33 1r 1a",08902 Hospitalet,,,Entitat esportiva,1994,1994
117,C. INVEST. TECNO. I MEDIAMB.-CITMA-,"c. Futur, 12, 2n 3a",08191 Rubí,,,Entitat mediambiental,1994,1994
118,ASSOCIACIÓ ESPORTIVA TERRANOVA,"c. Handbol, 1-9",08191 Rubí,,,Entitat esportiva,1994,1994
119,ASSOCIACIÓ COMPARTIR-G.S. MARISTAS,"c. Evarist Arnús,44",08014 Barcelona,"936974400
670550199",ccelpinar.dir@maristes.cat,Entitat de cooperació,1993,1995
120,A.C.PRO-LEGALITZACIÓ DIF.TV,"c. Marconi, 8",08191 Rubí,93-588 45 07,,Entitat cultural,1993,1995
121,ASSOCIACIÓ PER LA TOLERÀNCIA,"c. Madrid, 78 3r 2a",08191 Rubí,93-697 52 39,,Entitat ciutadana-cívica,1993,1995
122,COLLA DE GEGANTERS DE RUBÍ,"c. Dante Alighieri, 29",08191 Rubí,93-699 33 55,gegantsrubi@gmail.com,Entitat cultural,1992,1995
123,"AP I AV DE LA URB. CAN BARCELÓ ""EL VALLE"" DE RUBÍ","C. Willy Brandt, 27",08191 Rubí,93-5870313,mpolo@vitro.com,Entitat veïnal,1994,1995
124,ASSOCIACIÓ TIR AMB ARC,"c. Virgen de Fàtima, 20, at. 3a",08191 Rubí,93-588 04 65,,Entitat esportiva,1994,1995
125,COOPERACIÓ-AGÈNCIA CATALANA DE COOPERACIÓ INTERNACIONAL,"c. Prim, 12 bis porta dreta",08191 Rubí,935880422,,Entitat de cooperació,1995,1995
126,AV CAN SERRALLAC,"Camí de Sant Muç, 1",08191 Rubí,93-588 40 11,jcaballeg@gmail.com,Entitat veïnal,1988,1995
127,AV CAN SERRAFOSÀ,"c. Joventut, 14",08191 Rubí,93-588 92 18,diteg@ditegsl.com,Entitat veïnal,1995,1995
128,CLUB VOLEIBOL RUBÍ,"c. Magí Ramentol, 9 A",08191 Rubí,936 997 481,cvrubi@hotmail.com,Entitat esportiva,1995,1995
129,RUBÍ MULTICULTURAL,"c. Prat de la Riba, 1",08191 Rubí,93-588 74 73,,Entitat de cooperació,1993,1995
130,AV LA PLANA DEL CASTELL,"Pg de la Riera, 93",08191 Rubí,93-699 59 02,av.laplanadelcastell@gmail.com,Entitat veïnal,1977,1995
131,COMUNIDAD BAHA'I DE RUBÍ,"c. Sabadell, 21",08191 Rubí,93-588 69 87,,Entitat ciutadana-cívica,1992,1996
132,GRIMNA,"c. Sant Salvador, 1 3r B",08191 Rubí,,,Entitat mediambiental,1994,1996
133,AV CAN SOLÀ,"c. José Echegaray, 9 Can Solà",08191 Rubí,93-587 07 89,avcansola@gmail.com,Entitat veïnal,1974,1996
134,CLUB DE BÀSQUET CA N'ORIOL (Fusió Bàsquet Rubí),c. Mallorca s/n - CP Teresa Altet,08191 Rubí,93-697 95 15,"canoriol@hotmail.com
oriol@basquetcatala.com",Entitat esportiva,1994,1996
135,AP VALLÈS PARK,"Camí Vell d' Ullastrell, 413",08191 Rubí,610596780,vallespark.zonaresidencial@gmail.com,Entitat veïnal,1995,1996
136,CENTRE D'ESPLAI SANTA MARIA,"c. Joan Puig,3",08191 Rubí,93-699 78 58,,Entitat educativa,1996,1996
137,ASOCIACIÓN ROCIERA ANDALUZA DE RUBÍ,"av. Castellbisbal, 1",08191 Rubí,696092031,,Entitat cultural,1996,1996
138,ASSOCIACIÓ MAGREBÍ DE RUBI,"c. Xile, 1",Rubi 08191,,,Entitat ciutadana-cívica,1996,1996
139,"ASSOCIACIÓ D'AMICS PER LA CULTURA ""EL CORDILL""","c. Sant Jaume, 34, baixos",08191 Rubí,93-588 47 42,,Entitat cultural,1995,1996
140,DIABLES DE RUBÍ,"c. Xile, 1",08191 Rubí,935880297,diablesderubi@diablesderubi.org,Entitat cultural,1995,1996
141,AV CASTELLNOU-CAN MIR SECTOR D,"c. Vielha, s/n",08191 Rubí,93-697 12 54,jesynur@telefonica.net,Entitat veïnal,1988,1996
142,ASOCIACIÓN R.U.B.I.,"c. Xercavins, 26",08191 Rubí,935885485,,Entitat ciutadana-cívica,1996,1996
143,ASSOCIACIÓ ELS CASTELLERS DE RUBÍ,"c.Orso, 2",08191 Rubí,654474588,castellersderubi@castellersderubi.cat,Entitat cultural,1996,1996
144,HCR CENT PATINS,"Pista Poliesportiva Francesc Calvo
Passeig de les Torres, s/n",08191 Rubí,93-588 74 73,secretaria@centpatins.com,Entitat esportiva,1993,1996
145,GRUP CULTURAL DE TEATRE DOS DE DOS,"av. Can Cabanyes, 13, 8è 1a",08191 Rubí,93-588 23 07,,Entitat cultural,1996,1996
146,ASSOCIACIÓ D'ESTUDIS I RECERCA JOSEP ROVIRA,"c. Prim, 10",08191 Rubí,93-588 04 22,,Entitat cultural,1996,1996
147,AV CAN MIR CASTELLNOU SECTOR A,"Av. Can Mir, 20-24",08191 Rubí,93-588 73 74,"balaguertelleria@ya.com
niquito@ya.com",Entitat veïnal,1989,1996
148,AV CASTELLNOU-CAN TAPIS SECTOR B,"c. Berga, s/n - Castellnou",08191 Rubí,93-587 03 42,alonsomigue@hotmail.com,Entitat veïnal,1989,1996
150,ADAI- ATURATS 40,"c. Aribau, 3",08191 Rubí,93-697 90 73,aturats40@hotmail.com,Entitat de dones,1996,1997
151,AP CAN BOSCH,"av. Victòria, 2. Caseta Postal, 45",08191 Rubí,"93-699 53 89
93-354 82 99",,Entitat veïnal,1989,1997
152,INTERNATIONAL POLICE ASSOCIATION,"c. Major, 51 4t 4a",08160 Montmeló,,,Entitat de cooperació,1997,1997
153,AP CAN ROSÉS RESIDENCIAL,"c. Tennis, 81",08191 Rubí,93-588 59 99,,Entitat veïnal,1996,1997
154,ASSOCIACIÓ AMICS D'AUTOMÓBILS ANTICS,"c. Verge del Pilar, 19",08191 Rubí,936991283,classicrubi@gmail.com,Entitat cultural,1996,1997
155,CLUB TRIAL INDOOR RUBÍ,"Grup 25 de Setembre, esc. 6 - Local 3",08191 Rubí,93-697 31 57,,Entitat esportiva,1995,1997
156,PARTIT OBRER REVOLUCIONARI (POR),"c. Xile, 1",08191 Rubí,93-588 17 30,,Partit polític,1983,1997
157,DEFENSA I SOCORS DELS ANIMALS,Mas Can Pol,08507 Santa Eugenia de Berga,93-246 11 12,,Entitat mediambiental,1997,1997
158,PNJ NUNCA MUERE-CLUB DE ROL,"c. Cadmo 37, 3r 1a",08191 Rubí,93-588 50 05,,Entitat juvenil,1995,1997
159,ASSOCIACIÓ CULTURAL CLUB D'ARAN,"c. Benito Bartrina, 36",08191 Rubí,93-588 66 09,,Entitat juvenil,1994,1997
160,AV ZONA MERCAT,"c.Juan Ramon Jimenez, 18",08191 Rubí,93-697 86 94,david-goldenpool@hotmail.com,Entitat veïnal,1997,1997
161,FEDERACIÓ EMPRESARIAL DE RUBÍ,"c. Gimnàs, 23 1r",08191 Rubí,93-588 01 69,,Entitat de comerç,1996,1997
162,AMIGOS DE RUBÍ,"c. Monturiol, 21",08191 Rubí,93-697 23 01,,Entitat social,1996,1997
163,CASA CULTURAL ÁRABE DE RUBÍ,"c. Sabadell, 7",08191 Rubí,"93-588 20 91
93699 34 42",casaculturalarabe@hotmail.com,Entitat ciutadana-cívica,1994,1997
164,KIR-IGLESIA CRISTIANA EVANGÉLICA,"c. Riu Llobregat, 24",08191 Rubí,93-699 73 09,,Entitat ciutadana-cívica,1991,1997
165,ASSOCIACIÓ CASAL CA N'ORIOL,Camí Ca n'Oriol s/n,08191 Rubí,93-699 02 22,canoriol@teleline.es,Entitat social,1997,1997
166,CLUB DE PATINATGE ARTÍSTIC DE RUBÍ,"Pista Poliesportiva Francesc Calvo                   Passeig de les Torres, s/n",08191 Rubí,93-588 74 73,cparubi@hotmail.es,Entitat esportiva,1997,1998
168,RUBÍ CENTRE BOTIGUER,"c. St Pere, 13",08191 Rubí,620924935,rubicentre@rubicentre.com,Entitat de comerç,1991,1998
169,CLUB ESPORTIU COPLASTI RUBINENC,"Passatge Circumval·lació, 2 2n",08191 Rubí,93-699 96 69,,Entitat esportiva,1992,1998
171,"ASSOCIACIÓ PER A L'EDUCACIÓ EN EL JOC ""RUBÍ ROIG""","c. Safir, 22, 3r 1a",08191 Rubí,93-699 14 12,,Entitat educativa,1997,1998
172,ASSOCIACIÓ CATALANA DE BRIGADISTES A NICARAGUA,"Pl. dels Nens, 7 A 2n. 4a.",08191 Rubí,93-588 24 58,,Entitat de cooperació,1994,1998
173,AP LES VALLS DE SANT MUÇ,"Caseta postal, 22 (ermita sant muç)",08191 Rubí,680 40 99 98,aavvsantmuc@gmail.com,Entitat veïnal,1959,1998
174,ACTIVITAT SOCIAL RUBINENCA (ACSO),"c. Canari, 21",08191 Rubí,,,Entitat ciutadana-cívica,1997,1998
175,CENTRE D'ESPORTS MIL.LENARI,"ctra. Sabadell, 26 (Bar Danubio)",08191 Rubí,93-697 25 85,,Entitat esportiva,1991,1998
176,ASSOCIACIÓ PLA ESTRATÈGIC DE RUBÍ,"Rambleta Joan Miró, s/n (Edifici Rubí Desenvolupament)",08191 Rubí,93-588 26 64,rubipec@rubipec.org,Altres,1997,1998
177,"CASAL DE AMISTAD CATALANO-CUBANA ""JOSÉ MARTÍ""","c. Xile, 1  Ateneu Municipal",08191 Rubí,936998773,julisanchezrico@hotmail.com,Entitat de cooperació,1997,1998
178,GRUP DE DANSA LA LLUNA I LA PRUNA,"c. Terrassa, 11-13",08191 Rubí,93-588 77 04,,Entitat cultural,1997,1998
179,AGRUPACIÓN DE PERSONAS MAYORES,ctra.Sabadell cantonada Navas de Tolosa nº1,08191 Rubí,93-699 45 21,,Entitat social,1994,1998
180,MOVIMENT DE MESTRES DE RUBÍ,"c. Numància, 12",08191 Rubí,650431430,mmr1@gmail.com,Entitat educativa,1993,1998
182,COMPANYIA DE TEATRE HEURA CÒMICA,"c. dels Estels, 23, 2n 3a",08191 Rubí,93-699 81 51,,Entitat cultural,1997,1998
183,"AJUT AL POBLE CUBÀ, ""LA HABANA""","av. Can Cabanyes, 4, 1r 4t",08191 Rubí,93-697 06 89,,Entitat de cooperació,1996,1998
184,ASSOCIACIÓ CATALANA DE DISLÈXIA.VOCALIA DE RUBÍ,"c. Xile, 1-3",08191 Rubí,"93-588 74 73
93-699 00 87",,Entitat educativa,1996,1998
186,GRUP DE TEATRE GRÈVOL,"c. Lluís Ribas, 14 2n 3a",08191 Rubí,93-699 22 70,,Entitat cultural,1975,1999
