ID,OPERACIO,NIF,NOM,DESC_DESPESES,NUM_FACTURA,DATA_FACTURA,DATA_COMPTABILITZACIO,SIGNE,IMPORT_OBLICACIO,ORGANIC,FUNCIONAL,ECONOMIC,DESC_APLICACIO,EXERCICI_PRESUPOST,DADES
220150048046-22015007353,220150048046,,,DEVOL SOBRANT ADOPJ Previsió per despeses imprevistes que es puguessin donar en el decurs del 2n Congrés Rubí Brilla,,,2015-12-03T00:00:00.000+01:00,-,-47.44,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150035090-22015007353,220150035090,,,Previsió per despeses imprevistes que es puguessin donar en el decurs del 2n Congrés Rubí Brilla,,,2015-11-11T00:00:00.000+01:00,+,200,1U006,4321,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150048799-22015007923,220150048799,A58411455,ARTESANIA FERRE SA,PL CASAMENT GRAVAR PL CASAMENT,B5/560,2015-12-29T00:00:00.000+01:00,2015-12-31T00:00:00.000+01:00,+,505.3,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150046244-22015006888,220150046244,B79449674,ARTESANOS DEL CRISTAL SL,Estuche 2 copas cava alianzas grabacion chorro con estuche interior y exterior rojo,2,2015-11-24T00:00:00.000+01:00,2015-12-24T00:00:00.000+01:00,+,1560.9,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150000451-22015000188,220150000451,G61289658,ASSOCIACIO SANT GALDERIC,72 ampolles de cava per a actes relacionats amb Alcaldia,1/2015,2015-01-14T00:00:00.000+01:00,2015-02-23T00:00:00.000+01:00,+,460.8,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150046125-22015005552,220150046125,B58519406,CAMPOS ESTELA DE RESTAURACION SL,Esmorzar II Marxa per una Catalunya sense atur precarietat,02794,2015-07-31T00:00:00.000+02:00,2015-12-24T00:00:00.000+01:00,+,278,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150020619-22015004949,220150020619,B58519406,CAMPOS ESTELA DE RESTAURACION SL,RECEPCIÓ ENTITATS FESTA MAJOR servei cambrers xips i olives invent nro 6 quesifacil invent nro,2704,2015-06-30T00:00:00.000+02:00,2015-08-10T00:00:00.000+02:00,+,1310.4,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150010706-22015002672,220150010706,B58519406,CAMPOS ESTELA DE RESTAURACION SL,invent nro 3 ibericoh invent nro 4 pamtumacat invent nro 7 home made tortilla Dinars mitjans video auditori bibl,2570,2015-03-31T00:00:00.000+02:00,2015-06-05T00:00:00.000+02:00,+,332.68,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150004203-22015000436,220150004203,B08564874,CS ESTABLIMENTS DE PROXIMITAT SL,Refrigeris recepcions Sala de Plens de lAjuntament,US 15000050,2015-01-31T00:00:00.000+01:00,2015-04-21T00:00:00.000+02:00,+,29.28,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150048831-22015007446,220150048831,B63752349,DOMENECH I CAMPDERROS DIC BO SL,PIZZA TONYINA DELICIES SALADES ENTREPANS CROQUETES PATATES AMPOLLES AIGUA AMPOLLES COCACOLA AMPOLLES FANT,15F0112,2015-12-30T00:00:00.000+01:00,2015-12-31T00:00:00.000+01:00,+,826.1,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150027467-22015005852,220150027467,B63752349,DOMENECH I CAMPDERROS DIC BO SL,Refrigeri reconeixement proves PAU,15F0060,2015-09-02T00:00:00.000+02:00,2015-10-22T00:00:00.000+02:00,+,163.74,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150020656-22015004730,220150020656,B63752349,DOMENECH I CAMPDERROS DIC BO SL,SERVEI DE CTERING SESSIÓ CONSTITUTIVA 13062015,15F0054,2015-07-06T00:00:00.000+02:00,2015-08-10T00:00:00.000+02:00,+,649.33,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150023842-22015004747,220150023842,B60492329,FONT DEL FERRO SL,Ajuntament de Rubí Alcaldia guarniment planta,A/15/4022,2015-07-31T00:00:00.000+02:00,2015-09-25T00:00:00.000+02:00,+,121,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150023841-22015004747,220150023841,B60492329,FONT DEL FERRO SL,Ajuntament de Rubí Alcaldia Calibracoa O 13,A/15/4021,2015-07-31T00:00:00.000+02:00,2015-09-25T00:00:00.000+02:00,+,176,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150020603-22015004752,220150020603,B60130341,IMPRINTER SL,3 TALONARIOS DE 100 HOJAS A 20N ACTE CONSTITUCIO,150462,2015-06-30T00:00:00.000+02:00,2015-08-10T00:00:00.000+02:00,+,144.26,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150020620-22015004391,220150020620,B60130341,IMPRINTER SL,30 PEGADO DE SOLAPAS SIN IMPRIMIR EN CARPETAS DEL CLIENTE,150466,2015-07-06T00:00:00.000+02:00,2015-08-10T00:00:00.000+02:00,+,77.77,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150027450-22015005078,220150027450,B60130341,IMPRINTER SL,REF 15062015 800 INVITACIONES 20 RECEPCIO ENTITATS FESTA MAJOR ACCIO INSTITUCIONAL RESP J,150517,2015-07-22T00:00:00.000+02:00,2015-10-22T00:00:00.000+02:00,+,225.37,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150027451-22015005135,220150027451,B60130341,IMPRINTER SL,REF 1662015 200 PICS PLANTA A 40PALO FESTA MAJOR ACCIO INSTITUCIONALRESP YOLANDA AGUIELRA,150519,2015-07-22T00:00:00.000+02:00,2015-10-22T00:00:00.000+02:00,+,385.63,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150048571-22015008494,220150048571,B60130341,IMPRINTER SL,REF 28112015 800 POSTALES NAVIDAD REF 220150041563 ACCIO INSTITUCIONAL,150874,2015-12-17T00:00:00.000+01:00,2015-12-31T00:00:00.000+01:00,+,898.87,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150041772-22015006868,220150041772,B64800931,JOIES I PROTOCOL ROCA JOIERS SL,Plaques números,99,2015-10-16T00:00:00.000+02:00,2015-12-10T00:00:00.000+01:00,+,2069.1,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150027463-22015005535,220150027463,B64800931,JOIES I PROTOCOL ROCA JOIERS SL,Reciclatge plaques,77,2015-09-01T00:00:00.000+02:00,2015-10-22T00:00:00.000+02:00,+,119.79,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150004282-22015001703,220150004282,,,16 rotlles destovalles color burdeos per a actes institucionals de lAjuntament,6772,2015-03-13T00:00:00.000+01:00,2015-04-21T00:00:00.000+02:00,+,327.56,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150046528-22015004690,220150046528,,,Centre de Flors Piramidal Presa de possessió 13062015,123146,2015-03-16T00:00:00.000+01:00,2015-12-24T00:00:00.000+01:00,+,65,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150005350-22015001709,220150005350,,,Coixi de flors Ofrena Floral Dia dAndalusia 28022015,123034,2015-02-28T00:00:00.000+01:00,2015-04-24T00:00:00.000+02:00,+,220,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150027610-22015005242,220150027610,,,Coixí de flors Diada Nacional de Catalunya 11092015,123104,2015-09-11T00:00:00.000+02:00,2015-10-22T00:00:00.000+02:00,+,220,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150046529-22015007900,220150046529,,,Ram vertical Regal Institucional Neus Catal i Pallej Centenari,123166,2015-11-05T00:00:00.000+01:00,2015-12-24T00:00:00.000+01:00,+,70,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150027609-22015005241,220150027609,,,Ramb de flors codolencies Defunció Anna García Professora Escola Montserrat,123103,2015-06-19T00:00:00.000+02:00,2015-10-22T00:00:00.000+02:00,+,72,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150015712-22015000415,220150015712,,,Regals institucionals Escuts ciutat,28/15,2015-05-27T00:00:00.000+02:00,2015-07-02T00:00:00.000+02:00,+,1154.8,1U008,9121,22601,Atencions protocol·làries i representatives.,2015,2016-02-22T13:52:13.000+01:00
220150010703-22015000328,220150010703,B58519406,CAMPOS ESTELA DE RESTAURACION SL,Invent nro 9 sanwichines invent nro 410 kokletas invent nro Trobada alcaldessa mitjans comunicació,2435,2015-01-21T00:00:00.000+01:00,2015-06-05T00:00:00.000+02:00,+,188.8,1U009,9121,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
220150010704-22015000837,220150010704,B58519406,CAMPOS ESTELA DE RESTAURACION SL,invent nro 9 sanwichines invent nro 12 veggie coca inve trobada alcaldessa mitjans comunicacions comarcal,2477,2015-02-02T00:00:00.000+01:00,2015-06-05T00:00:00.000+02:00,+,84.4,1U009,9121,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
220150027518-22015003672,220150027518,B59010363,PHOTOLAYER SL,Acreditacions Mitjans de Comunicació Festa Major 2015,15000047,2015-09-09T00:00:00.000+02:00,2015-10-22T00:00:00.000+02:00,+,38.72,1U009,9121,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
220150046509-22015007880,220150046509,B59010363,PHOTOLAYER SL,Acreditacions Premsa 90x60mm plastificades i amb forat a la part superior per penjar,15000075,2015-12-03T00:00:00.000+01:00,2015-12-24T00:00:00.000+01:00,+,58.08,1U009,9121,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
220150020698-22015005029,220150020698,B59010363,PHOTOLAYER SL,Acreditacions Prensa 90x60mm plastificades i amb forat a la part superior per penjar,15000037,2015-07-22T00:00:00.000+02:00,2015-08-10T00:00:00.000+02:00,+,29.04,1U009,9121,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
220150045403-22015009649,220150045403,,,Dinar mitjans de Comunicació amb lAlcaldessa,,,2015-12-22T00:00:00.000+01:00,+,780,1U009,9121,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
220150051185-22015009649,220150051185,,,SOBRANT ADOPJ Dinar mitjans de Comunicació amb lAlcaldessa,,,2015-12-29T00:00:00.000+01:00,-,-111.03,1U009,9121,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
220150007291-22015001331,220150007291,,,BCF Habilitat de Serveis Centrals 2a reposició any 2015,MULTIFAC,,2015-05-13T00:00:00.000+02:00,+,9.15,2U013,9209,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
220150011485-22015001331,220150011485,,,BCF Habilitat de Serveis Centrals Hisenda i Rgim Interior 3 reposició Liquidació BCF Mandat 20112015,MULTIFAC,,2015-06-17T00:00:00.000+02:00,+,11.6,2U013,9209,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
220150002527-22015001331,220150002527,,,BCF1a reposició any 2015 a lHabilitat de Serveis Centrals Hisenda i Rgim Interior,MULTIFAC,,2015-03-25T00:00:00.000+01:00,+,51.4,2U013,9209,22601,Atencions protocol.làries i representatives,2015,2016-02-22T13:52:13.000+01:00
