Area del Ayuntamiento que afecta,Entidad/es con las que el Ayuntamiento firma,Objeto Convenio,Obligaciones economicas convenidas (Ayuntamiento),Duracion inicial (en meses),Fecha firma,Situacion,Modificaciones,Personas obligadas a la realizacion de las prestaciones
Bienestar Social,Consejería de Fomento y Vivienda de la Junta de Andalucía,"Colaboración en la entrega, distribución y gestión de las subvenciones que otorgue la Consejería de Fomento y Vivienda con cargo a la programación 2009 del Programa de Rehabilitación Autonómica",Compromiso de abono a las personas beneficiarias el importe de las subvenciones recibidas como entidad colaboradora.,48,28/05/14,En vigor,No,Consejería de Fomento y Vivienda de la Junta de Andalucía / Ayuntamiento
Informática / Servicio de Atención al Ciudadano,"Consejería de Economía, Innovación, Ciencia y Empleo de la Junta de Andalucía",Colaboración en el ámbito de la iniciativa “Andalucía Compromiso Digital”.,No,Indefinido,24/07/14,En vigor,No,"Consejería de Economía, Innovación, Ciencia y Empleo de la Junta de Andalucía / Ayuntamiento de Alhaurín de la Torre"
Cultura / Educación,D. Jesús Asensi Díaz / D. José Antonio Mañas Valle,Cesión de los fondos museísticos para el futuro Mueso de la Educación de Málaga - Alhaurín de la Torre,No,Indefinido,27/02/15,En vigor,No,D. Jesús Asensi Díaz / D. José Antonio Mañas Valle / Ayuntamiento de Alhaurín de la Torre
Medio Ambiente,Secretaría General de Instituciones Penitenciarias,"Realización de actividades de tiempo libre y práctica del senderismo compaginándolo con actividades de balización, señalización y homologación de, al menos, dos rutas de senderismo en la sierra de Alhaurín de la Torre llevada a cabo por internos del Centro Penitenciario de Alhaurín de la Torre",2.000€,10,03/03/15,Prorrogado,No,Secretaría General de Instituciones Penitenciarias / Ayuntamiento de Alhaurín de la Torre
Educación,Consejería de Educación de la Junta de Andalucía,Colaboración para la financiación de los puestos escolares de la Escuela Infantil San Sebastián correspondiente al curso 2015/2016.,No,10,01/09/15,En vigor,No,Consejería de Educación de la Junta de Andalucía / Ayuntamiento de Alhaurín de la Torre
Educación,Consejería de Educación de la Junta de Andalucía,Colaboración para la financiación de los puestos escolares de la Escuela Infantil Ángel de la Guarda correspondiente al curso 2015/2016.,No,10,01/09/15,En vigor,No,Consejería de Educación de la Junta de Andalucía / Ayuntamiento de Alhaurín de la Torre
Tráfico,Consorcio de Transporte Metropolitano del Área de Málaga,Colaboración para la cofinanciación del coste del servicio Alhaurín de la Torre - Campus de Teatinos para el curso 2015/2016.,"17.187,67€",9,24/09/15,En vigor,No,Consorcio de Transporte Metropolitano del Área de Málaga / Ayuntamiento de Alhaurín de la Torre
Bienestar Social,"Consejería de Igualdad, Salud y Políticas Sociales","Gestión de la transferencia de fondos, destinada a las Ayudas Económicas Familiares.","110.000,00 € (año 2013) / 7.000,00 € (año 2014) / 7.000,00 € (año 2015)",12,31/10/13,Prorrogado,"Si (Prorrogado por sendos convenios firmados el 17/09/14, el 04/12/15 y el 21/12/15)","Consejería de Igualdad, Salud y Políticas Sociales / Ayuntamiento de Alhaurín de la Torre"
Educación,Delegación Territorial de la Consejería de Educación en Málaga,"Desarrollo de programas de prevención, seguimiento y control del absentismo escolar, así como la atención al alumnado inmigrante, durante el curso escolar 2015-2016","1400,00 (a través de subvención otorgada por la Consejería de Educación)",10,01/03/16,En vigor,,Delegación de Educacion / Ayuntamiento de Alhaurin de la Torre
Deporte,I.E.S. Capellania,Utilizacion por parte del Excmo. Ayuntamiento de Alhaurin de la Torre de las instalaciones deportivas pertenecientes al I.E.S. Capellania,"Material deportivo por valor de 2.000,00€ ",6,13/07/16,En vigor,No,I.E.S. Capellania / Ayuntamiento de Alhaurin de la Torre
Deporte,I.E.S. Huerta Alta,Utilizacion por parte del Excmo. Ayuntamiento de Alhaurin de la Torre de las instalaciones deportivas pertenecientes al I.E.S. Huerta Alta,"Material deportivo por valor de 800,00€ ",6,20/07/16,En vigor,No,I.E.S. Huerta Alta / Ayuntamiento de Alhaurín de la Torre
Deporte,I.E.S. Gerald Brenan,Utilizacion por parte del Excmo. Ayuntamiento de Alhaurin de la Torre de las instalaciones deportivas pertenecientes al I.E.S. Gerald Brenan,"Material deportivo por valor de 800,00€ ",3,10/10/16,En vigor,No,I.E.S. Gerald Brenan / Ayuntamiento de Alhaurín de la Torre
Deporte,I.E.S. Galileo,Utilizacion por parte del Excmo. Ayuntamiento de Alhaurin de la Torre de las instalaciones deportivas pertenecientes al I.E.S. Galileo,"Material deportivo por valor de 1.000,00€ ",2,02/11/16,En vigor,No,I.E.S. Galileo / Ayuntamiento de Alhaurín de la Torre
Formación y Empleo,Fundación Instituto Cameral para la Creación y Desarrollo de la Empresa (INCYDE),Incorporación del Vivero de Empresas a la Red de Viveros de la Fundación INCYDE,"6.000,00 €",12,10/04/17,En vigor,No,Fundación INCYDE / Ayuntamiento de Alhaurín de la Torre
Formación y Empleo,Fundación Instituto Cameral para la Creación y Desarrollo de la Empresa (INCYDE),Puesta en marcha de dos acciones formativas (un programa de Marketing Digital y otro de Transformación Digital) encaminadas al fomento del emprendimiento y las competencias digitales,"20.000,00 €",21,17/04/17,En suspenso,No,Fundación INCYDE / Ayuntamiento de Alhaurín de la Torre
Bienestar Social,"Consejería de Igualdad, Salud y Políticas Sociales",Desarrollo del programa de tratamiento a familias con menores en situación de riesgo o desprotección,"39.380,65 €",12,28/04/17,Prorrogado,No,Junta de Andalucía / Ayuntamiento de Alhaurín de la Torre
Patrimonio,"Colegio El Pinar, S.A.L.",Uso de las instalaciones de la piscina cubierta municipal,No,48,23/06/17,En vigor,No,"Ayuntamiento de Alhaurín de la Torre / Colegio El Pinar, S.A.L."
Informática,Ministerio de Hacienda y Administraciones Públicas Y Comunidad Autónoma de Andalucía,Prestación mutua de soluciones básicas de administración electrónica,No,48,19/06/17,En vigor,No,Ayuntamiento de Alhaurín de la Torre / Ministerio de Hacienda y Administraciones Públicas / Comunidad Autónoma de Andalucía
