Fecha;Importe;AREA PRESUPUESTARIA;PROGRAMA PRESUPUESTARIO;IDENTIFICACI‡N;BENEFICIARIO;LINEA;CONCEPTO;;;;;;;;;;;;;
05/08/2015;477,28;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE AGOSTO;;;;;;;;;;;;;
17/09/2015;477,28;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE SEPTIEMBRE;;;;;;;;;;;;;
07/10/2015;477,28;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE OCTUBRE;;;;;;;;;;;;;
03/11/2015;477,28;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE NOVIEMBRE;;;;;;;;;;;;;
15/12/2015;477,28;ALCALD÷A;ORGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE DICIEMBRE;;;;;;;;;;;;;
27/07/2015;289,19;ALCALD÷A;ORGANOS DE GOBIERNO;V47741756;GRUPO MUNICIPAL SI SE PUEDE VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL SI SE PUEDE JUNIO-JULIO 2015;;;;;;;;;;;;;
05/08/2015;180,74;ALCALD÷A;ORGANOS DE GOBIERNO;V47741756;GRUPO MUNICIPAL SI SE PUEDE VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL SI SE PUEDE MES DE AGOSTO;;;;;;;;;;;;;
17/09/2015;180,74;ALCALD÷A;ORGANOS DE GOBIERNO;V47741756;GRUPO MUNICIPAL SI SE PUEDE VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL SI SE PUEDE MES DE SEPTIEMBRE;;;;;;;;;;;;;
07/10/2015;180,74;ALCALD÷A;ORGANOS DE GOBIERNO;V47741756;GRUPO MUNICIPAL SI SE PUEDE VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL SI SE PUEDE MES DE OCTUBRE;;;;;;;;;;;;;
03/11/2015;180,74;ALCALD÷A;ORGANOS DE GOBIERNO;V47741756;GRUPO MUNICIPAL SI SE PUEDE VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL SI SE PUEDE DE NOVIEMBRE;;;;;;;;;;;;;
15/12/2015;180,74;ALCALD÷A;ORGANOS DE GOBIERNO;V47741756;GRUPO MUNICIPAL SI SE PUEDE VALLADOLID; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO MUNICIPAL SI SE PUEDE MES DE DICIEMBRE;;;;;;;;;;;;;
03/02/2015;470,70;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL IU MESES DE ENERO Y FEBRERO;;;;;;;;;;;;;
12/03/2015;235,35;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL IU MES DE MARZO;;;;;;;;;;;;;
30/03/2015;235,35;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL IU MES DE ABRIL;;;;;;;;;;;;;
21/05/2015;235,35;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL IU MES DE MAYO;;;;;;;;;;;;;
25/06/2015;94,14;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO MUNICIPAL IU DEL 1 AL 12 DE JUNIO 2015;;;;;;;;;;;;;
27/07/2015;341,91;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO VALLADOLID TOMA LA PALABRA JUNIO Y JULIO 2015;;;;;;;;;;;;;
05/08/2015;213,69;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO VALLADOLID TOMA LA PALABRA MES DE AGOSTO;;;;;;;;;;;;;
17/09/2015;213,69;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO VALLADOLID TOMA LA PALABRA MES DE SEPTIEMBRE;;;;;;;;;;;;;
07/10/2015;213,69;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO VALLADOLID TOMA LA PALABRA MES DE OCTUBRE;;;;;;;;;;;;;
03/11/2015;213,69;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO VALLADOLID TOMA LA PALABRA MES DE NOVIEMBRE;;;;;;;;;;;;;
15/12/2015;213,69;ALCALD÷A;ORGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL VALLADOLID TOMA LA PALABRA; GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO VALLADOLID TOMA LA PALABRA MES DE DICIEMBRE;;;;;;;;;;;;;
03/02/2015;1.000,00;ALCALD÷A;GOBIERNO Y RELACIONES;N4121033G;ORGAN.IBEROAMERICANA COOP.INTERMUNICIPAL; GRUPOS POLITICOS MUNICIPALES;CUOTA ORDINARIA DE ASOCIADO Y MIEMBRO A•O 2015 ORGANIZACI‡N IBEROAMERICANA DE COOPERACI‡N INTERMUNICIPAL (OICI);;;;;;;;;;;;;
03/02/2015;866,06;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO PSOE MESES DE ENERO Y FEBRERO;;;;;;;;;;;;;
12/03/2015;433,03;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO PSOE MES DE MARZO;;;;;;;;;;;;;
30/03/2015;433,03;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO PSOE MES DE ABRIL;;;;;;;;;;;;;
21/05/2015;433,03;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO PSOE MES DE MAYO;;;;;;;;;;;;;
25/06/2015;173,21;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACI‡N GRUPO PSOE DEL 1 AL 12 DE JUNIO DE 2015;;;;;;;;;;;;;
27/07/2015;552,78;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PSOE JUNIO Y JULIO 2015;;;;;;;;;;;;;
05/08/2015;345,49;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE AGOSTO;;;;;;;;;;;;;
17/09/2015;345,49;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE SEPTIEMBRE;;;;;;;;;;;;;
07/10/2015;345,49;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE OCTUBRE;;;;;;;;;;;;;
03/11/2015;345,49;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE NOVIEMBRE;;;;;;;;;;;;;
15/12/2015;345,49;ALCALD÷A;ORGANOS DE GOBIERNO;G28477727;PARTIDO SOCIALISTA OBRERO ESPA•OL (GRUPO MUNICIPAL); GRUPOS POLITICOS MUNICIPALES;ASIGNACION GRUPO PSOE MES DE DICIEMBRE;;;;;;;;;;;;;
10/06/2015;198,00;DESARROLLO SOSTENIBLE;PARQUES Y JARDINES;G78331642;ASOCIACION ESPA•OLA DE PARQUES Y JARDINES;CUOTA ASOCIACIONES SUPRAMUNICIPALES;CUOTA COMO SOCIO CORPORATIVO A•O 2015.;;;;;;;;;;;;;
10/06/2015;2.000,00;DESARROLLO SOSTENIBLE;PROTECCI‡N DEL MEDIO AMBIENTE;G83772046;ASOCIACIONAGENCIAS ESPA•OLA GESTION ENERGIA;CUOTA ASOCIACIONES SUPRAMUNICIPALES;CUOTA ASOCIADO 2015, AGENCIA ENERGETICA;;;;;;;;;;;;;
01/12/2015;13.000,00;ALCALD÷A;GOBIERNO Y RELACIONES;G09305129;ASOC. IBERICA MUNICIPIOS RIBERE•OS DUERO;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA DEL AYUNTAMIENTO VALLADOLID A LA AIMRD A•O 2015 (ASOC. IBêRICA MUNICIPIOS RIBERE•OS DUERO;;;;;;;;;;;;;
12/02/2015;17.436,90;ALCALD÷A;GOBIERNO Y RELACIONES;G28783991;FEDERACION  ESPA•OLA MUNICIPIOS Y PROVINCIAS;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA ORDINARIA COMO ASOCIADO DE LA FEMP A•O 2015;;;;;;;;;;;;;
12/02/2015;2.787,43;ALCALD÷A;GOBIERNO Y RELACIONES;G28783991;FEDERACION  ESPA•OLA MUNICIPIOS Y PROVINCIAS;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA EXTRAORDINARIA A•O 2015 SEGÈN  XI PLENO DE LA FEMP;;;;;;;;;;;;;
03/02/2015;12.278,20;ALCALD÷A;GOBIERNO Y RELACIONES;V34041046;FEDERACION REGIONAL DE MUNICIPIOS Y PROVINCIAS DE CASTILLA Y LEON;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA A•O 2015 PERTENENCIA A LA FEDERACI‡N REGIONAL DE MUNICIPIOS Y PROVINCIAS (FRMPCL);;;;;;;;;;;;;
27/11/2015;3.005,00;ALCALD÷A;GOBIERNO Y RELACIONES;P4700017I;MANCOMUNIDAD MUPAL TIERRAS DE VALLADOLID;CUOTA SOCIACIONES SUPRAMUNICIPALES;ABONO CUOTA A•O 2015 POR PERTENENCIA A LA MANCOMUNIDAD;;;;;;;;;;;;;
30/03/2015;3.000,00;DESARROLLO SOSTENIBLE;PROTECCION DE LA SALUBRIDAD PUBLICA;G28783991;FEDERACION  ESPA•OLA MUNICIPIOS Y PROVINCIAS;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA RED ESPA•OLA DE CIUDADES SALUDABLES 2015;;;;;;;;;;;;;
17/03/2015;800,00;PRESIDENCIA;PRESIDENCIA;G47715313;ASOCIACION PARA LA PROMOCION DE LA INICIATIVA SMART CITY VALLADOLID Y PALENCIA;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA A•O 2015 SMART CITY VALLADOLID-PALENCIA;;;;;;;;;;;;;
30/03/2015;3.110,00;PRESIDENCIA;AGENCIA DE INNOVACION Y DESARROLLO ECONOMICO;44520509900010;LUCI ASSOCIATION;CUOTA SOCIACIONES SUPRAMUNICIPALES;CUOTA COMO MIEMBRO LUCI ASSOCIATION A•O 2015;;;;;;;;;;;;;
01/06/2015;1.284,31;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47448360;A.C.L.A.F.E.B.A.;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ENT. PRIVADAS S/ANIMO DE LUCRO SECTORES 2015""""-IGUALDAD";;;;;;;;;;;;;
21/04/2015;7.270,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47022090;ACLAD, ASOCIACION DE AYUDA;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""CONVENIO COLAB. ACLAD- AYUDA DROGODEPENDIENTE""""";;;;;;;;;;;;;
01/06/2015;1.967,32;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47022090;ACLAD, ASOCIACION DE AYUDA;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ENT. PRIVADAS S/ANIMO DE LUCRO SECTORES 2015"""" VIOLENCIA";;;;;;;;;;;;;
23/10/2015;7.650,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47022090;ACLAD, ASOCIACION DE AYUDA;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ESPECIAL INTERêS 2015""""";;;;;;;;;;;;;
23/10/2015;6.000,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47022090;ACLAD, ASOCIACION DE AYUDA;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ESPECIAL INTERêS 2015""""";;;;;;;;;;;;;
23/10/2015;8.850,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G28659308;ALIANZA CRISTIANA DE JOVENES DE LA YMCA;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ESPECIAL INTERêS 2015""""";;;;;;;;;;;;;
22/09/2015;26.330,80;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G09310749;AMYCOS ORGANIZACION NO GUBERNAMENTAL PARA COOPERACION;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2015- SUBVENCIONES DE COOPERACI‡N AAL DESARROLLO"""" DCTO.8383 AS14.079";;;;;;;;;;;;;
09/04/2015;6.750,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47352703;APROME;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""CONVENIO COLABORACION APROME- ASOCIACION PROTECCION AL MENOR""""";;;;;;;;;;;;;
22/09/2015;9.554,56;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47342803;ARQUITECTOS SIN FRONTERAS CASTILLA-LEON;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2015- SUBVENCIONES DE COOPERACI‡N AAL DESARROLLO"""" DCTO.8383 AS14.084";;;;;;;;;;;;;
22/09/2015;5.578,05;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G80176845;ASAMBLEA DE COOPERACION POR LA PAZ;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2015- SUBVENCIONES ACCI‡N HUMANITARIA"""" DCTO.8381 AS14.084";;;;;;;;;;;;;
01/06/2015;1.042,90;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G37266418;ASECAL;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ENT. PRIVADAS S/ANIMO DE LUCRO SECTORES 2015"""" MENORES";;;;;;;;;;;;;
16/10/2015;501,71;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOC. CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2014-GASTOS ALIMENTACI‡N MENORES EDAD ESCOLAR- BECAS COMEDOR""";;;;;;;;;;;;;
22/09/2015;15.719,42;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G78885639;ASOC. PROMOCION Y DESARROLLO;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2015- SUBVENCIONES DE COOPERACI‡N AAL DESARROLLO"""" DCTO.8383 AS14.089";;;;;;;;;;;;;
01/06/2015;657,56;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G79426904;ASOCIACION ALBA;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ENT. PRIVADAS S/ANIMO DE LUCRO SECTORES 2015"""" SENSIBIL";;;;;;;;;;;;;
22/09/2015;3.925,89;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G79426904;ASOCIACION ALBA;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2015- SUBVENCIONES DE COOPERACI‡N AAL DESARROLLO"""" DCTO.8383 AS14.091";;;;;;;;;;;;;
23/10/2015;4.250,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G79426904;ASOCIACION ALBA;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ESPECIAL INTERêS 2015""""";;;;;;;;;;;;;
21/04/2015;3.440,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47023874;ASOCIACION ALCOHOLICOS REHABILITADOS DE VA.;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""CONVENIO COLAB. ARVA- PREVENCION ALCOHOLISMO""""";;;;;;;;;;;;;
01/06/2015;1.752,20;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47023874;ASOCIACION ALCOHOLICOS REHABILITADOS DE VA.;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ENT. PRIVADAS S/ANIMO DE LUCRO SECTORES 2015"""" DROGODEP";;;;;;;;;;;;;
23/10/2015;5.100,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47023874;ASOCIACION ALCOHOLICOS REHABILITADOS DE VA.;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ESPECIAL INTERêS 2015""""";;;;;;;;;;;;;
01/06/2015;968,40;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47681788;ASOCIACION ALLENDE MUNDI;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ENT. PRIVADAS S/ANIMO DE LUCRO SECTORES 2015"""" MENORES";;;;;;;;;;;;;
23/10/2015;4.250,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47681788;ASOCIACION ALLENDE MUNDI;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ESPECIAL INTERêS 2015""""";;;;;;;;;;;;;
02/12/2015;5.000,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47263074;ASOCIACION AMIGOS PUEBLO SAHARAUI ;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBV.AYUDA EMERG.AS.AMIGOS PUEBLO SAHARAUI X INUNDAC.CAMPAMENTO TIN";;;;;;;;;;;;;
22/09/2015;9.197,40;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47539960;ASOCIACION ASHUADE;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2015- SUBVENCIONES ACCI‡N HUMANITARIA"""" DCTO.8381 AS14.081";;;;;;;;;;;;;
01/06/2015;1.721,41;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47371661;ASOCIACION ASIST.VICTIMAS AGRESIONES SEXUALES;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ENT. PRIVADAS S/ANIMO DE LUCRO SECTORES 2015"""" VIOLENCIA";;;;;;;;;;;;;
01/06/2015;1.142,42;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47530043;ASOCIACION AUTONOMICA DE INMIGRANTES. ASAIN VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""SUBVENCIONES ENT. PRIVADAS S/ANIMO DE LUCRO SECTORES 2015"""" INMIGRAC";;;;;;;;;;;;;
01/01/2015;120,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOCIACION CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2014-PRESTACI‡N FINANCIACI‡N EN ESCUELAS Y GUARDER÷AS MENORES""";;;;;;;;;;;;;
01/01/2015;120,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOCIACION CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2014-PRESTACI‡N FINANCIACI‡N EN ESCUELAS Y GUARDER÷AS MENORES""";;;;;;;;;;;;;
01/01/2015;547,68;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOCIACION CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2014-GASTOS ALIMENTACI‡N MENORES EDAD ESCOLAR- BECAS COMEDOR""";;;;;;;;;;;;;
01/01/2015;547,68;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOCIACION CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2014-GASTOS ALIMENTACI‡N MENORES EDAD ESCOLAR- BECAS COMEDOR""";;;;;;;;;;;;;
03/03/2015;114,13;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOCIACION CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2015-PREST.FINANCIACI‡N MENORES EN GUARDER÷AS ";;;;;;;;;;;;;
03/03/2015;547,68;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOCIACION CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2015-GTOS.ALIM.MENORES EDAD ESCOLAR ";;;;;;;;;;;;;
03/03/2015;300,00;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOCIACION CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones:""2015-GTOS.ALIMENTACI‡N MENORES EDAD ESCOLAR-BECAS COMEDOR""";;;;;;;;;;;;;
17/03/2015;847,68;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOCIACION CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones:""2015-GTOS.ALIMENTACI‡N MENORES EDAD ESCOLAR-BECAS COMEDOR""";;;;;;;;;;;;;
17/03/2015;114,13;BIENESTAR SOCIAL Y FAMILIA;ACCION SOCIAL;G47006929;ASOCIACION CASA DE BENEFICENCIA DE VALLADOLID;FOMENTO DE ACCIONES EN MATERIA SOCIAL;"Subvenciones: ""2015-PRESTACION FINANCIAC‡N MENORES GUARDER÷AS-BECAS GUARDER÷A""";;;;;;;;;;;;;
