15-19;;3;0;3;;0;1;1;;0;0;0;;0;0;0;;3;1;4
20-24;;1;3;4;;1;0;1;;0;0;0;;0;0;0;;2;3;5
25-29;;6;2;8;;0;1;1;;0;0;0;;0;0;0;;6;3;9
30-34;;1;2;3;;1;1;2;;0;0;0;;0;0;0;;2;3;5
35-39;;4;3;7;;2;1;3;;0;0;0;;1;0;1;;7;4;11
40-44;;14;1;15;;9;3;12;;0;2;2;;3;1;4;;26;7;33
45-49;;7;6;13;;11;6;17;;0;0;0;;4;3;7;;22;15;37
50-54;;12;8;20;;18;14;32;;1;2;3;;6;5;11;;37;29;66
55-59;;10;7;17;;36;18;54;;6;2;8;;10;6;16;;62;33;95
60-64;;11;8;19;;65;19;84;;5;8;13;;13;1;14;;94;36;130
65-69;;13;10;23;;99;48;147;;10;13;23;;15;6;21;;137;77;214
70-74;;18;12;30;;141;51;192;;14;22;36;;9;3;12;;182;88;270
75-79;;19;14;33;;148;58;206;;23;42;65;;6;4;10;;196;118;314
80-84;;23;26;49;;183;74;257;;51;138;189;;7;4;11;;264;242;506
85-89;;22;39;61;;173;58;231;;93;254;347;;5;5;10;;293;356;649
90-94;;19;49;68;;85;30;115;;77;288;365;;2;7;9;;183;374;557
95-99;;3;23;26;;16;6;22;;20;136;156;;0;2;2;;39;167;206
100 o más;;0;9;9;;0;2;2;;6;43;49;;0;0;0;;6;54;60
Total;;193;226;419;;988;391;1.379;;306;950;1.256;;81;47;128;;1.568;1.614;3.182
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;;;;;;;;;;;;;;;;
