FECHA DE LA OBLIGACI‡N;IMPORTE;µREA PRESUPUESTARIA;PROGRAMA PRESUPUESTARIO;IDENTIFICACI‡N DEL BENEFICIARIO;BENEFICIARIO;L÷NEA;CONCEPTO
21/02/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE FEBRERO
09/07/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE JULIO
04/06/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE JUNIO
11/03/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE MARZO
12/05/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE MAYO
24/10/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE NOVIEMBRE
29/09/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE OCTUBRE
09/09/2014;696,62;ALCALDIA;‡RGANOS DE GOBIERNO;G47074455;GRUPO MUNICIPAL POPULAR;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO PP MES DE SEPTIEMBRE
14/04/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE ABRIL
21/08/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE AGOSTO
03/12/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE DICIEMBRE
12/02/2014;235,29;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE ENERO
21/02/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE FEBRERO
09/07/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE JULIO
04/06/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE JUNIO
11/03/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE MARZO
12/05/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE MAYO
24/10/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE NOVIEMBRE
29/09/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE OCTUBRE
09/09/2014;235,35;ALCALDIA;‡RGANOS DE GOBIERNO;V47658133;GRUPO MUNICIPAL DE IZQUIERDA UNIDA;GRUPOS POL÷TICOS MUNICIPALES;ASIGNACION GRUPO IU MES DE SEPTIEMBRE
02/06/2014;6.765,47;ATENCION Y PARTICIPACION CIUDADANA;EDUCACI‡N;G47027974;ASOCIACION DE PADRES DE AUTISTAS Y PSICOTICOS DE VALLADOLID Y SU PROVINCIA;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;CONV. ASOC  PADRES DE AUTISTAS Y PSICOTICOS
10/04/2014;6.010,12;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G01321124;FUNDACION KALEIDOS.RED;CUOTA SOCIACIONES SUPRAMUNICIPALES;APARTACION COMO PATRONO ADHERIDO A LA FUNDACION KALEIDOS RED A•O 2014
06/08/2014;20.000,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47019526;CIRCULO CAMPESTRE DEL PINAR DE ANTEQUERA;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;CONVENIO CIRCULO CAMPESTRE PINAR DE ANTEQUERA 2014
24/06/2014;5.422,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47020433;ASOCIACION VECINAL RONDILLA;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47020797;ASOC. NUESTRA SE•ORA DE SAN LORENZO;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;3.410,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47021126;ASOCIACION DE VECINOS 24 DE DICIEMBRE;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;4.374,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47021142;AA.VV. POETA JOSE ZORRILLA -LA CA•ADA-;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;3.770,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47021308;ASOC. FAMILIAR DELICIAS;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
25/06/2014;5.864,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47021548;AA.VV. BARRIO LA VICTORIA LOS COMUNEROS;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47021928;AA.VV.  REINA JUANA  ZONA SUR;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
05/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47021928;AA.VV.  REINA JUANA  ZONA SUR;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;4.814,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47021928;AA.VV.  REINA JUANA  ZONA SUR;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47023874;ASOC. ALCOHOLICOS REHABILITADOS DE VA.;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
05/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47023874;ASOC. ALCOHOLICOS REHABILITADOS DE VA.;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47024856;AA.VV. PISUERGA HUERTA DEL REY;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
18/08/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47024856;AA.VV. PISUERGA HUERTA DEL REY;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;4.430,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47024856;AA.VV. PISUERGA HUERTA DEL REY;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;4.844,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47025259;ASOC. VV.  PILARICA;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47032982;ASOC. ACCION MUJERES ESPA•OLAS;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47032982;ASOC. ACCION MUJERES ESPA•OLAS;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
18/08/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47032982;ASOC. ACCION MUJERES ESPA•OLAS;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
18/08/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47032982;ASOC. ACCION MUJERES ESPA•OLAS;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;4.294,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47034418;AA.VV. LA UNION  DE PAJARILLOS;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;5.914,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47035019;AA.VV. JUAN DE AUSTRIA;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;2.640,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47035076;FEDER.PROV.ASOC.VECINOS-CONSUMIDORES VA;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
29/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47038112;CASA DE ANDALUCIA EN VALLADOLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;3.880,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47038690;AA.VV. EL PARAMO SAN ISIDRO;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;660,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47039896;ASOCIACION DE VECINOS SAN NICOLAS;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47051859;CASA DE EXTREMADURA EN VALLADOLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47051859;CASA DE EXTREMADURA EN VALLADOLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47051859;CASA DE EXTREMADURA EN VALLADOLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
18/08/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47051859;CASA DE EXTREMADURA EN VALLADOLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
05/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47051859;CASA DE EXTREMADURA EN VALLADOLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
05/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47051859;CASA DE EXTREMADURA EN VALLADOLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;4.155,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47056643;AA.VV. EL REFUGIO;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47057278;CASA DE AVILA;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
05/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47057278;CASA DE AVILA;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
29/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47057278;CASA DE AVILA;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;2.834,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47057336;AA.VV. VALLE DE OLID;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;3.330,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47063136;AA.VV. LA PAZ;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;2.666,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47063748;AA.VV. PINAR DE ANTEQUERA;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;4.787,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47065602;AA.VV. UNION ESGUEVA  BARRIO ESPA•A;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;3.796,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47065784;AA.VV. SAN GIL;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;6.250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47067103;AA.VV.  CIUDAD PARQUESOL;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;1.804,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47069042;AA.VV. CA•O ARGALES DE SAN ANDRES;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;4.842,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47069497;AA.VV. LOS ALMENDROS;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;330,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47069935;AA.VV. LA ISLA DE LA OVERUELA;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;3.024,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47069984;AA.VV. NTRA.SRA.VIRGEN DEL DUERO;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
05/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47081104;CASA DE CANTABRIA;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;2.550,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47201793;AA.VV. VICENTE ESCUDERO;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47206982;CASA REGIONAL CASTILLA LA MANCHA;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
18/08/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47206982;CASA REGIONAL CASTILLA LA MANCHA;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
05/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47210042;CENTRO LEONES VIRGEN DEL CAMINO;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
05/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47210042;CENTRO LEONES VIRGEN DEL CAMINO;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;880,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47221759;AA.VV. LA HISPANIDAD;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;2.328,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47227343;AA.VV. BUENOS AIRES;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
24/06/2014;550,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47235197;AA.VV. RIBERA CURTIDORES;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
01/01/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47244090;CASTELLANOS DE OLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
18/08/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47244090;CASTELLANOS DE OLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
05/12/2014;250,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47244090;CASTELLANOS DE OLID;FOMENTO DE LA CULTURA;MUESTRAS DE TEATRO VECINAL Y CULTURA TRADICIONAL
24/06/2014;2.420,00;ATENCION Y PARTICIPACION CIUDADANA;PARTICIPACI‡N CIUDADANA;G47247127;AA.VV. FERIA DE MUESTRAS;FOMENTO DE LA PARTICIPACI‡N CIUDADANA;SUBVENCIONES PARA ASOCIACIONES VECINALES PARA ACTIVIDADES 2014
