35;;68;52;120;;38;31;69;;106;83;189
36;;56;72;128;;38;32;70;;94;104;198
37;;63;61;124;;22;25;47;;85;86;171
38;;40;66;106;;28;27;55;;68;93;161
39;;47;45;92;;20;17;37;;67;62;129
40;;16;29;45;;9;24;33;;25;53;78
41;;17;24;41;;14;16;30;;31;40;71
42;;9;13;22;;7;7;14;;16;20;36
43;;9;9;18;;7;1;8;;16;10;26
44;;7;6;13;;5;1;6;;12;7;19
45;;2;2;4;;1;2;3;;3;4;7
46;;1;1;2;;..;1;1;;1;2;3
47;;1;2;3;;..;..;..;;1;2;3
48;;..;1;1;;..;..;..;;..;1;1
49;;..;..;..;;..;..;..;;..;..;..
50 y más;;..;..;..;;..;..;..;;..;..;..
Total;;627;684;1.311;;484;443;927;;1.111;1.127;2.238
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Nacimientos de madres residentes en el Municipio de Valladolid según condición civil y orden del nacimiento. Año 2015.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Orden del nacimiento;;;;;;;;;;
;;Primero;Segundo;Tercero;Cuarto;Quinto o más;;Total;;;;
Casadas en primeras nupcias;;593;560;99;19;9;;1.280;;;;
Casadas más de una vez;;11;14;2;2;2;;31;;;;
No casadas;;560;278;67;18;4;;927;;;;
Total;;1.164;852;168;39;15;;2.238;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Nacimientos de madres residentes en el Municipio de Valladolid casadas en primeras nupcias según años de casada y orden del nacimiento. Año 2015.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Años de casada;;Orden del nacimiento;;;;;;;;;;
;;Primero;Segundo;Tercero;Cuarto;Quinto o más;;Total;;;;
Menos de 1;;122;23;3;..;..;;148;;;;
1;;167;25;2;1;..;;195;;;;
2;;115;44;6;..;..;;165;;;;
3;;65;88;1;..;..;;154;;;;
4;;38;77;12;1;..;;128;;;;
5;;35;103;9;1;..;;148;;;;
6;;13;52;14;1;..;;80;;;;
7;;12;48;12;2;..;;74;;;;
8;;8;36;10;4;2;;60;;;;
9;;8;27;8;1;..;;44;;;;
10;;3;16;9;1;1;;30;;;;
11;;2;6;4;3;1;;16;;;;
12;;2;5;6;1;..;;14;;;;
13;;2;5;2;2;2;;13;;;;
14;;..;2;1;..;1;;4;;;;
15;;..;3;..;..;..;;3;;;;
16;;..;..;..;..;..;;..;;;;
17;;..;..;..;..;1;;1;;;;
18;;1;..;..;1;1;;3;;;;
19;;..;..;..;..;..;;..;;;;
20;;..;..;..;..;..;;..;;;;
21;;..;..;..;..;..;;..;;;;
22;;..;..;..;..;..;;..;;;;
23;;..;..;..;..;..;;..;;;;
24;;..;..;..;..;..;;..;;;;
25 y más;;..;..;..;..;..;;..;;;;
Total;;593;560;99;19;9;;1.280;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Nacimientos de madres residentes en el Municipio de Valladolid según grupo de edad del padre y de la madre. Año 2015.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Grupo de edad del padre;;Grupo de edad de la madre;;;;;;;;;;
;;Menos de 20;20-24;25-29;30-34;35-39;40-44;45-49;50 y más;;Total;
Menos de 20;;12;6;..;..;..;..;..;..;;18;
20-24;;26;46;9;1;..;..;..;..;;82;
25-29;;8;42;65;31;6;4;..;..;;156;
30-34;;3;20;101;297;91;10;..;..;;522;
35-39;;2;6;37;276;490;52;4;..;;867;
40-44;;..;4;22;55;203;106;3;..;;393;
45-49;;..;1;2;14;36;36;5;..;;94;
50-54;;..;..;..;1;9;5;1;..;;16;
55-59;;..;..;1;5;1;2;..;..;;9;
60-64;;..;..;..;1;..;1;..;..;;2;
65 y más;;..;..;..;..;..;1;..;..;;1;
No consta;;20;10;16;6;12;13;1;..;;78;
Total;;71;135;253;687;848;230;14;..;;2.238;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística.;;;;;;;;;;;;
