NOMBRE;ENTRADILLA;DURACIÓN DEL CONTRATO;PRESUPUESTO DEL CONTRATO;IMPORTE TOTAL;PROCEDIMIENTO;NÚMERO DE LICITADORES;ADJUDICATARIO;DESISTIMIENTO Y RENUNCIA;PARTIDAS DE SUBCONTRATACIÓN;FECHA DE ADJUDICACIÓN; FECHA DE FORMALIZACIÓN
CONTRATO DE REDES DE ABASTECIMIENTO Y SANEAMIENTO PARA LA ADAPTACIÓN DE LA PARCELA "ANTIGUA HÍPICA MILITAR" COMO ESPACIO MULTIFUNCIONAL DE ACTIVIDADES AL AIRE LIBRE;; DOS MESES Y MEDIO;196.772,4 €;154.803,43 €;Abierto;;AGUAS DE VALLADOLID, S.A.;;;10/10/2014;12/11/2014
CONTRATO DE LINEA DE MEDIA TENSIÓN Y CENTRO DE TRANSFORMACIÓN PARA LA ADAPTACIÓN DE LA PARCELA "ANTIGUA HÍIPICA MILITAR" COMO ESPACIO MULTIFUNCIONAL DE ACTIVIDADES AL AIRE LIBRE;; TRES MESES;63.299,36 €;59.279,11 €;Abierto;;INMEVA INFRAESTRUCTURAS, SL;;;10/10/2014;17/11/2014
CONTRATO DE OBRAS DE URBANIZACIÓN DE LAS CALLES MÍSTICOS, POESÍAS, MEDITACIONES Y FONTÍVEROS.;; Tres meses dese el acta de comprobación del replanteo.;443.506,25 €;401.745,53 €;Abierto;;SCAYR Construccion, SA;;;22/07/2014;7/08/2015
MODIFICACIÓN DE ACERA AVENIDA VICENTE MORTES ENTRE C/ RAMÓN PRADERA Y C/ MIESES;; TRES MESES  ;80.052,32 €;85.394,7 €;Abierto;;TOYRSA;;;5/12/2014;12/12/2014
Obra de adaptación de parcela "Antigua Hípica Militar" para espacio multifuncional de actividades al aire libre;Rehabilitación de edificaciones; Plazo Ejecución: 90 días;624.051,23 €;617.810,72 €;Abierto;3;INMEVA INFRAESTRUCTURAS S.L.;;;3/12/2014;19/12/2014
ELIMINACIÓN DEL VERTIDO FECAL AL PISUERGA EN LA C/ ARZOBISPO JOSÉ DELICADO;; TRES MESES;127.931,21 €;113.273,06 €;Abierto;;AGUAS DE VALLADOLID, S.A.;;;28/11/2014;11/12/2014
MODIFICACIONES Y OBRAS ANEXAS EN PARADAS DE AUTOBUSES DE VARIAS LINEAS;; 4 MESES;;163.341,26 €;Abierto;;TOYRSA;;;28/11/2014;12/12/2014
MODIFICACIÓN DE LAS ROTONDAS DE C/ MIESES, BÁLAGO Y Pº JUAN II DE CASTILLA;; TRES MESES;137.517,19 €;125.608,2 €;Abierto;;ARCEBANSA, S.A.;;;12/12/2014;22/12/2014
CONTRATO DE LA OBRA DE REFORMA DE ESPACIOS DE TALLERES Y SALAS DE ENSAYO EN EL LABORATORIO DE LAS ARTES DE VALLADOLID;; 6 MESES;357.000 €;383.393,23 €;Abierto;;SPES INGENIERIA Y CONSTRUCCION, S.L.;;;9/12/2014;17/12/2014
CONTRATO URBANIZACIÓN CAMINO CALLEJUELAS;; Siete meses.;331.471,19 €;258.978,44 €;Abierto;8;ARCEBANSA;;;15/06/2016;11/07/2016
CONTRATO OBRAS URBANIZACIÓN NICOLÁS SALMERÓN;; Seis meses.;673.297,97 €;475.989,96 €;Abierto;8;TOYR, SA;;;5/12/2014;12/12/2014
CONTRATO DE OBRAS DE EJECUCIÓN DE CUBIERTA DEL FRONTÓN DEL BARRIO DE LAS FLORES;; Cuatro meses.;192.951,5 €;154.484,74 €;Abierto;10;INMEVA Infraestructuras, SL;;;5/12/2014;19/12/2014
CONTRACIÓN OBRAS REPARACIÓN DE PAVIMENTACIÓN EN PARQUE MORERAS, ENTRE PUENTE MAYOR Y PUENTE PONIENTE;; Dos meses;97.434,21 €;83.581,82 €;Abierto;9;TOYR, SA;;;22/06/2016;26/07/2016
CONTRATACIÓN DE LAS OBRAS DE CONSTRUCCIÓN DE UNA PASARELA PEATONAL Y CICLISTA DE UNIÓN DEL PARQUE FORESTAL DE LAS CONTIENDAS CON VILLA DEL PRADO;CONTRATACIÓN DE LAS OBRAS DE CONSTRUCCIÓN DE UNA PASARELA PEATONAL Y CICLISTA DE UNIÓN DEL PARQUE FORESTAL DE LAS CONTIENDAS CON VILLA DEL PRADO; El plazo de ejecución del contrato es de DOSMESES;290.909,09 €;316.800 €;Abierto;3;CONSTRUCCIONES Y OBRAS LLORENTE S.A;;;5/12/2014;18/12/2014
CONTRATACIÓN DE LA CREACIÓN DE UN CARRIL BICI ENTRE LA AVENIDA DE MEDINA DEL CAMPO Y LA PLAZA DOCTOR QUEMADA SOBRE EL PUENTE ARTURO EYRIES;CONTRATACIÓN DE LA CREACIÓN DE UN CARRIL BICI ENTRE LA AVENIDA DE MEDINA DEL CAMPO Y LA PLAZA DOCTOR QUEMADA SOBRE EL PUENTE ARTURO EYRIES; El plazo de ejecución del contrato es de UN MES;142.800 €;160.001,69 €;Abierto;3;ARCEBANSA S.A;;;5/12/2014;17/12/2014
CONTRATO DE OBRAS DE MODIFICACIÓN DE MEDIANAS EN PARQUESOL, MEDIANTE PROCEDIMIENTO ABIERTO Y CON TRAMITACIÓN ORDINARIA;; 4 meses;181.442,78 €;149.268,02 €;Abierto;9;TOYR, SA;;;22/06/2016;26/07/2016
OBRAS DE REPARACIONES Y MEJORAS DE LA URBANIZACIÓN EN EL REAL DE LA FERIA;OBRAS DE REPARACIONES Y MEJORAS DE LA URBANIZACIÓN EN EL REAL DE LA FERIA; TRES MESES;;117.756,49 €;Abierto;;ARCEBANSA, S.A.;;;9/06/2016;11/07/2016
CONTRATACIÓN DE LAS OBRAS DE ADAPTACIÓN DE LA TOMA DE EMERGENCIA EN EL RÍO PISUERGA;CONTRATACIÓN DE LAS OBRAS DE ADAPTACION DE LA TOMA EMERGENCIA EN EL RÍO PISUERGA; 10 MESES;463.947,81 €;;Abierto;;ESPINA OBRAS HIDRAULICAS, SA;;;28/04/2015;2/06/2015
CONTRATACIÓN DE LAS OBRAS DE EDIFICACIÓN DEL NUEVO CENTRO CÍVICO EN EL BARRIO DE LA VICTORIA;; 18 meses desde el acta de comprobación del replanteo;3.251.763,12 €;2.390.045,89 €;Abierto;15;DRAGADOS S.A.;;;5/06/2015;29/06/2015
CONTRATO DE OBRA DE LA 2ª FASE DE ADAPTACIÓN DE LA PARCELA ANTIGUA HÍPICA MILITAR COMO ESPACIO MULTIFUNCIONAL DE ACTIVIDADES AL AIRE LIBRE.- REHABILITACIÓN DE EDIFICACIONES;CONTRATO DE OBRA DE LA 2ª FASE DE ADAPTACIÓN DE LA PARCELA ANTIGUA HÍPICA MILITAR COMO ESPACIO MULTIFUNCIONAL DE ACTIVIDADES AL AIRE LIBRE.- REHABILITACIÓN DE EDIFICACIONES; PLAZO DE EJECUCIÓN DE LA OBRA: 60 DÍAS;194.189,45 €;233.515,33 €;Negociado sin publicidad;;INMEVA INFRAESTRUCTURAS S.L.;;;19/10/2015;29/10/2015
CONTRATO DE OBRAS DE REPARACIÓN EN LA PLAZA ANDARRÍOS Y MODIFICACIÓN DEL SANEAMIENTO EN LA CALLE FAISÁN, ENTRE EL PASEO JUAN CARLOS I Y LA CALLE CIGÚEÑA;; La duración del contrato es de 4 meses.;187.335,54 €;149.555,38 €;Abierto;11;ARCEBANSA;;;21/10/2015;13/11/2015
CONTRATO DE OBRAS DE APARCAMIENTOS EN LA MEDIANA DE LA CALLE COLOMBIA;; 2 meses;84.997,05 €;70.840,7 €;Abierto;6;HARAL 12 Servicios y Obras;;;21/10/2015;13/11/2015
OBRA DE CONSTRUCCIÓN DE GRADERÍO EN CAMPO DE RUGBY PEPE ROJO;; El plazo de ejecución se establece en 60 días naturales;165.417,19 €;155.420,2 €;Abierto;;NORFOREST S.L.;;;24/11/2015;7/12/2015
SUMINISTRO E INSTALACIÓN DE CÉSPED ARTIFICIAL EN CAMPOS DE FÚTBOL 7 DE LOS CERROS Y PARQUE DE CANTERAC;; 30 días naturales contados a partir de la fecha de su firma. ;94.363,5 €;100.430 €;Abierto;;GALITEC DESARROLLOS TECNOLOGICOS S.L.;;;18/12/2015;28/12/2015
OBRA DE REMODELACIÓN DE LA PISCINA DE VERANO DEL COMPLEJO DEPORTIVO JUAN DE AUSTRIA;; El plazo de ejecución se establece en 60 días naturales;;127.050 €;Abierto;;GALITEC;;;6/05/2016;9/06/2016
OBRA DE REMODELACIÓN DE CAMPO DE FÚTBOL 11 FINCA DE CANTERAC Y CAMPO DE FÚTBOL 7 DON BOSCO;; El plazo de ejecución se establece en 45 días naturales;149.279,2 €;162.937,29 €;Abierto;;CADE OBRAS Y SERVICIOS INTERNACIONALES S.L.;;;31/05/2016;17/06/2016
CONTRATACIÓN DE LAS OBRAS DE REFORMA DEL PARQUE DE BOMBEROS MUNICIPAL DE "CANTERAC";; 3 meses;241.716,4 €;166.470,08 €;Abierto;10;D-TODO INGENIERÍA Y DESARROLLO S.L.;;;22/07/2016;26/08/2016
CONTRATO DE OBRAS DE PAVIMENTACIÓN DE PATIOS Y PISTAS DEPORTIVAS Y REALIZACIÓN DE RAMPAS EN DIVERSOS COLEGIOS PÚBLICOS DE VALLADOLID.;CONTRATO DE OBRAS DE PAVIMENTACIÓN DE PATIOS Y PISTAS DEPORTIVAS Y REALIZACIÓN DE RAMPAS EN DIVERSOS COLEGIOS PÚBLICOS DE VALLADOLID.; La realización de los trabajos deberá llevarse a cabo en el plazo máximo de 45 días laborables a contar desde el inicio de los mismos, y se deberán coordinar perfectamente con el periodo vacacional, si fuera posible, destinando todos los medios materiales y humanos necesarios para su ejecución dentro de dicho plazo, sin que pueda producirse ninguna demora, debido a la imperiosa necesidad de utilización de los espacios durante los periodos lectivos. En cualquier caso, la fecha de comienzo de las obras vendrá determinada por el Servicio de Educación, y la firma del acta de comprobación de replanteo, si se diera la circunstancia de que no se pudieran realizar durante los periodos vacacionales, el contratista deberá adoptar las medidas necesarias para no obstaculizar la normal actividad escolar. En todo caso las obras habrán de estar finalizadas, entregadas y certificadas antes del 20 de diciembre de 2016.;379.046 €;256.608,64 €;Abierto;26;Lote 1: ARCOR S.L.U., Lote 2: FUENCO S.A.U., Lote 3: ARPAPE S.L.;;;21/09/2016;14/10/2016
CONTRATACION DE LAS OBRAS PARA ADAPTACIÓN PARCIAL DEL COLEGIO PÚBLICO MIGUEL ISCAR PARA ESCUELA INFANTIL;; Se establece un plazo de ejecución para las obras proyectadas de 3 meses a contar desde el acta de comprobación de replanteo. Está previsto que la ejecución de la obra se realice en 2016.;243.910 €;206.104,6 €;Abierto;7;HARAL 12 SERVICIOS Y OBRAS S.L.;;;21/09/2016;14/10/2016
CONTRATO DE LA OBRA DE REMODELACIÓN DE LA CUBIERTA DE LA PISCINA CLIMATIZADA "LA VICTORIA", DE VALLADOLID;; Plazo de ejecución: 30 días naturales;;181.117,52 €;Abierto;;HARAL 12 SERVICIOS Y OBRAS, S.L.;;;5/10/2016;11/11/2016
CONTRATO DE OBRA DE AMPLIACIÓN DEL CENTRO CANINO MUNICIPAL;CONTRATO DE OBRA DE AMPLIACIÓN DEL CENTRO CANINO MUNICIPAL; 3 meses;198.769,25 €;150.132,17 €;Abierto;;TOYR S.A.;;;27/10/2016;11/11/2016
CONTRATACIÓN DE LAS OBRAS DE SUSTITUCIÓN DE CARPINTERÍAS Y PERSIANAS EN DIVERSOS COLEGIOS PÚBLICOS DE VALLADOLID;; 30 días laborables a contar desde el inicio de los trabajos. En todo caso las obras habrán de estar finalizadas, entregadas y certificadas antes del 20 de diciembre de 2016.;654.178,77 €;553.762,68 €;Abierto;;Lote 1: URGACEN VIENA 25 S.L., Lote 2: PETROLAM INFRAESTRUCTURAS S.L., Lote 3: FUENCO S.A.U.;;;10/11/2016;15/11/2016
CONTRATO DE OBRA DE SUBSANACIÓN DE DEFICIENCIAS EN ZONAS DE ENTERRAMIENTO DEL CEMENTERIO DEL CARMEN;CONTRATO DE OBRA DE SUBSANACIÓN DE DEFICIENCIAS EN ZONAS DE ENTERRAMIENTO DEL CEMENTERIO DEL CARMEN; 3,5 meses;356.969,58 €;269.797,6 €;Abierto;;HARAL 12 SERVICIOS Y OBRAS, S.L.;;;2/11/2016;24/11/2016
CONTRATO DE OBRAS PARA REPARACIONES DIVERSAS EN LOS CENTROS DE PARTICIPACIÓN CIUDADANA;; 60 días laborables a contar desde el inicio de los trabajos, que habrán de estar concluidos en todo caso antes del 31 de diciembre de 2016;318.518,94 €;;Abierto;;LOTE 1:HARAL 12 SERVICIOS Y OBRAS LOTE 2:FUENCO S.A.U;;;26/10/2016;18/11/2016
CONTRATACIÓN DE OBRA DE ADAPTACIÓN DE LAS ANTIGUAS INSTALACIONES DE LA POLICIA MUNICIPAL EN EL BARRIO DELICIAS A OFICINAS;CONTRATACIÓN OBRA DE ADAPTACIÓN DE LAS ANTIGUAS INSTALACIONES DE LA POLICIA MUNICIPAL EN EL BARRIO DELICIAS A OFICINAS; El plazo de ejecución del contrato será de tres meses contados a partir de la fecha de la firma del acta de comprobación de replanteo.;169.594 €;133.776 €;Abierto;9;D-TODO INGENIERÍA Y DESARROLLO S.L.;;;3/11/2016;21/11/2016
CONTRATO DE OBRAS DE REPARACIÓN DE APLACADOS DE LA FACHADA DEL CENTRO CÍVICO "ZONA SUR" EN LA PLAZA DE JUAN DE AUSTRIA;; 3 meses;;235.656,72 €;Abierto;;NUCLEO, S.A.;;;30/11/2016;7/12/2016
CONTRATACIÓN DE LA OBRA DE RENOVACIÓN DEL CÉSPED SINTÉTICO DE LOS CAMPOS DE FÚTBOL MUNICIPALES "RIBERA DE CASTILLA", "EL PALERO" Y "LA VICTORIA";; Plazo de ejecución: 30 días naturales;;;Abierto;;CADE OBRAS Y SERVICIOS INTERNACIONALES, S.L Y CALIDAD DEPORTIVA;;;14/12/2016;23/12/2016
CONTRATACION DE LA OBRA DE ADECUACION DE ESPACIOS EN LABORATORIO DE LAS ARTES DE VALLADOLID (LAVA);; 3 MESES;122.562,86 €;133.456,12 €;Abierto;;HARAL 12 SERVICIOS Y OBRAS S.L.;;;29/11/2016;9/12/2016
CONTRATO DE OBRAS DE RENOVACIÓN DE COLECTORES COLAPSADOS A CIELO ABIERTO EN LA PLAZA ROSA CHACEL Y CALLE ENCARTACIONES;; Dos meses.;;57.928,32 €;Abierto;;Maraino Rubio SL;; No hay ninguna partida que no pueda ser objeto de subcontratación. ;16/12/2016;29/12/2016
CONTRATO DE OBRAS DE CERRAMIENTOS Y ALUMBRADO EN ESPACIO MULTIFUNCIONAL DE LA ANTIGUA HIPICA MILITAR;; Dos meses;;179.657,35 €;Abierto;;HARAL 12 Servicios y Obras SL;; No hay ninguna partida que no pueda ser objeto de su contratación. ;19/12/2016;29/12/2016
CONTRATACIÓN DE LA OBRA DE INSTALACIÓN DE BOMBAS EN EL POZO DE BOMBEO Y OBRAS COMPLEMENTARIAS EN LA EDAR.;;  Tres meses. ;239.688,66 €;191.180 €;Abierto;1;AGUAS DE VALLADOLID S.A.;;;23/12/2016;30/12/2016
CONTRATO DE OBRAS DE ADECUACIÓN DEL BOMBEO DE FUENTE LA MORA;; Tres meses.;68.390,03 €;72.534,03 €;Abierto;4;Fricaltec, SL;; No podrán subcontratarse los capítulos 3 y 4 del proyecto técnico.;21/12/2016;29/12/2016
CONTRATO DE OBRAS DE AMPLIACIÓN DE ACERAS Y CARRIL BICI EN EL PUENTE DE FRANCISCO REGUERAL (puente Poniente);; Seis meses.;;233.027,56 €;Abierto;16;TOYRSA;; No podrán subcontratarse los capítulos 3 (instalaciones mecanicas) y4 (instalaciones electricas), que suponen alrededor de un 46 %.;21/12/2016;29/12/2016
CONTRATACIÓN DE OBRAS DE REPARACIÓN Y ELIMINACIÓN DE FUGAS EN EL DEPÓSITO DE LAS CONTIENDAS.;;  Dos meses.;77.856,7 €;64.002,95 €;Abierto;2;GESTIÓN, ESTUDIOS, OBRAS Y PROYECTOS, S.A. (GEOPSA);;;11/01/2017;13/01/2017
CONTRATO DE OBRAS DE URBANIZACIÓN DE LAS CALLES BOEDO Y DE LOS VINOS DE LA RIBERA DEL DUERO, EN SUS ENCUENTROS CON LA CAÑADA REAL.;; Dos meses;;72.749,05 €;Abierto;13;TOYRSA;; No hay ninguna partida que no pueda ser objeto de subcontratacion.;19/12/2016;29/12/2016
CONTRATO DE OBRAS DE REGENERACIÓN URBANA DE LA FASE I DEL ARU "29 DE OCTUBRE", DE VALLADOLID;; Seis meses desde la comprobación del replanteo.;;;Abierto;2;;; No hay ninguna partida que no pueda ser objeto de subcontratación.;2/08/2017;9/08/2017
CONTRATO DE OBRAS DE REHABILTACIÓN DE EDIFICIO PARA ESPACIO JOVEN EN LA C/OLMO 61-63;; Se establece un plazo de ejecución para las obras proyectadas de un año a contar desde el acta de comprobación de replanteo;1.150.645,51 €;1.098.231,2 €;Abierto;;UTE HARAL 12 SERVICIOS Y OBRAS S.L. y CONSTRUCCIONES PRIETO SIERRA S.A.;;;2/08/2017;9/08/2017
