2000;;7.039;3.549;3.490;;3.319;1.726;1.593;;3.720;1.823;1.897
2001;;7.043;3.603;3.440;;3.642;1.905;1.737;;3.401;1.698;1.703
2002;;8.562;4.340;4.222;;3.769;1.932;1.837;;4.793;2.408;2.385
2003;;8.812;4.422;4.390;;3.849;1.966;1.883;;4.963;2.456;2.507
2004;;9.379;4.789;4.590;;4.540;2.329;2.211;;4.839;2.460;2.379
2005;;10.242;5.267;4.975;;5.435;2.818;2.617;;4.807;2.449;2.358
2006;;11.101;5.626;5.475;;6.046;3.155;2.891;;5.055;2.471;2.584
2007;;10.205;5.112;5.093;;4.841;2.493;2.348;;5.364;2.619;2.745
2008;;8.945;4.516;4.429;;4.358;2.217;2.141;;4.587;2.299;2.288
2009;;8.836;4.513;4.323;;4.413;2.260;2.153;;4.423;2.253;2.170
2010;;9.271;4.712;4.559;;4.818;2.477;2.341;;4.453;2.235;2.218
2011;;8.441;4.281;4.160;;3.897;1.969;1.928;;4.544;2.312;2.232
2012;;7.749;3.914;3.835;;3.508;1.792;1.716;;4.241;2.122;2.119
2013;;7.517;3.745;3.772;;3.360;1.666;1.694;;4.157;2.079;2.078
2014;;7.656;3.887;3.769;;3.339;1.668;1.671;;4.317;2.219;2.098
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Saldo migratorio de la ciudad de Valladolid con el resto de España según sexo, destino y año.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;Total;;;;Con la misma provincia;;;;Con otras provincias;;
Año;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres;;Ambos sexos;Varones;Mujeres
1998;;-2.980;-1.589;-1.391;;-2.052;-1.080;-972;;-928;-509;-419
1999;;-3.474;-1.809;-1.665;;-2.568;-1.358;-1.210;;-906;-451;-455
2000;;-2.342;-1.288;-1.054;;-1.891;-1.035;-856;;-451;-253;-198
2001;;-2.410;-1.366;-1.044;;-2.108;-1.169;-939;;-302;-197;-105
2002;;-2.188;-1.253;-935;;-1.523;-843;-680;;-665;-410;-255
2003;;-2.956;-1.643;-1.313;;-1.783;-994;-789;;-1.173;-649;-524
2004;;-2.837;-1.616;-1.221;;-2.223;-1.232;-991;;-614;-384;-230
2005;;-3.231;-1.850;-1.381;;-2.807;-1.552;-1.255;;-424;-298;-126
2006;;-3.460;-1.857;-1.603;;-3.194;-1.765;-1.429;;-266;-92;-174
2007;;-2.370;-1.282;-1.088;;-1.973;-1.145;-828;;-397;-137;-260
2008;;-1.939;-1.147;-792;;-1.718;-1.019;-699;;-221;-128;-93
2009;;-1.884;-1.180;-704;0;-1.789;-1.030;-759;0;-95;-150;55
2010;;-2.362;-1.385;-977;0;-2.031;-1.158;-873;0;-331;-227;-104
2011;;-804;-558;-246;;-689;-434;-255;;-115;-124;9
2012;;-1.354;-781;-573;0;-822;-483;-339;0;-532;-298;-234
2013;;-1.322;-787;-535;0;-626;-389;-237;0;-696;-398;-298
2014;;-855;-579;-276;0;-418;-236;-182;0;-437;-343;-94
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística (INE). Estadística de Variaciones Residenciales (EVR).;;;;;;;;;;;;
