EXERCICI,CODI ORGÀNIC,CODI DE PROGRAMA,CODI ECONÒMIC,NOM PARTIDA,PRESSUPOST INICIAL,PRESSUPOST ACTUAL,AUTORITZACIÓ (A),DISPOSICIÓ (D),OBLIGACIÓ (O),PAGAMENT (P),REALITZACIÓ DE PAGAMENT (RP),SALDO,% SALDO SOBRE PRESS. ACTUAL,MODIFICACIÓ,REMANENTS INCORPORATS,ALTRES MODIFICACIONS,REMANENT,A PENDENT,D PENDENT,O PENDENT,P PENDENT,RETENCIONS DE CRÈDIT,% D SOBRE CRÈDIT,% RP SOBRE OBLIGACIONS
2017,J1000,91220,22201,TRAMESES POSTALS ALCALDIA,€3000.00,€3000.00,€2980.00,€2980.00,€898.92,€637.10,€637.10,€20.00,0.67%,€0.00,€0.00,,€2101.08,€0.00,€2081.08,€261.82,€0.00,,99.33%,70.87%
2017,J1000,91220,22601,PROTOCOL I REPRESENTATIVES ALCALDIA,€4000.00,€4000.00,€1092.74,€1092.74,€1092.74,€1092.74,€1092.74,€2907.26,72.68%,€0.00,€0.00,,€2907.26,€0.00,€0.00,€0.00,€0.00,,27.32%,100.00%
2017,J1000,91220,22603,PUBLICACIO DIARIS OFICIALS ALCALDIA,€0.00,€0.00,€210.00,€210.00,€210.00,€210.00,€210.00,€-210.00,0.00%,€0.00,€0.00,,€-210.00,€0.00,€0.00,€0.00,€0.00,,0.00%,100.00%
2017,J1000,91220,22699,ALTRES DESPESES ALCALDIA,€8000.00,€8000.00,€10834.97,€10834.97,€8785.85,€8785.85,€8756.38,€-2834.97,-35.44%,€0.00,€0.00,,€-785.85,€0.00,€2049.12,€0.00,€29.47,,135.44%,99.66%
2017,J1000,91220,23020,DIETES PERSONAL ALCALDIA,€500.00,€500.00,€1166.42,€1166.42,€1166.42,€1166.42,€700.04,€-666.42,-133.28%,€0.00,€0.00,,€-666.42,€0.00,€0.00,€0.00,€466.38,,233.28%,60.02%
2017,J1000,91220,23120,LOCOMOCIO ALCALDIA,€750.00,€750.00,€1039.65,€1039.65,€838.65,€838.65,€637.65,€-289.65,-38.62%,€0.00,€0.00,,€-88.65,€0.00,€201.00,€0.00,€201.00,,138.62%,76.03%
2017,J1000,91220,46500,CONVENI CCVOR COOPERACIO SUPRAMUNICIPAL,€14000.00,€14000.00,€0.00,€0.00,€0.00,€0.00,€0.00,€14000.00,100.00%,€0.00,€0.00,,€14000.00,€0.00,€0.00,€0.00,€0.00,,0.00%,0.00%
2017,J1000,91220,46700,APORTACIÓ LOCALRET ALCALDIA,€7250.00,€7250.00,€7031.82,€7031.82,€7031.82,€7031.82,€7031.82,€218.18,3.01%,€0.00,€0.00,,€218.18,€0.00,€0.00,€0.00,€0.00,,96.99%,100.00%
2017,J1000,91220,48401,SUBVENCIO CLUB BALONMANO GRANOLLERS,€100000.00,€100000.00,€100000.00,€100000.00,€100000.00,€100000.00,€100000.00,€0.00,0.00%,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,,100.00%,100.00%
2017,J1000,91220,48402,SUBVENCIO ESPORT CLUB GRANOLLERS,€9000.00,€9000.00,€9000.00,€9000.00,€9000.00,€9000.00,€9000.00,€0.00,0.00%,€0.00,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,,100.00%,100.00%
2017,J1000,91220,48922,APORTACIÓ ENTITATS MUNICIPALISTES,€21500.00,€21500.00,€19886.81,€19886.81,€19886.81,€19886.81,€19886.81,€1613.19,7.50%,€0.00,€0.00,,€1613.19,€0.00,€0.00,€0.00,€0.00,,92.50%,100.00%
2017,J1000,92070,11000,BASIQUES EVENTUAL GRAL. PPEE I COMUNICACIO,€14824.32,€14972.56,€14972.56,€14972.56,€12011.72,€12011.72,€10880.36,€0.00,0.00%,€148.24,€0.00,,€2960.84,€0.00,€2960.84,€0.00,€1131.36,,100.00%,90.58%
2017,J1000,92070,11001,COMPLEM. EVENTUAL GRAL. PPEE I COMUNICACIO,€38852.94,€39241.47,€39241.47,€39241.47,€30832.56,€30832.56,€28029.60,€0.00,0.00%,€388.53,€0.00,,€8408.91,€0.00,€8408.91,€0.00,€2802.96,,100.00%,90.91%
2017,J1000,92070,12001,SOUS DEL GRUP A2  GRAL. PPEE I COMUNICACIO,€13037.08,€13167.45,€13167.45,€13167.45,€10496.05,€10496.05,€9517.79,€0.00,0.00%,€130.37,€0.00,,€2671.40,€0.00,€2671.40,€0.00,€978.26,,100.00%,90.68%
2017,J1000,92070,12003,SOUS DEL GRUP C1  GRAL. PPEE I COMUNICACIO,€9983.68,€10083.52,€10083.52,€10083.52,€7979.92,€7979.92,€7245.41,€0.00,0.00%,€99.84,€0.00,,€2103.60,€0.00,€2103.60,€0.00,€734.51,,100.00%,90.80%
2017,J1000,92070,12006,TRIENNIS GRAL. PPEE I COMUNICACIO,€6449.27,€6513.76,€6513.76,€6513.76,€5055.27,€5055.27,€4587.87,€0.00,0.00%,€64.49,€0.00,,€1458.49,€0.00,€1458.49,€0.00,€467.40,,100.00%,90.75%
2017,J1000,92070,12100,COMPLEMENT DESTINACIÓ GRAL. PPEE I COMUNICACIO,€10847.90,€10956.38,€10956.38,€10956.38,€8608.82,€8608.82,€7826.20,€0.00,0.00%,€108.48,€0.00,,€2347.56,€0.00,€2347.56,€0.00,€782.62,,100.00%,90.91%
2017,J1000,92070,12101,COMPLEMENT ESPECÍFIC GRAL. PPEE I COMUNICACIO,€20892.90,€21101.83,€21101.83,€21101.83,€16534.19,€16534.19,€15030.35,€0.00,0.00%,€208.93,€0.00,,€4567.64,€0.00,€4567.64,€0.00,€1503.84,,100.00%,90.90%
2017,J1000,92070,15100,SERVEIS EXTRAORD. GRAL. PPEE I COMUNICACIO,€0.00,€90.72,€90.72,€90.72,€89.82,€89.82,€89.82,€0.00,0.00%,€90.72,€0.00,,€0.90,€0.00,€0.90,€0.00,€0.00,,100.00%,100.00%
2017,J1000,92070,16000,SEGURETAT SOCIAL GRAL. PPEE I COMUNICACIO,€35047.77,€35398.25,€35398.25,€35398.25,€20391.69,€20391.69,€20391.69,€0.00,0.00%,€350.48,€0.00,,€15006.56,€0.00,€15006.56,€0.00,€0.00,,100.00%,100.00%
2017,J1000,92070,21200,MANTENIMENT EDIFICI GRAL. PPEE I COMUNICACIO,€1300.00,€1300.00,€1254.16,€1254.16,€836.08,€731.57,€731.57,€45.84,3.53%,€0.00,€0.00,,€463.92,€0.00,€418.08,€104.51,€0.00,,96.47%,87.50%
2017,J1000,92070,21300,MANTEN.MAQUINARIA GRAL. PPEE I COMUNICACIO,€1000.00,€1000.00,€995.05,€995.05,€717.86,€536.96,€536.96,€4.95,0.50%,€0.00,€0.00,,€282.14,€0.00,€277.19,€180.90,€0.00,,99.51%,74.80%
2017,J1000,92070,21303,MANTEN.CLIMATITZACIO GRAL. PPEE I COMUNICACIO,€1750.00,€1750.00,€1639.40,€1639.40,€1088.96,€1088.96,€1088.96,€110.60,6.32%,€0.00,€0.00,,€661.04,€0.00,€550.44,€0.00,€0.00,,93.68%,100.00%
2017,J1000,92070,22100,ELECTRICITAT GRAL. PPEE I COMUNICACIO,€16000.00,€19329.02,€19710.25,€19710.25,€12014.73,€12014.73,€11301.59,€-381.23,-1.97%,€3329.02,€3329.02,,€7314.29,€0.00,€7695.52,€0.00,€713.14,,101.97%,94.06%
2017,J1000,92070,22101,AIGUA GRAL. PPEE I COMUNICACIO,€1500.00,€1500.00,€1500.00,€1500.00,€998.92,€998.92,€998.92,€0.00,0.00%,€0.00,€0.00,,€501.08,€0.00,€501.08,€0.00,€0.00,,100.00%,100.00%
2017,J1000,92070,22102,GAS GRAL. PPEE I COMUNICACIO,€1000.00,€1080.00,€979.13,€979.13,€815.13,€815.13,€815.13,€100.87,9.34%,€80.00,€80.00,,€264.87,€0.00,€164.00,€0.00,€0.00,,90.66%,100.00%
2017,J1000,92070,22200,TELEFON GRAL. PPEE I COMUNICACIO,€2000.00,€2971.70,€2268.53,€2268.53,€522.14,€522.14,€220.04,€494.63,16.64%,€971.70,€971.70,,€2449.56,€0.00,€1746.39,€0.00,€302.10,,76.34%,42.14%
2017,J1000,92070,22201,TRAMESES POSTALS GRAL. PPEE I COMUNICACIO,€850.00,€850.00,€850.00,€850.00,€436.34,€436.34,€436.34,€0.00,0.00%,€0.00,€0.00,,€413.66,€0.00,€413.66,€0.00,€0.00,,100.00%,100.00%
2017,J1000,92070,22601,PROTOCOL GRAL. PPEE I COMUNICACIO,€500.00,€500.00,€66.95,€66.95,€66.95,€66.95,€66.95,€433.05,86.61%,€0.00,€0.00,,€433.05,€0.00,€0.00,€0.00,€0.00,,13.39%,100.00%
2017,J1000,92070,22699,ALTRE DESPESES GRAL. PPEE I COMUNICACIO,€2500.00,€2410.18,€3241.73,€3241.73,€3227.60,€3227.60,€3227.60,€-831.55,-34.50%,€-89.82,€0.00,,€-817.42,€0.00,€14.13,€0.00,€0.00,,134.50%,100.00%
2017,J1000,92070,23020,DIETES GRAL. PPEE I COMUNICACIO,€1150.00,€1150.00,€1150.00,€1150.00,€814.02,€814.02,€300.76,€0.00,0.00%,€0.00,€0.00,,€335.98,€0.00,€335.98,€0.00,€513.26,,100.00%,36.95%
2017,J1000,92070,23120,LOCOMOCIÓ GRAL. PPEE I COMUNICACIO,€500.00,€500.00,€500.00,€500.00,€153.66,€153.66,€128.05,€0.00,0.00%,€0.00,€0.00,,€346.34,€0.00,€346.34,€0.00,€25.61,,100.00%,83.33%
2017,J1000,92070,63207,ADEQUACIÓ I EQUIPAMENT SALA TARAFA,€20000.00,€20000.00,€0.00,€0.00,€0.00,€0.00,€0.00,€20000.00,100.00%,€0.00,€0.00,,€20000.00,€0.00,€0.00,€0.00,€0.00,,0.00%,0.00%
2017,J1000,92201,12000,SOUS DEL GRUP A1 GERENCIA,€14824.32,€14972.56,€14972.56,€14972.56,€12011.72,€12011.72,€10880.36,€0.00,0.00%,€148.24,€0.00,,€2960.84,€0.00,€2960.84,€0.00,€1131.36,,100.00%,90.58%
2017,J1000,92201,12006,TRIENNIS GERENCIA,€4824.96,€4873.21,€4873.21,€4873.21,€3696.44,€3696.44,€3348.28,€0.00,0.00%,€48.25,€0.00,,€1176.77,€0.00,€1176.77,€0.00,€348.16,,100.00%,90.58%
2017,J1000,92201,12100,COMPLEMENT DE DESTINACIÓ GERENCIA,€11253.34,€11365.87,€11365.87,€11365.87,€8930.35,€8930.35,€8118.50,€0.00,0.00%,€112.53,€0.00,,€2435.52,€0.00,€2435.52,€0.00,€811.85,,100.00%,90.91%
2017,J1000,92201,12101,COMPLEMENT ESPECÍFIC GERENCIA,€51366.70,€51880.37,€51880.37,€51880.37,€40763.14,€40763.14,€37057.40,€0.00,0.00%,€513.67,€0.00,,€11117.23,€0.00,€11117.23,€0.00,€3705.74,,100.00%,90.91%
2017,J1000,92201,16000,SEGURETAT SOCIAL GERENCIA,€11544.24,€11659.68,€11659.68,€11659.68,€7562.40,€7562.40,€7562.40,€0.00,0.00%,€115.44,€0.00,,€4097.28,€0.00,€4097.28,€0.00,€0.00,,100.00%,100.00%
2017,J1000,92201,22699,ALTRES DESPESES GERENCIA,€2000.00,€2000.00,€1385.00,€1385.00,€824.25,€824.25,€824.25,€-385.00,-19.25%,€0.00,€0.00,,€1175.75,€0.00,€560.75,€0.00,€0.00,,69.25%,100.00%
2017,J1000,92201,23020,DIETES PERSONAL GERENCIA,€1000.00,€1000.00,€1000.00,€1000.00,€0.00,€0.00,€0.00,€0.00,0.00%,€0.00,€0.00,,€1000.00,€0.00,€1000.00,€0.00,€0.00,,100.00%,0.00%
2017,J1000,92201,23120,LOCOMOCIO PERSONAL GERENCIA,€1000.00,€1000.00,€799.00,€799.00,€35.30,€35.30,€35.30,€201.00,20.10%,€0.00,€0.00,,€964.70,€0.00,€763.70,€0.00,€0.00,,79.90%,100.00%
2017,J1000,92201,61901,ACTUACIONS PROMOCIÓ DE LA CIUTAT,€50000.00,€141350.00,€105145.80,€105145.80,€60772.90,€60772.90,€60772.90,€36204.20,25.61%,€91350.00,€91350.00,,€80577.10,€0.00,€44372.90,€0.00,€0.00,,74.39%,100.00%
2017,J1110,34142,22699,DESPESES MUNDIAL HANDBOL FEMENI 2021,€0.00,€20000.00,€0.00,€0.00,€0.00,€0.00,€0.00,€20000.00,100.00%,€20000.00,€0.00,,€20000.00,€0.00,€0.00,€0.00,€0.00,,0.00%,0.00%
2017,J1120,91230,12003,SOUS DEL GRUP C1 PROTOCOL,€9983.68,€10083.52,€10083.52,€10083.52,€7979.92,€7979.92,€7245.41,€0.00,0.00%,€99.84,€0.00,,€2103.60,€0.00,€2103.60,€0.00,€734.51,,100.00%,90.80%
2017,J1120,91230,12006,TRIENNIS PROTOCOL,€2500.40,€2525.40,€2525.40,€2525.40,€1960.78,€1960.78,€1780.30,€0.00,0.00%,€25.00,€0.00,,€564.62,€0.00,€564.62,€0.00,€180.48,,100.00%,90.80%
2017,J1120,91230,12100,COMPLEMENT DESTINACIÓ PROTOCOL,€5899.88,€5958.88,€5958.88,€5958.88,€4682.15,€4682.15,€4256.50,€0.00,0.00%,€59.00,€0.00,,€1276.73,€0.00,€1276.73,€0.00,€425.65,,100.00%,90.91%
2017,J1120,91230,12101,COMPLEMENT ESPECÍFIC PROTOCOL,€15354.92,€15508.47,€15508.47,€15508.47,€11979.23,€11979.23,€10871.48,€0.00,0.00%,€153.55,€0.00,,€3529.24,€0.00,€3529.24,€0.00,€1107.75,,100.00%,90.75%
2017,J1120,91230,15100,SERVEIS EXTRAORD. PROTOCOL I RELAC. INSTITUC.,€0.00,€3999.15,€3999.15,€3999.15,€3975.84,€3975.84,€3975.84,€0.00,0.00%,€3999.15,€0.00,,€23.31,€0.00,€23.31,€0.00,€0.00,,100.00%,100.00%
2017,J1120,91230,16000,SEGURETAT SOCIAL PROTOCOL,€8923.92,€9013.16,€9013.16,€9013.16,€6555.88,€6555.88,€6555.88,€0.00,0.00%,€89.24,€0.00,,€2457.28,€0.00,€2457.28,€0.00,€0.00,,100.00%,100.00%
2017,J1120,91230,22601,PROTOCOL I REPRESENTATIVES,€19500.00,€39616.61,€28850.41,€28850.41,€23081.53,€22446.28,€22446.28,€10766.20,27.18%,€20116.61,€5116.61,,€16535.08,€0.00,€5768.88,€635.25,€0.00,,72.82%,97.25%
2017,J1120,91230,22699,ALTRES DESPESES PROTOCOL,€21500.00,€17524.16,€6171.72,€6171.72,€6137.37,€6137.37,€6137.37,€5352.44,30.54%,€-3975.84,€0.00,,€11386.79,€0.00,€34.35,€0.00,€0.00,,35.22%,100.00%
2017,J1130,92050,12000,SOUS DEL GRUP A1 COMUNICACIO INSTITUCIONAL,€14824.32,€14972.56,€14972.56,€14972.56,€12011.72,€12011.72,€10880.36,€0.00,0.00%,€148.24,€0.00,,€2960.84,€0.00,€2960.84,€0.00,€1131.36,,100.00%,90.58%
2017,J1130,92050,12003,SOUS DEL GRUP C1 COMUNICACIO INSTITUCIONAL,€19967.36,€20167.03,€20167.03,€20167.03,€15959.84,€15959.84,€14490.82,€0.00,0.00%,€199.67,€0.00,,€4207.19,€0.00,€4207.19,€0.00,€1469.02,,100.00%,90.80%
2017,J1130,92050,12004,SOUS DEL GRUP C2 COMUNICACIO INSTITUCIONAL,€8462.86,€8547.49,€8547.49,€8547.49,€6718.83,€6718.83,€6107.52,€0.00,0.00%,€84.63,€0.00,,€1828.66,€0.00,€1828.66,€0.00,€611.31,,100.00%,90.90%
2017,J1130,92050,12006,TRIENNIS COMUNICACIO INSTITUCIONAL,€11142.18,€11253.60,€11253.60,€11253.60,€8403.47,€8403.47,€7587.46,€0.00,0.00%,€111.42,€0.00,,€2850.13,€0.00,€2850.13,€0.00,€816.01,,100.00%,90.29%
2017,J1130,92050,12100,COMPLEMENT DE DESTINACIÓ COMUNICACIO INSTITUCIONAL,€22686.58,€22913.45,€22913.45,€22913.45,€18004.03,€18004.03,€16367.30,€0.00,0.00%,€226.87,€0.00,,€4909.42,€0.00,€4909.42,€0.00,€1636.73,,100.00%,90.91%
2017,J1130,92050,12101,COMPLEMENT ESPECÍFIC COMUNICACIO INSTITUCIONAL,€42112.14,€42533.26,€42533.26,€42533.26,€33125.95,€33125.95,€30114.50,€0.00,0.00%,€421.12,€0.00,,€9407.31,€0.00,€9407.31,€0.00,€3011.45,,100.00%,90.91%
2017,J1130,92050,13001,HORES EXTRAORD. COMUNICACIO INSTITUCIONAL,€0.00,€794.62,€794.62,€794.62,€419.99,€419.99,€419.99,€0.00,0.00%,€794.62,€0.00,,€374.63,€0.00,€374.63,€0.00,€0.00,,100.00%,100.00%
2017,J1130,92050,13100,LABORAL TEMPORAL COMUNICACIO INSTITUCIONA,€68197.92,€46991.00,€47370.93,€46230.61,€32970.73,€32970.73,€29901.41,€-853.24,-1.82%,€-21206.92,€0.00,,€14020.27,€1140.32,€13259.88,€0.00,€3069.32,,98.38%,90.69%
2017,J1130,92050,15100,SERVEIS EXTRAORD. COMUNICACIO INSTITUCIONAL,€0.00,€733.43,€1474.86,€1474.86,€1100.96,€1100.96,€1100.96,€-741.43,-101.09%,€733.43,€0.00,,€-367.53,€0.00,€373.90,€0.00,€0.00,,201.09%,100.00%
2017,J1130,92050,16000,SEGURETAT SOCIAL COMUNICACIO INSTITUCIONAL,€57853.92,€58432.46,€49741.11,€49376.21,€30350.89,€30350.89,€30350.89,€3475.49,5.95%,€578.54,€0.00,,€28081.57,€364.90,€19025.32,€0.00,€0.00,,84.50%,100.00%
2017,J1130,92050,21302,MANTENIMENT EQUIPS IMPRESSIO COMUNICACIO,€150.00,€216.54,€143.76,€143.76,€0.00,€0.00,€0.00,€72.78,33.61%,€66.54,€66.54,,€216.54,€0.00,€143.76,€0.00,€0.00,,66.39%,0.00%
2017,J1130,92050,22001,"PREMSA, PUBLICACIONS COMUNICACIO",€8000.00,€8000.00,€11644.90,€11644.90,€9643.41,€9643.41,€9643.41,€-3644.90,-45.56%,€0.00,€0.00,,€-1643.41,€0.00,€2001.49,€0.00,€0.00,,145.56%,100.00%
2017,J1130,92050,22201,TRAMESES POSTALS COMUNICACIO,€1550.00,€1550.00,€1550.00,€1550.00,€1324.33,€1324.33,€1324.33,€0.00,0.00%,€0.00,€0.00,,€225.67,€0.00,€225.67,€0.00,€0.00,,100.00%,100.00%
2017,J1130,92050,22300,TRANSPORTS COMUNICACIO,€250.00,€250.00,€0.00,€0.00,€0.00,€0.00,€0.00,€250.00,100.00%,€0.00,€0.00,,€250.00,€0.00,€0.00,€0.00,€0.00,,0.00%,0.00%
2017,J1130,92050,22602,PUBLICITAT I PROPAGANDA COMUNICACIO,€9500.00,€9500.00,€15558.14,€15558.14,€14255.59,€14255.59,€14255.59,€-6058.14,-63.77%,€0.00,€0.00,,€-4755.59,€0.00,€1302.55,€0.00,€0.00,,163.77%,100.00%
2017,J1130,92050,22699,ALTRES DESPESES COMUNICACIO,€23000.00,€22290.22,€29752.48,€29752.48,€22809.61,€22809.61,€22809.61,€-8462.26,-37.96%,€-709.78,€0.00,,€-519.39,€0.00,€6942.87,€0.00,€0.00,,133.48%,100.00%
2017,J1130,92050,22799,TREBALLS EMPRESES COMUNICACIO,€74000.00,€83547.20,€59941.87,€55141.87,€19696.81,€19696.81,€19696.81,€17084.83,20.45%,€9547.20,€9547.20,,€63850.39,€4800.00,€35445.06,€0.00,€0.00,,66.00%,100.00%
2017,J1130,92050,24000,EDICIÓ I DISTRIBUCIÓ COMUNICACIO,€62000.00,€83780.00,€80162.14,€80162.14,€55076.11,€54818.11,€54818.11,€3617.86,4.32%,€21780.00,€0.00,,€28703.89,€0.00,€25086.03,€258.00,€0.00,,95.68%,99.53%
2017,J1130,92050,48100,PREMIS I BEQUES COMUNICACIO,€800.00,€800.00,€800.00,€400.00,€400.00,€400.00,€400.00,€0.00,0.00%,€0.00,€0.00,,€400.00,€400.00,€0.00,€0.00,€0.00,,50.00%,100.00%
2017,J1130,92050,63303,IMPREMTA I COMUNICACIÓ,€10000.00,€22847.00,€847.00,€847.00,€847.00,€847.00,€847.00,€22000.00,96.29%,€12847.00,€12847.00,,€22000.00,€0.00,€0.00,€0.00,€0.00,,3.71%,100.00%
2017,J1130,92052,12003,SOUS DEL GRUP C1 IMPREMTA I DISSENY GRAFIC,€9983.68,€10083.52,€10083.52,€10083.52,€7979.92,€7979.92,€7245.41,€0.00,0.00%,€99.84,€0.00,,€2103.60,€0.00,€2103.60,€0.00,€734.51,,100.00%,90.80%
2017,J1130,92052,12006,TRIENNIS IMPREMTA I DISSENY GRAFIC,€2581.52,€2607.34,€2607.34,€2607.34,€1984.26,€1984.26,€1820.94,€0.00,0.00%,€25.82,€0.00,,€623.08,€0.00,€623.08,€0.00,€163.32,,100.00%,91.77%
2017,J1130,92052,12100,COMPLEMENT DE DESTINACIÓ IMPREMTA I DISSENY GRAFIC,€5264.70,€5317.35,€5317.35,€5317.35,€4178.13,€4178.13,€3798.30,€0.00,0.00%,€52.65,€0.00,,€1139.22,€0.00,€1139.22,€0.00,€379.83,,100.00%,90.91%
2017,J1130,92052,12101,COMPLEMENT ESPECÍFIC IMPREMTA I DISSENY GRAFIC,€11703.44,€11820.47,€11820.47,€11820.47,€9170.08,€9170.08,€8326.82,€0.00,0.00%,€117.03,€0.00,,€2650.39,€0.00,€2650.39,€0.00,€843.26,,100.00%,90.80%
2017,J1130,92052,13100,LABORAL TEMPORAL IMPREMTA I DISSENY GRAFI,€26372.04,€26635.76,€26635.76,€26635.76,€20383.70,€20383.70,€18515.31,€0.00,0.00%,€263.72,€0.00,,€6252.06,€0.00,€6252.06,€0.00,€1868.39,,100.00%,90.83%
2017,J1130,92052,16000,SEGURETAT SOCIAL IMPREMTA I DISSENY GRAFIC,€20303.66,€20506.70,€20506.70,€20506.70,€11270.42,€11270.42,€11270.42,€0.00,0.00%,€203.04,€0.00,,€9236.28,€0.00,€9236.28,€0.00,€0.00,,100.00%,100.00%
2017,J1130,92052,20301,ARRENDAMENT FONT D'AIGUA IMPREMTA I DISSENY,€450.00,€450.00,€377.52,€377.52,€377.52,€377.52,€377.52,€72.48,16.11%,€0.00,€0.00,,€72.48,€0.00,€0.00,€0.00,€0.00,,83.89%,100.00%
2017,J1130,92052,21300,"MANTENIM.MAQUINARIA,UTILLATGE IMPREMTA I DISSENY",€2500.00,€2500.00,€1235.98,€1235.98,€1235.98,€1235.98,€1235.98,€1264.02,50.56%,€0.00,€0.00,,€1264.02,€0.00,€0.00,€0.00,€0.00,,49.44%,100.00%
2017,J1130,92052,22104,VESTUARI IMPREMTA I DISSENY,€1000.00,€1000.00,€700.00,€700.00,€220.83,€220.83,€220.83,€-157.80,-15.78%,€0.00,€0.00,,€779.17,€0.00,€479.17,€0.00,€0.00,,70.00%,100.00%
2017,J1130,92052,22199,ALTRES SUBMINISTRAMENTS IMPREMTA I DISSENY,€59000.00,€69067.95,€84020.18,€84020.18,€55030.89,€55030.89,€52855.27,€-14952.23,-21.65%,€10067.95,€10067.95,,€14037.06,€0.00,€28989.29,€0.00,€2175.62,,121.65%,96.05%
2017,J1130,92052,22699,ALTRES DESPESES IMPREMTA I DISSENY,€2000.00,€1188.83,€88.75,€88.75,€88.75,€88.75,€88.75,€1100.08,92.53%,€-811.17,€0.00,,€1100.08,€0.00,€0.00,€0.00,€0.00,,7.47%,100.00%
2017,J1130,92052,22799,TREBALLS EMPRESES IMPREMTA I DISSENY,€20500.00,€20500.00,€13700.00,€13700.00,€13206.03,€13206.03,€13206.03,€6800.00,33.17%,€0.00,€0.00,,€7293.97,€0.00,€493.97,€0.00,€0.00,,66.83%,100.00%
2017,J1140,49120,46700,APORTACIO A CONSORCI TDT,€288200.00,€292492.50,€292492.50,€292492.50,€292492.50,€292492.50,€292492.50,€0.00,0.00%,€4292.50,€0.00,,€0.00,€0.00,€0.00,€0.00,€0.00,,100.00%,100.00%
2017,J1200,92060,12000,SOUS DEL GRUP A1 SECRETARIA,€14824.32,€14972.56,€14972.56,€14972.56,€12011.72,€12011.72,€10880.36,€0.00,0.00%,€148.24,€0.00,,€2960.84,€0.00,€2960.84,€0.00,€1131.36,,100.00%,90.58%
2017,J1200,92060,12003,SOUS DEL GRUP C1 SECRETARIA,€19967.36,€20167.03,€19197.37,€19197.37,€15294.37,€15294.37,€13825.35,€969.66,4.81%,€199.67,€0.00,,€4872.66,€0.00,€3903.00,€0.00,€1469.02,,95.19%,90.40%
