ENTITAT,NÚM REGISTRE,ADREÇA,TELÈFON,CORREU ELECTRÒNIC,WEB,ÀMBIT PRINCIPAL,ACTIVITATS
Associació de Veïns de Can Monic,42,"Puig i Perucho s,n",615240561,canmonich@hotmail.com,,Comunitat,
Associació de Veïns del Barri de l'Hostal,87,"Lledoner 6, centre cívic Nord",670812655,elmacranas@hotmail.com,,Comunitat,
Associació de Veïns del Barri Sant Miquel de Granollers,48,"Francesc Macià, 93",,santmiquelbarri@gmail.com,,Comunitat,
Associació de Veïns Girona Centre de Granollers,395,"Girona, 52 Local",610293034,ricardsauri@gmail.com,,Comunitat,
Associació de Veïns Granollers Centre,13,Corro 45,938701494,fretun@telefonica.net,,Comunitat,
Associació de Veïns Granollers Nord,101,Figueres 15,653580055,,,Comunitat,
Associació de Veïns Ponent de Granollers,7,"Rafael Casanova 52, baixos",9.38466256627557E8,"aavvbarriponent@hotmail.es,alego.pa@hotmail.es",,Comunitat,
Associació de Veïns Ricomà Centre de Granollers,25,Miquel Ricomà 77,607274890 649711036,mcjarmar@comercialjarmar.com info@tothora.com,,Comunitat,
Associació de Veïns Tres Torres,49,"Centre Cívic Jaume Oller, Mare de Deu de Serrat 47",,avtrestorresdegranollers@gmail.com,,Comunitat,
Associació de Veïs Can Bassa,5,"Plaça Joan Oliver s,n",938706203,aavvcanbassa@hotmail.com,,Comunitat,
Associació Eines Per  Tothom,438,"Esteve Terrades 54, Local",935380470,einespertothom@gmail.com,,Comunitat,"Entitat que preten donar resposta a les necessitats culturals, de lleure, socials i educatives d'una manera transversal i amb un marcat estil social de la societat en general per treballar la igualtat social."
Associació Londi-Ñining Kafo,457,"c, Indústria 65, Baixos",,aso.londininigkafo@gmail.com,,Comunitat,
Associació Netteboulou,356,"Ripolles 34, 1r 2a","938466827 , 680118102",associacionetteboulou@hotmail.com,,Comunitat,
Associació per l'Educació i la Cultura Islàmica,435,"C, Julià Centelles 11, 1er 2a",631209106,,,Comunitat,
Associació per la Integració Social de les Dones de Haldi Fotti,308,"c, Girona 51, 1 A",,,,Comunitat,
Associació Tidjania Per La Convivència,361,"Girona 157, 3r 2a",653511712,segandir@hotmail.com,,Comunitat,
Associació Wouly Bedin Kafo,458,,,,,Comunitat,
Ayuda y Formación para el Desarrollo,399,,931716271,kitokokitoko@live.com,,Comunitat,
Caritas Diocesana de Terrassa,415,"Ctra de Caldes, 23",931760978,info@caritasdiocesanaterrassa.cat,www.caritasdioxesanaterrassa.cat,Comunitat,"És una entitat de l'església catòlica que té com a objectius principals orientar, coordinar i realitzar l'acció social i caritativa de l'església, amb la finalitat d'ajudar a la promoció humana i al desenvolupament integral de les persones"
Centre Cristià Crist Única Esperança,416,"Passeig de la Muntanya, 131, 1r 5a",652617049,mauriciocortes849@hotmail.com,,Comunitat,
Club Máquina vieja,382,,608813971,fcmaquinavieja@hotmail.com,,Comunitat,
Col·lectiu Cristià Estel del Matí de Granollers,151,"Pl. Can Mònic s,n",,colectiu.esteldelmati@gmail.com,,Comunitat,
Comunidad de Unidad Islámica de Guinea Conakry,418,Joanot Martorell 82,676305201,saidouburuwil@hotmail.com,,Comunitat,
Comunidad Islámica Achoura de Granollers,406,"Travessera Jordi Camp, 11",631484339,comunidad.achoura@gmail.com,,Comunitat,
Comunidad Musulmana de Granollers- Mesquita Attawhid,409,"Urgell 1, 3r 3a",649603409,mostafa.elomrani@gmail.com,,Comunitat,
Confederació Nacional de Treball,400,"Emili Botey 14, L1",931818313,granollers@cnt.es,www.granollers.cnt.es,Comunitat,
Creu Roja Granollers,52,"Joan Prim, 38",938611240,granollers@creuroja.org,www.creurojagranollers.org,Comunitat,
Dahira Chamsou Dina,421,"Julià Centelles, 11 1r 2a",631209106,,,Comunitat,
Dahira Islamic de Fuladú,483,"C, Hospital, 36 Baixos",632077311,,,Comunitat,
Entre Mares,131,"Lledoner, 6 (Centre cívic Nord) ",,entremares.granollers@gmail.com,"http:,,entremaresgranollers.blogspot.com.es,",Comunitat,
Església Evangèlica de Granollers,474,"camí Vell de Canovelles, 14",669557531,eegranollers@gmail.com,,Comunitat,
FeCo - Fem Comunitat,484,,,fecogranollers@gmail.com,,Comunitat,
Fundació El Xiprer Vallès Oriental,467,"c, Josep Umbert, 145",674228777,info@elxiprer.com,,Comunitat,
Gent del Barri Sant Miquel,367,"c, Mare de déu de Montserrat, 47",938795892,gentdelbarrisantmiquel@hotmail.es,"http:,,www.gentdelbarrisantmiquel.es.tl",Comunitat,
Granollers Pedala,443,,663728573,info@granollerspedala.cat,www.granollerspedala.cat,Comunitat,"Promoció de l'ús de la bicicleta en l'àmbit urbà de la conurbació de Granollers. Dinamització de l'us de la bicicleta amb projectes, activitats i sortides. Disseny i gestió els serveis que faciliten lús de la bicicleta a persones i organitzacions."
Iglesia Pentecostal Unida de España,452,"C, Jordi Camp 43, interior nau 6",,,,Comunitat,
Joventut Multicultural Musulmana,479,"C. Rafael Casanova 66, 03 04",632413428,granollersjmm@gmail.com,,Comunitat,
Papers i Drets per a Tothom,447,"Centre cívic Nord, C. lledoner, 6",664147219,papersvo@gmail.com,,Comunitat,Defensa de la dignitat i els drets dels nouvinguts.
Plataforma d'Afectats per les Multes,478,"C. Enric Granados, 18",675188647,amarofitodolors@gmail.com,www.pam-multes.es,Comunitat,Entitat que defensa els drets dels afectats per les multes del fotosemàfor vermell.
Recursos Educatius per la Infància en Risc,332,"Esteve terrades, 54 Local",935380470,reir@reir.cat,www.reir.cat,Comunitat,
Testigos Cristianos de Jeová,334,"Pl. Can Mònic, bloc 5, 9º 3a",652779703,,jw.org,Comunitat,
Unió General de Traballadors de Catalunya  UGT,249,Esteve Terrades 30-32,938704258,ugt@nom.ugt.org,"www.ugt-cat.net,subdominis,vallesoriental,index.php",Comunitat,
"Àfricat, Associació per la Interculturalitat i el Desenvolupament dels Països Empobrits",316,"Isabel de Villena, 64 4rt 3a",618707790,info@vinafricat.org,www.vinafricat.org,Cooperació,
Ajuda en Acció,177,"carles Buhigas nau 8, Can Castell","616967249 , 653855659",sriaguas@hotmail.com,www.ayudaenaccions.org,Cooperació,
Alegria Sin Fronteras,486,,,alegraia.sin.fronteras@gmail.com,www.alegriasinfronteras.com,Cooperació,
Amigos de Koundara,291,,679942567,boiro200@hotmail.com,,Cooperació,
Asociación de Prosumidores Agroecológicos - Agrosolidaria Seccional Catalunya,357,"Colom 8, 1er 1a",673526504,,,Cooperació,
Associació Cooperacció,260,"Camp de les Moreres 9, 3er 2a",655756274,lor.odena@ono.com,www.cooperacció.org,Cooperació,
Associació Cultural Casal de Mali-Soundyata Keita,346,"Emili Botey, 5, 2on 2a",656610262,augustocasaldemali@gmail.com,associacioculturalcasaldemali,Cooperació,
Associació d'Amics del Poble Saharaui del Vallès Oriental,77,,,,,Cooperació,
Associació de Makadougou Hero Solidaritat ONG,353,"Crtra de Caldes 4, 3r B",676219064,"sidibe.sidibe@gmail.com,eugeni.fernandez52@gmail.com",,Cooperació,
"Associació Diannah Bah-Catalunya, Ajuda i Acció-DCAA",331,"Ramon Berenguer III, 23, 2º A",697397492,kedimbacissé@gmail.com,,Cooperació,
Associació DUNA Petits Grans de Sorra,397,,,informació.duna@gmail.com,www.ongduna.org,Cooperació,
Associació per el Desenvolupament Econòmic de la Comunitat Rural de Sare Coly Sale (Senegal),449,"Plaça Joan Oliver s,n",,mockoam@gmail.com,,Cooperació,
Associació Vallès Obert als Nens del Món,189,"Centre cívic Nord (c, Lledoner 6)",672197200,vallesobert@gmail.com,www.vallesobert.org,Cooperació,
Funadación ADRA (Agència Adventista papa el Desarrollo y Recursos Asistenciales),152,"Emili Botey, 10 Baixos",,accionsocial@adra-es.org,www.adra-es.org,Cooperació,
Fundació Dr. Ivan Mañero,462,"Pl. de l'Església 6, 01-01",931136660,gestion@fundacionivanmanero.org,www.fundacionivanmanero.org,Cooperació,"Desenvolupa i centra la seva tasca a Àfrica Occidental, porta a terme una intensa tasca de sensibilització i educació per la pau al nostre pais, a més de desenvolupar alguns projecyes relacionats amb les dones i els infants. El seu principal objectiu és aconseguir que les comunitats més desafavorides desl països on treballa tinguinuna oportunitat per sortir de la pobresa extrema en què es troben. Per aconseguir-ho incideisen en programes i projectes que busquen millorar la sanitat, l'educació, l'alimentació, l'asistència, l'igualtat, el desenvolupament sostenible, la capacitació, etc."
Fundació Josep Comaposada-Sindicalistes Solidaris,375,"Esteve Terrades, 30-32",938704258,sindicalistes@sindicalistessolidaris.org,www.sindicalistessolidaris.org,Cooperació,
Fundació Pau i Solidaritat Vallès Oriental,223,"Puis XII, 5",938601940,pauisolidaritat@ccoo.cat,www.pauisolidaritat.ccoo.cat,Cooperació,
Fundació Privada Educació Solidària - Escola Pia,328,"Murillo, 46",,txon.reverter@escolapia.cat,www.educaciosolidaria.org,Cooperació,"La Fundació Treballa perquè tothom pugui fer efectiu el seu dret a l'educació i així poder millorrar les seves condicions de vida. Aquest treball el porta col·laborant  en projectes de cooperació internacional, i també realitzant accions de sensibilització i promoció del voluntariat a Catalunya. Al voltant de 5.000 persones son beneficiàries dels projectes de cooperació, mentre que els de sensibilització i voluntariat a unes 10.000 persones."
Fundació Pueblo para Pueblo,425,"C, Espanya, 8",938402182,sergio.ros@humana-spain.org,www.humana-spain.org,Cooperació,
Fundació Vicente Ferrer,378,"Plaça de la Corona 8, 5è ",9.38467185667776E8,ipublicas@fundacionvicenteferrer.org,www.fundacionvicenteferrer.org,Cooperació,
Global Infantil,288,"c, Josep Carner 1, 2on",,globalinfantil_barcelona@yahoo.es,,Cooperació,
Manos Unidas (Comité Católico de la Campaña Contra el Hambre) - Delegació de Granollers i Comarca,112,"Roger de Flor, 74-D",938706249,info@mansunidesvor.org,mansunidesvor.org,Cooperació,
Medicus Mundi Mediterrànea,391,"Rambla Tarradellas, 3 6è 1a",938706759,mediterrania@medicusmundi.es,,Cooperació,
"""You Bari"" Associació per el desenvolupament i la Cooperació amb Missirah - Senegal ",390,"Pallars 5, 5è 4rta",938606418 647450733,youbari.missirah@gmail.com,www.youbari.com,Cooperació,
Acció Cultural de Joves de Granollers,299,,,correu@esquerda.org,www.esquerda.org,Cultura,
Asociación Cultural Casa de Castilla y Leon en el Vallès Oriental,127,"Colombia, 11 B",938613197,ccylgranollers@gmail.com,,Cultura,
Associació Amics de l'Opera del Vallès Oriental,381,,,amicsdeloperadelvallesoriental@gmail.com,,Cultura,
Associació Amics dels Cavalls de Granollers,431,"C, Esteve Garrell, 2",,,,Cultura,
Associació B&B,386,,697507809,grupodeteatrobandb@gmail.com,,Cultura,
Associació Cultural Bolivianos de Corazón-Granollers,376,"Lledoner 21, 06-01",6.35088677667058E8,,,Cultura,
Associació Cultural Comparsa Cambas Guapos,352,"Pompeu Fabra 9, 1r 1a",938702817,khatya-quiroga@hotmail.com,,Cultura,
Associació Cultural d'Arts Combatives ,471,,646107379,sergirovira.acac@gmail.com,artscombatives.cat,Cultura,Associació que imparteix cursos al centre cultural i juvenil Polidor de Sant Adrià de Besòs. Producció pròpia d'espectacles de música i teatre.
Associació Cultural de Granollers,30,"Almogàvers, 5",938443027,secretaria@acgranollers.com,www.acgranollers.com,Cultura,
Associació Cultural l'Art del Bonsai,230,,,info@artdelbonsai.org,www.artdelbonsai.org,Cultura,
Associació Cultural Niñas del Mago,388,,655976391,,www.ndelmago.com.ar,Cultura,
Associació Cultural Tararí,396,,,actarari@gmail.com,,Cultura,
Associació Cultural Tejer y Crear,193,,,tejerycrear@yahoo.es,"www.tejerycrear.wix.com,catalunya",Cultura,
Associació Cultural Trementina,407,Corró 160 Baixos,687626156,,,Cultura,
Associació de Teatre Amateur Acte Quatre,23,"Argentina, 45-47 1r A",9.38794741677494E8,info@actequatre.net,www.actequatre.net,Cultura,
Associació Desocarrel Teatre,461,,,,,Cultura,
Associació Escola d'Art Creatiu La Fusión,445,"Centre cívic nord, c, Lledoner, 6",,artcreatiulafusion@gmail.com,artcreatiulafusion.org,Cultura,
Associació Fantàstik,451,,,info@fantastikgranollers.cat,www.fantastikgranollers.cat,Cultura,"El festival de cinema Fantastik i de terror de Granollers és un festival ja consolidat dins el circuit de festivals de l'entorn estatalque nèix a mitjans de l'any 2012 de mans del col·lectiu Fantàstik i la colaboració de l'Associació Cultural amb la intenció de divulgar el cinema de genere fantàstik i,o de terror de cualitat, inèdit en sectors comercials convencionals i oferir d'aquesta forma un esdeveniment exclusiu on poder gaudir d'una experiència col·lectiva ùnica."
Associació Fotogràfica Jaume Oller de Granollers,398,"Centre cívic Jaume Oller, Mare de deu de Montserrat, 47",9387958925,correu@afjaumeoller.cat,www.afjaumeoller.es,Cultura,
Associació Juvenil ASGRAM (Associació Granollerina de Músics),476,,,asgramentitat@gmail.com,,Cultura,"Associació de joves dedicada a promoure la música a la ciutat i facilitar la creació de grups musicals oferint una gran facilitat per poder tocar en directe en els diferents esdeveniments que organitza l'entitat, sense descriminar qualsevol tipus de música."
Associació Juvenil Tanuki Dan,422,Pl. Església 8,"664695251 , 656318927",tanukidan.gra@gmail.com,tanukidan.blogspot.com,Cultura,
Associació LindyFrogs Granollers,453,"Av Enric Prat de la Riba, 77",,lindyfrogs@gmail.com,,Cultura,"Entitat que promou la cultura Swing així com els diferents balls associats. Organització de ballades, exhibicions i espectacles."
Associació Musical Aula Lírica de Granollers,32,,675884780,visi033@hotmail.com,,Cultura,
Associació Musical Juvenil Elements Entertainment,413,,635425193,ghostelmusical@gmail.com,www.ghostelmusical.tk,Cultura,
Associació Teatral Mea Culpa,402,,,meaculpa.teatre@gmail.com,,Cultura,Representació d'obres teatral pròpies i d'altres actors
Associació Tetare Musical Milnotes,470,"c, Miquel ricomà 48-52, bxs",683517720,milnotes@hotmail.com,,Cultura,"Entitat organitzadora d'espectacles de gran i petit format, actuacions, events i animacions dedicades a la ciutat de Granollers i altres localitats. Espectacles com a pastorets, carnavals, concents, tunel del terror, etc."
Associació Urbana de Sons i Arts,446,"C, Marià Maspons 4",,ausagranollers@gmail.com,,Cultura,"Promoció cultural d'artistes i creadors - Recerca i creació d'espais de sivulgació per els artistes i creadors en les dioferents i múltiples disciplines d'expressió artística (música, teatre, dansa ...)"
Associació Xics de Granollers,68,Enric Prat de la Riba 77,6.90058095690058E8,colla@xics.org,www.xics.cat,Cultura,
Ateneu de Granollers,53,"Torras i Bages 11, 1r 2a",938706992,circunsmargarit@yahoo.es,,Cultura,
Blaus de Granollers,129,"Prat de la Riba, 77",,blaus@blancsiblaus.cat,www.blausdegranollers.cat,Cultura,Organització en col·laboració amb Blancs i l'Ajuntament de la  festa major de Granollers
Casino de Granollers - Club de Ritmo,140,Agustí Viñamata 21,938705040,casinog@hotmail.com,www.casinogranollers.com,Cultura,"Fundada l'any 1880, dota la ciutat de tota una sèrie d'activitats socials, culturals i recreatives."
Colla de Diables de Granollers,473,"Av. Enric Prat de la Riba, 77",,info@diablesdegranollers.com,www.diablesdegranollers.com,Cultura,
Associació Educació Solidària amb les Califòrnies de Mèxic,439,"C, Ricomà 57",938600789,,,Educació,
Club Futbol Ponent,72,"C, Rafael Casanova, s,n",673972645,cfponent@hotmail.com,,Esport,
Col·lectiu dels Silencis,468,,,elssilencis@gmail.com,"www.facebook.com,collectiu-dels-Silencis-790733414371032",Cultura,"Els fins de l'associació son la defensa de la cultura a través del teatre i arts escèniques, mitjamçant la creació i representació d'espectacles teatrals i la realització d'activitats de formació permanent adreçades als socis i persones interessades."
Cor Femení de Granollers,329,,,info@corgranollers.com,www.corgranollers.com,Cultura,
Coral Albada de la Parròquia de St Esteve de Granollers,95,Pl. de l'església 1,938706085,estherlara15@hotmail.com,,Cultura,
Coral Art Nou de Granollers,125,"Santa Elisabet, 7-9",938701562,artnou@gmail.com,artnou.org,Cultura,
Coral Polifònica de Granollers,73,Gregori Resina 1,,josepespinasa@gmail.com,,Cultura,"Associació dedicada al cant coral. Treballa sota la direcció de Agustí Vidal, amb assaigs setmanals. S'exploren i es preparen, habitualment amb idea del director i cercant la col·laboració d'altres artistes de l'escena, diferents maneres de presentar espectacles basats en la música coral."
Drac de Granollers,133,"Prat de Riba, 77 (La Troca)",,drac@dracdegranollers.com,www.dracdegranollers.com,Cultura,
Esbart Dansaire de Granollers,78,Prat de la Riba 77,607854254,esbartgranollers@gmail.com,www.esbatgranollers.cat,Cultura,
Fundació Privada Cultural de Granollers ,278,"C, Almogàvers, 5",938443027,escolesvalles@acgranollers.com,www.acgranollers.com,Cultura,
Fundació Privada Pere Maspons i Camarasa,65,"Antoni Espí i Grau, 3",,,,Cultura,
Granollers Tango Associació,392,"Girona, 29",678661920,jarmarcades@gmail.com,,Cultura,
Grup de Teatre Xivarri,163,,,,,Cultura,
Hermandad del Rocio de Can Bassa,59,"Pallars 5, 4rt 4rta",938708883,,,Cultura,
Ja Ho Tenim Teatre,411,"c, Nicaragua 3",678613017,s.sssi@hotmail.com,,Cultura,
Passaltpas (Danses del Món),176,"Enric Prat de la Riba, 77",680884374,info@passaltpas.cat,www.passaltpas.cat,Cultura,
RESSÒ-Taller de Comunicació de Gent Gran,401,"Carrer Travesserres, 14 Baixos",938709669,,,Cultura,
RUMB Associació Musical i Cultural,420,"Primer Marquès de les Franqueses, 50",938705246,david@rumb.cat,rumbmusical.wordpress.com,Cultura,
Societat Coral Amics de la Unió,139,Travesseres 20,938707505,info@amicsdelaunio.org,www.amicsdelaunio.org,Cultura,
Xpressa't Associació Artística,348,"Av. Sant Esteve 57, 3r 4a",600084607,ass.xpressat@gmail.com,www.xressat.es,Cultura,
AMPA Celestí Bellera,227,"Esteve Tarrades s,n",9.38792688627972E8,,,Educació,
AMPA Escola Municipal de Treball,63,"Roger de Flor, 64",696268902,lluisplaza@telefonica.net,,Educació,
Associació AMPA Escola Joan Solans,41,Mallorca 20,938704399,ana.leon.delgado@gmail.com,,Educació,
Associació de Mares i Pares d'Alumnes de l'Escola Salvador Espriu,67,Joan Camps 6-8,938794459,ampa.sespriu@gmail.com,"salvador.espriu.cat,ampa,",Educació,
Associació de Mares i Pares d'Alumnes Escola Mestres Montaña,158,"Esteve terrades, s,n",938795643,ampamestresm@gmail.com,"http.,,blocs.xtec.cat,mestresm,ampa",Educació,
Associació de Mares i Pares d'Alumnes IES Granollers,466,"Maria Palau s,n",6.61727314937815E8,ampaiesgranollers2015@gmail.com,,Educació,
Associació de Mares i Pares d'Alumnes Lledoner - Granollers,296,Rosselló 95,9.38493687938646E8,lledoner.ampa@gmail.com,www.ceiplledoner.com,Educació,
Associació de Mares i Pares de l'escola Mª Anna Mogas,229,,,junta@ampamamogas.cat,,Educació,
Associació de Mares i Pares de l'Escola Pau Vila,185,"Manel Mas Joan 1, CEIP Pau Vila",938495351,ampapauvila@gmail.com,,Educació,
Associació de Mares i Pares del CEIP Granullarius,21,"C, Maresme, 2",645348188,ampagranullarius@gmail.com,www.ampagranullarius.org,Educació,
Associació de Pares d'Alumnes de l'Escola Municipal Salvador Llobet de Granollers (Vallès Oriental),38,"Roger de Flor, 64",,ampallobet@gmail.com,www.ampasalvadorllobet.cat,Educació,
"Associació de Pares d'Alumnes de l'Institut de Batxillerat ""Antoni Cumella"" de Granollers",109,"Institut de Batxillerat Antoni Cumella, Roger de Flor s,n",649126512,ampacumella@gmail.com,,Educació,
Associació de Pares d'Alumnes del C.P. Ferrer i Guàrdia,201,"Roger de Llúria, 25",936934802,ampafig@gmail.com,"http:,,ampafig.blogspot.com.es",Educació,
Associació de Pares i Mares d'Alumnes del CEIP Ponent,150,Rafael Casanovas 71,938400906,ceipponent.ampa@gmail.com,,Educació,
Associació Pedagògica Salvador Llobet,379,"c, Roger de Flor 64",938794001,a8037553@xtec.cat,,Educació,"Entitat que te com a finalitat ampliar i donar suport a les tasques educatives, culturals i formatives, desenvolupades per l'Escola Municipal Salvador llobet, així com gestionar les activitats, el material i els altres recursos que comportin l'activitat pedagògica del centre educatiu."
Associació per a l'Impuls d'Estudis Populars,427,,,,www.aiep.es,Educació,
Aules d'Extensió Universitària per a la Gent Gran del Vallès Oriental,387,"Anselm Clave, 40",,agevogranollers@gmail.com,,Educació,
Casal del Mestre de Granollers i del Vallès Oriental,62,,,,,Educació,
CiberEdu. Associació per l'Acompanyament en el Món Digital,436,,,ciberedu2020@gmail.com,www.ciberedu2020.wordpress.com,Educació,
Fundació Privada Catalana Espavila,362,Girona 62 1r pis,938792561,fundacio@espavila.cat,www.espavila.cat,Educació,"Entitat que dona a coneixer, fomenta i potencia els valors de la cultura de l'esforç en tots els aspectes dintre de la societat. Organitza xerrades i tallers, ajudes a persones, escrits d'opinió, divulgació de frases cèlebres, col·laboració amb altres entitats i les beques Educar fomentant l'esforç."
"Pingra, Associació Ciutadana pel Parc Infantil de Nadal de Gra",178,,,pingra@pingra.org,www.pingra.org,Educació,Entitat que organitza el Parc Infantil de Nadal de Granollers.
Agrupació Excursionista de Granollers,66,"c, Corró 10",938600147,aegra@telefonica.net,www.aeg.net,Esport,"Entitat nascuda el 1928, dedicada a la divulgació de l'excursionisme, en els vessants esportius i culturals, muntanyisme, espeleologia, escalada, bicicleta tot terreny, contacte amb la natura."
Associació Cultural Deportiva Corre a les 8:30,428,"C, Navarra 49, 2on A",629314646,lucascanelo@gmail.com,,Esport,
Associació Esportiva Carles Vallbona,171,Camp de les Moreres 14,649865954,aecarlesvallbona@gmail.com,www.aecarlesvallbona.es,Esport,
Associació Esportiva Escolar Celestí Bellera,442,"C, Esteve Terrades s,n",938794914,aeecelestibellera@gmail.com,"http:,,aeecb.blogspot.com.es",Esport,"És una associació esportiva d'àmbit escolar en què la majoria de socis són els propis alumnes de l'institut on està ubicada. Es dedica a promocionar l'esport, els valors entre els alumnes de l'institut i la cohesió social."
Associació Esportiva Escolar IES Carles Vallbona Granollers,403,"C, Camp de les Moreres 14",649865954,aecvallbona@gmail.com,www.aecarlesvallbona.es,Esport,
Associació Esportiva la Mitja,323,Av. Prat de la Riba 65,677561268,cursa@lamitja.cat,www.lamitja.cat,Esport,
Associació Granollers Esportiva,115,"C, Maria Palau, 25",650008451,badgranollers@gmail.com,www.badmintongranollers.worldpress.com,Esport,"Associació esportiva dedicada a la difusió, promoció i formació del Bàdminton."
Associació Tenkan Dojo,469,,653011480,ventas@expositorestienda.com info@tenkandojo.org,www.tenkandojo.org,Esport,"Associació d'amics per l'estudi i la pràctica i difusió de les arts marcials tradicionals japoneses, amb l'objectiu de de dotar la dona d'una eina de defensa personal, aumentar la seva autoestima i seguretat en si mateixa."
Club Atlètic del Vallès,141,"Pius XII, s,n",676623677,atcvalles@hotmail.com,,Esport,
Club Atlètic Granollers,81,"Joan Prim 132, 1r",938705283,cag@cagranollers.com,www.cagranollers.com,Esport,
Club Atletisme l'Aire,172,"Catalunya, 12-18, local 2, baixos",9308701734,info@lairesports.com,,Esport,
Club Badminton IES Antoni Cumella Granollers,298,"Roger de Flor s,n",661712827,rlucas@badminton.cat,,Esport,
Club Balonmano Granollers,44,,,,,Esport,
Club Bàsquet Granollers,51,Girona 222,938401833,cbg@cbgranollers.com,www.cbgranollers.com,Esport,
Club Ciclista el Templo del Biker,354,"Av. Sant Esteve 16, 4rt B",6.00202433938794E8,fermin.rodo@hotmail.com,www.eltemplodelbiker.com,Esport,
Club Ciclista Granollers,54,"Girona 54, Casal de l'Esport",938613071,ccgranollers@gmail.com ,www.ccgranollers.com,Esport,
Club d'Esgrima Granollers,441,"Av. Francesc Macià s,n",653594979,esgrimagranollers@gmail.com,www.esgrimagranollers.com,Esport,Club afiliat a la Federació Catalana d'Esgrima i a la Real Federación Española de Esgrimaque promociona i ensenya l'Esgrima a Granollers i al Vallès Oriental.
Club de Boxa Vallès,480,"Pistes d'atletisme, C, Camp de les Moreres, ",,combatsambo@outlook.es,www.combatsambovalles.es,Esport,
Club Deportivo Catalán de Luchas Olímpicas,389,Agustí Vinyamata 73,938702047,info@luchasolimpicas.es,www.luchasolimpicas.es,Esport,
Club Equitació Granollers,433,"Camp de futbol Palou, c, Dr. Fàbregas, s,n-Palou",6.54553647647721E8,clubequitaciogranollers@gmail.com,,Esport,
Club Futbol Finsobe,107,"Centre Cívic Can Gili, Camí Vell de Lliça 1",661369165,cffinsobe@hotmail.com,,Esport,
Club Handbol Platja Granollers,339,,,club@handbolplatjagranollers.org,www.handbolplatjagranollers.org,Esport,
Club Judo Granollers,195,Camp de les Moreres (pistes d'atletisme),938704232,albertmallovilla@gmail.com,,Esport,
