RUTA,TIPUS DE RUTA,DISTÀNCIA (Km),TEMPS ESTIMAT,PUNT D'INTERÈS,ORDRE,DESCRIPCIÓ,FOTOGRAFIA,LOCALITZACIÓ
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casal Masferrer-Perpinyà, segle XVI",3,"Pla&ccedil;a de la Porxada, 21-23

Casal de la fam&iacute;lia Masferrer que en el segle XVII s&rsquo;emparenta amb els Perpiny&agrave;. Edifici reformat en la d&egrave;cada de 1980 que conserva alguns elements arquitect&ograve;nics del segle XVI. A la fa&ccedil;ana de la pla&ccedil;a de la Porxada, destaca un finestral plateresc de llinda plana i un guardapols sostingut per figures a les impostes. Tamb&eacute; mant&eacute; un
portal interior d&rsquo;estil plateresc catal&agrave;. En aquests elements, s&rsquo;hi pot apreciar un escut format per una banda amb tres ferradures de sable i acompanyada de dues estrelles, al&middot;lusiu al nom de la fam&iacute;lia. En aquest edifici tenia la seva seu a finals del segle XIX el Casino Terpsicore.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto03.jpg,"(41.608026000000002, 2.2881629999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Can Cunillera, segle XVI",4,"Pla&ccedil;a de la Porxada, 28

Gran casal de planta baixa, dues plantes pis i una tercera planta en forma de galeria. En un dels portals de llinda plana de la planta baixa hi ha la data de 1541. A la segona
planta, sobresurt un balc&oacute; amb relleus a la llinda sostinguda per &agrave;ngels amb la data de 1550. A l&rsquo;interior, es conserva una finestra d&rsquo;arc estrellat del segle XVII i un portal amb un escut format per una estrella de sis puntes coronant una muntanya. Al llarg del primer quart del segle XX, es van fer algunes reformes a la casa.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto04.jpg,"(41.607866000000001, 2.287671)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casal, segle XVI",5,"Pla&ccedil;a de la Porxada, 30

Casal del segle XVI que encara conserva l&rsquo;estructura medieval, fou reformat a finals de la d&egrave;cada dels 70, llavors va perdre la porta d&rsquo;arc de mig punt de grans dovelles i l&rsquo;antiga galeria. Actualment conserva tres finestres de tipus goticorenaixentista, amb guardapols mixtilinis i medallons amb carasses. A la finestra central uns angelets sostenen un escut amb la data de 1551. A les impostes hi ha angelets portant escuts en blanc. Els mascarons permeten veure els tocats de les dames i els cascs dels cavallers. Tamb&eacute; conserva una finestra de tipus geminat sense columneta en el segon pis.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto05.jpg,"(41.607906999999997, 2.2874460000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XVI",6,"Pla&ccedil;a de la Porxada, 11-cantonada doctor Riera

Casa que encara conserva la tipologia dels edificis medievals de la ciutat, ha estat reformada en diverses ocasions. Aix&ograve; ha provocat que es modifiqu&eacute;s la porta d&rsquo;arc de mig punt, i la galeria arcada de les golfes del costat de la Porxada, per&ograve; conserva el r&agrave;fec volad&iacute;s.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto06.jpg,"(41.608271000000002, 2.287623)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XVI",7,"Pla&ccedil;a de les Olles, 8

Casa en qu&egrave; s'han reaprofitat els elements arquitect&ograve;nics procedents d&rsquo;una casa g&ograve;tica que estava situada en el carrer de Santa Anna n&uacute;mero 5-7. L'escut de la porta
petita &eacute;s nou. A la primera planta, hi ha una finestra conopial lobulada amb decoracions de carasses i palmetes a les impostes. La finestra superior &eacute;s de llinda plana amb guardapols que arrenca de dues m&egrave;nsules decorades amb el tors de dos angelets.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto07.jpg,"(41.608488000000001, 2.2871079999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XV",8,"Pla&ccedil;a dels Cabrits, 4 / Pla&ccedil;a de les Olles, 16

Casa cantonera sobre porxos amb dues fa&ccedil;anes de planta baixa, pis i golfes. Destaca al primer pis una finestra geminada, d&rsquo;arc lobulat sobre impostes decorades amb botons i sense trencallums.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto08.jpg,"(41.608528, 2.2874680000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Can Bassa, segle XV",9,"Pla&ccedil;a dels Cabrits, 2

Edifici format inicialment per la planta baixa, el pis i les golfes. Al segle XX, s&rsquo;hi va afegir una planta m&eacute;s, amb l&rsquo;addici&oacute; d&rsquo;una altra finestra coronella que no &eacute;s pr&ograve;pia de la casa. De la fa&ccedil;ana antiga, destaca el portal de llinda plana amb m&egrave;nsules, i el finestral d&rsquo;arc conopial lobulat del primer pis.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto09.jpg,"(41.608497, 2.2874979999999998)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Can March, segle XVI",10,"Pla&ccedil;a de l&rsquo;Oli, 4 - Doctor Riera, 4

&Eacute;s un dels casals m&eacute;s ben conservats de la ciutat. En el primer ter&ccedil; del segle XX, es va sobreal&ccedil;ar el cos de les galeries, es va treure el r&agrave;fec volad&iacute;s, es va construir una cornisa sobre m&egrave;nsules a la coberta i s&rsquo;hi va afegir un escut nou de Granollers amb la data de 1527. Tamb&eacute; es van convertir en balc&oacute; les finestres del segon pis, que durant la restauraci&oacute; de l&rsquo;any 2001 han tornat al seu estat original. A la planta baixa, una porta d&rsquo;arc de mig punt conserva a la pedra clau uns angelets que sostenen un escut amb la inscripci&oacute;: &ldquo;&Dagger; /O/T/G/1541&rdquo;. A l&rsquo;interior de la casa hi ha una altra pedra clau amb la mateixa inscripci&oacute; i la data de 1532. Les finestres dels pisos superiors estan decorades amb guardapols motllurats que arrenquen dels caps de diversos personatges, entre els quals cavallers amb capmall.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto10.jpg,"(41.608474999999999, 2.2877540000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Les muralles, segle XIV-XVI",11,"Granollers va estar envoltada de muralles des de finals del segle XIII fins a mitjan segle XIX. Les restes actuals corresponen a les del privilegi concedit per l'infant Joan l'any 1366, pel qual es construirien murs, valls, corredossos i torres de fortificaci&oacute;. La muralla, estava protegida per onze torres de planta quadrada i un cam&iacute; de ronda, els corredossos. El per&iacute;metre de forma hexagonal amidava 816 metres, els murs tenien un gruix entre 1 metre i 1,20 metres d'amplada, i una al&ccedil;ada de 5 metres. En les excavacions dels darrers anys, s&rsquo;ha documentat el vall de la muralla que tenia uns set metres d&rsquo;amplada des de la l&iacute;nia de la muralla, i tres de les torres. Tamb&eacute; s'ha descobert fa poc i posat en valor, la base atalussada d'una torre rodona a l'angle NE. Aquesta torre, datada entre finals del segle XIV i primer ter&ccedil; del XVI, va substituir, per raons que encara desconeixem, la torre quadrada que hi havia en aquell lloc.
Aquesta torre rodona va romandre dempeus fins a mitjans del segle XIX en que va ser enderrocada per ampliar l&rsquo;antiga pla&ccedil;a del Bestiar, que s'havia vist redu&iuml;da pel pas de la carretera nacional.

Els corredossos de les muralles

Els corredossos o cam&iacute; de ronda &eacute;s un passad&iacute;s que es constru&iuml;a dins del per&iacute;metre intern de les muralles a fi de vigilar el camp i transitar-hi sense perill. A Granollers es conserven tots els corredossos, ja que no hi ha edificacions adossades a l&rsquo;interior de la muralla. El corredor de la Const&agrave;ncia, juntament amb el de Jaume Camp, &eacute;s el tram de muralla m&eacute;s llarg que es conserva, i un dels punts on encara es poden veure els merlets sencers, els altres estan en el corredor de Sant Crist&ograve;fol cantonada amb el carrer de Barcelona.

Els portals i les capelles de les muralles
segles XIV-XVI

La muralla s&rsquo;obria a l&rsquo;exterior a trav&eacute;s de cinc portals que enlla&ccedil;aven la vila amb els camins que hi passaven. Al segle XVI se&rsquo;n va obrir un altre, anomenat el Portalet. En aquesta mateixa &egrave;poca el consell de la vila acord&agrave; construir capelles damunt dits portals d'entrada, sota l&rsquo;advocaci&oacute; de diferents sants, la devoci&oacute; als quals va tenir tanta repercussi&oacute; que va acabar per canviar el nom dels portals i aix&iacute; passaren a anomenar-se: de Santa Anna; de Sant Crist&ograve;fol; de Santa Esperan&ccedil;a; de Sant Roc, i de Sant Antoni.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto11.jpg,"(41.608784999999997, 2.2888709999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Portal de Corró i capella de Sant Antoni, segles XIV-XVI",12,"Indret on s&rsquo;obria el portal antic de la muralla, en el cam&iacute; que condu&iuml;a cap a Vic i Girona. L&rsquo;any 1567 s&rsquo;hi edific&agrave; una capella dedicada a Sant Antoni. Des del segle XVII, l&rsquo;advocaci&oacute; va correspondre a Santa Elisabet. La capella va desapar&egrave;ixer l&rsquo;any 1861.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto12.jpg,"(41.608916999999998, 2.287801)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Portal de la Roca i capella de Santa Esperança, segles XIV-XVI",13,"El portal de la Roca corresponia a l'antic cam&iacute; que enlla&ccedil;ava Granollers amb Matar&oacute;, seguint el tra&ccedil;at de la via romana de Caldes a Iluro. La capella va ser constru&iuml;da en el segle XVI i enderrocada a la segona meitat del segle XIX. Despr&eacute;s fou reconstru&iuml;da sobre un arc en el corredor de Santa Esperan&ccedil;a.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto13.jpg,"(41.607590000000002, 2.2885360000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Portal de Bell-lloc i capella de Sant Roc, segles XIV-XVI",14,"Portal de la muralla medieval del segle XIV que s&rsquo;obria al cam&iacute; de Cardedeu, (anomenat de Bell-lloc) i Girona. La capella constru&iuml;da al segle XVI estava dedicada a Sant Roc. En el 1859 va ser traslladada i constru&iuml;da sobre el mur de la muralla.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto14.jpg,"(41.608260000000001, 2.2887919999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Portal de Caldes i capella de Santa Anna, segles XIV-XVI",15,"El portal de Caldes est&agrave; documentat des del 1332. La capella de Santa Anna va ser edificada sobre el portal, l'any 1563. En el 1852, quan es va construir la caserna, es va enderrocar una part de la muralla, el portal i la capella es trasllad&agrave; a un costat, sobre una casa constru&iuml;da a la paret de la muralla, tal com ara es coneix.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto15.jpg,"(41.608798, 2.2861880000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Portal de Barcelona i capella de Sant Cristòfol, segles XIV-XVI",16,"La refer&egrave;ncia m&eacute;s antiga del portal &eacute;s de l&rsquo;any 1316, en qu&egrave; Francesc Marqu&egrave;s, senyor del castell de la Roca, va fer lliurament als representants del rei Jaume II de tots els drets que tenia sobre la vila de Granollers. La capella, constru&iuml;da al segle XVI, sobre el portal estava dedicada a Sant Crist&ograve;fol. En el 1854, en ser enderrocat el portal, es va traslladar a un lateral del carrer i va ser destru&iuml;da definitivament en els primers decennis del segle XX.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto16.jpg,"(41.607339000000003, 2.2870400000000002)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,El Portalet,17,"La not&iacute;cia m&eacute;s antiga del Portalet &eacute;s de 1559, quan el consell de la vila arrenda la torre que hi havia en dit portal. Aquest portal petit es va obrir a la muralla per comunicar l&rsquo;interior de la ciutat amb el carrer Nou i fou enderrocat juntament amb la torre de defensa que estava ubicada en aquell punt l&rsquo;any 1931.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto17.jpg,"(41.607382999999999, 2.2875160000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casal dels Tagamanent, dita del Conestable, segle XV",18,"Carrer de Sant Roc, 10

Casal g&ograve;tic de la fam&iacute;lia Tagamanent on va morir el Conestable Pere de Portugal l&rsquo;any 1466. Nom&eacute;s es conserva la part central de l&rsquo;edifici antic. A l&rsquo;exterior destaca el portal adovellat de mig punt, el finestral g&ograve;tic d&rsquo;arc trevolat del primer pis i la finestra conopial a la segona planta. A l&rsquo;interior conserva diverses finestres i arcades. La fam&iacute;lia dels Tagamanent entronc&agrave; amb els Montbui i els Rocabert&iacute;.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto18.jpg,"(41.608277999999999, 2.288637)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XVI",19,"Carrer de Santa Anna, 8

Edifici de planta baixa i dos pisos. Destaca al primer pis un finestral d&rsquo;arc conopial ornamentat amb traceries. Sota la l&iacute;nia d&rsquo;impostes hi ha esculpits dos &agrave;ngels en mig relleu. Tot l&rsquo;arc est&agrave; emmarcat per un guardapols.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto19.jpg,"(41.608716000000001, 2.2866909999999998)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XVI",20,"Carrer de Santa Esperan&ccedil;a, 2

Edifici amb un portal d&rsquo;arc de mig dovellat i una finestra de llinda plana a la planta primera.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto20.jpg,"(41.60772, 2.287893)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XV",21,"Carrer de Santa Esperan&ccedil;a, 4

Edifici amb un portal de llinda plana i un finestral geminat de pedra d&rsquo;arc trevolat sobre impostes al primer pis.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto21.jpg,"(41.607697000000002, 2.2879299999999998)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,Església de Sant Esteve,22,"La primera refer&egrave;ncia documental &eacute;s de l'any 972, per&ograve; no se'n coneixen les restes arqueol&ograve;giques. Entre els segles XI i XII se'n va bastir una altra, sobre la qual es va construir l'esgl&eacute;sia g&ograve;tica entre els segles XV i XVI. Igual que la rom&agrave;nica estava orientada cap a l'est, era de planta rectangular i absis poligonal i va ser enderrocada durant la Guerra Civil de 1936. Tenia dues portes d'acc&eacute;s,  la g&ograve;tica a la fa&ccedil;ana sud i l'antiga rom&agrave;nica a ponent. En els segles XVII i XVIII, l'esgl&eacute;sia g&ograve;tica es va ampliar per la banda nord amb les capelles del Roser i del Sant&iacute;ssim. L'any 1940 es va iniciar la construcci&oacute; de l'actual temple, obra de Joan Boada i Barba.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto22.jpg,"(41.607700000000001, 2.2864239999999998)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Campanar de Sant Esteve, segle XV",23,"&Eacute;s l'&uacute;nic vestigi que queda &quot;in situ&quot; de l'antiga esgl&eacute;sia g&ograve;tica de Sant Esteve, bastida en el segle XV sobre l'edifici rom&agrave;nic. &Eacute;s una torre de 34 metres d'altura que consta de tres cossos, el primer de planta quadrada i els altres octogonals, amb finestrals de traceria trilobulada g&ograve;tica, coronat per una barana de motius entrella&ccedil;ats. Al Museu de Granollers es conserven m&egrave;nsules i capitells procedents de l'esgl&eacute;sia g&ograve;tica.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto23.jpg,"(41.607936000000002, 2.286394)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,Adoberia dels Ginebreda. Jaciment arqueològic,24,"La documentaci&oacute; coneguda fins ara fa pensar que a Granollers, sobretot en el segle XVI, hi havia una especial dedicaci&oacute; al treball de la pell, per les refer&egrave;ncies que es troben sobre els blanquers als llibres de deliberacions del Consell de la vila o als oficis de molts dels seus ciutadans. Tamb&eacute; es coneixia l&rsquo;exist&egrave;ncia d&rsquo;algunes adoberies pel lloguer de les torres de la muralla (en el 1562, la dels Ginebreda i la d&rsquo;en Reverter), per&ograve; que, en principi, no permetien ubicar-les en un lloc exacte de la vila medieval. A partir de les excavacions de la pla&ccedil;a de l&rsquo;Esgl&eacute;sia, ha sortit a la llum la que seria l&rsquo;adoberia dels Ginebreda que, si b&eacute; de moment, la documentaci&oacute; arqueol&ograve;gica nom&eacute;s demostra que va estar en &uacute;s durant els segles XVII i XVIII, la conclusi&oacute; de la investigaci&oacute; i de les an&agrave;lisis qu&iacute;miques de sediments i pigments ens han de permetre confirmar que &eacute;s la seva darrera fase. Per tant, &eacute;s molt probable que l&rsquo;adoberia dels Ginebreda, que surt a la documentaci&oacute; del segle XVI, s&rsquo;hagu&eacute;s reutilitzat fins al segle XVIII, a trav&eacute;s del reconeixement de b&eacute;ns que fa Bernat Sol&agrave;, mercader, al rector del Col&middot;legi dels Jesu&iuml;tes de Betlem de Barcelona, cosa que concordaria exactament amb l&rsquo;adoberia trobada davant la pla&ccedil;a de l&rsquo;Esgl&eacute;sia.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto24.jpg,"(41.607441999999999, 2.2863000000000002)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,Passadís de la Rectoria,25,"Aquest punt permet veure la part externa del mur de la muralla, ja que al contrari de la majoria de les ciutats medievals, el recorregut de les muralles a Granollers &eacute;s fa per l&rsquo;interior dels corredossos.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto25.jpg,"(41.607681999999997, 2.2858480000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Can Puntes, segle XVI - XX",26,"Carrer de Santa Elisabet, 12

Antic edifici dels segle XVI, a la fa&ccedil;ana es conservava un escut de la vila de Granollers amb la data de 1515, actualment a l'Adoberia dipositat per &ldquo;la M&uacute;tua&rdquo;. Fou remodelat per Manuel J. Raspall i Mayol entre els anys 1910&ndash;1912, els pl&agrave;nols els sign&agrave; E. M. Balcells. A la fa&ccedil;ana en destaquen els esgrafiats amb motius florals i la forja de les reixes de les finestres. L&rsquo;&uacute;ltima reforma va ser els anys 1987-1988.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto26.jpg,"(41.609087000000002, 2.2878759999999998)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Can Medalla, segle XVI",27,"Carrer de Corr&oacute;, 3

Casa fora muralla que havia estat durant un temps l'hospital de la vila, a la segona meitat del segle XVI. Destaca el portal de pedra amb arc de mig punt adovellat i la finestra &eacute;s d'estil renaixentista amb la data de 1565.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto27.jpg,"(41.609192999999998, 2.2878440000000002)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa de Cultura Sant Francesc
Antic convent de Sant Francesc, segle XVI",28,"Carrer d&rsquo;Esp&iacute; Grau, 1

Esgl&eacute;sia del convent de l&rsquo;orde dels franciscans, fundat l&rsquo;any 1578, situat fora muralles. Despr&eacute;s de la desamortitzaci&oacute; es va utilitzar per a activitats diverses i va perdre part de les seves construccions. L&rsquo;any 1956 va ser reformada pels arquitectes Josep M. Martorell i Oriol Bohigas com a seu de la Fundaci&oacute; Maspons i Camarassa.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto28.jpg,
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Biblioteca Can Pedrals, segle XVIII",29,"Carrer d&rsquo;Esp&iacute; Grau, 2

Casa del segle XVIII rehabilitada a partir de 1991 i reutilitzat com a biblioteca municipal l&rsquo;any 1995. Destaquen les portes d&rsquo;arc rebaixat, el medall&oacute; esculpit amb la cara d&rsquo;un personatge amb la data de 1783 i la capelleta en forn&iacute;cula de tipologia barroca.
",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto29.jpg,"(41.608907000000002, 2.2883719999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XVI",30,"Carrer de Corr&oacute;, 25

Casa del segle XVI, edificada en els terrenys de l&rsquo;antic hospital de Sant Dom&egrave;nec. Reformada en diverses ocasions, l&rsquo;actual configuraci&oacute; &eacute;s el resultat de les obres fetes per l&rsquo;arquitecte Jos&eacute; Garcia Alca&ntilde;iz l&rsquo;any 1941. En el 1908 es va proposar una reforma que alguns atribueixen a l&rsquo;arquitecte Manuel J. Raspall, i que sign&agrave; E. M. Balcells. De l&rsquo;obra inicial destaca la llinda d&rsquo;una finestra (ara reconvertida en balc&oacute;) amb la data de 1565, i un escut amb gossos a l&rsquo;interior, flanquejat per dos angelets.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto30.jpg,"(41.609715999999999, 2.2879689999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Sala Tarafa, Antic Hospital, segle XIV",31,"Carrer de Corr&oacute;, 47

Antic hospital de la vila, documentat des de l&rsquo;any 1328. Va ser fundat per Bertran de Seva per acollir i atendre pobres, pelegrins i malalts. Es tracta d&rsquo;una sala rectangular, coberta amb tres arcs diafragmes que sostenen un embigat de fusta a doble vessant, amb un absis a ponent cobert amb volta apuntada. L&rsquo;any 1926, l&rsquo;arquitecte Manuel J. Raspall va reformar la sala g&ograve;tica per instal&middot;lar-hi la biblioteca municipal Francesc Tarafa. L&rsquo;interior es va decorar amb elements modernistes. A la fa&ccedil;ana s&rsquo;hi van col&middot;locar dos finestrals g&ograve;tics procedents d&rsquo;una antiga casa i s&rsquo;hi va fer un roset&oacute; de pedra picada.",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto31.jpg,"(41.610183999999997, 2.2879520000000002)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casal, segles XV-XVI",32,"Carrer de Barcelona, n&uacute;m. 2-4-6

Antigament aquestes tres cases en formaven una sola, tal com deixen veure els portals interiors que comunicaven els tres immobles, ara tapiats. Aquests edificis conserven nombrosos elements arquitect&ograve;nics que denoten l&rsquo;antiguitat de la casa, ja que est&agrave; situada a la part m&eacute;s antiga de la vila. Entre els elements m&eacute;s significatius hi ha els portals de pedra que donen al carrer Barcelona, una finestra lobulada del segle XV i una altra de caire goticitzant, tamb&eacute;, les llindes d&rsquo;una porta i una finestra en les que encara es pot veure un escut que representa un bonet. Durant les prospeccions realitzades per poder rehabilitar l&rsquo;edifici, van apar&egrave;ixer d&rsquo;altres elements arquitect&ograve;nics que denoten la noblesa de l&rsquo;edifici. Aix&iacute; a la planta es va documentar una font de pedra decorada amb una creu patada entrella&ccedil;ada amb corda. En el primer pis una porta de pedra de llinda plana, amb un bonet al centre, igual que la del carrer Barcelona, 4 i una espl&egrave;ndida porta d&rsquo;arc de mig punt de tipus rom&agrave;nic al costat d&rsquo;una paret feta de carreuons amb &ldquo;opus spicatum&rdquo;, que contrasta amb les parets de t&agrave;pia de la majoria de les estances.
",http://granollers.cat/sites/default/files/rutes/rutapatrimoni-foto32.jpg,"(41.607798000000003, 2.2870089999999998)"
