CODI,ADREÇA,BARRI,LOCALITZACIÓ,IMMOBILIÀRIA,SITUACIÓ,INFORMACIÓ EXTRA,TELÈFON
259,"Carrer Santa Esperança 4, Granollers",GRANOLLERS CENTRE,"(41.607692, 2.287942)",QHABITA,LLOGUER,,629660472
260,"Carrer SAnt Josep de Calassanç 119, Granollers",SANT MIQUEL,"(41.600509, 2.289152)",Finques Cot,LLOGUER,,678743813
261,"Carrer Sant Jaume 35, Granollers",GRANOLLERS CENTRE,"(41.606367, 2.285739)",Particular,LLOGUER,,657367473
263,"Carrer Roger de LLúria 31, Granollers",SOTA EL CAMÍ RAL,"(41.603322, 2.283068)",Finques Marcel,LLOGUER,,938791767
264,"Carrer Roger de Flor 77, Granollers",SOTA EL CAMÍ RAL,"(41.606193, 2.283233)",Particular,LLOGUER,,636292351
265,"Carrer Rec 18, Granollers",INSTITUTS,"(41.609445, 2.285226)",Arderiu Consulting,LLOGUER,,938468256
266,"Carrer Princesa 61, Granollers",SOTA EL CAMÍ RAL,"(41.604417, 2.284467)",FORCADELL,LLOGUER,,938792003
267,"Carrer Princep de Viana 2, Granollers",GRANOLLERS CENTRE,"(41.605986, 2.288001)",Finques Marcel,LLOGUER,,938791767
268,"Carrer Primer de les Franqueses 28, Granollers",LLEDONER,"(41.618201, 2.291913)",Particular,LLOGUER,,938491907
269,"Carrer Pere el Gran 12, Granollers",LLEDONER,"(41.618421, 2.293049)",Particular,LLOGUER/VENDA,,625391673
270,"Carrer Navarra 67, Granollers",SOTA EL CAMÍ RAL,"(41.603947, 2.284773)",Finques Coll/ Bernabé Group,LLOGUER,,695904491
271,"Carrer Navarra 45, Granollers",SOTA EL CAMÍ RAL,"(41.603949, 2.285533)",Ferrer Consulting,LLOGUER,,609461730
272,"Carrer Navarra 36, Granollers",SOTA EL CAMÍ RAL,"(41.604026, 2.285443)",Finques Cot,LLOGUER,,678743813
273,"Carrer Navarra 23, Granollers",SANT MIQUEL,"(41.603891, 2.286742)",Finques Marcel,LLOGUER,,931282171
274,"Carrer Navarra 19, Granollers",SANT MIQUEL,"(41.603881, 2.286872)",Santi Collell,LLOGUER,,938793165
275,"Carrer Navarra 10, Granollers",GRANOLLERS CENTRE,"(41.603948, 2.287071)",Finques Marcel,LLOGUER,,931282171
276,"Carrer Montserrat Roig 17, Granollers",CAN BASSA,"(41.593711, 2.288452)",h-entorn.cat,LLOGUER/VENDA,,639776231
277,"Carrer Martí Grivé 22, Granollers",SANT MIQUEL,"(41.603627, 2.28926)",CORSO,LLOGUER,,938600436
278,"Carrer Martí Grivé 4, Granollers",SANT MIQUEL,"(41.603727, 2.288309)",blocs.net,VENDA,,938708856
279,"Carrer Maria Palau 27, Granollers",CONGOST,"(41.614643, 2.279803)",Particular,LLOGUER,,938497311
280,"Carrer Magallanes 8, Granollers",TRES TORRES,"(41.600572, 2.283843)",LLOGUER,,,630015741
281,"Carrer Llevant 68, Granollers",SANT MIQUEL,"(41.601479, 2.291342)",Particular,VENDA,,619735616
282,"Carrer Torres i Bages 24, Granollers",GRANOLLERS CENTRE,"(41.610515, 2.287684)",Finques Marcel,LLOGUER,,938791767
283,"Carrer Josep Maria de Segarra 41, Granollers",FONT VERDA,"(41.609329, 2.294762)",Eminad,LLOGUER,,938703666
284,"Carrer Joan Prim 288, Granollers",LLEDONER,"(41.617355, 2.291673)",Bonnemasion,,,626334373
285,"Carrer Girona 335, Granollers",LLEDONER,"(41.620826, 2.293166)",Finques,VENDA,,647850133
286,"Carrer Girona 206, Granollers",GRANOLLERS NORD,"(41.6151, 2.292496)",Particular,,,938872095
287,"Carrer Girona 191, Granollers",LLEDONER,"(41.6168, 2.292719)",Particular,LLOGUER,,686840898
288,"Carrer Girona 75, Granollers",JOAN PRIM CENTRE,"(41.61257, 2.291418)",Fincas&Ro,LLOGUER,,938705976
289,"Carrer Joan Pere Fontanella 25, Granollers",SOTA EL CAMÍ RAL,"(41.605253, 2.284649)",Particular,LLOGUER,,637809777
290,"Carrer Esteve Terrades 12, Granollers",SANT MIQUEL,"(41.598827, 2.290082)",Particular,,,
291,"Carrer Espanya 4, Granollers",GRANOLLERS CENTRE,"(41.61067, 2.287206)",Finques Marcel,LLOGUER,,938791767
292,"Carrer Enginyer 7-9, Granollers",GRANOLLERS CENTRE,"(41.609783, 2.291002)",finques COT,LLOGUER,,938705976L
293,"Carrer Enginyer 15, Granollers",GRANOLLERS CENTRE,"(41.609717, 2.291451)",Particular,LLOGUER,,938491907
294,"Carrer Enginyer 11-13, Granollers",GRANOLLERS CENTRE,"(41.609743, 2.291222)",Particular,VENDA,,618060015
295,"CArrer Prat de la Riba 63, Granollers",SANT MIQUEL,"(41.602725, 2.284997)",Finques Moveva,,,938705523
296,"Carrer Prat de la Riba 60, Granollers",SOTA EL CAMÍ RAL,"(41.602826, 2.284816)",Finques Marcel,LLOGUER,,938791767
297,"Carrer Barcelona 92, Granollers",GRANOLLERS CENTRE,"(41.6054, 2.287038)",Santi Collell,LLOGUER,,938793165
298,"Carrer Antoni Gaudí 65, Granollers",CONGOST,"(41.613308, 2.27965)",Arderiu Consulting/Modest Bellavista,LLOGUER,,938468256 / 938706842
299,"Carrer Alvarez de Castro 33, Granollers",SANT MIQUEL,"(41.600629, 2.289333)",Inmodinàmic,LLOGUER,,620987953
300,"Carrer Alvarez de Castro 32, Granollers",SANT MIQUEL,"(41.600548, 2.289298)",Finques Colomina,VENDA,,617420477
302,"Carrer Alexander Fleming 24, Granollers",FONT VERDA,"(41.611788, 2.295798)",Particular,VENDA,,657940440
303,"Carrer Almogàvers 21, Granollers",PONENT,"(41.612087, 2.286286)",Particular,LLOGUER,,610289171
304,"Cami Vell de Canovelles 3, Granollers",CONGOST,"(41.611987, 2.281757)",Don Piso,,,697323311
306,"Camí Vell de Canovelles 68, Granollers",CONGOST,"(41.613551, 2.282894)",Particular,LLOGUER,,608892023
307,"Avinguda Maria Curie 5-7, Granollers",CAN BASSA,"(41.594862, 2.287128)",Finques Forcadell,LLOGUER/VENDA,,938792003
308,"Carretera de Caldes 2, Granollers",CONGOST,"(41.611745, 2.281302)",Immotecnics,LLOGUER/VENDA,,931143231
309,"Carrer Bartomeu Brufalt 2, Granollers",GRANOLLERS NORD,"(41.613443, 2.294842)",Particular,LLOGUER,,938872095
310,"Carrer Aníbal 60, escala B",SOTA EL CAMÍ RAL,"(41.606845, 2.285386)",Particular,LLOGUER,,609361679 / 938618211
305,"Camí Vell de Canovelles 10, Granollers",CONGOST,"(41.611938, 2.281845)",Particular,LLOGUER/VENDA,,657138886
