nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación de Mujeres de Ramonete","Asociación de Mujeres","495","G-73073561","Paraje La Lebrilleras, Diputación Ramonete","30876","","","649 120 257","","","25/02/2000 0:00:00"
"Asociación de Mujeres de Santa María","Asociación de Mujeres","40","G-30338560","C/ Sicilia s/n","30800","","","678 976 250","","",""
"Asociación de Mujeres de Zarzadilla","Asociación de Mujeres","105","G-73006744","Dip. Zarzadilla de Totana, C/ Constitución, s/n","30814","","","660 353 343","","","02/10/1998 0:00:00"
"Asociación de Mujeres del Barrio de los Ángeles","Asociación de Mujeres","41","G-30428981","Paseo de los Ángeles, 3 -Bajo","30800","","","968 441 019","","ginibermejo@gmail.com","04/10/1994 0:00:00"
"Asociación de Mujeres de Tiata","Asociación de Mujeres","42","G-30428361","Dip. Tiata, Camino Parador de los Seguras, s/n, Panel 5, Buzón 28","30800","","","669 311 545","","","07/10/1994 0:00:00"
"Asociación de Mujeres de la Dip. Rïo","Asociación de Mujeres","46","G-30429765","Diputación de Río, Barrio Corazón de María, s/n","30800","","","616 326 069","","","22/09/1994 0:00:00"
"Asociación Centro de la Mujer de San José","Asociación de Mujeres","31","G-30283709","Parque Pepe Plazas y María Carrillo, nº1","30800","","","607 484 369","","","13/02/1991 0:00:00"
"Federación de Organizaciones de Mujeres de Lorca","Asociación de Mujeres","88","B-30381305","Asociación de Vecinos de San José","30800","","","646 394 434","","federmujerlorca@hotmail.com","01/07/1993 0:00:00"
"Asociación de Mujeres del Barrio de San Antonio","Asociación de Mujeres","51","G-30436281","C/ Mariscal Pedro Musso","30800","","","628 537 722- 686 905 893","","","20/12/1994 0:00:00"
"Asociación de Mujeres de Ramblilla de Tejares","Asociación de Mujeres","44","G-30430698","C/ Ortega de Melgares s/n, bajo","30800","","","618 771 728","","","17/09/1994 0:00:00"
"Centro de la Mujer del Calvario","Asociación de Mujeres","43","G-30359889","C/ Cabezo de Vélez","30800","","","","","",""
"Centro de la Mujer del Barrio Apolonia","Asociación de Mujeres","312","J-73192361","Avda Fuerzas Armadas nº41, bajo","30800","","","618 251 703","","","22/04/2003 0:00:00"
"Asociación de la Mujer de la Dipuración de La Torrecilla","Asociación de Mujeres","32","G-30382642","Camino Cabalgadores s/n","30817","","","676 032 707","","","01/01/2004 0:00:00"
"Asociacion de Mujeres Venta Ceferino","Asociación de Mujeres","491","G-73365884","Venta Ceferino, buzón 19","30813","","","680174343","","","02/12/2004 0:00:00"
"Asociación de Mujeres de Doña Inés","Asociación de Mujeres","93","G-30584452","C/ Las Escuelas, Dip. Doña Inés-","30812","","","618 546 449","","lamazu60@hotmail.com","19/11/1997 0:00:00"
"Asociaición de Mujeres de Betania","Asociación de Mujeres","410","G-73612350","Santa Quiteria nº, 22, B","30800","","","968 473 795","","asobetania@yahoo.es","28/06/2008 0:00:00"
"Asociación de Mujeres Las Terreras","Asociación de Mujeres","404","G-73587685","Dip. La Paca, Las Terreras, Avda Juan Carlos I.","30812","","","678 770 973","","","17/06/2008 0:00:00"
"Asociación de Mujeres del Barrio de San Fernando","Asociación de Mujeres","73","G-30474126","Barrio de San Fernando (Local Social)","30800","","","687 016 548","","",""
"Asociación de Mujeres de San Lázaro","Asociación de Mujeres","47","G-30415624","C/Almazaro de bravo, nº16","30800","","","647 077 159- 661 930 048","","azuldisen2@hotmail.com","01/01/1994 0:00:00"
"Asociación de Mujeres Virgen de las Huertas","Asociación de Mujeres","494","","Plaza Rey el Sabio, s/n","30800","","","646 735 963","","","20/05/1993 0:00:00"
"Asociación de Mujeres de Marchena","Asociación de Mujeres","57","G-30435796","Local Josefina Olmos de Dip. de Marchena","30815","","","662 169 239","","","27/10/1994 0:00:00"
"Asociación de Mujeres de Riopar","Asociación de Mujeres","405","G-73003410","Local Social de Dipuatación Parrilla (El Consejero)","30811","","","968 436 072","","anabelenng@hormail.com","26/04/2004 0:00:00"
"Asociación de Mujeres de San Juan Bautista de Morata","Asociación de Mujeres","107","G-30596035","Local Social de Morata (Junto a la iglesia parroquial)","30878","","","610 222 910","","","22/05/1998 0:00:00"
"Asociación de Mujeres del Barrio Alfonso X el Sabio","Asociación de Mujeres","39","G-30431506","C/ Tenor José Romeu, Centro Cívico","30800","","","679488562","","","23/11/1994 0:00:00"
"Asociación de Mujeres de Pulgara","Asociación de Mujeres","65","G-30476030","Carretera de la Pulgara","30800","","","650 479 309","","","24/06/1995 0:00:00"
"Asociación de Mujeres de La Parroquia","Asociación de Mujeres","66","G-30477384","C/ Dr. Rodríguez, 1","30811","","","","","","01/01/1995 0:00:00"
"Asociación de Mujeres Emprendedoras de Lorca","Asociación de Mujeres","86","G-30549323","Plaza del Trabajo, 2","30800","","","","","","21/04/1997 0:00:00"
"Asociación de Mujeres Progresistas de Lorca","Asociación de Mujeres","281","G-30269039","Camino del Mojón (Tercia), nº 18","30815","","","661774428","","","24/05/1990 0:00:00"
"MUJERES UNIDAS EN EL MUNDO APORTANDO AL DESARROLLO MHAM MUAD ONG","Asociación de Mujeres","526","G-73437360","C/ Cerro de la Muela, s/n. Polígono Los Peñones","30800","","","615 449 384","","","16/06/2014 0:00:00"
