tipo_servicio,servicio,telefono,fax,web,email,ubicado,direccion,localidad,provincia,cp,longitud,latitud
"Servicios culturales","UNED","34968443214","34968477565","","info@lorca.uned.es","Campus Universitario de Lorca","Campus Universitario de Lorca","Lorca","Murcia","30800","-1.68533763958135","37.6830604629901"
"Servicios culturales","Palacio de Guevara","34968466321","","","","Palacio de Guevara","C/ Lope Gisbert, s/n","Lorca","Murcia","30800","-1.69769323540845","37.6749342773974"
"Servicios culturales","Museo Arqueológico","34968406267","","http://www.museoarqueologicodelorca.com","","Museo Arqueológico Municipal","Plaza Juan Moreno s/n","Lorca","Murcia","30800","-1.69683224631467","37.678458281184"
"Servicios culturales","Lorca Taller del Tiempo","34968479003","","http://www.lorcatallerdeltiempo.com","info@lorcatallerdeltiempo.com","La Merced (Gerencia de Urbanismo)","Puente La Alberca s/n","Lorca","Murcia","30800","-1.69656134320417","37.679574888426"
"Servicios culturales","Centro de Artesanía","34968463912","","","","Centro regional de artesanía","C/ Lope Gisbert","Lorca","Murcia","30800","-1.69779381824651","37.6747389662682"
"Servicios culturales","Centro cultural y Biblioteca Infantil","34968462401","","http://www.bibliotecasmunicipales.lorca.es","bibliotecalorca@lorca.es","Centro Cultural de la ciudad","C/ Presbítero Emilio García s/n","Lorca","Murcia","30800","-1.69722250772634","37.6741700135269"
"Servicios culturales","Biblioteca pública Pilar Barnés","34968473130","","http://www.bibliotecasmunicipales.lorca.es","bibliotecalorca@lorca.es","Biblioteca Pilar Barnés","Plaza Real s/n","Lorca","Murcia","30800","-1.69626630021253","37.6772482505604"
"Servicios culturales","Archivo Municipal","34968466986","","http://www.culturayfestejos.lorca.es/archivo/","eduardo.sanchez@lorca.es","Archivo Municipal","Casa de los Alburquerque (C/ Selgas, nº 8)","Lorca","Murcia","30800","-1.70036605669179","37.6761337312107"
"Servicios de Contratación y Oficina del Padrón","Supervisión de Proyectos","34968461071","34968461079","","","Archivo Municipal","Casa de los Alburquerque (C/ Selgas, nº 8)","Lorca","Murcia","30800","-1.70036605669179","37.6761337312107"
"Servicios de Contratación y Oficina del Padrón","Oficina del Padrón","34968479709","","","","Calle Selgas (Estadística y Turismo)","C/ Selgas","Lorca","Murcia","30800","-1.70040897203603","37.6750383015933"
"Servicios de Contratación y Oficina del Padrón","Servicio de Estadística, Relaciones con Otras Administraciones, Pedanías y Promoción Turística","34968479709","34968479714","","","Calle Selgas (Estadística y Turismo)","C/ Selgas","Lorca","Murcia","30800","-1.70040897203603","37.6750383015933"
"Servicios de Deportes","Ciudad Deportiva de La Torrecilla","34968463372","","http://www.deportes.lorca.es/seccion.asp?id=63&idPadre=16","imjude@lorca.es","Ciudad Deportiva de La Torrecilla","La Torrecilla (junto Hospital Rafael Méndez)","Lorca","Murcia","30800","-1.73198393655934","37.6445678407939"
"Servicios de Deportes","Complejo Deportivo Felipe VI","34968406392","","http://www.deportes.lorca.es/seccion.asp?id=64&idPadre=16","imjude@lorca.es","Complejo Deportivo Felipe VI","C/ Juan Antonio Dimas","Lorca","Murcia","30800","-1.68874672723927","37.6774371864667"
"Servicios de Deportes","Complejo Futbolístico Artés Carrasco","34968466130","","http://www.deportes.lorca.es/seccion.asp?id=65&idPadre=16","imjude@lorca.es","Complejo Futbolístico Artés Carrasco","La Torrecilla (junto Hospital Rafael Méndez)","Lorca","Murcia","30800","-1.73582485986867","37.6395214901995"
"Servicios de Deportes","Campo de Fútbol Los Tollos","34968466130","","http://www.deportes.lorca.es/seccion.asp?id=101&idPadre=16","imjude@lorca.es","Campo de Fútbol Los Tollos","La Hoya","Lorca","Murcia","30800","-1.59382335020222","37.7004285792576"
"Servicios de Deportes","Campo de Fútbol Alfonso Embarre","34968466130","","http://www.deportes.lorca.es/seccion.asp?id=100&idPadre=16","imjude@lorca.es","Campo de Fútbol Alfonso Embarre","C/ Pareja, Los Ángeles","Lorca","Murcia","30800","-1.69015756918111","37.6875923141069"
"Servicios de Deportes","Pabellón Municipal de Las Alamedas","34968479320","","http://www.deportes.lorca.es/seccion.asp?id=99&idPadre=16","imjude@lorca.es","Pabellón Municipal de Las Alamedas","C/ Poeta Para Vico","Lorca","Murcia","30800","-1.69250718427815","37.6684696305301"
"Servicios de Deportes","Pabellón Municipal de La Hoya","34968481022","","http://www.deportes.lorca.es/seccion.asp?id=102&idPadre=16","imjude@lorca.es","Pabellón Municipal de La Hoya","La Hoya (Lorca)","Lorca","Murcia","30816","-1.58649555517354","37.7143405126244"
"Servicios de Deportes","Pabellón Municipal de Almendricos","34968466130","","http://www.deportes.lorca.es/seccion.asp?id=98&idPadre=16","imjude@lorca.es","Pabellón Municipal de Almendricos","C/ La Paza, Almendricos","Lorca","Murcia","30893","-1.77670708967366","37.46918932306"
"Servicios de Deportes","Pabellón y Piscina de San Antonio","34968461593","","http://www.deportes.lorca.es/seccion.asp?id=97&idPadre=16","imjude@lorca.es","Pabellón y Piscina de San Antonio","Bº San Antonio","Lorca","Murcia","30800","-1.71097151113667","37.6595009909149"
"Servicios de Deportes","Pabellón Municipal San José","34968463079","","http://www.deportes.lorca.es/seccion.asp?id=96&idPadre=16","imjude@lorca.es","Pabellón Municipal San José","C/ Benemérita 18","Lorca","Murcia","30800","-1.70512429548421","37.6659855277812"
"Servicios de Deportes","Casa del Deporte","34968466130","34968463511","http://www.deportes.lorca.es","imjude@lorca.es","Casa del Deporte","Alamedas de Lorca","Lorca","Murcia","30800","-1.69475755764165","37.6728707468811"
"Servicios de Igualdad de género","Oficina Municipal de Igualdad","34968466529","34968444250","http://concejaliadeigualdad.lorca.es/","concejaliadeigualdad@lorca.es","Centro de Desarrollo Local (CDL)","Alameda de Cervantes nº 30","Lorca","Murcia","30800","-1.69807813240209","37.6682127314507"
"Servicios de Juventud","Centro de Información Juvenil (2). INFORMAJOVEN","34968477566","","http://www.lorcajoven.es/","informajoven@lorca.es","Campus Universitario de Lorca","Campus Universitario de Lorca","Lorca","Murcia","30800","-1.68533763958135","37.6830604629901"
"Servicios de Juventud","Centro de Información Juvenil (1). INFORMAJOVEN","34968444643","","http://www.lorcajoven.es/","informajoven@lorca.es","Centro de Desarrollo Local (CDL)","Alameda de Cervantes nº 30","Lorca","Murcia","30800","-1.69807813240209","37.6682127314507"
"Servicios de Oficinas en pedanías","Oficina de pedanías en La Hoya","34968486721","","","","Oficina de pedanías en La Hoya","La Hoya","Lorca","Murcia","30816","-1.59476212335744","37.7108988466715"
"Servicios de Oficinas en pedanías","Oficina de pedanías en Almendricos","34968485010","","","","Oficina de pedanías en Almendricos","Almendricos","Lorca","Murcia","30893","-1.77606225013732","37.472473952477"
"Servicios de Oficinas en pedanías","Oficina de pedanías en La Pulgara","34968471521","","","","Oficina de pedanías en La Pulgara","Cmno. Puente El Chavo","Lorca","Murcia","30800","-1.68165414774762","37.669770461444"
"Servicios de Oficinas en pedanías","Oficina de pedanías en Purias","34968482550","","","","Oficina de pedanías en Purias","","Lorca","Murcia","30813","-1.65606132818379","37.5906586700944"
"Servicios de Oficinas en pedanías","Oficina de pedanías en La Paca","34968491190","","","","Oficina de pedanías en La Paca","","Lorca","Murcia","30812","-1.83526658156301","37.8692449197584"
"Servicios de Oficinas en pedanías","Oficina de pedanías en Zarcilla de Ramos","34968499415","","","","Oficina de pedanías en Zarcilla de Ramos","","Lorca","Murcia","30810","-1.87814973929312","37.8447555553959"
"Servicios de Oficinas en pedanías","Oficina de pedanías en Ramonete","34968158072","","","","Oficina de pedanías en Ramonete","","Lorca","Murcia","30876","-1.45211688352742","37.5331839507517"
"Servicios de Oficinas en pedanías","Oficina de pedanías en San Cristóbal","34968473798","","","","Oficina de pedanías en San Cristóbal","","Lorca","Murcia","30800","-1.69237843824544","37.6812455222504"
"Servicios de Sanidad","Correos","34968467112","34968467112","http://www.correos.es","","Oficina de Correos","C/ Musso Valiente","Lorca","Murcia","30800","-1.69733516050496","37.6752505954182"
"Servicios de Sanidad","Hospital Rafael Méndez","34968445500","","","","Hospital Rafael Méndez","","Lorca","Murcia","30800","-1.73419675899663","37.6443830688511"
"Servicios de Seguridad y Emegencias","Policía Nacional","34968477500","34968441151","http://www.policia.es","","Policía Nacional","Camino del Gato","Lorca","Murcia","30800","-1.69661364627996","37.6643782477722"
"Servicios de Seguridad y Emegencias","Guardia Civil","34968477452","","","","Guardia Civil","Ctra. Granada, 12","Lorca","Murcia","30800","-1.70374027563252","37.6649621381945"
"Servicios de Seguridad y Emegencias","Policía Local","34968443392","34968443398","http://www.policialocal.lorca.es/","policialocal@lorca.es","Centro Integral de Seguridad Ciudadana","Avda. alcalde José López Fuentes","Lorca","Murcia","30800","-1.69938005608276","37.657982574535"
"Servicios de Seguridad y Emegencias","Servicio 24 horas (Concejalía de Igualdad)","34968466529","","","","Centro de Desarrollo Local (CDL)","Alameda de Cervantes nº 30","Lorca","Murcia","30800","-1.69807813240209","37.6682127314507"
"Servicios de Seguridad y Emegencias","Protección Civil","34968471607","","","","Centro Integral de Seguridad Ciudadana","Avda. alcalde José López Fuentes","Lorca","Murcia","30800","-1.69938005608276","37.657982574535"
"Servicios de Seguridad y Emegencias","Bomberos","34968460704","34968460704","","","Bomberos","Ctra. Granada","Lorca","Murcia","30800","-1.71386293245473","37.6564899688588"
"Servicios de Transporte","Teletaxi Lorca","34968466666","","http://www.teletaxilorca.es","","Taxi","Óvalo de Santa Paula","Lorca","Murcia","30800","-1.69801644159475","37.6775008726187"
"Servicios de Transporte","Estación de Autobuses","34968441107","","","","Estación de Autobuses","C/ José Espinosa Pomares","Lorca","Murcia","30800","-1.69689527822652","37.6713782605511"
"Servicios de Transporte","Taxi Lorca","34968466466","","http://www.taxilorca.com","","Taxi","Óvalo de Santa Paula","Lorca","Murcia","30800","-1.69801644159475","37.6775008726187"
"Servicios de Transporte","Estación de Renfe","34902240202","","","","Estación de Renfe","Plaza de Carruajes","Lorca","Murcia","30800","-1.69632664991536","37.6720045564786"
"Servicios de Transporte","Radio Taxi","34968471110","","","lorpublic@msm.com","Taxi","Óvalo de Santa Paula","Lorca","Murcia","30800","-1.69801644159475","37.6775008726187"
"Servicios de Turismo","Oficina Municipal de Turismo","34968441914","34968466157","http://www.lorcaturismo.es/","ciudaddelsol@lorca.es","Oficina Municipal de Turismo","Plaza de España s/n","Lorca","Murcia","30800","-1.69909468961873","37.6766644567985"
"Servicios Sociales","Servicios Sociales","34968460411","","http://www.inmigrantesenlorca.es/","serviciossociales@lorca.es","Servicios Sociales","Alameda Cervantes (Junto CDL)","Lorca","Murcia","30800","-1.69769457651296","37.668059865461"
