nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociaci8ón de Padres de Alumnos Colegio Público Torrecilla","Asociación de Padres y Madres de Alumnos","144","G-30286025","Dip. Torrecilla, Ctra. de Granada s/n","30800","","","","","",""
"Asociación de Padres de Aumnos del Colegio Público San Cristóbal de Lorca","Asociación de Padres y Madres de Alumnos","145","G-30292718","Colegio Público San Cristóbal","30800","","","","","",""
"Asociación de Padres de Alumnos Escuela Infantil Eliosol de Lorca","Asociación de Padres y Madres de Alumnos","146","G-30503304","C/ Abellaneda","30800","","","","","",""
"Asociación de Madres y Padres de Alumnos del C.P. Virgen de las Huertas","Asociación de Padres y Madres de Alumnos","147","G-30285241","Dip. Cazalla, Vereda Alta, s/n","30818","","","","","",""
"Asociación de Madres y Padres de Alumnos del Colegio Ciudad del Sol","Asociación de Padres y Madres de Alumnos","148","G-73010688","Camino Viejo de San Julián, s/n","30800","","","968 477 687","","",""
"Asociación de Padres de Alumnos del Colegio Público Marchena","Asociación de Padres y Madres de Alumnos","149","G-30318778","Dip. Marchena, Colegio Público Narciso Yepes, Camino Condomina","30815","","","630 918 310","","agustin@aiaestudio.com","22/10/2003 0:00:00"
"Asociación de Madres y Padres de Alumnos del Colegio Público El Cambrón","Asociación de Padres y Madres de Alumnos","154","G-73095960","Dip. Parrilla, El Consejero","30811","","","","","",""
"Asociación de Padres de Alumnos del Col. Nal. Mixto de Zarzadilla de Totana","Asociación de Padres y Madres de Alumnos","168","G-30132112","Zarzadilla de Totana","","","","968 494 079","","",""
"Asociación de Madres y Padres de Alumnos del IES n 4 Príncipe de Asturias","Asociación de Padres y Madres de Alumnos","173","G-30371918","C/ Juan Antonio Dimas","30800","","","619 052 595","","",""
"Asociación de Padres de Alumnos del Colegio Público Juan González de Lorca","Asociación de Padres y Madres de Alumnos","177","G-30258180","Cañada de Morales, s/n","30800","","","968 441 209","","",""
"Asociación de Madres y Padres de Alumnos del IESO La Paca","Asociación de Padres y Madres de Alumnos","335","G-73239147","IESO Pedanías Altas","30812","","","","","","18/02/2003 0:00:00"
"Asociación de Madres y Padres de Alumnos del Colegio Público San Fernando","Asociación de Padres y Madres de Alumnos","426","G-30028724","Avda. de Santa Clara, s/n","30800","","","968 465 022","968 465 571                                       ","",""
"Asociación de Padres y Madres IES Nº 6 de Lorca","Asociación de Padres y Madres de Alumnos","451","G-73671695","Ramblilla de Tejares (Cañada de Morales), s/n","30800","","","678 150 729","","piliki74@hotmail.com","04/03/2010 0:00:00"
"Asociación de Madres y Padres de Alumnos del Colegio Ginés Arcas Romera","Asociación de Padres y Madres de Alumnos","467","G-73712523","Zarcilla de Ramos, Carretera de Lorca","30810","","","968 499 714","","",""
"Asociación de Madres y padres del CEIP San José de Lorca","Asociación de Padres y Madres de Alumnos","478","G-30064869","Alameda de los Tristes, s/n","30800","","","","","","06/03/2003 0:00:00"
"ASOCIACIÓN DE PADRES DE NIÑOS DEL CENTRO DE ATENCIÓN TEMPRANA DEL EXCMO. AYUNTAMIENTO DE LORCA","Asociación de Padres y Madres de Alumnos","531","G-30388045","C/ FRANCISCO ESCOBAR BARBERÁN, S/N. CASA DE LAS ONG´S","30800","","","662620589","","apatlorca2013@gmail.com","14/03/1986 0:00:00"
