nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación Deportiva Plan Social","Asociación Deportiva","72","G-30449466","C/ Pio XII, 19","30800","","","","","",""
"Club de Petanca de San Diego","Asociación Deportiva","74","G-30404719","Parque Casa Mata, s/n","30800","","","","","",""
"Club Deportivo UNAGRAS","Asociación Deportiva","76","G-30485205","C/ La Seda, Edificio La Seda, B-3, 1º D","30800","","","968 444 947","","",""
"Club de Tenis Los Álamos","Asociación Deportiva","77","G-30210504","Ctra. de Águilas, Km. 36","30800","","","968 461 300","968 465 650                                       ","clubdetenislosalamos@gmail.com",""
"Club de Fútbol Almendricos","Asociación Deportiva","82","G-30523781","Dip. Almendricos, C/ Patrón","30893","","","968 440 102","","","03/09/1996 0:00:00"
"Asociación Deportiva Lorca Virgen de las Huertas","Asociación Deportiva","83","G-30520886","C/ La Seda, Edificio La Seda, B-3, 1º D","30800","","","968 444 947","","",""
"Lorca Club Golf","Asociación Deportiva","264","G-30569255","Avda. Juan Carlos I, 30","30800","","","968461707 - 629096841 (Juan Antonio)","968461707","lorcaclubdegolf@gmail.com","16/12/1999 0:00:00"
"Peña Atletic de Bilbao de Lorca","Asociación Deportiva","84","G-30523369","C/ Pérez Casas, nº 26","30800","","","","","",""
"Automóvil Club de Lorca","Asociación Deportiva","266","G-73058166","Avda. Fuerzas Armadas, nº 14","30800","","","630176750","968406692","","28/10/1999 0:00:00"
"Asociación Deportiva Las Canales-Riopar","Asociación Deportiva","118","G-30550685","Los Canales (Iglesia)","30800","","","","","",""
"CLUB CICLISMO MURCIANO.COM","Asociación Deportiva","285","G-73414757","Alameda de Cervantes, nº 3, Pl 9º, Pta. D","30800","","","666842301","","correo@ciclismomurciano.com","30/12/2005 0:00:00"
"Asociación de Amigos del Judo: Judo Lorca.","Asociación Deportiva","287","G-73366015","C/ Guillén de Pina, nº 1. Pl 5º, Pta. G","30800","","","667439453","","judolorca@hotmail.es","21/01/2005 0:00:00"
"Club de Motociclismo Peña Motera Los Colegas","Asociación Deportiva","134","G-73063513","Ctra. de la Almenara, 184","30813","","","607 317 407","","motociclismoloscolegas@hotmail.com","28/10/1999 0:00:00"
"Club de Aeromodelismo R.C. Guadalentín","Asociación Deportiva","305","G-30342380","C/ Señor de la Penitencia, nº 4, Esc. 2, Pl 3. Pta. A","30800","","","","","joaquinsanchezguillen@hotmail.com","06/06/1987 0:00:00"
"Asociación Deportivo y Cultural Águilas Cojas","Asociación Deportiva","307","G-73456006","Avda. Juan Carlos I, nº 40-6º-A","30800","","","","","","03/12/2005 0:00:00"
"Asociación Escuela de Fútbol Pedanías Altas de Lorca","Asociación Deportiva","310","G-73450579","C/ Pérez Casas, nº83","30800","","","669773068","","visori@wanadoo.es","25/04/2006 0:00:00"
"Club Rítmica Helionova","Asociación Deportiva","318","G-73417941","Casa del Deporte, Alameda de la Constitución, s/n","30800","","","","","laura-jl@hotmail.com","03/01/2006 0:00:00"
"Club Balonmano Lorca","Asociación Deportiva","319","G-73478968","Avda. Santa Clara, nº 12, 4º A","30800","","","655424868","","cblorca@cblorca.es","02/10/2006 0:00:00"
"Sociedad de Cazadores de Lorca","Asociación Deportiva","320","G-30343446","C/ Plaza de España, nº 1","30800","","","968462273","968441884","","14/09/1992 0:00:00"
"Club Pueblos Altos de Lorca","Asociación Deportiva","330","G-73470346","C/ Tudela, nº 35","","","","647543403","968491139","","28/09/2006 0:00:00"
"Peña Valencianista Chémpions de Lorca","Asociación Deportiva","155","G-73097867","C/ Rebolloso, nº 9, 3º B","30800","","","968 470 188","","",""
"Asociación Deportiva ELIOCROCA","Asociación Deportiva","167","G-30110001","C/ Wilaya del Aaiun, 4, bajo","30800","","","868 926 327","","","09/09/1981 0:00:00"
"Club Natación Masters A. Crol","Asociación Deportiva","190","G-73182487","C/ Carril de Caldereros, 33 - 3º -Izq.","30800","","","618 769 297","","","16/04/2002 0:00:00"
"Lorca Deportiva C.F.","Asociación Deportiva","193","G-73057895","Marqués de los Vélez, 3 - bajo","30800","","","","","",""
"Club de Motociclismo Ciudad de Lorca","Asociación Deportiva","338","G-73537946","Camino Apiche (Diputación Torrecilla). Buzón 21","30817","","","968485523","968785715","clubmclorca@yahoo.es","07/06/2007 0:00:00"
"Club de Padel de Lorca","Asociación Deportiva","387","G-73472474","C/ Pio XII, 21 B 2º A","30800","","","609 886 864","","info@padelorca.es","08/08/2006 0:00:00"
"La Hoya Lorca, Club de Fútbol","Asociación Deportiva","389","G-73332645","Dip. La Hoya, Ctra. Nueva","30816","","","868 818 350","868 818 350                                       ","lahoyalorcacf@gmail.com","15/09/2002 0:00:00"
"Club Monos Peluos","Asociación Deportiva","399","G-73590861","Vereda de Churra, nº 3, Panel 22 - Buzón 30","30815","","","629 631 718","","","03/07/2008 0:00:00"
"Automóvil Club Zarcilla de Ramos","Asociación Deportiva","408","G-73612301","Dip. Zarcilla de Ramos, C/ Ancha, nº 9","30810","","","968 499 372","968 499 372                                       ","","25/11/2008 0:00:00"
"Club Baloncesto Lorca","Asociación Deportiva","428","G-73639999","Dip. Tiata, C. Los Chaparros, 3","30800","","","607 471 750","","","02/07/2009 0:00:00"
"Lorca Fútbol Base","Asociación Deportiva","430","G-73639841","Avda. de Portugal, 28, bajo","30800","","","968 067 917 ","968 444 784                                       ","lorcafutbolbase@hotmail.com","14/07/2009 0:00:00"
"Club de Tenis Tie Break","Asociación Deportiva","438","G-73655151","C/ Quijero, 57","30800","","","610 812 863","","clubtiebreak@gmail.com","08/06/2009 0:00:00"
"Club Ciclista La Hoya-Lorca","Asociación Deportiva","443","G-73653354","Ctra, del Hinojar - Local Asoc. Vecinos","30816","","","","","","01/11/2009 0:00:00"
"Club Ajedrez Torre Alfonsina","Asociación Deportiva","445","G-73645707","C/ Alameda de Cervantes, 14, Bj, P3","30800","","","609 908 018","","juanjo.motos@hotmail.com","11/09/2009 0:00:00"
"Asociación Deportiva Fútbol Lorca","Asociación Deportiva","446","G-73666554","C/ Juan XXIII, nº 1","30800","","","","","",""
"Club Arcolorca","Asociación Deportiva","447","G-30522676","Callejón de los Frailes, 12","30800","","","667 495 001","","arcolorca@hotmail.com","16/02/1996 0:00:00"
"Asociación Club Rugby de Lorca","Asociación Deportiva","454","G-73672677","C/ Panadería, 13 - 2º D","30800","","","678 398 586","","clubderugby@gmail.com","29/04/2010 0:00:00"
"Asociación Club Ban Gkok","Asociación Deportiva","457","G-73154072","C/ Bordadora Apolonia Ros - bajo","30800","","","649 952 001","","juan-carrasco@hotmail.com","22/10/2001 0:00:00"
"Lorca Féminas Asociación Deportiva","Asociación Deportiva","460","G-73673642","C/ Martín Morata, 39","30800","","","639 791 160","968 481 799                                       ","lorcafeminas@gmail.com","15/05/2010 0:00:00"
"Club de Petanca Ramonete","Asociación Deportiva","461","G-73696478","Las Librilleras, Panel 6, Bz. 210","30876","","","","","","29/11/2010 0:00:00"
"Sociedad Cinegética Confederada Cazalor","Asociación Deportiva","463","G-73692477","Avda. Portugal, 11","30800","","","968 406 486","968 441 884                                       ","","25/10/2010 0:00:00"
"Club Deportivo Tenis de Mesa San Fernando","Asociación Deportiva","466","G-73708653","Avda. Europa, Edificio Millenium VII, 27B 2 1 A","30800","","","968 471 643","968 471 506                                       ","tenisdemesasanfernando@hotmail.com","25/03/2011 0:00:00"
"Club Triatlon Lorca","Asociación Deportiva","473","G-73713232","Alameda Menchirón, 5 - 4º A","30800","","","636 114 565","","clubtriatlonlorca@hotmail.com","25/04/2011 0:00:00"
"Asociación Deportiva Almendricos","Asociación Deportiva","480","G-30543540","Diputáción Almendricos, C/ Escuelas Viejas, s/n","30893","","","625 110 699","","","27/11/1996 0:00:00"
"Club Ciclista Juan Zurano","Asociación Deportiva","500","G-30531180","C/ Alameda Cervantes, nº 1","30800","","","666842301","","",""
"Club Deportivo La Lagartija","Asociación Deportiva","505","G-73772378","C/ José Mouliáa, nº 31","30800","","","607623565","","juancar31@wanadoo.es","25/09/2012 0:00:00"
"Club de Rugby de Lorca","Asociación Deportiva","513","G-73672677","C/ Panadería, nº 3, Pl. 2, Pta. D","30800","","","","","clubderugbylorca@gmail.com","23/04/2010 0:00:00"
"Club de Ajedrez Lorca","Asociación Deportiva","68","G-30346845","Alameda de la Constitucióin, s/n","30800","","","968 470 526","","",""
"San Francisco Lorca, C.D.","Asociación Deportiva","520","G73830051","C/ Obispo Alburquerque, nº 2 - 2º E","30800","","","669574142","901777423","administracion@sanfranciscolorcacd.com","01/02/2014 0:00:00"
"Asociación Recreativa Fitness","Asociación Deportiva","523","G-73150174","C/ Fulgencio Martínez, 26","30812","","","630707035","","","11/04/2014 0:00:00"
"CLUB CICLOSENDERISTA EL GIGANTE","Asociación Deportiva","530","G-73641813","LA PARROQUIA, C/ FUENSANTA, 9","30811","","","666925353","","clubciclistaelgigante@gmail.com","01/06/2009 0:00:00"
"CLUB DE ESGRIMA LORCA","Asociación Deportiva","532","G-73869182","C/ LOS NARANJOS, 6 - 2º D","30800","","","675326465","","clubesgrimalorca@gmail.com","17/11/2014 0:00:00"
"ESCUELA DE KUNGFU EL BOSQUE","Asociación Deportiva","535","G-73859571","C/ LORENZO SOTO SOTO, 2 - 3º A","30800","","","606567770","","sagtai@hotmail.com","15/09/2014 0:00:00"
"CLUB DE FÚTBOL AMERICANO MUNSTANG'S","Asociación Deportiva","536","G-73885113","CTRA. ALMENARA, 179. CAMINO CASA ROMERO, BUZÓN 36, PANEL 29","30813","","","666601141","","mustangsocfa@gmail.com","13/05/2015 0:00:00"
"AGRUPACIÓN DEPORTIVO CULTURAL DE MONTAÑEROS Y SENDERISTAS LORQUINOS SIGISMONDI","Asociación Deportiva","538","G-73901688","CAMINO VIEJO DEL PUERTO - BAR LAS TORRES-","30800","","","610893600","","","09/11/2015 0:00:00"
"Club de Fútbol Lorca Deportiva","Asociación Deportiva","547","G-73763724","Avda. de Portugal, 8 - Bajo","30800","","","657055682","","lorcadeportiva@lorca.es","27/07/2012 0:00:00"
"Asociación Deportiva #Retoyosipuedo","Asociación Deportiva","549","G-73903858","Alameda de la Constitución, s/n -Casa del Deporte-","30800","","","607612728","","teamretoyosipuedo@gmail.com","17/11/2015 0:00:00"
"Peña Madridista de Lorca Club Deportivo","Asociación Deportiva","551","G-73930406","Plaza Real, 3","30800","","","607376594","968471033","pmadridistaciudadelsol@hotmail.com","25/04/2016 0:00:00"
"Peña Motera Custom Lorca","Asociación Deportiva","553","G-73912081","C/ Pintor Navarro Morata, nº 1, Esc. 8, Pl. 3, Pta. A","30800","","","627246907","","info@customlorca.es","21/02/2015 0:00:00"
"Asociación Deportiva de Amigos Cuco Lorquino Colillano","Asociación Deportiva","554","G-73954729","Avda. de Portugal, 15 Bajo","30800","","","627488539","","cucolorquino@lorca.es","22/02/2017 0:00:00"
"Foro de Estudio y Asesoramiento sobre Educación Física y Deporte","Asociación Deportiva","555","G-73033706","C/ Rubén Darío , Ed. Dr. Arcas, 5 - 4º D","30800","","","661682747","","juanortunoc@hotmail.com",""
