nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación Club de Pensionistas de Los Barrios Altos de Santa María","Club de Pensionistas","397","G-73591026","C/ Sicilia s/n","30800","","","666 925 395","","","29/02/2008 0:00:00"
"Club de Pensionistas y Jubilados de Morata","Club de Pensionistas","385","G-73575615","Local Social de La Ermita","30878","","","","","","12/03/2008 0:00:00"
"Club de Pensionistas y Jubilados de La Hoya","Club de Pensionistas","359","G-73027120","Ctra. Hinojar s/n","30816","","","67 854 544 - 968481603","","","07/01/1999 0:00:00"
"Club de Pensionistas y Jubilados de La Paca","Club de Pensionistas","364","G-73014250","C/ Centro de Salud nº1- Dip.La Paca","30812","","","968 491 261","","","04/12/1998 0:00:00"
"Club de Pensionistas y Jubilados de San Cristóbal","Club de Pensionistas","343","G-30600191","C/ Huercal Overa","30800","","","","","","01/01/1986 0:00:00"
"Club de Pensionistas y Jubilados de San Juan","Club de Pensionistas","363","G-73001943","Zapatería nº 17","30800","","","968 414 341","","",""
"Club de Pensionistas y Jubilados de Sutullena","Club de Pensionistas","368","G-73069080","Camino Hondo-Sutullena, nº 13","","","","677 286 959","","",""
"Club de Pensionistas y Jubilados de Marchena","Club de Pensionistas","357","G-30497713","Centro Social de Marchena, junto a las escuelas","30815","","","608 238 965","","","22/01/1999 0:00:00"
"Asociación de Pensionistas y Jubilados Cervantes de Lorca","Club de Pensionistas","92","g-30586408","C/ Carlos Barberán, nº 1 - Bajo","30800","","","968 469 904","","","27/02/1998 0:00:00"
"Club de Pensionistas y Jubilados de Ramblilla de San Lázaro","Club de Pensionistas","140","G-73038713","C/ Almazara de Bravo, nº 1 (Centro Social de San Lázaro)","30800","","","868925625","","",""
"Club de Pensionistas y Jubilados de Campo López","Club de Pensionistas","345","G-73562373","Centro Social de Campo López en la diputación de Campo López.","30815","","","","","","10/06/2005 0:00:00"
"Club de Pensionistas y Jubilados de Campillo","Club de Pensionistas","348","G-30305056","Centro Social del Campillo. Diputación Campillo.","30813","","","","","","10/11/1995 0:00:00"
"Club de Pensionistas y Jubilados de Sagrada Familia.","Club de Pensionistas","355","30817","Centro Social de Sagrada Familia. Puente Resinoli. s/n","30817","","","","","","26/05/1998 0:00:00"
"Club de Pensionistas y Jubilados de San Antonio","Club de Pensionistas","349","G-30483176","Centro Social de San Antonio. Calle Mariscal Pedro Musso","30800","","","","","","13/03/1998 0:00:00"
"Club de Pensionistas y Jubilados de Santa María","Club de Pensionistas","362","G-30594626","Centro Social de Santa María. C/ Sicilia, s/n","30800","","","","","","06/04/1998 0:00:00"
"Ásociación de Pensionistas y Jubilados del Barrio de Apolonia La Candelaria.","Club de Pensionistas","444","G-73636441","Avda. Fuerzas Armadas, 32","30800","","","617837359","","","22/06/2009 0:00:00"
"Club de Pensionistas y Jubilados de Zarzadilla de Totana","Club de Pensionistas","527","G-73041824","C/ San Miguel, Zarzadilla de Totana (Centro Social)","30814","","","","","","12/05/1998 0:00:00"
"ASOCIACIÓN DE MAYORES DE LOS CEGARRAS - NOGALTE","Club de Pensionistas","539","G-73886756","CENTRO SOCIAL DE LA DIP. NOGALTE","30890","","","968 409 565","","","16/04/2015 0:00:00"
