IdCentro,Centro,Direccion,Longitud,Latitud,Pedania,Web,Email,Telefono,Fax
"23","C.E.I.P. ANA CAICEDO RICHARD","C/ Francisco  Escobar Barberan Nº 35","-1.70224785804749E+16","3.76624417587103E+15","Lorca","http://www.murciaeduca.es/ceipanacaicedo/sitio/","300018783@murciaeduca.es","968478335","968478335"
"24","C.E.I.P. ANDRES GARCIA SOLER","Cañada de Guevara nº 67","-1.705402135849E+15","3.76695714631924E+16","Lorca","http://www.murciaeduca.es/cpandresgarciasoler/sitio/","30011818@murciaeduca.es","968443606","968111350"
"25","C.E.I.P. CASA DEL NIÑO","C/ Mayor de Santa Maria  s/n","-1.70057952404022E+16","3.7678453972286E+16","Lorca","http://www.murciaeduca.es/cpcasadelnino/sitio/","30003342@murciaeduca.es","968467889","968467889"
"26","C.E.I.P. JOSE ROBLES","Alameda de los Tristes. Nº 18","-1.69484496116638E+16","3.76701446973551E+15","Lorca","","30003305@murciaeduca.es","968468726","968472325"
"27","C.E.I.P. JUAN GONZALEZ","Cañada de Morales Nº 12","-1.68912380933762E+15","3.76853995912371E+15","Lorca","www.murciaeduca.es/cpjuangonzalez/sitio","30008005@murciaeduca.es","968. 469.160","968 478.757"
"28","C.E.I.P. PEREZ DE HITA","C/ Don Diego Pallares Cachá  s/n","-1.71003699302673E+16","3.76629725822226E+16","Lorca","www.murciaeduca.es/cpperezdehita/sitio","30008443@murciaeduca.es","968469423","968478019"
"29","C.E.I.P. SAGRADO CORAZON","C/ Rafael Maroto  s/n","-1.69274747371674E+16","3.76804196993752E+15","Lorca","www.murciaeduca.es/cpsagradocorazon"," 30003317@murciaeduca.es","968466636","968929000"
"30","C.E.I.P. SAN CRISTOBAL","C/ Abellaneda s/n","-1.69334292411804E+15","3.76860745892118E+15","Lorca","www.murciaeduca.es/cpsancristoballorca","30010851@murciaeduca.es","968462111","968115016"
"31","C.E.I.P. SAN FERNANDO","AV/ Santa Clara  s/n","-1.69344484806061E+15","376683145787162","Lorca","www.murciaeduca.es/ceipsanfernado.com","30003329@murciaeduca.es","968465022","967465571"
"32","C.E.I.P. ALFONSO X EL SABIO","C/ Maestro Alejandro Isaac Del Castillo s/n","-1.70506417751312E+16","3.76657285568817E+16","Lorca","www.murciaeduca.es/cpalfonsox"," 30003299@murciaeduca.es","968466445","968115034"
"33","C.C. MADRE DE DIOS","C/ Cava Nº 13","-1.69858664274216E+15","3.76777470620144E+16","Lorca","www.mercedarias-lorca.net","mercedarias@solinternet.es","968442311","968442407"
"34","C.C.SAN FRANCISCO DE ASIS","C/ NOGALTE Nº 3","-1.69983386993408E+15","376726201688528","Lorca","www.colegiosanfranciscolorca.es","col.sanfranciscodeasis@hotmail.com","968466206","968477529"
"35","C.E.I.P. SAN JOSE","Alameda de Los Tristes  s/n","-1.69492542743683E+16","3.76694398310188E+16","Lorca","www.murciaeduca.es/cpsanjose","30003330@murciaeduca.es","968460454","968466635"
"36","C.P.E.E. PILAR SOUBRIER","C/ Diego Pallares Cacha  Nº 4","-1.7101925611496E+16","376627729930273","Lorca","www.murciaeduca.es/ceepilarsoubrier/sitio","30010097@murciaeduca.es","968467372","968444446"
"37","C. EDUCACION INFANTIL ELIOSOL","C/ Abellaneda  Nº 106","-1.69356018304825E+16","3.76859769483754E+15","Lorca","","rosario.jodar2@murciaeduca.es","968466612","968466612"
"45","C.I.F.P. (CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL)","C/ Antonio Pelegrín Medina Nº 2A","-1.68637990951538E+16","3.76841854284743E+15","Lorca","cifplorca.es/portal","cifplorca@cifplorca.es","968.472.042- 968.471.869","968479093"
"46","C.I.F.E.A. (CENTRO INTEGRADO DE FORMACIÓN Y EXPERIENCIAS AGRARIAS)","Crta de Aguilas Km 2,5","-1.6881662607193E+16","3.76546233079204E+16","Lorca","www.carm.es/cagric","mdolores.martinez6@carm.es","968468550","968468423"
