nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación de Vecinos La Hoya -Hinojar","Asociación de Vecinos","99","g-30277586","Carretera de Hinojar, Aptdo. De correos nº3         30816 Lorca","30816","","","609752182","","",""
"Asociación de Vecinos Ramblilla de Tejares","Asociación de Vecinos","10","G-30288476","Ramblilla de Tejares nº 23","30800","","","660289 805","","","20/05/1991 0:00:00"
"Asociación de Vecinos Barrio San Antonio","Asociación de Vecinos","300","G-30287320","Parque Mariscal P. Musso s/n","30800","","","619196907","","","30/09/1980 0:00:00"
"Asociación de Vecinos  La Viña de San Juan","Asociación de Vecinos","375","G-73567760","c/ Agricultores, nº3, bajo","30800","","","697 759 195","","caty.j@hotmail.es","12/02/2008 0:00:00"
"Asociación de Vecinos L a Paz de Almendricos","Asociación de Vecinos","11","","C/Mayor, 59. Dip.Almendricos","30893","","","968440115","","i.ayala@mediadoreslaestrella.es",""
"Asociación de Vecinos de Doña Inés","Asociación de Vecinos","62","G-30467880","Dip. Doña Inés, C/ Escuela","30812","","","679 042 148 - 968 491537","","",""
"Asociación de Vecinos de Bejar","Asociación de Vecinos","434","G-73050338","Local social parroquial de Diputación de Béjar-Avda. Juan Carlos I, 45","30890","","","637 544 867","","encarna.bejar@gmail.com","28/04/2004 0:00:00"
"Asociación de Vecinos Zona Centro","Asociación de Vecinos","506","G-30570931","Centro Social San José, Parque Pepe Lizarán, Edif. nº 1, Bajo","30800","","","696 722 534","","","10/05/2003 0:00:00"
"Asociación de Vecinos Cervantes","Asociación de Vecinos","6","","Alameda de Cervantes, nº 7. Centro Social. Paso a nivel","30800","","","649773260","","cervantes@vecinoslorca.com",""
"Asociación de Vecinos Rabaleros","Asociación de Vecinos","402","G-73600074","C/ Charco, s/n","30800","","","651 753 223","","arrabaleros@yahoo.es","01/06/2009 0:00:00"
"Asociación de Vecinos Caserio de las Palas","Asociación de Vecinos","95","G-30582993","Paraje Pantano de Puentes, buzon 4   30811 Lorca","30811","","","968 438 611","","","10/10/1997 0:00:00"
"Asociación de Vecinos de Torrealvilla","Asociación de Vecinos","94","G-30592208","Dip. Torrealvilla, 32  30800 Lorca","30814","","","653822114 - 968438105","","",""
"Asociación de Vecinos Virgen del Pilar de Aguaderas","Asociación de Vecinos","14","G-30252449","Crtra de Campo López, buzón 24-A. Panel 10","30813","","","630 918 310","","aavvaguaderas@gmail.com","10/11/1989 0:00:00"
"Asociación de Vecinos de Zarzalico","Asociación de Vecinos","493","G-73050510","Local Social de Zarzalico","30890","","","","","avzarzalico@gmail.com","28/04/1998 0:00:00"
"Asociación de Vecinos de Pulgara","Asociación de Vecinos","162","G-73062812","Dip. Pulgara, Camino de Castejón","30800","","","659 406 200","","","01/01/1999 0:00:00"
"Asociación de Vecinos Los Cegarras-Nogalte","Asociación de Vecinos","137","G-73073298","Diputacion de Nogalte, panel 1, buzón 4, nº 61 - ","30890","","","968439253-686 091 330","","mariadenogalte@hormail.com",""
"Asociación de Vecinos de Puntas de Calnegre","Asociación de Vecinos","195","G-73197196","Puntas de Calnegre,s/n ","30878","","","616 937 446","","",""
"Asociación de Vecinos La Escarihuela","Asociación de Vecinos","211","G-73219057","La Escucha, Escarihuela, buzon nº 7. 30813 Lorca","30813","","","607549300","","","21/10/2002 0:00:00"
"Asociación de Vecinos de Jarales de Lorca","Asociación de Vecinos","384","J-73577231","Dip.. Jarales - Junto Ermita","30811","","","616 266 920","","davidjarales@hotmail.com","06/02/2008 0:00:00"
"Asociación de Vecinos Venta Ceferino","Asociación de Vecinos","206","G-73183709","Venta Ceferino (La Escucha ), Buzón 19","30813","","","600 736 397","","","03/05/2002 0:00:00"
"Asociación de Vecinos Riopar","Asociación de Vecinos","12","G-30256556","El Consejero, Panel 7, buzón 60-A","30811","","","686145594","","","16/06/1990 0:00:00"
"Asociación de Vecinos Virgen de la Piedad","Asociación de Vecinos","371","G-30590749","C/ Exma Diputación Provincial (local social)","30810","","","689973720","","","17/03/2007 0:00:00"
"Asociación de Vecinos de Morata","Asociación de Vecinos","119","G-30543201","Dip. Morata, Cuesta Morata","30878","","","639 606 854","","","01/01/1999 0:00:00"
"Asociación de Vecinos Sierra de Pedro Ponce","Asociación de Vecinos","16","G30292460","Plaza de San Miguel s/n, Dip. Zarzadilla de Totana","30814","","","608 686 575","","","02/05/1980 0:00:00"
"Asociación de Vecinos El Ramonete de Lorca","Asociación de Vecinos","15","G-30303119","Local Social, panel 7- buzón 247","30876","","","639 611 803","","aavvramonete@hotmail.es","16/01/1981 0:00:00"
"Asociación de Vecinos de La Purísima -Diputación de Hinojar","Asociación de Vecinos","171","G-30591325","Dipuatación de Hinojar a/n","30816","","","676 139 356","","","26/02/1998 0:00:00"
"Asociación de Vecinos Barrio Apolonia","Asociación de Vecinos","269","G-73169138","Avenida Fuerzas Armadas, nº41, bajo","30800","","","660 838 006","","padilla50@hormail.es","05/10/2001 0:00:00"
"Asociación de Vecinos La Purísima del Rincón de Los Carranzas.","Asociación de Vecinos","115","G-30437008","El Rincón de los Carranzas, Zarcilla de Ramos","30810","","","609 289 699","","","16/07/1994 0:00:00"
"Asociación de Vecinos de Río y Barranco Hondo","Asociación de Vecinos","238","G-30348254","C/ Corazón de María s/n","30817","","","619 563 963","","","26/03/2004 0:00:00"
"Asociación de Vecinos Las Oliveras","Asociación de Vecinos","306","G-30408611","Panel ES-04, buzón nº16, La Escucha","30813","","","","","","28/01/1981 0:00:00"
"Asociación de Vecinos Alfonso X El Sabio","Asociación de Vecinos","19","G-30252530","C/Travesía Benemérita,nº 2, 2ºB","30800","","","661 682 785","","","03/02/1983 0:00:00"
"Asociación de Vecinos Las Terreras","Asociación de Vecinos","424","G-73632457","C/ Palma, nº 11","30812","","","968 491 039","","","25/07/2008 0:00:00"
"Asociación de Vecinos de Marchena","Asociación de Vecinos","91","G-30247654","Urbanización Huerto del Conde. Dip. Marchena","30815","","","695 594 585","","aavvmarchena@gmail.com","30/07/1990 0:00:00"
"Asociación de Vecinos Vigen del Carmen de la Diputación de La Campana","Asociación de Vecinos","27","G30418628","C/ Los Valverdes, Panel 15, Buzón 35","30813","","","678065245","","","27/04/1994 0:00:00"
"Asociación de Vecinos de San Pedro y Santa Ana","Asociación de Vecinos","243","G-30288419","Camino de las Escuelas. Local Social. Panel nº 28. Buzón 1.","30813","","","968482550","968482550","aavvpurias@hotmail.com","10/08/1979 0:00:00"
"Asociación de Vecinos Barrios Altos - Santa María de Lorca","Asociación de Vecinos","251","G-73345845","C/ Sicilia, s/n","30800","","","968479716","","","09/07/2004 0:00:00"
"Asociación de Vecinos de la Pedanía de Avilés San Nicolás de Bari","Asociación de Vecinos","87","G-30565915","Dip. Avilés, Salón Social","30812","","","","","","21/12/2005 0:00:00"
"Asociación de Vecinos La Tova","Asociación de Vecinos","97","G-30124630","Local Social La Parroquia","","","","968 495 063","","",""
"Asociación de Vecinos Barrio de San Lázaro","Asociación de Vecinos","276","G-30221535","Almazara Bravo, nº 16","30800","","","","","","01/01/2006 0:00:00"
"Asociacióin de Vecinos Beltrand de Diputación Sutullena","Asociación de Vecinos","123","G-30469076","Dip. Sutullena","30800","","","","","",""
"Asociación El Empalme de Almendricos","Asociación de Vecinos","303","G-73402885","Dip. Almendricos - C/ Mayor. nº 16","30893","","","968485034","","","06/11/2005 0:00:00"
"Asociación de Vecinos de Fontanares","Asociación de Vecinos","328","G-73541716","C/ Río, nº 10","30817","","","660576680","","antoniomiguelg1@gmail.com","10/08/2007 0:00:00"
"Asociación de Vecinas y Vecinos Pedanía de Nogalte","Asociación de Vecinos","373","G-73567554","Diputación Nogalte, Panel 1, Buzón 4, nº 61","30890","","","686091330","","mariadenogalte@hotmail.com","02/01/2008 0:00:00"
"Asociaciación de Vecinos del Barrio del Calvario","Asociación de Vecinos","511","G-30144646","C/ Cabezo de Vélez, 6","30800","","","696 244 931 / 687 388 580","","antoniolorca-@hotmail.com","26/06/1980 0:00:00"
"ASOCIACIÓN DE VECINOS MONTIFELI","Asociación de Vecinos","537","G-73857856","DIP. AGUADERAS, CAMINO DE LA MALVALOCA, ORILLA Y PIÑERO","30815","","","639778653","","","12/10/2014 0:00:00"
