"Codigo","Distrito","Seccion","Mesa","Colegio","Electores","Participac","Particip_1","Particip_2","Votos_Blan","Votos_Efec","Votos_Nulo","X","Y"
"35,00","1,00","25,00","U","CENTRO CULTURAL DE LA CIUDAD LA ZONA","843,00","0,00","0,00","0,00","0,00","0,00","0,00","614908,95","4170471,58"
"37,00","1,00","26,00","U","CENTRO DE DIA PERSONAS MAYORES","716,00","0,00","0,00","0,00","0,00","0,00","0,00","615254,82","4170753,23"
"38,00","1,00","27,00","A","COLEGIO JUAN GONZALEZ","619,00","0,00","0,00","0,00","0,00","0,00","0,00","615587,96","4171707,11"
"39,00","1,00","27,00","B","COLEGIO JUAN GONZALEZ","850,00","0,00","0,00","0,00","0,00","0,00","0,00","615597,49","4171704,00"
"40,00","1,00","28,00","U","I.E.S. J.IBAÑEZ MARTIN","844,00","0,00","0,00","0,00","0,00","0,00","0,00","614733,44","4169796,83"
"41,00","1,00","29,00","U","ASOCIACION DE VECINOS BARRIO APOLONIA","845,00","0,00","0,00","0,00","0,00","0,00","0,00","616233,54","4171466,15"
"42,00","1,00","30,00","A","MERCADO DE GANADOS SANTA QUITERIA","463,00","0,00","0,00","0,00","0,00","0,00","0,00","615553,14","4170349,09"
"43,00","1,00","30,00","B","ESCUELA DE NIÑOS DE LA GRANJA","649,00","0,00","0,00","0,00","0,00","0,00","0,00","615710,03","4168249,88"
"44,00","1,00","31,00","A","I.E.S. SAN JUAN BOSCO","434,00","0,00","0,00","0,00","0,00","0,00","0,00","613613,06","4168793,01"
"45,00","1,00","31,00","B","COLEGIO PEREZ DE HITA","413,00","0,00","0,00","0,00","0,00","0,00","0,00","613747,04","4169130,88"
"46,00","1,00","32,00","U","I.E.S.PRINCIPE DE ASTURIAS","1084,00","0,00","0,00","0,00","0,00","0,00","0,00","615480,27","4171045,34"
"48,00","1,00","33,00","U","BIBLIOTECA PILAR BARNES","663,00","0,00","0,00","0,00","0,00","0,00","0,00","614964,03","4170804,20"
"49,00","1,00","34,00","U","COLEGIO SAGRADO CORAZON","985,00","0,00","0,00","0,00","0,00","0,00","0,00","615196,11","4171149,87"
"51,00","1,00","35,00","U","ASOCIACION ESPAÑOLA CONTRA EL CANCER","531,00","0,00","0,00","0,00","0,00","0,00","0,00","614570,89","4170319,56"
"52,00","1,00","36,00","U","C.E.I.P. SAN JOSE","709,00","0,00","0,00","0,00","0,00","0,00","0,00","615152,74","4169936,79"
"53,00","1,00","37,00","U","I.E.S. J.IBAÑEZ MARTIN","555,00","0,00","0,00","0,00","0,00","0,00","0,00","614734,42","4169791,57"
"54,00","1,00","38,00","U","LOCAL SOCIAL DEL BARRIO DE SAN JOSE","922,00","0,00","0,00","0,00","0,00","0,00","0,00","614273,02","4169626,80"
"55,00","1,00","39,00","U","GRUPO ESCOLAR ALFONSO X EL SABIO","704,00","0,00","0,00","0,00","0,00","0,00","0,00","614188,11","4169471,11"
"56,00","1,00","40,00","U","GRUPO ESCOLAR ALFONSO X EL SABIO","664,00","0,00","0,00","0,00","0,00","0,00","0,00","614194,44","4169480,54"
"57,00","1,00","41,00","U","COLEGIO PEREZ DE HITA","627,00","0,00","0,00","0,00","0,00","0,00","0,00","613749,57","4169135,69"
"58,00","1,00","42,00","U","C.E.I.P. SAN JOSE","759,00","0,00","0,00","0,00","0,00","0,00","0,00","615156,81","4169935,28"
"59,00","1,00","43,00","U","CENTRO DE DIA PERSONAS MAYORES","590,00","0,00","0,00","0,00","0,00","0,00","0,00","615259,18","4170756,08"
"60,00","2,00","1,00","U","ESCUELA DE NIÑOS DE LA GRANJA","888,00","0,00","0,00","0,00","0,00","0,00","0,00","615725,02","4168254,84"
"62,00","2,00","2,00","U","COLEGIO PUBLICO CAMPILLO","866,00","0,00","0,00","0,00","0,00","0,00","0,00","615554,12","4167741,55"
"63,00","2,00","3,00","A","LOCAL SOCIAL DE CAZALLA","599,00","0,00","0,00","0,00","0,00","0,00","0,00","617000,08","4167999,11"
"64,00","2,00","3,00","B","LOCAL SOCIAL DE CAZALLA","661,00","0,00","0,00","0,00","0,00","0,00","0,00","617004,27","4167993,49"
"65,00","2,00","4,00","A","MERCADO DE GANADOS SANTA QUITERIA","795,00","0,00","0,00","0,00","0,00","0,00","0,00","615556,37","4170343,85"
"66,00","2,00","4,00","B","ESCUELA DE NIÑOS DE LA GRANJA","497,00","0,00","0,00","0,00","0,00","0,00","0,00","615733,97","4168228,99"
"67,00","2,00","5,00","A","C.P. VILLAESPESA","547,00","0,00","0,00","0,00","0,00","0,00","0,00","619501,26","4171489,45"
"94,00","2,00","5,00","B","C.P. VILLAESPESA","683,00","0,00","0,00","0,00","0,00","0,00","0,00","619497,27","4171482,77"
"68,00","2,00","6,00","U","ESCUELA DE NIÑOS SANTA GERTRUDIS","1113,00","0,00","0,00","0,00","0,00","0,00","0,00","619649,61","4169813,19"
"70,00","2,00","7,00","U","C.P. LA HOYA ""JUAN NAVARRO""","578,00","0,00","0,00","0,00","0,00","0,00","0,00","623769,55","4174264,45"
"71,00","2,00","8,00","U","LOCAL SOCIAL DE AGUADERAS","570,00","0,00","0,00","0,00","0,00","0,00","0,00","623203,36","4166679,56"
"72,00","2,00","9,00","A","LOCAL SOCIAL DE MORATA","304,00","0,00","0,00","0,00","0,00","0,00","0,00","633431,86","4161300,72"
"73,00","2,00","9,00","B","ESCUELA DE NIÑOS DE RAMONETE","672,00","0,00","0,00","0,00","0,00","0,00","0,00","635082,01","4156193,00"
"74,00","2,00","10,00","A","COLEGIO DE PURIAS","617,00","0,00","0,00","0,00","0,00","0,00","0,00","617326,70","4159798,86"
"75,00","2,00","10,00","B","COLEGIO DE PURIAS","559,00","0,00","0,00","0,00","0,00","0,00","0,00","617332,95","4159796,92"
"76,00","2,00","11,00","A","ESCUELA DE NIÑOS DE LA ESCUCHA","643,00","0,00","0,00","0,00","0,00","0,00","0,00","615070,10","4156101,61"
"77,00","2,00","11,00","B","LOCAL SOCIAL LA CAMPANA","409,00","0,00","0,00","0,00","0,00","0,00","0,00","612174,04","4147136,19"
"78,00","2,00","12,00","A","ESCUELA DE NIÑOS DE ALMENDRICOS","557,00","0,00","0,00","0,00","0,00","0,00","0,00","608198,68","4147663,15"
"79,00","2,00","12,00","B","ESCUELA DE NIÑOS DE ALMENDRICOS","704,00","0,00","0,00","0,00","0,00","0,00","0,00","608205,27","4147668,03"
"80,00","2,00","13,00","A","I.E.S. SAN JUAN BOSCO","523,00","0,00","0,00","0,00","0,00","0,00","0,00","613618,12","4168808,51"
"81,00","2,00","13,00","B","ESCUELA MIXTA DE LA TORRECILLA","421,00","0,00","0,00","0,00","0,00","0,00","0,00","612439,01","4166960,71"
"82,00","2,00","13,00","C","ESCUELA MIXTA DE LA TORRECILLA","569,00","0,00","0,00","0,00","0,00","0,00","0,00","612442,48","4166965,13"
"83,00","2,00","14,00","U","CENTRO SOCIAL LA TOVA","626,00","0,00","0,00","0,00","0,00","0,00","0,00","597361,53","4176262,83"
"84,00","2,00","15,00","A","CENTRO SOCIAL RIO","469,00","0,00","0,00","0,00","0,00","0,00","0,00","614351,09","4171985,40"
"85,00","2,00","15,00","B","CENTRO SOCIAL DE PARRILLA","266,00","0,00","0,00","0,00","0,00","0,00","0,00","609255,24","4172615,23"
"86,00","2,00","16,00","U","LOCAL SOCIAL DE ZARZILLA DE RAMOS","824,00","0,00","0,00","0,00","0,00","0,00","0,00","598716,53","4189202,15"
"88,00","2,00","17,00","A","ESCUELA DE NIÑOS DE LA PACA","891,00","0,00","0,00","0,00","0,00","0,00","0,00","602579,74","4191877,07"
"90,00","2,00","17,00","B","ESCUELA DE NIÑOS DE COY","434,00","0,00","0,00","0,00","0,00","0,00","0,00","604302,27","4200885,70"
"91,00","2,00","19,00","A","ESCUELA MIXTA DE AVILES","260,00","0,00","0,00","0,00","0,00","0,00","0,00","605430,51","4196309,32"
"92,00","2,00","19,00","B","ESCUELA DE NIÑOS DE ZARZADILLA DE TOTANA","365,00","0,00","0,00","0,00","0,00","0,00","0,00","613592,03","4193190,14"
"93,00","2,00","21,00","U","LOCAL SOCIAL DE CAZALLA","820,00","0,00","0,00","0,00","0,00","0,00","0,00","617002,34","4167996,16"
"95,00","2,00","22,00","U","C.P. VILLAESPESA","885,00","0,00","0,00","0,00","0,00","0,00","0,00","619503,13","4171485,33"
"96,00","2,00","23,00","U","COLEGIO DE PURIAS","694,00","0,00","0,00","0,00","0,00","0,00","0,00","617333,93","4159803,70"
"97,00","2,00","25,00","A","C.P. LA HOYA ""JUAN NAVARRO""","957,00","0,00","0,00","0,00","0,00","0,00","0,00","623768,28","4174267,74"
"98,00","2,00","25,00","B","C.P. LA HOYA ""JUAN NAVARRO""","606,00","0,00","0,00","0,00","0,00","0,00","0,00","623765,95","4174276,07"
"100,00","2,00","26,00","U","COLEGIO PUBLICO CAMPILLO","1012,00","0,00","0,00","0,00","0,00","0,00","0,00","615550,23","4167723,76"
