nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación de Vecinos La Viña","Asociación de Vecinos","8","G-30111058","C/Albañileria, Centro Social ","30800","","","","","","18/06/1976 0:00:00"
"Asociación de Vecinos de Los Ángeles","Asociación de Vecinos","275","G-30043665","Parque Los Angeles s/n (local social)   ","30800","","","639317968","","","28/03/2003 0:00:00"
"Club TeaMMurcia","Asociación Deportiva","450","G-73669921","Cmno. Cuesta de Apiche, 21","30817","","","","","","09/04/2010 0:00:00"
"AAVV San Fernando","Sin Tipo","","","C/Mateos Ferrer, bloque 4-3ºB   30800 Lorca","","","","630526122","","",""
"Asociación de Vecinos La Hoya -Hinojar","Asociación de Vecinos","99","g-30277586","Carretera de Hinojar, Aptdo. De correos nº3         30816 Lorca","30816","","","609752182","","",""
"Asociación de Vecinos Ramblilla de Tejares","Asociación de Vecinos","10","G-30288476","Ramblilla de Tejares nº 23","30800","","","660289 805","","","20/05/1991 0:00:00"
"ASOCIACIÓN CIUDADANO 10","Asociación con Fines Asistenciales","514","G-73813917","Camino Viejo del Puerto nº 20. Pl 1º","30800","","","622 711 215","","mangarmore@gmail.com","20/02/2013 0:00:00"
"Asociación de Padres con Hijos con Discapacidad Intelectual de la Comarca de Lorca APANDIS.","Asociación con Fines Asistenciales","229","G-30462204","C/Panaderia, s/n, Urbanización La Viña","30800","","","968 470 727","","mjvicente@apandis.com",""
"Asociacion de Amigos del Pueblo Saharaui","Asociación de Cooperación Social","185","G-30525976","C/Eugenio Ubeda,17 7ºk    ","30800","","","619370416","","",""
"Asociación de Mujeres de Campillo","Asociación de Mujeres","63","G-30468359","Dip. Campillo, Carretera de Almenara ","30813","","","671 984 355","","","10/08/1995 0:00:00"
"Asociación de Mujeres de Aguaderas","Asociación de Mujeres","117","G-73024705","Carretera Campo Lopez, buzon 5B Aguaderas   ","30815","","","","","","09/02/1999 0:00:00"
"Asociación Juvenil Izquierda Jóven de Lorca","Asociación de Jóvenes","323","G-73416539","Calle Corredera, nº 12, Pl. 2ºH","30800","","","680 507 798","","izquierdajoven@gmail.com","21/06/2005 0:00:00"
"Mujeres para la Democracia","Sin Tipo","","","C/Colmenarico, 15 Edificio Luchena 3ºB  30800 Lorca","","","","609339945","","",""
"Asociación de Mujeres Barrio de La Viña","Asociación de Mujeres","24","G30283717","C/Panaderia, 13 - bajo","30800","","","","","","01/01/1986 0:00:00"
"Centro de la Mujer del Barrio San Juan","Asociación de Mujeres","37","G-30368070","C/ Gomelez","30800","","","968461387","","",""
"Asociación de Mujeres del Barrio de San Cristóbal","Asociación de Mujeres","33","G-30214472","C/ Charco, s/n","30800","","","634915188","","",""
"Asociación Centro de la Mujer La Isla","Asociación de Mujeres","34","G-30255384","C/ Bordadora Apolonia Ros - bajo","30800","","","644387753","","",""
"Centro de la Mujer del Barrio de San Pedro","Asociación de Mujeres","30","G-30288484","C/Santiago, nº 5  ","30800","","","968441184","","",""
"Asociacion Juvenil de Zarcilla de Ramos","Asociación de Jóvenes","449","G-30496186","C/Ancha 9 Zarcilla de Ramos   ","30810","","","661 397 607","","","07/03/1995 0:00:00"
"Club de Pensionistas de La Escucha","Club de Pensionistas","350","G-73121261","La Escucha, El Estanco buzon nº 48  ","30813","","","678282202","","","23/01/2001 0:00:00"
"Asociacion ILITIA DE LORCA","Asociación con Fines Asistenciales","196","G-73219123","Avda. Santa Clara, nº15,  Edif. Oasis 5ºC   ","30800","","","654 352 709","","ilitia-lorca@hotmail.com",""
"Asociacion de Viudas Virgen del Alcazar","Asociación de Mujeres","13","G-30120620","C/ José Mouliaá, 12","30800","","","606350613","","","01/01/1986 0:00:00"
"Federacion de Asociaciones Festivo-Cultural San Clemente","Asociación de Animación Sociocultural","476","G-30289383","Alameda Poeta Gimeno Castellar (Morico)","30800","","","618 896 974","","torrespolon@yahoo.es",""
"AAVV de Purias","Sin Tipo","","","Camino de Las Escuelas, Local Social, panel 28, buzón 1","","","","627 927 616-968 482 550","","aavvpurias@hormail.com",""
"Asociacion Cultural Juvenil Barrio de San Cristobal","Asociación de Jóvenes","191","G-73021487","C/Eulogio Periago, nº2 ","30800","","","680486011","","acjpasoencarnado@gmail.com",""
"Asociacion Jovenes Estudiantes de Lorca","Sin Tipo","","","C/Charco, nº2      30800 Lorca","","","","680486011","","",""
"Asociacion Juvenil La Escucha","Sin Tipo","","","Crta, de Pulpi-urb los jopos (La Escucha)   30813 Lorca","","","","619130021","","",""
"Asociación de Mujeres de Avilés","Asociación de Mujeres","56","G-30430268","Dip. Avilés, Barrio Rocío, ","30812","","","669882080 - 648 882 774 ","","catiaviles@live.com","18/10/1994 0:00:00"
"Asociación Lorquina de Padres contra la Droga (NYPACOLD)","Asociación con Fines Asistenciales","163","G-30367353","C/Fernando V, 2   bajo","30800","","","606 344 825","","nypacold@nypacold.com",""
"Asociación de Promoción al Deficiente (ASPRODES)","Asociación de Discapacitados","482","G-30033146","Dip. De Purias, Ctra. Altobordo","30800","","","968 482 323","968 482 323                                       ","asprodes_administracion@wimaxonline.es - psicologo@asprodes.com","01/01/1977 0:00:00"
"Club de Pensionistas y Jubilados de Cazalla","Club de Pensionistas","153","G-73031775","Travesía de la Asociación, nº 7 C, Panel 52, Dip. Cazalla  ","30818","","","968 462 240","","",""
"Union de Agricultores y Ganaderos de Lorca (COAG-Lorca)","Organizaciones Profesionales","236","G-30240543","C/ Horno, nº 91","30800","","","968 467696","968 471502                                        ","contabilidad@coaglorca.org","01/01/1990 0:00:00"
"Club de Pensionistas y Jubilados de Zarzadilla de Totana","Club de Pensionistas","365","","Centro Social de Zarzadilla de Totana  ","30814","","","968494062","","","12/05/1998 0:00:00"
"Club de Pensionistas de Las Terreras","Sin Tipo","","","Centro Social de Las Terreras. Dip. La Paca   30812   Lorca","","","","968491556","","",""
"Club de Pensionistas y Jubilados  de Virgen de las Huertas","Club de Pensionistas","376","G-30588073","Plaza del Rey Sabio s/n    ","30800","","","630 446 884","","",""
"Club de Pensionistas y Jubilados de San José de Lorca","Club de Pensionistas","358","G-73158479","Placeta de San Jose (Parque Pepe Plazas), 15    ","30800","","","679830611","","",""
"Club de Pensionistas y Jubilados del Centro Social Paso a Nivel.","Club de Pensionistas","131","G-30586408","Avda. Cervantes s/n   ","30800","","","696 222 014","","",""
"Club de Pensionistas y Jubilados de la Viña","Club de Pensionistas","101","G-30583124","c/ Guillermo Oliver, s/n","30800","","","619 0047 61","","","26/02/1998 0:00:00"
"Asociación de Mujeres Sagrada Familia","Asociación de Mujeres","55","G-30436075","Almda de Cervantes, 18, 5ºC   30800 Lorca","","","","968465751","","",""
"Asociación de Mujeres de La Paca","Asociación de Mujeres","242","G-30526677","C/Juan Carlos I, Nº49  Dip. La Paca  30812 Lorca","30812","","","968491133","","mcarmen.martinez41@gmail.com","21/11/1996 0:00:00"
"Asociación de Mujeres de la Escucha","Asociación de Mujeres","169","G-73109092","Dip. La Escucha, Centro Social","30813","","","968 482 849","","","11/09/2000 0:00:00"
"Asociación de Vecinos Barrio San Antonio","Asociación de Vecinos","300","G-30287320","Parque Mariscal P. Musso s/n","30800","","","619196907","","","30/09/1980 0:00:00"
"Asociación de Vecinos  La Viña de San Juan","Asociación de Vecinos","375","G-73567760","c/ Agricultores, nº3, bajo","30800","","","697 759 195","","caty.j@hotmail.es","12/02/2008 0:00:00"
"Asociación de Mujeres de la Escarihuela","Asociación de Mujeres","492","G-73327520","Centro Social de la Escarihuela- Diputación La Escucha ","30813","","","618882343","","","03/08/2004 0:00:00"
"Asociacion de Mujeres de Zarzalico","Asociación de Mujeres","256","G-73362634"," Local Social de Zarzalico, Venta la Petra, Dip. Zarzalico. ","30890","","","629656561 -Encarna-","968401251","isa@ventalapetra.com","16/02/2005 0:00:00"
"Asociacion de Mujeres de Zúñiga","Asociación de Mujeres","325","G-73524456","C/ Fátima, Dipt. Zúñiga, s/n","30814","","","647787854","","","02/04/2007 0:00:00"
"Club de Pensionistas y Jubilados de la Escarihuela","Club de Pensionistas","351","","Centro Social de La Escarihuela, s/n","30813","","","968485592","","","02/06/2006 0:00:00"
"Club de Pensionistas y Jubilados de Purias","Club de Pensionistas","353","G-30524805","Camino de las Monjas, Dip. de Purias","30813","","","","","","24/06/1996 0:00:00"
"Asociacion Local de Amas de Casa, Consumidores y Usuarios de Lorca"," Asociación de Amas de Casa","2","G-30539399","C/ Zorrilla, nº3","30800","","","610708679","","carevefernandez@hotmail.com",""
"Asociacion de Mujeres Trece Rosas ","Asociación de Mujeres","314","G-73467219","C/Corredera, 12-2º H   ","30800","","","677423407","968479716","dori_pm@hotmail.com","07/10/2005 0:00:00"
"Club de Pensionistas y Jubilados de los Ángeles","Club de Pensionistas","218","G-73019200","Nuevo Parque s/n (Los Ángeles)","30800","","","659618601","","","08/01/2011 0:00:00"
"Club de Pensionistas y Jubilados de Almendricos","Club de Pensionistas","152","G-30484497","C/Mayor, 59 Dip.Almendricos","30893","","","968 440 115","968 440 115                                       ","i.ayala@mediadoreslaestrella.es","28/04/2004 0:00:00"
"Asociación de Vecinos L a Paz de Almendricos","Asociación de Vecinos","11","","C/Mayor, 59. Dip.Almendricos","30893","","","968440115","","i.ayala@mediadoreslaestrella.es",""
"Club de Pensionistas y Jubilados de Calvario de Lorca","Club de Pensionistas","347","G-30595953","C/Alonso Vargas, 5   ","30800","20/04/1998","","968463562","","",""
"Club de Pensinistas y Jubilados de la Diputación de Aviles","Club de Pensionistas","151","G-73021669","Dip. Avilés, Centro Social","30812","","","606237188","","",""
"Club de Pensionistas y Jubilados de Coy","Club de Pensionistas","344","G-73021503","C/ Consultorio (Coy)","30812","","","968499111","","",""
"Club de Pensionistas de Tercia","Club de Pensionistas","258","G-30410138","Camino de Villaespesa- Tercia","30815","","","","","","25/04/1994 0:00:00"
"Club de Pensionistas y Jubilados de La Campana","Club de Pensionistas","346","G-30487466","El Cabildo y La Campana-Pozo Higuera, buzon 75  ","30813","","","617678988","","",""
"AAVV Virgen de Las Huertas","Sin Tipo","","","C/Casicas, 24 Dip. Tiata  30800 Lorca","","","","659991277","","",""
"Asociación de Vecinos de Doña Inés","Asociación de Vecinos","62","G-30467880","Dip. Doña Inés, C/ Escuela","30812","","","679 042 148 - 968 491537","","",""
"Asociación de Vecinos de Bejar","Asociación de Vecinos","434","G-73050338","Local social parroquial de Diputación de Béjar-Avda. Juan Carlos I, 45","30890","","","637 544 867","","encarna.bejar@gmail.com","28/04/2004 0:00:00"
"Asociación de Vecinos Zona Centro","Asociación de Vecinos","506","G-30570931","Centro Social San José, Parque Pepe Lizarán, Edif. nº 1, Bajo","30800","","","696 722 534","","","10/05/2003 0:00:00"
"Asociación de Vecinos Cervantes","Asociación de Vecinos","6","","Alameda de Cervantes, nº 7. Centro Social. Paso a nivel","30800","","","649773260","","cervantes@vecinoslorca.com",""
"Asociación de Vecinos Rabaleros","Asociación de Vecinos","402","G-73600074","C/ Charco, s/n","30800","","","651 753 223","","arrabaleros@yahoo.es","01/06/2009 0:00:00"
"Asociación de Vecinos Caserio de las Palas","Asociación de Vecinos","95","G-30582993","Paraje Pantano de Puentes, buzon 4   30811 Lorca","30811","","","968 438 611","","","10/10/1997 0:00:00"
"Asociación de Vecinos de Torrealvilla","Asociación de Vecinos","94","G-30592208","Dip. Torrealvilla, 32  30800 Lorca","30814","","","653822114 - 968438105","","",""
"Asociación de Vecinos Virgen del Pilar de Aguaderas","Asociación de Vecinos","14","G-30252449","Crtra de Campo López, buzón 24-A. Panel 10","30813","","","630 918 310","","aavvaguaderas@gmail.com","10/11/1989 0:00:00"
"AAVV E l Cantal","Sin Tipo","","","Dip. El Garrobillo El Cantal 30889 Lorca","","","","968438410","","",""
"Asociación de Vecinos de Zarzalico","Asociación de Vecinos","493","G-73050510","Local Social de Zarzalico","30890","","","","","avzarzalico@gmail.com","28/04/1998 0:00:00"
"Asociación de Vecinos de Pulgara","Asociación de Vecinos","162","G-73062812","Dip. Pulgara, Camino de Castejón","30800","","","659 406 200","","","01/01/1999 0:00:00"
"Asociación de Vecinos Los Cegarras-Nogalte","Asociación de Vecinos","137","G-73073298","Diputacion de Nogalte, panel 1, buzón 4, nº 61 - ","30890","","","968439253-686 091 330","","mariadenogalte@hormail.com",""
"Asociación de Vecinos de Puntas de Calnegre","Asociación de Vecinos","195","G-73197196","Puntas de Calnegre,s/n ","30878","","","616 937 446","","",""
"AAVV San Diego-Avda. Europa","Sin Tipo","","","Avda. Europa, 31, 3ºH  30800 Lorca","","","","629458806","","",""
"Asociación de Vecinos La Escarihuela","Asociación de Vecinos","211","G-73219057","La Escucha, Escarihuela, buzon nº 7. 30813 Lorca","30813","","","607549300","","","21/10/2002 0:00:00"
"Asociación de Vecinos de Jarales de Lorca","Asociación de Vecinos","384","J-73577231","Dip.. Jarales - Junto Ermita","30811","","","616 266 920","","davidjarales@hotmail.com","06/02/2008 0:00:00"
"Club de Pensionistas y Jubilados de Ramonete","Club de Pensionistas","366","G-73297574","Local Social, Las Librilleras, s/n","30876","","","609330351","","mcalvoz@terra.es","13/02/2004 0:00:00"
"Club de Pensionistas y Jubilados de la Diputación de Rio","Club de Pensionistas","468","G-30596381","Centro Social de Diputación Rïo","30812","","","639 685 392","","",""
"Club Pensionistas  y Jubilados de Tiata","Sin Tipo","360","G-30590731","Camino Parador de los Seguras, panel 5, buzón nº 8","30800","","","652595097","","","20/03/1998 0:00:00"
"Club de Pensionistas y Jubilados de Doña Inés","Club de Pensionistas","361","G-73238685","C/ Escuelas. Diputación Doña Inés.","30812","","","968491540","","","30/12/2002 0:00:00"
"Asociacion de Animación Sociocultural del Barrio","Asociación con Fines Asistenciales","425","G-73636318","Ctra. de Caravaca, 4 - 5º G","30800","","","646 864 411","","asc.delbarrio@hotmail.com","07/04/2009 0:00:00"
"Asociación Lorca Biciudad","Asociación Deportiva","429","G-73526188","Alameda de la Constitución - Casa del Deporte","30800","","","617 470 635","968 477 386                                       ","info@lorcabiciudad.es","21/06/2007 0:00:00"
"Asociación Lorca-Activa","Asociación con Fines Asistenciales","277","G-73381485","Alameda Gimeno Castellar s/n. Edificio Noriko. 30800 Lorca","30800","","","637985637","","","15/05/2005 0:00:00"
"Coro de Cámara Modus Novus","Asociación Cultural","176","G-30366686","C/Eugenio úbeda, 2, -1º I","30800","","","868 926 329 / 616 098 496","","","17/01/1993 0:00:00"
"Cuadrilla de Ánimas de Zarzadilla de Totana","Cultural y tradiciones populares","286","G-30239099","C/ San Miguel, Zarzadilla de Totana, nº 28","30814","","","968494016/620939851/639323612/968460319","","","09/05/1990 0:00:00"
"Asociación Universitaria Musso Valiente","Sin Tipo","288","G-73413860","C/ Presbiterio Emilio García. Centro Cultural.","30800","","","968482807 - 660810176","","","05/01/2006 0:00:00"
"Asociación Cultural Cuadrilla de Aguaderas","Cultural y tradiciones populares","220","G-73203127","Salón Parroquial de Aguaderas","30815","","","638452201","","mariahernandezbenitez@gmail.com",""
"Asociación Folklore de Avilés,San Nicolás de Bari","Cultural y tradiciones populares","282","G-73405227","C/San Nicolás, 32. 30814. Lorca","30812","","","968491399/618377447","","","01/08/2005 0:00:00"
"Asociación Regional Murciana BDM Punto de Cultura","Asociación de Animación Sociocultural","222","G-73238362","C/ María Agustina, nº 1 - 7º C","30800","","","968478692","","",""
"Asociación Deportiva Cultural Club El Cejo","Asociación Deportiva","422","G-73624868","Crtra de Granada, nº71, esc.1, 2ºA","30800","","","609 229 133","","clubelcejo@gmail.com","18/03/2009 0:00:00"
"Consejo de la Juventud de Lorca","Asociación de Jóvenes","124","V-30469266","C/Jerez, nº 2, 3º A. ","30800","","","","","",""
"Asamblea Local de Cruz Roja","Asociación con Fines Asistenciales","244","","C/ Madre Teresa de Calcuta nº33-30800","30800","","","627 904 946","968477660","lorca@cruzroja.es",""
"Asociación Lorca Santiago","Asociación Cultural","334","","Hueto del Sastre, Casa del Deporte- 30800","30800","","","687 559 253","","lorcasantiago@hotmail.com","22/05/2002 0:00:00"
"Asociación Esclerosis Múltiple Area III","Asociación de Discapacitados","394","g-73596280","Alameda de Cervantes nº7 2º-C","30800","","","689 333 202","","","27/06/2008 0:00:00"
"Unión Comarcal de Comerciantes de Lorca","Organizaciones Empresariales","250","","C/ Abad de Los Arcos, nº3","30800","","","968 460 261","968 444604                                        ","comercialorca@hotmail.com","24/11/1992 0:00:00"
"Lorca Centro Comercial Abierto","Organizaciones Empresariales","235","G-73044216","C/ Abad de Los Arcos, nº3 (Edif. CECLOR)","30800","","","968 460 261","968444604","","29/04/1999 0:00:00"
"Asociación Turístico-Cultural de Lorca CTUR","Asociación Cultural","159","G-73103962","Travesía Castillo Xiquena, nº2","30800","","","616 171 607","","","26/10/2000 0:00:00"
"Club de Pensionistas y Jubilados Alfonso X el Sabio","Club de Pensionistas","354","G-30582654","C/ Eras Altas de San José, s/n","30800","","","660 959 356","","","04/03/1998 0:00:00"
"Club de Pensionistas y Jubilados de Zarcilla de Ramos","Club de Pensionistas","352","G-73023475","C/ Transformador, Local de los Mayores","30810","","","968 499 384","","","09/11/1998 0:00:00"
"Asociación Club de Pensionistas de Los Barrios Altos de Santa María","Club de Pensionistas","397","G-73591026","C/ Sicilia s/n","30800","","","666 925 395","","","29/02/2008 0:00:00"
"Asociación de Mujeres de Tercia","Asociación de Mujeres","45","G-30430961","Dip. Tercia, Camino de Villaespesa, nº 171","30815","","","627 520 562","","montseroiz-1965@hotmail.com","21/03/1994 0:00:00"
"Asociación El Buen Camino","Asociación con Fines Asistenciales","267","G-30470728","Camino de Pina, nº4- Diputación de Tercia","30815","","","968 470 162- 696 318 041","968470162","elbuencamino@live.com","16/06/1995 0:00:00"
"Asociación CUIDALOR","Asociación con Fines Asistenciales","213","","C/ Albañilería, nº3- 2ºA","30800","","","968 477 761- 901 707 423","","","21/04/2003 0:00:00"
"Club de Pensionistas y Jubilados de Morata","Club de Pensionistas","385","G-73575615","Local Social de La Ermita","30878","","","","","","12/03/2008 0:00:00"
"Asociación Club de Pensionistas y Jubilados de La Pulgara","Sin Tipo","370","G-73376808","Camino de Castejón- La Pulgara","30800","","","666 296 763","","","11/04/2005 0:00:00"
"Asociación Murciana de Rehabilitación Psicosocial","Asociación con Fines Asistenciales","471","G-73212987","C/ Impresores, nº4","30800","","","618 818 201","868 951 776                                       ","lpelegrin@isdmurcia.org","31/10/2002 0:00:00"
"Asociación de Mujeres de Puerto Muriel","Asociación de Mujeres","488","J73497539","Dip. Morata, Puerto Muriel","30878","","","699 706 428","","","30/09/2006 0:00:00"
"Asociación comarcal de Marquistas del Automóvil de Lorca (VEHILOR)","Organizaciones Empresariales","381","G-73542490","C/ Horno, nº46","30800","","","968 461 513","968 472 437                                       ","fiscal@sfgestion. com","01/02/2008 0:00:00"
"Club de Pensionistas y Jubilados de La Hoya","Club de Pensionistas","359","G-73027120","Ctra. Hinojar s/n","30816","","","67 854 544 - 968481603","","","07/01/1999 0:00:00"
"Asociación de Vecinos Venta Ceferino","Asociación de Vecinos","206","G-73183709","Venta Ceferino (La Escucha ), Buzón 19","30813","","","600 736 397","","","03/05/2002 0:00:00"
"Asociación de Mujeres La Integración","Asociación de Mujeres","36","G-30335657","Avda Antonio Campoy (Estación de Renfe), Almendricos: ","30893","","","659 881 760","","","18/06/1992 0:00:00"
"Comisiones Obreras Región de Murcia","Sindicalista","406","G-30099170","C/ Agustín de Betancourt, nº23, bajo","30800","","","968 469 319-968 410 128","","lorca@murcia.ccoo.es","21/07/1983 0:00:00"
"Club de Pensionistas y Jubilados de La Paca","Club de Pensionistas","364","G-73014250","C/ Centro de Salud nº1- Dip.La Paca","30812","","","968 491 261","","","04/12/1998 0:00:00"
"Asociación de Mujeres de Coy","Asociación de Mujeres","329","G-30492623","C/ Fuente de Abajo s/n. Dip Coy ","30812","","","630 730 301","","","24/01/2010 0:00:00"
"Asociación de Cirujanos Area 3","Organizaciones Profesionales","199","G-73129017","Travesía Juan Carlos I, Residencial Plaza Nueva, 8, planta 6ª P","30800","","","626 043 197","","gsdlv@hotmail.com","06/04/2001 0:00:00"
"Club de Pensionistas y Jubilados de San Cristóbal","Club de Pensionistas","343","G-30600191","C/ Huercal Overa","30800","","","","","","01/01/1986 0:00:00"
"Asociación de Padres de Alumnos La Merced del Colegio Madre de Dios Madres Mercedarias","Asociación de Padres y Madres de Alumnos","156","G-30064224","C/ Zapatería s/n","30800","","","968 442 311","","",""
"Asociación de Mujeres de Alameda de Cervantes","Asociación de Mujeres","50","G-30433502","Alameda de Cervantes s/n","30800","","","660 697 987","","",""
"Centro de Promoción Social de la Mujer del Barrio de Santiago","Asociación de Mujeres","29","G-30386783","C/ Rubira, nº13, bajo","30800","","","647 215 694","","","26/06/1993 0:00:00"
"Asociación de Mujeres de Torrealvilla","Asociación de Mujeres","377","g-73568586","Local Social Parroquial de torrealvilla, s/n","30814","","","968 438 105","","",""
"Asociación Cultural para Conservación de las Viejas Tradiciones de Tercia","Cultural y tradiciones populares","497","G-73618100","Molinas Tercia; Panel 21, buzón 11, nº14","30815","","","629 219 149","","molinajk@hormail.es","05/02/2009 0:00:00"
"Club  de Pensionistas de La Tova, La Parroquia","Sin Tipo","356","G-73043002","Avda. Forestal, s/n. La Tova","30811","","","677 268 283","","",""
"Asociación de Vecinos Riopar","Asociación de Vecinos","12","G-30256556","El Consejero, Panel 7, buzón 60-A","30811","","","686145594","","","16/06/1990 0:00:00"
"Asociación de Vecinos Virgen de la Piedad","Asociación de Vecinos","371","G-30590749","C/ Exma Diputación Provincial (local social)","30810","","","689973720","","","17/03/2007 0:00:00"
"Asociación Antiguas Alumnas del Colegio San Francisco","Asociación de Cooperación Social","89","G-30273486","Plaza del Negrito s/n (escalinata)","30800","","","669 375 364","","","07/04/1986 0:00:00"
"Asociación de de Madres y Padres de Alumnos del CEIP Ana Caicedo Richard, de Lorca","Asociación de Padres y Madres de Alumnos","421","G-73612616","Rancisco Escobar Barberán, nº35","30800","","","968 478 335","","anacaicedoampa@hormail.com","20/10/2008 0:00:00"
"Asociación de Mujeres de Purias","Asociación de Mujeres","70","G-30479760","Camino de Las Escuelas, panel 28, buzón 8","30813","","","610 787 777","","","18/09/1995 0:00:00"
"Club de Pensionistas y Jubilados de Torrecilla","Sin Tipo","102","G-73002412","Camino Cabalgadores s/n","30817","","","968 460 343","","","18/03/1998 0:00:00"
"Asociación de Vecinos de Morata","Asociación de Vecinos","119","G-30543201","Dip. Morata, Cuesta Morata","30878","","","639 606 854","","","01/01/1999 0:00:00"
"Asociación de Madres y Padres de Alumnos del C.P. Juan Navarro García","Asociación de Padres y Madres de Alumnos","165","G-30277222","C/ Mayor, Camino de las Escuelas","30816","","","660 334 782","","","16/01/2011 0:00:00"
"Asociación Profesional de Hosteleros de Lorca (HOSTELOR)","Organizaciones Profesionales","301","G-30322291","C/ Abad de Los Arcos, Edif. CECLOR, nº3, 3º","30800","","","968 460 261","968444604","hostelor@ceclor.net",""
"Sociedad Protectora de Animales Fauna Sol","Asociación con Fines Asistenciales","161","G-73120883","C/ Padre García, 23 bajo","30800","","","968 468 513","","","03/11/2000 0:00:00"
"Asociación de Mujeres de Diputación La Hoya","Asociación de Mujeres","327","G-30436059","Crtra Hinojar s/n","","","","676176 308","","","14/11/1994 0:00:00"
"Asociación de Mujeres de Cazalla","Asociación de Mujeres","64","G-30473540","Dip. Cazalla, Camino Vereda Alta, Local Social ","30800","","","968 444758- 669 228 850","","asomucazalla@hotmail.com","09/05/1995 0:00:00"
"Asociación de mujeres de Zarcilla de Ramos","Asociación de Mujeres","25","G-30373989","C/ Estanco nº4  de Diputación Zarcilla de Ram","30810","","","654 351 099","","","02/07/1993 0:00:00"
"Asociación de Mujeres de Ramonete","Asociación de Mujeres","495","G-73073561","Paraje La Lebrilleras, Diputación Ramonete","30876","","","649 120 257","","","25/02/2000 0:00:00"
"Asociación de Ayuda a Domicilio DAYLOR","Asociación con Fines Asistenciales","215","G-73248585","C/ Nogalte, nº21. 2º B","30800","","","968 442777","968 442777                                        ","daylor112@hotmail.com","20/05/2003 0:00:00"
"Asociación de Mujeres de Santa María","Asociación de Mujeres","40","G-30338560","C/ Sicilia s/n","30800","","","678 976 250","","",""
"Asociación de Mujeres de Zarzadilla","Asociación de Mujeres","105","G-73006744","Dip. Zarzadilla de Totana, C/ Constitución, s/n","30814","","","660 353 343","","","02/10/1998 0:00:00"
"Asociación de Vecinos Sierra de Pedro Ponce","Asociación de Vecinos","16","G30292460","Plaza de San Miguel s/n, Dip. Zarzadilla de Totana","30814","","","608 686 575","","","02/05/1980 0:00:00"
"Asociación de Mujeres del Barrio de los Ángeles","Asociación de Mujeres","41","G-30428981","Paseo de los Ángeles, 3 -Bajo","30800","","","968 441 019","","ginibermejo@gmail.com","04/10/1994 0:00:00"
