idexpediente,objeto,Nombre,Precio,TipoContrato
"26/2017","SERVICIO DE PERSONAL ESPECIALIZADO PARA DESARROLLO DE UN PROYECTO DE PREVENCIÓN DEL ABSENTISMO ESCOLAR","JAVIER RODRIGUEZ FRAGOSO","8847","Servicios"
"27/2017","SERVICIO RELATIVO A CONTRATACIÓN DE CURSOS DEL ÁREA DE DESARROLLO Y EXPRESIÓN ARTÍSTICA PARA PERSONAS MAYORES","INICIATIVAS EL GIGANTE S.L.","8074","Servicios"
"28/2017","SERVICIO RELATIVO A CONTRATACIÓN DE CURSOS DE NUEVAS TECNOLOGÍAS PARA PERSONAS MAYORES","INICIATIVAS EL GIGANTE S.L.","9361","Servicios"
"29/2017","SERVICIO PARA LA CONTRATACIÓN DE CURSOS DE ESTIMULACIÓN COGNITIVA PARA MAYORES EN DISTINTOS CENTROS MUNICIPALES DE LORCA","FUNDACION PONCEMAR","5831.32","Servicios"
"30/2017","SERVICIO PARA LA CONTRATACIÓN DE LA PRESTACIÓN DE LOS CURSOS INCLUIDOS EN EL PROYECTO DE TEATRO EXPRESIÓN DE LAS EMOCIONES A TRAVES DEL LENGUAJE ESCÉNICO, DESDE LA CONCEJALIA DE IGUALDAD","COMPAÑIA TEATRO GUERRA, S.L.U","9240","Servicios"
"31/2017","EJECUCIÓN SUBSIDIARIA DE LAS  OBRAS INDICADAS EN EL EXPEDIENTE URBANÍSTICO OE-39/2016, EN INMUEBLE SITUADO EN AV SANTA CLARA Nº 34","NIGAZMI S.L.","1700","Obras"
"32/2017","ADQUISICION DE VESTUARIO PARA EL COLECTIVO DE CONSERJES, NOTIFICADORES, AÑO 2017","LORCAEPIS S.L.L.","11245","Suministros"
"33/2017"," SERVICIO DE LIMPIEZA  PARA LOS VESTUARIOS MENORES DEL COMPLEJO FUTBOLISTICO CIUDAD DE LORCA, DESTINADOS AL FÚTBOL BASE.","NOGALTE SERVICIOS INTEGRALES S.L.U.","8319","Servicios"
"41/2017","SERVICIOS DE FORMACIÓN, ASESORÍA TÉCNICA DE EMPRESAS ADHERIDAS AL SISTEMA INTEGRAL DE CALIDAD TURÍSTICA EN DESTINO SICTED CICLO 4, CICLO 3, CICLO 2, RENOVACIÓN Y NUEVAS ADHESIONES CICLO 1","CAYETANO UREÑA ZAFRA","7000","Servicios"
"42/2017","SUMINISTRO VESTUARIO POLICIA LOCAL 2017","INSIGNA UNIFORMES, S.L","15183.81","Suministros"
"44/2017","REDACCIÓN DEL PLAN ESPECIAL DEL ENTORNO DE LA MERCED ZONA DE REFORMA URBANISTICA JUNTO AL PUENTE DE LA ALBERCA INCLUIDO EN EL PLAN ESPECIAL DE PROTECCIÓN Y REHABILITACIÓN INTEGRAL EN EL CONJUNTO HISTÓRICO DE LORCA (P.E.P.R.I).","JUAN CARLOS CARTAGENA SEVILLA","9169","Servicios"
"46/2017","SERVICIO DE ELABORACIÓN DEL PLAN ESTRATÉGICO DEL CASCO HISTÓRICO DE LORCA","UNIVERSIDAD DE MURCIA","17998.75","Servicios"
"47/2017","ADQUISICIÓN DE UN VEHÍCULO TIPO FURGONETA, CON DESTINO AL SERVICIO DE PARQUES Y JARDINES ","AUTOMOCION DEL NOROESTE S.A.","13907.98","Suministros"
"48/2017","ADQUISICIÓN DE UN VEHÍCULO TIPO FURGONETA CON DESTINO AL SERVICIO DE DEPORTES","AUTOMOCION DEL NOROESTE S.A.","13050","Suministros"
"49/2017","ADQUISICIÓN DE UN VEHÍCULO TIPO TURISMO CON DESTINO AL SERVICIO DE GESTIÓN TRIBUTARIA","AUTOMOCION DEL NOROESTE S.A.","12585","Suministros"
