nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación Juvenil Las Terreras","Asociación de Jóvenes","265","G-73033904","Juan Carlos I, nº 6. Las Terreras, nº 6","30812","","","659336130","","","12/03/1999 0:00:00"
"Asociación Juvenil Cultural Nickelodeon de Lorca","Asociación de Jóvenes","273","G-73380503","C/ Panadería, nº 5, Pta. nº 1º D","30800","","","","","","13/04/2005 0:00:00"
"Asociación de Jóvenes de Doña Inés","Asociación de Jóvenes","274","G-30478036","","","","","","","","01/01/1995 0:00:00"
"Asociación Juvenil, Cultural y Deportiva de Coy","Asociación de Jóvenes","116","G-30252613","C/ Camino de Doña Inés, s/n","30812","","","620 158 420","","pilar-coy@hotmail.com","10/06/2010 0:00:00"
"Asociación Juvenil Alpinistas Tapena","Asociación de Jóvenes","291","G-73420796","C/ Narciso Yepes, nº 11","30800","","","626045825","","txuso85@hotmail.com","01/05/2005 0:00:00"
"Asociación Juvenil Deportivo-Cultural La Parroquia","Asociación de Jóvenes","292","G-30445605","Dip. La Parroquia. CL. Forestal. nº 1","30811","","","","","","27/02/1995 0:00:00"
"Asociación Juvenil de Ocio Alternativo Qdamos","Asociación de Jóvenes","297","G-73430290","C/ Nogalte, nº 17. Pl 3º","30800","","","626710965","968460215","Q-DAMOS@HOTMAIL.COM","11/02/2006 0:00:00"
"Asociación Juvenil de Estudiantes C.P. José Robles","Asociación de Jóvenes","133","G-73070559","Alameda de los Tristes, s/n","30800","","","968 468 726","","",""
"Asociación Juvenil Deportivo Cultural de Avilés","Asociación de Jóvenes","322","G-30485189","Barrio del Rocío, s/n","30812","","","633379865","","marive10@hotmail.com","02/03/2009 0:00:00"
"Asociación de Jóvenes de Purias","Asociación de Jóvenes","180","G-30335822","Dip. Purias, Camino de Las Monjas, s/n","30813","","","","","",""
"Asociación Juvenil Arrabal","Asociación de Jóvenes","188","G-73027922","C/ Charco, s/n","30800","","","","","",""
"Asociación Juvenil de Cazalla","Asociación de Jóvenes","192","J-30456580","Travesía de la Asociación, nº 7 C, Panel 52, Dip. Cazalla  ","30818","","","","","",""
"Asociación Juvenil Paso Blanco -AJPB-","Asociación de Jóvenes","333","G73511313","C/ Santo Domingo, nº 8","30800","","","607940335","","ajpb-3@hotmail.com","26/12/2006 0:00:00"
"Asociación Juvenil Lorca Musical","Asociación de Jóvenes","339","G-73561854","Carretera de Granada, Edf. Velánzquez, nº 43, Esc. 2, Pl 4, Pta. D","30800","","","660623204","968460215","lorcamusical@lorca.es","25/04/2007 0:00:00"
"Asociación Juvenil San Clemente de Lorca","Asociación de Jóvenes","341","G-73559528","Alameda Poeta Gimeno Castellar, s/n. Ed. Noriko. Planta sótano.","30800","","","","","","07/03/2007 0:00:00"
"Asociación Juvenil La Torrecilla","Asociación de Jóvenes","383","G-30455877","Ermita de Burruezo, Buzón 5","30817","","","687 277 263","","","11/12/2004 0:00:00"
"Asociación Juvenil San Pedro, San Juan y Santa María","Asociación de Jóvenes","415","G-73618662","C/ Sicilia, 6","30800","","","677 711 563","","nuriapsanchez@hotmail.com","30/12/2008 0:00:00"
"Asociación Juvenil Sutullena","Asociación de Jóvenes","419","G-73619306","Avda. de Sutullena, nº 2","30800","","","639 479 379","","",""
"ORGANIZACIÓN JUVENIL ESPAÑOLA","Asociación de Jóvenes","436","G-28556728","c/ Hernando de Burgos, 12","30800","","","665 832 226","","","18/07/1960 0:00:00"
"Asociación Juvenil La Loma de Lorca","Asociación de Jóvenes","369","G-73565814","C/ Arcipreste Montesinos, nº 13","30800","","","622749019","","","16/12/2007 0:00:00"
"Asociación Juvenil LORKOS","Asociación de Jóvenes","452","G-73661282","Avda. Juan Carlos I, nº 58, 3º D","30800","","","637 291 407","","","08/01/2008 0:00:00"
"Asociación Juvenil Musical Propiedad Privada","Asociación de Jóvenes","456","G-73672917","C/ Padre García, 23 bajo","30800","","","665 832 226","","","11/05/2010 0:00:00"
"Asociación Juvenil Medicina Musical de Lorca","Asociación de Jóvenes","459","G-73686388","Ctra. de la Almenara, s/n, Buzón 155, Parcela O - Puente Botero","30813","","","677 092 597","","josemasax_93@hotmail.com","01/05/2010 0:00:00"
"Asociación Juvenil Rule","Asociación de Jóvenes","465","G-73710626","Alameda de los Tristes, nº 4, Esc. 2, planta 1ª, Puerta C","30800","","","637 961 419","","","30/10/2010 0:00:00"
"Asociación Juvenil Donarte","Asociación de Jóvenes","481","G-73744559","Dip. Tercia, C/ Baldazos, nº 22","30815","","","634 421 154","","","22/01/2012 0:00:00"
"Asociación de Jóvenes de Campillo","Asociación de Jóvenes","486","G-30146112","Carretera de Almenara, 56 - A","30813","","","652 647 002","","","26/08/1986 0:00:00"
