nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación Cultural Lorca Baila Conmigo","Asociación Cultural","317","G-73477903","C/ Morería, Residencial Mirador, Dúplex 42","30800","","","696469111","","lorcabailaconmigo@hotmail.com","30/03/2006 0:00:00"
"Asociación Artesano Cultural de las Tierras Altas de Lorca","Asociación Cultural","321","G-73512774","C/ Plaza La Cuesta, nº 1","30812","","","968491399","","",""
"Asociación Cultural Taller de Albéniz Música","Asociación Cultural","157","G-73100703","C/ Santa Paula, 7 ","30800","","","","","",""
"Asociación para la Promoción de Actividades Turísticas y Culturales TURILOR","Asociación Cultural","158","G-73105553","Alameda Ramón y Cajal, Edificio Armonía, Esc. 3 - 2º A","30800","","","","","",""
"Asociación Cultural de Amigos del Flamenco Ciudad del Sol","Asociación Cultural","166","G-30415863","Dip. Cazalla, Travesía de la Sociación, nº 7, Panel 52","30818","","","650 491 250","","aso.culturalflamencalorca@hotmail.com",""
"Grupo de Coros y Danzas Virgen de las Huertas de Lorca","Cultural y tradiciones populares","172","G-30205009","Huerto de la Rueda, nº 1","30800","","","676356843","","","03/02/1986 0:00:00"
"Compañía Estable del Teatro Guerra de Lorca","Asociación Cultural","174","G-30324628","Plaza Calderón de la Barca, s/n","30800","","","686 668 662","","","01/01/1991 0:00:00"
"Asociación Colectivo Cultural Clase Dos","Asociación Cultural","175","G-73157778","Dip. Tiata, Partidor de los Morales, 23","30800","","","","","",""
"Asociación Musicocultural Elioblues","Asociación Cultural","336","G-73558413","C/ Guillermo Oliver, 4, 2º A","30800","","","968472404","","losdestilados@hotmail.com","29/09/2007 0:00:00"
"ASOCIACIÓN CULTURAL BIBLIOSOL","Asociación Cultural","198","G-73191660","Alameda de Cervantes, nº 10 - 3º D","30800","","","600 022 508","","","10/07/2002 0:00:00"
"Asociación Cultural Cena Pagana","Asociación Cultural","390","G-73581043","C/ Franco, 18","30800","","","620 876 909","","cenapagana@gmail.com","16/04/2008 0:00:00"
"Asociación Cultural Albaraka","Asociación Cultural","393","G-73564007","C/ Ortega melgares, 71 - 2º E","30800","","","968 472 514 / 648 601 609","","afi8970@hotmail.com","01/12/2007 0:00:00"
"Asociación Amigos del Pradico Ermita de San Antón","Cultural y tradiciones populares","409","G-73609570","Dip. Parrilla, Local Social de Consejero","30811","","","","","","16/08/2008 0:00:00"
"Asociación Cultural Deportiva de la Policía Local de Lorca ACUDEPOL 24","Asociación Cultural","416","G-73624389","Avda. Fuerzas Armadas (Cuartel Policía Local), s7n","30800","","","676 935 371","","","22/12/2008 0:00:00"
"Asociación Cultural Duende y Compás de Lorca","Asociación Cultural","417","G-73622870","Dip. Campillo, Ctra. de Águilas, nº 146 - 1º","30813","","","","","duendeycompasdelorca@gmail.com","05/12/2008 0:00:00"
"Asociación Amigos de la Pasión de Lorca","Asociación Cultural","435","G-73545907","C/ Nogalte, 40, bajo","30800","","","","","","03/04/2008 0:00:00"
"Asociación Cuadrilla de Avilés","Cultural y tradiciones populares","367","G-73555328","C/ San Nicolás, nº 32","30812","","","968491399","","","04/11/2007 0:00:00"
"Asociación Cultural Virgen de los Dolores de Avilés","Asociación Cultural","442","G-73659666","Dip. Avilés, Barrio del Rocío, s/n","30812","","","686 975 438","","","06/10/2009 0:00:00"
"Asociación Cultural y Social Amigos de la Danza de Lorca y Puerto Lumbreras","Asociación Cultural","462","G-73659112","C/ Terrer Leonés, 2 - 1ª","30800","","","968 464 658","968 464 658                                       ","","22/01/2010 0:00:00"
"Grupo Cultural de Cante y Baile Andaluz Chico","Asociación Cultural","484","G-73582868","Dip. Tercia, Camino de Baldazos","30815","","","","","","05/05/2005 0:00:00"
"Asociación Trovera Ciudad del Sol","Cultural y tradiciones populares","485","G-73335408","Dip. Tercia, Camino Baldazos","30815","","","600 584 854","","","05/05/2005 0:00:00"
"Asociación Peña La Jarapa","Cultural y tradiciones populares","489","G-73055477","C/ Charco","30800","","","868 927 094 ","","","04/11/2001 0:00:00"
"Asociación Patchwork","Asociación Cultural","498","G-73707093","Avda. Juan Carlos I, nº 58, Pl. 5, Pta. 1","30800","","","630655341","","","23/01/2012 0:00:00"
"Asociación Cultural Metal Lorca","Asociación Cultural","501","G-73772782","Alameda de Cervantes, Residencial Las Palmeras, nº 60, Esc I, Pl. 3º Pta. A","30800","","","","","","03/09/2012 0:00:00"
"Asociación Cultural El Arte del Bordado en Lorca y su Puesta en Escena en sus Desfiles Bíblico Pasionales.","Cultural y tradiciones populares","508","G-73797755","C/ Presbítero Emilio García, 5 - 2º","30800","","","630 520 882","968 471 620                                       ","candidaturaunesco@lorca.es","15/11/2012 0:00:00"
"Asociación Fray Alonso de Vargas (AFAV)","Asociación Cultural","510","G-73801672","C/ Alonso de Vargas, s/n, Taberna La Luz","30800","","","","","","24/01/2013 0:00:00"
"Asociación Cultural Amigos de las Sevillanas Tercia","Cultural y tradiciones populares","515","G-73571101","Camino Villaespesa Local Social","30815","","","656810731","","","08/01/2008 0:00:00"
"Asociación Patrimonio Musical y Amigos de la Música de Lorca","Asociación Cultural","512","G-73809337","Dip. Purias, Carretera de Aguilas, Km. 72, Panel 27- Buzón 8","30813","","","679 186 633","","","24/05/2013 0:00:00"
"Hermandad Nuestra Señora del Rocío de Lorca","Cultural y tradiciones populares","516","","C/ Nogalte, 33","30800","","","633793954","","","12/11/2013 0:00:00"
"Asociación Belenista de Lorca","Cultural y tradiciones populares","126","G-73008922","C/ Mazarróan, nº 2","30800","","","650 889 667","","belenistasdelorca@hotmail.com","01/11/1998 0:00:00"
"Federación Espartaria","Asociación Cultural","519","G-73832495","Dip. La Paca, Avda. Juan Carlos I, 5","30812","","","696 184 018 - 610039099","","","10/05/2013 0:00:00"
"Asociación Amigos de la Cultura","Asociación Cultural","521","G30040752","C/ Poeta Gimeno Castellar, s/n","30800","","","","","info@amigosde la cultura.org","23/07/1979 0:00:00"
"ASOCIACIÓN PARA EL DESARROLLO DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES","Asociación Cultural","533","G-73622945","C/ Abad de Los Arcos, nº3 - 3º","30800","","","968460261","","desarrollo@adetic.es","30/03/2009 0:00:00"
"ASOCIACIÓN CULTURAL BOLIVIA CORAZÓN DE AMÉRICA LORCA","Asociación Cultural","534","G-73885923","AVDA. JUAN CARLOS I, 4 - 7º B","30800","","","608069950","","","13/12/2014 0:00:00"
"ASOCIACIÓN JUVENTUDES MUSICALES COMARCA DEL GUADALENTÍN","Asociación Cultural","540","G-73883530","CALLE FORJADORES, 12","30800","","","616 098 496","","","11/01/2015 0:00:00"
"ASOCIACIÓN LORCA POR SU PATRIMONIO CULTURAL","Asociación Cultural","544","G-73908071","C/ ORTEGA MELGARES CABALLÓN, 8 - 3º - 1º","30800","","","660280241","","lorcapatrimonio@gmail.com","31/03/2016 0:00:00"
"ASOCIACIÓN CULTURAL AMIGOS DE LAS TRADICIONES DE PUNTAS DE CALNEGRE","Asociación Cultural","546","G-73922569","Dip. Ramonete, Puntas de Calnegre, 24","30876","","","626603111","","","03/12/2015 0:00:00"
