nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación de Personas Mayores y Familiares Solidaridad Intergeneracional.","Asociación con Fines Asistenciales","418","G-49225980","Dip. Pulgara, s/n","30800","","","968 467 696","968 472 652                                       ","","10/03/2005 0:00:00"
"Asociac ión Centro de Mediación","Asociación con Fines Asistenciales","420","G-73595282","C/Lope Gisbert, 36 - 3º - A","30800","","","968 449 275","968 449 275                                       ","mediacionyfamilia@telefonica",""
"Fundación Miguel Caballero","Asociación con Fines Asistenciales","423","G-73630584","Dip. Zarzadilla de Totana, C/ Grupo Escolar, 14","30814","","","638 413 499","","fundacionmiguelcabballero@gmail.com","03/02/2009 0:00:00"
"Asociación La Fábula (Asociación de Asistencia Psicosocial de la Región de Murcia)","Asociación con Fines Asistenciales","432","G-73577611","Alameda de la Constitucióin, s/n","30800","","","626 101 878","","jlmorlanes@hotmail.com","19/02/2008 0:00:00"
"Asociación Altay Trabajo Social","Asociación con Fines Asistenciales","453","G-73669186","C/ Martín Morata, 6 - 3º C","30800","","","617 452 807","","altaytrabajosocial@gmail.com","26/11/2009 0:00:00"
"Plataforma de Afectados por los Terremotos de Lorca","Asociación con Fines Asistenciales","469","","C/ Ingeniero Juan Escofet, 26, 1º, Izda.","30800","","","","","","14/05/2011 0:00:00"
"Asociación ANIKE VOLUNTARIOS","Asociación con Fines Asistenciales","477","G-73718611","Travesía Castillo Xiquena, nº 1, 2º B","30800","","","","","","11/02/2011 0:00:00"
"Sociedad de Socorros Mútuos La Unión Obrera","Asociación con Fines Asistenciales","487","G-30099394","C/ Alcalde Pelegrín Rodríguez, 20","30800","","","600 072 113","","","20/12/1985 0:00:00"
"ASTRADE, Asociación para la Atención de Personas con Trastornos del Desarrollo de la Región de Murcia","Asociación con Fines Asistenciales","503","G-30508931","C/ Francisco Escobar Balberán, s/n","30800","","","968470996","968119100","astrade@astrade.es","27/05/1996 0:00:00"
"Asociación Nueva Vida de Totana","Asociación con Fines Asistenciales","518","G-73811051","C/ Ortega Melgares, 18 - 3º E","30800","","","632 728 074","","",""
"Ayuda a los Niños de Bolivia","Asociación con Fines Asistenciales","290","G-73400913","C/ Los Guiraos, 15","30800","","","C/ Los Guiraos, 15","","","14/10/2005 0:00:00"
"Asociación Nuevos Lorquinos","Asociación con Fines Asistenciales","529","G-73713430","C/ José Mouliaa, 48","30800","","","692 066 946","","nuevoslorquinos@hotmail.com","07/06/2011 0:00:00"
"Asociación de Ayuda al Enfermo Renal, ADAER","Asociación con Fines Asistenciales","550","G-30576417","Avenida de la Salud, 7","30800","","","626865415","968230780","adaer@adaer.org","08/11/1997 0:00:00"
"Obra Social Santa Luisa de Marillac","Asociación con Fines Asistenciales","552","R-3000062D","C/ Sor Matilde García, 31","30800","","","669574139","","calasanz1@hotmail.com",""
"Grupo Solidario Camino de la Esperanza","Asociación con Fines Asistenciales","558","G-73851750","Dip. La Hoya, Ctra. Nueva, 82","30816","","","679251340","","ibarcas@hotmail.com","22/11/2013 0:00:00"
