idconcejalia,concejalia,telefono,fax,email,web,horario,ubicada,direccion,longitud,latitud,nombreconcejal,biografia,foto,cargo
"17","Concejalía de Educación y Universidad","968479713","","educacionyuniversidad@lorca.es","","","Educación","Plaza de Carruajes s/n","-1.69607988668599","37.6723102718929","Francisco Felix Montiel Sánchez","Nace en Lorca el 24 de Agosto de 1.954, está casado y tiene 2 hijos. Es maestro en C.P. "Pérez de Hita", en situación de servicios especiales. 
Es concejal del Excmo. Ayuntamiento de Lorca con dedicación exclusiva desde febrero de 2.005.  
Desde el año 2.007 ocupa el cargo de Primer Teniente de Alcalde, habiendo asumido las Concejalías de Turismo, Comercio, Artesanía y Deportes durante la legislatura 2.007-2.011 y desde 2.011 las Concejalías Turismo, Educación y Universidad.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20paco%20montiel%20[min].jpg","Primer Teniente de Alcalde"
"24","Concejalía de Turismo","968479747","","ciudaddelsol@lorca.es","http://www.lorcaturismo.es/","","Calle Selgas (Estadística y Turismo)","C/ Selgas","-1.70040897203603","37.6750383015933","Francisco Felix Montiel Sánchez","Nace en Lorca el 24 de Agosto de 1.954, está casado y tiene 2 hijos. Es maestro en C.P. "Pérez de Hita", en situación de servicios especiales. 
Es concejal del Excmo. Ayuntamiento de Lorca con dedicación exclusiva desde febrero de 2.005.  
Desde el año 2.007 ocupa el cargo de Primer Teniente de Alcalde, habiendo asumido las Concejalías de Turismo, Comercio, Artesanía y Deportes durante la legislatura 2.007-2.011 y desde 2.011 las Concejalías Turismo, Educación y Universidad.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20paco%20montiel%20[min].jpg","Primer Teniente de Alcalde"
"110","Concejalía de Industria","","","","","","Centro Integral de Seguridad Ciudadana","Avda. alcalde José López Fuentes","-1.69938005608276","37.657982574535","Juan Miguel Bayonas López","Nacido el 21/02/1973 en Lorca<br><br> 
Rabalero, de Familia rabalera (los Terreras) ha vivido en el barrio de San Cristóbal, concretamente en la calle Charco hasta hace ocho años cuando me mudo a la calle San Fernando (junto al Puente de los Carros, también barrio de san Cristóbal). De familia de curtidores (padre y abuelo).<br> 
Licenciado en Filosofía y Letras en la especialidad de Filología Inglesa. Acabé la carrera como alumno erasmus en Gales (Reino Unido) en 1998.<br> 
Trabajó como profesor en un colegio privado en Sagunto, Valencia en 1999.<br> 
En el año 2001 se incorporó a la empresa Adelosa SL Correduría de Seguros del Grupo Gestoría García Clemente pasando en 2003 a ser socio-administrador de la misma y director técnico. Hasta la actualidad.<br> 
Miembro de la Junta de Gobierno del Colegio de Mediadores de la Región de Murcia.<br> 
Mediador Civil y Mercantil (Colegio de Abogados de Lorca)<br><br> 
  
En el Paso Encarnado:<br> 
Hermano Mayor de la Hermandad de nuestro Padre Jesús de la Penitencia 2006-2010<br> 
Director del Museo de Bordados del Paso Encarnado 2006 -2014<br> 
Vicepresidente del Paso Encarnado 2010-2014<br> 
Presidente de la Escuela de música cofrade de Lorca. 2008-hasta la actualidad<br><br> 
  
Actualmente miembro de la Asociación “El arte del Bordado de Lorca y su puesta en escena en los Desfiles Bíblico Pasionales”.","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/JMBayonas.jpg","Concejal"
"36","Concejalía de Protección Civil y Emergencias","968 473 707","968471607"," 112lorca@lorca.es | proteccioncivil@lorca.es","http://emergencias.lorca.es/","","Centro Integral de Seguridad Ciudadana","Avda. alcalde José López Fuentes","-1.69938005608276","37.657982574535","Juan Miguel Bayonas López","Nacido el 21/02/1973 en Lorca<br><br> 
Rabalero, de Familia rabalera (los Terreras) ha vivido en el barrio de San Cristóbal, concretamente en la calle Charco hasta hace ocho años cuando me mudo a la calle San Fernando (junto al Puente de los Carros, también barrio de san Cristóbal). De familia de curtidores (padre y abuelo).<br> 
Licenciado en Filosofía y Letras en la especialidad de Filología Inglesa. Acabé la carrera como alumno erasmus en Gales (Reino Unido) en 1998.<br> 
Trabajó como profesor en un colegio privado en Sagunto, Valencia en 1999.<br> 
En el año 2001 se incorporó a la empresa Adelosa SL Correduría de Seguros del Grupo Gestoría García Clemente pasando en 2003 a ser socio-administrador de la misma y director técnico. Hasta la actualidad.<br> 
Miembro de la Junta de Gobierno del Colegio de Mediadores de la Región de Murcia.<br> 
Mediador Civil y Mercantil (Colegio de Abogados de Lorca)<br><br> 
  
En el Paso Encarnado:<br> 
Hermano Mayor de la Hermandad de nuestro Padre Jesús de la Penitencia 2006-2010<br> 
Director del Museo de Bordados del Paso Encarnado 2006 -2014<br> 
Vicepresidente del Paso Encarnado 2010-2014<br> 
Presidente de la Escuela de música cofrade de Lorca. 2008-hasta la actualidad<br><br> 
  
Actualmente miembro de la Asociación “El arte del Bordado de Lorca y su puesta en escena en los Desfiles Bíblico Pasionales”.","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/JMBayonas.jpg","Concejal"
"7","Concejalía de Deportes","968466130","968463511","deportes@lorca.es","http://www.deportes.lorca.es/","","Casa del Deporte","Alamedas de Lorca","-1.69475755764165","37.6728707468811","Juan Miguel Bayonas López","Nacido el 21/02/1973 en Lorca<br><br> 
Rabalero, de Familia rabalera (los Terreras) ha vivido en el barrio de San Cristóbal, concretamente en la calle Charco hasta hace ocho años cuando me mudo a la calle San Fernando (junto al Puente de los Carros, también barrio de san Cristóbal). De familia de curtidores (padre y abuelo).<br> 
Licenciado en Filosofía y Letras en la especialidad de Filología Inglesa. Acabé la carrera como alumno erasmus en Gales (Reino Unido) en 1998.<br> 
Trabajó como profesor en un colegio privado en Sagunto, Valencia en 1999.<br> 
En el año 2001 se incorporó a la empresa Adelosa SL Correduría de Seguros del Grupo Gestoría García Clemente pasando en 2003 a ser socio-administrador de la misma y director técnico. Hasta la actualidad.<br> 
Miembro de la Junta de Gobierno del Colegio de Mediadores de la Región de Murcia.<br> 
Mediador Civil y Mercantil (Colegio de Abogados de Lorca)<br><br> 
  
En el Paso Encarnado:<br> 
Hermano Mayor de la Hermandad de nuestro Padre Jesús de la Penitencia 2006-2010<br> 
Director del Museo de Bordados del Paso Encarnado 2006 -2014<br> 
Vicepresidente del Paso Encarnado 2010-2014<br> 
Presidente de la Escuela de música cofrade de Lorca. 2008-hasta la actualidad<br><br> 
  
Actualmente miembro de la Asociación “El arte del Bordado de Lorca y su puesta en escena en los Desfiles Bíblico Pasionales”.","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/JMBayonas.jpg","Concejal"
"32","Concejalía de Patrimonio Histórico","968479700","","reactivacioncomercios@lorca.es","http://www.reactivaciondelcascohistorico.lorca.es/","","Centro Cultural de la ciudad","C/ Presbítero Emilio García s/n","-1.69722250772634","37.6741700135269","Agustín Llamas Gómez","Nace en Lorca, 12 de Marzo de 1985. 
Ha sido Presidente del Consejo de la Juventud de Lorca durante los años 2006-2009 y del Consejo de la Juventud de la Región de Murcia desde el año 2.009 hasta el año 2.011 en que es nombrado Concejal del Ayuntamiento de Lorca, al frente de las Concejalías de Juventud, Deportes y Vivienda. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/agustin.jpg","Concejal"
"11","Concejalía de Juventud","968444643","","informajoven@lorca.es","http://www.lorcajoven.es/","","Centro de Desarrollo Local (CDL)","Alameda de Cervantes nº 30","-1.69807813240209","37.6682127314507","Agustín Llamas Gómez","Nace en Lorca, 12 de Marzo de 1985. 
Ha sido Presidente del Consejo de la Juventud de Lorca durante los años 2006-2009 y del Consejo de la Juventud de la Región de Murcia desde el año 2.009 hasta el año 2.011 en que es nombrado Concejal del Ayuntamiento de Lorca, al frente de las Concejalías de Juventud, Deportes y Vivienda. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/agustin.jpg","Concejal"
"8","Concejalía de Cultura y Festejos","968477999","","cultura@lorca.es","http://www.culturayfestejos.lorca.es/","","Centro Cultural de la ciudad","C/ Presbítero Emilio García s/n","-1.69722250772634","37.6741700135269","Agustín Llamas Gómez","Nace en Lorca, 12 de Marzo de 1985. 
Ha sido Presidente del Consejo de la Juventud de Lorca durante los años 2006-2009 y del Consejo de la Juventud de la Región de Murcia desde el año 2.009 hasta el año 2.011 en que es nombrado Concejal del Ayuntamiento de Lorca, al frente de las Concejalías de Juventud, Deportes y Vivienda. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/agustin.jpg","Concejal"
"18","Concejalía de Gestión y Recuperación tras Terremoto","968477480","","","","","La Merced (Gerencia de Urbanismo)","Puente La Alberca s/n","-1.69656134320417","37.679574888426","Saturnina Martínez Pérez","Nacida en Lorca, en 1.956. Está casada y tiene dos hijas. 
Diplomada Universitaria por enfermería, profesión que ejerce hasta 2.011 en distintos ámbitos de la asistencia sanitaria. Master en Dirección y Gestión de Servicios Sanitarios por la Universidad de Barcelona. 
Ha desempeñado puestos de responsabilidad como Directora de los Hospitales del Altiplano, Morales Meseguer, Rafael Méndez y Área III de Salud. 
Es Concejal de Gestión y Recuperación tras el terremoto del Excmo. Ayuntamiento de Lorca desde el año 2.011. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/satur.jpg","Teniente de Alcalde"
"25","Concejalía de Urbanismo y Medio Ambiente","968477619","","urbanismo@lorca.es","http://www.urbanismo.lorca.es/","","La Merced (Gerencia de Urbanismo)","Puente La Alberca s/n","-1.69656134320417","37.679574888426","Saturnina Martínez Pérez","Nacida en Lorca, en 1.956. Está casada y tiene dos hijas. 
Diplomada Universitaria por enfermería, profesión que ejerce hasta 2.011 en distintos ámbitos de la asistencia sanitaria. Master en Dirección y Gestión de Servicios Sanitarios por la Universidad de Barcelona. 
Ha desempeñado puestos de responsabilidad como Directora de los Hospitales del Altiplano, Morales Meseguer, Rafael Méndez y Área III de Salud. 
Es Concejal de Gestión y Recuperación tras el terremoto del Excmo. Ayuntamiento de Lorca desde el año 2.011. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/satur.jpg","Teniente de Alcalde"
"112","Semana Santa","","","","","","Ayuntamiento de Lorca","Plaza de España s/n","-1.69980011058965","37.6764882563243","Fulgencio Gil Jódar","Nacido en Lorca el 23/11/1972 <br> 
Titulación: Licenciado en Derecho por el Centro de Estudios Superiores San Pablo C.E.U., adscrito a la Universidad Complutense de Madrid, Promoción 1.990- 1.995.  
<br><br> 
Cursados los estudios de Doctorado en Derecho por la Universidad de Murcia, bienio 2.006-2.008, en la rama de Derecho Público, habiendo finalizado los dos cursos del periodo de docencia, consistentes en seminarios de Derecho Administrativo, Derecho Penal, Derecho Internacional Público y Derecho Procesal. Obtenida la suficiencia investigadora por la Universidad de Murcia en Diciembre de 2.008, y actualmente en proceso de elaboración de tesis doctoral en materia de Derecho Administrativo.  
<br><br> 
Otros Títulos: <br> 
-. Diploma del Curso Práctico de Procedimientos Jurídicos, realizado del 17 de Octubre de 1.994 al 31 de Mayo de 1.995 en la Escuela de Práctica Jurídica del Centro de Estudios Superiores San Pablo C.E.U. <br> 
-. Diploma del Curso sobre el Nuevo Código Penal, organizado por la Escuela de Práctica Jurídica de Murcia y el Ilustre Colegio de Abogados de Lorca, celebrado en Lorca, en Junio de 1.996. <br> 
-. Diploma del Curso de negociación con proveedores, organizado por CECLOR, celebrado en Lorca en Noviembre de 1.998. <br> 
-. Diploma del Curso de gestión de impagados y prevención de la morosidad, impartido por la Agrupación Iniciativas Empresariales, en Madrid en Marzo de 1.998. <br> 
-. Diploma del Curso sobre la Ley Penal del Menor, celebrado por el Ilustre Colegio de Abogados de Lorca en colaboración con la Escuela de Práctica Jurídica de Murcia, en Febrero y Marzo de 2.001. <br> 
 -. Diploma del Curso sobre la Ley Reguladora de la Orden de Protección para las Víctimas de la Violencia Doméstica, organizado por el Instituto de la Mujer de la Región de Murcia en colaboración con el Ilustre Colegio de Abogados de Lorca, celebrado los días 25 y 26 de Enero de 2.005. <br> 
 -. Diploma del Curso de formación en materia de Extranjería, organizado por el Colegio de Abogados de Lorca en colaboración con la Escuela de Práctica Jurídica de la Universidad de Murcia, que constó de 20 horas lectivas, celebrado en Marzo de 2.005.  
<br><br> 
3.- IDIOMAS. <br> 
Inglés: Nivel alto. Hablado y escrito. Certificado del South Australian College of English de haber realizado el curso de doce semanas en dicho Centro, en la ciudad de Adelaida (Australia del Sur) alcanzando el nivel Upper Intermediate.  
<br><br> 
4.- EXPERIENCIA PROFESIONAL. <br> 
-. Estancia desde el 1 de Febrero al 24 de Mayo de 1.996 en la Mercantil Michell Leather Pty. Ltd. de Adelaida, Estado de Australia del Sur realizando trabajos propios de la dirección de una empresa de Curtidos. <br> 
-. Director Comercial y asesor jurídico de grupo familiar de empresas del sector del curtido de Lorca entre Junio de 1.996 y Junio de 2.007. <br> 
-. Abogado Colegiado del Ilustre Colegio de Abogados de Lorca con el número 676, desde Noviembre de 1.995. Adscrito a los turnos ordinarios civiles y penales, violencia de género, juicios rápidos y de Asistencia al detenido que presta dicho Colegio, desde el 1 de Julio de 1.996 y con despacho profesional abierto en Lorca, Cuesta de San Francisco nº 5, 2º Izda. -. Presidente de la Entidad Saneamiento del Curtido, S.A., (SACURSA) integrada por las 23 industrias de curtidos de Lorca, desde Mayo de 2.003 hasta Mayo de 2.007, llevando a cabo las negociaciones con las Administraciones Públicas y la empresa Aguas de Barcelona para la contratación y posterior operación y funcionamiento de la depuradora de aguas residuales industriales del sector, así como la asesoría jurídica y defensa procesal de dicha entidad. -. Actividad profesional como Abogado: Alto volumen de asuntos dirigidos, especialmente en materia mercantil, civil, penal y administrativa y contencioso-administrativa, habiendo litigado en todas las instancias procesales nacionales (Audiencias Provinciales de Murcia, Ciudad Real, Albacete y Alicante, Tribunal Supremo y Tribunal Constitucional). 
","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/PenchoGil.jpg","Alcalde-Presidente"
"27","Alcaldía","968466001","","alcaldia@lorca.es","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","-1.69980011058965","37.6764882563243","Fulgencio Gil Jódar","Nacido en Lorca el 23/11/1972 <br> 
Titulación: Licenciado en Derecho por el Centro de Estudios Superiores San Pablo C.E.U., adscrito a la Universidad Complutense de Madrid, Promoción 1.990- 1.995.  
<br><br> 
Cursados los estudios de Doctorado en Derecho por la Universidad de Murcia, bienio 2.006-2.008, en la rama de Derecho Público, habiendo finalizado los dos cursos del periodo de docencia, consistentes en seminarios de Derecho Administrativo, Derecho Penal, Derecho Internacional Público y Derecho Procesal. Obtenida la suficiencia investigadora por la Universidad de Murcia en Diciembre de 2.008, y actualmente en proceso de elaboración de tesis doctoral en materia de Derecho Administrativo.  
<br><br> 
Otros Títulos: <br> 
-. Diploma del Curso Práctico de Procedimientos Jurídicos, realizado del 17 de Octubre de 1.994 al 31 de Mayo de 1.995 en la Escuela de Práctica Jurídica del Centro de Estudios Superiores San Pablo C.E.U. <br> 
-. Diploma del Curso sobre el Nuevo Código Penal, organizado por la Escuela de Práctica Jurídica de Murcia y el Ilustre Colegio de Abogados de Lorca, celebrado en Lorca, en Junio de 1.996. <br> 
-. Diploma del Curso de negociación con proveedores, organizado por CECLOR, celebrado en Lorca en Noviembre de 1.998. <br> 
-. Diploma del Curso de gestión de impagados y prevención de la morosidad, impartido por la Agrupación Iniciativas Empresariales, en Madrid en Marzo de 1.998. <br> 
-. Diploma del Curso sobre la Ley Penal del Menor, celebrado por el Ilustre Colegio de Abogados de Lorca en colaboración con la Escuela de Práctica Jurídica de Murcia, en Febrero y Marzo de 2.001. <br> 
 -. Diploma del Curso sobre la Ley Reguladora de la Orden de Protección para las Víctimas de la Violencia Doméstica, organizado por el Instituto de la Mujer de la Región de Murcia en colaboración con el Ilustre Colegio de Abogados de Lorca, celebrado los días 25 y 26 de Enero de 2.005. <br> 
 -. Diploma del Curso de formación en materia de Extranjería, organizado por el Colegio de Abogados de Lorca en colaboración con la Escuela de Práctica Jurídica de la Universidad de Murcia, que constó de 20 horas lectivas, celebrado en Marzo de 2.005.  
<br><br> 
3.- IDIOMAS. <br> 
Inglés: Nivel alto. Hablado y escrito. Certificado del South Australian College of English de haber realizado el curso de doce semanas en dicho Centro, en la ciudad de Adelaida (Australia del Sur) alcanzando el nivel Upper Intermediate.  
<br><br> 
4.- EXPERIENCIA PROFESIONAL. <br> 
-. Estancia desde el 1 de Febrero al 24 de Mayo de 1.996 en la Mercantil Michell Leather Pty. Ltd. de Adelaida, Estado de Australia del Sur realizando trabajos propios de la dirección de una empresa de Curtidos. <br> 
-. Director Comercial y asesor jurídico de grupo familiar de empresas del sector del curtido de Lorca entre Junio de 1.996 y Junio de 2.007. <br> 
-. Abogado Colegiado del Ilustre Colegio de Abogados de Lorca con el número 676, desde Noviembre de 1.995. Adscrito a los turnos ordinarios civiles y penales, violencia de género, juicios rápidos y de Asistencia al detenido que presta dicho Colegio, desde el 1 de Julio de 1.996 y con despacho profesional abierto en Lorca, Cuesta de San Francisco nº 5, 2º Izda. -. Presidente de la Entidad Saneamiento del Curtido, S.A., (SACURSA) integrada por las 23 industrias de curtidos de Lorca, desde Mayo de 2.003 hasta Mayo de 2.007, llevando a cabo las negociaciones con las Administraciones Públicas y la empresa Aguas de Barcelona para la contratación y posterior operación y funcionamiento de la depuradora de aguas residuales industriales del sector, así como la asesoría jurídica y defensa procesal de dicha entidad. -. Actividad profesional como Abogado: Alto volumen de asuntos dirigidos, especialmente en materia mercantil, civil, penal y administrativa y contencioso-administrativa, habiendo litigado en todas las instancias procesales nacionales (Audiencias Provinciales de Murcia, Ciudad Real, Albacete y Alicante, Tribunal Supremo y Tribunal Constitucional). 
","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/PenchoGil.jpg","Alcalde-Presidente"
"109","Concejalía de Potenciación del casco histórico y Monumental","","","","","","Archivo Municipal","Casa de los Alburquerque (C/ Selgas, nº 8)","-1.70036605669179","37.6761337312107","Sandra Martínez Navarro","Nace en Lorca en 1.983.  
Licenciada en Derecho por la Universidad de Murcia y Abogada Colegiada del Ilustre Colegio de Abogados de Lorca; actualmente no ejerciente. 
Inició su trayectoria profesional en el Sector Bancario.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/sandra.jpg","Teniente de Alcalde"
"4","Concejalía de Vivienda","968466130","","","","","Centro de Desarrollo Local (CDL)","Alameda de Cervantes nº 30","-1.69807813240209","37.6682127314507","Sandra Martínez Navarro","Nace en Lorca en 1.983.  
Licenciada en Derecho por la Universidad de Murcia y Abogada Colegiada del Ilustre Colegio de Abogados de Lorca; actualmente no ejerciente. 
Inició su trayectoria profesional en el Sector Bancario.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/sandra.jpg","Teniente de Alcalde"
"9","Concejalía de Empleo y Desarrollo local","968464122","968471988","concejaliadeempleo@lorca.es","http://www.concejaliadeempleo.lorca.es/","","Centro de Desarrollo Local (CDL)","Alameda de Cervantes nº 30","-1.69807813240209","37.6682127314507","Sandra Martínez Navarro","Nace en Lorca en 1.983.  
Licenciada en Derecho por la Universidad de Murcia y Abogada Colegiada del Ilustre Colegio de Abogados de Lorca; actualmente no ejerciente. 
Inició su trayectoria profesional en el Sector Bancario.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/sandra.jpg","Teniente de Alcalde"
"108","Empresas municipales","","","","","","Oficina de Sociedad de la Información","C/ Santiago 10 bajo","-1.69861457420507","37.6769043435184","Juan Francisco Martínez Carrasco","Nacido en Lorca el 20 de Febrero de 1985<br><br> 
Licenciado en Ingeniería de Telecomunicación por la Universidad Alfonso X El Sabio (Madrid).<br><br> 
Certificación en la Ley 30/2007, de Contratos del Sector Público Facultad de Derecho en la Universidad de Zaragoza en 2010.<br><br> 
Titulación oficial de Cambridge ESOL Preliminary English en 2013.<br><br> 
Desde 2015 concejal delegado de deportes, sociedad de la información y contratación.<br><br> 
Cursando actualmente Máster MBA de alta dirección empresarial en Escuela de Negocios de Murcia.","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/JFrancisco.jpg","Teniente de Alcalde"
